" Daily soil water balance output for Citrus & Subtropical in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Citrus & Subtropical in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","",""
"2014.0","10.0","16.0","289.0","2.0","0.08","0.7","0.0","2.77","0.7","1.94","0.0","0.0","0.0","0.0","3.68","88.82","395.02","197.51","391.35","306.21","0.0","","","","","","",""
"2014.0","10.0","17.0","290.0","2.0","0.08","0.7","0.0","2.57","0.7","1.8","0.0","0.0","0.0","0.0","5.47","88.82","395.02","197.51","389.55","306.21","0.0","","","","","","",""
"2014.0","10.0","18.0","291.0","2.0","0.08","0.7","0.0","2.93","0.7","2.05","0.0","0.0","0.0","0.0","7.53","88.82","395.02","197.51","387.5","306.21","0.0","","","","","","",""
"2014.0","10.0","19.0","292.0","2.0","0.08","0.7","0.0","2.95","0.7","2.07","0.0","0.0","0.0","0.0","9.59","88.82","395.02","197.51","385.43","306.21","0.0","","","","","","",""
"2014.0","10.0","20.0","293.0","2.0","0.08","0.7","0.0","2.41","0.7","1.69","0.0","0.0","0.0","0.0","11.28","88.82","395.02","197.51","383.74","306.21","0.0","","","","","","",""
"2014.0","10.0","21.0","294.0","2.0","0.08","0.7","0.0","2.78","0.7","1.95","0.0","0.0","0.0","0.0","13.22","88.82","395.02","197.51","381.8","306.21","0.0","","","","","","",""
"2014.0","10.0","22.0","295.0","2.0","0.08","0.7","0.0","2.61","0.7","1.83","0.0","0.0","0.0","0.0","15.05","88.82","395.02","197.51","379.97","306.21","0.0","","","","","","",""
"2014.0","10.0","23.0","296.0","2.0","0.08","0.7","0.0","2.6","0.7","1.82","0.0","0.0","0.0","0.0","16.87","88.82","395.02","197.51","378.15","306.21","0.0","","","","","","",""
"2014.0","10.0","24.0","297.0","2.0","0.08","0.7","0.0","2.62","0.7","1.83","0.0","0.0","0.0","0.0","18.7","88.82","395.02","197.51","376.32","306.21","0.0","","","","","","",""
"2014.0","10.0","25.0","298.0","2.0","0.08","0.7","0.0","2.22","0.7","1.55","0.03","0.03","0.0","0.0","20.23","88.82","395.02","197.51","374.79","306.21","0.0","","","","","","",""
"2014.0","10.0","26.0","299.0","2.0","0.08","0.7","0.0","2.76","0.7","1.93","0.77","0.77","0.0","0.0","21.39","88.82","395.02","197.51","373.63","306.21","0.0","","","","","","",""
"2014.0","10.0","27.0","300.0","2.0","0.08","0.7","0.0","2.56","0.7","1.79","0.0","0.0","0.0","0.0","23.18","88.82","395.02","197.51","371.84","306.21","0.0","","","","","","",""
"2014.0","10.0","28.0","301.0","2.0","0.08","0.7","0.0","2.42","0.7","1.69","0.0","0.0","0.0","0.0","24.88","88.82","395.02","197.51","370.14","306.21","0.0","","","","","","",""
"2014.0","10.0","29.0","302.0","2.0","0.08","0.7","0.0","2.46","0.7","1.72","0.0","0.0","0.0","0.0","26.6","88.82","395.02","197.51","368.42","306.21","0.0","","","","","","",""
"2014.0","10.0","30.0","303.0","2.0","0.08","0.7","0.0","2.53","0.7","1.77","0.0","0.0","0.0","0.0","28.37","88.82","395.02","197.51","366.65","306.21","0.0","","","","","","",""
"2014.0","10.0","31.0","304.0","2.0","0.08","0.7","0.0","1.44","0.7","1.01","0.38","0.38","0.0","0.0","29.0","88.82","395.02","197.51","366.02","306.21","0.0","","","","","","",""
"2014.0","11.0","1.0","305.0","2.0","1.15","0.7","0.0","1.78","1.15","2.04","8.7","8.7","0.0","0.0","22.34","88.82","395.02","197.51","372.68","306.21","0.0","","","","","","",""
"2014.0","11.0","2.0","306.0","2.0","1.14","0.7","0.0","2.19","1.14","2.5","0.0","0.0","0.0","0.0","24.84","88.82","395.02","197.51","370.18","306.21","0.0","","","","","","",""
"2014.0","11.0","3.0","307.0","2.0","1.14","0.7","0.0","1.79","1.14","2.05","0.0","0.0","0.0","0.0","26.89","88.82","395.02","197.51","368.13","306.21","0.0","","","","","","",""
"2014.0","11.0","4.0","308.0","2.0","1.02","0.7","0.0","1.75","1.02","1.78","0.0","0.0","0.0","0.0","28.66","88.82","395.02","197.51","366.36","306.21","0.0","","","","","","",""
"2014.0","11.0","5.0","309.0","2.0","0.91","0.7","0.0","1.91","0.91","1.73","0.0","0.0","0.0","0.0","30.39","88.82","395.02","197.51","364.63","306.21","0.0","","","","","","",""
"2014.0","11.0","6.0","310.0","2.0","0.83","0.7","0.0","1.94","0.83","1.6","0.0","0.0","0.0","0.0","31.99","88.82","395.02","197.51","363.03","306.21","0.0","","","","","","",""
"2014.0","11.0","7.0","311.0","2.0","0.76","0.7","0.0","2.02","0.76","1.54","0.0","0.0","0.0","0.0","33.53","88.82","395.02","197.51","361.49","306.21","0.0","","","","","","",""
"2014.0","11.0","8.0","312.0","2.0","0.71","0.7","0.0","1.86","0.71","1.32","0.0","0.0","0.0","0.0","34.85","88.82","395.02","197.51","360.17","306.21","0.0","","","","","","",""
"2014.0","11.0","9.0","313.0","2.0","0.67","0.7","0.0","1.86","0.7","1.3","0.0","0.0","0.0","0.0","36.16","88.82","395.02","197.51","358.86","306.21","0.0","","","","","","",""
"2014.0","11.0","10.0","314.0","2.0","0.64","0.7","0.0","1.86","0.7","1.3","0.0","0.0","0.0","0.0","37.46","88.82","395.02","197.51","357.56","306.21","0.0","","","","","","",""
"2014.0","11.0","11.0","315.0","2.0","0.62","0.7","0.0","1.5","0.7","1.05","0.0","0.0","0.0","0.0","38.51","88.82","395.02","197.51","356.51","306.21","0.0","","","","","","",""
"2014.0","11.0","12.0","316.0","2.0","0.59","0.7","0.0","1.55","0.7","1.09","0.0","0.0","0.0","0.0","39.59","88.82","395.02","197.51","355.43","306.21","0.0","","","","","","",""
"2014.0","11.0","13.0","317.0","2.0","1.18","0.7","0.0","1.1","1.18","1.29","5.8","5.8","0.0","0.0","35.09","88.82","395.02","197.51","359.93","306.21","0.0","","","","","","",""
"2014.0","11.0","14.0","318.0","2.0","1.16","0.7","0.0","1.42","1.16","1.65","1.33","1.33","0.0","0.0","35.41","88.82","395.02","197.51","359.61","306.21","0.0","","","","","","",""
"2014.0","11.0","15.0","319.0","2.0","1.16","0.7","0.0","1.34","1.16","1.56","0.0","0.0","0.0","0.0","36.97","88.82","395.02","197.51","358.05","306.21","0.0","","","","","","",""
"2014.0","11.0","16.0","320.0","2.0","1.16","0.7","0.0","1.88","1.16","2.18","0.0","0.0","0.0","0.0","39.15","88.82","395.02","197.51","355.87","306.21","0.0","","","","","","",""
"2014.0","11.0","17.0","321.0","2.0","1.11","0.7","0.0","1.72","1.11","1.91","0.0","0.0","0.0","0.0","41.05","88.82","395.02","197.51","353.97","306.21","0.0","","","","","","",""
"2014.0","11.0","18.0","322.0","2.0","1.01","0.7","0.0","1.32","1.01","1.33","0.0","0.0","0.0","0.0","42.39","88.82","395.02","197.51","352.63","306.21","0.0","","","","","","",""
"2014.0","11.0","19.0","323.0","2.0","0.94","0.7","0.0","1.22","0.94","1.15","0.04","0.04","0.0","0.0","43.49","88.82","395.02","197.51","351.53","306.21","0.0","","","","","","",""
"2014.0","11.0","20.0","324.0","2.0","1.19","0.7","0.0","0.65","1.19","0.78","2.17","2.17","0.0","0.0","42.1","88.82","395.02","197.51","352.92","306.21","0.0","","","","","","",""
"2014.0","11.0","21.0","325.0","2.0","1.18","0.7","0.0","0.91","1.18","1.08","3.54","3.54","0.0","0.0","39.64","88.82","395.02","197.51","355.38","306.21","0.0","","","","","","",""
"2014.0","11.0","22.0","326.0","2.0","1.18","0.7","0.0","1.19","1.18","1.4","0.14","0.14","0.0","0.0","40.9","88.82","395.02","197.51","354.12","306.21","0.0","","","","","","",""
"2014.0","11.0","23.0","327.0","2.0","1.16","0.7","0.0","1.55","1.16","1.79","2.92","2.92","0.0","0.0","39.77","88.82","395.02","197.51","355.25","306.21","0.0","","","","","","",""
"2014.0","11.0","24.0","328.0","2.0","1.16","0.7","0.0","1.38","1.16","1.6","0.0","0.0","0.0","0.0","41.38","88.82","395.02","197.51","353.65","306.21","0.0","","","","","","",""
"2014.0","11.0","25.0","329.0","2.0","1.16","0.7","0.0","1.24","1.16","1.44","0.0","0.0","0.0","0.0","42.82","88.82","395.02","197.51","352.2","306.21","0.0","","","","","","",""
"2014.0","11.0","26.0","330.0","2.0","1.17","0.7","0.0","1.26","1.17","1.47","0.0","0.0","0.0","0.0","44.29","88.82","395.02","197.51","350.73","306.21","0.0","","","","","","",""
"2014.0","11.0","27.0","331.0","2.0","1.09","0.7","0.0","1.24","1.09","1.35","0.0","0.0","0.0","0.0","45.64","88.82","395.02","197.51","349.38","306.21","0.0","","","","","","",""
"2014.0","11.0","28.0","332.0","2.0","1.0","0.7","0.0","1.2","1.0","1.2","0.0","0.0","0.0","0.0","46.84","88.82","395.02","197.51","348.18","306.21","0.0","","","","","","",""
"2014.0","11.0","29.0","333.0","2.0","0.95","0.7","0.0","0.81","0.95","0.77","0.93","0.93","0.0","0.0","46.68","88.82","395.02","197.51","348.34","306.21","0.0","","","","","","",""
"2014.0","11.0","30.0","334.0","2.0","1.19","0.7","0.0","0.67","1.19","0.8","1.78","1.78","0.0","0.0","45.7","88.82","395.02","197.51","349.32","306.21","0.0","","","","","","",""
"2014.0","12.0","1.0","335.0","2.0","1.18","0.7","0.0","1.01","1.18","1.19","11.06","11.06","0.0","0.0","35.83","88.82","395.02","197.51","359.19","306.21","0.0","","","","","","",""
"2014.0","12.0","2.0","336.0","2.0","1.2","0.7","0.0","0.62","1.2","0.74","7.1","7.1","0.0","0.0","29.47","88.82","395.02","197.51","365.55","306.21","0.0","","","","","","",""
"2014.0","12.0","3.0","337.0","2.0","1.17","0.7","0.0","1.27","1.17","1.48","28.07","28.07","0.0","0.0","2.89","88.82","395.02","197.51","392.13","306.21","0.0","","","","","","",""
"2014.0","12.0","4.0","338.0","2.0","1.17","0.7","0.0","1.14","1.17","1.34","8.49","4.23","0.0","0.0","0.0","88.82","395.02","197.51","395.02","306.21","0.0","","","","","","",""
"2014.0","12.0","5.0","339.0","2.0","1.18","0.7","0.0","0.92","1.18","1.08","0.14","0.14","0.0","0.0","0.94","88.82","395.02","197.51","394.08","306.21","0.0","","","","","","",""
"2014.0","12.0","6.0","340.0","2.0","1.18","0.7","0.0","1.12","1.18","1.32","2.24","2.24","0.0","0.0","0.02","88.82","395.02","197.51","395.0","306.21","0.0","","","","","","",""
"2014.0","12.0","7.0","341.0","2.0","1.18","0.7","0.0","0.75","1.18","0.89","0.28","0.28","0.0","0.0","0.63","88.82","395.02","197.51","394.39","306.21","0.0","","","","","","",""
"2014.0","12.0","8.0","342.0","2.0","1.18","0.7","0.0","0.87","1.18","1.03","0.21","0.21","0.0","0.0","1.45","88.82","395.02","197.51","393.57","306.21","0.0","","","","","","",""
"2014.0","12.0","9.0","343.0","2.0","1.19","0.7","0.0","0.69","1.19","0.82","0.0","0.0","0.0","0.0","2.27","88.82","395.02","197.51","392.76","306.21","0.0","","","","","","",""
"2014.0","12.0","10.0","344.0","2.0","1.18","0.7","0.0","0.96","1.18","1.14","0.0","0.0","0.0","0.0","3.4","88.82","395.02","197.51","391.62","306.21","0.0","","","","","","",""
"2014.0","12.0","11.0","345.0","2.0","1.17","0.7","0.0","1.43","1.17","1.67","0.0","0.0","0.0","0.0","5.08","88.82","395.02","197.51","389.94","306.21","0.0","","","","","","",""
"2014.0","12.0","12.0","346.0","2.0","1.2","0.7","0.0","0.62","1.2","0.74","63.4","5.82","0.0","0.0","0.0","88.82","395.02","197.51","395.02","306.21","0.0","","","","","","",""
"2014.0","12.0","13.0","347.0","2.0","1.19","0.7","0.0","0.7","1.19","0.83","1.49","0.83","0.0","0.0","0.0","88.82","395.02","197.51","395.02","306.21","0.0","","","","","","",""
"2014.0","12.0","14.0","348.0","2.0","1.19","0.7","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","0.93","88.82","395.02","197.51","394.09","306.21","0.0","","","","","","",""
"2014.0","12.0","15.0","349.0","2.0","1.18","0.7","0.0","1.03","1.18","1.21","7.42","2.14","0.0","0.0","0.0","88.82","395.02","197.51","395.02","306.21","0.0","","","","","","",""
"2014.0","12.0","16.0","350.0","2.0","1.17","0.7","0.0","1.27","1.17","1.48","8.63","1.48","0.0","0.0","0.0","88.82","395.02","197.51","395.02","306.21","0.0","","","","","","",""
"2014.0","12.0","17.0","351.0","2.0","1.18","0.7","0.0","0.95","1.18","1.12","10.65","1.12","0.0","0.0","0.0","88.82","395.02","197.51","395.02","306.21","0.0","","","","","","",""
"2014.0","12.0","18.0","352.0","2.0","1.18","0.7","0.0","1.01","1.18","1.19","3.76","1.19","0.0","0.0","0.0","88.82","395.02","197.51","395.02","306.21","0.0","","","","","","",""
"2014.0","12.0","19.0","353.0","2.0","1.18","0.7","0.0","0.86","1.18","1.02","0.0","0.0","0.0","0.0","1.02","88.82","395.02","197.51","394.0","306.21","0.0","","","","","","",""
"2014.0","12.0","20.0","354.0","2.0","1.19","0.7","0.0","0.69","1.19","0.82","8.9","1.84","0.0","0.0","0.0","88.82","395.02","197.51","395.02","306.21","0.0","","","","","","",""
"2014.0","12.0","21.0","355.0","2.0","1.19","0.7","0.0","0.99","1.19","1.17","0.18","0.18","0.0","0.0","0.99","88.82","395.02","197.51","394.03","306.21","0.0","","","","","","",""
"2014.0","12.0","22.0","356.0","2.0","1.19","0.7","0.0","0.76","1.19","0.9","0.0","0.0","0.0","0.0","1.9","88.82","395.02","197.51","393.12","306.21","0.0","","","","","","",""
"2014.0","12.0","23.0","357.0","2.0","1.19","0.7","0.0","0.75","1.19","0.89","0.0","0.0","0.0","0.0","2.79","88.82","395.02","197.51","392.23","306.21","0.0","","","","","","",""
"2014.0","12.0","24.0","358.0","2.0","1.19","0.7","0.0","0.93","1.19","1.1","0.0","0.0","0.0","0.0","3.89","88.82","395.02","197.51","391.13","306.21","0.0","","","","","","",""
"2014.0","12.0","25.0","359.0","2.0","1.14","0.7","0.0","2.0","1.14","2.28","0.99","0.99","0.0","0.0","5.18","88.82","395.02","197.51","389.84","306.21","0.0","","","","","","",""
"2014.0","12.0","26.0","360.0","2.0","1.01","0.7","0.0","1.63","1.01","1.65","0.0","0.0","0.0","0.0","6.84","88.82","395.02","197.51","388.19","306.21","0.0","","","","","","",""
"2014.0","12.0","27.0","361.0","2.0","0.97","0.7","0.0","0.77","0.97","0.74","0.0","0.0","0.0","0.0","7.58","88.82","395.02","197.51","387.44","306.21","0.0","","","","","","",""
"2014.0","12.0","28.0","362.0","2.0","0.93","0.7","0.0","0.77","0.93","0.71","0.0","0.0","0.0","0.0","8.29","88.82","395.02","197.51","386.73","306.21","0.0","","","","","","",""
"2014.0","12.0","29.0","363.0","2.0","0.9","0.7","0.0","0.56","0.9","0.5","0.0","0.0","0.0","0.0","8.8","88.82","395.02","197.51","386.22","306.21","0.0","","","","","","",""
"2014.0","12.0","30.0","364.0","2.0","0.8","0.7","0.0","2.46","0.8","1.98","0.0","0.0","0.0","0.0","10.77","88.82","395.02","197.51","384.25","306.21","0.0","","","","","","",""
"2014.0","12.0","31.0","365.0","2.0","0.73","0.7","0.0","2.55","0.73","1.86","0.0","0.0","0.0","0.0","12.63","88.82","395.02","197.51","382.39","306.21","0.0","","","","","","",""
"2015.0","1.0","1.0","1.0","2.0","0.71","0.7","0.0","0.94","0.71","0.67","0.0","0.0","0.0","0.0","13.3","86.62","395.02","197.51","381.72","308.4","0.0","","","","","","",""
"2015.0","1.0","2.0","2.0","2.0","0.69","0.7","0.0","0.91","0.7","0.64","0.0","0.0","0.0","0.0","13.94","86.62","395.02","197.51","381.08","308.4","0.0","","","","","","",""
"2015.0","1.0","3.0","3.0","2.0","0.67","0.7","0.0","0.91","0.7","0.64","0.0","0.0","0.0","0.0","14.57","86.62","395.02","197.51","380.45","308.4","0.0","","","","","","",""
"2015.0","1.0","4.0","4.0","2.0","0.65","0.7","0.0","1.0","0.7","0.7","0.0","0.0","0.0","0.0","15.27","86.62","395.02","197.51","379.75","308.4","0.0","","","","","","",""
"2015.0","1.0","5.0","5.0","2.0","0.64","0.7","0.0","0.96","0.7","0.67","0.0","0.0","0.0","0.0","15.95","86.62","395.02","197.51","379.08","308.4","0.0","","","","","","",""
"2015.0","1.0","6.0","6.0","2.0","0.62","0.7","0.0","1.22","0.7","0.85","0.0","0.0","0.0","0.0","16.8","86.62","395.02","197.51","378.22","308.4","0.0","","","","","","",""
"2015.0","1.0","7.0","7.0","2.0","0.6","0.7","0.0","1.2","0.7","0.84","0.0","0.0","0.0","0.0","17.64","86.62","395.02","197.51","377.38","308.4","0.0","","","","","","",""
"2015.0","1.0","8.0","8.0","2.0","0.59","0.7","0.0","1.05","0.7","0.74","0.0","0.0","0.0","0.0","18.37","86.62","395.02","197.51","376.65","308.4","0.0","","","","","","",""
"2015.0","1.0","9.0","9.0","2.0","0.58","0.7","0.0","0.9","0.7","0.63","0.0","0.0","0.0","0.0","19.0","86.62","395.02","197.51","376.02","308.4","0.0","","","","","","",""
"2015.0","1.0","10.0","10.0","2.0","0.56","0.7","0.0","1.04","0.7","0.73","0.0","0.0","0.0","0.0","19.73","86.62","395.02","197.51","375.29","308.4","0.0","","","","","","",""
"2015.0","1.0","11.0","11.0","2.0","0.55","0.7","0.0","0.89","0.7","0.62","0.0","0.0","0.0","0.0","20.36","86.62","395.02","197.51","374.67","308.4","0.0","","","","","","",""
"2015.0","1.0","12.0","12.0","2.0","0.54","0.7","0.0","0.99","0.7","0.69","0.0","0.0","0.0","0.0","21.05","86.62","395.02","197.51","373.97","308.4","0.0","","","","","","",""
"2015.0","1.0","13.0","13.0","2.0","0.53","0.7","0.0","1.0","0.7","0.7","0.0","0.0","0.0","0.0","21.75","86.62","395.02","197.51","373.27","308.4","0.0","","","","","","",""
"2015.0","1.0","14.0","14.0","2.0","0.53","0.7","0.0","0.64","0.7","0.45","0.0","0.0","0.0","0.0","22.2","86.62","395.02","197.51","372.82","308.4","0.0","","","","","","",""
"2015.0","1.0","15.0","15.0","2.0","0.52","0.7","0.0","0.67","0.7","0.47","0.0","0.0","0.0","0.0","22.67","86.62","395.02","197.51","372.36","308.4","0.0","","","","","","",""
"2015.0","1.0","16.0","16.0","2.0","0.52","0.7","0.0","0.64","0.7","0.45","0.0","0.0","0.0","0.0","23.11","86.62","395.02","197.51","371.91","308.4","0.0","","","","","","",""
"2015.0","1.0","17.0","17.0","2.0","0.51","0.7","0.0","0.53","0.7","0.37","0.0","0.0","0.0","0.0","23.48","86.62","395.02","197.51","371.54","308.4","0.0","","","","","","",""
"2015.0","1.0","18.0","18.0","2.0","0.51","0.7","0.0","0.61","0.7","0.43","0.0","0.0","0.0","0.0","23.91","86.62","395.02","197.51","371.11","308.4","0.0","","","","","","",""
"2015.0","1.0","19.0","19.0","2.0","0.5","0.7","0.0","0.55","0.7","0.39","0.03","0.03","0.0","0.0","24.27","86.62","395.02","197.51","370.75","308.4","0.0","","","","","","",""
"2015.0","1.0","20.0","20.0","2.0","0.5","0.7","0.0","0.74","0.7","0.52","0.0","0.0","0.0","0.0","24.78","86.62","395.02","197.51","370.24","308.4","0.0","","","","","","",""
"2015.0","1.0","21.0","21.0","2.0","0.49","0.7","0.0","1.03","0.7","0.72","0.0","0.0","0.0","0.0","25.51","86.62","395.02","197.51","369.52","308.4","0.0","","","","","","",""
"2015.0","1.0","22.0","22.0","2.0","0.48","0.7","0.0","0.7","0.7","0.49","0.0","0.0","0.0","0.0","26.0","86.62","395.02","197.51","369.03","308.4","0.0","","","","","","",""
"2015.0","1.0","23.0","23.0","2.0","0.48","0.7","0.0","0.94","0.7","0.66","0.0","0.0","0.0","0.0","26.65","86.62","395.02","197.51","368.37","308.4","0.0","","","","","","",""
"2015.0","1.0","24.0","24.0","2.0","0.47","0.7","0.0","0.86","0.7","0.6","0.0","0.0","0.0","0.0","27.26","86.62","395.02","197.51","367.77","308.4","0.0","","","","","","",""
"2015.0","1.0","25.0","25.0","2.0","0.47","0.7","0.0","1.0","0.7","0.7","0.0","0.0","0.0","0.0","27.96","86.62","395.02","197.51","367.07","308.4","0.0","","","","","","",""
"2015.0","1.0","26.0","26.0","2.0","0.46","0.7","0.0","1.2","0.7","0.84","0.0","0.0","0.0","0.0","28.8","86.62","395.02","197.51","366.23","308.4","0.0","","","","","","",""
"2015.0","1.0","27.0","27.0","2.0","0.45","0.7","0.0","1.17","0.7","0.82","0.0","0.0","0.0","0.0","29.61","86.62","395.02","197.51","365.41","308.4","0.0","","","","","","",""
"2015.0","1.0","28.0","28.0","2.0","0.44","0.7","0.0","1.46","0.7","1.02","0.0","0.0","0.0","0.0","30.64","86.62","395.02","197.51","364.38","308.4","0.0","","","","","","",""
"2015.0","1.0","29.0","29.0","2.0","0.44","0.7","0.0","1.36","0.7","0.95","0.0","0.0","0.0","0.0","31.59","86.62","395.02","197.51","363.43","308.4","0.0","","","","","","",""
"2015.0","1.0","30.0","30.0","2.0","0.43","0.7","0.0","1.73","0.7","1.21","0.0","0.0","0.0","0.0","32.8","86.62","395.02","197.51","362.22","308.4","0.0","","","","","","",""
"2015.0","1.0","31.0","31.0","2.0","0.41","0.7","0.0","2.98","0.7","2.09","0.0","0.0","0.0","0.0","34.89","86.62","395.02","197.51","360.14","308.4","0.0","","","","","","",""
"2015.0","2.0","1.0","32.0","2.0","0.41","0.7","0.0","1.53","0.7","1.07","0.0","0.0","0.0","0.0","35.96","86.62","395.02","197.51","359.06","308.4","0.0","","","","","","",""
"2015.0","2.0","2.0","33.0","2.0","0.4","0.7","0.0","1.54","0.7","1.08","0.0","0.0","0.0","0.0","37.03","86.62","395.02","197.51","357.99","308.4","0.0","","","","","","",""
"2015.0","2.0","3.0","34.0","2.0","0.39","0.7","0.0","1.62","0.7","1.13","0.0","0.0","0.0","0.0","38.17","86.62","395.02","197.51","356.85","308.4","0.0","","","","","","",""
"2015.0","2.0","4.0","35.0","2.0","0.39","0.7","0.0","1.46","0.7","1.02","0.01","0.01","0.0","0.0","39.18","86.62","395.02","197.51","355.84","308.4","0.0","","","","","","",""
"2015.0","2.0","5.0","36.0","2.0","0.38","0.7","0.0","1.06","0.7","0.74","0.0","0.0","0.0","0.0","39.92","86.62","395.02","197.51","355.1","308.4","0.0","","","","","","",""
"2015.0","2.0","6.0","37.0","2.0","0.38","0.7","0.0","2.4","0.7","1.68","0.23","0.23","0.0","0.0","41.37","86.62","395.02","197.51","353.65","308.4","0.0","","","","","","",""
"2015.0","2.0","7.0","38.0","2.0","1.16","0.7","0.0","1.48","1.16","1.72","13.13","13.13","0.0","0.0","29.96","86.62","395.02","197.51","365.06","308.4","0.0","","","","","","",""
"2015.0","2.0","8.0","39.0","2.0","1.16","0.7","0.0","1.56","1.16","1.81","12.26","12.26","0.0","0.0","19.51","86.62","395.02","197.51","375.51","308.4","0.0","","","","","","",""
"2015.0","2.0","9.0","40.0","2.0","1.14","0.7","0.0","2.12","1.14","2.41","13.42","13.42","0.0","0.0","8.49","86.62","395.02","197.51","386.53","308.4","0.0","","","","","","",""
"2015.0","2.0","10.0","41.0","2.0","1.14","0.7","0.0","1.87","1.14","2.13","0.0","0.0","0.0","0.0","10.62","86.62","395.02","197.51","384.4","308.4","0.0","","","","","","",""
"2015.0","2.0","11.0","42.0","2.0","1.14","0.7","0.0","1.71","1.14","1.96","0.0","0.0","0.0","0.0","12.58","86.62","395.02","197.51","382.44","308.4","0.0","","","","","","",""
"2015.0","2.0","12.0","43.0","2.0","1.0","0.7","0.0","2.0","1.0","2.0","0.0","0.0","0.0","0.0","14.58","86.62","395.02","197.51","380.44","308.4","0.0","","","","","","",""
