" Daily soil water balance output for Truck Crops in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Truck Crops in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","",""
"2014.0","10.0","15.0","288.0","6747.0","0.08","0.0","0.0","2.48","0.08","0.2","0.0","0.0","0.0","0.0","20.55","21.6","437.03","218.52","416.48","415.43","0.0","","","","","","1336.54","29585.4179134"
"2014.0","10.0","16.0","289.0","6747.0","0.08","0.0","0.0","2.77","0.08","0.22","0.0","0.0","0.0","0.0","20.77","21.6","437.03","218.52","416.26","415.43","0.0","","","","","","",""
"2014.0","10.0","17.0","290.0","6747.0","0.08","0.0","0.0","2.57","0.08","0.21","0.0","0.0","0.0","0.0","20.98","21.6","437.03","218.52","416.05","415.43","0.0","","","","","","",""
"2014.0","10.0","18.0","291.0","6747.0","0.08","0.0","0.0","2.93","0.08","0.23","0.0","0.0","0.0","0.0","21.21","21.6","437.03","218.52","415.82","415.43","0.0","","","","","","",""
"2014.0","10.0","19.0","292.0","6747.0","0.08","0.0","0.0","2.95","0.08","0.24","0.0","0.0","0.0","0.0","21.45","21.6","437.03","218.52","415.58","415.43","0.0","","","","","","",""
"2014.0","10.0","20.0","293.0","6747.0","0.08","0.0","0.0","2.41","0.08","0.19","0.0","0.0","0.0","0.0","21.64","21.6","437.03","218.52","415.39","415.43","0.0","","","","","","",""
"2014.0","10.0","21.0","294.0","6747.0","0.08","0.0","0.0","2.78","0.08","0.22","0.0","0.0","0.0","0.0","21.6","21.6","437.03","218.52","415.43","415.43","0.0","","","","","","",""
"2014.0","10.0","22.0","295.0","6747.0","0.08","0.0","0.0","2.61","0.08","0.21","0.0","0.0","0.0","0.0","21.81","21.6","437.03","218.52","415.22","415.43","0.0","","","","","","",""
"2014.0","10.0","23.0","296.0","6747.0","0.08","0.0","0.0","2.6","0.08","0.21","0.0","0.0","0.0","0.0","21.6","21.6","437.03","218.52","415.43","415.43","0.0","","","","","","",""
"2014.0","10.0","24.0","297.0","6747.0","0.08","0.0","0.0","2.62","0.08","0.21","0.0","0.0","0.0","0.0","21.81","21.6","437.03","218.52","415.22","415.43","0.0","","","","","","",""
"2014.0","10.0","25.0","298.0","6747.0","0.08","0.0","0.0","2.22","0.08","0.18","0.03","0.03","0.0","0.0","21.6","21.6","437.03","218.52","415.43","415.43","0.0","","","","","","",""
"2014.0","10.0","26.0","299.0","6747.0","0.08","0.0","0.0","2.76","0.08","0.22","0.77","0.77","0.0","0.0","21.05","21.6","437.03","218.52","415.98","415.43","0.0","","","","","","",""
"2014.0","10.0","27.0","300.0","6747.0","0.08","0.0","0.0","2.56","0.08","0.2","0.0","0.0","0.0","0.0","21.25","21.6","437.03","218.52","415.78","415.43","0.0","","","","","","",""
"2014.0","10.0","28.0","301.0","6747.0","0.08","0.0","0.0","2.42","0.08","0.19","0.0","0.0","0.0","0.0","21.44","21.6","437.03","218.52","415.59","415.43","0.0","","","","","","",""
"2014.0","10.0","29.0","302.0","6747.0","0.08","0.0","0.0","2.46","0.08","0.19","0.0","0.0","0.0","0.0","21.64","21.6","437.03","218.52","415.39","415.43","0.0","","","","","","",""
"2014.0","10.0","30.0","303.0","6747.0","0.08","0.0","0.0","2.53","0.08","0.2","0.0","0.0","0.0","0.0","21.6","21.6","437.03","218.52","415.43","415.43","0.0","","","","","","",""
"2014.0","10.0","31.0","304.0","6747.0","0.08","0.0","0.0","1.44","0.08","0.11","0.38","0.38","0.0","0.0","21.33","21.6","437.03","218.52","415.7","415.43","0.0","","","","","","",""
"2014.0","11.0","1.0","305.0","6747.0","1.15","0.0","0.0","1.78","1.15","2.04","8.7","8.7","0.0","0.0","14.68","21.6","437.03","218.52","422.35","415.43","0.0","","","","","","",""
"2014.0","11.0","2.0","306.0","6747.0","1.14","0.0","0.0","2.19","1.14","2.5","0.0","0.0","0.0","0.0","17.18","21.6","437.03","218.52","419.85","415.43","0.0","","","","","","",""
"2014.0","11.0","3.0","307.0","6747.0","1.14","0.0","0.0","1.79","1.14","2.05","0.0","0.0","0.0","0.0","19.22","21.6","437.03","218.52","417.81","415.43","0.0","","","","","","",""
"2014.0","11.0","4.0","308.0","6747.0","1.02","0.0","0.0","1.75","1.02","1.78","0.0","0.0","0.0","0.0","21.0","21.6","437.03","218.52","416.03","415.43","0.0","","","","","","",""
"2014.0","11.0","5.0","309.0","6747.0","0.91","0.0","0.0","1.91","0.91","1.73","0.0","0.0","0.0","0.0","22.73","21.6","437.03","218.52","414.3","415.43","0.0","","","","","","",""
"2014.0","11.0","6.0","310.0","6747.0","0.83","0.0","0.0","1.94","0.83","1.6","0.0","0.0","0.0","0.0","21.6","21.6","437.03","218.52","415.43","415.43","0.0","","","","","","",""
"2014.0","11.0","7.0","311.0","6747.0","0.76","0.0","0.0","2.02","0.76","1.54","0.0","0.0","0.0","0.0","23.14","21.6","437.03","218.52","413.9","415.43","0.0","","","","","","",""
"2014.0","11.0","8.0","312.0","6747.0","0.71","0.0","0.0","1.86","0.71","1.32","0.0","0.0","0.0","0.0","21.6","21.6","437.03","218.52","415.43","415.43","0.0","","","","","","",""
"2014.0","11.0","9.0","313.0","6747.0","0.67","0.0","0.0","1.86","0.67","1.25","0.0","0.0","0.0","0.0","22.85","21.6","437.03","218.52","414.18","415.43","0.0","","","","","","",""
"2014.0","11.0","10.0","314.0","6747.0","0.64","0.0","0.0","1.86","0.64","1.19","0.0","0.0","0.0","0.0","21.6","21.6","437.03","218.52","415.43","415.43","0.0","","","","","","",""
"2014.0","11.0","11.0","315.0","6747.0","0.62","0.0","0.0","1.5","0.62","0.92","0.0","0.0","0.0","0.0","22.52","21.6","437.03","218.52","414.51","415.43","0.0","","","","","","",""
"2014.0","11.0","12.0","316.0","6747.0","0.59","0.0","0.0","1.55","0.59","0.92","0.0","0.0","0.0","0.0","21.6","21.6","437.03","218.52","415.43","415.43","0.0","","","","","","",""
"2014.0","11.0","13.0","317.0","6747.0","1.18","0.0","0.0","1.1","1.18","1.29","5.8","5.8","0.0","0.0","17.09","21.6","437.03","218.52","419.94","415.43","0.0","","","","","","",""
"2014.0","11.0","14.0","318.0","6747.0","1.16","0.0","0.0","1.42","1.16","1.65","1.33","1.33","0.0","0.0","17.42","21.6","437.03","218.52","419.62","415.43","0.0","","","","","","",""
"2014.0","11.0","15.0","319.0","6747.0","1.16","0.0","0.0","1.34","1.16","1.56","0.0","0.0","0.0","0.0","18.98","21.6","437.03","218.52","418.06","415.43","0.0","","","","","","",""
"2014.0","11.0","16.0","320.0","6747.0","1.16","0.0","0.0","1.88","1.16","2.18","0.0","0.0","0.0","0.0","21.15","21.6","437.03","218.52","415.88","415.43","0.0","","","","","","",""
"2014.0","11.0","17.0","321.0","6747.0","1.11","0.0","0.0","1.72","1.11","1.91","0.0","0.0","0.0","0.0","23.06","21.6","437.03","218.52","413.97","415.43","0.0","","","","","","",""
"2014.0","11.0","18.0","322.0","6747.0","1.01","0.0","0.0","1.32","1.01","1.33","0.0","0.0","0.0","0.0","21.6","21.6","437.03","218.52","415.43","415.43","0.0","","","","","","",""
"2014.0","11.0","19.0","323.0","6747.0","0.94","0.0","0.0","1.22","0.94","1.15","0.04","0.04","0.0","0.0","22.71","21.6","437.03","218.52","414.33","415.43","0.0","","","","","","",""
"2014.0","11.0","20.0","324.0","6747.0","1.19","0.0","0.0","0.65","1.19","0.78","2.17","2.17","0.0","0.0","20.54","21.6","437.03","218.52","416.5","415.43","0.0","","","","","","",""
"2014.0","11.0","21.0","325.0","6747.0","1.18","0.0","0.0","0.91","1.18","1.08","3.54","3.54","0.0","0.0","18.07","21.6","437.03","218.52","418.96","415.43","0.0","","","","","","",""
"2014.0","11.0","22.0","326.0","6747.0","1.18","0.0","0.0","1.19","1.18","1.4","0.14","0.14","0.0","0.0","19.33","21.6","437.03","218.52","417.7","415.43","0.0","","","","","","",""
"2014.0","11.0","23.0","327.0","6747.0","1.16","0.0","0.0","1.55","1.16","1.79","2.92","2.92","0.0","0.0","18.21","21.6","437.03","218.52","418.82","415.43","0.0","","","","","","",""
"2014.0","11.0","24.0","328.0","6747.0","1.16","0.0","0.0","1.38","1.16","1.6","0.0","0.0","0.0","0.0","19.81","21.6","437.03","218.52","417.22","415.43","0.0","","","","","","",""
"2014.0","11.0","25.0","329.0","6747.0","1.16","0.0","0.0","1.24","1.16","1.44","0.0","0.0","0.0","0.0","21.26","21.6","437.03","218.52","415.78","415.43","0.0","","","","","","",""
"2014.0","11.0","26.0","330.0","6747.0","1.17","0.0","0.0","1.26","1.17","1.47","0.0","0.0","0.0","0.0","22.72","21.6","437.03","218.52","414.31","415.43","0.0","","","","","","",""
"2014.0","11.0","27.0","331.0","6747.0","1.09","0.0","0.0","1.24","1.09","1.35","0.0","0.0","0.0","0.0","21.6","21.6","437.03","218.52","415.43","415.43","0.0","","","","","","",""
"2014.0","11.0","28.0","332.0","6747.0","1.0","0.0","0.0","1.2","1.0","1.2","0.0","0.0","0.0","0.0","22.8","21.6","437.03","218.52","414.23","415.43","0.0","","","","","","",""
"2014.0","11.0","29.0","333.0","6747.0","0.95","0.0","0.0","0.81","0.95","0.77","0.93","0.93","0.0","0.0","21.6","21.6","437.03","218.52","415.43","415.43","0.0","","","","","","",""
"2014.0","11.0","30.0","334.0","6747.0","1.19","0.0","0.0","0.67","1.19","0.8","1.78","1.78","0.0","0.0","20.62","21.6","437.03","218.52","416.41","415.43","0.0","","","","","","",""
"2014.0","12.0","1.0","335.0","6747.0","1.18","0.0","0.0","1.01","1.18","1.19","11.06","11.06","0.0","0.0","10.75","21.6","437.03","218.52","426.28","415.43","0.0","","","","","","",""
"2014.0","12.0","2.0","336.0","6747.0","1.2","0.0","0.0","0.62","1.2","0.74","7.1","7.1","0.0","0.0","4.39","21.6","437.03","218.52","432.64","415.43","0.0","","","","","","",""
"2014.0","12.0","3.0","337.0","6747.0","1.17","0.0","0.0","1.27","1.17","1.48","28.07","5.88","0.0","0.0","0.0","21.6","437.03","218.52","437.03","415.43","0.0","","","","","","",""
"2014.0","12.0","4.0","338.0","6747.0","1.17","0.0","0.0","1.14","1.17","1.34","8.49","1.34","0.0","0.0","0.0","21.6","437.03","218.52","437.03","415.43","0.0","","","","","","",""
"2014.0","12.0","5.0","339.0","6747.0","1.18","0.0","0.0","0.92","1.18","1.08","0.14","0.14","0.0","0.0","0.94","21.6","437.03","218.52","436.09","415.43","0.0","","","","","","",""
"2014.0","12.0","6.0","340.0","6747.0","1.18","0.0","0.0","1.12","1.18","1.32","2.24","2.24","0.0","0.0","0.02","21.6","437.03","218.52","437.01","415.43","0.0","","","","","","",""
"2014.0","12.0","7.0","341.0","6747.0","1.18","0.0","0.0","0.75","1.18","0.89","0.28","0.28","0.0","0.0","0.63","21.6","437.03","218.52","436.4","415.43","0.0","","","","","","",""
"2014.0","12.0","8.0","342.0","6747.0","1.18","0.0","0.0","0.87","1.18","1.03","0.21","0.21","0.0","0.0","1.45","21.6","437.03","218.52","435.58","415.43","0.0","","","","","","",""
"2014.0","12.0","9.0","343.0","6747.0","1.19","0.0","0.0","0.69","1.19","0.82","0.0","0.0","0.0","0.0","2.27","21.6","437.03","218.52","434.77","415.43","0.0","","","","","","",""
"2014.0","12.0","10.0","344.0","6747.0","1.18","0.0","0.0","0.96","1.18","1.14","0.0","0.0","0.0","0.0","3.4","21.6","437.03","218.52","433.63","415.43","0.0","","","","","","",""
"2014.0","12.0","11.0","345.0","6747.0","1.17","0.0","0.0","1.43","1.17","1.67","0.0","0.0","0.0","0.0","5.08","21.6","437.03","218.52","431.95","415.43","0.0","","","","","","",""
"2014.0","12.0","12.0","346.0","6747.0","1.2","0.0","0.0","0.62","1.2","0.74","63.4","5.82","0.0","0.0","0.0","21.6","437.03","218.52","437.03","415.43","0.0","","","","","","",""
"2014.0","12.0","13.0","347.0","6747.0","1.19","0.0","0.0","0.7","1.19","0.83","1.49","0.83","0.0","0.0","0.0","21.6","437.03","218.52","437.03","415.43","0.0","","","","","","",""
"2014.0","12.0","14.0","348.0","6747.0","1.19","0.0","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","0.93","21.6","437.03","218.52","436.1","415.43","0.0","","","","","","",""
"2014.0","12.0","15.0","349.0","6747.0","1.18","0.0","0.0","1.03","1.18","1.21","7.42","2.14","0.0","0.0","0.0","21.6","437.03","218.52","437.03","415.43","0.0","","","","","","",""
"2014.0","12.0","16.0","350.0","6747.0","1.17","0.0","0.0","1.27","1.17","1.48","8.63","1.48","0.0","0.0","0.0","21.6","437.03","218.52","437.03","415.43","0.0","","","","","","",""
"2014.0","12.0","17.0","351.0","6747.0","1.18","0.0","0.0","0.95","1.18","1.12","10.65","1.12","0.0","0.0","0.0","21.6","437.03","218.52","437.03","415.43","0.0","","","","","","",""
"2014.0","12.0","18.0","352.0","6747.0","1.18","0.0","0.0","1.01","1.18","1.19","3.76","1.19","0.0","0.0","0.0","21.6","437.03","218.52","437.03","415.43","0.0","","","","","","",""
"2014.0","12.0","19.0","353.0","6747.0","1.18","0.0","0.0","0.86","1.18","1.02","0.0","0.0","0.0","0.0","1.02","21.6","437.03","218.52","436.01","415.43","0.0","","","","","","",""
"2014.0","12.0","20.0","354.0","6747.0","1.19","0.0","0.0","0.69","1.19","0.82","8.9","1.84","0.0","0.0","0.0","21.6","437.03","218.52","437.03","415.43","0.0","","","","","","",""
"2014.0","12.0","21.0","355.0","6747.0","1.19","0.0","0.0","0.99","1.19","1.17","0.18","0.18","0.0","0.0","0.99","21.6","437.03","218.52","436.04","415.43","0.0","","","","","","",""
"2014.0","12.0","22.0","356.0","6747.0","1.19","0.0","0.0","0.76","1.19","0.9","0.0","0.0","0.0","0.0","1.9","21.6","437.03","218.52","435.13","415.43","0.0","","","","","","",""
"2014.0","12.0","23.0","357.0","6747.0","1.19","0.0","0.0","0.75","1.19","0.89","0.0","0.0","0.0","0.0","2.79","21.6","437.03","218.52","434.24","415.43","0.0","","","","","","",""
"2014.0","12.0","24.0","358.0","6747.0","1.19","0.0","0.0","0.93","1.19","1.1","0.0","0.0","0.0","0.0","3.89","21.6","437.03","218.52","433.14","415.43","0.0","","","","","","",""
"2014.0","12.0","25.0","359.0","6747.0","1.14","0.0","0.0","2.0","1.14","2.28","0.99","0.99","0.0","0.0","5.18","21.6","437.03","218.52","431.85","415.43","0.0","","","","","","",""
"2014.0","12.0","26.0","360.0","6747.0","1.01","0.0","0.0","1.63","1.01","1.65","0.0","0.0","0.0","0.0","6.84","21.6","437.03","218.52","430.2","415.43","0.0","","","","","","",""
"2014.0","12.0","27.0","361.0","6747.0","0.97","0.0","0.0","0.77","0.97","0.74","0.0","0.0","0.0","0.0","7.58","21.6","437.03","218.52","429.45","415.43","0.0","","","","","","",""
"2014.0","12.0","28.0","362.0","6747.0","0.93","0.0","0.0","0.77","0.93","0.71","0.0","0.0","0.0","0.0","8.29","21.6","437.03","218.52","428.74","415.43","0.0","","","","","","",""
"2014.0","12.0","29.0","363.0","6747.0","0.9","0.0","0.0","0.56","0.9","0.5","0.0","0.0","0.0","0.0","8.8","21.6","437.03","218.52","428.23","415.43","0.0","","","","","","",""
"2014.0","12.0","30.0","364.0","6747.0","0.8","0.0","0.0","2.46","0.8","1.98","0.0","0.0","0.0","0.0","10.77","21.6","437.03","218.52","426.26","415.43","0.0","","","","","","",""
"2014.0","12.0","31.0","365.0","6747.0","0.73","0.0","0.0","2.55","0.73","1.86","0.0","0.0","0.0","0.0","12.63","21.6","437.03","218.52","424.4","415.43","0.0","","","","","","",""
"2015.0","1.0","1.0","1.0","6747.0","0.71","0.0","0.0","0.94","0.71","0.67","0.0","0.0","0.0","0.0","13.3","21.6","437.03","218.52","423.73","415.43","0.0","","","","","","",""
"2015.0","1.0","2.0","2.0","6747.0","0.69","0.0","0.0","0.91","0.69","0.63","0.0","0.0","0.0","0.0","13.93","21.6","437.03","218.52","423.11","415.43","0.0","","","","","","",""
"2015.0","1.0","3.0","3.0","6747.0","0.67","0.0","0.0","0.91","0.67","0.61","0.0","0.0","0.0","0.0","14.54","21.6","437.03","218.52","422.5","415.43","0.0","","","","","","",""
"2015.0","1.0","4.0","4.0","6747.0","0.65","0.0","0.0","1.0","0.65","0.65","0.0","0.0","0.0","0.0","15.19","21.6","437.03","218.52","421.84","415.43","0.0","","","","","","",""
"2015.0","1.0","5.0","5.0","6747.0","0.64","0.0","0.0","0.96","0.64","0.61","0.0","0.0","0.0","0.0","15.8","21.6","437.03","218.52","421.23","415.43","0.0","","","","","","",""
"2015.0","1.0","6.0","6.0","6747.0","0.62","0.0","0.0","1.22","0.62","0.75","0.0","0.0","0.0","0.0","16.55","21.6","437.03","218.52","420.48","415.43","0.0","","","","","","",""
"2015.0","1.0","7.0","7.0","6747.0","0.6","0.0","0.0","1.2","0.6","0.72","0.0","0.0","0.0","0.0","17.27","21.6","437.03","218.52","419.76","415.43","0.0","","","","","","",""
"2015.0","1.0","8.0","8.0","6747.0","0.59","0.0","0.0","1.05","0.59","0.62","0.0","0.0","0.0","0.0","17.89","21.6","437.03","218.52","419.14","415.43","0.0","","","","","","",""
"2015.0","1.0","9.0","9.0","6747.0","0.58","0.0","0.0","0.9","0.58","0.52","0.0","0.0","0.0","0.0","18.41","21.6","437.03","218.52","418.62","415.43","0.0","","","","","","",""
"2015.0","1.0","10.0","10.0","6747.0","0.56","0.0","0.0","1.04","0.56","0.59","0.0","0.0","0.0","0.0","18.99","21.6","437.03","218.52","418.04","415.43","0.0","","","","","","",""
"2015.0","1.0","11.0","11.0","6747.0","0.55","0.0","0.0","0.89","0.55","0.49","0.0","0.0","0.0","0.0","19.49","21.6","437.03","218.52","417.54","415.43","0.0","","","","","","",""
"2015.0","1.0","12.0","12.0","6747.0","0.54","0.0","0.0","0.99","0.54","0.54","0.0","0.0","0.0","0.0","20.03","21.6","437.03","218.52","417.01","415.43","0.0","","","","","","",""
"2015.0","1.0","13.0","13.0","6747.0","0.53","0.0","0.0","1.0","0.53","0.53","0.0","0.0","0.0","0.0","20.56","21.6","437.03","218.52","416.47","415.43","0.0","","","","","","",""
"2015.0","1.0","14.0","14.0","6747.0","0.53","0.0","0.0","0.64","0.53","0.34","0.0","0.0","0.0","0.0","20.9","21.6","437.03","218.52","416.13","415.43","0.0","","","","","","",""
"2015.0","1.0","15.0","15.0","6747.0","0.52","0.0","0.0","0.67","0.52","0.35","0.0","0.0","0.0","0.0","21.25","21.6","437.03","218.52","415.78","415.43","0.0","","","","","","",""
"2015.0","1.0","16.0","16.0","6747.0","0.52","0.0","0.0","0.64","0.52","0.33","0.0","0.0","0.0","0.0","21.58","21.6","437.03","218.52","415.45","415.43","0.0","","","","","","",""
"2015.0","1.0","17.0","17.0","6747.0","0.51","0.0","0.0","0.53","0.51","0.27","0.0","0.0","0.0","0.0","21.85","21.6","437.03","218.52","415.18","415.43","0.0","","","","","","",""
"2015.0","1.0","18.0","18.0","6747.0","0.51","0.0","0.0","0.61","0.51","0.31","0.0","0.0","0.0","0.0","21.6","21.6","437.03","218.52","415.43","415.43","0.0","","","","","","",""
"2015.0","1.0","19.0","19.0","6747.0","0.5","0.0","0.0","0.55","0.5","0.28","0.03","0.03","0.0","0.0","21.85","21.6","437.03","218.52","415.18","415.43","0.0","","","","","","",""
"2015.0","1.0","20.0","20.0","6747.0","0.5","0.0","0.0","0.74","0.5","0.37","0.0","0.0","0.0","0.0","21.6","21.6","437.03","218.52","415.43","415.43","0.0","","","","","","",""
"2015.0","1.0","21.0","21.0","6747.0","0.49","0.0","0.0","1.03","0.49","0.5","0.0","0.0","0.0","0.0","22.1","21.6","437.03","218.52","414.93","415.43","0.0","","","","","","",""
"2015.0","1.0","22.0","22.0","6747.0","0.48","0.0","0.0","0.7","0.48","0.34","0.0","0.0","0.0","0.0","21.6","21.6","437.03","218.52","415.43","415.43","0.0","","","","","","",""
"2015.0","1.0","23.0","23.0","6747.0","0.48","0.0","0.0","0.94","0.48","0.45","0.0","0.0","0.0","0.0","22.05","21.6","437.03","218.52","414.98","415.43","0.0","","","","","","",""
"2015.0","1.0","24.0","24.0","6747.0","0.47","0.0","0.0","0.86","0.47","0.41","0.0","0.0","0.0","0.0","21.6","21.6","437.03","218.52","415.43","415.43","0.0","","","","","","",""
"2015.0","1.0","25.0","25.0","6747.0","0.47","0.0","0.0","1.0","0.47","0.47","0.0","0.0","0.0","0.0","22.07","21.6","437.03","218.52","414.97","415.43","0.0","","","","","","",""
"2015.0","1.0","26.0","26.0","6747.0","0.46","0.0","0.0","1.2","0.46","0.55","0.0","0.0","0.0","0.0","21.6","21.6","437.03","218.52","415.43","415.43","0.0","","","","","","",""
"2015.0","1.0","27.0","27.0","6747.0","0.45","0.0","0.0","1.17","0.45","0.53","0.0","0.0","0.0","0.0","22.13","21.6","437.03","218.52","414.9","415.43","0.0","","","","","","",""
"2015.0","1.0","28.0","28.0","6747.0","0.44","0.0","0.0","1.46","0.44","0.65","0.0","0.0","0.0","0.0","21.6","21.6","437.03","218.52","415.43","415.43","0.0","","","","","","",""
"2015.0","1.0","29.0","29.0","6747.0","0.44","0.0","0.0","1.36","0.44","0.59","0.0","0.0","0.0","0.0","22.19","21.6","437.03","218.52","414.84","415.43","0.0","","","","","","",""
"2015.0","1.0","30.0","30.0","6747.0","0.43","0.0","0.0","1.73","0.43","0.74","0.0","0.0","0.0","0.0","21.6","21.6","437.03","218.52","415.43","415.43","0.0","","","","","","",""
"2015.0","1.0","31.0","31.0","6747.0","0.41","0.0","0.0","2.98","0.41","1.23","0.0","0.0","0.0","0.0","22.83","21.6","437.03","218.52","414.2","415.43","0.0","","","","","","",""
"2015.0","2.0","1.0","32.0","6747.0","0.41","0.0","0.0","1.53","0.41","0.62","0.0","0.0","0.0","0.0","21.6","21.6","437.03","218.52","415.43","415.43","0.0","","","","","","",""
"2015.0","2.0","2.0","33.0","6747.0","0.4","0.0","0.0","1.54","0.4","0.62","0.0","0.0","0.0","0.0","22.22","21.6","437.03","218.52","414.82","415.43","0.0","","","","","","",""
"2015.0","2.0","3.0","34.0","6747.0","0.39","0.0","0.0","1.62","0.39","0.64","0.0","0.0","0.0","0.0","21.6","21.6","437.03","218.52","415.43","415.43","0.0","","","","","","",""
"2015.0","2.0","4.0","35.0","6747.0","0.39","0.0","0.0","1.46","0.39","0.57","0.01","0.01","0.0","0.0","22.16","21.6","437.03","218.52","414.88","415.43","0.0","","","","","","",""
"2015.0","2.0","5.0","36.0","6747.0","0.38","0.0","0.0","1.06","0.38","0.41","0.0","0.0","0.0","0.0","21.6","21.6","437.03","218.52","415.43","415.43","0.0","","","","","","",""
"2015.0","2.0","6.0","37.0","6747.0","0.38","0.0","0.0","2.4","0.38","0.9","0.23","0.23","0.0","0.0","22.27","21.6","437.03","218.52","414.76","415.43","0.0","","","","","","",""
"2015.0","2.0","7.0","38.0","6747.0","1.16","0.0","0.0","1.48","1.16","1.72","13.13","13.13","0.0","0.0","9.14","21.6","437.03","218.52","427.89","415.43","0.0","","","","","","",""
"2015.0","2.0","8.0","39.0","6747.0","1.16","0.0","0.0","1.56","1.16","1.81","12.26","10.95","0.0","0.0","0.0","21.6","437.03","218.52","437.03","415.43","0.0","","","","","","",""
"2015.0","2.0","9.0","40.0","6747.0","1.14","0.0","0.0","2.12","1.14","2.41","13.42","2.41","0.0","0.0","0.0","21.6","437.03","218.52","437.03","415.43","0.0","","","","","","",""
"2015.0","2.0","10.0","41.0","6747.0","1.14","0.0","0.0","1.87","1.14","2.13","0.0","0.0","0.0","0.0","2.13","21.6","437.03","218.52","434.9","415.43","0.0","","","","","","",""
