" Daily soil water balance output for Urban Landscape in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Urban Landscape in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"2014.0","10.0","16.0","289.0","7709.0","0.29","0.8","0.0","2.7","0.8","2.16","0.0","0.0","0.0","0.0","24.18","36.6","152.0","76.0","127.82","115.4","0.0","","","","","","",""
"2014.0","10.0","17.0","290.0","7709.0","0.29","0.8","0.0","2.51","0.8","2.01","0.0","0.0","0.0","0.0","26.19","36.6","152.0","76.0","125.81","115.4","0.0","","","","","","",""
"2014.0","10.0","18.0","291.0","7709.0","0.29","0.8","0.0","2.88","0.8","2.3","0.0","0.0","0.0","0.0","28.49","36.6","152.0","76.0","123.51","115.4","0.0","","","","","","",""
"2014.0","10.0","19.0","292.0","7709.0","0.28","0.8","0.0","2.97","0.8","2.38","0.0","0.0","0.0","0.0","30.87","36.6","152.0","76.0","121.13","115.4","0.0","","","","","","",""
"2014.0","10.0","20.0","293.0","7709.0","0.28","0.8","0.0","2.25","0.8","1.8","0.0","0.0","0.0","0.0","32.67","36.6","152.0","76.0","119.33","115.4","0.0","","","","","","",""
"2014.0","10.0","21.0","294.0","7709.0","0.27","0.8","0.0","2.67","0.8","2.14","0.0","0.0","0.0","0.0","34.8","36.6","152.0","76.0","117.2","115.4","0.0","","","","","","",""
"2014.0","10.0","22.0","295.0","7709.0","0.27","0.8","0.0","2.57","0.8","2.06","0.0","0.0","0.0","0.0","0.0","36.6","152.0","76.0","152.0","115.4","36.86","","","","","","",""
"2014.0","10.0","23.0","296.0","7709.0","0.27","0.8","0.0","2.51","0.8","2.01","0.0","0.0","0.0","0.0","2.01","36.6","152.0","76.0","149.99","115.4","0.0","","","","","","",""
"2014.0","10.0","24.0","297.0","7709.0","0.27","0.8","0.0","2.57","0.8","2.06","0.0","0.0","0.0","0.0","4.06","36.6","152.0","76.0","147.94","115.4","0.0","","","","","","",""
"2014.0","10.0","25.0","298.0","7709.0","0.26","0.8","0.0","2.27","0.8","1.82","0.0","0.0","0.0","0.0","5.88","36.6","152.0","76.0","146.12","115.4","0.0","","","","","","",""
"2014.0","10.0","26.0","299.0","7709.0","0.26","0.8","0.0","2.66","0.8","2.13","1.25","1.25","0.0","0.0","6.76","36.6","152.0","76.0","145.24","115.4","0.0","","","","","","",""
"2014.0","10.0","27.0","300.0","7709.0","0.26","0.8","0.0","2.48","0.8","1.98","0.0","0.0","0.0","0.0","8.74","36.6","152.0","76.0","143.26","115.4","0.0","","","","","","",""
"2014.0","10.0","28.0","301.0","7709.0","0.25","0.8","0.0","2.37","0.8","1.9","0.0","0.0","0.0","0.0","10.64","36.6","152.0","76.0","141.36","115.4","0.0","","","","","","",""
"2014.0","10.0","29.0","302.0","7709.0","0.25","0.8","0.0","2.4","0.8","1.92","0.0","0.0","0.0","0.0","12.56","36.6","152.0","76.0","139.44","115.4","0.0","","","","","","",""
"2014.0","10.0","30.0","303.0","7709.0","0.25","0.8","0.0","2.51","0.8","2.01","0.0","0.0","0.0","0.0","14.57","36.6","152.0","76.0","137.43","115.4","0.0","","","","","","",""
"2014.0","10.0","31.0","304.0","7709.0","0.25","0.8","0.0","1.29","0.8","1.03","0.01","0.01","0.0","0.0","15.59","36.6","152.0","76.0","136.41","115.4","0.0","","","","","","",""
"2014.0","11.0","1.0","305.0","7709.0","1.15","0.8","0.0","1.84","1.15","2.11","7.1","7.1","0.0","0.0","10.6","36.6","152.0","76.0","141.4","115.4","0.0","","","","","","",""
"2014.0","11.0","2.0","306.0","7709.0","1.14","0.8","0.0","2.21","1.14","2.52","0.0","0.0","0.0","0.0","13.11","36.6","152.0","76.0","138.89","115.4","0.0","","","","","","",""
"2014.0","11.0","3.0","307.0","7709.0","1.14","0.8","0.0","1.8","1.14","2.06","0.0","0.0","0.0","0.0","15.17","36.6","152.0","76.0","136.83","115.4","0.0","","","","","","",""
"2014.0","11.0","4.0","308.0","7709.0","1.01","0.8","0.0","1.75","1.01","1.77","0.0","0.0","0.0","0.0","16.94","36.6","152.0","76.0","135.06","115.4","0.0","","","","","","",""
"2014.0","11.0","5.0","309.0","7709.0","0.91","0.8","0.0","1.82","0.91","1.65","0.0","0.0","0.0","0.0","18.58","36.6","152.0","76.0","133.42","115.4","0.0","","","","","","",""
"2014.0","11.0","6.0","310.0","7709.0","0.83","0.8","0.0","1.94","0.83","1.6","0.0","0.0","0.0","0.0","20.19","36.6","152.0","76.0","131.81","115.4","0.0","","","","","","",""
"2014.0","11.0","7.0","311.0","7709.0","0.76","0.8","0.0","2.01","0.8","1.61","0.0","0.0","0.0","0.0","21.79","36.6","152.0","76.0","130.21","115.4","0.0","","","","","","",""
"2014.0","11.0","8.0","312.0","7709.0","0.71","0.8","0.0","1.88","0.8","1.5","0.0","0.0","0.0","0.0","23.3","36.6","152.0","76.0","128.7","115.4","0.0","","","","","","",""
"2014.0","11.0","9.0","313.0","7709.0","0.67","0.8","0.0","1.86","0.8","1.49","0.0","0.0","0.0","0.0","24.79","36.6","152.0","76.0","127.21","115.4","0.0","","","","","","",""
"2014.0","11.0","10.0","314.0","7709.0","0.64","0.8","0.0","1.96","0.8","1.57","0.0","0.0","0.0","0.0","26.35","36.6","152.0","76.0","125.65","115.4","0.0","","","","","","",""
"2014.0","11.0","11.0","315.0","7709.0","0.61","0.8","0.0","1.52","0.8","1.22","0.0","0.0","0.0","0.0","27.57","36.6","152.0","76.0","124.43","115.4","0.0","","","","","","",""
"2014.0","11.0","12.0","316.0","7709.0","0.59","0.8","0.0","1.46","0.8","1.17","0.0","0.0","0.0","0.0","28.74","36.6","152.0","76.0","123.26","115.4","0.0","","","","","","",""
"2014.0","11.0","13.0","317.0","7709.0","1.18","0.8","0.0","1.02","1.18","1.2","4.19","4.19","0.0","0.0","25.75","36.6","152.0","76.0","126.25","115.4","0.0","","","","","","",""
"2014.0","11.0","14.0","318.0","7709.0","1.17","0.8","0.0","1.34","1.17","1.56","1.96","1.96","0.0","0.0","25.35","36.6","152.0","76.0","126.65","115.4","0.0","","","","","","",""
"2014.0","11.0","15.0","319.0","7709.0","1.17","0.8","0.0","1.28","1.17","1.49","0.0","0.0","0.0","0.0","26.85","36.6","152.0","76.0","125.15","115.4","0.0","","","","","","",""
"2014.0","11.0","16.0","320.0","7709.0","1.16","0.8","0.0","1.98","1.16","2.29","0.01","0.01","0.0","0.0","29.13","36.6","152.0","76.0","122.87","115.4","0.0","","","","","","",""
"2014.0","11.0","17.0","321.0","7709.0","1.1","0.8","0.0","1.82","1.1","2.01","0.0","0.0","0.0","0.0","31.14","36.6","152.0","76.0","120.86","115.4","0.0","","","","","","",""
"2014.0","11.0","18.0","322.0","7709.0","1.0","0.8","0.0","1.37","1.0","1.37","0.0","0.0","0.0","0.0","32.51","36.6","152.0","76.0","119.49","115.4","0.0","","","","","","",""
"2014.0","11.0","19.0","323.0","7709.0","0.94","0.8","0.0","1.06","0.94","1.0","0.13","0.13","0.0","0.0","33.38","36.6","152.0","76.0","118.62","115.4","0.0","","","","","","",""
"2014.0","11.0","20.0","324.0","7709.0","1.19","0.8","0.0","0.64","1.19","0.76","3.26","3.26","0.0","0.0","30.89","36.6","152.0","76.0","121.11","115.4","0.0","","","","","","",""
"2014.0","11.0","21.0","325.0","7709.0","1.19","0.8","0.0","0.82","1.19","0.97","4.7","4.7","0.0","0.0","27.16","36.6","152.0","76.0","124.84","115.4","0.0","","","","","","",""
"2014.0","11.0","22.0","326.0","7709.0","1.18","0.8","0.0","1.16","1.18","1.37","0.19","0.19","0.0","0.0","28.34","36.6","152.0","76.0","123.66","115.4","0.0","","","","","","",""
"2014.0","11.0","23.0","327.0","7709.0","1.16","0.8","0.0","1.49","1.16","1.73","3.38","3.38","0.0","0.0","26.69","36.6","152.0","76.0","125.31","115.4","0.0","","","","","","",""
"2014.0","11.0","24.0","328.0","7709.0","1.16","0.8","0.0","1.37","1.16","1.59","0.0","0.0","0.0","0.0","28.28","36.6","152.0","76.0","123.72","115.4","0.0","","","","","","",""
"2014.0","11.0","25.0","329.0","7709.0","1.17","0.8","0.0","1.22","1.17","1.42","0.0","0.0","0.0","0.0","29.7","36.6","152.0","76.0","122.3","115.4","0.0","","","","","","",""
"2014.0","11.0","26.0","330.0","7709.0","1.17","0.8","0.0","1.2","1.17","1.4","0.0","0.0","0.0","0.0","31.1","36.6","152.0","76.0","120.9","115.4","0.0","","","","","","",""
"2014.0","11.0","27.0","331.0","7709.0","1.1","0.8","0.0","1.19","1.1","1.31","0.0","0.0","0.0","0.0","32.42","36.6","152.0","76.0","119.58","115.4","0.0","","","","","","",""
"2014.0","11.0","28.0","332.0","7709.0","1.02","0.8","0.0","1.16","1.02","1.18","0.0","0.0","0.0","0.0","33.6","36.6","152.0","76.0","118.4","115.4","0.0","","","","","","",""
"2014.0","11.0","29.0","333.0","7709.0","1.19","0.8","0.0","0.85","1.19","1.01","2.69","2.69","0.0","0.0","31.92","36.6","152.0","76.0","120.08","115.4","0.0","","","","","","",""
"2014.0","11.0","30.0","334.0","7709.0","1.19","0.8","0.0","0.66","1.19","0.79","3.5","3.5","0.0","0.0","29.2","38.0","152.0","76.0","122.8","114.0","0.0","","","","","","",""
"2014.0","12.0","1.0","335.0","7709.0","1.18","0.8","0.0","1.02","1.18","1.2","7.13","7.13","0.0","0.0","23.28","38.0","152.0","76.0","128.72","114.0","0.0","","","","","","",""
"2014.0","12.0","2.0","336.0","7709.0","1.19","0.8","0.0","0.66","1.19","0.79","2.45","2.45","0.0","0.0","21.62","38.0","152.0","76.0","130.38","114.0","0.0","","","","","","",""
"2014.0","12.0","3.0","337.0","7709.0","1.17","0.8","0.0","1.13","1.17","1.33","39.11","22.94","0.0","0.0","0.0","38.0","152.0","76.0","152.0","114.0","0.0","","","","","","",""
"2014.0","12.0","4.0","338.0","7709.0","1.18","0.8","0.0","1.1","1.18","1.29","21.84","1.29","0.0","0.0","0.0","38.0","152.0","76.0","152.0","114.0","0.0","","","","","","",""
"2014.0","12.0","5.0","339.0","7709.0","1.18","0.8","0.0","0.92","1.18","1.09","0.22","0.22","0.0","0.0","0.87","38.0","152.0","76.0","151.13","114.0","0.0","","","","","","",""
"2014.0","12.0","6.0","340.0","7709.0","1.18","0.8","0.0","1.09","1.18","1.28","2.83","2.15","0.0","0.0","0.0","38.0","152.0","76.0","152.0","114.0","0.0","","","","","","",""
"2014.0","12.0","7.0","341.0","7709.0","1.18","0.8","0.0","0.77","1.18","0.91","0.78","0.78","0.0","0.0","0.13","38.0","152.0","76.0","151.87","114.0","0.0","","","","","","",""
"2014.0","12.0","8.0","342.0","7709.0","1.18","0.8","0.0","0.83","1.18","0.98","0.0","0.0","0.0","0.0","1.11","38.0","152.0","76.0","150.89","114.0","0.0","","","","","","",""
"2014.0","12.0","9.0","343.0","7709.0","1.19","0.8","0.0","0.68","1.19","0.81","0.0","0.0","0.0","0.0","1.92","38.0","152.0","76.0","150.08","114.0","0.0","","","","","","",""
"2014.0","12.0","10.0","344.0","7709.0","1.19","0.8","0.0","0.97","1.19","1.15","0.0","0.0","0.0","0.0","3.07","38.0","152.0","76.0","148.93","114.0","0.0","","","","","","",""
"2014.0","12.0","11.0","345.0","7709.0","1.18","0.8","0.0","1.27","1.18","1.5","0.01","0.01","0.0","0.0","4.56","38.0","152.0","76.0","147.44","114.0","0.0","","","","","","",""
"2014.0","12.0","12.0","346.0","7709.0","1.2","0.8","0.0","0.61","1.2","0.73","68.69","5.29","0.0","0.0","0.0","38.0","152.0","76.0","152.0","114.0","0.0","","","","","","",""
"2014.0","12.0","13.0","347.0","7709.0","1.19","0.8","0.0","0.68","1.19","0.81","1.6","0.81","0.0","0.0","0.0","38.0","152.0","76.0","152.0","114.0","0.0","","","","","","",""
"2014.0","12.0","14.0","348.0","7709.0","1.19","0.8","0.0","0.73","1.19","0.87","0.0","0.0","0.0","0.0","0.87","38.0","152.0","76.0","151.13","114.0","0.0","","","","","","",""
"2014.0","12.0","15.0","349.0","7709.0","1.18","0.8","0.0","0.95","1.18","1.12","6.13","1.99","0.0","0.0","0.0","38.0","152.0","76.0","152.0","114.0","0.0","","","","","","",""
"2014.0","12.0","16.0","350.0","7709.0","1.17","0.8","0.0","1.22","1.17","1.43","11.72","1.43","0.0","0.0","0.0","38.0","152.0","76.0","152.0","114.0","0.0","","","","","","",""
"2014.0","12.0","17.0","351.0","7709.0","1.18","0.8","0.0","0.96","1.18","1.13","12.55","1.13","0.0","0.0","0.0","38.0","152.0","76.0","152.0","114.0","0.0","","","","","","",""
"2014.0","12.0","18.0","352.0","7709.0","1.18","0.8","0.0","0.94","1.18","1.11","2.97","1.11","0.0","0.0","0.0","38.0","152.0","76.0","152.0","114.0","0.0","","","","","","",""
"2014.0","12.0","19.0","353.0","7709.0","1.18","0.8","0.0","0.83","1.18","0.98","0.0","0.0","0.0","0.0","0.98","38.0","152.0","76.0","151.02","114.0","0.0","","","","","","",""
"2014.0","12.0","20.0","354.0","7709.0","1.19","0.8","0.0","0.65","1.19","0.78","15.13","1.76","0.0","0.0","0.0","38.0","152.0","76.0","152.0","114.0","0.0","","","","","","",""
"2014.0","12.0","21.0","355.0","7709.0","1.19","0.8","0.0","0.98","1.19","1.16","0.01","0.01","0.0","0.0","1.15","38.0","152.0","76.0","150.85","114.0","0.0","","","","","","",""
"2014.0","12.0","22.0","356.0","7709.0","1.19","0.8","0.0","0.77","1.19","0.91","0.0","0.0","0.0","0.0","2.07","38.0","152.0","76.0","149.93","114.0","0.0","","","","","","",""
"2014.0","12.0","23.0","357.0","7709.0","1.19","0.8","0.0","0.72","1.19","0.86","0.0","0.0","0.0","0.0","2.92","38.0","152.0","76.0","149.08","114.0","0.0","","","","","","",""
"2014.0","12.0","24.0","358.0","7709.0","1.19","0.8","0.0","0.95","1.19","1.13","0.0","0.0","0.0","0.0","4.05","38.0","152.0","76.0","147.95","114.0","0.0","","","","","","",""
"2014.0","12.0","25.0","359.0","7709.0","1.14","0.8","0.0","1.9","1.14","2.17","1.24","1.24","0.0","0.0","4.99","38.0","152.0","76.0","147.01","114.0","0.0","","","","","","",""
"2014.0","12.0","26.0","360.0","7709.0","1.15","0.8","0.0","1.79","1.15","2.05","0.0","0.0","0.0","0.0","7.04","38.0","152.0","76.0","144.96","114.0","0.0","","","","","","",""
"2014.0","12.0","27.0","361.0","7709.0","1.16","0.8","0.0","0.76","1.16","0.88","0.0","0.0","0.0","0.0","7.92","38.0","152.0","76.0","144.08","114.0","0.0","","","","","","",""
"2014.0","12.0","28.0","362.0","7709.0","1.17","0.8","0.0","0.75","1.17","0.88","0.0","0.0","0.0","0.0","8.8","38.0","152.0","76.0","143.2","114.0","0.0","","","","","","",""
"2014.0","12.0","29.0","363.0","7709.0","1.17","0.8","0.0","0.54","1.17","0.63","0.0","0.0","0.0","0.0","9.43","38.0","152.0","76.0","142.57","114.0","0.0","","","","","","",""
"2014.0","12.0","30.0","364.0","7709.0","0.98","0.8","0.0","2.48","0.98","2.43","0.0","0.0","0.0","0.0","11.86","38.0","152.0","76.0","140.14","114.0","0.0","","","","","","",""
"2014.0","12.0","31.0","365.0","7709.0","0.85","0.8","0.0","2.64","0.85","2.24","0.0","0.0","0.0","0.0","14.1","38.0","152.0","76.0","137.9","114.0","0.0","","","","","","",""
"2015.0","1.0","1.0","1.0","7709.0","0.82","0.8","0.0","0.89","0.82","0.73","0.0","0.0","0.0","0.0","14.83","36.46","152.0","76.0","137.17","115.54","0.0","","","","","","",""
"2015.0","1.0","2.0","2.0","7709.0","0.79","0.8","0.0","0.88","0.8","0.7","0.0","0.0","0.0","0.0","15.53","36.46","152.0","76.0","136.47","115.54","0.0","","","","","","",""
"2015.0","1.0","3.0","3.0","7709.0","0.76","0.8","0.0","0.87","0.8","0.7","0.0","0.0","0.0","0.0","16.23","36.46","152.0","76.0","135.77","115.54","0.0","","","","","","",""
"2015.0","1.0","4.0","4.0","7709.0","0.74","0.8","0.0","0.97","0.8","0.78","0.0","0.0","0.0","0.0","17.0","36.46","152.0","76.0","135.0","115.54","0.0","","","","","","",""
"2015.0","1.0","5.0","5.0","7709.0","0.72","0.8","0.0","0.89","0.8","0.71","0.0","0.0","0.0","0.0","17.71","36.46","152.0","76.0","134.29","115.54","0.0","","","","","","",""
"2015.0","1.0","6.0","6.0","7709.0","0.69","0.8","0.0","1.19","0.8","0.95","0.0","0.0","0.0","0.0","18.67","36.46","152.0","76.0","133.33","115.54","0.0","","","","","","",""
"2015.0","1.0","7.0","7.0","7709.0","0.67","0.8","0.0","1.19","0.8","0.95","0.0","0.0","0.0","0.0","19.62","36.46","152.0","76.0","132.38","115.54","0.0","","","","","","",""
"2015.0","1.0","8.0","8.0","7709.0","0.65","0.8","0.0","1.04","0.8","0.83","0.0","0.0","0.0","0.0","20.45","36.46","152.0","76.0","131.55","115.54","0.0","","","","","","",""
"2015.0","1.0","9.0","9.0","7709.0","0.63","0.8","0.0","0.88","0.8","0.7","0.0","0.0","0.0","0.0","21.15","36.46","152.0","76.0","130.85","115.54","0.0","","","","","","",""
"2015.0","1.0","10.0","10.0","7709.0","0.62","0.8","0.0","0.99","0.8","0.79","0.0","0.0","0.0","0.0","21.95","36.46","152.0","76.0","130.05","115.54","0.0","","","","","","",""
"2015.0","1.0","11.0","11.0","7709.0","0.61","0.8","0.0","0.88","0.8","0.7","0.0","0.0","0.0","0.0","22.65","36.46","152.0","76.0","129.35","115.54","0.0","","","","","","",""
"2015.0","1.0","12.0","12.0","7709.0","0.59","0.8","0.0","1.02","0.8","0.82","0.0","0.0","0.0","0.0","23.47","36.46","152.0","76.0","128.53","115.54","0.0","","","","","","",""
"2015.0","1.0","13.0","13.0","7709.0","0.58","0.8","0.0","1.08","0.8","0.86","0.0","0.0","0.0","0.0","24.33","36.46","152.0","76.0","127.67","115.54","0.0","","","","","","",""
"2015.0","1.0","14.0","14.0","7709.0","0.57","0.8","0.0","0.68","0.8","0.54","0.0","0.0","0.0","0.0","24.87","36.46","152.0","76.0","127.13","115.54","0.0","","","","","","",""
"2015.0","1.0","15.0","15.0","7709.0","0.56","0.8","0.0","0.69","0.8","0.55","0.0","0.0","0.0","0.0","25.43","36.46","152.0","76.0","126.57","115.54","0.0","","","","","","",""
"2015.0","1.0","16.0","16.0","7709.0","0.56","0.8","0.0","0.6","0.8","0.48","0.0","0.0","0.0","0.0","25.91","36.46","152.0","76.0","126.09","115.54","0.0","","","","","","",""
"2015.0","1.0","17.0","17.0","7709.0","0.55","0.8","0.0","0.53","0.8","0.42","0.0","0.0","0.0","0.0","26.33","36.46","152.0","76.0","125.67","115.54","0.0","","","","","","",""
"2015.0","1.0","18.0","18.0","7709.0","0.55","0.8","0.0","0.59","0.8","0.47","0.0","0.0","0.0","0.0","26.8","36.46","152.0","76.0","125.2","115.54","0.0","","","","","","",""
"2015.0","1.0","19.0","19.0","7709.0","0.54","0.8","0.0","0.62","0.8","0.5","0.01","0.01","0.0","0.0","27.29","36.46","152.0","76.0","124.71","115.54","0.0","","","","","","",""
"2015.0","1.0","20.0","20.0","7709.0","0.53","0.8","0.0","0.75","0.8","0.6","0.0","0.0","0.0","0.0","27.89","36.46","152.0","76.0","124.11","115.54","0.0","","","","","","",""
"2015.0","1.0","21.0","21.0","7709.0","0.52","0.8","0.0","0.97","0.8","0.78","0.0","0.0","0.0","0.0","28.66","36.46","152.0","76.0","123.34","115.54","0.0","","","","","","",""
"2015.0","1.0","22.0","22.0","7709.0","0.52","0.8","0.0","0.72","0.8","0.58","0.0","0.0","0.0","0.0","29.24","36.46","152.0","76.0","122.76","115.54","0.0","","","","","","",""
"2015.0","1.0","23.0","23.0","7709.0","0.51","0.8","0.0","0.94","0.8","0.75","0.0","0.0","0.0","0.0","29.99","36.46","152.0","76.0","122.01","115.54","0.0","","","","","","",""
"2015.0","1.0","24.0","24.0","7709.0","0.5","0.8","0.0","0.87","0.8","0.7","0.0","0.0","0.0","0.0","30.69","36.46","152.0","76.0","121.31","115.54","0.0","","","","","","",""
"2015.0","1.0","25.0","25.0","7709.0","0.49","0.8","0.0","1.02","0.8","0.82","0.0","0.0","0.0","0.0","31.5","36.46","152.0","76.0","120.5","115.54","0.0","","","","","","",""
"2015.0","1.0","26.0","26.0","7709.0","0.49","0.8","0.0","1.27","0.8","1.02","0.0","0.0","0.0","0.0","32.52","36.46","152.0","76.0","119.48","115.54","0.0","","","","","","",""
"2015.0","1.0","27.0","27.0","7709.0","0.48","0.8","0.0","1.12","0.8","0.9","0.0","0.0","0.0","0.0","33.42","36.46","152.0","76.0","118.58","115.54","0.0","","","","","","",""
"2015.0","1.0","28.0","28.0","7709.0","0.47","0.8","0.0","1.5","0.8","1.2","0.0","0.0","0.0","0.0","34.62","36.46","152.0","76.0","117.38","115.54","0.0","","","","","","",""
"2015.0","1.0","29.0","29.0","7709.0","0.46","0.8","0.0","1.41","0.8","1.13","0.0","0.0","0.0","0.0","35.74","36.46","152.0","76.0","116.26","115.54","0.0","","","","","","",""
"2015.0","1.0","30.0","30.0","7709.0","0.45","0.8","0.0","1.89","0.8","1.51","0.0","0.0","0.0","0.0","0.0","36.46","152.0","76.0","152.0","115.54","37.26","","","","","","",""
"2015.0","1.0","31.0","31.0","7709.0","0.43","0.8","0.0","3.35","0.8","2.68","0.0","0.0","0.0","0.0","2.68","36.46","152.0","76.0","149.32","115.54","0.0","","","","","","",""
"2015.0","2.0","1.0","32.0","7709.0","0.42","0.8","0.0","1.46","0.8","1.17","0.0","0.0","0.0","0.0","3.85","36.46","152.0","76.0","148.15","115.54","0.0","","","","","","",""
"2015.0","2.0","2.0","33.0","7709.0","0.41","0.8","0.0","1.5","0.8","1.2","0.0","0.0","0.0","0.0","5.05","36.46","152.0","76.0","146.95","115.54","0.0","","","","","","",""
"2015.0","2.0","3.0","34.0","7709.0","0.41","0.8","0.0","1.56","0.8","1.25","0.0","0.0","0.0","0.0","6.3","36.46","152.0","76.0","145.7","115.54","0.0","","","","","","",""
"2015.0","2.0","4.0","35.0","7709.0","0.4","0.8","0.0","1.45","0.8","1.16","0.0","0.0","0.0","0.0","7.46","36.46","152.0","76.0","144.54","115.54","0.0","","","","","","",""
"2015.0","2.0","5.0","36.0","7709.0","0.4","0.8","0.0","1.11","0.8","0.89","0.0","0.0","0.0","0.0","8.34","36.46","152.0","76.0","143.66","115.54","0.0","","","","","","",""
"2015.0","2.0","6.0","37.0","7709.0","0.39","0.8","0.0","2.23","0.8","1.78","0.97","0.97","0.0","0.0","9.16","36.46","152.0","76.0","142.84","115.54","0.0","","","","","","",""
"2015.0","2.0","7.0","38.0","7709.0","1.16","0.8","0.0","1.43","1.16","1.66","20.87","10.82","0.0","0.0","0.0","36.46","152.0","76.0","152.0","115.54","0.0","","","","","","",""
"2015.0","2.0","8.0","39.0","7709.0","1.16","0.8","0.0","1.39","1.16","1.62","12.03","1.62","0.0","0.0","0.0","36.46","152.0","76.0","152.0","115.54","0.0","","","","","","",""
"2015.0","2.0","9.0","40.0","7709.0","1.14","0.8","0.0","2.02","1.14","2.3","18.45","2.3","0.0","0.0","0.0","36.46","152.0","76.0","152.0","115.54","0.0","","","","","","",""
"2015.0","2.0","10.0","41.0","7709.0","1.14","0.8","0.0","1.84","1.14","2.1","0.02","0.02","0.0","0.0","2.08","36.46","152.0","76.0","149.92","115.54","0.0","","","","","","",""
