" Daily soil water balance output for Alfalfa in 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for  Alfalfa at 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015","","","","",""
"2014.0","10.0","16.0","289.0","781.0","0.08","0.9","0.0","2.72","0.9","2.45","0.0","0.0","0.0","0.0","16.19","110.55","498.58","249.29","482.39","388.03","0.0","","","","","","",""
"2014.0","10.0","17.0","290.0","781.0","0.08","0.9","0.0","2.53","0.9","2.28","0.0","0.0","0.0","0.0","18.47","110.55","498.58","249.29","480.11","388.03","0.0","","","","","","",""
"2014.0","10.0","18.0","291.0","781.0","0.08","0.9","0.0","2.88","0.9","2.59","0.0","0.0","0.0","0.0","21.06","110.55","498.58","249.29","477.52","388.03","0.0","","","","","","",""
"2014.0","10.0","19.0","292.0","781.0","0.08","0.9","0.0","2.84","0.9","2.56","0.0","0.0","0.0","0.0","23.62","110.55","498.58","249.29","474.96","388.03","0.0","","","","","","",""
"2014.0","10.0","20.0","293.0","781.0","0.08","0.9","0.0","2.22","0.9","2.0","0.0","0.0","0.0","0.0","25.61","110.55","498.58","249.29","472.97","388.03","0.0","","","","","","",""
"2014.0","10.0","21.0","294.0","781.0","0.08","0.9","0.0","2.7","0.9","2.43","0.0","0.0","0.0","0.0","28.04","110.55","498.58","249.29","470.54","388.03","0.0","","","","","","",""
"2014.0","10.0","22.0","295.0","781.0","0.08","0.9","0.0","2.55","0.9","2.3","0.0","0.0","0.0","0.0","30.34","110.55","498.58","249.29","468.24","388.03","0.0","","","","","","",""
"2014.0","10.0","23.0","296.0","781.0","0.08","0.9","0.0","2.57","0.9","2.31","0.0","0.0","0.0","0.0","32.65","110.55","498.58","249.29","465.93","388.03","0.0","","","","","","",""
"2014.0","10.0","24.0","297.0","781.0","0.08","0.9","0.0","2.55","0.9","2.3","0.0","0.0","0.0","0.0","34.95","110.55","498.58","249.29","463.63","388.03","0.0","","","","","","",""
"2014.0","10.0","25.0","298.0","781.0","0.08","0.9","0.0","2.29","0.9","2.06","0.0","0.0","0.0","0.0","37.01","110.55","498.58","249.29","461.57","388.03","0.0","","","","","","",""
"2014.0","10.0","26.0","299.0","781.0","0.08","0.9","0.0","2.69","0.9","2.42","1.42","1.42","0.0","0.0","38.01","110.55","498.58","249.29","460.57","388.03","0.0","","","","","","",""
"2014.0","10.0","27.0","300.0","781.0","0.08","0.9","0.0","2.51","0.9","2.26","0.0","0.0","0.0","0.0","40.27","110.55","498.58","249.29","458.31","388.03","0.0","","","","","","",""
"2014.0","10.0","28.0","301.0","781.0","0.08","0.9","0.0","2.39","0.9","2.15","0.0","0.0","0.0","0.0","42.42","110.55","498.58","249.29","456.16","388.03","0.0","","","","","","",""
"2014.0","10.0","29.0","302.0","781.0","0.08","0.9","0.0","2.5","0.9","2.25","0.0","0.0","0.0","0.0","44.67","110.55","498.58","249.29","453.91","388.03","0.0","","","","","","",""
"2014.0","10.0","30.0","303.0","781.0","0.08","0.9","0.0","2.44","0.9","2.2","0.0","0.0","0.0","0.0","46.87","110.55","498.58","249.29","451.71","388.03","0.0","","","","","","",""
"2014.0","10.0","31.0","304.0","781.0","0.08","0.9","0.0","1.38","0.9","1.24","0.0","0.0","0.0","0.0","48.11","110.55","498.58","249.29","450.47","388.03","0.0","","","","","","",""
"2014.0","11.0","1.0","305.0","781.0","1.15","0.9","0.0","1.85","1.15","2.12","8.58","8.58","0.0","0.0","41.65","110.55","498.58","249.29","456.93","388.03","0.0","","","","","","",""
"2014.0","11.0","2.0","306.0","781.0","1.14","0.9","0.0","2.15","1.14","2.45","0.0","0.0","0.0","0.0","44.1","110.55","498.58","249.29","454.48","388.03","0.0","","","","","","",""
"2014.0","11.0","3.0","307.0","781.0","1.14","0.9","0.0","1.8","1.14","2.06","0.0","0.0","0.0","0.0","46.15","110.55","498.58","249.29","452.42","388.03","0.0","","","","","","",""
"2014.0","11.0","4.0","308.0","781.0","1.01","0.9","0.0","1.77","1.01","1.79","0.0","0.0","0.0","0.0","47.94","110.55","498.58","249.29","450.64","388.03","0.0","","","","","","",""
"2014.0","11.0","5.0","309.0","781.0","0.9","0.9","0.0","1.98","0.9","1.78","0.0","0.0","0.0","0.0","49.73","110.55","498.58","249.29","448.85","388.03","0.0","","","","","","",""
"2014.0","11.0","6.0","310.0","781.0","0.82","0.9","0.0","1.93","0.9","1.74","0.0","0.0","0.0","0.0","51.46","110.55","498.58","249.29","447.12","388.03","0.0","","","","","","",""
"2014.0","11.0","7.0","311.0","781.0","0.76","0.9","0.0","1.95","0.9","1.76","0.0","0.0","0.0","0.0","53.22","110.55","498.58","249.29","445.36","388.03","0.0","","","","","","",""
"2014.0","11.0","8.0","312.0","781.0","0.71","0.9","0.0","1.88","0.9","1.69","0.0","0.0","0.0","0.0","54.91","110.55","498.58","249.29","443.67","388.03","0.0","","","","","","",""
"2014.0","11.0","9.0","313.0","781.0","0.67","0.9","0.0","1.83","0.9","1.65","0.0","0.0","0.0","0.0","56.56","110.55","498.58","249.29","442.02","388.03","0.0","","","","","","",""
"2014.0","11.0","10.0","314.0","781.0","0.64","0.9","0.0","1.78","0.9","1.6","0.0","0.0","0.0","0.0","58.16","110.55","498.58","249.29","440.42","388.03","0.0","","","","","","",""
"2014.0","11.0","11.0","315.0","781.0","0.62","0.9","0.0","1.54","0.9","1.39","0.0","0.0","0.0","0.0","59.55","110.55","498.58","249.29","439.03","388.03","0.0","","","","","","",""
"2014.0","11.0","12.0","316.0","781.0","0.59","0.9","0.0","1.6","0.9","1.44","0.0","0.0","0.0","0.0","60.99","110.55","498.58","249.29","437.59","388.03","0.0","","","","","","",""
"2014.0","11.0","13.0","317.0","781.0","1.18","0.9","0.0","1.12","1.18","1.32","5.87","5.87","0.0","0.0","56.43","110.55","498.58","249.29","442.15","388.03","0.0","","","","","","",""
"2014.0","11.0","14.0","318.0","781.0","1.17","0.9","0.0","1.44","1.17","1.68","1.23","1.23","0.0","0.0","56.88","110.55","498.58","249.29","441.7","388.03","0.0","","","","","","",""
"2014.0","11.0","15.0","319.0","781.0","1.17","0.9","0.0","1.36","1.17","1.59","0.0","0.0","0.0","0.0","58.47","110.55","498.58","249.29","440.11","388.03","0.0","","","","","","",""
"2014.0","11.0","16.0","320.0","781.0","1.16","0.9","0.0","1.9","1.16","2.21","0.0","0.0","0.0","0.0","60.68","110.55","498.58","249.29","437.9","388.03","0.0","","","","","","",""
"2014.0","11.0","17.0","321.0","781.0","1.02","0.9","0.0","1.77","1.02","1.8","0.0","0.0","0.0","0.0","62.48","110.55","498.58","249.29","436.1","388.03","0.0","","","","","","",""
"2014.0","11.0","18.0","322.0","781.0","0.94","0.9","0.0","1.33","0.94","1.25","0.0","0.0","0.0","0.0","63.73","110.55","498.58","249.29","434.85","388.03","0.0","","","","","","",""
"2014.0","11.0","19.0","323.0","781.0","0.88","0.9","0.0","1.19","0.9","1.07","0.0","0.0","0.0","0.0","64.8","110.55","498.58","249.29","433.78","388.03","0.0","","","","","","",""
"2014.0","11.0","20.0","324.0","781.0","1.19","0.9","0.0","0.65","1.19","0.78","2.25","2.25","0.0","0.0","63.32","110.55","498.58","249.29","435.26","388.03","0.0","","","","","","",""
"2014.0","11.0","21.0","325.0","781.0","1.18","0.9","0.0","0.94","1.18","1.11","4.75","4.75","0.0","0.0","59.68","110.55","498.58","249.29","438.9","388.03","0.0","","","","","","",""
"2014.0","11.0","22.0","326.0","781.0","1.18","0.9","0.0","1.28","1.18","1.5","0.01","0.01","0.0","0.0","61.18","110.55","498.58","249.29","437.4","388.03","0.0","","","","","","",""
"2014.0","11.0","23.0","327.0","781.0","1.16","0.9","0.0","1.59","1.16","1.84","3.94","3.94","0.0","0.0","59.08","110.55","498.58","249.29","439.5","388.03","0.0","","","","","","",""
"2014.0","11.0","24.0","328.0","781.0","1.16","0.9","0.0","1.4","1.16","1.62","0.0","0.0","0.0","0.0","60.7","110.55","498.58","249.29","437.88","388.03","0.0","","","","","","",""
"2014.0","11.0","25.0","329.0","781.0","1.16","0.9","0.0","1.29","1.16","1.5","0.0","0.0","0.0","0.0","62.2","110.55","498.58","249.29","436.38","388.03","0.0","","","","","","",""
"2014.0","11.0","26.0","330.0","781.0","1.16","0.9","0.0","1.32","1.16","1.54","0.0","0.0","0.0","0.0","63.74","110.55","498.58","249.29","434.84","388.03","0.0","","","","","","",""
"2014.0","11.0","27.0","331.0","781.0","1.07","0.9","0.0","1.23","1.07","1.32","0.0","0.0","0.0","0.0","65.06","110.55","498.58","249.29","433.52","388.03","0.0","","","","","","",""
"2014.0","11.0","28.0","332.0","781.0","0.99","0.9","0.0","1.19","0.99","1.18","0.0","0.0","0.0","0.0","66.24","110.55","498.58","249.29","432.34","388.03","0.0","","","","","","",""
"2014.0","11.0","29.0","333.0","781.0","0.95","0.9","0.0","0.8","0.95","0.76","0.41","0.41","0.0","0.0","66.59","110.55","498.58","249.29","431.99","388.03","0.0","","","","","","",""
"2014.0","11.0","30.0","334.0","781.0","1.19","0.9","0.0","0.69","1.19","0.82","2.78","2.78","0.0","0.0","64.63","110.55","498.58","249.29","433.95","388.03","0.0","","","","","","",""
"2014.0","12.0","1.0","335.0","781.0","1.18","0.9","0.0","0.96","1.18","1.13","12.37","12.37","0.0","0.0","53.39","110.55","498.58","249.29","445.19","388.03","0.0","","","","","","",""
"2014.0","12.0","2.0","336.0","781.0","1.2","0.9","0.0","0.62","1.2","0.74","10.99","10.99","0.0","0.0","43.15","110.55","498.58","249.29","455.43","388.03","0.0","","","","","","",""
"2014.0","12.0","3.0","337.0","781.0","1.17","0.9","0.0","1.24","1.17","1.45","28.92","28.92","0.0","0.0","15.68","110.55","498.58","249.29","482.9","388.03","0.0","","","","","","",""
"2014.0","12.0","4.0","338.0","781.0","1.17","0.9","0.0","1.13","1.17","1.33","7.13","7.13","0.0","0.0","9.87","110.55","498.58","249.29","488.71","388.03","0.0","","","","","","",""
"2014.0","12.0","5.0","339.0","781.0","1.18","0.9","0.0","0.91","1.18","1.07","0.35","0.35","0.0","0.0","10.6","110.55","498.58","249.29","487.98","388.03","0.0","","","","","","",""
"2014.0","12.0","6.0","340.0","781.0","1.18","0.9","0.0","1.09","1.18","1.28","2.4","2.4","0.0","0.0","9.48","110.55","498.58","249.29","489.1","388.03","0.0","","","","","","",""
"2014.0","12.0","7.0","341.0","781.0","1.18","0.9","0.0","0.72","1.18","0.85","0.32","0.32","0.0","0.0","10.01","110.55","498.58","249.29","488.57","388.03","0.0","","","","","","",""
"2014.0","12.0","8.0","342.0","781.0","1.18","0.9","0.0","0.88","1.18","1.04","0.0","0.0","0.0","0.0","11.05","110.55","498.58","249.29","487.53","388.03","0.0","","","","","","",""
"2014.0","12.0","9.0","343.0","781.0","1.19","0.9","0.0","0.69","1.19","0.82","0.0","0.0","0.0","0.0","11.87","110.55","498.58","249.29","486.71","388.03","0.0","","","","","","",""
"2014.0","12.0","10.0","344.0","781.0","1.19","0.9","0.0","0.9","1.19","1.07","0.0","0.0","0.0","0.0","12.94","110.55","498.58","249.29","485.64","388.03","0.0","","","","","","",""
"2014.0","12.0","11.0","345.0","781.0","1.18","0.9","0.0","1.36","1.18","1.61","0.0","0.0","0.0","0.0","14.55","110.55","498.58","249.29","484.03","388.03","0.0","","","","","","",""
"2014.0","12.0","12.0","346.0","781.0","1.19","0.9","0.0","0.63","1.19","0.75","65.93","15.3","0.0","0.0","0.0","110.55","498.58","249.29","498.58","388.03","0.0","","","","","","",""
"2014.0","12.0","13.0","347.0","781.0","1.19","0.9","0.0","0.74","1.19","0.88","1.66","0.88","0.0","0.0","0.0","110.55","498.58","249.29","498.58","388.03","0.0","","","","","","",""
"2014.0","12.0","14.0","348.0","781.0","1.19","0.9","0.0","0.81","1.19","0.96","0.0","0.0","0.0","0.0","0.96","110.55","498.58","249.29","497.62","388.03","0.0","","","","","","",""
"2014.0","12.0","15.0","349.0","781.0","1.18","0.9","0.0","1.01","1.18","1.19","10.89","2.15","0.0","0.0","0.0","110.55","498.58","249.29","498.58","388.03","0.0","","","","","","",""
"2014.0","12.0","16.0","350.0","781.0","1.17","0.9","0.0","1.24","1.17","1.45","9.78","1.45","0.0","0.0","0.0","110.55","498.58","249.29","498.58","388.03","0.0","","","","","","",""
"2014.0","12.0","17.0","351.0","781.0","1.18","0.9","0.0","0.95","1.18","1.12","11.39","1.12","0.0","0.0","0.0","110.55","498.58","249.29","498.58","388.03","0.0","","","","","","",""
"2014.0","12.0","18.0","352.0","781.0","1.18","0.9","0.0","1.0","1.18","1.18","5.48","1.18","0.0","0.0","0.0","110.55","498.58","249.29","498.58","388.03","0.0","","","","","","",""
"2014.0","12.0","19.0","353.0","781.0","1.18","0.9","0.0","0.85","1.18","1.01","0.0","0.0","0.0","0.0","1.01","110.55","498.58","249.29","497.57","388.03","0.0","","","","","","",""
"2014.0","12.0","20.0","354.0","781.0","1.19","0.9","0.0","0.7","1.19","0.83","8.92","1.84","0.0","0.0","0.0","110.55","498.58","249.29","498.58","388.03","0.0","","","","","","",""
"2014.0","12.0","21.0","355.0","781.0","1.19","0.9","0.0","1.0","1.19","1.19","0.47","0.47","0.0","0.0","0.72","110.55","498.58","249.29","497.86","388.03","0.0","","","","","","",""
"2014.0","12.0","22.0","356.0","781.0","1.19","0.9","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","1.64","110.55","498.58","249.29","496.94","388.03","0.0","","","","","","",""
"2014.0","12.0","23.0","357.0","781.0","1.19","0.9","0.0","0.79","1.19","0.94","0.0","0.0","0.0","0.0","2.58","110.55","498.58","249.29","496.0","388.03","0.0","","","","","","",""
"2014.0","12.0","24.0","358.0","781.0","1.19","0.9","0.0","0.96","1.19","1.14","0.0","0.0","0.0","0.0","3.72","110.55","498.58","249.29","494.86","388.03","0.0","","","","","","",""
"2014.0","12.0","25.0","359.0","781.0","1.13","0.9","0.0","1.97","1.13","2.23","0.72","0.72","0.0","0.0","5.23","110.55","498.58","249.29","493.35","388.03","0.0","","","","","","",""
"2014.0","12.0","26.0","360.0","781.0","1.01","0.9","0.0","1.61","1.01","1.62","0.0","0.0","0.0","0.0","6.86","110.55","498.58","249.29","491.72","388.03","0.0","","","","","","",""
"2014.0","12.0","27.0","361.0","781.0","0.96","0.9","0.0","0.77","0.96","0.74","0.0","0.0","0.0","0.0","7.6","110.55","498.58","249.29","490.98","388.03","0.0","","","","","","",""
"2014.0","12.0","28.0","362.0","781.0","0.92","0.9","0.0","0.77","0.92","0.71","0.0","0.0","0.0","0.0","8.31","110.55","498.58","249.29","490.27","388.03","0.0","","","","","","",""
"2014.0","12.0","29.0","363.0","781.0","0.9","0.9","0.0","0.56","0.9","0.5","0.0","0.0","0.0","0.0","8.81","110.55","498.58","249.29","489.77","388.03","0.0","","","","","","",""
"2014.0","12.0","30.0","364.0","781.0","0.8","0.9","0.0","2.42","0.9","2.18","0.0","0.0","0.0","0.0","10.99","110.55","498.58","249.29","487.59","388.03","0.0","","","","","","",""
"2014.0","12.0","31.0","365.0","781.0","0.73","0.9","0.0","2.55","0.9","2.3","0.0","0.0","0.0","0.0","13.28","110.55","498.58","249.29","485.29","388.03","0.0","","","","","","",""
"2015.0","1.0","1.0","1.0","781.0","0.71","0.9","0.0","1.01","0.9","0.91","0.0","0.0","0.0","0.0","14.19","106.76","498.58","249.29","484.39","391.82","0.0","","","","","","",""
"2015.0","1.0","2.0","2.0","781.0","0.69","0.9","0.0","0.91","0.9","0.82","0.0","0.0","0.0","0.0","15.01","106.76","498.58","249.29","483.57","391.82","0.0","","","","","","",""
"2015.0","1.0","3.0","3.0","781.0","0.67","0.9","0.0","0.92","0.9","0.83","0.0","0.0","0.0","0.0","15.84","106.76","498.58","249.29","482.74","391.82","0.0","","","","","","",""
"2015.0","1.0","4.0","4.0","781.0","0.65","0.9","0.0","1.02","0.9","0.92","0.0","0.0","0.0","0.0","16.76","106.76","498.58","249.29","481.82","391.82","0.0","","","","","","",""
"2015.0","1.0","5.0","5.0","781.0","0.63","0.9","0.0","1.03","0.9","0.93","0.0","0.0","0.0","0.0","17.69","106.76","498.58","249.29","480.89","391.82","0.0","","","","","","",""
"2015.0","1.0","6.0","6.0","781.0","0.61","0.9","0.0","1.27","0.9","1.14","0.0","0.0","0.0","0.0","18.83","106.76","498.58","249.29","479.75","391.82","0.0","","","","","","",""
"2015.0","1.0","7.0","7.0","781.0","0.6","0.9","0.0","1.24","0.9","1.12","0.0","0.0","0.0","0.0","19.94","106.76","498.58","249.29","478.63","391.82","0.0","","","","","","",""
"2015.0","1.0","8.0","8.0","781.0","0.58","0.9","0.0","1.03","0.9","0.93","0.0","0.0","0.0","0.0","20.87","106.76","498.58","249.29","477.71","391.82","0.0","","","","","","",""
"2015.0","1.0","9.0","9.0","781.0","0.57","0.9","0.0","0.9","0.9","0.81","0.0","0.0","0.0","0.0","21.68","106.76","498.58","249.29","476.9","391.82","0.0","","","","","","",""
"2015.0","1.0","10.0","10.0","781.0","0.56","0.9","0.0","1.05","0.9","0.95","0.0","0.0","0.0","0.0","22.63","106.76","498.58","249.29","475.95","391.82","0.0","","","","","","",""
"2015.0","1.0","11.0","11.0","781.0","0.55","0.9","0.0","0.86","0.9","0.77","0.0","0.0","0.0","0.0","23.4","106.76","498.58","249.29","475.18","391.82","0.0","","","","","","",""
"2015.0","1.0","12.0","12.0","781.0","0.54","0.9","0.0","0.97","0.9","0.87","0.0","0.0","0.0","0.0","24.27","106.76","498.58","249.29","474.31","391.82","0.0","","","","","","",""
"2015.0","1.0","13.0","13.0","781.0","0.53","0.9","0.0","1.04","0.9","0.94","0.0","0.0","0.0","0.0","25.21","106.76","498.58","249.29","473.37","391.82","0.0","","","","","","",""
"2015.0","1.0","14.0","14.0","781.0","0.53","0.9","0.0","0.62","0.9","0.56","0.0","0.0","0.0","0.0","25.77","106.76","498.58","249.29","472.81","391.82","0.0","","","","","","",""
"2015.0","1.0","15.0","15.0","781.0","0.52","0.9","0.0","0.66","0.9","0.59","0.0","0.0","0.0","0.0","26.36","106.76","498.58","249.29","472.22","391.82","0.0","","","","","","",""
"2015.0","1.0","16.0","16.0","781.0","0.51","0.9","0.0","0.62","0.9","0.56","0.0","0.0","0.0","0.0","26.92","106.76","498.58","249.29","471.66","391.82","0.0","","","","","","",""
"2015.0","1.0","17.0","17.0","781.0","0.51","0.9","0.0","0.54","0.9","0.49","0.0","0.0","0.0","0.0","27.41","106.76","498.58","249.29","471.17","391.82","0.0","","","","","","",""
"2015.0","1.0","18.0","18.0","781.0","0.51","0.9","0.0","0.66","0.9","0.59","0.0","0.0","0.0","0.0","28.0","106.76","498.58","249.29","470.58","391.82","0.0","","","","","","",""
"2015.0","1.0","19.0","19.0","781.0","0.5","0.9","0.0","0.55","0.9","0.5","0.43","0.43","0.0","0.0","28.06","106.76","498.58","249.29","470.51","391.82","0.0","","","","","","",""
"2015.0","1.0","20.0","20.0","781.0","0.49","0.9","0.0","0.81","0.9","0.73","0.0","0.0","0.0","0.0","28.79","106.76","498.58","249.29","469.79","391.82","0.0","","","","","","",""
"2015.0","1.0","21.0","21.0","781.0","0.49","0.9","0.0","1.08","0.9","0.97","0.0","0.0","0.0","0.0","29.77","106.76","498.58","249.29","468.81","391.82","0.0","","","","","","",""
"2015.0","1.0","22.0","22.0","781.0","0.48","0.9","0.0","0.69","0.9","0.62","0.0","0.0","0.0","0.0","30.39","106.76","498.58","249.29","468.19","391.82","0.0","","","","","","",""
"2015.0","1.0","23.0","23.0","781.0","0.47","0.9","0.0","1.02","0.9","0.92","0.0","0.0","0.0","0.0","31.3","106.76","498.58","249.29","467.27","391.82","0.0","","","","","","",""
"2015.0","1.0","24.0","24.0","781.0","0.47","0.9","0.0","0.96","0.9","0.86","0.0","0.0","0.0","0.0","32.17","106.76","498.58","249.29","466.41","391.82","0.0","","","","","","",""
"2015.0","1.0","25.0","25.0","781.0","0.46","0.9","0.0","1.04","0.9","0.94","0.0","0.0","0.0","0.0","33.1","106.76","498.58","249.29","465.47","391.82","0.0","","","","","","",""
"2015.0","1.0","26.0","26.0","781.0","0.45","0.9","0.0","1.19","0.9","1.07","0.0","0.0","0.0","0.0","34.18","106.76","498.58","249.29","464.4","391.82","0.0","","","","","","",""
"2015.0","1.0","27.0","27.0","781.0","0.45","0.9","0.0","1.14","0.9","1.03","0.0","0.0","0.0","0.0","35.2","106.76","498.58","249.29","463.38","391.82","0.0","","","","","","",""
"2015.0","1.0","28.0","28.0","781.0","0.44","0.9","0.0","1.45","0.9","1.31","0.0","0.0","0.0","0.0","36.51","106.76","498.58","249.29","462.07","391.82","0.0","","","","","","",""
"2015.0","1.0","29.0","29.0","781.0","0.43","0.9","0.0","1.38","0.9","1.24","0.0","0.0","0.0","0.0","37.75","106.76","498.58","249.29","460.83","391.82","0.0","","","","","","",""
"2015.0","1.0","30.0","30.0","781.0","0.42","0.9","0.0","1.66","0.9","1.49","0.0","0.0","0.0","0.0","39.24","106.76","498.58","249.29","459.34","391.82","0.0","","","","","","",""
"2015.0","1.0","31.0","31.0","781.0","0.41","0.9","0.0","2.85","0.9","2.57","0.0","0.0","0.0","0.0","41.81","106.76","498.58","249.29","456.77","391.82","0.0","","","","","","",""
"2015.0","2.0","1.0","32.0","781.0","0.4","0.9","0.0","1.55","0.9","1.4","0.0","0.0","0.0","0.0","43.2","106.76","498.58","249.29","455.38","391.82","0.0","","","","","","",""
"2015.0","2.0","2.0","33.0","781.0","0.4","0.9","0.0","1.57","0.9","1.41","0.0","0.0","0.0","0.0","44.62","106.76","498.58","249.29","453.96","391.82","0.0","","","","","","",""
"2015.0","2.0","3.0","34.0","781.0","0.39","0.9","0.0","1.67","0.9","1.5","0.0","0.0","0.0","0.0","46.12","106.76","498.58","249.29","452.46","391.82","0.0","","","","","","",""
"2015.0","2.0","4.0","35.0","781.0","0.39","0.9","0.0","1.36","0.9","1.22","0.0","0.0","0.0","0.0","47.34","106.76","498.58","249.29","451.24","391.82","0.0","","","","","","",""
"2015.0","2.0","5.0","36.0","781.0","0.38","0.9","0.0","1.01","0.9","0.91","0.0","0.0","0.0","0.0","48.25","106.76","498.58","249.29","450.33","391.82","0.0","","","","","","",""
"2015.0","2.0","6.0","37.0","781.0","0.38","0.9","0.0","2.21","0.9","1.99","0.0","0.0","0.0","0.0","50.24","106.76","498.58","249.29","448.34","391.82","0.0","","","","","","",""
"2015.0","2.0","7.0","38.0","781.0","1.16","0.9","0.0","1.47","1.16","1.71","13.46","13.46","0.0","0.0","38.49","106.76","498.58","249.29","460.09","391.82","0.0","","","","","","",""
"2015.0","2.0","8.0","39.0","781.0","1.16","0.9","0.0","1.61","1.16","1.86","11.21","11.21","0.0","0.0","29.14","106.76","498.58","249.29","469.44","391.82","0.0","","","","","","",""
"2015.0","2.0","9.0","40.0","781.0","1.14","0.9","0.0","2.11","1.14","2.4","13.89","13.89","0.0","0.0","17.64","106.76","498.58","249.29","480.94","391.82","0.0","","","","","","",""
"2015.0","2.0","10.0","41.0","781.0","1.14","0.9","0.0","1.9","1.14","2.17","0.0","0.0","0.0","0.0","19.81","106.76","498.58","249.29","478.77","391.82","0.0","","","","","","",""
"2015.0","2.0","11.0","42.0","781.0","1.14","0.9","0.0","1.76","1.14","2.01","0.0","0.0","0.0","0.0","21.82","106.76","498.58","249.29","476.76","391.82","0.0","","","","","","",""
"2015.0","2.0","12.0","43.0","781.0","0.99","0.9","0.0","2.06","0.99","2.05","0.0","0.0","0.0","0.0","23.87","106.76","498.58","249.29","474.71","391.82","0.0","","","","","","",""
