" Daily soil water balance output for Urban Landscape in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Urban Landscape in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"2014.0","10.0","16.0","289.0","7712.0","0.29","0.8","0.0","2.67","0.8","2.14","0.08","0.08","0.0","0.0","4.64","29.45","120.0","60.0","115.36","90.55","0.0","","","","","","",""
"2014.0","10.0","17.0","290.0","7712.0","0.29","0.8","0.0","2.51","0.8","2.01","0.0","0.0","0.0","0.0","6.65","29.45","120.0","60.0","113.35","90.55","0.0","","","","","","",""
"2014.0","10.0","18.0","291.0","7712.0","0.29","0.8","0.0","2.9","0.8","2.32","0.0","0.0","0.0","0.0","8.97","29.45","120.0","60.0","111.03","90.55","0.0","","","","","","",""
"2014.0","10.0","19.0","292.0","7712.0","0.28","0.8","0.0","3.02","0.8","2.42","0.0","0.0","0.0","0.0","11.39","29.45","120.0","60.0","108.61","90.55","0.0","","","","","","",""
"2014.0","10.0","20.0","293.0","7712.0","0.28","0.8","0.0","2.28","0.8","1.82","0.0","0.0","0.0","0.0","13.21","29.45","120.0","60.0","106.79","90.55","0.0","","","","","","",""
"2014.0","10.0","21.0","294.0","7712.0","0.27","0.8","0.0","2.62","0.8","2.1","0.0","0.0","0.0","0.0","15.31","29.45","120.0","60.0","104.69","90.55","0.0","","","","","","",""
"2014.0","10.0","22.0","295.0","7712.0","0.27","0.8","0.0","2.57","0.8","2.06","0.0","0.0","0.0","0.0","17.36","29.45","120.0","60.0","102.64","90.55","0.0","","","","","","",""
"2014.0","10.0","23.0","296.0","7712.0","0.27","0.8","0.0","2.45","0.8","1.96","0.0","0.0","0.0","0.0","19.32","29.45","120.0","60.0","100.68","90.55","0.0","","","","","","",""
"2014.0","10.0","24.0","297.0","7712.0","0.26","0.8","0.0","2.62","0.8","2.1","0.0","0.0","0.0","0.0","21.42","29.45","120.0","60.0","98.58","90.55","0.0","","","","","","",""
"2014.0","10.0","25.0","298.0","7712.0","0.26","0.8","0.0","2.31","0.8","1.85","0.0","0.0","0.0","0.0","23.27","29.45","120.0","60.0","96.73","90.55","0.0","","","","","","",""
"2014.0","10.0","26.0","299.0","7712.0","0.26","0.8","0.0","2.62","0.8","2.1","2.42","2.42","0.0","0.0","22.94","29.45","120.0","60.0","97.06","90.55","0.0","","","","","","",""
"2014.0","10.0","27.0","300.0","7712.0","0.26","0.8","0.0","2.46","0.8","1.97","0.0","0.0","0.0","0.0","24.91","29.45","120.0","60.0","95.09","90.55","0.0","","","","","","",""
"2014.0","10.0","28.0","301.0","7712.0","0.25","0.8","0.0","2.35","0.8","1.88","0.0","0.0","0.0","0.0","26.79","29.45","120.0","60.0","93.21","90.55","0.0","","","","","","",""
"2014.0","10.0","29.0","302.0","7712.0","0.25","0.8","0.0","2.4","0.8","1.92","0.0","0.0","0.0","0.0","28.71","29.45","120.0","60.0","91.29","90.55","0.0","","","","","","",""
"2014.0","10.0","30.0","303.0","7712.0","0.25","0.8","0.0","2.55","0.8","2.04","0.0","0.0","0.0","0.0","0.0","29.45","120.0","60.0","120.0","90.55","30.75","","","","","","",""
"2014.0","10.0","31.0","304.0","7712.0","0.25","0.8","0.0","1.22","0.8","0.98","0.0","0.0","0.0","0.0","0.98","29.45","120.0","60.0","119.02","90.55","0.0","","","","","","",""
"2014.0","11.0","1.0","305.0","7712.0","1.15","0.8","0.0","1.85","1.15","2.12","9.51","3.1","0.0","0.0","0.0","29.45","120.0","60.0","120.0","90.55","0.0","","","","","","",""
"2014.0","11.0","2.0","306.0","7712.0","1.14","0.8","0.0","2.22","1.14","2.53","0.0","0.0","0.0","0.0","2.53","29.45","120.0","60.0","117.47","90.55","0.0","","","","","","",""
"2014.0","11.0","3.0","307.0","7712.0","1.14","0.8","0.0","1.82","1.14","2.08","0.0","0.0","0.0","0.0","4.61","29.45","120.0","60.0","115.39","90.55","0.0","","","","","","",""
"2014.0","11.0","4.0","308.0","7712.0","1.01","0.8","0.0","1.76","1.01","1.77","0.0","0.0","0.0","0.0","6.37","29.45","120.0","60.0","113.63","90.55","0.0","","","","","","",""
"2014.0","11.0","5.0","309.0","7712.0","0.91","0.8","0.0","1.77","0.91","1.6","0.0","0.0","0.0","0.0","7.98","29.45","120.0","60.0","112.02","90.55","0.0","","","","","","",""
"2014.0","11.0","6.0","310.0","7712.0","0.82","0.8","0.0","1.95","0.82","1.61","0.0","0.0","0.0","0.0","9.59","29.45","120.0","60.0","110.41","90.55","0.0","","","","","","",""
"2014.0","11.0","7.0","311.0","7712.0","0.76","0.8","0.0","2.02","0.8","1.62","0.0","0.0","0.0","0.0","11.2","29.45","120.0","60.0","108.8","90.55","0.0","","","","","","",""
"2014.0","11.0","8.0","312.0","7712.0","0.71","0.8","0.0","1.91","0.8","1.53","0.0","0.0","0.0","0.0","12.73","29.45","120.0","60.0","107.27","90.55","0.0","","","","","","",""
"2014.0","11.0","9.0","313.0","7712.0","0.67","0.8","0.0","1.87","0.8","1.5","0.0","0.0","0.0","0.0","14.23","29.45","120.0","60.0","105.77","90.55","0.0","","","","","","",""
"2014.0","11.0","10.0","314.0","7712.0","0.63","0.8","0.0","2.04","0.8","1.63","0.0","0.0","0.0","0.0","15.86","29.45","120.0","60.0","104.14","90.55","0.0","","","","","","",""
"2014.0","11.0","11.0","315.0","7712.0","0.61","0.8","0.0","1.51","0.8","1.21","0.0","0.0","0.0","0.0","17.07","29.45","120.0","60.0","102.93","90.55","0.0","","","","","","",""
"2014.0","11.0","12.0","316.0","7712.0","0.59","0.8","0.0","1.4","0.8","1.12","0.0","0.0","0.0","0.0","18.19","29.45","120.0","60.0","101.81","90.55","0.0","","","","","","",""
"2014.0","11.0","13.0","317.0","7712.0","1.18","0.8","0.0","0.94","1.18","1.11","3.18","3.18","0.0","0.0","16.12","29.45","120.0","60.0","103.88","90.55","0.0","","","","","","",""
"2014.0","11.0","14.0","318.0","7712.0","1.17","0.8","0.0","1.24","1.17","1.45","2.3","2.3","0.0","0.0","15.27","29.45","120.0","60.0","104.73","90.55","0.0","","","","","","",""
"2014.0","11.0","15.0","319.0","7712.0","1.17","0.8","0.0","1.23","1.17","1.44","0.0","0.0","0.0","0.0","16.71","29.45","120.0","60.0","103.29","90.55","0.0","","","","","","",""
"2014.0","11.0","16.0","320.0","7712.0","1.16","0.8","0.0","2.03","1.16","2.35","0.0","0.0","0.0","0.0","19.06","29.45","120.0","60.0","100.94","90.55","0.0","","","","","","",""
"2014.0","11.0","17.0","321.0","7712.0","1.11","0.8","0.0","1.87","1.11","2.07","0.0","0.0","0.0","0.0","21.14","29.45","120.0","60.0","98.86","90.55","0.0","","","","","","",""
"2014.0","11.0","18.0","322.0","7712.0","1.0","0.8","0.0","1.42","1.0","1.42","0.0","0.0","0.0","0.0","22.56","29.45","120.0","60.0","97.44","90.55","0.0","","","","","","",""
"2014.0","11.0","19.0","323.0","7712.0","0.95","0.8","0.0","1.0","0.95","0.95","0.0","0.0","0.0","0.0","23.5","29.45","120.0","60.0","96.5","90.55","0.0","","","","","","",""
"2014.0","11.0","20.0","324.0","7712.0","1.19","0.8","0.0","0.63","1.19","0.75","3.48","3.48","0.0","0.0","20.78","29.45","120.0","60.0","99.22","90.55","0.0","","","","","","",""
"2014.0","11.0","21.0","325.0","7712.0","1.19","0.8","0.0","0.77","1.19","0.92","4.74","4.74","0.0","0.0","16.95","29.45","120.0","60.0","103.05","90.55","0.0","","","","","","",""
"2014.0","11.0","22.0","326.0","7712.0","1.18","0.8","0.0","1.08","1.18","1.28","0.6","0.6","0.0","0.0","17.63","29.45","120.0","60.0","102.37","90.55","0.0","","","","","","",""
"2014.0","11.0","23.0","327.0","7712.0","1.16","0.8","0.0","1.44","1.16","1.67","1.87","1.87","0.0","0.0","17.43","29.45","120.0","60.0","102.57","90.55","0.0","","","","","","",""
"2014.0","11.0","24.0","328.0","7712.0","1.16","0.8","0.0","1.37","1.16","1.59","0.0","0.0","0.0","0.0","19.03","29.45","120.0","60.0","100.97","90.55","0.0","","","","","","",""
"2014.0","11.0","25.0","329.0","7712.0","1.17","0.8","0.0","1.22","1.17","1.42","0.0","0.0","0.0","0.0","20.45","29.45","120.0","60.0","99.55","90.55","0.0","","","","","","",""
"2014.0","11.0","26.0","330.0","7712.0","1.17","0.8","0.0","1.16","1.17","1.35","0.0","0.0","0.0","0.0","21.81","29.45","120.0","60.0","98.19","90.55","0.0","","","","","","",""
"2014.0","11.0","27.0","331.0","7712.0","1.11","0.8","0.0","1.2","1.11","1.33","0.0","0.0","0.0","0.0","23.14","29.45","120.0","60.0","96.86","90.55","0.0","","","","","","",""
"2014.0","11.0","28.0","332.0","7712.0","1.02","0.8","0.0","1.15","1.02","1.18","0.0","0.0","0.0","0.0","24.32","29.45","120.0","60.0","95.68","90.55","0.0","","","","","","",""
"2014.0","11.0","29.0","333.0","7712.0","1.19","0.8","0.0","0.86","1.19","1.02","4.67","4.67","0.0","0.0","20.67","29.45","120.0","60.0","99.33","90.55","0.0","","","","","","",""
"2014.0","11.0","30.0","334.0","7712.0","1.19","0.8","0.0","0.66","1.19","0.79","6.84","6.84","0.0","0.0","14.62","29.45","120.0","60.0","105.38","90.55","0.0","","","","","","",""
"2014.0","12.0","1.0","335.0","7712.0","1.18","0.8","0.0","1.03","1.18","1.21","3.4","3.4","0.0","0.0","12.43","29.45","120.0","60.0","107.57","90.55","0.0","","","","","","",""
"2014.0","12.0","2.0","336.0","7712.0","1.19","0.8","0.0","0.67","1.19","0.8","1.57","1.57","0.0","0.0","11.66","29.45","120.0","60.0","108.34","90.55","0.0","","","","","","",""
"2014.0","12.0","3.0","337.0","7712.0","1.18","0.8","0.0","1.07","1.18","1.26","42.83","12.92","0.0","0.0","0.0","29.45","120.0","60.0","120.0","90.55","0.0","","","","","","",""
"2014.0","12.0","4.0","338.0","7712.0","1.18","0.8","0.0","1.07","1.18","1.26","23.53","1.26","0.0","0.0","0.0","29.45","120.0","60.0","120.0","90.55","0.0","","","","","","",""
"2014.0","12.0","5.0","339.0","7712.0","1.18","0.8","0.0","0.94","1.18","1.11","0.2","0.2","0.0","0.0","0.91","29.45","120.0","60.0","119.09","90.55","0.0","","","","","","",""
"2014.0","12.0","6.0","340.0","7712.0","1.18","0.8","0.0","1.08","1.18","1.27","3.02","2.18","0.0","0.0","0.0","30.0","120.0","60.0","120.0","90.0","0.0","","","","","","",""
"2014.0","12.0","7.0","341.0","7712.0","1.18","0.8","0.0","0.8","1.18","0.95","0.51","0.51","0.0","0.0","0.44","30.0","120.0","60.0","119.56","90.0","0.0","","","","","","",""
"2014.0","12.0","8.0","342.0","7712.0","1.18","0.8","0.0","0.83","1.18","0.98","0.0","0.0","0.0","0.0","1.42","30.0","120.0","60.0","118.58","90.0","0.0","","","","","","",""
"2014.0","12.0","9.0","343.0","7712.0","1.19","0.8","0.0","0.69","1.19","0.82","0.0","0.0","0.0","0.0","2.24","30.0","120.0","60.0","117.76","90.0","0.0","","","","","","",""
"2014.0","12.0","10.0","344.0","7712.0","1.19","0.8","0.0","0.97","1.19","1.15","0.0","0.0","0.0","0.0","3.39","30.0","120.0","60.0","116.61","90.0","0.0","","","","","","",""
"2014.0","12.0","11.0","345.0","7712.0","1.18","0.8","0.0","1.19","1.18","1.41","0.75","0.75","0.0","0.0","4.04","30.0","120.0","60.0","115.96","90.0","0.0","","","","","","",""
"2014.0","12.0","12.0","346.0","7712.0","1.2","0.8","0.0","0.6","1.2","0.72","73.65","4.76","0.0","0.0","0.0","30.0","120.0","60.0","120.0","90.0","0.0","","","","","","",""
"2014.0","12.0","13.0","347.0","7712.0","1.19","0.8","0.0","0.67","1.19","0.8","1.55","0.8","0.0","0.0","0.0","30.0","120.0","60.0","120.0","90.0","0.0","","","","","","",""
"2014.0","12.0","14.0","348.0","7712.0","1.19","0.8","0.0","0.69","1.19","0.82","0.0","0.0","0.0","0.0","0.82","30.0","120.0","60.0","119.18","90.0","0.0","","","","","","",""
"2014.0","12.0","15.0","349.0","7712.0","1.19","0.8","0.0","0.87","1.19","1.03","5.34","1.85","0.0","0.0","0.0","30.0","120.0","60.0","120.0","90.0","0.0","","","","","","",""
"2014.0","12.0","16.0","350.0","7712.0","1.17","0.8","0.0","1.18","1.17","1.38","10.1","1.38","0.0","0.0","0.0","30.0","120.0","60.0","120.0","90.0","0.0","","","","","","",""
"2014.0","12.0","17.0","351.0","7712.0","1.18","0.8","0.0","0.96","1.18","1.13","14.67","1.13","0.0","0.0","0.0","30.0","120.0","60.0","120.0","90.0","0.0","","","","","","",""
"2014.0","12.0","18.0","352.0","7712.0","1.18","0.8","0.0","0.91","1.18","1.08","2.9","1.08","0.0","0.0","0.0","30.0","120.0","60.0","120.0","90.0","0.0","","","","","","",""
"2014.0","12.0","19.0","353.0","7712.0","1.19","0.8","0.0","0.81","1.19","0.96","0.09","0.09","0.0","0.0","0.87","30.0","120.0","60.0","119.13","90.0","0.0","","","","","","",""
"2014.0","12.0","20.0","354.0","7712.0","1.19","0.8","0.0","0.63","1.19","0.75","18.41","1.62","0.0","0.0","0.0","30.0","120.0","60.0","120.0","90.0","0.0","","","","","","",""
"2014.0","12.0","21.0","355.0","7712.0","1.19","0.8","0.0","0.96","1.19","1.14","0.07","0.07","0.0","0.0","1.07","30.0","120.0","60.0","118.93","90.0","0.0","","","","","","",""
"2014.0","12.0","22.0","356.0","7712.0","1.19","0.8","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","2.0","30.0","120.0","60.0","118.0","90.0","0.0","","","","","","",""
"2014.0","12.0","23.0","357.0","7712.0","1.19","0.8","0.0","0.72","1.19","0.86","0.0","0.0","0.0","0.0","2.85","30.0","120.0","60.0","117.15","90.0","0.0","","","","","","",""
"2014.0","12.0","24.0","358.0","7712.0","1.19","0.8","0.0","0.97","1.19","1.15","0.0","0.0","0.0","0.0","4.01","30.0","120.0","60.0","115.99","90.0","0.0","","","","","","",""
"2014.0","12.0","25.0","359.0","7712.0","1.16","0.8","0.0","1.86","1.16","2.16","0.69","0.69","0.0","0.0","5.48","30.0","120.0","60.0","114.52","90.0","0.0","","","","","","",""
"2014.0","12.0","26.0","360.0","7712.0","1.01","0.8","0.0","1.91","1.01","1.92","0.0","0.0","0.0","0.0","7.4","30.0","120.0","60.0","112.6","90.0","0.0","","","","","","",""
"2014.0","12.0","27.0","361.0","7712.0","0.96","0.8","0.0","0.77","0.96","0.74","0.0","0.0","0.0","0.0","8.14","30.0","120.0","60.0","111.86","90.0","0.0","","","","","","",""
"2014.0","12.0","28.0","362.0","7712.0","0.92","0.8","0.0","0.76","0.92","0.7","0.0","0.0","0.0","0.0","8.84","30.0","120.0","60.0","111.16","90.0","0.0","","","","","","",""
"2014.0","12.0","29.0","363.0","7712.0","0.9","0.8","0.0","0.55","0.9","0.49","0.0","0.0","0.0","0.0","9.33","30.0","120.0","60.0","110.67","90.0","0.0","","","","","","",""
"2014.0","12.0","30.0","364.0","7712.0","0.8","0.8","0.0","2.47","0.8","1.98","0.0","0.0","0.0","0.0","11.31","30.0","120.0","60.0","108.69","90.0","0.0","","","","","","",""
"2014.0","12.0","31.0","365.0","7712.0","0.72","0.8","0.0","2.67","0.8","2.14","0.0","0.0","0.0","0.0","13.45","30.0","120.0","60.0","106.55","90.0","0.0","","","","","","",""
"2015.0","1.0","1.0","1.0","7712.0","0.71","0.8","0.0","0.85","0.8","0.68","0.0","0.0","0.0","0.0","14.13","29.38","120.0","60.0","105.87","90.62","0.0","","","","","","",""
"2015.0","1.0","2.0","2.0","7712.0","0.69","0.8","0.0","0.87","0.8","0.7","0.0","0.0","0.0","0.0","14.82","29.38","120.0","60.0","105.18","90.62","0.0","","","","","","",""
"2015.0","1.0","3.0","3.0","7712.0","0.67","0.8","0.0","0.86","0.8","0.69","0.0","0.0","0.0","0.0","15.51","29.38","120.0","60.0","104.49","90.62","0.0","","","","","","",""
"2015.0","1.0","4.0","4.0","7712.0","0.65","0.8","0.0","0.96","0.8","0.77","0.0","0.0","0.0","0.0","16.28","29.38","120.0","60.0","103.72","90.62","0.0","","","","","","",""
"2015.0","1.0","5.0","5.0","7712.0","0.64","0.8","0.0","0.86","0.8","0.69","0.0","0.0","0.0","0.0","16.97","29.38","120.0","60.0","103.03","90.62","0.0","","","","","","",""
"2015.0","1.0","6.0","6.0","7712.0","0.62","0.8","0.0","1.17","0.8","0.94","0.0","0.0","0.0","0.0","17.9","29.38","120.0","60.0","102.1","90.62","0.0","","","","","","",""
"2015.0","1.0","7.0","7.0","7712.0","0.6","0.8","0.0","1.19","0.8","0.95","0.0","0.0","0.0","0.0","18.86","29.38","120.0","60.0","101.14","90.62","0.0","","","","","","",""
"2015.0","1.0","8.0","8.0","7712.0","0.59","0.8","0.0","1.04","0.8","0.83","0.0","0.0","0.0","0.0","19.69","29.38","120.0","60.0","100.31","90.62","0.0","","","","","","",""
"2015.0","1.0","9.0","9.0","7712.0","0.58","0.8","0.0","0.87","0.8","0.7","0.0","0.0","0.0","0.0","20.38","29.38","120.0","60.0","99.62","90.62","0.0","","","","","","",""
"2015.0","1.0","10.0","10.0","7712.0","0.57","0.8","0.0","0.96","0.8","0.77","0.0","0.0","0.0","0.0","21.15","29.38","120.0","60.0","98.85","90.62","0.0","","","","","","",""
"2015.0","1.0","11.0","11.0","7712.0","0.56","0.8","0.0","0.9","0.8","0.72","0.0","0.0","0.0","0.0","21.87","29.38","120.0","60.0","98.13","90.62","0.0","","","","","","",""
"2015.0","1.0","12.0","12.0","7712.0","0.55","0.8","0.0","1.06","0.8","0.85","0.0","0.0","0.0","0.0","22.72","29.38","120.0","60.0","97.28","90.62","0.0","","","","","","",""
"2015.0","1.0","13.0","13.0","7712.0","0.53","0.8","0.0","1.19","0.8","0.95","0.0","0.0","0.0","0.0","23.67","29.38","120.0","60.0","96.33","90.62","0.0","","","","","","",""
"2015.0","1.0","14.0","14.0","7712.0","0.53","0.8","0.0","0.73","0.8","0.58","0.0","0.0","0.0","0.0","24.26","29.38","120.0","60.0","95.74","90.62","0.0","","","","","","",""
"2015.0","1.0","15.0","15.0","7712.0","0.52","0.8","0.0","0.73","0.8","0.58","0.0","0.0","0.0","0.0","24.84","29.38","120.0","60.0","95.16","90.62","0.0","","","","","","",""
"2015.0","1.0","16.0","16.0","7712.0","0.52","0.8","0.0","0.62","0.8","0.5","0.0","0.0","0.0","0.0","25.34","29.38","120.0","60.0","94.66","90.62","0.0","","","","","","",""
"2015.0","1.0","17.0","17.0","7712.0","0.51","0.8","0.0","0.57","0.8","0.46","0.16","0.16","0.0","0.0","25.63","29.38","120.0","60.0","94.37","90.62","0.0","","","","","","",""
"2015.0","1.0","18.0","18.0","7712.0","0.51","0.8","0.0","0.61","0.8","0.49","0.0","0.0","0.0","0.0","26.12","29.38","120.0","60.0","93.88","90.62","0.0","","","","","","",""
"2015.0","1.0","19.0","19.0","7712.0","0.5","0.8","0.0","0.7","0.8","0.56","0.0","0.0","0.0","0.0","26.68","29.38","120.0","60.0","93.32","90.62","0.0","","","","","","",""
"2015.0","1.0","20.0","20.0","7712.0","0.49","0.8","0.0","0.76","0.8","0.61","0.0","0.0","0.0","0.0","27.29","29.38","120.0","60.0","92.71","90.62","0.0","","","","","","",""
"2015.0","1.0","21.0","21.0","7712.0","0.49","0.8","0.0","0.95","0.8","0.76","0.0","0.0","0.0","0.0","28.05","29.38","120.0","60.0","91.95","90.62","0.0","","","","","","",""
"2015.0","1.0","22.0","22.0","7712.0","0.48","0.8","0.0","0.76","0.8","0.61","0.0","0.0","0.0","0.0","28.66","29.38","120.0","60.0","91.34","90.62","0.0","","","","","","",""
"2015.0","1.0","23.0","23.0","7712.0","0.48","0.8","0.0","0.98","0.8","0.78","0.0","0.0","0.0","0.0","0.0","29.38","120.0","60.0","120.0","90.62","29.44","","","","","","",""
"2015.0","1.0","24.0","24.0","7712.0","0.47","0.8","0.0","0.95","0.8","0.76","0.0","0.0","0.0","0.0","0.76","29.38","120.0","60.0","119.24","90.62","0.0","","","","","","",""
"2015.0","1.0","25.0","25.0","7712.0","0.46","0.8","0.0","1.05","0.8","0.84","0.0","0.0","0.0","0.0","1.6","29.38","120.0","60.0","118.4","90.62","0.0","","","","","","",""
"2015.0","1.0","26.0","26.0","7712.0","0.45","0.8","0.0","1.32","0.8","1.06","0.0","0.0","0.0","0.0","2.66","29.38","120.0","60.0","117.34","90.62","0.0","","","","","","",""
"2015.0","1.0","27.0","27.0","7712.0","0.45","0.8","0.0","1.1","0.8","0.88","0.0","0.0","0.0","0.0","3.54","29.38","120.0","60.0","116.46","90.62","0.0","","","","","","",""
"2015.0","1.0","28.0","28.0","7712.0","0.44","0.8","0.0","1.57","0.8","1.26","0.0","0.0","0.0","0.0","4.79","29.38","120.0","60.0","115.21","90.62","0.0","","","","","","",""
"2015.0","1.0","29.0","29.0","7712.0","0.43","0.8","0.0","1.46","0.8","1.17","0.0","0.0","0.0","0.0","5.96","29.38","120.0","60.0","114.04","90.62","0.0","","","","","","",""
"2015.0","1.0","30.0","30.0","7712.0","0.42","0.8","0.0","2.03","0.8","1.62","0.0","0.0","0.0","0.0","7.58","29.38","120.0","60.0","112.42","90.62","0.0","","","","","","",""
"2015.0","1.0","31.0","31.0","7712.0","0.41","0.8","0.0","3.58","0.8","2.86","0.0","0.0","0.0","0.0","10.45","29.38","120.0","60.0","109.55","90.62","0.0","","","","","","",""
"2015.0","2.0","1.0","32.0","7712.0","0.4","0.8","0.0","1.45","0.8","1.16","0.0","0.0","0.0","0.0","11.61","29.38","120.0","60.0","108.39","90.62","0.0","","","","","","",""
"2015.0","2.0","2.0","33.0","7712.0","0.39","0.8","0.0","1.48","0.8","1.18","0.0","0.0","0.0","0.0","12.79","29.38","120.0","60.0","107.21","90.62","0.0","","","","","","",""
"2015.0","2.0","3.0","34.0","7712.0","0.39","0.8","0.0","1.52","0.8","1.22","0.0","0.0","0.0","0.0","14.01","29.38","120.0","60.0","105.99","90.62","0.0","","","","","","",""
"2015.0","2.0","4.0","35.0","7712.0","0.38","0.8","0.0","1.47","0.8","1.18","0.0","0.0","0.0","0.0","15.18","29.38","120.0","60.0","104.82","90.62","0.0","","","","","","",""
"2015.0","2.0","5.0","36.0","7712.0","0.38","0.8","0.0","1.17","0.8","0.94","0.0","0.0","0.0","0.0","16.12","29.38","120.0","60.0","103.88","90.62","0.0","","","","","","",""
"2015.0","2.0","6.0","37.0","7712.0","0.37","0.8","0.0","2.17","0.8","1.74","0.0","0.0","0.0","0.0","17.86","29.38","120.0","60.0","102.14","90.62","0.0","","","","","","",""
"2015.0","2.0","7.0","38.0","7712.0","1.16","0.8","0.0","1.44","1.16","1.67","33.87","19.53","0.0","0.0","0.0","29.38","120.0","60.0","120.0","90.62","0.0","","","","","","",""
"2015.0","2.0","8.0","39.0","7712.0","1.17","0.8","0.0","1.29","1.17","1.51","4.7","1.51","0.0","0.0","0.0","29.38","120.0","60.0","120.0","90.62","0.0","","","","","","",""
"2015.0","2.0","9.0","40.0","7712.0","1.14","0.8","0.0","1.97","1.14","2.25","23.02","2.25","0.0","0.0","0.0","29.38","120.0","60.0","120.0","90.62","0.0","","","","","","",""
"2015.0","2.0","10.0","41.0","7712.0","1.14","0.8","0.0","1.83","1.14","2.09","0.18","0.18","0.0","0.0","1.91","29.38","120.0","60.0","118.09","90.62","0.0","","","","","","",""
