" Daily soil water balance output for Urban Landscape in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Urban Landscape in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","",""
"2014.0","10.0","16.0","289.0","12750.0","0.08","0.8","0.0","2.69","0.8","2.15","0.0","0.0","0.0","0.0","9.72","32.83","136.0","68.0","126.28","103.17","0.0","","","","","","",""
"2014.0","10.0","17.0","290.0","12750.0","0.08","0.8","0.0","2.49","0.8","1.99","0.0","0.0","0.0","0.0","11.71","32.83","136.0","68.0","124.29","103.17","0.0","","","","","","",""
"2014.0","10.0","18.0","291.0","12750.0","0.08","0.8","0.0","2.85","0.8","2.28","0.0","0.0","0.0","0.0","13.99","32.83","136.0","68.0","122.01","103.17","0.0","","","","","","",""
"2014.0","10.0","19.0","292.0","12750.0","0.08","0.8","0.0","2.85","0.8","2.28","0.0","0.0","0.0","0.0","16.27","32.83","136.0","68.0","119.73","103.17","0.0","","","","","","",""
"2014.0","10.0","20.0","293.0","12750.0","0.08","0.8","0.0","2.16","0.8","1.73","0.0","0.0","0.0","0.0","18.0","32.83","136.0","68.0","118.0","103.17","0.0","","","","","","",""
"2014.0","10.0","21.0","294.0","12750.0","0.08","0.8","0.0","2.66","0.8","2.13","0.0","0.0","0.0","0.0","20.13","32.83","136.0","68.0","115.87","103.17","0.0","","","","","","",""
"2014.0","10.0","22.0","295.0","12750.0","0.08","0.8","0.0","2.54","0.8","2.03","0.0","0.0","0.0","0.0","22.16","32.83","136.0","68.0","113.84","103.17","0.0","","","","","","",""
"2014.0","10.0","23.0","296.0","12750.0","0.08","0.8","0.0","2.49","0.8","1.99","0.0","0.0","0.0","0.0","24.15","32.83","136.0","68.0","111.85","103.17","0.0","","","","","","",""
"2014.0","10.0","24.0","297.0","12750.0","0.08","0.8","0.0","2.54","0.8","2.03","0.0","0.0","0.0","0.0","26.18","32.83","136.0","68.0","109.82","103.17","0.0","","","","","","",""
"2014.0","10.0","25.0","298.0","12750.0","0.08","0.8","0.0","2.22","0.8","1.78","0.0","0.0","0.0","0.0","27.96","32.83","136.0","68.0","108.04","103.17","0.0","","","","","","",""
"2014.0","10.0","26.0","299.0","12750.0","0.08","0.8","0.0","2.66","0.8","2.13","0.87","0.87","0.0","0.0","29.22","32.83","136.0","68.0","106.78","103.17","0.0","","","","","","",""
"2014.0","10.0","27.0","300.0","12750.0","0.08","0.8","0.0","2.48","0.8","1.98","0.0","0.0","0.0","0.0","31.2","32.83","136.0","68.0","104.8","103.17","0.0","","","","","","",""
"2014.0","10.0","28.0","301.0","12750.0","0.08","0.8","0.0","2.36","0.8","1.89","0.0","0.0","0.0","0.0","0.0","32.83","136.0","68.0","136.0","103.17","33.09","","","","","","",""
"2014.0","10.0","29.0","302.0","12750.0","0.08","0.8","0.0","2.44","0.8","1.95","0.0","0.0","0.0","0.0","1.95","32.83","136.0","68.0","134.05","103.17","0.0","","","","","","",""
"2014.0","10.0","30.0","303.0","12750.0","0.08","0.8","0.0","2.44","0.8","1.95","0.0","0.0","0.0","0.0","3.9","32.83","136.0","68.0","132.1","103.17","0.0","","","","","","",""
"2014.0","10.0","31.0","304.0","12750.0","0.08","0.8","0.0","1.29","0.8","1.03","0.07","0.07","0.0","0.0","4.87","32.83","136.0","68.0","131.13","103.17","0.0","","","","","","",""
"2014.0","11.0","1.0","305.0","12750.0","0.08","0.8","0.0","1.83","0.8","1.46","5.22","5.22","0.0","0.0","1.11","32.83","136.0","68.0","134.89","103.17","0.0","","","","","","",""
"2014.0","11.0","2.0","306.0","12750.0","0.08","0.8","0.0","2.18","0.8","1.74","0.0","0.0","0.0","0.0","2.85","32.83","136.0","68.0","133.15","103.17","0.0","","","","","","",""
"2014.0","11.0","3.0","307.0","12750.0","0.08","0.8","0.0","1.8","0.8","1.44","0.0","0.0","0.0","0.0","4.29","32.83","136.0","68.0","131.71","103.17","0.0","","","","","","",""
"2014.0","11.0","4.0","308.0","12750.0","0.08","0.8","0.0","1.75","0.8","1.4","0.0","0.0","0.0","0.0","5.69","32.83","136.0","68.0","130.31","103.17","0.0","","","","","","",""
"2014.0","11.0","5.0","309.0","12750.0","0.08","0.8","0.0","1.9","0.8","1.52","0.0","0.0","0.0","0.0","7.21","32.83","136.0","68.0","128.79","103.17","0.0","","","","","","",""
"2014.0","11.0","6.0","310.0","12750.0","0.08","0.8","0.0","1.91","0.8","1.53","0.0","0.0","0.0","0.0","8.74","32.83","136.0","68.0","127.26","103.17","0.0","","","","","","",""
"2014.0","11.0","7.0","311.0","12750.0","0.08","0.8","0.0","1.94","0.8","1.55","0.0","0.0","0.0","0.0","10.29","32.83","136.0","68.0","125.71","103.17","0.0","","","","","","",""
"2014.0","11.0","8.0","312.0","12750.0","0.08","0.8","0.0","1.87","0.8","1.5","0.0","0.0","0.0","0.0","11.79","32.83","136.0","68.0","124.21","103.17","0.0","","","","","","",""
"2014.0","11.0","9.0","313.0","12750.0","0.08","0.8","0.0","1.83","0.8","1.46","0.0","0.0","0.0","0.0","13.25","32.83","136.0","68.0","122.75","103.17","0.0","","","","","","",""
"2014.0","11.0","10.0","314.0","12750.0","0.08","0.8","0.0","1.84","0.8","1.47","0.0","0.0","0.0","0.0","14.73","32.83","136.0","68.0","121.27","103.17","0.0","","","","","","",""
"2014.0","11.0","11.0","315.0","12750.0","0.08","0.8","0.0","1.55","0.8","1.24","0.0","0.0","0.0","0.0","15.97","32.83","136.0","68.0","120.03","103.17","0.0","","","","","","",""
"2014.0","11.0","12.0","316.0","12750.0","0.08","0.8","0.0","1.54","0.8","1.23","0.0","0.0","0.0","0.0","17.2","32.83","136.0","68.0","118.8","103.17","0.0","","","","","","",""
"2014.0","11.0","13.0","317.0","12750.0","1.18","0.8","0.0","1.07","1.18","1.26","5.34","5.34","0.0","0.0","13.12","32.83","136.0","68.0","122.88","103.17","0.0","","","","","","",""
"2014.0","11.0","14.0","318.0","12750.0","1.17","0.8","0.0","1.4","1.17","1.64","0.95","0.95","0.0","0.0","13.81","32.83","136.0","68.0","122.19","103.17","0.0","","","","","","",""
"2014.0","11.0","15.0","319.0","12750.0","1.17","0.8","0.0","1.34","1.17","1.57","0.0","0.0","0.0","0.0","15.37","32.83","136.0","68.0","120.63","103.17","0.0","","","","","","",""
"2014.0","11.0","16.0","320.0","12750.0","1.16","0.8","0.0","1.94","1.16","2.26","0.07","0.07","0.0","0.0","17.56","32.83","136.0","68.0","118.44","103.17","0.0","","","","","","",""
"2014.0","11.0","17.0","321.0","12750.0","1.02","0.8","0.0","1.79","1.02","1.83","0.0","0.0","0.0","0.0","19.38","32.83","136.0","68.0","116.62","103.17","0.0","","","","","","",""
"2014.0","11.0","18.0","322.0","12750.0","0.94","0.8","0.0","1.33","0.94","1.25","0.0","0.0","0.0","0.0","20.63","32.83","136.0","68.0","115.37","103.17","0.0","","","","","","",""
"2014.0","11.0","19.0","323.0","12750.0","0.89","0.8","0.0","1.09","0.89","0.97","0.59","0.59","0.0","0.0","21.01","32.83","136.0","68.0","114.99","103.17","0.0","","","","","","",""
"2014.0","11.0","20.0","324.0","12750.0","1.19","0.8","0.0","0.63","1.19","0.75","2.88","2.88","0.0","0.0","18.89","32.83","136.0","68.0","117.11","103.17","0.0","","","","","","",""
"2014.0","11.0","21.0","325.0","12750.0","1.18","0.8","0.0","0.9","1.18","1.07","4.27","4.27","0.0","0.0","15.68","32.83","136.0","68.0","120.32","103.17","0.0","","","","","","",""
"2014.0","11.0","22.0","326.0","12750.0","1.18","0.8","0.0","1.25","1.18","1.47","0.9","0.9","0.0","0.0","16.25","32.83","136.0","68.0","119.75","103.17","0.0","","","","","","",""
"2014.0","11.0","23.0","327.0","12750.0","1.16","0.8","0.0","1.56","1.16","1.81","3.21","3.21","0.0","0.0","14.85","32.83","136.0","68.0","121.15","103.17","0.0","","","","","","",""
"2014.0","11.0","24.0","328.0","12750.0","1.16","0.8","0.0","1.39","1.16","1.61","0.0","0.0","0.0","0.0","16.46","32.83","136.0","68.0","119.54","103.17","0.0","","","","","","",""
"2014.0","11.0","25.0","329.0","12750.0","1.16","0.8","0.0","1.25","1.16","1.46","0.0","0.0","0.0","0.0","17.92","32.83","136.0","68.0","118.08","103.17","0.0","","","","","","",""
"2014.0","11.0","26.0","330.0","12750.0","1.17","0.8","0.0","1.26","1.17","1.47","0.0","0.0","0.0","0.0","19.39","32.83","136.0","68.0","116.61","103.17","0.0","","","","","","",""
"2014.0","11.0","27.0","331.0","12750.0","1.09","0.8","0.0","1.19","1.09","1.3","0.0","0.0","0.0","0.0","20.68","32.83","136.0","68.0","115.32","103.17","0.0","","","","","","",""
"2014.0","11.0","28.0","332.0","12750.0","1.01","0.8","0.0","1.14","1.01","1.15","0.0","0.0","0.0","0.0","21.83","32.83","136.0","68.0","114.17","103.17","0.0","","","","","","",""
"2014.0","11.0","29.0","333.0","12750.0","0.96","0.8","0.0","0.81","0.96","0.78","0.48","0.48","0.0","0.0","22.13","32.83","136.0","68.0","113.87","103.17","0.0","","","","","","",""
"2014.0","11.0","30.0","334.0","12750.0","1.19","0.8","0.0","0.66","1.19","0.79","3.64","3.64","0.0","0.0","19.27","32.83","136.0","68.0","116.73","103.17","0.0","","","","","","",""
"2014.0","12.0","1.0","335.0","12750.0","1.18","0.8","0.0","0.96","1.18","1.13","10.55","10.55","0.0","0.0","9.86","32.83","136.0","68.0","126.14","103.17","0.0","","","","","","",""
"2014.0","12.0","2.0","336.0","12750.0","1.19","0.8","0.0","0.64","1.19","0.76","10.14","10.14","0.0","0.0","0.48","32.83","136.0","68.0","135.52","103.17","0.0","","","","","","",""
"2014.0","12.0","3.0","337.0","12750.0","1.17","0.8","0.0","1.15","1.17","1.35","32.71","1.83","0.0","0.0","0.0","32.83","136.0","68.0","136.0","103.17","0.0","","","","","","",""
"2014.0","12.0","4.0","338.0","12750.0","1.18","0.8","0.0","1.1","1.18","1.29","6.73","1.29","0.0","0.0","0.0","34.0","136.0","68.0","136.0","102.0","0.0","","","","","","",""
"2014.0","12.0","5.0","339.0","12750.0","1.18","0.8","0.0","0.9","1.18","1.06","0.56","0.56","0.0","0.0","0.5","34.0","136.0","68.0","135.5","102.0","0.0","","","","","","",""
"2014.0","12.0","6.0","340.0","12750.0","1.18","0.8","0.0","1.08","1.18","1.27","3.46","1.77","0.0","0.0","0.0","34.0","136.0","68.0","136.0","102.0","0.0","","","","","","",""
"2014.0","12.0","7.0","341.0","12750.0","1.18","0.8","0.0","0.73","1.18","0.86","0.14","0.14","0.0","0.0","0.72","34.0","136.0","68.0","135.28","102.0","0.0","","","","","","",""
"2014.0","12.0","8.0","342.0","12750.0","1.18","0.8","0.0","0.84","1.18","1.0","0.0","0.0","0.0","0.0","1.72","34.0","136.0","68.0","134.28","102.0","0.0","","","","","","",""
"2014.0","12.0","9.0","343.0","12750.0","1.19","0.8","0.0","0.67","1.19","0.8","0.0","0.0","0.0","0.0","2.51","34.0","136.0","68.0","133.49","102.0","0.0","","","","","","",""
"2014.0","12.0","10.0","344.0","12750.0","1.19","0.8","0.0","0.91","1.19","1.08","0.0","0.0","0.0","0.0","3.59","34.0","136.0","68.0","132.41","102.0","0.0","","","","","","",""
"2014.0","12.0","11.0","345.0","12750.0","1.18","0.8","0.0","1.28","1.18","1.51","0.0","0.0","0.0","0.0","5.11","34.0","136.0","68.0","130.89","102.0","0.0","","","","","","",""
"2014.0","12.0","12.0","346.0","12750.0","1.2","0.8","0.0","0.62","1.2","0.74","67.69","5.85","0.0","0.0","0.0","34.0","136.0","68.0","136.0","102.0","0.0","","","","","","",""
"2014.0","12.0","13.0","347.0","12750.0","1.19","0.8","0.0","0.72","1.19","0.86","1.17","0.86","0.0","0.0","0.0","34.0","136.0","68.0","136.0","102.0","0.0","","","","","","",""
"2014.0","12.0","14.0","348.0","12750.0","1.19","0.8","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","0.93","34.0","136.0","68.0","135.07","102.0","0.0","","","","","","",""
"2014.0","12.0","15.0","349.0","12750.0","1.18","0.8","0.0","0.98","1.18","1.16","12.1","2.09","0.0","0.0","0.0","34.0","136.0","68.0","136.0","102.0","0.0","","","","","","",""
"2014.0","12.0","16.0","350.0","12750.0","1.17","0.8","0.0","1.22","1.17","1.43","11.08","1.43","0.0","0.0","0.0","34.0","136.0","68.0","136.0","102.0","0.0","","","","","","",""
"2014.0","12.0","17.0","351.0","12750.0","1.18","0.8","0.0","0.95","1.18","1.12","11.26","1.12","0.0","0.0","0.0","34.0","136.0","68.0","136.0","102.0","0.0","","","","","","",""
"2014.0","12.0","18.0","352.0","12750.0","1.18","0.8","0.0","0.97","1.18","1.15","3.99","1.15","0.0","0.0","0.0","34.0","136.0","68.0","136.0","102.0","0.0","","","","","","",""
"2014.0","12.0","19.0","353.0","12750.0","1.18","0.8","0.0","0.84","1.18","0.99","0.0","0.0","0.0","0.0","0.99","34.0","136.0","68.0","135.01","102.0","0.0","","","","","","",""
"2014.0","12.0","20.0","354.0","12750.0","1.19","0.8","0.0","0.68","1.19","0.81","9.13","1.81","0.0","0.0","0.0","34.0","136.0","68.0","136.0","102.0","0.0","","","","","","",""
"2014.0","12.0","21.0","355.0","12750.0","1.19","0.8","0.0","0.99","1.19","1.17","0.01","0.01","0.0","0.0","1.16","34.0","136.0","68.0","134.84","102.0","0.0","","","","","","",""
"2014.0","12.0","22.0","356.0","12750.0","1.19","0.8","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","2.09","34.0","136.0","68.0","133.91","102.0","0.0","","","","","","",""
"2014.0","12.0","23.0","357.0","12750.0","1.19","0.8","0.0","0.75","1.19","0.89","0.0","0.0","0.0","0.0","2.98","34.0","136.0","68.0","133.02","102.0","0.0","","","","","","",""
"2014.0","12.0","24.0","358.0","12750.0","1.19","0.8","0.0","0.96","1.19","1.14","0.0","0.0","0.0","0.0","4.12","34.0","136.0","68.0","131.88","102.0","0.0","","","","","","",""
"2014.0","12.0","25.0","359.0","12750.0","1.14","0.8","0.0","1.94","1.14","2.22","0.81","0.81","0.0","0.0","5.53","34.0","136.0","68.0","130.47","102.0","0.0","","","","","","",""
"2014.0","12.0","26.0","360.0","12750.0","1.01","0.8","0.0","1.7","1.01","1.72","0.0","0.0","0.0","0.0","7.24","34.0","136.0","68.0","128.76","102.0","0.0","","","","","","",""
"2014.0","12.0","27.0","361.0","12750.0","0.96","0.8","0.0","0.76","0.96","0.73","0.0","0.0","0.0","0.0","7.98","34.0","136.0","68.0","128.02","102.0","0.0","","","","","","",""
"2014.0","12.0","28.0","362.0","12750.0","0.93","0.8","0.0","0.75","0.93","0.69","0.0","0.0","0.0","0.0","8.67","34.0","136.0","68.0","127.33","102.0","0.0","","","","","","",""
"2014.0","12.0","29.0","363.0","12750.0","0.9","0.8","0.0","0.55","0.9","0.49","0.0","0.0","0.0","0.0","9.17","34.0","136.0","68.0","126.83","102.0","0.0","","","","","","",""
"2014.0","12.0","30.0","364.0","12750.0","0.8","0.8","0.0","2.45","0.8","1.97","0.0","0.0","0.0","0.0","11.13","34.0","136.0","68.0","124.87","102.0","0.0","","","","","","",""
"2014.0","12.0","31.0","365.0","12750.0","0.73","0.8","0.0","2.6","0.8","2.08","0.0","0.0","0.0","0.0","13.21","34.0","136.0","68.0","122.79","102.0","0.0","","","","","","",""
"2015.0","1.0","1.0","1.0","12750.0","0.71","0.8","0.0","0.96","0.8","0.77","0.0","0.0","0.0","0.0","13.98","32.86","136.0","68.0","122.02","103.14","0.0","","","","","","",""
"2015.0","1.0","2.0","2.0","12750.0","0.69","0.8","0.0","0.89","0.8","0.71","0.0","0.0","0.0","0.0","14.69","32.86","136.0","68.0","121.31","103.14","0.0","","","","","","",""
"2015.0","1.0","3.0","3.0","12750.0","0.67","0.8","0.0","0.88","0.8","0.7","0.0","0.0","0.0","0.0","15.4","32.86","136.0","68.0","120.6","103.14","0.0","","","","","","",""
"2015.0","1.0","4.0","4.0","12750.0","0.65","0.8","0.0","0.99","0.8","0.79","0.0","0.0","0.0","0.0","16.19","32.86","136.0","68.0","119.81","103.14","0.0","","","","","","",""
"2015.0","1.0","5.0","5.0","12750.0","0.64","0.8","0.0","0.96","0.8","0.77","0.0","0.0","0.0","0.0","16.96","32.86","136.0","68.0","119.04","103.14","0.0","","","","","","",""
"2015.0","1.0","6.0","6.0","12750.0","0.62","0.8","0.0","1.23","0.8","0.98","0.0","0.0","0.0","0.0","17.94","32.86","136.0","68.0","118.06","103.14","0.0","","","","","","",""
"2015.0","1.0","7.0","7.0","12750.0","0.6","0.8","0.0","1.21","0.8","0.97","0.0","0.0","0.0","0.0","18.91","32.86","136.0","68.0","117.09","103.14","0.0","","","","","","",""
"2015.0","1.0","8.0","8.0","12750.0","0.59","0.8","0.0","1.01","0.8","0.81","0.0","0.0","0.0","0.0","19.72","32.86","136.0","68.0","116.28","103.14","0.0","","","","","","",""
"2015.0","1.0","9.0","9.0","12750.0","0.58","0.8","0.0","0.89","0.8","0.71","0.0","0.0","0.0","0.0","20.43","32.86","136.0","68.0","115.57","103.14","0.0","","","","","","",""
"2015.0","1.0","10.0","10.0","12750.0","0.56","0.8","0.0","1.01","0.8","0.81","0.0","0.0","0.0","0.0","21.24","32.86","136.0","68.0","114.76","103.14","0.0","","","","","","",""
"2015.0","1.0","11.0","11.0","12750.0","0.56","0.8","0.0","0.85","0.8","0.68","0.0","0.0","0.0","0.0","21.92","32.86","136.0","68.0","114.08","103.14","0.0","","","","","","",""
"2015.0","1.0","12.0","12.0","12750.0","0.54","0.8","0.0","0.99","0.8","0.79","0.0","0.0","0.0","0.0","22.71","32.86","136.0","68.0","113.29","103.14","0.0","","","","","","",""
"2015.0","1.0","13.0","13.0","12750.0","0.53","0.8","0.0","1.06","0.8","0.85","0.0","0.0","0.0","0.0","23.56","32.86","136.0","68.0","112.44","103.14","0.0","","","","","","",""
"2015.0","1.0","14.0","14.0","12750.0","0.53","0.8","0.0","0.61","0.8","0.49","0.0","0.0","0.0","0.0","24.05","32.86","136.0","68.0","111.95","103.14","0.0","","","","","","",""
"2015.0","1.0","15.0","15.0","12750.0","0.52","0.8","0.0","0.65","0.8","0.52","0.0","0.0","0.0","0.0","24.57","32.86","136.0","68.0","111.43","103.14","0.0","","","","","","",""
"2015.0","1.0","16.0","16.0","12750.0","0.52","0.8","0.0","0.57","0.8","0.46","0.0","0.0","0.0","0.0","25.02","32.86","136.0","68.0","110.98","103.14","0.0","","","","","","",""
"2015.0","1.0","17.0","17.0","12750.0","0.51","0.8","0.0","0.51","0.8","0.41","0.0","0.0","0.0","0.0","25.43","32.86","136.0","68.0","110.57","103.14","0.0","","","","","","",""
"2015.0","1.0","18.0","18.0","12750.0","0.51","0.8","0.0","0.61","0.8","0.49","0.0","0.0","0.0","0.0","25.92","32.86","136.0","68.0","110.08","103.14","0.0","","","","","","",""
"2015.0","1.0","19.0","19.0","12750.0","0.5","0.8","0.0","0.58","0.8","0.46","0.17","0.17","0.0","0.0","26.21","32.86","136.0","68.0","109.79","103.14","0.0","","","","","","",""
"2015.0","1.0","20.0","20.0","12750.0","0.5","0.8","0.0","0.8","0.8","0.64","0.0","0.0","0.0","0.0","26.85","32.86","136.0","68.0","109.15","103.14","0.0","","","","","","",""
"2015.0","1.0","21.0","21.0","12750.0","0.49","0.8","0.0","1.03","0.8","0.82","0.0","0.0","0.0","0.0","27.68","32.86","136.0","68.0","108.32","103.14","0.0","","","","","","",""
"2015.0","1.0","22.0","22.0","12750.0","0.49","0.8","0.0","0.69","0.8","0.55","0.0","0.0","0.0","0.0","28.23","32.86","136.0","68.0","107.77","103.14","0.0","","","","","","",""
"2015.0","1.0","23.0","23.0","12750.0","0.48","0.8","0.0","0.99","0.8","0.79","0.0","0.0","0.0","0.0","29.02","32.86","136.0","68.0","106.98","103.14","0.0","","","","","","",""
"2015.0","1.0","24.0","24.0","12750.0","0.47","0.8","0.0","0.91","0.8","0.73","0.0","0.0","0.0","0.0","29.75","32.86","136.0","68.0","106.25","103.14","0.0","","","","","","",""
"2015.0","1.0","25.0","25.0","12750.0","0.47","0.8","0.0","1.02","0.8","0.82","0.0","0.0","0.0","0.0","30.56","32.86","136.0","68.0","105.44","103.14","0.0","","","","","","",""
"2015.0","1.0","26.0","26.0","12750.0","0.46","0.8","0.0","1.21","0.8","0.97","0.0","0.0","0.0","0.0","31.53","32.86","136.0","68.0","104.47","103.14","0.0","","","","","","",""
"2015.0","1.0","27.0","27.0","12750.0","0.45","0.8","0.0","1.16","0.8","0.93","0.0","0.0","0.0","0.0","32.46","32.86","136.0","68.0","103.54","103.14","0.0","","","","","","",""
"2015.0","1.0","28.0","28.0","12750.0","0.44","0.8","0.0","1.45","0.8","1.16","0.0","0.0","0.0","0.0","0.0","32.86","136.0","68.0","136.0","103.14","33.62","","","","","","",""
"2015.0","1.0","29.0","29.0","12750.0","0.44","0.8","0.0","1.38","0.8","1.1","0.0","0.0","0.0","0.0","1.1","32.86","136.0","68.0","134.9","103.14","0.0","","","","","","",""
"2015.0","1.0","30.0","30.0","12750.0","0.43","0.8","0.0","1.73","0.8","1.38","0.0","0.0","0.0","0.0","2.49","32.86","136.0","68.0","133.51","103.14","0.0","","","","","","",""
"2015.0","1.0","31.0","31.0","12750.0","0.41","0.8","0.0","3.06","0.8","2.45","0.0","0.0","0.0","0.0","4.94","32.86","136.0","68.0","131.06","103.14","0.0","","","","","","",""
"2015.0","2.0","1.0","32.0","12750.0","0.41","0.8","0.0","1.51","0.8","1.21","0.0","0.0","0.0","0.0","6.14","32.86","136.0","68.0","129.86","103.14","0.0","","","","","","",""
"2015.0","2.0","2.0","33.0","12750.0","0.4","0.8","0.0","1.52","0.8","1.22","0.0","0.0","0.0","0.0","7.36","32.86","136.0","68.0","128.64","103.14","0.0","","","","","","",""
"2015.0","2.0","3.0","34.0","12750.0","0.39","0.8","0.0","1.6","0.8","1.28","0.0","0.0","0.0","0.0","8.64","32.86","136.0","68.0","127.36","103.14","0.0","","","","","","",""
"2015.0","2.0","4.0","35.0","12750.0","0.39","0.8","0.0","1.34","0.8","1.07","0.0","0.0","0.0","0.0","9.71","32.86","136.0","68.0","126.29","103.14","0.0","","","","","","",""
"2015.0","2.0","5.0","36.0","12750.0","0.38","0.8","0.0","1.02","0.8","0.82","0.0","0.0","0.0","0.0","10.53","32.86","136.0","68.0","125.47","103.14","0.0","","","","","","",""
"2015.0","2.0","6.0","37.0","12750.0","1.13","0.8","0.0","2.15","1.13","2.44","6.0","6.0","0.0","0.0","6.97","32.86","136.0","68.0","129.03","103.14","0.0","","","","","","",""
"2015.0","2.0","7.0","38.0","12750.0","1.16","0.8","0.0","1.45","1.16","1.68","12.31","8.65","0.0","0.0","0.0","32.86","136.0","68.0","136.0","103.14","0.0","","","","","","",""
"2015.0","2.0","8.0","39.0","12750.0","1.16","0.8","0.0","1.48","1.16","1.72","13.84","1.72","0.0","0.0","0.0","32.86","136.0","68.0","136.0","103.14","0.0","","","","","","",""
"2015.0","2.0","9.0","40.0","12750.0","1.14","0.8","0.0","2.07","1.14","2.35","11.18","2.35","0.0","0.0","0.0","32.86","136.0","68.0","136.0","103.14","0.0","","","","","","",""
"2015.0","2.0","10.0","41.0","12750.0","1.14","0.8","0.0","1.86","1.14","2.12","0.0","0.0","0.0","0.0","2.12","32.86","136.0","68.0","133.88","103.14","0.0","","","","","","",""
