" Daily soil water balance output for Safflower in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Safflower in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2014.0","11.0","6.0","310.0","1384.0","0.83","0.0","0.0","1.92","0.83","1.59","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2014.0","11.0","7.0","311.0","1384.0","0.76","0.0","0.0","1.96","0.76","1.5","0.0","0.0","0.0","0.0","27.9","26.4","536.45","268.22","508.55","510.05","0.0","","","","","","","","",""
"2014.0","11.0","8.0","312.0","1384.0","0.71","0.0","0.0","1.88","0.71","1.34","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2014.0","11.0","9.0","313.0","1384.0","0.67","0.0","0.0","1.84","0.67","1.24","0.0","0.0","0.0","0.0","27.64","26.4","536.45","268.22","508.81","510.05","0.0","","","","","","","","",""
"2014.0","11.0","10.0","314.0","1384.0","0.64","0.0","0.0","1.97","0.64","1.26","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2014.0","11.0","11.0","315.0","1384.0","0.61","0.0","0.0","1.56","0.61","0.96","0.0","0.0","0.0","0.0","27.36","26.4","536.45","268.22","509.09","510.05","0.0","","","","","","","","",""
"2014.0","11.0","12.0","316.0","1384.0","0.59","0.0","0.0","1.44","0.59","0.86","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2014.0","11.0","13.0","317.0","1384.0","1.18","0.0","0.0","0.99","1.18","1.17","2.97","2.97","0.0","0.0","24.6","26.4","536.45","268.22","511.85","510.05","0.0","","","","","","","","",""
"2014.0","11.0","14.0","318.0","1384.0","1.17","0.0","0.0","1.32","1.17","1.54","1.54","1.54","0.0","0.0","24.6","26.4","536.45","268.22","511.85","510.05","0.0","","","","","","","","",""
"2014.0","11.0","15.0","319.0","1384.0","1.17","0.0","0.0","1.29","1.17","1.51","0.0","0.0","0.0","0.0","26.11","26.4","536.45","268.22","510.34","510.05","0.0","","","","","","","","",""
"2014.0","11.0","16.0","320.0","1384.0","1.16","0.0","0.0","2.03","1.16","2.35","0.0","0.0","0.0","0.0","28.46","26.4","536.45","268.22","507.99","510.05","0.0","","","","","","","","",""
"2014.0","11.0","17.0","321.0","1384.0","1.1","0.0","0.0","1.86","1.1","2.04","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2014.0","11.0","18.0","322.0","1384.0","1.0","0.0","0.0","1.39","1.0","1.38","0.0","0.0","0.0","0.0","27.78","26.4","536.45","268.22","508.66","510.05","0.0","","","","","","","","",""
"2014.0","11.0","19.0","323.0","1384.0","0.94","0.0","0.0","0.96","0.94","0.9","0.11","0.11","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2014.0","11.0","20.0","324.0","1384.0","1.2","0.0","0.0","0.62","1.2","0.74","3.18","3.18","0.0","0.0","23.96","26.4","536.45","268.22","512.49","510.05","0.0","","","","","","","","",""
"2014.0","11.0","21.0","325.0","1384.0","1.19","0.0","0.0","0.8","1.19","0.95","4.75","4.75","0.0","0.0","20.16","26.4","536.45","268.22","516.29","510.05","0.0","","","","","","","","",""
"2014.0","11.0","22.0","326.0","1384.0","1.18","0.0","0.0","1.2","1.18","1.42","0.13","0.13","0.0","0.0","21.45","26.4","536.45","268.22","515.0","510.05","0.0","","","","","","","","",""
"2014.0","11.0","23.0","327.0","1384.0","1.16","0.0","0.0","1.49","1.16","1.73","2.18","2.18","0.0","0.0","21.0","26.4","536.45","268.22","515.45","510.05","0.0","","","","","","","","",""
"2014.0","11.0","24.0","328.0","1384.0","1.16","0.0","0.0","1.37","1.16","1.59","0.0","0.0","0.0","0.0","22.59","26.4","536.45","268.22","513.86","510.05","0.0","","","","","","","","",""
"2014.0","11.0","25.0","329.0","1384.0","1.17","0.0","0.0","1.21","1.17","1.41","0.0","0.0","0.0","0.0","24.0","26.4","536.45","268.22","512.45","510.05","0.0","","","","","","","","",""
"2014.0","11.0","26.0","330.0","1384.0","1.17","0.0","0.0","1.17","1.17","1.37","0.0","0.0","0.0","0.0","25.37","26.4","536.45","268.22","511.08","510.05","0.0","","","","","","","","",""
"2014.0","11.0","27.0","331.0","1384.0","1.11","0.0","0.0","1.16","1.11","1.29","0.0","0.0","0.0","0.0","26.65","26.4","536.45","268.22","509.79","510.05","0.0","","","","","","","","",""
"2014.0","11.0","28.0","332.0","1384.0","1.03","0.0","0.0","1.1","1.03","1.13","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2014.0","11.0","29.0","333.0","1384.0","1.19","0.0","0.0","0.85","1.19","1.01","2.34","2.34","0.0","0.0","25.07","26.4","536.45","268.22","511.38","510.05","0.0","","","","","","","","",""
"2014.0","11.0","30.0","334.0","1384.0","1.19","0.0","0.0","0.66","1.19","0.79","4.36","4.36","0.0","0.0","21.5","26.4","536.45","268.22","514.95","510.05","0.0","","","","","","","","",""
"2014.0","12.0","1.0","335.0","1384.0","1.18","0.0","0.0","1.0","1.18","1.18","4.73","4.73","0.0","0.0","17.95","26.4","536.45","268.22","518.5","510.05","0.0","","","","","","","","",""
"2014.0","12.0","2.0","336.0","1384.0","1.19","0.0","0.0","0.66","1.19","0.79","1.16","1.16","0.0","0.0","17.57","26.4","536.45","268.22","518.87","510.05","0.0","","","","","","","","",""
"2014.0","12.0","3.0","337.0","1384.0","1.18","0.0","0.0","1.08","1.18","1.27","42.69","18.84","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","","","",""
"2014.0","12.0","4.0","338.0","1384.0","1.18","0.0","0.0","1.07","1.18","1.26","18.3","1.26","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","","","",""
"2014.0","12.0","5.0","339.0","1384.0","1.18","0.0","0.0","0.91","1.18","1.07","0.5","0.5","0.0","0.0","0.57","26.4","536.45","268.22","535.87","510.05","0.0","","","","","","","","",""
"2014.0","12.0","6.0","340.0","1384.0","1.18","0.0","0.0","1.07","1.18","1.26","2.74","1.83","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","","","",""
"2014.0","12.0","7.0","341.0","1384.0","1.18","0.0","0.0","0.76","1.18","0.9","0.57","0.57","0.0","0.0","0.33","26.4","536.45","268.22","536.12","510.05","0.0","","","","","","","","",""
"2014.0","12.0","8.0","342.0","1384.0","1.18","0.0","0.0","0.8","1.18","0.95","0.0","0.0","0.0","0.0","1.28","26.4","536.45","268.22","535.17","510.05","0.0","","","","","","","","",""
"2014.0","12.0","9.0","343.0","1384.0","1.19","0.0","0.0","0.66","1.19","0.78","0.0","0.0","0.0","0.0","2.06","26.4","536.45","268.22","534.39","510.05","0.0","","","","","","","","",""
"2014.0","12.0","10.0","344.0","1384.0","1.19","0.0","0.0","0.91","1.19","1.08","0.0","0.0","0.0","0.0","3.14","26.4","536.45","268.22","533.31","510.05","0.0","","","","","","","","",""
"2014.0","12.0","11.0","345.0","1384.0","1.18","0.0","0.0","1.15","1.18","1.36","0.21","0.21","0.0","0.0","4.29","26.4","536.45","268.22","532.16","510.05","0.0","","","","","","","","",""
"2014.0","12.0","12.0","346.0","1384.0","1.2","0.0","0.0","0.6","1.2","0.72","72.49","5.01","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","","","",""
"2014.0","12.0","13.0","347.0","1384.0","1.19","0.0","0.0","0.69","1.19","0.82","1.59","0.82","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","","","",""
"2014.0","12.0","14.0","348.0","1384.0","1.19","0.0","0.0","0.71","1.19","0.85","0.0","0.0","0.0","0.0","0.85","26.4","536.45","268.22","535.6","510.05","0.0","","","","","","","","",""
"2014.0","12.0","15.0","349.0","1384.0","1.18","0.0","0.0","0.89","1.18","1.05","6.89","1.9","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","","","",""
"2014.0","12.0","16.0","350.0","1384.0","1.17","0.0","0.0","1.18","1.17","1.38","9.15","1.38","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","","","",""
"2014.0","12.0","17.0","351.0","1384.0","1.18","0.0","0.0","0.96","1.18","1.13","11.33","1.13","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","","","",""
"2014.0","12.0","18.0","352.0","1384.0","1.18","0.0","0.0","0.91","1.18","1.08","3.87","1.08","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","","","",""
"2014.0","12.0","19.0","353.0","1384.0","1.19","0.0","0.0","0.81","1.19","0.96","0.01","0.01","0.0","0.0","0.95","26.4","536.45","268.22","535.5","510.05","0.0","","","","","","","","",""
"2014.0","12.0","20.0","354.0","1384.0","1.19","0.0","0.0","0.64","1.19","0.76","14.79","1.71","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","","","",""
"2014.0","12.0","21.0","355.0","1384.0","1.19","0.0","0.0","0.97","1.19","1.15","0.0","0.0","0.0","0.0","1.15","26.4","536.45","268.22","535.3","510.05","0.0","","","","","","","","",""
"2014.0","12.0","22.0","356.0","1384.0","1.19","0.0","0.0","0.79","1.19","0.94","0.0","0.0","0.0","0.0","2.09","26.4","536.45","268.22","534.36","510.05","0.0","","","","","","","","",""
"2014.0","12.0","23.0","357.0","1384.0","1.19","0.0","0.0","0.72","1.19","0.86","0.0","0.0","0.0","0.0","2.95","26.4","536.45","268.22","533.5","510.05","0.0","","","","","","","","",""
"2014.0","12.0","24.0","358.0","1384.0","1.19","0.0","0.0","0.99","1.19","1.18","0.0","0.0","0.0","0.0","4.12","26.4","536.45","268.22","532.33","510.05","0.0","","","","","","","","",""
"2014.0","12.0","25.0","359.0","1384.0","1.15","0.0","0.0","1.88","1.15","2.17","0.78","0.78","0.0","0.0","5.51","26.4","536.45","268.22","530.94","510.05","0.0","","","","","","","","",""
"2014.0","12.0","26.0","360.0","1384.0","1.0","0.0","0.0","1.89","1.0","1.9","0.0","0.0","0.0","0.0","7.41","26.4","536.45","268.22","529.04","510.05","0.0","","","","","","","","",""
"2014.0","12.0","27.0","361.0","1384.0","0.96","0.0","0.0","0.76","0.96","0.73","0.0","0.0","0.0","0.0","8.14","26.4","536.45","268.22","528.31","510.05","0.0","","","","","","","","",""
"2014.0","12.0","28.0","362.0","1384.0","0.92","0.0","0.0","0.74","0.92","0.68","0.0","0.0","0.0","0.0","8.82","26.4","536.45","268.22","527.63","510.05","0.0","","","","","","","","",""
"2014.0","12.0","29.0","363.0","1384.0","0.9","0.0","0.0","0.56","0.9","0.5","0.0","0.0","0.0","0.0","9.32","26.4","536.45","268.22","527.13","510.05","0.0","","","","","","","","",""
"2014.0","12.0","30.0","364.0","1384.0","0.8","0.0","0.0","2.49","0.8","1.99","0.0","0.0","0.0","0.0","11.31","26.4","536.45","268.22","525.14","510.05","0.0","","","","","","","","",""
"2014.0","12.0","31.0","365.0","1384.0","0.72","0.0","0.0","2.68","0.72","1.94","0.0","0.0","0.0","0.0","13.25","26.4","536.45","268.22","523.2","510.05","0.0","","","","","","","","",""
"2015.0","1.0","1.0","1.0","1384.0","0.7","0.0","0.0","0.88","0.7","0.62","0.0","0.0","0.0","0.0","13.87","26.4","536.45","268.22","522.58","510.05","0.0","","","","","","","","",""
"2015.0","1.0","2.0","2.0","1384.0","0.69","0.0","0.0","0.86","0.69","0.59","0.0","0.0","0.0","0.0","14.46","26.4","536.45","268.22","521.99","510.05","0.0","","","","","","","","",""
"2015.0","1.0","3.0","3.0","1384.0","0.67","0.0","0.0","0.85","0.67","0.57","0.0","0.0","0.0","0.0","15.03","26.4","536.45","268.22","521.42","510.05","0.0","","","","","","","","",""
"2015.0","1.0","4.0","4.0","1384.0","0.65","0.0","0.0","0.96","0.65","0.63","0.0","0.0","0.0","0.0","15.65","26.4","536.45","268.22","520.79","510.05","0.0","","","","","","","","",""
"2015.0","1.0","5.0","5.0","1384.0","0.64","0.0","0.0","0.87","0.64","0.55","0.0","0.0","0.0","0.0","16.21","26.4","536.45","268.22","520.24","510.05","0.0","","","","","","","","",""
"2015.0","1.0","6.0","6.0","1384.0","0.62","0.0","0.0","1.17","0.62","0.72","0.0","0.0","0.0","0.0","16.93","26.4","536.45","268.22","519.51","510.05","0.0","","","","","","","","",""
"2015.0","1.0","7.0","7.0","1384.0","0.6","0.0","0.0","1.17","0.6","0.7","0.0","0.0","0.0","0.0","17.64","26.4","536.45","268.22","518.81","510.05","0.0","","","","","","","","",""
"2015.0","1.0","8.0","8.0","1384.0","0.59","0.0","0.0","1.0","0.59","0.59","0.0","0.0","0.0","0.0","18.23","26.4","536.45","268.22","518.22","510.05","0.0","","","","","","","","",""
"2015.0","1.0","9.0","9.0","1384.0","0.58","0.0","0.0","0.87","0.58","0.5","0.0","0.0","0.0","0.0","18.73","26.4","536.45","268.22","517.72","510.05","0.0","","","","","","","","",""
"2015.0","1.0","10.0","10.0","1384.0","0.57","0.0","0.0","0.96","0.57","0.54","0.0","0.0","0.0","0.0","19.27","26.4","536.45","268.22","517.17","510.05","0.0","","","","","","","","",""
"2015.0","1.0","11.0","11.0","1384.0","0.56","0.0","0.0","0.88","0.56","0.49","0.0","0.0","0.0","0.0","19.77","26.4","536.45","268.22","516.68","510.05","0.0","","","","","","","","",""
"2015.0","1.0","12.0","12.0","1384.0","0.55","0.0","0.0","1.05","0.55","0.57","0.0","0.0","0.0","0.0","20.34","26.4","536.45","268.22","516.11","510.05","0.0","","","","","","","","",""
"2015.0","1.0","13.0","13.0","1384.0","0.53","0.0","0.0","1.18","0.53","0.63","0.0","0.0","0.0","0.0","20.97","26.4","536.45","268.22","515.48","510.05","0.0","","","","","","","","",""
"2015.0","1.0","14.0","14.0","1384.0","0.53","0.0","0.0","0.69","0.53","0.36","0.0","0.0","0.0","0.0","21.33","26.4","536.45","268.22","515.11","510.05","0.0","","","","","","","","",""
"2015.0","1.0","15.0","15.0","1384.0","0.52","0.0","0.0","0.69","0.52","0.36","0.0","0.0","0.0","0.0","21.69","26.4","536.45","268.22","514.75","510.05","0.0","","","","","","","","",""
"2015.0","1.0","16.0","16.0","1384.0","0.52","0.0","0.0","0.57","0.52","0.29","0.0","0.0","0.0","0.0","21.99","26.4","536.45","268.22","514.46","510.05","0.0","","","","","","","","",""
"2015.0","1.0","17.0","17.0","1384.0","0.51","0.0","0.0","0.56","0.51","0.29","0.01","0.01","0.0","0.0","22.27","26.4","536.45","268.22","514.18","510.05","0.0","","","","","","","","",""
"2015.0","1.0","18.0","18.0","1384.0","0.51","0.0","0.0","0.61","0.51","0.31","0.0","0.0","0.0","0.0","22.58","26.4","536.45","268.22","513.87","510.05","0.0","","","","","","","","",""
"2015.0","1.0","19.0","19.0","1384.0","0.5","0.0","0.0","0.7","0.5","0.35","0.0","0.0","0.0","0.0","22.93","26.4","536.45","268.22","513.52","510.05","0.0","","","","","","","","",""
"2015.0","1.0","20.0","20.0","1384.0","0.5","0.0","0.0","0.79","0.5","0.39","0.0","0.0","0.0","0.0","23.32","26.4","536.45","268.22","513.13","510.05","0.0","","","","","","","","",""
"2015.0","1.0","21.0","21.0","1384.0","0.49","0.0","0.0","0.98","0.49","0.48","0.0","0.0","0.0","0.0","23.8","26.4","536.45","268.22","512.65","510.05","0.0","","","","","","","","",""
"2015.0","1.0","22.0","22.0","1384.0","0.48","0.0","0.0","0.73","0.48","0.35","0.0","0.0","0.0","0.0","24.15","26.4","536.45","268.22","512.3","510.05","0.0","","","","","","","","",""
"2015.0","1.0","23.0","23.0","1384.0","0.48","0.0","0.0","0.98","0.48","0.47","0.0","0.0","0.0","0.0","24.62","26.4","536.45","268.22","511.83","510.05","0.0","","","","","","","","",""
"2015.0","1.0","24.0","24.0","1384.0","0.47","0.0","0.0","0.94","0.47","0.44","0.0","0.0","0.0","0.0","25.06","26.4","536.45","268.22","511.39","510.05","0.0","","","","","","","","",""
"2015.0","1.0","25.0","25.0","1384.0","0.46","0.0","0.0","1.02","0.46","0.47","0.0","0.0","0.0","0.0","25.53","26.4","536.45","268.22","510.91","510.05","0.0","","","","","","","","",""
"2015.0","1.0","26.0","26.0","1384.0","0.46","0.0","0.0","1.28","0.46","0.58","0.0","0.0","0.0","0.0","26.12","26.4","536.45","268.22","510.33","510.05","0.0","","","","","","","","",""
"2015.0","1.0","27.0","27.0","1384.0","0.45","0.0","0.0","1.12","0.45","0.5","0.0","0.0","0.0","0.0","26.62","26.4","536.45","268.22","509.83","510.05","0.0","","","","","","","","",""
"2015.0","1.0","28.0","28.0","1384.0","0.44","0.0","0.0","1.53","0.44","0.67","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2015.0","1.0","29.0","29.0","1384.0","0.43","0.0","0.0","1.43","0.43","0.62","0.0","0.0","0.0","0.0","27.02","26.4","536.45","268.22","509.43","510.05","0.0","","","","","","","","",""
"2015.0","1.0","30.0","30.0","1384.0","0.42","0.0","0.0","1.93","0.42","0.82","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2015.0","1.0","31.0","31.0","1384.0","0.41","0.0","0.0","3.46","0.41","1.41","0.0","0.0","0.0","0.0","27.81","26.4","536.45","268.22","508.64","510.05","0.0","","","","","","","","",""
"2015.0","2.0","1.0","32.0","1384.0","0.4","0.0","0.0","1.44","0.4","0.58","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2015.0","2.0","2.0","33.0","1384.0","0.4","0.0","0.0","1.46","0.4","0.58","0.0","0.0","0.0","0.0","26.98","26.4","536.45","268.22","509.47","510.05","0.0","","","","","","","","",""
"2015.0","2.0","3.0","34.0","1384.0","0.39","0.0","0.0","1.52","0.39","0.59","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2015.0","2.0","4.0","35.0","1384.0","0.38","0.0","0.0","1.4","0.38","0.54","0.0","0.0","0.0","0.0","26.94","26.4","536.45","268.22","509.51","510.05","0.0","","","","","","","","",""
"2015.0","2.0","5.0","36.0","1384.0","0.38","0.0","0.0","1.08","0.38","0.41","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","","","",""
"2015.0","2.0","6.0","37.0","1384.0","0.37","0.0","0.0","2.04","0.37","0.76","0.04","0.04","0.0","0.0","27.12","26.4","536.45","268.22","509.33","510.05","0.0","","","","","","","","",""
"2015.0","2.0","7.0","38.0","1384.0","1.16","0.0","0.0","1.42","1.16","1.65","27.21","27.21","0.0","0.0","0.0","26.4","536.45","268.22","536.45","510.05","0.0","","","","","","","","",""
