" Daily soil water balance output for Pasture in 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Pasture at 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015","","","","",""
"2014.0","10.0","16.0","289.0","298.0","0.08","0.95","0.0","2.72","0.95","2.58","0.0","0.0","0.0","0.0","32.09","51.35","214.58","107.29","182.49","163.23","0.0","","","","","","",""
"2014.0","10.0","17.0","290.0","298.0","0.08","0.95","0.0","2.53","0.95","2.4","0.0","0.0","0.0","0.0","34.49","51.35","214.58","107.29","180.08","163.23","0.0","","","","","","",""
"2014.0","10.0","18.0","291.0","298.0","0.08","0.95","0.0","2.88","0.95","2.74","0.0","0.0","0.0","0.0","37.23","51.35","214.58","107.29","177.35","163.23","0.0","","","","","","",""
"2014.0","10.0","19.0","292.0","298.0","0.08","0.95","0.0","2.84","0.95","2.7","0.0","0.0","0.0","0.0","39.93","51.35","214.58","107.29","174.65","163.23","0.0","","","","","","",""
"2014.0","10.0","20.0","293.0","298.0","0.08","0.95","0.0","2.22","0.95","2.11","0.0","0.0","0.0","0.0","42.04","51.35","214.58","107.29","172.54","163.23","0.0","","","","","","",""
"2014.0","10.0","21.0","294.0","298.0","0.08","0.95","0.0","2.7","0.95","2.57","0.0","0.0","0.0","0.0","44.6","51.35","214.58","107.29","169.98","163.23","0.0","","","","","","",""
"2014.0","10.0","22.0","295.0","298.0","0.08","0.95","0.0","2.55","0.95","2.42","0.0","0.0","0.0","0.0","47.03","51.35","214.58","107.29","167.55","163.23","0.0","","","","","","",""
"2014.0","10.0","23.0","296.0","298.0","0.08","0.95","0.0","2.57","0.95","2.44","0.0","0.0","0.0","0.0","49.47","51.35","214.58","107.29","165.11","163.23","0.0","","","","","","",""
"2014.0","10.0","24.0","297.0","298.0","0.08","0.95","0.0","2.55","0.95","2.42","0.0","0.0","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.23","51.89","","","","","","",""
"2014.0","10.0","25.0","298.0","298.0","0.08","0.95","0.0","2.29","0.95","2.18","0.0","0.0","0.0","0.0","2.18","51.35","214.58","107.29","212.4","163.23","0.0","","","","","","",""
"2014.0","10.0","26.0","299.0","298.0","0.08","0.95","0.0","2.69","0.95","2.56","1.42","1.42","0.0","0.0","3.31","51.35","214.58","107.29","211.27","163.23","0.0","","","","","","",""
"2014.0","10.0","27.0","300.0","298.0","0.08","0.95","0.0","2.51","0.95","2.38","0.0","0.0","0.0","0.0","5.7","51.35","214.58","107.29","208.88","163.23","0.0","","","","","","",""
"2014.0","10.0","28.0","301.0","298.0","0.08","0.95","0.0","2.39","0.95","2.27","0.0","0.0","0.0","0.0","7.97","51.35","214.58","107.29","206.61","163.23","0.0","","","","","","",""
"2014.0","10.0","29.0","302.0","298.0","0.08","0.95","0.0","2.5","0.95","2.38","0.0","0.0","0.0","0.0","10.34","51.35","214.58","107.29","204.24","163.23","0.0","","","","","","",""
"2014.0","10.0","30.0","303.0","298.0","0.08","0.95","0.0","2.44","0.95","2.32","0.0","0.0","0.0","0.0","12.66","51.35","214.58","107.29","201.92","163.23","0.0","","","","","","",""
"2014.0","10.0","31.0","304.0","298.0","0.08","0.95","0.0","1.38","0.95","1.31","0.0","0.0","0.0","0.0","13.97","51.35","214.58","107.29","200.61","163.23","0.0","","","","","","",""
"2014.0","11.0","1.0","305.0","298.0","1.15","0.95","0.0","1.85","1.15","2.12","8.58","8.58","0.0","0.0","7.51","51.35","214.58","107.29","207.07","163.23","0.0","","","","","","",""
"2014.0","11.0","2.0","306.0","298.0","1.14","0.95","0.0","2.15","1.14","2.45","0.0","0.0","0.0","0.0","9.96","51.35","214.58","107.29","204.62","163.23","0.0","","","","","","",""
"2014.0","11.0","3.0","307.0","298.0","1.14","0.95","0.0","1.8","1.14","2.06","0.0","0.0","0.0","0.0","12.02","51.35","214.58","107.29","202.56","163.23","0.0","","","","","","",""
"2014.0","11.0","4.0","308.0","298.0","1.01","0.95","0.0","1.77","1.01","1.79","0.0","0.0","0.0","0.0","13.81","51.35","214.58","107.29","200.77","163.23","0.0","","","","","","",""
"2014.0","11.0","5.0","309.0","298.0","0.9","0.95","0.0","1.98","0.95","1.88","0.0","0.0","0.0","0.0","15.69","51.35","214.58","107.29","198.89","163.23","0.0","","","","","","",""
"2014.0","11.0","6.0","310.0","298.0","0.82","0.95","0.0","1.93","0.95","1.83","0.0","0.0","0.0","0.0","17.52","51.35","214.58","107.29","197.06","163.23","0.0","","","","","","",""
"2014.0","11.0","7.0","311.0","298.0","0.76","0.95","0.0","1.95","0.95","1.85","0.0","0.0","0.0","0.0","19.37","51.35","214.58","107.29","195.21","163.23","0.0","","","","","","",""
"2014.0","11.0","8.0","312.0","298.0","0.71","0.95","0.0","1.88","0.95","1.79","0.0","0.0","0.0","0.0","21.16","51.35","214.58","107.29","193.42","163.23","0.0","","","","","","",""
"2014.0","11.0","9.0","313.0","298.0","0.67","0.95","0.0","1.83","0.95","1.74","0.0","0.0","0.0","0.0","22.9","51.35","214.58","107.29","191.68","163.23","0.0","","","","","","",""
"2014.0","11.0","10.0","314.0","298.0","0.64","0.95","0.0","1.78","0.95","1.69","0.0","0.0","0.0","0.0","24.59","51.35","214.58","107.29","189.99","163.23","0.0","","","","","","",""
"2014.0","11.0","11.0","315.0","298.0","0.62","0.95","0.0","1.54","0.95","1.46","0.0","0.0","0.0","0.0","26.05","51.35","214.58","107.29","188.53","163.23","0.0","","","","","","",""
"2014.0","11.0","12.0","316.0","298.0","0.59","0.95","0.0","1.6","0.95","1.52","0.0","0.0","0.0","0.0","27.57","51.35","214.58","107.29","187.01","163.23","0.0","","","","","","",""
"2014.0","11.0","13.0","317.0","298.0","1.18","0.95","0.0","1.12","1.18","1.32","5.87","5.87","0.0","0.0","23.02","51.35","214.58","107.29","191.56","163.23","0.0","","","","","","",""
"2014.0","11.0","14.0","318.0","298.0","1.17","0.95","0.0","1.44","1.17","1.68","1.23","1.23","0.0","0.0","23.47","51.35","214.58","107.29","191.11","163.23","0.0","","","","","","",""
"2014.0","11.0","15.0","319.0","298.0","1.17","0.95","0.0","1.36","1.17","1.59","0.0","0.0","0.0","0.0","25.06","51.35","214.58","107.29","189.52","163.23","0.0","","","","","","",""
"2014.0","11.0","16.0","320.0","298.0","1.16","0.95","0.0","1.9","1.16","2.21","0.0","0.0","0.0","0.0","27.27","51.35","214.58","107.29","187.31","163.23","0.0","","","","","","",""
"2014.0","11.0","17.0","321.0","298.0","1.02","0.95","0.0","1.77","1.02","1.8","0.0","0.0","0.0","0.0","29.07","51.35","214.58","107.29","185.51","163.23","0.0","","","","","","",""
"2014.0","11.0","18.0","322.0","298.0","0.94","0.95","0.0","1.33","0.95","1.26","0.0","0.0","0.0","0.0","30.33","51.35","214.58","107.29","184.25","163.23","0.0","","","","","","",""
"2014.0","11.0","19.0","323.0","298.0","0.88","0.95","0.0","1.19","0.95","1.13","0.0","0.0","0.0","0.0","31.46","51.35","214.58","107.29","183.12","163.23","0.0","","","","","","",""
"2014.0","11.0","20.0","324.0","298.0","1.19","0.95","0.0","0.65","1.19","0.78","2.25","2.25","0.0","0.0","29.99","51.35","214.58","107.29","184.59","163.23","0.0","","","","","","",""
"2014.0","11.0","21.0","325.0","298.0","1.18","0.95","0.0","0.94","1.18","1.11","4.75","4.75","0.0","0.0","26.35","51.35","214.58","107.29","188.23","163.23","0.0","","","","","","",""
"2014.0","11.0","22.0","326.0","298.0","1.18","0.95","0.0","1.28","1.18","1.5","0.01","0.01","0.0","0.0","27.84","51.35","214.58","107.29","186.74","163.23","0.0","","","","","","",""
"2014.0","11.0","23.0","327.0","298.0","1.16","0.95","0.0","1.59","1.16","1.84","3.94","3.94","0.0","0.0","25.74","51.35","214.58","107.29","188.84","163.23","0.0","","","","","","",""
"2014.0","11.0","24.0","328.0","298.0","1.16","0.95","0.0","1.4","1.16","1.62","0.0","0.0","0.0","0.0","27.37","51.35","214.58","107.29","187.21","163.23","0.0","","","","","","",""
"2014.0","11.0","25.0","329.0","298.0","1.16","0.95","0.0","1.29","1.16","1.5","0.0","0.0","0.0","0.0","28.87","51.35","214.58","107.29","185.71","163.23","0.0","","","","","","",""
"2014.0","11.0","26.0","330.0","298.0","1.16","0.95","0.0","1.32","1.16","1.54","0.0","0.0","0.0","0.0","30.4","51.35","214.58","107.29","184.18","163.23","0.0","","","","","","",""
"2014.0","11.0","27.0","331.0","298.0","1.07","0.95","0.0","1.23","1.07","1.32","0.0","0.0","0.0","0.0","31.72","51.35","214.58","107.29","182.86","163.23","0.0","","","","","","",""
"2014.0","11.0","28.0","332.0","298.0","0.99","0.95","0.0","1.19","0.99","1.18","0.0","0.0","0.0","0.0","32.9","51.35","214.58","107.29","181.68","163.23","0.0","","","","","","",""
"2014.0","11.0","29.0","333.0","298.0","0.95","0.95","0.0","0.8","0.95","0.76","0.41","0.41","0.0","0.0","33.25","51.35","214.58","107.29","181.33","163.23","0.0","","","","","","",""
"2014.0","11.0","30.0","334.0","298.0","1.19","0.95","0.0","0.69","1.19","0.82","2.78","2.78","0.0","0.0","31.3","51.35","214.58","107.29","183.28","163.23","0.0","","","","","","",""
"2014.0","12.0","1.0","335.0","298.0","1.18","0.95","0.0","0.96","1.18","1.13","12.37","12.37","0.0","0.0","20.06","51.35","214.58","107.29","194.52","163.23","0.0","","","","","","",""
"2014.0","12.0","2.0","336.0","298.0","1.2","0.95","0.0","0.62","1.2","0.74","10.99","10.99","0.0","0.0","9.81","51.35","214.58","107.29","204.77","163.23","0.0","","","","","","",""
"2014.0","12.0","3.0","337.0","298.0","1.17","0.95","0.0","1.24","1.17","1.45","28.92","11.26","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.23","0.0","","","","","","",""
"2014.0","12.0","4.0","338.0","298.0","1.17","0.95","0.0","1.13","1.17","1.33","7.13","1.33","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.23","0.0","","","","","","",""
"2014.0","12.0","5.0","339.0","298.0","1.18","0.95","0.0","0.91","1.18","1.07","0.35","0.35","0.0","0.0","0.72","51.35","214.58","107.29","213.86","163.23","0.0","","","","","","",""
"2014.0","12.0","6.0","340.0","298.0","1.18","0.95","0.0","1.09","1.18","1.28","2.4","2.01","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.23","0.0","","","","","","",""
"2014.0","12.0","7.0","341.0","298.0","1.18","0.95","0.0","0.72","1.18","0.85","0.32","0.32","0.0","0.0","0.53","51.35","214.58","107.29","214.05","163.23","0.0","","","","","","",""
"2014.0","12.0","8.0","342.0","298.0","1.18","0.95","0.0","0.88","1.18","1.04","0.0","0.0","0.0","0.0","1.57","51.35","214.58","107.29","213.0","163.23","0.0","","","","","","",""
"2014.0","12.0","9.0","343.0","298.0","1.19","0.95","0.0","0.69","1.19","0.82","0.0","0.0","0.0","0.0","2.39","51.35","214.58","107.29","212.19","163.23","0.0","","","","","","",""
"2014.0","12.0","10.0","344.0","298.0","1.19","0.95","0.0","0.9","1.19","1.07","0.0","0.0","0.0","0.0","3.46","51.35","214.58","107.29","211.12","163.23","0.0","","","","","","",""
"2014.0","12.0","11.0","345.0","298.0","1.18","0.95","0.0","1.36","1.18","1.61","0.0","0.0","0.0","0.0","5.07","51.35","214.58","107.29","209.51","163.23","0.0","","","","","","",""
"2014.0","12.0","12.0","346.0","298.0","1.19","0.95","0.0","0.63","1.19","0.75","65.93","5.82","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.23","0.0","","","","","","",""
"2014.0","12.0","13.0","347.0","298.0","1.19","0.95","0.0","0.74","1.19","0.88","1.66","0.88","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.23","0.0","","","","","","",""
"2014.0","12.0","14.0","348.0","298.0","1.19","0.95","0.0","0.81","1.19","0.96","0.0","0.0","0.0","0.0","0.96","51.35","214.58","107.29","213.62","163.23","0.0","","","","","","",""
"2014.0","12.0","15.0","349.0","298.0","1.18","0.95","0.0","1.01","1.18","1.19","10.89","2.15","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.23","0.0","","","","","","",""
"2014.0","12.0","16.0","350.0","298.0","1.17","0.95","0.0","1.24","1.17","1.45","9.78","1.45","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.23","0.0","","","","","","",""
"2014.0","12.0","17.0","351.0","298.0","1.18","0.95","0.0","0.95","1.18","1.12","11.39","1.12","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.23","0.0","","","","","","",""
"2014.0","12.0","18.0","352.0","298.0","1.18","0.95","0.0","1.0","1.18","1.18","5.48","1.18","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.23","0.0","","","","","","",""
"2014.0","12.0","19.0","353.0","298.0","1.18","0.95","0.0","0.85","1.18","1.01","0.0","0.0","0.0","0.0","1.01","51.35","214.58","107.29","213.57","163.23","0.0","","","","","","",""
"2014.0","12.0","20.0","354.0","298.0","1.19","0.95","0.0","0.7","1.19","0.83","8.92","1.84","0.0","0.0","0.0","51.35","214.58","107.29","214.58","163.23","0.0","","","","","","",""
"2014.0","12.0","21.0","355.0","298.0","1.19","0.95","0.0","1.0","1.19","1.19","0.47","0.47","0.0","0.0","0.72","51.35","214.58","107.29","213.86","163.23","0.0","","","","","","",""
"2014.0","12.0","22.0","356.0","298.0","1.19","0.95","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","1.64","51.35","214.58","107.29","212.94","163.23","0.0","","","","","","",""
"2014.0","12.0","23.0","357.0","298.0","1.19","0.95","0.0","0.79","1.19","0.94","0.0","0.0","0.0","0.0","2.58","51.35","214.58","107.29","212.0","163.23","0.0","","","","","","",""
"2014.0","12.0","24.0","358.0","298.0","1.19","0.95","0.0","0.96","1.19","1.14","0.0","0.0","0.0","0.0","3.72","51.35","214.58","107.29","210.86","163.23","0.0","","","","","","",""
"2014.0","12.0","25.0","359.0","298.0","1.13","0.95","0.0","1.97","1.13","2.23","0.72","0.72","0.0","0.0","5.23","51.35","214.58","107.29","209.35","163.23","0.0","","","","","","",""
"2014.0","12.0","26.0","360.0","298.0","1.01","0.95","0.0","1.61","1.01","1.62","0.0","0.0","0.0","0.0","6.86","51.35","214.58","107.29","207.72","163.23","0.0","","","","","","",""
"2014.0","12.0","27.0","361.0","298.0","0.96","0.95","0.0","0.77","0.96","0.74","0.0","0.0","0.0","0.0","7.6","51.35","214.58","107.29","206.98","163.23","0.0","","","","","","",""
"2014.0","12.0","28.0","362.0","298.0","0.92","0.95","0.0","0.77","0.95","0.73","0.0","0.0","0.0","0.0","8.33","51.35","214.58","107.29","206.25","163.23","0.0","","","","","","",""
"2014.0","12.0","29.0","363.0","298.0","0.9","0.95","0.0","0.56","0.95","0.53","0.0","0.0","0.0","0.0","8.86","51.35","214.58","107.29","205.72","163.23","0.0","","","","","","",""
"2014.0","12.0","30.0","364.0","298.0","0.8","0.95","0.0","2.42","0.95","2.3","0.0","0.0","0.0","0.0","11.16","51.35","214.58","107.29","203.42","163.23","0.0","","","","","","",""
"2014.0","12.0","31.0","365.0","298.0","0.73","0.95","0.0","2.55","0.95","2.42","0.0","0.0","0.0","0.0","13.58","51.35","214.58","107.29","201.0","163.23","0.0","","","","","","",""
"2015.0","1.0","1.0","1.0","298.0","0.71","0.95","0.0","1.01","0.95","0.96","0.0","0.0","0.0","0.0","14.54","50.49","214.58","107.29","200.04","164.09","0.0","","","","","","",""
"2015.0","1.0","2.0","2.0","298.0","0.69","0.95","0.0","0.91","0.95","0.86","0.0","0.0","0.0","0.0","15.41","50.49","214.58","107.29","199.17","164.09","0.0","","","","","","",""
"2015.0","1.0","3.0","3.0","298.0","0.67","0.95","0.0","0.92","0.95","0.87","0.0","0.0","0.0","0.0","16.28","50.49","214.58","107.29","198.3","164.09","0.0","","","","","","",""
"2015.0","1.0","4.0","4.0","298.0","0.65","0.95","0.0","1.02","0.95","0.97","0.0","0.0","0.0","0.0","17.25","50.49","214.58","107.29","197.33","164.09","0.0","","","","","","",""
"2015.0","1.0","5.0","5.0","298.0","0.63","0.95","0.0","1.03","0.95","0.98","0.0","0.0","0.0","0.0","18.23","50.49","214.58","107.29","196.35","164.09","0.0","","","","","","",""
"2015.0","1.0","6.0","6.0","298.0","0.61","0.95","0.0","1.27","0.95","1.21","0.0","0.0","0.0","0.0","19.43","50.49","214.58","107.29","195.15","164.09","0.0","","","","","","",""
"2015.0","1.0","7.0","7.0","298.0","0.6","0.95","0.0","1.24","0.95","1.18","0.0","0.0","0.0","0.0","20.61","50.49","214.58","107.29","193.97","164.09","0.0","","","","","","",""
"2015.0","1.0","8.0","8.0","298.0","0.58","0.95","0.0","1.03","0.95","0.98","0.0","0.0","0.0","0.0","21.59","50.49","214.58","107.29","192.99","164.09","0.0","","","","","","",""
"2015.0","1.0","9.0","9.0","298.0","0.57","0.95","0.0","0.9","0.95","0.86","0.0","0.0","0.0","0.0","22.45","50.49","214.58","107.29","192.13","164.09","0.0","","","","","","",""
"2015.0","1.0","10.0","10.0","298.0","0.56","0.95","0.0","1.05","0.95","1.0","0.0","0.0","0.0","0.0","23.44","50.49","214.58","107.29","191.14","164.09","0.0","","","","","","",""
"2015.0","1.0","11.0","11.0","298.0","0.55","0.95","0.0","0.86","0.95","0.82","0.0","0.0","0.0","0.0","24.26","50.49","214.58","107.29","190.32","164.09","0.0","","","","","","",""
"2015.0","1.0","12.0","12.0","298.0","0.54","0.95","0.0","0.97","0.95","0.92","0.0","0.0","0.0","0.0","25.18","50.49","214.58","107.29","189.4","164.09","0.0","","","","","","",""
"2015.0","1.0","13.0","13.0","298.0","0.53","0.95","0.0","1.04","0.95","0.99","0.0","0.0","0.0","0.0","26.17","50.49","214.58","107.29","188.41","164.09","0.0","","","","","","",""
"2015.0","1.0","14.0","14.0","298.0","0.53","0.95","0.0","0.62","0.95","0.59","0.0","0.0","0.0","0.0","26.76","50.49","214.58","107.29","187.82","164.09","0.0","","","","","","",""
"2015.0","1.0","15.0","15.0","298.0","0.52","0.95","0.0","0.66","0.95","0.63","0.0","0.0","0.0","0.0","27.39","50.49","214.58","107.29","187.19","164.09","0.0","","","","","","",""
"2015.0","1.0","16.0","16.0","298.0","0.51","0.95","0.0","0.62","0.95","0.59","0.0","0.0","0.0","0.0","27.97","50.49","214.58","107.29","186.6","164.09","0.0","","","","","","",""
"2015.0","1.0","17.0","17.0","298.0","0.51","0.95","0.0","0.54","0.95","0.51","0.0","0.0","0.0","0.0","28.49","50.49","214.58","107.29","186.09","164.09","0.0","","","","","","",""
"2015.0","1.0","18.0","18.0","298.0","0.51","0.95","0.0","0.66","0.95","0.63","0.0","0.0","0.0","0.0","29.11","50.49","214.58","107.29","185.46","164.09","0.0","","","","","","",""
"2015.0","1.0","19.0","19.0","298.0","0.5","0.95","0.0","0.55","0.95","0.52","0.43","0.43","0.0","0.0","29.21","50.49","214.58","107.29","185.37","164.09","0.0","","","","","","",""
"2015.0","1.0","20.0","20.0","298.0","0.49","0.95","0.0","0.81","0.95","0.77","0.0","0.0","0.0","0.0","29.98","50.49","214.58","107.29","184.6","164.09","0.0","","","","","","",""
"2015.0","1.0","21.0","21.0","298.0","0.49","0.95","0.0","1.08","0.95","1.03","0.0","0.0","0.0","0.0","31.0","50.49","214.58","107.29","183.58","164.09","0.0","","","","","","",""
"2015.0","1.0","22.0","22.0","298.0","0.48","0.95","0.0","0.69","0.95","0.66","0.0","0.0","0.0","0.0","31.66","50.49","214.58","107.29","182.92","164.09","0.0","","","","","","",""
"2015.0","1.0","23.0","23.0","298.0","0.47","0.95","0.0","1.02","0.95","0.97","0.0","0.0","0.0","0.0","32.63","50.49","214.58","107.29","181.95","164.09","0.0","","","","","","",""
"2015.0","1.0","24.0","24.0","298.0","0.47","0.95","0.0","0.96","0.95","0.91","0.0","0.0","0.0","0.0","33.54","50.49","214.58","107.29","181.04","164.09","0.0","","","","","","",""
"2015.0","1.0","25.0","25.0","298.0","0.46","0.95","0.0","1.04","0.95","0.99","0.0","0.0","0.0","0.0","34.53","50.49","214.58","107.29","180.05","164.09","0.0","","","","","","",""
"2015.0","1.0","26.0","26.0","298.0","0.45","0.95","0.0","1.19","0.95","1.13","0.0","0.0","0.0","0.0","35.66","50.49","214.58","107.29","178.92","164.09","0.0","","","","","","",""
"2015.0","1.0","27.0","27.0","298.0","0.45","0.95","0.0","1.14","0.95","1.08","0.0","0.0","0.0","0.0","36.74","50.49","214.58","107.29","177.84","164.09","0.0","","","","","","",""
"2015.0","1.0","28.0","28.0","298.0","0.44","0.95","0.0","1.45","0.95","1.38","0.0","0.0","0.0","0.0","38.12","50.49","214.58","107.29","176.46","164.09","0.0","","","","","","",""
"2015.0","1.0","29.0","29.0","298.0","0.43","0.95","0.0","1.38","0.95","1.31","0.0","0.0","0.0","0.0","39.43","50.49","214.58","107.29","175.15","164.09","0.0","","","","","","",""
"2015.0","1.0","30.0","30.0","298.0","0.42","0.95","0.0","1.66","0.95","1.58","0.0","0.0","0.0","0.0","41.01","50.49","214.58","107.29","173.57","164.09","0.0","","","","","","",""
"2015.0","1.0","31.0","31.0","298.0","0.41","0.95","0.0","2.85","0.95","2.71","0.0","0.0","0.0","0.0","43.71","50.49","214.58","107.29","170.87","164.09","0.0","","","","","","",""
"2015.0","2.0","1.0","32.0","298.0","0.4","0.95","0.0","1.55","0.95","1.47","0.0","0.0","0.0","0.0","45.19","50.49","214.58","107.29","169.39","164.09","0.0","","","","","","",""
"2015.0","2.0","2.0","33.0","298.0","0.4","0.95","0.0","1.57","0.95","1.49","0.0","0.0","0.0","0.0","46.68","50.49","214.58","107.29","167.9","164.09","0.0","","","","","","",""
"2015.0","2.0","3.0","34.0","298.0","0.39","0.95","0.0","1.67","0.95","1.59","0.0","0.0","0.0","0.0","48.26","50.49","214.58","107.29","166.32","164.09","0.0","","","","","","",""
"2015.0","2.0","4.0","35.0","298.0","0.39","0.95","0.0","1.36","0.95","1.29","0.0","0.0","0.0","0.0","49.56","50.49","214.58","107.29","165.02","164.09","0.0","","","","","","",""
"2015.0","2.0","5.0","36.0","298.0","0.38","0.95","0.0","1.01","0.95","0.96","0.0","0.0","0.0","0.0","0.0","50.49","214.58","107.29","214.58","164.09","50.52","","","","","","",""
"2015.0","2.0","6.0","37.0","298.0","0.38","0.95","0.0","2.21","0.95","2.1","0.0","0.0","0.0","0.0","2.1","50.49","214.58","107.29","212.48","164.09","0.0","","","","","","",""
"2015.0","2.0","7.0","38.0","298.0","1.16","0.95","0.0","1.47","1.16","1.71","13.46","3.81","0.0","0.0","0.0","50.49","214.58","107.29","214.58","164.09","0.0","","","","","","",""
"2015.0","2.0","8.0","39.0","298.0","1.16","0.95","0.0","1.61","1.16","1.86","11.21","1.86","0.0","0.0","0.0","50.49","214.58","107.29","214.58","164.09","0.0","","","","","","",""
"2015.0","2.0","9.0","40.0","298.0","1.14","0.95","0.0","2.11","1.14","2.4","13.89","2.4","0.0","0.0","0.0","50.49","214.58","107.29","214.58","164.09","0.0","","","","","","",""
"2015.0","2.0","10.0","41.0","298.0","1.14","0.95","0.0","1.9","1.14","2.17","0.0","0.0","0.0","0.0","2.17","50.49","214.58","107.29","212.41","164.09","0.0","","","","","","",""
"2015.0","2.0","11.0","42.0","298.0","1.14","0.95","0.0","1.76","1.14","2.01","0.0","0.0","0.0","0.0","4.18","50.49","214.58","107.29","210.4","164.09","0.0","","","","","","",""
"2015.0","2.0","12.0","43.0","298.0","0.99","0.95","0.0","2.06","0.99","2.05","0.0","0.0","0.0","0.0","6.22","50.49","214.58","107.29","208.36","164.09","0.0","","","","","","",""
