" Daily soil water balance output for Turf_farm in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Turf_farm in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"2014.0","10.0","16.0","289.0","238.0","0.29","0.85","0.0","2.67","0.85","2.27","0.08","0.08","0.0","0.0","2.19","47.26","201.17","100.58","198.98","153.9","0.0","","","","","","",""
"2014.0","10.0","17.0","290.0","238.0","0.29","0.85","0.0","2.51","0.85","2.13","0.0","0.0","0.0","0.0","4.32","47.26","201.17","100.58","196.85","153.9","0.0","","","","","","",""
"2014.0","10.0","18.0","291.0","238.0","0.29","0.85","0.0","2.9","0.85","2.47","0.0","0.0","0.0","0.0","6.79","47.26","201.17","100.58","194.38","153.9","0.0","","","","","","",""
"2014.0","10.0","19.0","292.0","238.0","0.28","0.85","0.0","3.02","0.85","2.57","0.0","0.0","0.0","0.0","9.36","47.26","201.17","100.58","191.81","153.9","0.0","","","","","","",""
"2014.0","10.0","20.0","293.0","238.0","0.28","0.85","0.0","2.28","0.85","1.94","0.0","0.0","0.0","0.0","11.29","47.26","201.17","100.58","189.88","153.9","0.0","","","","","","",""
"2014.0","10.0","21.0","294.0","238.0","0.27","0.85","0.0","2.62","0.85","2.23","0.0","0.0","0.0","0.0","13.52","47.26","201.17","100.58","187.65","153.9","0.0","","","","","","",""
"2014.0","10.0","22.0","295.0","238.0","0.27","0.85","0.0","2.57","0.85","2.18","0.0","0.0","0.0","0.0","15.7","47.26","201.17","100.58","185.46","153.9","0.0","","","","","","",""
"2014.0","10.0","23.0","296.0","238.0","0.27","0.85","0.0","2.45","0.85","2.08","0.0","0.0","0.0","0.0","17.79","47.26","201.17","100.58","183.38","153.9","0.0","","","","","","",""
"2014.0","10.0","24.0","297.0","238.0","0.26","0.85","0.0","2.62","0.85","2.23","0.0","0.0","0.0","0.0","20.01","47.26","201.17","100.58","181.15","153.9","0.0","","","","","","",""
"2014.0","10.0","25.0","298.0","238.0","0.26","0.85","0.0","2.31","0.85","1.96","0.0","0.0","0.0","0.0","21.98","47.26","201.17","100.58","179.19","153.9","0.0","","","","","","",""
"2014.0","10.0","26.0","299.0","238.0","0.26","0.85","0.0","2.62","0.85","2.23","2.42","2.42","0.0","0.0","21.78","47.26","201.17","100.58","179.38","153.9","0.0","","","","","","",""
"2014.0","10.0","27.0","300.0","238.0","0.26","0.85","0.0","2.46","0.85","2.09","0.0","0.0","0.0","0.0","23.88","47.26","201.17","100.58","177.29","153.9","0.0","","","","","","",""
"2014.0","10.0","28.0","301.0","238.0","0.25","0.85","0.0","2.35","0.85","2.0","0.0","0.0","0.0","0.0","25.87","47.26","201.17","100.58","175.3","153.9","0.0","","","","","","",""
"2014.0","10.0","29.0","302.0","238.0","0.25","0.85","0.0","2.4","0.85","2.04","0.0","0.0","0.0","0.0","27.91","47.26","201.17","100.58","173.26","153.9","0.0","","","","","","",""
"2014.0","10.0","30.0","303.0","238.0","0.25","0.85","0.0","2.55","0.85","2.17","0.0","0.0","0.0","0.0","30.08","47.26","201.17","100.58","171.09","153.9","0.0","","","","","","",""
"2014.0","10.0","31.0","304.0","238.0","0.25","0.85","0.0","1.22","0.85","1.04","0.0","0.0","0.0","0.0","31.12","47.26","201.17","100.58","170.05","153.9","0.0","","","","","","",""
"2014.0","11.0","1.0","305.0","238.0","1.15","0.85","0.0","1.85","1.15","2.12","9.51","9.51","0.0","0.0","23.73","47.26","201.17","100.58","177.44","153.9","0.0","","","","","","",""
"2014.0","11.0","2.0","306.0","238.0","1.14","0.85","0.0","2.22","1.14","2.53","0.0","0.0","0.0","0.0","26.26","47.26","201.17","100.58","174.91","153.9","0.0","","","","","","",""
"2014.0","11.0","3.0","307.0","238.0","1.14","0.85","0.0","1.82","1.14","2.08","0.0","0.0","0.0","0.0","28.33","47.26","201.17","100.58","172.84","153.9","0.0","","","","","","",""
"2014.0","11.0","4.0","308.0","238.0","1.01","0.85","0.0","1.76","1.01","1.77","0.0","0.0","0.0","0.0","30.1","47.26","201.17","100.58","171.07","153.9","0.0","","","","","","",""
"2014.0","11.0","5.0","309.0","238.0","0.91","0.85","0.0","1.77","0.91","1.6","0.0","0.0","0.0","0.0","31.71","47.26","201.17","100.58","169.46","153.9","0.0","","","","","","",""
"2014.0","11.0","6.0","310.0","238.0","0.82","0.85","0.0","1.95","0.85","1.66","0.0","0.0","0.0","0.0","33.36","47.26","201.17","100.58","167.8","153.9","0.0","","","","","","",""
"2014.0","11.0","7.0","311.0","238.0","0.76","0.85","0.0","2.02","0.85","1.72","0.0","0.0","0.0","0.0","35.08","47.26","201.17","100.58","166.09","153.9","0.0","","","","","","",""
"2014.0","11.0","8.0","312.0","238.0","0.71","0.85","0.0","1.91","0.85","1.62","0.0","0.0","0.0","0.0","36.7","47.26","201.17","100.58","164.46","153.9","0.0","","","","","","",""
"2014.0","11.0","9.0","313.0","238.0","0.67","0.85","0.0","1.87","0.85","1.59","0.0","0.0","0.0","0.0","38.29","47.26","201.17","100.58","162.87","153.9","0.0","","","","","","",""
"2014.0","11.0","10.0","314.0","238.0","0.63","0.85","0.0","2.04","0.85","1.73","0.0","0.0","0.0","0.0","40.03","47.26","201.17","100.58","161.14","153.9","0.0","","","","","","",""
"2014.0","11.0","11.0","315.0","238.0","0.61","0.85","0.0","1.51","0.85","1.28","0.0","0.0","0.0","0.0","41.31","47.26","201.17","100.58","159.86","153.9","0.0","","","","","","",""
"2014.0","11.0","12.0","316.0","238.0","0.59","0.85","0.0","1.4","0.85","1.19","0.0","0.0","0.0","0.0","42.5","47.26","201.17","100.58","158.67","153.9","0.0","","","","","","",""
"2014.0","11.0","13.0","317.0","238.0","1.18","0.85","0.0","0.94","1.18","1.11","3.18","3.18","0.0","0.0","40.43","47.26","201.17","100.58","160.74","153.9","0.0","","","","","","",""
"2014.0","11.0","14.0","318.0","238.0","1.17","0.85","0.0","1.24","1.17","1.45","2.3","2.3","0.0","0.0","39.58","47.26","201.17","100.58","161.58","153.9","0.0","","","","","","",""
"2014.0","11.0","15.0","319.0","238.0","1.17","0.85","0.0","1.23","1.17","1.44","0.0","0.0","0.0","0.0","41.02","47.26","201.17","100.58","160.14","153.9","0.0","","","","","","",""
"2014.0","11.0","16.0","320.0","238.0","1.16","0.85","0.0","2.03","1.16","2.35","0.0","0.0","0.0","0.0","43.38","47.26","201.17","100.58","157.79","153.9","0.0","","","","","","",""
"2014.0","11.0","17.0","321.0","238.0","1.11","0.85","0.0","1.87","1.11","2.07","0.0","0.0","0.0","0.0","45.45","47.26","201.17","100.58","155.72","153.9","0.0","","","","","","",""
"2014.0","11.0","18.0","322.0","238.0","1.0","0.85","0.0","1.42","1.0","1.42","0.0","0.0","0.0","0.0","46.87","47.26","201.17","100.58","154.29","153.9","0.0","","","","","","",""
"2014.0","11.0","19.0","323.0","238.0","0.95","0.85","0.0","1.0","0.95","0.95","0.0","0.0","0.0","0.0","0.0","47.26","201.17","100.58","201.17","153.9","47.82","","","","","","",""
"2014.0","11.0","20.0","324.0","238.0","1.19","0.85","0.0","0.63","1.19","0.75","3.48","0.75","0.0","0.0","0.0","50.29","201.17","100.58","201.17","150.88","0.0","","","","","","",""
"2014.0","11.0","21.0","325.0","238.0","1.19","0.85","0.0","0.77","1.19","0.92","4.74","0.92","0.0","0.0","0.0","50.29","201.17","100.58","201.17","150.88","0.0","","","","","","",""
"2014.0","11.0","22.0","326.0","238.0","1.18","0.85","0.0","1.08","1.18","1.28","0.6","0.6","0.0","0.0","0.68","50.29","201.17","100.58","200.49","150.88","0.0","","","","","","",""
"2014.0","11.0","23.0","327.0","238.0","1.16","0.85","0.0","1.44","1.16","1.67","1.87","1.87","0.0","0.0","0.48","50.29","201.17","100.58","200.69","150.88","0.0","","","","","","",""
"2014.0","11.0","24.0","328.0","238.0","1.16","0.85","0.0","1.37","1.16","1.59","0.0","0.0","0.0","0.0","2.08","50.29","201.17","100.58","199.09","150.88","0.0","","","","","","",""
"2014.0","11.0","25.0","329.0","238.0","1.17","0.85","0.0","1.22","1.17","1.42","0.0","0.0","0.0","0.0","3.5","50.29","201.17","100.58","197.67","150.88","0.0","","","","","","",""
"2014.0","11.0","26.0","330.0","238.0","1.17","0.85","0.0","1.16","1.17","1.35","0.0","0.0","0.0","0.0","4.85","50.29","201.17","100.58","196.31","150.88","0.0","","","","","","",""
"2014.0","11.0","27.0","331.0","238.0","1.11","0.85","0.0","1.2","1.11","1.33","0.0","0.0","0.0","0.0","6.19","50.29","201.17","100.58","194.98","150.88","0.0","","","","","","",""
"2014.0","11.0","28.0","332.0","238.0","1.02","0.85","0.0","1.15","1.02","1.18","0.0","0.0","0.0","0.0","7.37","50.29","201.17","100.58","193.8","150.88","0.0","","","","","","",""
"2014.0","11.0","29.0","333.0","238.0","1.19","0.85","0.0","0.86","1.19","1.02","4.67","4.67","0.0","0.0","3.72","50.29","201.17","100.58","197.45","150.88","0.0","","","","","","",""
"2014.0","11.0","30.0","334.0","238.0","1.19","0.85","0.0","0.66","1.19","0.79","6.84","4.5","0.0","0.0","0.0","50.29","201.17","100.58","201.17","150.88","0.0","","","","","","",""
"2014.0","12.0","1.0","335.0","238.0","1.18","0.85","0.0","1.03","1.18","1.21","3.4","1.21","0.0","0.0","0.0","50.29","201.17","100.58","201.17","150.88","0.0","","","","","","",""
"2014.0","12.0","2.0","336.0","238.0","1.19","0.85","0.0","0.67","1.19","0.8","1.57","0.8","0.0","0.0","0.0","50.29","201.17","100.58","201.17","150.88","0.0","","","","","","",""
"2014.0","12.0","3.0","337.0","238.0","1.18","0.85","0.0","1.07","1.18","1.26","42.83","1.26","0.0","0.0","0.0","50.29","201.17","100.58","201.17","150.88","0.0","","","","","","",""
"2014.0","12.0","4.0","338.0","238.0","1.18","0.85","0.0","1.07","1.18","1.26","23.53","1.26","0.0","0.0","0.0","50.29","201.17","100.58","201.17","150.88","0.0","","","","","","",""
"2014.0","12.0","5.0","339.0","238.0","1.18","0.85","0.0","0.94","1.18","1.11","0.2","0.2","0.0","0.0","0.91","50.29","201.17","100.58","200.26","150.88","0.0","","","","","","",""
"2014.0","12.0","6.0","340.0","238.0","1.18","0.85","0.0","1.08","1.18","1.27","3.02","2.18","0.0","0.0","0.0","50.29","201.17","100.58","201.17","150.88","0.0","","","","","","",""
"2014.0","12.0","7.0","341.0","238.0","1.18","0.85","0.0","0.8","1.18","0.95","0.51","0.51","0.0","0.0","0.44","50.29","201.17","100.58","200.73","150.88","0.0","","","","","","",""
"2014.0","12.0","8.0","342.0","238.0","1.18","0.85","0.0","0.83","1.18","0.98","0.0","0.0","0.0","0.0","1.42","50.29","201.17","100.58","199.75","150.88","0.0","","","","","","",""
"2014.0","12.0","9.0","343.0","238.0","1.19","0.85","0.0","0.69","1.19","0.82","0.0","0.0","0.0","0.0","2.24","50.29","201.17","100.58","198.93","150.88","0.0","","","","","","",""
"2014.0","12.0","10.0","344.0","238.0","1.19","0.85","0.0","0.97","1.19","1.15","0.0","0.0","0.0","0.0","3.39","50.29","201.17","100.58","197.78","150.88","0.0","","","","","","",""
"2014.0","12.0","11.0","345.0","238.0","1.18","0.85","0.0","1.19","1.18","1.41","0.75","0.75","0.0","0.0","4.04","50.29","201.17","100.58","197.12","150.88","0.0","","","","","","",""
"2014.0","12.0","12.0","346.0","238.0","1.2","0.85","0.0","0.6","1.2","0.72","73.65","4.76","0.0","0.0","0.0","50.29","201.17","100.58","201.17","150.88","0.0","","","","","","",""
"2014.0","12.0","13.0","347.0","238.0","1.19","0.85","0.0","0.67","1.19","0.8","1.55","0.8","0.0","0.0","0.0","50.29","201.17","100.58","201.17","150.88","0.0","","","","","","",""
"2014.0","12.0","14.0","348.0","238.0","1.19","0.85","0.0","0.69","1.19","0.82","0.0","0.0","0.0","0.0","0.82","50.29","201.17","100.58","200.34","150.88","0.0","","","","","","",""
"2014.0","12.0","15.0","349.0","238.0","1.19","0.85","0.0","0.87","1.19","1.03","5.34","1.85","0.0","0.0","0.0","50.29","201.17","100.58","201.17","150.88","0.0","","","","","","",""
"2014.0","12.0","16.0","350.0","238.0","1.17","0.85","0.0","1.18","1.17","1.38","10.1","1.38","0.0","0.0","0.0","50.29","201.17","100.58","201.17","150.88","0.0","","","","","","",""
"2014.0","12.0","17.0","351.0","238.0","1.18","0.85","0.0","0.96","1.18","1.13","14.67","1.13","0.0","0.0","0.0","50.29","201.17","100.58","201.17","150.88","0.0","","","","","","",""
"2014.0","12.0","18.0","352.0","238.0","1.18","0.85","0.0","0.91","1.18","1.08","2.9","1.08","0.0","0.0","0.0","50.29","201.17","100.58","201.17","150.88","0.0","","","","","","",""
"2014.0","12.0","19.0","353.0","238.0","1.19","0.85","0.0","0.81","1.19","0.96","0.09","0.09","0.0","0.0","0.87","50.29","201.17","100.58","200.3","150.88","0.0","","","","","","",""
"2014.0","12.0","20.0","354.0","238.0","1.19","0.85","0.0","0.63","1.19","0.75","18.41","1.62","0.0","0.0","0.0","50.29","201.17","100.58","201.17","150.88","0.0","","","","","","",""
"2014.0","12.0","21.0","355.0","238.0","1.19","0.85","0.0","0.96","1.19","1.14","0.07","0.07","0.0","0.0","1.07","50.29","201.17","100.58","200.1","150.88","0.0","","","","","","",""
"2014.0","12.0","22.0","356.0","238.0","1.19","0.85","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","2.0","50.29","201.17","100.58","199.17","150.88","0.0","","","","","","",""
"2014.0","12.0","23.0","357.0","238.0","1.19","0.85","0.0","0.72","1.19","0.86","0.0","0.0","0.0","0.0","2.85","50.29","201.17","100.58","198.31","150.88","0.0","","","","","","",""
"2014.0","12.0","24.0","358.0","238.0","1.19","0.85","0.0","0.97","1.19","1.15","0.0","0.0","0.0","0.0","4.01","50.29","201.17","100.58","197.16","150.88","0.0","","","","","","",""
"2014.0","12.0","25.0","359.0","238.0","1.16","0.85","0.0","1.86","1.16","2.16","0.69","0.69","0.0","0.0","5.48","50.29","201.17","100.58","195.69","150.88","0.0","","","","","","",""
"2014.0","12.0","26.0","360.0","238.0","1.01","0.85","0.0","1.91","1.01","1.92","0.0","0.0","0.0","0.0","7.4","50.29","201.17","100.58","193.77","150.88","0.0","","","","","","",""
"2014.0","12.0","27.0","361.0","238.0","0.96","0.85","0.0","0.77","0.96","0.74","0.0","0.0","0.0","0.0","8.14","50.29","201.17","100.58","193.03","150.88","0.0","","","","","","",""
"2014.0","12.0","28.0","362.0","238.0","0.92","0.85","0.0","0.76","0.92","0.7","0.0","0.0","0.0","0.0","8.84","50.29","201.17","100.58","192.33","150.88","0.0","","","","","","",""
"2014.0","12.0","29.0","363.0","238.0","0.9","0.85","0.0","0.55","0.9","0.49","0.0","0.0","0.0","0.0","9.33","50.29","201.17","100.58","191.83","150.88","0.0","","","","","","",""
"2014.0","12.0","30.0","364.0","238.0","0.8","0.85","0.0","2.47","0.85","2.1","0.0","0.0","0.0","0.0","11.43","50.29","201.17","100.58","189.73","150.88","0.0","","","","","","",""
"2014.0","12.0","31.0","365.0","238.0","0.72","0.85","0.0","2.67","0.85","2.27","0.0","0.0","0.0","0.0","13.7","50.29","201.17","100.58","187.46","150.88","0.0","","","","","","",""
"2015.0","1.0","1.0","1.0","238.0","0.71","0.85","0.0","0.85","0.85","0.72","0.0","0.0","0.0","0.0","14.43","47.2","201.17","100.58","186.74","153.96","0.0","","","","","","",""
"2015.0","1.0","2.0","2.0","238.0","0.69","0.85","0.0","0.87","0.85","0.74","0.0","0.0","0.0","0.0","15.17","47.2","201.17","100.58","186.0","153.96","0.0","","","","","","",""
"2015.0","1.0","3.0","3.0","238.0","0.67","0.85","0.0","0.86","0.85","0.73","0.0","0.0","0.0","0.0","15.9","47.2","201.17","100.58","185.27","153.96","0.0","","","","","","",""
"2015.0","1.0","4.0","4.0","238.0","0.65","0.85","0.0","0.96","0.85","0.82","0.0","0.0","0.0","0.0","16.71","47.2","201.17","100.58","184.46","153.96","0.0","","","","","","",""
"2015.0","1.0","5.0","5.0","238.0","0.64","0.85","0.0","0.86","0.85","0.73","0.0","0.0","0.0","0.0","17.44","47.2","201.17","100.58","183.72","153.96","0.0","","","","","","",""
"2015.0","1.0","6.0","6.0","238.0","0.62","0.85","0.0","1.17","0.85","0.99","0.0","0.0","0.0","0.0","18.44","47.2","201.17","100.58","182.73","153.96","0.0","","","","","","",""
"2015.0","1.0","7.0","7.0","238.0","0.6","0.85","0.0","1.19","0.85","1.01","0.0","0.0","0.0","0.0","19.45","47.2","201.17","100.58","181.72","153.96","0.0","","","","","","",""
"2015.0","1.0","8.0","8.0","238.0","0.59","0.85","0.0","1.04","0.85","0.88","0.0","0.0","0.0","0.0","20.33","47.2","201.17","100.58","180.83","153.96","0.0","","","","","","",""
"2015.0","1.0","9.0","9.0","238.0","0.58","0.85","0.0","0.87","0.85","0.74","0.0","0.0","0.0","0.0","21.07","47.2","201.17","100.58","180.1","153.96","0.0","","","","","","",""
"2015.0","1.0","10.0","10.0","238.0","0.57","0.85","0.0","0.96","0.85","0.82","0.0","0.0","0.0","0.0","21.89","47.2","201.17","100.58","179.28","153.96","0.0","","","","","","",""
"2015.0","1.0","11.0","11.0","238.0","0.56","0.85","0.0","0.9","0.85","0.77","0.0","0.0","0.0","0.0","22.65","47.2","201.17","100.58","178.51","153.96","0.0","","","","","","",""
"2015.0","1.0","12.0","12.0","238.0","0.55","0.85","0.0","1.06","0.85","0.9","0.0","0.0","0.0","0.0","23.55","47.2","201.17","100.58","177.61","153.96","0.0","","","","","","",""
"2015.0","1.0","13.0","13.0","238.0","0.53","0.85","0.0","1.19","0.85","1.01","0.0","0.0","0.0","0.0","24.57","47.2","201.17","100.58","176.6","153.96","0.0","","","","","","",""
"2015.0","1.0","14.0","14.0","238.0","0.53","0.85","0.0","0.73","0.85","0.62","0.0","0.0","0.0","0.0","25.19","47.2","201.17","100.58","175.98","153.96","0.0","","","","","","",""
"2015.0","1.0","15.0","15.0","238.0","0.52","0.85","0.0","0.73","0.85","0.62","0.0","0.0","0.0","0.0","25.81","47.2","201.17","100.58","175.36","153.96","0.0","","","","","","",""
"2015.0","1.0","16.0","16.0","238.0","0.52","0.85","0.0","0.62","0.85","0.53","0.0","0.0","0.0","0.0","26.33","47.2","201.17","100.58","174.83","153.96","0.0","","","","","","",""
"2015.0","1.0","17.0","17.0","238.0","0.51","0.85","0.0","0.57","0.85","0.48","0.16","0.16","0.0","0.0","26.66","47.2","201.17","100.58","174.51","153.96","0.0","","","","","","",""
"2015.0","1.0","18.0","18.0","238.0","0.51","0.85","0.0","0.61","0.85","0.52","0.0","0.0","0.0","0.0","27.18","47.2","201.17","100.58","173.99","153.96","0.0","","","","","","",""
"2015.0","1.0","19.0","19.0","238.0","0.5","0.85","0.0","0.7","0.85","0.6","0.0","0.0","0.0","0.0","27.77","47.2","201.17","100.58","173.4","153.96","0.0","","","","","","",""
"2015.0","1.0","20.0","20.0","238.0","0.49","0.85","0.0","0.76","0.85","0.65","0.0","0.0","0.0","0.0","28.42","47.2","201.17","100.58","172.75","153.96","0.0","","","","","","",""
"2015.0","1.0","21.0","21.0","238.0","0.49","0.85","0.0","0.95","0.85","0.81","0.0","0.0","0.0","0.0","29.23","47.2","201.17","100.58","171.94","153.96","0.0","","","","","","",""
"2015.0","1.0","22.0","22.0","238.0","0.48","0.85","0.0","0.76","0.85","0.65","0.0","0.0","0.0","0.0","29.87","47.2","201.17","100.58","171.3","153.96","0.0","","","","","","",""
"2015.0","1.0","23.0","23.0","238.0","0.48","0.85","0.0","0.98","0.85","0.83","0.0","0.0","0.0","0.0","30.7","47.2","201.17","100.58","170.46","153.96","0.0","","","","","","",""
"2015.0","1.0","24.0","24.0","238.0","0.47","0.85","0.0","0.95","0.85","0.81","0.0","0.0","0.0","0.0","31.51","47.2","201.17","100.58","169.66","153.96","0.0","","","","","","",""
"2015.0","1.0","25.0","25.0","238.0","0.46","0.85","0.0","1.05","0.85","0.89","0.0","0.0","0.0","0.0","32.4","47.2","201.17","100.58","168.76","153.96","0.0","","","","","","",""
"2015.0","1.0","26.0","26.0","238.0","0.45","0.85","0.0","1.32","0.85","1.12","0.0","0.0","0.0","0.0","33.53","47.2","201.17","100.58","167.64","153.96","0.0","","","","","","",""
"2015.0","1.0","27.0","27.0","238.0","0.45","0.85","0.0","1.1","0.85","0.94","0.0","0.0","0.0","0.0","34.46","47.2","201.17","100.58","166.71","153.96","0.0","","","","","","",""
"2015.0","1.0","28.0","28.0","238.0","0.44","0.85","0.0","1.57","0.85","1.33","0.0","0.0","0.0","0.0","35.8","47.2","201.17","100.58","165.37","153.96","0.0","","","","","","",""
"2015.0","1.0","29.0","29.0","238.0","0.43","0.85","0.0","1.46","0.85","1.24","0.0","0.0","0.0","0.0","37.04","47.2","201.17","100.58","164.13","153.96","0.0","","","","","","",""
"2015.0","1.0","30.0","30.0","238.0","0.42","0.85","0.0","2.03","0.85","1.73","0.0","0.0","0.0","0.0","38.76","47.2","201.17","100.58","162.41","153.96","0.0","","","","","","",""
"2015.0","1.0","31.0","31.0","238.0","0.41","0.85","0.0","3.58","0.85","3.04","0.0","0.0","0.0","0.0","41.81","47.2","201.17","100.58","159.36","153.96","0.0","","","","","","",""
"2015.0","2.0","1.0","32.0","238.0","0.4","0.85","0.0","1.45","0.85","1.23","0.0","0.0","0.0","0.0","43.04","47.2","201.17","100.58","158.13","153.96","0.0","","","","","","",""
"2015.0","2.0","2.0","33.0","238.0","0.39","0.85","0.0","1.48","0.85","1.26","0.0","0.0","0.0","0.0","44.3","47.2","201.17","100.58","156.87","153.96","0.0","","","","","","",""
"2015.0","2.0","3.0","34.0","238.0","0.39","0.85","0.0","1.52","0.85","1.29","0.0","0.0","0.0","0.0","45.59","47.2","201.17","100.58","155.58","153.96","0.0","","","","","","",""
"2015.0","2.0","4.0","35.0","238.0","0.38","0.85","0.0","1.47","0.85","1.25","0.0","0.0","0.0","0.0","46.84","47.2","201.17","100.58","154.33","153.96","0.0","","","","","","",""
"2015.0","2.0","5.0","36.0","238.0","0.38","0.85","0.0","1.17","0.85","0.99","0.0","0.0","0.0","0.0","0.0","47.2","201.17","100.58","201.17","153.96","47.83","","","","","","",""
"2015.0","2.0","6.0","37.0","238.0","0.37","0.85","0.0","2.17","0.85","1.84","0.0","0.0","0.0","0.0","1.84","47.2","201.17","100.58","199.32","153.96","0.0","","","","","","",""
"2015.0","2.0","7.0","38.0","238.0","1.16","0.85","0.0","1.44","1.16","1.67","33.87","3.52","0.0","0.0","0.0","47.2","201.17","100.58","201.17","153.96","0.0","","","","","","",""
"2015.0","2.0","8.0","39.0","238.0","1.17","0.85","0.0","1.29","1.17","1.51","4.7","1.51","0.0","0.0","0.0","47.2","201.17","100.58","201.17","153.96","0.0","","","","","","",""
"2015.0","2.0","9.0","40.0","238.0","1.14","0.85","0.0","1.97","1.14","2.25","23.02","2.25","0.0","0.0","0.0","47.2","201.17","100.58","201.17","153.96","0.0","","","","","","",""
"2015.0","2.0","10.0","41.0","238.0","1.14","0.85","0.0","1.83","1.14","2.09","0.18","0.18","0.0","0.0","1.91","47.2","201.17","100.58","199.25","153.96","0.0","","","","","","",""
"2015.0","2.0","11.0","42.0","238.0","1.15","0.85","0.0","1.59","1.15","1.83","0.0","0.0","0.0","0.0","3.74","47.2","201.17","100.58","197.43","153.96","0.0","","","","","","",""
"2015.0","2.0","12.0","43.0","238.0","1.03","0.85","0.0","1.98","1.03","2.03","0.0","0.0","0.0","0.0","5.77","47.2","201.17","100.58","195.4","153.96","0.0","","","","","","",""
