" Daily soil water balance output for Cherries in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Cherries in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"2014.0","11.0","6.0","310.0","595.0","0.08","0.0","0.0","1.91","0.08","0.15","0.0","0.0","0.0","0.0","23.1","22.95","466.34","233.17","443.24","443.39","0.0","","","","","","","","",""
"2014.0","11.0","7.0","311.0","595.0","0.08","0.0","0.0","1.94","0.08","0.16","0.0","0.0","0.0","0.0","22.95","22.95","466.34","233.17","443.39","443.39","0.0","","","","","","","","",""
"2014.0","11.0","8.0","312.0","595.0","0.08","0.0","0.0","1.87","0.08","0.15","0.0","0.0","0.0","0.0","23.1","22.95","466.34","233.17","443.24","443.39","0.0","","","","","","","","",""
"2014.0","11.0","9.0","313.0","595.0","0.08","0.0","0.0","1.83","0.08","0.15","0.0","0.0","0.0","0.0","22.95","22.95","466.34","233.17","443.39","443.39","0.0","","","","","","","","",""
"2014.0","11.0","10.0","314.0","595.0","0.08","0.0","0.0","1.84","0.08","0.15","0.0","0.0","0.0","0.0","23.1","22.95","466.34","233.17","443.25","443.39","0.0","","","","","","","","",""
"2014.0","11.0","11.0","315.0","595.0","0.08","0.0","0.0","1.55","0.08","0.12","0.0","0.0","0.0","0.0","22.95","22.95","466.34","233.17","443.39","443.39","0.0","","","","","","","","",""
"2014.0","11.0","12.0","316.0","595.0","0.08","0.0","0.0","1.54","0.08","0.12","0.0","0.0","0.0","0.0","23.07","22.95","466.34","233.17","443.27","443.39","0.0","","","","","","","","",""
"2014.0","11.0","13.0","317.0","595.0","1.18","0.0","0.0","1.07","1.18","1.26","5.34","5.34","0.0","0.0","17.73","22.95","466.34","233.17","448.61","443.39","0.0","","","","","","","","",""
"2014.0","11.0","14.0","318.0","595.0","1.17","0.0","0.0","1.4","1.17","1.64","0.95","0.95","0.0","0.0","18.42","22.95","466.34","233.17","447.92","443.39","0.0","","","","","","","","",""
"2014.0","11.0","15.0","319.0","595.0","1.17","0.0","0.0","1.34","1.17","1.57","0.0","0.0","0.0","0.0","19.99","22.95","466.34","233.17","446.35","443.39","0.0","","","","","","","","",""
"2014.0","11.0","16.0","320.0","595.0","1.16","0.0","0.0","1.94","1.16","2.26","0.07","0.07","0.0","0.0","22.17","22.95","466.34","233.17","444.17","443.39","0.0","","","","","","","","",""
"2014.0","11.0","17.0","321.0","595.0","1.02","0.0","0.0","1.79","1.02","1.83","0.0","0.0","0.0","0.0","24.0","22.95","466.34","233.17","442.34","443.39","0.0","","","","","","","","",""
"2014.0","11.0","18.0","322.0","595.0","0.94","0.0","0.0","1.33","0.94","1.25","0.0","0.0","0.0","0.0","22.95","22.95","466.34","233.17","443.39","443.39","0.0","","","","","","","","",""
"2014.0","11.0","19.0","323.0","595.0","0.89","0.0","0.0","1.09","0.89","0.97","0.59","0.59","0.0","0.0","23.33","22.95","466.34","233.17","443.02","443.39","0.0","","","","","","","","",""
"2014.0","11.0","20.0","324.0","595.0","1.19","0.0","0.0","0.63","1.19","0.75","2.88","2.88","0.0","0.0","20.45","22.95","466.34","233.17","445.9","443.39","0.0","","","","","","","","",""
"2014.0","11.0","21.0","325.0","595.0","1.18","0.0","0.0","0.9","1.18","1.07","4.27","4.27","0.0","0.0","17.24","22.95","466.34","233.17","449.1","443.39","0.0","","","","","","","","",""
"2014.0","11.0","22.0","326.0","595.0","1.18","0.0","0.0","1.25","1.18","1.47","0.9","0.9","0.0","0.0","17.82","22.95","466.34","233.17","448.53","443.39","0.0","","","","","","","","",""
"2014.0","11.0","23.0","327.0","595.0","1.16","0.0","0.0","1.56","1.16","1.81","3.21","3.21","0.0","0.0","16.41","22.95","466.34","233.17","449.93","443.39","0.0","","","","","","","","",""
"2014.0","11.0","24.0","328.0","595.0","1.16","0.0","0.0","1.39","1.16","1.61","0.0","0.0","0.0","0.0","18.02","22.95","466.34","233.17","448.32","443.39","0.0","","","","","","","","",""
"2014.0","11.0","25.0","329.0","595.0","1.16","0.0","0.0","1.25","1.16","1.46","0.0","0.0","0.0","0.0","19.48","22.95","466.34","233.17","446.86","443.39","0.0","","","","","","","","",""
"2014.0","11.0","26.0","330.0","595.0","1.17","0.0","0.0","1.26","1.17","1.47","0.0","0.0","0.0","0.0","20.95","22.95","466.34","233.17","445.4","443.39","0.0","","","","","","","","",""
"2014.0","11.0","27.0","331.0","595.0","1.09","0.0","0.0","1.19","1.09","1.3","0.0","0.0","0.0","0.0","22.24","22.95","466.34","233.17","444.1","443.39","0.0","","","","","","","","",""
"2014.0","11.0","28.0","332.0","595.0","1.01","0.0","0.0","1.14","1.01","1.15","0.0","0.0","0.0","0.0","23.39","22.95","466.34","233.17","442.95","443.39","0.0","","","","","","","","",""
"2014.0","11.0","29.0","333.0","595.0","0.96","0.0","0.0","0.81","0.96","0.78","0.48","0.48","0.0","0.0","22.91","22.95","466.34","233.17","443.43","443.39","0.0","","","","","","","","",""
"2014.0","11.0","30.0","334.0","595.0","1.19","0.0","0.0","0.66","1.19","0.79","3.64","3.64","0.0","0.0","20.06","22.95","466.34","233.17","446.28","443.39","0.0","","","","","","","","",""
"2014.0","12.0","1.0","335.0","595.0","1.18","0.0","0.0","0.96","1.18","1.13","10.55","10.55","0.0","0.0","10.64","22.95","466.34","233.17","455.7","443.39","0.0","","","","","","","","",""
"2014.0","12.0","2.0","336.0","595.0","1.19","0.0","0.0","0.64","1.19","0.76","10.14","10.14","0.0","0.0","1.27","22.95","466.34","233.17","465.08","443.39","0.0","","","","","","","","",""
"2014.0","12.0","3.0","337.0","595.0","1.17","0.0","0.0","1.15","1.17","1.35","32.71","2.62","0.0","0.0","0.0","22.95","466.34","233.17","466.34","443.39","0.0","","","","","","","","",""
"2014.0","12.0","4.0","338.0","595.0","1.18","0.0","0.0","1.1","1.18","1.29","6.73","1.29","0.0","0.0","0.0","22.95","466.34","233.17","466.34","443.39","0.0","","","","","","","","",""
"2014.0","12.0","5.0","339.0","595.0","1.18","0.0","0.0","0.9","1.18","1.06","0.56","0.56","0.0","0.0","0.5","22.95","466.34","233.17","465.84","443.39","0.0","","","","","","","","",""
"2014.0","12.0","6.0","340.0","595.0","1.18","0.0","0.0","1.08","1.18","1.27","3.46","1.77","0.0","0.0","0.0","22.95","466.34","233.17","466.34","443.39","0.0","","","","","","","","",""
"2014.0","12.0","7.0","341.0","595.0","1.18","0.0","0.0","0.73","1.18","0.86","0.14","0.14","0.0","0.0","0.72","22.95","466.34","233.17","465.62","443.39","0.0","","","","","","","","",""
"2014.0","12.0","8.0","342.0","595.0","1.18","0.0","0.0","0.84","1.18","1.0","0.0","0.0","0.0","0.0","1.72","22.95","466.34","233.17","464.62","443.39","0.0","","","","","","","","",""
"2014.0","12.0","9.0","343.0","595.0","1.19","0.0","0.0","0.67","1.19","0.8","0.0","0.0","0.0","0.0","2.51","22.95","466.34","233.17","463.83","443.39","0.0","","","","","","","","",""
"2014.0","12.0","10.0","344.0","595.0","1.19","0.0","0.0","0.91","1.19","1.08","0.0","0.0","0.0","0.0","3.59","22.95","466.34","233.17","462.75","443.39","0.0","","","","","","","","",""
"2014.0","12.0","11.0","345.0","595.0","1.18","0.0","0.0","1.28","1.18","1.51","0.0","0.0","0.0","0.0","5.11","22.95","466.34","233.17","461.24","443.39","0.0","","","","","","","","",""
"2014.0","12.0","12.0","346.0","595.0","1.2","0.0","0.0","0.62","1.2","0.74","67.69","5.85","0.0","0.0","0.0","22.95","466.34","233.17","466.34","443.39","0.0","","","","","","","","",""
"2014.0","12.0","13.0","347.0","595.0","1.19","0.0","0.0","0.72","1.19","0.86","1.17","0.86","0.0","0.0","0.0","22.95","466.34","233.17","466.34","443.39","0.0","","","","","","","","",""
"2014.0","12.0","14.0","348.0","595.0","1.19","0.0","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","0.93","22.95","466.34","233.17","465.42","443.39","0.0","","","","","","","","",""
"2014.0","12.0","15.0","349.0","595.0","1.18","0.0","0.0","0.98","1.18","1.16","12.1","2.09","0.0","0.0","0.0","22.95","466.34","233.17","466.34","443.39","0.0","","","","","","","","",""
"2014.0","12.0","16.0","350.0","595.0","1.17","0.0","0.0","1.22","1.17","1.43","11.08","1.43","0.0","0.0","0.0","22.95","466.34","233.17","466.34","443.39","0.0","","","","","","","","",""
"2014.0","12.0","17.0","351.0","595.0","1.18","0.0","0.0","0.95","1.18","1.12","11.26","1.12","0.0","0.0","0.0","22.95","466.34","233.17","466.34","443.39","0.0","","","","","","","","",""
"2014.0","12.0","18.0","352.0","595.0","1.18","0.0","0.0","0.97","1.18","1.15","3.99","1.15","0.0","0.0","0.0","22.95","466.34","233.17","466.34","443.39","0.0","","","","","","","","",""
"2014.0","12.0","19.0","353.0","595.0","1.18","0.0","0.0","0.84","1.18","0.99","0.0","0.0","0.0","0.0","0.99","22.95","466.34","233.17","465.35","443.39","0.0","","","","","","","","",""
"2014.0","12.0","20.0","354.0","595.0","1.19","0.0","0.0","0.68","1.19","0.81","9.13","1.81","0.0","0.0","0.0","22.95","466.34","233.17","466.34","443.39","0.0","","","","","","","","",""
"2014.0","12.0","21.0","355.0","595.0","1.19","0.0","0.0","0.99","1.19","1.17","0.01","0.01","0.0","0.0","1.16","22.95","466.34","233.17","465.18","443.39","0.0","","","","","","","","",""
"2014.0","12.0","22.0","356.0","595.0","1.19","0.0","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","2.09","22.95","466.34","233.17","464.25","443.39","0.0","","","","","","","","",""
"2014.0","12.0","23.0","357.0","595.0","1.19","0.0","0.0","0.75","1.19","0.89","0.0","0.0","0.0","0.0","2.98","22.95","466.34","233.17","463.36","443.39","0.0","","","","","","","","",""
"2014.0","12.0","24.0","358.0","595.0","1.19","0.0","0.0","0.96","1.19","1.14","0.0","0.0","0.0","0.0","4.12","22.95","466.34","233.17","462.22","443.39","0.0","","","","","","","","",""
"2014.0","12.0","25.0","359.0","595.0","1.14","0.0","0.0","1.94","1.14","2.22","0.81","0.81","0.0","0.0","5.53","22.95","466.34","233.17","460.82","443.39","0.0","","","","","","","","",""
"2014.0","12.0","26.0","360.0","595.0","1.01","0.0","0.0","1.7","1.01","1.72","0.0","0.0","0.0","0.0","7.24","22.95","466.34","233.17","459.1","443.39","0.0","","","","","","","","",""
"2014.0","12.0","27.0","361.0","595.0","0.96","0.0","0.0","0.76","0.96","0.73","0.0","0.0","0.0","0.0","7.98","22.95","466.34","233.17","458.37","443.39","0.0","","","","","","","","",""
"2014.0","12.0","28.0","362.0","595.0","0.93","0.0","0.0","0.75","0.93","0.69","0.0","0.0","0.0","0.0","8.67","22.95","466.34","233.17","457.67","443.39","0.0","","","","","","","","",""
"2014.0","12.0","29.0","363.0","595.0","0.9","0.0","0.0","0.55","0.9","0.49","0.0","0.0","0.0","0.0","9.17","22.95","466.34","233.17","457.18","443.39","0.0","","","","","","","","",""
"2014.0","12.0","30.0","364.0","595.0","0.8","0.0","0.0","2.45","0.8","1.97","0.0","0.0","0.0","0.0","11.13","22.95","466.34","233.17","455.21","443.39","0.0","","","","","","","","",""
"2014.0","12.0","31.0","365.0","595.0","0.73","0.0","0.0","2.6","0.73","1.89","0.0","0.0","0.0","0.0","13.03","22.95","466.34","233.17","453.32","443.39","0.0","","","","","","","","",""
"2015.0","1.0","1.0","1.0","595.0","0.71","0.0","0.0","0.96","0.71","0.68","0.0","0.0","0.0","0.0","13.71","22.95","466.34","233.17","452.64","443.39","0.0","","","","","","","","",""
"2015.0","1.0","2.0","2.0","595.0","0.69","0.0","0.0","0.89","0.69","0.61","0.0","0.0","0.0","0.0","14.32","22.95","466.34","233.17","452.03","443.39","0.0","","","","","","","","",""
"2015.0","1.0","3.0","3.0","595.0","0.67","0.0","0.0","0.88","0.67","0.59","0.0","0.0","0.0","0.0","14.91","22.95","466.34","233.17","451.44","443.39","0.0","","","","","","","","",""
"2015.0","1.0","4.0","4.0","595.0","0.65","0.0","0.0","0.99","0.65","0.65","0.0","0.0","0.0","0.0","15.55","22.95","466.34","233.17","450.79","443.39","0.0","","","","","","","","",""
"2015.0","1.0","5.0","5.0","595.0","0.64","0.0","0.0","0.96","0.64","0.61","0.0","0.0","0.0","0.0","16.17","22.95","466.34","233.17","450.18","443.39","0.0","","","","","","","","",""
"2015.0","1.0","6.0","6.0","595.0","0.62","0.0","0.0","1.23","0.62","0.76","0.0","0.0","0.0","0.0","16.92","22.95","466.34","233.17","449.42","443.39","0.0","","","","","","","","",""
"2015.0","1.0","7.0","7.0","595.0","0.6","0.0","0.0","1.21","0.6","0.73","0.0","0.0","0.0","0.0","17.65","22.95","466.34","233.17","448.69","443.39","0.0","","","","","","","","",""
"2015.0","1.0","8.0","8.0","595.0","0.59","0.0","0.0","1.01","0.59","0.59","0.0","0.0","0.0","0.0","18.24","22.95","466.34","233.17","448.1","443.39","0.0","","","","","","","","",""
"2015.0","1.0","9.0","9.0","595.0","0.58","0.0","0.0","0.89","0.58","0.51","0.0","0.0","0.0","0.0","18.76","22.95","466.34","233.17","447.59","443.39","0.0","","","","","","","","",""
"2015.0","1.0","10.0","10.0","595.0","0.56","0.0","0.0","1.01","0.56","0.57","0.0","0.0","0.0","0.0","19.33","22.95","466.34","233.17","447.02","443.39","0.0","","","","","","","","",""
"2015.0","1.0","11.0","11.0","595.0","0.56","0.0","0.0","0.85","0.56","0.47","0.0","0.0","0.0","0.0","19.8","22.95","466.34","233.17","446.55","443.39","0.0","","","","","","","","",""
"2015.0","1.0","12.0","12.0","595.0","0.54","0.0","0.0","0.99","0.54","0.54","0.0","0.0","0.0","0.0","20.34","22.95","466.34","233.17","446.01","443.39","0.0","","","","","","","","",""
"2015.0","1.0","13.0","13.0","595.0","0.53","0.0","0.0","1.06","0.53","0.57","0.0","0.0","0.0","0.0","20.9","22.95","466.34","233.17","445.44","443.39","0.0","","","","","","","","",""
"2015.0","1.0","14.0","14.0","595.0","0.53","0.0","0.0","0.61","0.53","0.32","0.0","0.0","0.0","0.0","21.23","22.95","466.34","233.17","445.12","443.39","0.0","","","","","","","","",""
"2015.0","1.0","15.0","15.0","595.0","0.52","0.0","0.0","0.65","0.52","0.34","0.0","0.0","0.0","0.0","21.57","22.95","466.34","233.17","444.78","443.39","0.0","","","","","","","","",""
"2015.0","1.0","16.0","16.0","595.0","0.52","0.0","0.0","0.57","0.52","0.3","0.0","0.0","0.0","0.0","21.86","22.95","466.34","233.17","444.48","443.39","0.0","","","","","","","","",""
"2015.0","1.0","17.0","17.0","595.0","0.51","0.0","0.0","0.51","0.51","0.26","0.0","0.0","0.0","0.0","22.12","22.95","466.34","233.17","444.22","443.39","0.0","","","","","","","","",""
"2015.0","1.0","18.0","18.0","595.0","0.51","0.0","0.0","0.61","0.51","0.31","0.0","0.0","0.0","0.0","22.43","22.95","466.34","233.17","443.91","443.39","0.0","","","","","","","","",""
"2015.0","1.0","19.0","19.0","595.0","0.5","0.0","0.0","0.58","0.5","0.29","0.17","0.17","0.0","0.0","22.56","22.95","466.34","233.17","443.79","443.39","0.0","","","","","","","","",""
"2015.0","1.0","20.0","20.0","595.0","0.5","0.0","0.0","0.8","0.5","0.4","0.0","0.0","0.0","0.0","22.95","22.95","466.34","233.17","443.39","443.39","0.0","","","","","","","","",""
"2015.0","1.0","21.0","21.0","595.0","0.49","0.0","0.0","1.03","0.49","0.5","0.0","0.0","0.0","0.0","22.95","22.95","466.34","233.17","443.39","443.39","0.0","","","","","","","","",""
"2015.0","1.0","22.0","22.0","595.0","0.49","0.0","0.0","0.69","0.49","0.33","0.0","0.0","0.0","0.0","23.28","22.95","466.34","233.17","443.06","443.39","0.0","","","","","","","","",""
"2015.0","1.0","23.0","23.0","595.0","0.48","0.0","0.0","0.99","0.48","0.47","0.0","0.0","0.0","0.0","22.95","22.95","466.34","233.17","443.39","443.39","0.0","","","","","","","","",""
"2015.0","1.0","24.0","24.0","595.0","0.47","0.0","0.0","0.91","0.47","0.43","0.0","0.0","0.0","0.0","23.38","22.95","466.34","233.17","442.96","443.39","0.0","","","","","","","","",""
"2015.0","1.0","25.0","25.0","595.0","0.47","0.0","0.0","1.02","0.47","0.47","0.0","0.0","0.0","0.0","22.95","22.95","466.34","233.17","443.39","443.39","0.0","","","","","","","","",""
"2015.0","1.0","26.0","26.0","595.0","0.46","0.0","0.0","1.21","0.46","0.55","0.0","0.0","0.0","0.0","23.5","22.95","466.34","233.17","442.84","443.39","0.0","","","","","","","","",""
"2015.0","1.0","27.0","27.0","595.0","0.45","0.0","0.0","1.16","0.45","0.52","0.0","0.0","0.0","0.0","22.95","22.95","466.34","233.17","443.39","443.39","0.0","","","","","","","","",""
"2015.0","1.0","28.0","28.0","595.0","0.44","0.0","0.0","1.45","0.44","0.64","0.0","0.0","0.0","0.0","23.59","22.95","466.34","233.17","442.75","443.39","0.0","","","","","","","","",""
"2015.0","1.0","29.0","29.0","595.0","0.44","0.0","0.0","1.38","0.44","0.6","0.0","0.0","0.0","0.0","22.95","22.95","466.34","233.17","443.39","443.39","0.0","","","","","","","","",""
"2015.0","1.0","30.0","30.0","595.0","0.43","0.0","0.0","1.73","0.43","0.74","0.0","0.0","0.0","0.0","23.69","22.95","466.34","233.17","442.66","443.39","0.0","","","","","","","","",""
"2015.0","1.0","31.0","31.0","595.0","0.41","0.0","0.0","3.06","0.41","1.26","0.0","0.0","0.0","0.0","22.95","22.95","466.34","233.17","443.39","443.39","0.0","","","","","","","","",""
"2015.0","2.0","1.0","32.0","595.0","0.41","0.0","0.0","1.51","0.41","0.61","0.0","0.0","0.0","0.0","23.56","22.95","466.34","233.17","442.78","443.39","0.0","","","","","","","","",""
"2015.0","2.0","2.0","33.0","595.0","0.4","0.0","0.0","1.52","0.4","0.61","0.0","0.0","0.0","0.0","22.95","22.95","466.34","233.17","443.39","443.39","0.0","","","","","","","","",""
"2015.0","2.0","3.0","34.0","595.0","0.39","0.0","0.0","1.6","0.39","0.63","0.0","0.0","0.0","0.0","23.58","22.95","466.34","233.17","442.77","443.39","0.0","","","","","","","","",""
"2015.0","2.0","4.0","35.0","595.0","0.39","0.0","0.0","1.34","0.39","0.52","0.0","0.0","0.0","0.0","22.95","22.95","466.34","233.17","443.39","443.39","0.0","","","","","","","","",""
"2015.0","2.0","5.0","36.0","595.0","0.38","0.0","0.0","1.02","0.38","0.39","0.0","0.0","0.0","0.0","23.34","22.95","466.34","233.17","443.0","443.39","0.0","","","","","","","","",""
"2015.0","2.0","6.0","37.0","595.0","1.13","0.0","0.0","2.15","1.13","2.44","6.0","6.0","0.0","0.0","17.34","22.95","466.34","233.17","449.0","443.39","0.0","","","","","","","","",""
"2015.0","2.0","7.0","38.0","595.0","1.16","0.0","0.0","1.45","1.16","1.68","12.31","12.31","0.0","0.0","6.72","22.95","466.34","233.17","459.63","443.39","0.0","","","","","","","","",""
"2015.0","2.0","8.0","39.0","595.0","1.16","0.0","0.0","1.48","1.16","1.72","13.84","8.43","0.0","0.0","0.0","22.95","466.34","233.17","466.34","443.39","0.0","","","","","","","","",""
