" Daily soil water balance output for Truck Crops in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Truck Crops in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"2014.0","11.0","6.0","310.0","902.0","0.08","0.0","0.0","1.91","0.08","0.15","0.0","0.0","0.0","0.0","16.1","20.4","290.17","145.08","274.07","269.77","0.0","","","","","","","","",""
"2014.0","11.0","7.0","311.0","902.0","0.08","0.0","0.0","1.94","0.08","0.16","0.0","0.0","0.0","0.0","16.26","20.4","290.17","145.08","273.91","269.77","0.0","","","","","","","","",""
"2014.0","11.0","8.0","312.0","902.0","0.08","0.0","0.0","1.87","0.08","0.15","0.0","0.0","0.0","0.0","16.41","20.4","290.17","145.08","273.76","269.77","0.0","","","","","","","","",""
"2014.0","11.0","9.0","313.0","902.0","0.08","0.0","0.0","1.83","0.08","0.15","0.0","0.0","0.0","0.0","16.55","20.4","290.17","145.08","273.61","269.77","0.0","","","","","","","","",""
"2014.0","11.0","10.0","314.0","902.0","0.08","0.0","0.0","1.84","0.08","0.15","0.0","0.0","0.0","0.0","16.7","20.4","290.17","145.08","273.47","269.77","0.0","","","","","","","","",""
"2014.0","11.0","11.0","315.0","902.0","0.08","0.0","0.0","1.55","0.08","0.12","0.0","0.0","0.0","0.0","16.83","20.4","290.17","145.08","273.34","269.77","0.0","","","","","","","","",""
"2014.0","11.0","12.0","316.0","902.0","0.08","0.0","0.0","1.54","0.08","0.12","0.0","0.0","0.0","0.0","16.95","20.4","290.17","145.08","273.22","269.77","0.0","","","","","","","","",""
"2014.0","11.0","13.0","317.0","902.0","1.18","0.0","0.0","1.07","1.18","1.26","5.34","5.34","0.0","0.0","12.87","20.4","290.17","145.08","277.3","269.77","0.0","","","","","","","","",""
"2014.0","11.0","14.0","318.0","902.0","1.17","0.0","0.0","1.4","1.17","1.64","0.95","0.95","0.0","0.0","13.56","20.4","290.17","145.08","276.61","269.77","0.0","","","","","","","","",""
"2014.0","11.0","15.0","319.0","902.0","1.17","0.0","0.0","1.34","1.17","1.57","0.0","0.0","0.0","0.0","15.13","20.4","290.17","145.08","275.04","269.77","0.0","","","","","","","","",""
"2014.0","11.0","16.0","320.0","902.0","1.16","0.0","0.0","1.94","1.16","2.26","0.07","0.07","0.0","0.0","17.31","20.4","290.17","145.08","272.86","269.77","0.0","","","","","","","","",""
"2014.0","11.0","17.0","321.0","902.0","1.02","0.0","0.0","1.79","1.02","1.83","0.0","0.0","0.0","0.0","19.14","20.4","290.17","145.08","271.03","269.77","0.0","","","","","","","","",""
"2014.0","11.0","18.0","322.0","902.0","0.94","0.0","0.0","1.33","0.94","1.25","0.0","0.0","0.0","0.0","20.39","20.4","290.17","145.08","269.78","269.77","0.0","","","","","","","","",""
"2014.0","11.0","19.0","323.0","902.0","0.89","0.0","0.0","1.09","0.89","0.97","0.59","0.59","0.0","0.0","20.77","20.4","290.17","145.08","269.4","269.77","0.0","","","","","","","","",""
"2014.0","11.0","20.0","324.0","902.0","1.19","0.0","0.0","0.63","1.19","0.75","2.88","2.88","0.0","0.0","17.89","20.4","290.17","145.08","272.28","269.77","0.0","","","","","","","","",""
"2014.0","11.0","21.0","325.0","902.0","1.18","0.0","0.0","0.9","1.18","1.07","4.27","4.27","0.0","0.0","14.68","20.4","290.17","145.08","275.49","269.77","0.0","","","","","","","","",""
"2014.0","11.0","22.0","326.0","902.0","1.18","0.0","0.0","1.25","1.18","1.47","0.9","0.9","0.0","0.0","15.25","20.4","290.17","145.08","274.92","269.77","0.0","","","","","","","","",""
"2014.0","11.0","23.0","327.0","902.0","1.16","0.0","0.0","1.56","1.16","1.81","3.21","3.21","0.0","0.0","13.85","20.4","290.17","145.08","276.32","269.77","0.0","","","","","","","","",""
"2014.0","11.0","24.0","328.0","902.0","1.16","0.0","0.0","1.39","1.16","1.61","0.0","0.0","0.0","0.0","15.46","20.4","290.17","145.08","274.71","269.77","0.0","","","","","","","","",""
"2014.0","11.0","25.0","329.0","902.0","1.16","0.0","0.0","1.25","1.16","1.46","0.0","0.0","0.0","0.0","16.92","20.4","290.17","145.08","273.25","269.77","0.0","","","","","","","","",""
"2014.0","11.0","26.0","330.0","902.0","1.17","0.0","0.0","1.26","1.17","1.47","0.0","0.0","0.0","0.0","18.39","20.4","290.17","145.08","271.78","269.77","0.0","","","","","","","","",""
"2014.0","11.0","27.0","331.0","902.0","1.09","0.0","0.0","1.19","1.09","1.3","0.0","0.0","0.0","0.0","19.68","20.4","290.17","145.08","270.49","269.77","0.0","","","","","","","","",""
"2014.0","11.0","28.0","332.0","902.0","1.01","0.0","0.0","1.14","1.01","1.15","0.0","0.0","0.0","0.0","20.83","20.4","290.17","145.08","269.34","269.77","0.0","","","","","","","","",""
"2014.0","11.0","29.0","333.0","902.0","0.96","0.0","0.0","0.81","0.96","0.78","0.48","0.48","0.0","0.0","20.35","20.4","290.17","145.08","269.82","269.77","0.0","","","","","","","","",""
"2014.0","11.0","30.0","334.0","902.0","1.19","0.0","0.0","0.66","1.19","0.79","3.64","3.64","0.0","0.0","17.5","20.4","290.17","145.08","272.67","269.77","0.0","","","","","","","","",""
"2014.0","12.0","1.0","335.0","902.0","1.18","0.0","0.0","0.96","1.18","1.13","10.55","10.55","0.0","0.0","8.08","20.4","290.17","145.08","282.09","269.77","0.0","","","","","","","","",""
"2014.0","12.0","2.0","336.0","902.0","1.19","0.0","0.0","0.64","1.19","0.76","10.14","8.85","0.0","0.0","0.0","20.4","290.17","145.08","290.17","269.77","0.0","","","","","","","","",""
"2014.0","12.0","3.0","337.0","902.0","1.17","0.0","0.0","1.15","1.17","1.35","32.71","1.35","0.0","0.0","0.0","20.4","290.17","145.08","290.17","269.77","0.0","","","","","","","","",""
"2014.0","12.0","4.0","338.0","902.0","1.18","0.0","0.0","1.1","1.18","1.29","6.73","1.29","0.0","0.0","0.0","20.4","290.17","145.08","290.17","269.77","0.0","","","","","","","","",""
"2014.0","12.0","5.0","339.0","902.0","1.18","0.0","0.0","0.9","1.18","1.06","0.56","0.56","0.0","0.0","0.5","20.4","290.17","145.08","289.67","269.77","0.0","","","","","","","","",""
"2014.0","12.0","6.0","340.0","902.0","1.18","0.0","0.0","1.08","1.18","1.27","3.46","1.77","0.0","0.0","0.0","20.4","290.17","145.08","290.17","269.77","0.0","","","","","","","","",""
"2014.0","12.0","7.0","341.0","902.0","1.18","0.0","0.0","0.73","1.18","0.86","0.14","0.14","0.0","0.0","0.72","20.4","290.17","145.08","289.45","269.77","0.0","","","","","","","","",""
"2014.0","12.0","8.0","342.0","902.0","1.18","0.0","0.0","0.84","1.18","1.0","0.0","0.0","0.0","0.0","1.72","20.4","290.17","145.08","288.45","269.77","0.0","","","","","","","","",""
"2014.0","12.0","9.0","343.0","902.0","1.19","0.0","0.0","0.67","1.19","0.8","0.0","0.0","0.0","0.0","2.51","20.4","290.17","145.08","287.66","269.77","0.0","","","","","","","","",""
"2014.0","12.0","10.0","344.0","902.0","1.19","0.0","0.0","0.91","1.19","1.08","0.0","0.0","0.0","0.0","3.59","20.4","290.17","145.08","286.58","269.77","0.0","","","","","","","","",""
"2014.0","12.0","11.0","345.0","902.0","1.18","0.0","0.0","1.28","1.18","1.51","0.0","0.0","0.0","0.0","5.11","20.4","290.17","145.08","285.06","269.77","0.0","","","","","","","","",""
"2014.0","12.0","12.0","346.0","902.0","1.2","0.0","0.0","0.62","1.2","0.74","67.69","5.85","0.0","0.0","0.0","20.4","290.17","145.08","290.17","269.77","0.0","","","","","","","","",""
"2014.0","12.0","13.0","347.0","902.0","1.19","0.0","0.0","0.72","1.19","0.86","1.17","0.86","0.0","0.0","0.0","20.4","290.17","145.08","290.17","269.77","0.0","","","","","","","","",""
"2014.0","12.0","14.0","348.0","902.0","1.19","0.0","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","0.93","20.4","290.17","145.08","289.24","269.77","0.0","","","","","","","","",""
"2014.0","12.0","15.0","349.0","902.0","1.18","0.0","0.0","0.98","1.18","1.16","12.1","2.09","0.0","0.0","0.0","20.4","290.17","145.08","290.17","269.77","0.0","","","","","","","","",""
"2014.0","12.0","16.0","350.0","902.0","1.17","0.0","0.0","1.22","1.17","1.43","11.08","1.43","0.0","0.0","0.0","20.4","290.17","145.08","290.17","269.77","0.0","","","","","","","","",""
"2014.0","12.0","17.0","351.0","902.0","1.18","0.0","0.0","0.95","1.18","1.12","11.26","1.12","0.0","0.0","0.0","20.4","290.17","145.08","290.17","269.77","0.0","","","","","","","","",""
"2014.0","12.0","18.0","352.0","902.0","1.18","0.0","0.0","0.97","1.18","1.15","3.99","1.15","0.0","0.0","0.0","20.4","290.17","145.08","290.17","269.77","0.0","","","","","","","","",""
"2014.0","12.0","19.0","353.0","902.0","1.18","0.0","0.0","0.84","1.18","0.99","0.0","0.0","0.0","0.0","0.99","20.4","290.17","145.08","289.18","269.77","0.0","","","","","","","","",""
"2014.0","12.0","20.0","354.0","902.0","1.19","0.0","0.0","0.68","1.19","0.81","9.13","1.81","0.0","0.0","0.0","20.4","290.17","145.08","290.17","269.77","0.0","","","","","","","","",""
"2014.0","12.0","21.0","355.0","902.0","1.19","0.0","0.0","0.99","1.19","1.17","0.01","0.01","0.0","0.0","1.16","20.4","290.17","145.08","289.0","269.77","0.0","","","","","","","","",""
"2014.0","12.0","22.0","356.0","902.0","1.19","0.0","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","2.09","20.4","290.17","145.08","288.08","269.77","0.0","","","","","","","","",""
"2014.0","12.0","23.0","357.0","902.0","1.19","0.0","0.0","0.75","1.19","0.89","0.0","0.0","0.0","0.0","2.98","20.4","290.17","145.08","287.19","269.77","0.0","","","","","","","","",""
"2014.0","12.0","24.0","358.0","902.0","1.19","0.0","0.0","0.96","1.19","1.14","0.0","0.0","0.0","0.0","4.12","20.4","290.17","145.08","286.05","269.77","0.0","","","","","","","","",""
"2014.0","12.0","25.0","359.0","902.0","1.14","0.0","0.0","1.94","1.14","2.22","0.81","0.81","0.0","0.0","5.53","20.4","290.17","145.08","284.64","269.77","0.0","","","","","","","","",""
"2014.0","12.0","26.0","360.0","902.0","1.01","0.0","0.0","1.7","1.01","1.72","0.0","0.0","0.0","0.0","7.24","20.4","290.17","145.08","282.92","269.77","0.0","","","","","","","","",""
"2014.0","12.0","27.0","361.0","902.0","0.96","0.0","0.0","0.76","0.96","0.73","0.0","0.0","0.0","0.0","7.98","20.4","290.17","145.08","282.19","269.77","0.0","","","","","","","","",""
"2014.0","12.0","28.0","362.0","902.0","0.93","0.0","0.0","0.75","0.93","0.69","0.0","0.0","0.0","0.0","8.67","20.4","290.17","145.08","281.5","269.77","0.0","","","","","","","","",""
"2014.0","12.0","29.0","363.0","902.0","0.9","0.0","0.0","0.55","0.9","0.49","0.0","0.0","0.0","0.0","9.17","20.4","290.17","145.08","281.0","269.77","0.0","","","","","","","","",""
"2014.0","12.0","30.0","364.0","902.0","0.8","0.0","0.0","2.45","0.8","1.97","0.0","0.0","0.0","0.0","11.13","20.4","290.17","145.08","279.04","269.77","0.0","","","","","","","","",""
"2014.0","12.0","31.0","365.0","902.0","0.73","0.0","0.0","2.6","0.73","1.89","0.0","0.0","0.0","0.0","13.03","20.4","290.17","145.08","277.14","269.77","0.0","","","","","","","","",""
"2015.0","1.0","1.0","1.0","902.0","0.71","0.0","0.0","0.96","0.71","0.68","0.0","0.0","0.0","0.0","13.71","20.4","290.17","145.08","276.46","269.77","0.0","","","","","","","","",""
"2015.0","1.0","2.0","2.0","902.0","0.69","0.0","0.0","0.89","0.69","0.61","0.0","0.0","0.0","0.0","14.32","20.4","290.17","145.08","275.85","269.77","0.0","","","","","","","","",""
"2015.0","1.0","3.0","3.0","902.0","0.67","0.0","0.0","0.88","0.67","0.59","0.0","0.0","0.0","0.0","14.91","20.4","290.17","145.08","275.26","269.77","0.0","","","","","","","","",""
"2015.0","1.0","4.0","4.0","902.0","0.65","0.0","0.0","0.99","0.65","0.65","0.0","0.0","0.0","0.0","15.55","20.4","290.17","145.08","274.62","269.77","0.0","","","","","","","","",""
"2015.0","1.0","5.0","5.0","902.0","0.64","0.0","0.0","0.96","0.64","0.61","0.0","0.0","0.0","0.0","16.17","20.4","290.17","145.08","274.0","269.77","0.0","","","","","","","","",""
"2015.0","1.0","6.0","6.0","902.0","0.62","0.0","0.0","1.23","0.62","0.76","0.0","0.0","0.0","0.0","16.92","20.4","290.17","145.08","273.24","269.77","0.0","","","","","","","","",""
"2015.0","1.0","7.0","7.0","902.0","0.6","0.0","0.0","1.21","0.6","0.73","0.0","0.0","0.0","0.0","17.65","20.4","290.17","145.08","272.52","269.77","0.0","","","","","","","","",""
"2015.0","1.0","8.0","8.0","902.0","0.59","0.0","0.0","1.01","0.59","0.59","0.0","0.0","0.0","0.0","18.24","20.4","290.17","145.08","271.93","269.77","0.0","","","","","","","","",""
"2015.0","1.0","9.0","9.0","902.0","0.58","0.0","0.0","0.89","0.58","0.51","0.0","0.0","0.0","0.0","18.76","20.4","290.17","145.08","271.41","269.77","0.0","","","","","","","","",""
"2015.0","1.0","10.0","10.0","902.0","0.56","0.0","0.0","1.01","0.56","0.57","0.0","0.0","0.0","0.0","19.33","20.4","290.17","145.08","270.84","269.77","0.0","","","","","","","","",""
"2015.0","1.0","11.0","11.0","902.0","0.56","0.0","0.0","0.85","0.56","0.47","0.0","0.0","0.0","0.0","19.8","20.4","290.17","145.08","270.37","269.77","0.0","","","","","","","","",""
"2015.0","1.0","12.0","12.0","902.0","0.54","0.0","0.0","0.99","0.54","0.54","0.0","0.0","0.0","0.0","20.34","20.4","290.17","145.08","269.83","269.77","0.0","","","","","","","","",""
"2015.0","1.0","13.0","13.0","902.0","0.53","0.0","0.0","1.06","0.53","0.57","0.0","0.0","0.0","0.0","20.9","20.4","290.17","145.08","269.27","269.77","0.0","","","","","","","","",""
"2015.0","1.0","14.0","14.0","902.0","0.53","0.0","0.0","0.61","0.53","0.32","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2015.0","1.0","15.0","15.0","902.0","0.52","0.0","0.0","0.65","0.52","0.34","0.0","0.0","0.0","0.0","20.74","20.4","290.17","145.08","269.43","269.77","0.0","","","","","","","","",""
"2015.0","1.0","16.0","16.0","902.0","0.52","0.0","0.0","0.57","0.52","0.3","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2015.0","1.0","17.0","17.0","902.0","0.51","0.0","0.0","0.51","0.51","0.26","0.0","0.0","0.0","0.0","20.66","20.4","290.17","145.08","269.51","269.77","0.0","","","","","","","","",""
"2015.0","1.0","18.0","18.0","902.0","0.51","0.0","0.0","0.61","0.51","0.31","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2015.0","1.0","19.0","19.0","902.0","0.5","0.0","0.0","0.58","0.5","0.29","0.17","0.17","0.0","0.0","20.52","20.4","290.17","145.08","269.65","269.77","0.0","","","","","","","","",""
"2015.0","1.0","20.0","20.0","902.0","0.5","0.0","0.0","0.8","0.5","0.4","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2015.0","1.0","21.0","21.0","902.0","0.49","0.0","0.0","1.03","0.49","0.5","0.0","0.0","0.0","0.0","20.9","20.4","290.17","145.08","269.26","269.77","0.0","","","","","","","","",""
"2015.0","1.0","22.0","22.0","902.0","0.49","0.0","0.0","0.69","0.49","0.33","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2015.0","1.0","23.0","23.0","902.0","0.48","0.0","0.0","0.99","0.48","0.47","0.0","0.0","0.0","0.0","20.87","20.4","290.17","145.08","269.3","269.77","0.0","","","","","","","","",""
"2015.0","1.0","24.0","24.0","902.0","0.47","0.0","0.0","0.91","0.47","0.43","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2015.0","1.0","25.0","25.0","902.0","0.47","0.0","0.0","1.02","0.47","0.47","0.0","0.0","0.0","0.0","20.87","20.4","290.17","145.08","269.29","269.77","0.0","","","","","","","","",""
"2015.0","1.0","26.0","26.0","902.0","0.46","0.0","0.0","1.21","0.46","0.55","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2015.0","1.0","27.0","27.0","902.0","0.45","0.0","0.0","1.16","0.45","0.52","0.0","0.0","0.0","0.0","20.92","20.4","290.17","145.08","269.25","269.77","0.0","","","","","","","","",""
"2015.0","1.0","28.0","28.0","902.0","0.44","0.0","0.0","1.45","0.44","0.64","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2015.0","1.0","29.0","29.0","902.0","0.44","0.0","0.0","1.38","0.44","0.6","0.0","0.0","0.0","0.0","21.0","20.4","290.17","145.08","269.17","269.77","0.0","","","","","","","","",""
"2015.0","1.0","30.0","30.0","902.0","0.43","0.0","0.0","1.73","0.43","0.74","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2015.0","1.0","31.0","31.0","902.0","0.41","0.0","0.0","3.06","0.41","1.26","0.0","0.0","0.0","0.0","21.66","20.4","290.17","145.08","268.51","269.77","0.0","","","","","","","","",""
"2015.0","2.0","1.0","32.0","902.0","0.41","0.0","0.0","1.51","0.41","0.61","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2015.0","2.0","2.0","33.0","902.0","0.4","0.0","0.0","1.52","0.4","0.61","0.0","0.0","0.0","0.0","21.01","20.4","290.17","145.08","269.16","269.77","0.0","","","","","","","","",""
"2015.0","2.0","3.0","34.0","902.0","0.39","0.0","0.0","1.6","0.39","0.63","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2015.0","2.0","4.0","35.0","902.0","0.39","0.0","0.0","1.34","0.39","0.52","0.0","0.0","0.0","0.0","20.92","20.4","290.17","145.08","269.25","269.77","0.0","","","","","","","","",""
"2015.0","2.0","5.0","36.0","902.0","0.38","0.0","0.0","1.02","0.38","0.39","0.0","0.0","0.0","0.0","20.4","20.4","290.17","145.08","269.77","269.77","0.0","","","","","","","","",""
"2015.0","2.0","6.0","37.0","902.0","1.13","0.0","0.0","2.15","1.13","2.44","6.0","6.0","0.0","0.0","16.84","20.4","290.17","145.08","273.33","269.77","0.0","","","","","","","","",""
"2015.0","2.0","7.0","38.0","902.0","1.16","0.0","0.0","1.45","1.16","1.68","12.31","12.31","0.0","0.0","6.21","20.4","290.17","145.08","283.96","269.77","0.0","","","","","","","","",""
"2015.0","2.0","8.0","39.0","902.0","1.16","0.0","0.0","1.48","1.16","1.72","13.84","7.93","0.0","0.0","0.0","20.4","290.17","145.08","290.17","269.77","0.0","","","","","","","","",""
