" Daily soil water balance output for Pasture in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Pasture in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","",""
"2014.0","10.0","16.0","289.0","9321.0","0.08","0.95","0.0","2.69","0.95","2.56","0.0","0.0","0.0","0.0","23.89","53.71","227.99","114.0","204.1","174.28","0.0","","","","","","",""
"2014.0","10.0","17.0","290.0","9321.0","0.08","0.95","0.0","2.49","0.95","2.37","0.0","0.0","0.0","0.0","26.26","53.71","227.99","114.0","201.73","174.28","0.0","","","","","","",""
"2014.0","10.0","18.0","291.0","9321.0","0.08","0.95","0.0","2.85","0.95","2.71","0.0","0.0","0.0","0.0","28.97","53.71","227.99","114.0","199.02","174.28","0.0","","","","","","",""
"2014.0","10.0","19.0","292.0","9321.0","0.08","0.95","0.0","2.85","0.95","2.71","0.0","0.0","0.0","0.0","31.67","53.71","227.99","114.0","196.32","174.28","0.0","","","","","","",""
"2014.0","10.0","20.0","293.0","9321.0","0.08","0.95","0.0","2.16","0.95","2.05","0.0","0.0","0.0","0.0","33.73","53.71","227.99","114.0","194.27","174.28","0.0","","","","","","",""
"2014.0","10.0","21.0","294.0","9321.0","0.08","0.95","0.0","2.66","0.95","2.53","0.0","0.0","0.0","0.0","36.25","53.71","227.99","114.0","191.74","174.28","0.0","","","","","","",""
"2014.0","10.0","22.0","295.0","9321.0","0.08","0.95","0.0","2.54","0.95","2.41","0.0","0.0","0.0","0.0","38.67","53.71","227.99","114.0","189.33","174.28","0.0","","","","","","",""
"2014.0","10.0","23.0","296.0","9321.0","0.08","0.95","0.0","2.49","0.95","2.37","0.0","0.0","0.0","0.0","41.03","53.71","227.99","114.0","186.96","174.28","0.0","","","","","","",""
"2014.0","10.0","24.0","297.0","9321.0","0.08","0.95","0.0","2.54","0.95","2.41","0.0","0.0","0.0","0.0","43.44","53.71","227.99","114.0","184.55","174.28","0.0","","","","","","",""
"2014.0","10.0","25.0","298.0","9321.0","0.08","0.95","0.0","2.22","0.95","2.11","0.0","0.0","0.0","0.0","45.55","53.71","227.99","114.0","182.44","174.28","0.0","","","","","","",""
"2014.0","10.0","26.0","299.0","9321.0","0.08","0.95","0.0","2.66","0.95","2.53","0.87","0.87","0.0","0.0","47.21","53.71","227.99","114.0","180.78","174.28","0.0","","","","","","",""
"2014.0","10.0","27.0","300.0","9321.0","0.08","0.95","0.0","2.48","0.95","2.36","0.0","0.0","0.0","0.0","49.57","53.71","227.99","114.0","178.42","174.28","0.0","","","","","","",""
"2014.0","10.0","28.0","301.0","9321.0","0.08","0.95","0.0","2.36","0.95","2.24","0.0","0.0","0.0","0.0","51.81","53.71","227.99","114.0","176.18","174.28","0.0","","","","","","",""
"2014.0","10.0","29.0","302.0","9321.0","0.08","0.95","0.0","2.44","0.95","2.32","0.0","0.0","0.0","0.0","0.0","53.71","227.99","114.0","227.99","174.28","54.13","","","","","","",""
"2014.0","10.0","30.0","303.0","9321.0","0.08","0.95","0.0","2.44","0.95","2.32","0.0","0.0","0.0","0.0","2.32","53.71","227.99","114.0","225.67","174.28","0.0","","","","","","",""
"2014.0","10.0","31.0","304.0","9321.0","0.08","0.95","0.0","1.29","0.95","1.23","0.07","0.07","0.0","0.0","3.47","53.71","227.99","114.0","224.52","174.28","0.0","","","","","","",""
"2014.0","11.0","1.0","305.0","9321.0","0.08","0.95","0.0","1.83","0.95","1.74","5.22","5.21","0.0","0.0","0.0","53.71","227.99","114.0","227.99","174.28","0.0","","","","","","",""
"2014.0","11.0","2.0","306.0","9321.0","0.08","0.95","0.0","2.18","0.95","2.07","0.0","0.0","0.0","0.0","2.07","53.71","227.99","114.0","225.92","174.28","0.0","","","","","","",""
"2014.0","11.0","3.0","307.0","9321.0","0.08","0.95","0.0","1.8","0.95","1.71","0.0","0.0","0.0","0.0","3.78","53.71","227.99","114.0","224.21","174.28","0.0","","","","","","",""
"2014.0","11.0","4.0","308.0","9321.0","0.08","0.95","0.0","1.75","0.95","1.66","0.0","0.0","0.0","0.0","5.44","53.71","227.99","114.0","222.55","174.28","0.0","","","","","","",""
"2014.0","11.0","5.0","309.0","9321.0","0.08","0.95","0.0","1.9","0.95","1.81","0.0","0.0","0.0","0.0","7.25","53.71","227.99","114.0","220.74","174.28","0.0","","","","","","",""
"2014.0","11.0","6.0","310.0","9321.0","0.08","0.95","0.0","1.91","0.95","1.81","0.0","0.0","0.0","0.0","9.06","53.71","227.99","114.0","218.93","174.28","0.0","","","","","","",""
"2014.0","11.0","7.0","311.0","9321.0","0.08","0.95","0.0","1.94","0.95","1.84","0.0","0.0","0.0","0.0","10.91","53.71","227.99","114.0","217.08","174.28","0.0","","","","","","",""
"2014.0","11.0","8.0","312.0","9321.0","0.08","0.95","0.0","1.87","0.95","1.78","0.0","0.0","0.0","0.0","12.68","53.71","227.99","114.0","215.31","174.28","0.0","","","","","","",""
"2014.0","11.0","9.0","313.0","9321.0","0.08","0.95","0.0","1.83","0.95","1.74","0.0","0.0","0.0","0.0","14.42","53.71","227.99","114.0","213.57","174.28","0.0","","","","","","",""
"2014.0","11.0","10.0","314.0","9321.0","0.08","0.95","0.0","1.84","0.95","1.75","0.0","0.0","0.0","0.0","16.17","53.71","227.99","114.0","211.82","174.28","0.0","","","","","","",""
"2014.0","11.0","11.0","315.0","9321.0","0.08","0.95","0.0","1.55","0.95","1.47","0.0","0.0","0.0","0.0","17.64","53.71","227.99","114.0","210.35","174.28","0.0","","","","","","",""
"2014.0","11.0","12.0","316.0","9321.0","0.08","0.95","0.0","1.54","0.95","1.46","0.0","0.0","0.0","0.0","19.1","53.71","227.99","114.0","208.89","174.28","0.0","","","","","","",""
"2014.0","11.0","13.0","317.0","9321.0","1.18","0.95","0.0","1.07","1.18","1.26","5.34","5.34","0.0","0.0","15.02","53.71","227.99","114.0","212.97","174.28","0.0","","","","","","",""
"2014.0","11.0","14.0","318.0","9321.0","1.17","0.95","0.0","1.4","1.17","1.64","0.95","0.95","0.0","0.0","15.71","53.71","227.99","114.0","212.28","174.28","0.0","","","","","","",""
"2014.0","11.0","15.0","319.0","9321.0","1.17","0.95","0.0","1.34","1.17","1.57","0.0","0.0","0.0","0.0","17.28","53.71","227.99","114.0","210.71","174.28","0.0","","","","","","",""
"2014.0","11.0","16.0","320.0","9321.0","1.16","0.95","0.0","1.94","1.16","2.26","0.07","0.07","0.0","0.0","19.46","53.71","227.99","114.0","208.53","174.28","0.0","","","","","","",""
"2014.0","11.0","17.0","321.0","9321.0","1.02","0.95","0.0","1.79","1.02","1.83","0.0","0.0","0.0","0.0","21.29","53.71","227.99","114.0","206.7","174.28","0.0","","","","","","",""
"2014.0","11.0","18.0","322.0","9321.0","0.94","0.95","0.0","1.33","0.95","1.26","0.0","0.0","0.0","0.0","22.55","53.71","227.99","114.0","205.44","174.28","0.0","","","","","","",""
"2014.0","11.0","19.0","323.0","9321.0","0.89","0.95","0.0","1.09","0.95","1.04","0.59","0.59","0.0","0.0","23.0","53.71","227.99","114.0","204.99","174.28","0.0","","","","","","",""
"2014.0","11.0","20.0","324.0","9321.0","1.19","0.95","0.0","0.63","1.19","0.75","2.88","2.88","0.0","0.0","20.87","53.71","227.99","114.0","207.12","174.28","0.0","","","","","","",""
"2014.0","11.0","21.0","325.0","9321.0","1.18","0.95","0.0","0.9","1.18","1.07","4.27","4.27","0.0","0.0","17.67","53.71","227.99","114.0","210.32","174.28","0.0","","","","","","",""
"2014.0","11.0","22.0","326.0","9321.0","1.18","0.95","0.0","1.25","1.18","1.47","0.9","0.9","0.0","0.0","18.24","53.71","227.99","114.0","209.75","174.28","0.0","","","","","","",""
"2014.0","11.0","23.0","327.0","9321.0","1.16","0.95","0.0","1.56","1.16","1.81","3.21","3.21","0.0","0.0","16.83","53.71","227.99","114.0","211.16","174.28","0.0","","","","","","",""
"2014.0","11.0","24.0","328.0","9321.0","1.16","0.95","0.0","1.39","1.16","1.61","0.0","0.0","0.0","0.0","18.45","53.71","227.99","114.0","209.54","174.28","0.0","","","","","","",""
"2014.0","11.0","25.0","329.0","9321.0","1.16","0.95","0.0","1.25","1.16","1.46","0.0","0.0","0.0","0.0","19.9","53.71","227.99","114.0","208.09","174.28","0.0","","","","","","",""
"2014.0","11.0","26.0","330.0","9321.0","1.17","0.95","0.0","1.26","1.17","1.47","0.0","0.0","0.0","0.0","21.37","53.71","227.99","114.0","206.62","174.28","0.0","","","","","","",""
"2014.0","11.0","27.0","331.0","9321.0","1.09","0.95","0.0","1.19","1.09","1.3","0.0","0.0","0.0","0.0","22.67","53.71","227.99","114.0","205.32","174.28","0.0","","","","","","",""
"2014.0","11.0","28.0","332.0","9321.0","1.01","0.95","0.0","1.14","1.01","1.15","0.0","0.0","0.0","0.0","23.82","53.71","227.99","114.0","204.17","174.28","0.0","","","","","","",""
"2014.0","11.0","29.0","333.0","9321.0","0.96","0.95","0.0","0.81","0.96","0.78","0.48","0.48","0.0","0.0","24.11","53.71","227.99","114.0","203.88","174.28","0.0","","","","","","",""
"2014.0","11.0","30.0","334.0","9321.0","1.19","0.95","0.0","0.66","1.19","0.79","3.64","3.64","0.0","0.0","21.26","53.71","227.99","114.0","206.73","174.28","0.0","","","","","","",""
"2014.0","12.0","1.0","335.0","9321.0","1.18","0.95","0.0","0.96","1.18","1.13","10.55","10.55","0.0","0.0","11.84","53.71","227.99","114.0","216.15","174.28","0.0","","","","","","",""
"2014.0","12.0","2.0","336.0","9321.0","1.19","0.95","0.0","0.64","1.19","0.76","10.14","10.14","0.0","0.0","2.47","53.71","227.99","114.0","225.52","174.28","0.0","","","","","","",""
"2014.0","12.0","3.0","337.0","9321.0","1.17","0.95","0.0","1.15","1.17","1.35","32.71","3.82","0.0","0.0","0.0","53.71","227.99","114.0","227.99","174.28","0.0","","","","","","",""
"2014.0","12.0","4.0","338.0","9321.0","1.18","0.95","0.0","1.1","1.18","1.29","6.73","1.29","0.0","0.0","0.0","53.71","227.99","114.0","227.99","174.28","0.0","","","","","","",""
"2014.0","12.0","5.0","339.0","9321.0","1.18","0.95","0.0","0.9","1.18","1.06","0.56","0.56","0.0","0.0","0.5","53.71","227.99","114.0","227.49","174.28","0.0","","","","","","",""
"2014.0","12.0","6.0","340.0","9321.0","1.18","0.95","0.0","1.08","1.18","1.27","3.46","1.77","0.0","0.0","0.0","53.71","227.99","114.0","227.99","174.28","0.0","","","","","","",""
"2014.0","12.0","7.0","341.0","9321.0","1.18","0.95","0.0","0.73","1.18","0.86","0.14","0.14","0.0","0.0","0.72","53.71","227.99","114.0","227.27","174.28","0.0","","","","","","",""
"2014.0","12.0","8.0","342.0","9321.0","1.18","0.95","0.0","0.84","1.18","1.0","0.0","0.0","0.0","0.0","1.72","53.71","227.99","114.0","226.27","174.28","0.0","","","","","","",""
"2014.0","12.0","9.0","343.0","9321.0","1.19","0.95","0.0","0.67","1.19","0.8","0.0","0.0","0.0","0.0","2.51","53.71","227.99","114.0","225.48","174.28","0.0","","","","","","",""
"2014.0","12.0","10.0","344.0","9321.0","1.19","0.95","0.0","0.91","1.19","1.08","0.0","0.0","0.0","0.0","3.59","53.71","227.99","114.0","224.4","174.28","0.0","","","","","","",""
"2014.0","12.0","11.0","345.0","9321.0","1.18","0.95","0.0","1.28","1.18","1.51","0.0","0.0","0.0","0.0","5.11","53.71","227.99","114.0","222.88","174.28","0.0","","","","","","",""
"2014.0","12.0","12.0","346.0","9321.0","1.2","0.95","0.0","0.62","1.2","0.74","67.69","5.85","0.0","0.0","0.0","53.71","227.99","114.0","227.99","174.28","0.0","","","","","","",""
"2014.0","12.0","13.0","347.0","9321.0","1.19","0.95","0.0","0.72","1.19","0.86","1.17","0.86","0.0","0.0","0.0","53.71","227.99","114.0","227.99","174.28","0.0","","","","","","",""
"2014.0","12.0","14.0","348.0","9321.0","1.19","0.95","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","0.93","53.71","227.99","114.0","227.06","174.28","0.0","","","","","","",""
"2014.0","12.0","15.0","349.0","9321.0","1.18","0.95","0.0","0.98","1.18","1.16","12.1","2.09","0.0","0.0","0.0","53.71","227.99","114.0","227.99","174.28","0.0","","","","","","",""
"2014.0","12.0","16.0","350.0","9321.0","1.17","0.95","0.0","1.22","1.17","1.43","11.08","1.43","0.0","0.0","0.0","53.71","227.99","114.0","227.99","174.28","0.0","","","","","","",""
"2014.0","12.0","17.0","351.0","9321.0","1.18","0.95","0.0","0.95","1.18","1.12","11.26","1.12","0.0","0.0","0.0","53.71","227.99","114.0","227.99","174.28","0.0","","","","","","",""
"2014.0","12.0","18.0","352.0","9321.0","1.18","0.95","0.0","0.97","1.18","1.15","3.99","1.15","0.0","0.0","0.0","53.71","227.99","114.0","227.99","174.28","0.0","","","","","","",""
"2014.0","12.0","19.0","353.0","9321.0","1.18","0.95","0.0","0.84","1.18","0.99","0.0","0.0","0.0","0.0","0.99","53.71","227.99","114.0","227.0","174.28","0.0","","","","","","",""
"2014.0","12.0","20.0","354.0","9321.0","1.19","0.95","0.0","0.68","1.19","0.81","9.13","1.81","0.0","0.0","0.0","53.71","227.99","114.0","227.99","174.28","0.0","","","","","","",""
"2014.0","12.0","21.0","355.0","9321.0","1.19","0.95","0.0","0.99","1.19","1.17","0.01","0.01","0.0","0.0","1.16","53.71","227.99","114.0","226.83","174.28","0.0","","","","","","",""
"2014.0","12.0","22.0","356.0","9321.0","1.19","0.95","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","2.09","53.71","227.99","114.0","225.9","174.28","0.0","","","","","","",""
"2014.0","12.0","23.0","357.0","9321.0","1.19","0.95","0.0","0.75","1.19","0.89","0.0","0.0","0.0","0.0","2.98","53.71","227.99","114.0","225.01","174.28","0.0","","","","","","",""
"2014.0","12.0","24.0","358.0","9321.0","1.19","0.95","0.0","0.96","1.19","1.14","0.0","0.0","0.0","0.0","4.12","53.71","227.99","114.0","223.87","174.28","0.0","","","","","","",""
"2014.0","12.0","25.0","359.0","9321.0","1.14","0.95","0.0","1.94","1.14","2.22","0.81","0.81","0.0","0.0","5.53","53.71","227.99","114.0","222.46","174.28","0.0","","","","","","",""
"2014.0","12.0","26.0","360.0","9321.0","1.01","0.95","0.0","1.7","1.01","1.72","0.0","0.0","0.0","0.0","7.24","53.71","227.99","114.0","220.75","174.28","0.0","","","","","","",""
"2014.0","12.0","27.0","361.0","9321.0","0.96","0.95","0.0","0.76","0.96","0.73","0.0","0.0","0.0","0.0","7.98","53.71","227.99","114.0","220.01","174.28","0.0","","","","","","",""
"2014.0","12.0","28.0","362.0","9321.0","0.93","0.95","0.0","0.75","0.95","0.71","0.0","0.0","0.0","0.0","8.69","53.71","227.99","114.0","219.3","174.28","0.0","","","","","","",""
"2014.0","12.0","29.0","363.0","9321.0","0.9","0.95","0.0","0.55","0.95","0.52","0.0","0.0","0.0","0.0","9.21","53.71","227.99","114.0","218.78","174.28","0.0","","","","","","",""
"2014.0","12.0","30.0","364.0","9321.0","0.8","0.95","0.0","2.45","0.95","2.33","0.0","0.0","0.0","0.0","11.54","53.71","227.99","114.0","216.45","174.28","0.0","","","","","","",""
"2014.0","12.0","31.0","365.0","9321.0","0.73","0.95","0.0","2.6","0.95","2.47","0.0","0.0","0.0","0.0","14.01","53.71","227.99","114.0","213.98","174.28","0.0","","","","","","",""
"2015.0","1.0","1.0","1.0","9321.0","0.71","0.95","0.0","0.96","0.95","0.91","0.0","0.0","0.0","0.0","14.92","55.05","227.99","114.0","213.07","172.94","0.0","","","","","","",""
"2015.0","1.0","2.0","2.0","9321.0","0.69","0.95","0.0","0.89","0.95","0.85","0.0","0.0","0.0","0.0","15.77","55.05","227.99","114.0","212.22","172.94","0.0","","","","","","",""
"2015.0","1.0","3.0","3.0","9321.0","0.67","0.95","0.0","0.88","0.95","0.84","0.0","0.0","0.0","0.0","16.6","55.05","227.99","114.0","211.39","172.94","0.0","","","","","","",""
"2015.0","1.0","4.0","4.0","9321.0","0.65","0.95","0.0","0.99","0.95","0.94","0.0","0.0","0.0","0.0","17.54","55.05","227.99","114.0","210.45","172.94","0.0","","","","","","",""
"2015.0","1.0","5.0","5.0","9321.0","0.64","0.95","0.0","0.96","0.95","0.91","0.0","0.0","0.0","0.0","18.46","55.05","227.99","114.0","209.53","172.94","0.0","","","","","","",""
"2015.0","1.0","6.0","6.0","9321.0","0.62","0.95","0.0","1.23","0.95","1.17","0.0","0.0","0.0","0.0","19.62","55.05","227.99","114.0","208.37","172.94","0.0","","","","","","",""
"2015.0","1.0","7.0","7.0","9321.0","0.6","0.95","0.0","1.21","0.95","1.15","0.0","0.0","0.0","0.0","20.77","55.05","227.99","114.0","207.22","172.94","0.0","","","","","","",""
"2015.0","1.0","8.0","8.0","9321.0","0.59","0.95","0.0","1.01","0.95","0.96","0.0","0.0","0.0","0.0","21.73","55.05","227.99","114.0","206.26","172.94","0.0","","","","","","",""
"2015.0","1.0","9.0","9.0","9321.0","0.58","0.95","0.0","0.89","0.95","0.85","0.0","0.0","0.0","0.0","22.58","55.05","227.99","114.0","205.41","172.94","0.0","","","","","","",""
"2015.0","1.0","10.0","10.0","9321.0","0.56","0.95","0.0","1.01","0.95","0.96","0.0","0.0","0.0","0.0","23.54","55.05","227.99","114.0","204.45","172.94","0.0","","","","","","",""
"2015.0","1.0","11.0","11.0","9321.0","0.56","0.95","0.0","0.85","0.95","0.81","0.0","0.0","0.0","0.0","24.35","55.05","227.99","114.0","203.64","172.94","0.0","","","","","","",""
"2015.0","1.0","12.0","12.0","9321.0","0.54","0.95","0.0","0.99","0.95","0.94","0.0","0.0","0.0","0.0","25.29","55.05","227.99","114.0","202.7","172.94","0.0","","","","","","",""
"2015.0","1.0","13.0","13.0","9321.0","0.53","0.95","0.0","1.06","0.95","1.01","0.0","0.0","0.0","0.0","26.29","55.05","227.99","114.0","201.7","172.94","0.0","","","","","","",""
"2015.0","1.0","14.0","14.0","9321.0","0.53","0.95","0.0","0.61","0.95","0.58","0.0","0.0","0.0","0.0","26.87","55.05","227.99","114.0","201.12","172.94","0.0","","","","","","",""
"2015.0","1.0","15.0","15.0","9321.0","0.52","0.95","0.0","0.65","0.95","0.62","0.0","0.0","0.0","0.0","27.49","55.05","227.99","114.0","200.5","172.94","0.0","","","","","","",""
"2015.0","1.0","16.0","16.0","9321.0","0.52","0.95","0.0","0.57","0.95","0.54","0.0","0.0","0.0","0.0","28.03","55.05","227.99","114.0","199.96","172.94","0.0","","","","","","",""
"2015.0","1.0","17.0","17.0","9321.0","0.51","0.95","0.0","0.51","0.95","0.48","0.0","0.0","0.0","0.0","28.52","55.05","227.99","114.0","199.47","172.94","0.0","","","","","","",""
"2015.0","1.0","18.0","18.0","9321.0","0.51","0.95","0.0","0.61","0.95","0.58","0.0","0.0","0.0","0.0","29.1","55.05","227.99","114.0","198.89","172.94","0.0","","","","","","",""
"2015.0","1.0","19.0","19.0","9321.0","0.5","0.95","0.0","0.58","0.95","0.55","0.17","0.17","0.0","0.0","29.48","55.05","227.99","114.0","198.51","172.94","0.0","","","","","","",""
"2015.0","1.0","20.0","20.0","9321.0","0.5","0.95","0.0","0.8","0.95","0.76","0.0","0.0","0.0","0.0","30.24","55.05","227.99","114.0","197.75","172.94","0.0","","","","","","",""
"2015.0","1.0","21.0","21.0","9321.0","0.49","0.95","0.0","1.03","0.95","0.98","0.0","0.0","0.0","0.0","31.22","55.05","227.99","114.0","196.77","172.94","0.0","","","","","","",""
"2015.0","1.0","22.0","22.0","9321.0","0.49","0.95","0.0","0.69","0.95","0.66","0.0","0.0","0.0","0.0","31.87","55.05","227.99","114.0","196.12","172.94","0.0","","","","","","",""
"2015.0","1.0","23.0","23.0","9321.0","0.48","0.95","0.0","0.99","0.95","0.94","0.0","0.0","0.0","0.0","32.81","55.05","227.99","114.0","195.18","172.94","0.0","","","","","","",""
"2015.0","1.0","24.0","24.0","9321.0","0.47","0.95","0.0","0.91","0.95","0.86","0.0","0.0","0.0","0.0","33.68","55.05","227.99","114.0","194.31","172.94","0.0","","","","","","",""
"2015.0","1.0","25.0","25.0","9321.0","0.47","0.95","0.0","1.02","0.95","0.97","0.0","0.0","0.0","0.0","34.65","55.05","227.99","114.0","193.35","172.94","0.0","","","","","","",""
"2015.0","1.0","26.0","26.0","9321.0","0.46","0.95","0.0","1.21","0.95","1.15","0.0","0.0","0.0","0.0","35.79","55.05","227.99","114.0","192.2","172.94","0.0","","","","","","",""
"2015.0","1.0","27.0","27.0","9321.0","0.45","0.95","0.0","1.16","0.95","1.1","0.0","0.0","0.0","0.0","36.9","55.05","227.99","114.0","191.09","172.94","0.0","","","","","","",""
"2015.0","1.0","28.0","28.0","9321.0","0.44","0.95","0.0","1.45","0.95","1.38","0.0","0.0","0.0","0.0","38.27","55.05","227.99","114.0","189.72","172.94","0.0","","","","","","",""
"2015.0","1.0","29.0","29.0","9321.0","0.44","0.95","0.0","1.38","0.95","1.31","0.0","0.0","0.0","0.0","39.59","55.05","227.99","114.0","188.41","172.94","0.0","","","","","","",""
"2015.0","1.0","30.0","30.0","9321.0","0.43","0.95","0.0","1.73","0.95","1.64","0.0","0.0","0.0","0.0","41.23","55.05","227.99","114.0","186.76","172.94","0.0","","","","","","",""
"2015.0","1.0","31.0","31.0","9321.0","0.41","0.95","0.0","3.06","0.95","2.91","0.0","0.0","0.0","0.0","44.14","55.05","227.99","114.0","183.85","172.94","0.0","","","","","","",""
"2015.0","2.0","1.0","32.0","9321.0","0.41","0.95","0.0","1.51","0.95","1.43","0.0","0.0","0.0","0.0","45.57","55.05","227.99","114.0","182.42","172.94","0.0","","","","","","",""
"2015.0","2.0","2.0","33.0","9321.0","0.4","0.95","0.0","1.52","0.95","1.44","0.0","0.0","0.0","0.0","47.01","55.05","227.99","114.0","180.98","172.94","0.0","","","","","","",""
"2015.0","2.0","3.0","34.0","9321.0","0.39","0.95","0.0","1.6","0.95","1.52","0.0","0.0","0.0","0.0","48.53","55.05","227.99","114.0","179.46","172.94","0.0","","","","","","",""
"2015.0","2.0","4.0","35.0","9321.0","0.39","0.95","0.0","1.34","0.95","1.27","0.0","0.0","0.0","0.0","49.81","55.05","227.99","114.0","178.18","172.94","0.0","","","","","","",""
"2015.0","2.0","5.0","36.0","9321.0","0.38","0.95","0.0","1.02","0.95","0.97","0.0","0.0","0.0","0.0","50.78","55.05","227.99","114.0","177.21","172.94","0.0","","","","","","",""
"2015.0","2.0","6.0","37.0","9321.0","1.13","0.95","0.0","2.15","1.13","2.44","6.0","6.0","0.0","0.0","47.21","55.05","227.99","114.0","180.78","172.94","0.0","","","","","","",""
"2015.0","2.0","7.0","38.0","9321.0","1.16","0.95","0.0","1.45","1.16","1.68","12.31","12.31","0.0","0.0","36.59","55.05","227.99","114.0","191.4","172.94","0.0","","","","","","",""
"2015.0","2.0","8.0","39.0","9321.0","1.16","0.95","0.0","1.48","1.16","1.72","13.84","13.84","0.0","0.0","24.47","55.05","227.99","114.0","203.52","172.94","0.0","","","","","","",""
"2015.0","2.0","9.0","40.0","9321.0","1.14","0.95","0.0","2.07","1.14","2.35","11.18","11.18","0.0","0.0","15.64","55.05","227.99","114.0","212.35","172.94","0.0","","","","","","",""
"2015.0","2.0","10.0","41.0","9321.0","1.14","0.95","0.0","1.86","1.14","2.12","0.0","0.0","0.0","0.0","17.76","55.05","227.99","114.0","210.23","172.94","0.0","","","","","","",""
