" Daily soil water balance output for Bush_berries in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Bush_berries in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2014.0","11.0","6.0","310.0","22.0","0.83","0.0","0.0","1.94","0.83","1.6","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2014.0","11.0","7.0","311.0","22.0","0.76","0.0","0.0","2.01","0.76","1.53","0.0","0.0","0.0","0.0","24.33","22.8","185.32","92.66","160.99","162.52","0.0","","","","","","","","",""
"2014.0","11.0","8.0","312.0","22.0","0.71","0.0","0.0","1.88","0.71","1.34","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2014.0","11.0","9.0","313.0","22.0","0.67","0.0","0.0","1.86","0.67","1.25","0.0","0.0","0.0","0.0","24.05","22.8","185.32","92.66","161.27","162.52","0.0","","","","","","","","",""
"2014.0","11.0","10.0","314.0","22.0","0.64","0.0","0.0","1.96","0.64","1.25","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2014.0","11.0","11.0","315.0","22.0","0.61","0.0","0.0","1.52","0.61","0.93","0.0","0.0","0.0","0.0","23.73","22.8","185.32","92.66","161.59","162.52","0.0","","","","","","","","",""
"2014.0","11.0","12.0","316.0","22.0","0.59","0.0","0.0","1.46","0.59","0.87","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2014.0","11.0","13.0","317.0","22.0","1.18","0.0","0.0","1.02","1.18","1.2","4.19","4.19","0.0","0.0","19.81","22.8","185.32","92.66","165.51","162.52","0.0","","","","","","","","",""
"2014.0","11.0","14.0","318.0","22.0","1.17","0.0","0.0","1.34","1.17","1.56","1.96","1.96","0.0","0.0","19.42","22.8","185.32","92.66","165.9","162.52","0.0","","","","","","","","",""
"2014.0","11.0","15.0","319.0","22.0","1.17","0.0","0.0","1.28","1.17","1.49","0.0","0.0","0.0","0.0","20.91","22.8","185.32","92.66","164.41","162.52","0.0","","","","","","","","",""
"2014.0","11.0","16.0","320.0","22.0","1.16","0.0","0.0","1.98","1.16","2.29","0.01","0.01","0.0","0.0","23.19","22.8","185.32","92.66","162.12","162.52","0.0","","","","","","","","",""
"2014.0","11.0","17.0","321.0","22.0","1.1","0.0","0.0","1.82","1.1","2.01","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2014.0","11.0","18.0","322.0","22.0","1.0","0.0","0.0","1.37","1.0","1.37","0.0","0.0","0.0","0.0","24.17","22.8","185.32","92.66","161.15","162.52","0.0","","","","","","","","",""
"2014.0","11.0","19.0","323.0","22.0","0.94","0.0","0.0","1.06","0.94","1.0","0.13","0.13","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2014.0","11.0","20.0","324.0","22.0","1.19","0.0","0.0","0.64","1.19","0.76","3.26","3.26","0.0","0.0","20.3","22.8","185.32","92.66","165.01","162.52","0.0","","","","","","","","",""
"2014.0","11.0","21.0","325.0","22.0","1.19","0.0","0.0","0.82","1.19","0.97","4.7","4.7","0.0","0.0","16.58","22.8","185.32","92.66","168.74","162.52","0.0","","","","","","","","",""
"2014.0","11.0","22.0","326.0","22.0","1.18","0.0","0.0","1.16","1.18","1.37","0.19","0.19","0.0","0.0","17.76","22.8","185.32","92.66","167.56","162.52","0.0","","","","","","","","",""
"2014.0","11.0","23.0","327.0","22.0","1.16","0.0","0.0","1.49","1.16","1.73","3.38","3.38","0.0","0.0","16.11","22.8","185.32","92.66","169.21","162.52","0.0","","","","","","","","",""
"2014.0","11.0","24.0","328.0","22.0","1.16","0.0","0.0","1.37","1.16","1.59","0.0","0.0","0.0","0.0","17.7","22.8","185.32","92.66","167.62","162.52","0.0","","","","","","","","",""
"2014.0","11.0","25.0","329.0","22.0","1.17","0.0","0.0","1.22","1.17","1.42","0.0","0.0","0.0","0.0","19.12","22.8","185.32","92.66","166.2","162.52","0.0","","","","","","","","",""
"2014.0","11.0","26.0","330.0","22.0","1.17","0.0","0.0","1.2","1.17","1.4","0.0","0.0","0.0","0.0","20.52","22.8","185.32","92.66","164.8","162.52","0.0","","","","","","","","",""
"2014.0","11.0","27.0","331.0","22.0","1.1","0.0","0.0","1.19","1.1","1.31","0.0","0.0","0.0","0.0","21.84","22.8","185.32","92.66","163.48","162.52","0.0","","","","","","","","",""
"2014.0","11.0","28.0","332.0","22.0","1.02","0.0","0.0","1.16","1.02","1.18","0.0","0.0","0.0","0.0","23.02","22.8","185.32","92.66","162.3","162.52","0.0","","","","","","","","",""
"2014.0","11.0","29.0","333.0","22.0","1.19","0.0","0.0","0.85","1.19","1.01","2.69","2.69","0.0","0.0","20.33","22.8","185.32","92.66","164.99","162.52","0.0","","","","","","","","",""
"2014.0","11.0","30.0","334.0","22.0","1.19","0.0","0.0","0.66","1.19","0.79","3.5","3.5","0.0","0.0","17.61","22.8","185.32","92.66","167.7","162.52","0.0","","","","","","","","",""
"2014.0","12.0","1.0","335.0","22.0","1.18","0.0","0.0","1.02","1.18","1.2","7.13","7.13","0.0","0.0","11.69","22.8","185.32","92.66","173.63","162.52","0.0","","","","","","","","",""
"2014.0","12.0","2.0","336.0","22.0","1.19","0.0","0.0","0.66","1.19","0.79","2.45","2.45","0.0","0.0","10.03","22.8","185.32","92.66","175.29","162.52","0.0","","","","","","","","",""
"2014.0","12.0","3.0","337.0","22.0","1.17","0.0","0.0","1.13","1.17","1.33","39.11","11.35","0.0","0.0","0.0","22.8","185.32","92.66","185.32","162.52","0.0","","","","","","","","",""
"2014.0","12.0","4.0","338.0","22.0","1.18","0.0","0.0","1.1","1.18","1.29","21.84","1.29","0.0","0.0","0.0","22.8","185.32","92.66","185.32","162.52","0.0","","","","","","","","",""
"2014.0","12.0","5.0","339.0","22.0","1.18","0.0","0.0","0.92","1.18","1.09","0.22","0.22","0.0","0.0","0.87","22.8","185.32","92.66","184.45","162.52","0.0","","","","","","","","",""
"2014.0","12.0","6.0","340.0","22.0","1.18","0.0","0.0","1.09","1.18","1.28","2.83","2.15","0.0","0.0","0.0","22.8","185.32","92.66","185.32","162.52","0.0","","","","","","","","",""
"2014.0","12.0","7.0","341.0","22.0","1.18","0.0","0.0","0.77","1.18","0.91","0.78","0.78","0.0","0.0","0.13","22.8","185.32","92.66","185.19","162.52","0.0","","","","","","","","",""
"2014.0","12.0","8.0","342.0","22.0","1.18","0.0","0.0","0.83","1.18","0.98","0.0","0.0","0.0","0.0","1.11","22.8","185.32","92.66","184.2","162.52","0.0","","","","","","","","",""
"2014.0","12.0","9.0","343.0","22.0","1.19","0.0","0.0","0.68","1.19","0.81","0.0","0.0","0.0","0.0","1.92","22.8","185.32","92.66","183.4","162.52","0.0","","","","","","","","",""
"2014.0","12.0","10.0","344.0","22.0","1.19","0.0","0.0","0.97","1.19","1.15","0.0","0.0","0.0","0.0","3.07","22.8","185.32","92.66","182.25","162.52","0.0","","","","","","","","",""
"2014.0","12.0","11.0","345.0","22.0","1.18","0.0","0.0","1.27","1.18","1.5","0.01","0.01","0.0","0.0","4.56","22.8","185.32","92.66","180.76","162.52","0.0","","","","","","","","",""
"2014.0","12.0","12.0","346.0","22.0","1.2","0.0","0.0","0.61","1.2","0.73","68.69","5.29","0.0","0.0","0.0","22.8","185.32","92.66","185.32","162.52","0.0","","","","","","","","",""
"2014.0","12.0","13.0","347.0","22.0","1.19","0.0","0.0","0.68","1.19","0.81","1.6","0.81","0.0","0.0","0.0","22.8","185.32","92.66","185.32","162.52","0.0","","","","","","","","",""
"2014.0","12.0","14.0","348.0","22.0","1.19","0.0","0.0","0.73","1.19","0.87","0.0","0.0","0.0","0.0","0.87","22.8","185.32","92.66","184.45","162.52","0.0","","","","","","","","",""
"2014.0","12.0","15.0","349.0","22.0","1.18","0.0","0.0","0.95","1.18","1.12","6.13","1.99","0.0","0.0","0.0","22.8","185.32","92.66","185.32","162.52","0.0","","","","","","","","",""
"2014.0","12.0","16.0","350.0","22.0","1.17","0.0","0.0","1.22","1.17","1.43","11.72","1.43","0.0","0.0","0.0","22.8","185.32","92.66","185.32","162.52","0.0","","","","","","","","",""
"2014.0","12.0","17.0","351.0","22.0","1.18","0.0","0.0","0.96","1.18","1.13","12.55","1.13","0.0","0.0","0.0","22.8","185.32","92.66","185.32","162.52","0.0","","","","","","","","",""
"2014.0","12.0","18.0","352.0","22.0","1.18","0.0","0.0","0.94","1.18","1.11","2.97","1.11","0.0","0.0","0.0","22.8","185.32","92.66","185.32","162.52","0.0","","","","","","","","",""
"2014.0","12.0","19.0","353.0","22.0","1.18","0.0","0.0","0.83","1.18","0.98","0.0","0.0","0.0","0.0","0.98","22.8","185.32","92.66","184.34","162.52","0.0","","","","","","","","",""
"2014.0","12.0","20.0","354.0","22.0","1.19","0.0","0.0","0.65","1.19","0.78","15.13","1.76","0.0","0.0","0.0","22.8","185.32","92.66","185.32","162.52","0.0","","","","","","","","",""
"2014.0","12.0","21.0","355.0","22.0","1.19","0.0","0.0","0.98","1.19","1.16","0.01","0.01","0.0","0.0","1.15","22.8","185.32","92.66","184.16","162.52","0.0","","","","","","","","",""
"2014.0","12.0","22.0","356.0","22.0","1.19","0.0","0.0","0.77","1.19","0.91","0.0","0.0","0.0","0.0","2.07","22.8","185.32","92.66","183.25","162.52","0.0","","","","","","","","",""
"2014.0","12.0","23.0","357.0","22.0","1.19","0.0","0.0","0.72","1.19","0.86","0.0","0.0","0.0","0.0","2.92","22.8","185.32","92.66","182.39","162.52","0.0","","","","","","","","",""
"2014.0","12.0","24.0","358.0","22.0","1.19","0.0","0.0","0.95","1.19","1.13","0.0","0.0","0.0","0.0","4.05","22.8","185.32","92.66","181.27","162.52","0.0","","","","","","","","",""
"2014.0","12.0","25.0","359.0","22.0","1.14","0.0","0.0","1.9","1.14","2.17","1.24","1.24","0.0","0.0","4.99","22.8","185.32","92.66","180.33","162.52","0.0","","","","","","","","",""
"2014.0","12.0","26.0","360.0","22.0","1.15","0.0","0.0","1.79","1.15","2.05","0.0","0.0","0.0","0.0","7.04","22.8","185.32","92.66","178.28","162.52","0.0","","","","","","","","",""
"2014.0","12.0","27.0","361.0","22.0","1.16","0.0","0.0","0.76","1.16","0.88","0.0","0.0","0.0","0.0","7.92","22.8","185.32","92.66","177.4","162.52","0.0","","","","","","","","",""
"2014.0","12.0","28.0","362.0","22.0","1.17","0.0","0.0","0.75","1.17","0.88","0.0","0.0","0.0","0.0","8.8","22.8","185.32","92.66","176.52","162.52","0.0","","","","","","","","",""
"2014.0","12.0","29.0","363.0","22.0","1.17","0.0","0.0","0.54","1.17","0.63","0.0","0.0","0.0","0.0","9.43","22.8","185.32","92.66","175.89","162.52","0.0","","","","","","","","",""
"2014.0","12.0","30.0","364.0","22.0","0.98","0.0","0.0","2.48","0.98","2.43","0.0","0.0","0.0","0.0","11.86","22.8","185.32","92.66","173.46","162.52","0.0","","","","","","","","",""
"2014.0","12.0","31.0","365.0","22.0","0.85","0.0","0.0","2.64","0.85","2.24","0.0","0.0","0.0","0.0","14.1","22.8","185.32","92.66","171.22","162.52","0.0","","","","","","","","",""
"2015.0","1.0","1.0","1.0","22.0","0.82","0.0","0.0","0.89","0.82","0.73","0.0","0.0","0.0","0.0","14.83","22.8","185.32","92.66","170.49","162.52","0.0","","","","","","","","",""
"2015.0","1.0","2.0","2.0","22.0","0.79","0.0","0.0","0.88","0.79","0.69","0.0","0.0","0.0","0.0","15.52","22.8","185.32","92.66","169.8","162.52","0.0","","","","","","","","",""
"2015.0","1.0","3.0","3.0","22.0","0.76","0.0","0.0","0.87","0.76","0.66","0.0","0.0","0.0","0.0","16.19","22.8","185.32","92.66","169.13","162.52","0.0","","","","","","","","",""
"2015.0","1.0","4.0","4.0","22.0","0.74","0.0","0.0","0.97","0.74","0.72","0.0","0.0","0.0","0.0","16.9","22.8","185.32","92.66","168.42","162.52","0.0","","","","","","","","",""
"2015.0","1.0","5.0","5.0","22.0","0.72","0.0","0.0","0.89","0.72","0.64","0.0","0.0","0.0","0.0","17.54","22.8","185.32","92.66","167.78","162.52","0.0","","","","","","","","",""
"2015.0","1.0","6.0","6.0","22.0","0.69","0.0","0.0","1.19","0.69","0.82","0.0","0.0","0.0","0.0","18.36","22.8","185.32","92.66","166.96","162.52","0.0","","","","","","","","",""
"2015.0","1.0","7.0","7.0","22.0","0.67","0.0","0.0","1.19","0.67","0.79","0.0","0.0","0.0","0.0","19.16","22.8","185.32","92.66","166.16","162.52","0.0","","","","","","","","",""
"2015.0","1.0","8.0","8.0","22.0","0.65","0.0","0.0","1.04","0.65","0.67","0.0","0.0","0.0","0.0","19.83","22.8","185.32","92.66","165.49","162.52","0.0","","","","","","","","",""
"2015.0","1.0","9.0","9.0","22.0","0.63","0.0","0.0","0.88","0.63","0.56","0.0","0.0","0.0","0.0","20.39","22.8","185.32","92.66","164.93","162.52","0.0","","","","","","","","",""
"2015.0","1.0","10.0","10.0","22.0","0.62","0.0","0.0","0.99","0.62","0.61","0.0","0.0","0.0","0.0","21.0","22.8","185.32","92.66","164.32","162.52","0.0","","","","","","","","",""
"2015.0","1.0","11.0","11.0","22.0","0.61","0.0","0.0","0.88","0.61","0.53","0.0","0.0","0.0","0.0","21.54","22.8","185.32","92.66","163.78","162.52","0.0","","","","","","","","",""
"2015.0","1.0","12.0","12.0","22.0","0.59","0.0","0.0","1.02","0.59","0.6","0.0","0.0","0.0","0.0","22.14","22.8","185.32","92.66","163.18","162.52","0.0","","","","","","","","",""
"2015.0","1.0","13.0","13.0","22.0","0.58","0.0","0.0","1.08","0.58","0.63","0.0","0.0","0.0","0.0","22.77","22.8","185.32","92.66","162.55","162.52","0.0","","","","","","","","",""
"2015.0","1.0","14.0","14.0","22.0","0.57","0.0","0.0","0.68","0.57","0.39","0.0","0.0","0.0","0.0","23.16","22.8","185.32","92.66","162.16","162.52","0.0","","","","","","","","",""
"2015.0","1.0","15.0","15.0","22.0","0.56","0.0","0.0","0.69","0.56","0.39","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2015.0","1.0","16.0","16.0","22.0","0.56","0.0","0.0","0.6","0.56","0.33","0.0","0.0","0.0","0.0","23.13","22.8","185.32","92.66","162.18","162.52","0.0","","","","","","","","",""
"2015.0","1.0","17.0","17.0","22.0","0.55","0.0","0.0","0.53","0.55","0.29","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2015.0","1.0","18.0","18.0","22.0","0.55","0.0","0.0","0.59","0.55","0.32","0.0","0.0","0.0","0.0","23.12","22.8","185.32","92.66","162.2","162.52","0.0","","","","","","","","",""
"2015.0","1.0","19.0","19.0","22.0","0.54","0.0","0.0","0.62","0.54","0.33","0.01","0.01","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2015.0","1.0","20.0","20.0","22.0","0.53","0.0","0.0","0.75","0.53","0.4","0.0","0.0","0.0","0.0","23.2","22.8","185.32","92.66","162.12","162.52","0.0","","","","","","","","",""
"2015.0","1.0","21.0","21.0","22.0","0.52","0.0","0.0","0.97","0.52","0.51","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2015.0","1.0","22.0","22.0","22.0","0.52","0.0","0.0","0.72","0.52","0.37","0.0","0.0","0.0","0.0","23.17","22.8","185.32","92.66","162.15","162.52","0.0","","","","","","","","",""
"2015.0","1.0","23.0","23.0","22.0","0.51","0.0","0.0","0.94","0.51","0.48","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2015.0","1.0","24.0","24.0","22.0","0.5","0.0","0.0","0.87","0.5","0.44","0.0","0.0","0.0","0.0","23.24","22.8","185.32","92.66","162.08","162.52","0.0","","","","","","","","",""
"2015.0","1.0","25.0","25.0","22.0","0.49","0.0","0.0","1.02","0.49","0.5","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2015.0","1.0","26.0","26.0","22.0","0.49","0.0","0.0","1.27","0.49","0.62","0.0","0.0","0.0","0.0","23.42","22.8","185.32","92.66","161.9","162.52","0.0","","","","","","","","",""
"2015.0","1.0","27.0","27.0","22.0","0.48","0.0","0.0","1.12","0.48","0.53","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2015.0","1.0","28.0","28.0","22.0","0.47","0.0","0.0","1.5","0.47","0.7","0.0","0.0","0.0","0.0","23.5","22.8","185.32","92.66","161.82","162.52","0.0","","","","","","","","",""
"2015.0","1.0","29.0","29.0","22.0","0.46","0.0","0.0","1.41","0.46","0.65","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2015.0","1.0","30.0","30.0","22.0","0.45","0.0","0.0","1.89","0.45","0.85","0.0","0.0","0.0","0.0","23.65","22.8","185.32","92.66","161.67","162.52","0.0","","","","","","","","",""
"2015.0","1.0","31.0","31.0","22.0","0.43","0.0","0.0","3.35","0.43","1.44","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2015.0","2.0","1.0","32.0","22.0","0.42","0.0","0.0","1.46","0.42","0.62","0.0","0.0","0.0","0.0","23.42","22.8","185.32","92.66","161.9","162.52","0.0","","","","","","","","",""
"2015.0","2.0","2.0","33.0","22.0","0.41","0.0","0.0","1.5","0.41","0.62","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2015.0","2.0","3.0","34.0","22.0","0.41","0.0","0.0","1.56","0.41","0.64","0.0","0.0","0.0","0.0","23.44","22.8","185.32","92.66","161.88","162.52","0.0","","","","","","","","",""
"2015.0","2.0","4.0","35.0","22.0","0.4","0.0","0.0","1.45","0.4","0.58","0.0","0.0","0.0","0.0","22.8","22.8","185.32","92.66","162.52","162.52","0.0","","","","","","","","",""
"2015.0","2.0","5.0","36.0","22.0","0.4","0.0","0.0","1.11","0.4","0.44","0.0","0.0","0.0","0.0","23.24","22.8","185.32","92.66","162.08","162.52","0.0","","","","","","","","",""
"2015.0","2.0","6.0","37.0","22.0","0.39","0.0","0.0","2.23","0.39","0.87","0.97","0.97","0.0","0.0","22.27","22.8","185.32","92.66","163.05","162.52","0.0","","","","","","","","",""
"2015.0","2.0","7.0","38.0","22.0","1.16","0.0","0.0","1.43","1.16","1.66","20.87","20.87","0.0","0.0","3.06","22.8","185.32","92.66","182.25","162.52","0.0","","","","","","","","",""
"2015.0","2.0","8.0","39.0","22.0","1.16","0.0","0.0","1.39","1.16","1.62","12.03","4.68","0.0","0.0","0.0","22.8","185.32","92.66","185.32","162.52","0.0","","","","","","","","",""
