" Daily soil water balance output for Pasture in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Pasture in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"2014.0","10.0","16.0","289.0","9222.0","0.29","0.95","0.0","2.67","0.95","2.54","0.08","0.08","0.0","0.0","47.59","47.73","201.17","100.58","153.58","153.44","0.0","","","","","","",""
"2014.0","10.0","17.0","290.0","9222.0","0.29","0.95","0.0","2.51","0.95","2.38","0.0","0.0","0.0","0.0","0.0","47.73","201.17","100.58","201.17","153.44","49.97","","","","","","",""
"2014.0","10.0","18.0","291.0","9222.0","0.29","0.95","0.0","2.9","0.95","2.76","0.0","0.0","0.0","0.0","2.76","47.73","201.17","100.58","198.41","153.44","0.0","","","","","","",""
"2014.0","10.0","19.0","292.0","9222.0","0.28","0.95","0.0","3.02","0.95","2.87","0.0","0.0","0.0","0.0","5.62","47.73","201.17","100.58","195.54","153.44","0.0","","","","","","",""
"2014.0","10.0","20.0","293.0","9222.0","0.28","0.95","0.0","2.28","0.95","2.17","0.0","0.0","0.0","0.0","7.79","47.73","201.17","100.58","193.38","153.44","0.0","","","","","","",""
"2014.0","10.0","21.0","294.0","9222.0","0.27","0.95","0.0","2.62","0.95","2.49","0.0","0.0","0.0","0.0","10.28","47.73","201.17","100.58","190.89","153.44","0.0","","","","","","",""
"2014.0","10.0","22.0","295.0","9222.0","0.27","0.95","0.0","2.57","0.95","2.44","0.0","0.0","0.0","0.0","12.72","47.73","201.17","100.58","188.45","153.44","0.0","","","","","","",""
"2014.0","10.0","23.0","296.0","9222.0","0.27","0.95","0.0","2.45","0.95","2.33","0.0","0.0","0.0","0.0","15.05","47.73","201.17","100.58","186.12","153.44","0.0","","","","","","",""
"2014.0","10.0","24.0","297.0","9222.0","0.26","0.95","0.0","2.62","0.95","2.49","0.0","0.0","0.0","0.0","17.54","47.73","201.17","100.58","183.63","153.44","0.0","","","","","","",""
"2014.0","10.0","25.0","298.0","9222.0","0.26","0.95","0.0","2.31","0.95","2.19","0.0","0.0","0.0","0.0","19.73","47.73","201.17","100.58","181.44","153.44","0.0","","","","","","",""
"2014.0","10.0","26.0","299.0","9222.0","0.26","0.95","0.0","2.62","0.95","2.49","2.42","2.42","0.0","0.0","19.8","47.73","201.17","100.58","181.37","153.44","0.0","","","","","","",""
"2014.0","10.0","27.0","300.0","9222.0","0.26","0.95","0.0","2.46","0.95","2.34","0.0","0.0","0.0","0.0","22.14","47.73","201.17","100.58","179.03","153.44","0.0","","","","","","",""
"2014.0","10.0","28.0","301.0","9222.0","0.25","0.95","0.0","2.35","0.95","2.23","0.0","0.0","0.0","0.0","24.37","47.73","201.17","100.58","176.8","153.44","0.0","","","","","","",""
"2014.0","10.0","29.0","302.0","9222.0","0.25","0.95","0.0","2.4","0.95","2.28","0.0","0.0","0.0","0.0","26.65","47.73","201.17","100.58","174.52","153.44","0.0","","","","","","",""
"2014.0","10.0","30.0","303.0","9222.0","0.25","0.95","0.0","2.55","0.95","2.42","0.0","0.0","0.0","0.0","29.07","47.73","201.17","100.58","172.1","153.44","0.0","","","","","","",""
"2014.0","10.0","31.0","304.0","9222.0","0.25","0.95","0.0","1.22","0.95","1.16","0.0","0.0","0.0","0.0","30.23","47.73","201.17","100.58","170.94","153.44","0.0","","","","","","",""
"2014.0","11.0","1.0","305.0","9222.0","1.15","0.95","0.0","1.85","1.15","2.12","9.51","9.51","0.0","0.0","22.84","47.73","201.17","100.58","178.33","153.44","0.0","","","","","","",""
"2014.0","11.0","2.0","306.0","9222.0","1.14","0.95","0.0","2.22","1.14","2.53","0.0","0.0","0.0","0.0","25.37","47.73","201.17","100.58","175.8","153.44","0.0","","","","","","",""
"2014.0","11.0","3.0","307.0","9222.0","1.14","0.95","0.0","1.82","1.14","2.08","0.0","0.0","0.0","0.0","27.45","47.73","201.17","100.58","173.72","153.44","0.0","","","","","","",""
"2014.0","11.0","4.0","308.0","9222.0","1.01","0.95","0.0","1.76","1.01","1.77","0.0","0.0","0.0","0.0","29.22","47.73","201.17","100.58","171.95","153.44","0.0","","","","","","",""
"2014.0","11.0","5.0","309.0","9222.0","0.91","0.95","0.0","1.77","0.95","1.68","0.0","0.0","0.0","0.0","30.9","47.73","201.17","100.58","170.27","153.44","0.0","","","","","","",""
"2014.0","11.0","6.0","310.0","9222.0","0.82","0.95","0.0","1.95","0.95","1.85","0.0","0.0","0.0","0.0","32.75","47.73","201.17","100.58","168.42","153.44","0.0","","","","","","",""
"2014.0","11.0","7.0","311.0","9222.0","0.76","0.95","0.0","2.02","0.95","1.92","0.0","0.0","0.0","0.0","34.67","47.73","201.17","100.58","166.5","153.44","0.0","","","","","","",""
"2014.0","11.0","8.0","312.0","9222.0","0.71","0.95","0.0","1.91","0.95","1.81","0.0","0.0","0.0","0.0","36.48","47.73","201.17","100.58","164.68","153.44","0.0","","","","","","",""
"2014.0","11.0","9.0","313.0","9222.0","0.67","0.95","0.0","1.87","0.95","1.78","0.0","0.0","0.0","0.0","38.26","47.73","201.17","100.58","162.91","153.44","0.0","","","","","","",""
"2014.0","11.0","10.0","314.0","9222.0","0.63","0.95","0.0","2.04","0.95","1.94","0.0","0.0","0.0","0.0","40.2","47.73","201.17","100.58","160.97","153.44","0.0","","","","","","",""
"2014.0","11.0","11.0","315.0","9222.0","0.61","0.95","0.0","1.51","0.95","1.43","0.0","0.0","0.0","0.0","41.63","47.73","201.17","100.58","159.54","153.44","0.0","","","","","","",""
"2014.0","11.0","12.0","316.0","9222.0","0.59","0.95","0.0","1.4","0.95","1.33","0.0","0.0","0.0","0.0","42.96","47.73","201.17","100.58","158.21","153.44","0.0","","","","","","",""
"2014.0","11.0","13.0","317.0","9222.0","1.18","0.95","0.0","0.94","1.18","1.11","3.18","3.18","0.0","0.0","40.89","47.73","201.17","100.58","160.27","153.44","0.0","","","","","","",""
"2014.0","11.0","14.0","318.0","9222.0","1.17","0.95","0.0","1.24","1.17","1.45","2.3","2.3","0.0","0.0","40.05","47.73","201.17","100.58","161.12","153.44","0.0","","","","","","",""
"2014.0","11.0","15.0","319.0","9222.0","1.17","0.95","0.0","1.23","1.17","1.44","0.0","0.0","0.0","0.0","41.49","47.73","201.17","100.58","159.68","153.44","0.0","","","","","","",""
"2014.0","11.0","16.0","320.0","9222.0","1.16","0.95","0.0","2.03","1.16","2.35","0.0","0.0","0.0","0.0","43.84","47.73","201.17","100.58","157.33","153.44","0.0","","","","","","",""
"2014.0","11.0","17.0","321.0","9222.0","1.11","0.95","0.0","1.87","1.11","2.07","0.0","0.0","0.0","0.0","45.91","47.73","201.17","100.58","155.26","153.44","0.0","","","","","","",""
"2014.0","11.0","18.0","322.0","9222.0","1.0","0.95","0.0","1.42","1.0","1.42","0.0","0.0","0.0","0.0","47.33","47.73","201.17","100.58","153.83","153.44","0.0","","","","","","",""
"2014.0","11.0","19.0","323.0","9222.0","0.95","0.95","0.0","1.0","0.95","0.95","0.0","0.0","0.0","0.0","0.0","47.73","201.17","100.58","201.17","153.44","48.28","","","","","","",""
"2014.0","11.0","20.0","324.0","9222.0","1.19","0.95","0.0","0.63","1.19","0.75","3.48","0.75","0.0","0.0","0.0","47.73","201.17","100.58","201.17","153.44","0.0","","","","","","",""
"2014.0","11.0","21.0","325.0","9222.0","1.19","0.95","0.0","0.77","1.19","0.92","4.74","0.92","0.0","0.0","0.0","47.73","201.17","100.58","201.17","153.44","0.0","","","","","","",""
"2014.0","11.0","22.0","326.0","9222.0","1.18","0.95","0.0","1.08","1.18","1.28","0.6","0.6","0.0","0.0","0.68","47.73","201.17","100.58","200.49","153.44","0.0","","","","","","",""
"2014.0","11.0","23.0","327.0","9222.0","1.16","0.95","0.0","1.44","1.16","1.67","1.87","1.87","0.0","0.0","0.48","47.73","201.17","100.58","200.69","153.44","0.0","","","","","","",""
"2014.0","11.0","24.0","328.0","9222.0","1.16","0.95","0.0","1.37","1.16","1.59","0.0","0.0","0.0","0.0","2.08","47.73","201.17","100.58","199.09","153.44","0.0","","","","","","",""
"2014.0","11.0","25.0","329.0","9222.0","1.17","0.95","0.0","1.22","1.17","1.42","0.0","0.0","0.0","0.0","3.5","47.73","201.17","100.58","197.67","153.44","0.0","","","","","","",""
"2014.0","11.0","26.0","330.0","9222.0","1.17","0.95","0.0","1.16","1.17","1.35","0.0","0.0","0.0","0.0","4.85","47.73","201.17","100.58","196.31","153.44","0.0","","","","","","",""
"2014.0","11.0","27.0","331.0","9222.0","1.11","0.95","0.0","1.2","1.11","1.33","0.0","0.0","0.0","0.0","6.19","47.73","201.17","100.58","194.98","153.44","0.0","","","","","","",""
"2014.0","11.0","28.0","332.0","9222.0","1.02","0.95","0.0","1.15","1.02","1.18","0.0","0.0","0.0","0.0","7.37","47.73","201.17","100.58","193.8","153.44","0.0","","","","","","",""
"2014.0","11.0","29.0","333.0","9222.0","1.19","0.95","0.0","0.86","1.19","1.02","4.67","4.67","0.0","0.0","3.72","47.73","201.17","100.58","197.45","153.44","0.0","","","","","","",""
"2014.0","11.0","30.0","334.0","9222.0","1.19","0.95","0.0","0.66","1.19","0.79","6.84","4.5","0.0","0.0","0.0","47.73","201.17","100.58","201.17","153.44","0.0","","","","","","",""
"2014.0","12.0","1.0","335.0","9222.0","1.18","0.95","0.0","1.03","1.18","1.21","3.4","1.21","0.0","0.0","0.0","47.73","201.17","100.58","201.17","153.44","0.0","","","","","","",""
"2014.0","12.0","2.0","336.0","9222.0","1.19","0.95","0.0","0.67","1.19","0.8","1.57","0.8","0.0","0.0","0.0","47.73","201.17","100.58","201.17","153.44","0.0","","","","","","",""
"2014.0","12.0","3.0","337.0","9222.0","1.18","0.95","0.0","1.07","1.18","1.26","42.83","1.26","0.0","0.0","0.0","47.73","201.17","100.58","201.17","153.44","0.0","","","","","","",""
"2014.0","12.0","4.0","338.0","9222.0","1.18","0.95","0.0","1.07","1.18","1.26","23.53","1.26","0.0","0.0","0.0","47.73","201.17","100.58","201.17","153.44","0.0","","","","","","",""
"2014.0","12.0","5.0","339.0","9222.0","1.18","0.95","0.0","0.94","1.18","1.11","0.2","0.2","0.0","0.0","0.91","47.73","201.17","100.58","200.26","153.44","0.0","","","","","","",""
"2014.0","12.0","6.0","340.0","9222.0","1.18","0.95","0.0","1.08","1.18","1.27","3.02","2.18","0.0","0.0","0.0","47.73","201.17","100.58","201.17","153.44","0.0","","","","","","",""
"2014.0","12.0","7.0","341.0","9222.0","1.18","0.95","0.0","0.8","1.18","0.95","0.51","0.51","0.0","0.0","0.44","47.73","201.17","100.58","200.73","153.44","0.0","","","","","","",""
"2014.0","12.0","8.0","342.0","9222.0","1.18","0.95","0.0","0.83","1.18","0.98","0.0","0.0","0.0","0.0","1.42","47.73","201.17","100.58","199.75","153.44","0.0","","","","","","",""
"2014.0","12.0","9.0","343.0","9222.0","1.19","0.95","0.0","0.69","1.19","0.82","0.0","0.0","0.0","0.0","2.24","47.73","201.17","100.58","198.93","153.44","0.0","","","","","","",""
"2014.0","12.0","10.0","344.0","9222.0","1.19","0.95","0.0","0.97","1.19","1.15","0.0","0.0","0.0","0.0","3.39","47.73","201.17","100.58","197.78","153.44","0.0","","","","","","",""
"2014.0","12.0","11.0","345.0","9222.0","1.18","0.95","0.0","1.19","1.18","1.41","0.75","0.75","0.0","0.0","4.04","47.73","201.17","100.58","197.12","153.44","0.0","","","","","","",""
"2014.0","12.0","12.0","346.0","9222.0","1.2","0.95","0.0","0.6","1.2","0.72","73.65","4.76","0.0","0.0","0.0","47.73","201.17","100.58","201.17","153.44","0.0","","","","","","",""
"2014.0","12.0","13.0","347.0","9222.0","1.19","0.95","0.0","0.67","1.19","0.8","1.55","0.8","0.0","0.0","0.0","47.73","201.17","100.58","201.17","153.44","0.0","","","","","","",""
"2014.0","12.0","14.0","348.0","9222.0","1.19","0.95","0.0","0.69","1.19","0.82","0.0","0.0","0.0","0.0","0.82","47.73","201.17","100.58","200.34","153.44","0.0","","","","","","",""
"2014.0","12.0","15.0","349.0","9222.0","1.19","0.95","0.0","0.87","1.19","1.03","5.34","1.85","0.0","0.0","0.0","47.73","201.17","100.58","201.17","153.44","0.0","","","","","","",""
"2014.0","12.0","16.0","350.0","9222.0","1.17","0.95","0.0","1.18","1.17","1.38","10.1","1.38","0.0","0.0","0.0","47.73","201.17","100.58","201.17","153.44","0.0","","","","","","",""
"2014.0","12.0","17.0","351.0","9222.0","1.18","0.95","0.0","0.96","1.18","1.13","14.67","1.13","0.0","0.0","0.0","47.73","201.17","100.58","201.17","153.44","0.0","","","","","","",""
"2014.0","12.0","18.0","352.0","9222.0","1.18","0.95","0.0","0.91","1.18","1.08","2.9","1.08","0.0","0.0","0.0","47.73","201.17","100.58","201.17","153.44","0.0","","","","","","",""
"2014.0","12.0","19.0","353.0","9222.0","1.19","0.95","0.0","0.81","1.19","0.96","0.09","0.09","0.0","0.0","0.87","47.73","201.17","100.58","200.3","153.44","0.0","","","","","","",""
"2014.0","12.0","20.0","354.0","9222.0","1.19","0.95","0.0","0.63","1.19","0.75","18.41","1.62","0.0","0.0","0.0","47.73","201.17","100.58","201.17","153.44","0.0","","","","","","",""
"2014.0","12.0","21.0","355.0","9222.0","1.19","0.95","0.0","0.96","1.19","1.14","0.07","0.07","0.0","0.0","1.07","47.73","201.17","100.58","200.1","153.44","0.0","","","","","","",""
"2014.0","12.0","22.0","356.0","9222.0","1.19","0.95","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","2.0","47.73","201.17","100.58","199.17","153.44","0.0","","","","","","",""
"2014.0","12.0","23.0","357.0","9222.0","1.19","0.95","0.0","0.72","1.19","0.86","0.0","0.0","0.0","0.0","2.85","47.73","201.17","100.58","198.31","153.44","0.0","","","","","","",""
"2014.0","12.0","24.0","358.0","9222.0","1.19","0.95","0.0","0.97","1.19","1.15","0.0","0.0","0.0","0.0","4.01","47.73","201.17","100.58","197.16","153.44","0.0","","","","","","",""
"2014.0","12.0","25.0","359.0","9222.0","1.16","0.95","0.0","1.86","1.16","2.16","0.69","0.69","0.0","0.0","5.48","47.73","201.17","100.58","195.69","153.44","0.0","","","","","","",""
"2014.0","12.0","26.0","360.0","9222.0","1.01","0.95","0.0","1.91","1.01","1.92","0.0","0.0","0.0","0.0","7.4","47.73","201.17","100.58","193.77","153.44","0.0","","","","","","",""
"2014.0","12.0","27.0","361.0","9222.0","0.96","0.95","0.0","0.77","0.96","0.74","0.0","0.0","0.0","0.0","8.14","47.73","201.17","100.58","193.03","153.44","0.0","","","","","","",""
"2014.0","12.0","28.0","362.0","9222.0","0.92","0.95","0.0","0.76","0.95","0.72","0.0","0.0","0.0","0.0","8.86","47.73","201.17","100.58","192.31","153.44","0.0","","","","","","",""
"2014.0","12.0","29.0","363.0","9222.0","0.9","0.95","0.0","0.55","0.95","0.52","0.0","0.0","0.0","0.0","9.38","47.73","201.17","100.58","191.78","153.44","0.0","","","","","","",""
"2014.0","12.0","30.0","364.0","9222.0","0.8","0.95","0.0","2.47","0.95","2.35","0.0","0.0","0.0","0.0","11.73","47.73","201.17","100.58","189.44","153.44","0.0","","","","","","",""
"2014.0","12.0","31.0","365.0","9222.0","0.72","0.95","0.0","2.67","0.95","2.54","0.0","0.0","0.0","0.0","14.27","47.73","201.17","100.58","186.9","153.44","0.0","","","","","","",""
"2015.0","1.0","1.0","1.0","9222.0","0.71","0.95","0.0","0.85","0.95","0.81","0.0","0.0","0.0","0.0","15.07","49.14","201.17","100.58","186.09","152.03","0.0","","","","","","",""
"2015.0","1.0","2.0","2.0","9222.0","0.69","0.95","0.0","0.87","0.95","0.83","0.0","0.0","0.0","0.0","15.9","49.14","201.17","100.58","185.27","152.03","0.0","","","","","","",""
"2015.0","1.0","3.0","3.0","9222.0","0.67","0.95","0.0","0.86","0.95","0.82","0.0","0.0","0.0","0.0","16.72","49.14","201.17","100.58","184.45","152.03","0.0","","","","","","",""
"2015.0","1.0","4.0","4.0","9222.0","0.65","0.95","0.0","0.96","0.95","0.91","0.0","0.0","0.0","0.0","17.63","49.14","201.17","100.58","183.54","152.03","0.0","","","","","","",""
"2015.0","1.0","5.0","5.0","9222.0","0.64","0.95","0.0","0.86","0.95","0.82","0.0","0.0","0.0","0.0","18.45","49.14","201.17","100.58","182.72","152.03","0.0","","","","","","",""
"2015.0","1.0","6.0","6.0","9222.0","0.62","0.95","0.0","1.17","0.95","1.11","0.0","0.0","0.0","0.0","19.56","49.14","201.17","100.58","181.61","152.03","0.0","","","","","","",""
"2015.0","1.0","7.0","7.0","9222.0","0.6","0.95","0.0","1.19","0.95","1.13","0.0","0.0","0.0","0.0","20.69","49.14","201.17","100.58","180.48","152.03","0.0","","","","","","",""
"2015.0","1.0","8.0","8.0","9222.0","0.59","0.95","0.0","1.04","0.95","0.99","0.0","0.0","0.0","0.0","21.68","49.14","201.17","100.58","179.49","152.03","0.0","","","","","","",""
"2015.0","1.0","9.0","9.0","9222.0","0.58","0.95","0.0","0.87","0.95","0.83","0.0","0.0","0.0","0.0","22.5","49.14","201.17","100.58","178.66","152.03","0.0","","","","","","",""
"2015.0","1.0","10.0","10.0","9222.0","0.57","0.95","0.0","0.96","0.95","0.91","0.0","0.0","0.0","0.0","23.42","49.14","201.17","100.58","177.75","152.03","0.0","","","","","","",""
"2015.0","1.0","11.0","11.0","9222.0","0.56","0.95","0.0","0.9","0.95","0.86","0.0","0.0","0.0","0.0","24.27","49.14","201.17","100.58","176.9","152.03","0.0","","","","","","",""
"2015.0","1.0","12.0","12.0","9222.0","0.55","0.95","0.0","1.06","0.95","1.01","0.0","0.0","0.0","0.0","25.28","49.14","201.17","100.58","175.89","152.03","0.0","","","","","","",""
"2015.0","1.0","13.0","13.0","9222.0","0.53","0.95","0.0","1.19","0.95","1.13","0.0","0.0","0.0","0.0","26.41","49.14","201.17","100.58","174.76","152.03","0.0","","","","","","",""
"2015.0","1.0","14.0","14.0","9222.0","0.53","0.95","0.0","0.73","0.95","0.69","0.0","0.0","0.0","0.0","27.1","49.14","201.17","100.58","174.07","152.03","0.0","","","","","","",""
"2015.0","1.0","15.0","15.0","9222.0","0.52","0.95","0.0","0.73","0.95","0.69","0.0","0.0","0.0","0.0","27.8","49.14","201.17","100.58","173.37","152.03","0.0","","","","","","",""
"2015.0","1.0","16.0","16.0","9222.0","0.52","0.95","0.0","0.62","0.95","0.59","0.0","0.0","0.0","0.0","28.38","49.14","201.17","100.58","172.78","152.03","0.0","","","","","","",""
"2015.0","1.0","17.0","17.0","9222.0","0.51","0.95","0.0","0.57","0.95","0.54","0.16","0.16","0.0","0.0","28.77","49.14","201.17","100.58","172.4","152.03","0.0","","","","","","",""
"2015.0","1.0","18.0","18.0","9222.0","0.51","0.95","0.0","0.61","0.95","0.58","0.0","0.0","0.0","0.0","29.35","49.14","201.17","100.58","171.82","152.03","0.0","","","","","","",""
"2015.0","1.0","19.0","19.0","9222.0","0.5","0.95","0.0","0.7","0.95","0.67","0.0","0.0","0.0","0.0","30.01","49.14","201.17","100.58","171.16","152.03","0.0","","","","","","",""
"2015.0","1.0","20.0","20.0","9222.0","0.49","0.95","0.0","0.76","0.95","0.72","0.0","0.0","0.0","0.0","30.73","49.14","201.17","100.58","170.44","152.03","0.0","","","","","","",""
"2015.0","1.0","21.0","21.0","9222.0","0.49","0.95","0.0","0.95","0.95","0.9","0.0","0.0","0.0","0.0","31.63","49.14","201.17","100.58","169.53","152.03","0.0","","","","","","",""
"2015.0","1.0","22.0","22.0","9222.0","0.48","0.95","0.0","0.76","0.95","0.72","0.0","0.0","0.0","0.0","32.36","49.14","201.17","100.58","168.81","152.03","0.0","","","","","","",""
"2015.0","1.0","23.0","23.0","9222.0","0.48","0.95","0.0","0.98","0.95","0.93","0.0","0.0","0.0","0.0","33.29","49.14","201.17","100.58","167.88","152.03","0.0","","","","","","",""
"2015.0","1.0","24.0","24.0","9222.0","0.47","0.95","0.0","0.95","0.95","0.9","0.0","0.0","0.0","0.0","34.19","49.14","201.17","100.58","166.98","152.03","0.0","","","","","","",""
"2015.0","1.0","25.0","25.0","9222.0","0.46","0.95","0.0","1.05","0.95","1.0","0.0","0.0","0.0","0.0","35.19","49.14","201.17","100.58","165.98","152.03","0.0","","","","","","",""
"2015.0","1.0","26.0","26.0","9222.0","0.45","0.95","0.0","1.32","0.95","1.25","0.0","0.0","0.0","0.0","36.44","49.14","201.17","100.58","164.73","152.03","0.0","","","","","","",""
"2015.0","1.0","27.0","27.0","9222.0","0.45","0.95","0.0","1.1","0.95","1.05","0.0","0.0","0.0","0.0","37.49","49.14","201.17","100.58","163.68","152.03","0.0","","","","","","",""
"2015.0","1.0","28.0","28.0","9222.0","0.44","0.95","0.0","1.57","0.95","1.49","0.0","0.0","0.0","0.0","38.98","49.14","201.17","100.58","162.19","152.03","0.0","","","","","","",""
"2015.0","1.0","29.0","29.0","9222.0","0.43","0.95","0.0","1.46","0.95","1.39","0.0","0.0","0.0","0.0","40.37","49.14","201.17","100.58","160.8","152.03","0.0","","","","","","",""
"2015.0","1.0","30.0","30.0","9222.0","0.42","0.95","0.0","2.03","0.95","1.93","0.0","0.0","0.0","0.0","42.29","49.14","201.17","100.58","158.87","152.03","0.0","","","","","","",""
"2015.0","1.0","31.0","31.0","9222.0","0.41","0.95","0.0","3.58","0.95","3.4","0.0","0.0","0.0","0.0","45.69","49.14","201.17","100.58","155.47","152.03","0.0","","","","","","",""
"2015.0","2.0","1.0","32.0","9222.0","0.4","0.95","0.0","1.45","0.95","1.38","0.0","0.0","0.0","0.0","47.07","49.14","201.17","100.58","154.1","152.03","0.0","","","","","","",""
"2015.0","2.0","2.0","33.0","9222.0","0.39","0.95","0.0","1.48","0.95","1.41","0.0","0.0","0.0","0.0","48.48","49.14","201.17","100.58","152.69","152.03","0.0","","","","","","",""
"2015.0","2.0","3.0","34.0","9222.0","0.39","0.95","0.0","1.52","0.95","1.44","0.0","0.0","0.0","0.0","0.0","49.14","201.17","100.58","201.17","152.03","49.92","","","","","","",""
"2015.0","2.0","4.0","35.0","9222.0","0.38","0.95","0.0","1.47","0.95","1.4","0.0","0.0","0.0","0.0","1.4","49.14","201.17","100.58","199.77","152.03","0.0","","","","","","",""
"2015.0","2.0","5.0","36.0","9222.0","0.38","0.95","0.0","1.17","0.95","1.11","0.0","0.0","0.0","0.0","2.51","49.14","201.17","100.58","198.66","152.03","0.0","","","","","","",""
"2015.0","2.0","6.0","37.0","9222.0","0.37","0.95","0.0","2.17","0.95","2.06","0.0","0.0","0.0","0.0","4.57","49.14","201.17","100.58","196.6","152.03","0.0","","","","","","",""
"2015.0","2.0","7.0","38.0","9222.0","1.16","0.95","0.0","1.44","1.16","1.67","33.87","6.24","0.0","0.0","0.0","49.14","201.17","100.58","201.17","152.03","0.0","","","","","","",""
"2015.0","2.0","8.0","39.0","9222.0","1.17","0.95","0.0","1.29","1.17","1.51","4.7","1.51","0.0","0.0","0.0","49.14","201.17","100.58","201.17","152.03","0.0","","","","","","",""
"2015.0","2.0","9.0","40.0","9222.0","1.14","0.95","0.0","1.97","1.14","2.25","23.02","2.25","0.0","0.0","0.0","49.14","201.17","100.58","201.17","152.03","0.0","","","","","","",""
"2015.0","2.0","10.0","41.0","9222.0","1.14","0.95","0.0","1.83","1.14","2.09","0.18","0.18","0.0","0.0","1.91","49.14","201.17","100.58","199.25","152.03","0.0","","","","","","",""
