" Daily soil water balance output for Safflower in 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Safflower at 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"2014.0","11.0","6.0","310.0","167.0","0.82","0.0","0.0","1.93","0.82","1.58","0.0","0.0","0.0","0.0","20.03","26.4","375.51","187.76","355.48","349.11","0.0","","","","","","","","",""
"2014.0","11.0","7.0","311.0","167.0","0.76","0.0","0.0","1.95","0.76","1.48","0.0","0.0","0.0","0.0","21.51","26.4","375.51","187.76","354.0","349.11","0.0","","","","","","","","",""
"2014.0","11.0","8.0","312.0","167.0","0.71","0.0","0.0","1.88","0.71","1.34","0.0","0.0","0.0","0.0","22.84","26.4","375.51","187.76","352.67","349.11","0.0","","","","","","","","",""
"2014.0","11.0","9.0","313.0","167.0","0.67","0.0","0.0","1.83","0.67","1.23","0.0","0.0","0.0","0.0","24.07","26.4","375.51","187.76","351.44","349.11","0.0","","","","","","","","",""
"2014.0","11.0","10.0","314.0","167.0","0.64","0.0","0.0","1.78","0.64","1.14","0.0","0.0","0.0","0.0","25.21","26.4","375.51","187.76","350.3","349.11","0.0","","","","","","","","",""
"2014.0","11.0","11.0","315.0","167.0","0.62","0.0","0.0","1.54","0.62","0.95","0.0","0.0","0.0","0.0","26.16","26.4","375.51","187.76","349.35","349.11","0.0","","","","","","","","",""
"2014.0","11.0","12.0","316.0","167.0","0.59","0.0","0.0","1.6","0.59","0.95","0.0","0.0","0.0","0.0","27.11","26.4","375.51","187.76","348.41","349.11","0.0","","","","","","","","",""
"2014.0","11.0","13.0","317.0","167.0","1.18","0.0","0.0","1.12","1.18","1.32","5.87","5.87","0.0","0.0","21.24","26.4","375.51","187.76","354.28","349.11","0.0","","","","","","","","",""
"2014.0","11.0","14.0","318.0","167.0","1.17","0.0","0.0","1.44","1.17","1.68","1.23","1.23","0.0","0.0","21.69","26.4","375.51","187.76","353.82","349.11","0.0","","","","","","","","",""
"2014.0","11.0","15.0","319.0","167.0","1.17","0.0","0.0","1.36","1.17","1.59","0.0","0.0","0.0","0.0","23.28","26.4","375.51","187.76","352.23","349.11","0.0","","","","","","","","",""
"2014.0","11.0","16.0","320.0","167.0","1.16","0.0","0.0","1.9","1.16","2.21","0.0","0.0","0.0","0.0","25.49","26.4","375.51","187.76","350.03","349.11","0.0","","","","","","","","",""
"2014.0","11.0","17.0","321.0","167.0","1.02","0.0","0.0","1.77","1.02","1.8","0.0","0.0","0.0","0.0","27.28","26.4","375.51","187.76","348.23","349.11","0.0","","","","","","","","",""
"2014.0","11.0","18.0","322.0","167.0","0.94","0.0","0.0","1.33","0.94","1.25","0.0","0.0","0.0","0.0","26.4","26.4","375.51","187.76","349.11","349.11","0.0","","","","","","","","",""
"2014.0","11.0","19.0","323.0","167.0","0.88","0.0","0.0","1.19","0.88","1.05","0.0","0.0","0.0","0.0","27.45","26.4","375.51","187.76","348.06","349.11","0.0","","","","","","","","",""
"2014.0","11.0","20.0","324.0","167.0","1.19","0.0","0.0","0.65","1.19","0.78","2.25","2.25","0.0","0.0","25.2","26.4","375.51","187.76","350.31","349.11","0.0","","","","","","","","",""
"2014.0","11.0","21.0","325.0","167.0","1.18","0.0","0.0","0.94","1.18","1.11","4.75","4.75","0.0","0.0","21.56","26.4","375.51","187.76","353.95","349.11","0.0","","","","","","","","",""
"2014.0","11.0","22.0","326.0","167.0","1.18","0.0","0.0","1.28","1.18","1.5","0.01","0.01","0.0","0.0","23.06","26.4","375.51","187.76","352.46","349.11","0.0","","","","","","","","",""
"2014.0","11.0","23.0","327.0","167.0","1.16","0.0","0.0","1.59","1.16","1.84","3.94","3.94","0.0","0.0","20.95","26.4","375.51","187.76","354.56","349.11","0.0","","","","","","","","",""
"2014.0","11.0","24.0","328.0","167.0","1.16","0.0","0.0","1.4","1.16","1.62","0.0","0.0","0.0","0.0","22.58","26.4","375.51","187.76","352.94","349.11","0.0","","","","","","","","",""
"2014.0","11.0","25.0","329.0","167.0","1.16","0.0","0.0","1.29","1.16","1.5","0.0","0.0","0.0","0.0","24.08","26.4","375.51","187.76","351.44","349.11","0.0","","","","","","","","",""
"2014.0","11.0","26.0","330.0","167.0","1.16","0.0","0.0","1.32","1.16","1.54","0.0","0.0","0.0","0.0","25.61","26.4","375.51","187.76","349.9","349.11","0.0","","","","","","","","",""
"2014.0","11.0","27.0","331.0","167.0","1.07","0.0","0.0","1.23","1.07","1.32","0.0","0.0","0.0","0.0","26.94","26.4","375.51","187.76","348.58","349.11","0.0","","","","","","","","",""
"2014.0","11.0","28.0","332.0","167.0","0.99","0.0","0.0","1.19","0.99","1.18","0.0","0.0","0.0","0.0","26.4","26.4","375.51","187.76","349.11","349.11","0.0","","","","","","","","",""
"2014.0","11.0","29.0","333.0","167.0","0.95","0.0","0.0","0.8","0.95","0.76","0.41","0.41","0.0","0.0","26.75","26.4","375.51","187.76","348.77","349.11","0.0","","","","","","","","",""
"2014.0","11.0","30.0","334.0","167.0","1.19","0.0","0.0","0.69","1.19","0.82","2.78","2.78","0.0","0.0","23.97","26.4","375.51","187.76","351.55","349.11","0.0","","","","","","","","",""
"2014.0","12.0","1.0","335.0","167.0","1.18","0.0","0.0","0.96","1.18","1.13","12.37","12.37","0.0","0.0","12.73","26.4","375.51","187.76","362.78","349.11","0.0","","","","","","","","",""
"2014.0","12.0","2.0","336.0","167.0","1.2","0.0","0.0","0.62","1.2","0.74","10.99","10.99","0.0","0.0","2.48","26.4","375.51","187.76","373.03","349.11","0.0","","","","","","","","",""
"2014.0","12.0","3.0","337.0","167.0","1.17","0.0","0.0","1.24","1.17","1.45","28.92","3.93","0.0","0.0","0.0","26.4","375.51","187.76","375.51","349.11","0.0","","","","","","","","",""
"2014.0","12.0","4.0","338.0","167.0","1.17","0.0","0.0","1.13","1.17","1.33","7.13","1.33","0.0","0.0","0.0","26.4","375.51","187.76","375.51","349.11","0.0","","","","","","","","",""
"2014.0","12.0","5.0","339.0","167.0","1.18","0.0","0.0","0.91","1.18","1.07","0.35","0.35","0.0","0.0","0.72","26.4","375.51","187.76","374.79","349.11","0.0","","","","","","","","",""
"2014.0","12.0","6.0","340.0","167.0","1.18","0.0","0.0","1.09","1.18","1.28","2.4","2.01","0.0","0.0","0.0","26.4","375.51","187.76","375.51","349.11","0.0","","","","","","","","",""
"2014.0","12.0","7.0","341.0","167.0","1.18","0.0","0.0","0.72","1.18","0.85","0.32","0.32","0.0","0.0","0.53","26.4","375.51","187.76","374.98","349.11","0.0","","","","","","","","",""
"2014.0","12.0","8.0","342.0","167.0","1.18","0.0","0.0","0.88","1.18","1.04","0.0","0.0","0.0","0.0","1.57","26.4","375.51","187.76","373.94","349.11","0.0","","","","","","","","",""
"2014.0","12.0","9.0","343.0","167.0","1.19","0.0","0.0","0.69","1.19","0.82","0.0","0.0","0.0","0.0","2.39","26.4","375.51","187.76","373.12","349.11","0.0","","","","","","","","",""
"2014.0","12.0","10.0","344.0","167.0","1.19","0.0","0.0","0.9","1.19","1.07","0.0","0.0","0.0","0.0","3.46","26.4","375.51","187.76","372.05","349.11","0.0","","","","","","","","",""
"2014.0","12.0","11.0","345.0","167.0","1.18","0.0","0.0","1.36","1.18","1.61","0.0","0.0","0.0","0.0","5.07","26.4","375.51","187.76","370.45","349.11","0.0","","","","","","","","",""
"2014.0","12.0","12.0","346.0","167.0","1.19","0.0","0.0","0.63","1.19","0.75","65.93","5.82","0.0","0.0","0.0","26.4","375.51","187.76","375.51","349.11","0.0","","","","","","","","",""
"2014.0","12.0","13.0","347.0","167.0","1.19","0.0","0.0","0.74","1.19","0.88","1.66","0.88","0.0","0.0","0.0","26.4","375.51","187.76","375.51","349.11","0.0","","","","","","","","",""
"2014.0","12.0","14.0","348.0","167.0","1.19","0.0","0.0","0.81","1.19","0.96","0.0","0.0","0.0","0.0","0.96","26.4","375.51","187.76","374.55","349.11","0.0","","","","","","","","",""
"2014.0","12.0","15.0","349.0","167.0","1.18","0.0","0.0","1.01","1.18","1.19","10.89","2.15","0.0","0.0","0.0","26.4","375.51","187.76","375.51","349.11","0.0","","","","","","","","",""
"2014.0","12.0","16.0","350.0","167.0","1.17","0.0","0.0","1.24","1.17","1.45","9.78","1.45","0.0","0.0","0.0","26.4","375.51","187.76","375.51","349.11","0.0","","","","","","","","",""
"2014.0","12.0","17.0","351.0","167.0","1.18","0.0","0.0","0.95","1.18","1.12","11.39","1.12","0.0","0.0","0.0","26.4","375.51","187.76","375.51","349.11","0.0","","","","","","","","",""
"2014.0","12.0","18.0","352.0","167.0","1.18","0.0","0.0","1.0","1.18","1.18","5.48","1.18","0.0","0.0","0.0","26.4","375.51","187.76","375.51","349.11","0.0","","","","","","","","",""
"2014.0","12.0","19.0","353.0","167.0","1.18","0.0","0.0","0.85","1.18","1.01","0.0","0.0","0.0","0.0","1.01","26.4","375.51","187.76","374.51","349.11","0.0","","","","","","","","",""
"2014.0","12.0","20.0","354.0","167.0","1.19","0.0","0.0","0.7","1.19","0.83","8.92","1.84","0.0","0.0","0.0","26.4","375.51","187.76","375.51","349.11","0.0","","","","","","","","",""
"2014.0","12.0","21.0","355.0","167.0","1.19","0.0","0.0","1.0","1.19","1.19","0.47","0.47","0.0","0.0","0.72","26.4","375.51","187.76","374.8","349.11","0.0","","","","","","","","",""
"2014.0","12.0","22.0","356.0","167.0","1.19","0.0","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","1.64","26.4","375.51","187.76","373.87","349.11","0.0","","","","","","","","",""
"2014.0","12.0","23.0","357.0","167.0","1.19","0.0","0.0","0.79","1.19","0.94","0.0","0.0","0.0","0.0","2.58","26.4","375.51","187.76","372.93","349.11","0.0","","","","","","","","",""
"2014.0","12.0","24.0","358.0","167.0","1.19","0.0","0.0","0.96","1.19","1.14","0.0","0.0","0.0","0.0","3.72","26.4","375.51","187.76","371.8","349.11","0.0","","","","","","","","",""
"2014.0","12.0","25.0","359.0","167.0","1.13","0.0","0.0","1.97","1.13","2.23","0.72","0.72","0.0","0.0","5.23","26.4","375.51","187.76","370.28","349.11","0.0","","","","","","","","",""
"2014.0","12.0","26.0","360.0","167.0","1.01","0.0","0.0","1.61","1.01","1.62","0.0","0.0","0.0","0.0","6.86","26.4","375.51","187.76","368.66","349.11","0.0","","","","","","","","",""
"2014.0","12.0","27.0","361.0","167.0","0.96","0.0","0.0","0.77","0.96","0.74","0.0","0.0","0.0","0.0","7.6","26.4","375.51","187.76","367.92","349.11","0.0","","","","","","","","",""
"2014.0","12.0","28.0","362.0","167.0","0.92","0.0","0.0","0.77","0.92","0.71","0.0","0.0","0.0","0.0","8.31","26.4","375.51","187.76","367.21","349.11","0.0","","","","","","","","",""
"2014.0","12.0","29.0","363.0","167.0","0.9","0.0","0.0","0.56","0.9","0.5","0.0","0.0","0.0","0.0","8.81","26.4","375.51","187.76","366.7","349.11","0.0","","","","","","","","",""
"2014.0","12.0","30.0","364.0","167.0","0.8","0.0","0.0","2.42","0.8","1.94","0.0","0.0","0.0","0.0","10.75","26.4","375.51","187.76","364.76","349.11","0.0","","","","","","","","",""
"2014.0","12.0","31.0","365.0","167.0","0.73","0.0","0.0","2.55","0.73","1.86","0.0","0.0","0.0","0.0","12.61","26.4","375.51","187.76","362.9","349.11","0.0","","","","","","","","",""
"2015.0","1.0","1.0","1.0","167.0","0.71","0.0","0.0","1.01","0.71","0.71","0.0","0.0","0.0","0.0","13.33","26.4","375.51","187.76","362.19","349.11","0.0","","","","","","","","",""
"2015.0","1.0","2.0","2.0","167.0","0.69","0.0","0.0","0.91","0.69","0.62","0.0","0.0","0.0","0.0","13.95","26.4","375.51","187.76","361.56","349.11","0.0","","","","","","","","",""
"2015.0","1.0","3.0","3.0","167.0","0.67","0.0","0.0","0.92","0.67","0.62","0.0","0.0","0.0","0.0","14.57","26.4","375.51","187.76","360.95","349.11","0.0","","","","","","","","",""
"2015.0","1.0","4.0","4.0","167.0","0.65","0.0","0.0","1.02","0.65","0.66","0.0","0.0","0.0","0.0","15.23","26.4","375.51","187.76","360.28","349.11","0.0","","","","","","","","",""
"2015.0","1.0","5.0","5.0","167.0","0.63","0.0","0.0","1.03","0.63","0.65","0.0","0.0","0.0","0.0","15.88","26.4","375.51","187.76","359.63","349.11","0.0","","","","","","","","",""
"2015.0","1.0","6.0","6.0","167.0","0.61","0.0","0.0","1.27","0.61","0.78","0.0","0.0","0.0","0.0","16.66","26.4","375.51","187.76","358.85","349.11","0.0","","","","","","","","",""
"2015.0","1.0","7.0","7.0","167.0","0.6","0.0","0.0","1.24","0.6","0.74","0.0","0.0","0.0","0.0","17.4","26.4","375.51","187.76","358.11","349.11","0.0","","","","","","","","",""
"2015.0","1.0","8.0","8.0","167.0","0.58","0.0","0.0","1.03","0.58","0.6","0.0","0.0","0.0","0.0","18.0","26.4","375.51","187.76","357.51","349.11","0.0","","","","","","","","",""
"2015.0","1.0","9.0","9.0","167.0","0.57","0.0","0.0","0.9","0.57","0.52","0.0","0.0","0.0","0.0","18.52","26.4","375.51","187.76","357.0","349.11","0.0","","","","","","","","",""
"2015.0","1.0","10.0","10.0","167.0","0.56","0.0","0.0","1.05","0.56","0.59","0.0","0.0","0.0","0.0","19.11","26.4","375.51","187.76","356.41","349.11","0.0","","","","","","","","",""
"2015.0","1.0","11.0","11.0","167.0","0.55","0.0","0.0","0.86","0.55","0.47","0.0","0.0","0.0","0.0","19.58","26.4","375.51","187.76","355.93","349.11","0.0","","","","","","","","",""
"2015.0","1.0","12.0","12.0","167.0","0.54","0.0","0.0","0.97","0.54","0.53","0.0","0.0","0.0","0.0","20.11","26.4","375.51","187.76","355.41","349.11","0.0","","","","","","","","",""
"2015.0","1.0","13.0","13.0","167.0","0.53","0.0","0.0","1.04","0.53","0.55","0.0","0.0","0.0","0.0","20.66","26.4","375.51","187.76","354.86","349.11","0.0","","","","","","","","",""
"2015.0","1.0","14.0","14.0","167.0","0.53","0.0","0.0","0.62","0.53","0.33","0.0","0.0","0.0","0.0","20.98","26.4","375.51","187.76","354.53","349.11","0.0","","","","","","","","",""
"2015.0","1.0","15.0","15.0","167.0","0.52","0.0","0.0","0.66","0.52","0.34","0.0","0.0","0.0","0.0","21.33","26.4","375.51","187.76","354.19","349.11","0.0","","","","","","","","",""
"2015.0","1.0","16.0","16.0","167.0","0.51","0.0","0.0","0.62","0.51","0.32","0.0","0.0","0.0","0.0","21.65","26.4","375.51","187.76","353.87","349.11","0.0","","","","","","","","",""
"2015.0","1.0","17.0","17.0","167.0","0.51","0.0","0.0","0.54","0.51","0.28","0.0","0.0","0.0","0.0","21.92","26.4","375.51","187.76","353.59","349.11","0.0","","","","","","","","",""
"2015.0","1.0","18.0","18.0","167.0","0.51","0.0","0.0","0.66","0.51","0.33","0.0","0.0","0.0","0.0","22.25","26.4","375.51","187.76","353.26","349.11","0.0","","","","","","","","",""
"2015.0","1.0","19.0","19.0","167.0","0.5","0.0","0.0","0.55","0.5","0.28","0.43","0.43","0.0","0.0","22.1","26.4","375.51","187.76","353.41","349.11","0.0","","","","","","","","",""
"2015.0","1.0","20.0","20.0","167.0","0.49","0.0","0.0","0.81","0.49","0.4","0.0","0.0","0.0","0.0","22.5","26.4","375.51","187.76","353.01","349.11","0.0","","","","","","","","",""
"2015.0","1.0","21.0","21.0","167.0","0.49","0.0","0.0","1.08","0.49","0.53","0.0","0.0","0.0","0.0","23.03","26.4","375.51","187.76","352.49","349.11","0.0","","","","","","","","",""
"2015.0","1.0","22.0","22.0","167.0","0.48","0.0","0.0","0.69","0.48","0.33","0.0","0.0","0.0","0.0","23.36","26.4","375.51","187.76","352.15","349.11","0.0","","","","","","","","",""
"2015.0","1.0","23.0","23.0","167.0","0.47","0.0","0.0","1.02","0.47","0.48","0.0","0.0","0.0","0.0","23.84","26.4","375.51","187.76","351.67","349.11","0.0","","","","","","","","",""
"2015.0","1.0","24.0","24.0","167.0","0.47","0.0","0.0","0.96","0.47","0.45","0.0","0.0","0.0","0.0","24.29","26.4","375.51","187.76","351.22","349.11","0.0","","","","","","","","",""
"2015.0","1.0","25.0","25.0","167.0","0.46","0.0","0.0","1.04","0.46","0.48","0.0","0.0","0.0","0.0","24.77","26.4","375.51","187.76","350.74","349.11","0.0","","","","","","","","",""
"2015.0","1.0","26.0","26.0","167.0","0.45","0.0","0.0","1.19","0.45","0.54","0.0","0.0","0.0","0.0","25.31","26.4","375.51","187.76","350.2","349.11","0.0","","","","","","","","",""
"2015.0","1.0","27.0","27.0","167.0","0.45","0.0","0.0","1.14","0.45","0.51","0.0","0.0","0.0","0.0","25.82","26.4","375.51","187.76","349.69","349.11","0.0","","","","","","","","",""
"2015.0","1.0","28.0","28.0","167.0","0.44","0.0","0.0","1.45","0.44","0.64","0.0","0.0","0.0","0.0","26.46","26.4","375.51","187.76","349.05","349.11","0.0","","","","","","","","",""
"2015.0","1.0","29.0","29.0","167.0","0.43","0.0","0.0","1.38","0.43","0.6","0.0","0.0","0.0","0.0","26.4","26.4","375.51","187.76","349.11","349.11","0.0","","","","","","","","",""
"2015.0","1.0","30.0","30.0","167.0","0.42","0.0","0.0","1.66","0.42","0.7","0.0","0.0","0.0","0.0","27.1","26.4","375.51","187.76","348.41","349.11","0.0","","","","","","","","",""
"2015.0","1.0","31.0","31.0","167.0","0.41","0.0","0.0","2.85","0.41","1.17","0.0","0.0","0.0","0.0","26.4","26.4","375.51","187.76","349.11","349.11","0.0","","","","","","","","",""
"2015.0","2.0","1.0","32.0","167.0","0.4","0.0","0.0","1.55","0.4","0.63","0.0","0.0","0.0","0.0","27.03","26.4","375.51","187.76","348.49","349.11","0.0","","","","","","","","",""
"2015.0","2.0","2.0","33.0","167.0","0.4","0.0","0.0","1.57","0.4","0.62","0.0","0.0","0.0","0.0","26.4","26.4","375.51","187.76","349.11","349.11","0.0","","","","","","","","",""
"2015.0","2.0","3.0","34.0","167.0","0.39","0.0","0.0","1.67","0.39","0.65","0.0","0.0","0.0","0.0","27.05","26.4","375.51","187.76","348.46","349.11","0.0","","","","","","","","",""
"2015.0","2.0","4.0","35.0","167.0","0.39","0.0","0.0","1.36","0.39","0.53","0.0","0.0","0.0","0.0","26.4","26.4","375.51","187.76","349.11","349.11","0.0","","","","","","","","",""
"2015.0","2.0","5.0","36.0","167.0","0.38","0.0","0.0","1.01","0.38","0.39","0.0","0.0","0.0","0.0","26.79","26.4","375.51","187.76","348.73","349.11","0.0","","","","","","","","",""
"2015.0","2.0","6.0","37.0","167.0","0.38","0.0","0.0","2.21","0.38","0.83","0.0","0.0","0.0","0.0","26.4","26.4","375.51","187.76","349.11","349.11","0.0","","","","","","","","",""
"2015.0","2.0","7.0","38.0","167.0","1.16","0.0","0.0","1.47","1.16","1.71","13.46","13.46","0.0","0.0","14.65","26.4","375.51","187.76","360.87","349.11","0.0","","","","","","","","",""
"2015.0","2.0","8.0","39.0","167.0","1.16","0.0","0.0","1.61","1.16","1.86","11.21","11.21","0.0","0.0","5.3","26.4","375.51","187.76","370.22","349.11","0.0","","","","","","","","",""
