" Daily soil water balance output for Olives in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly Water balance output for Olives at 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","",""
"2014.0","10.0","16.0","289.0","15.0","0.08","0.7","0.0","2.69","0.7","1.88","0.0","0.0","0.0","0.0","150.45","155.45","621.79","310.9","471.34","466.34","0.0","","","","","","",""
"2014.0","10.0","17.0","290.0","15.0","0.08","0.7","0.0","2.49","0.7","1.74","0.0","0.0","0.0","0.0","152.19","155.45","621.79","310.9","469.6","466.34","0.0","","","","","","",""
"2014.0","10.0","18.0","291.0","15.0","0.08","0.7","0.0","2.85","0.7","2.0","0.0","0.0","0.0","0.0","154.19","155.45","621.79","310.9","467.6","466.34","0.0","","","","","","",""
"2014.0","10.0","19.0","292.0","15.0","0.08","0.7","0.0","2.85","0.7","2.0","0.0","0.0","0.0","0.0","0.0","155.45","621.79","310.9","621.79","466.34","156.18","","","","","","",""
"2014.0","10.0","20.0","293.0","15.0","0.08","0.7","0.0","2.16","0.7","1.51","0.0","0.0","0.0","0.0","1.51","155.45","621.79","310.9","620.28","466.34","0.0","","","","","","",""
"2014.0","10.0","21.0","294.0","15.0","0.08","0.7","0.0","2.66","0.7","1.86","0.0","0.0","0.0","0.0","3.37","155.45","621.79","310.9","618.42","466.34","0.0","","","","","","",""
"2014.0","10.0","22.0","295.0","15.0","0.08","0.7","0.0","2.54","0.7","1.78","0.0","0.0","0.0","0.0","5.15","155.45","621.79","310.9","616.64","466.34","0.0","","","","","","",""
"2014.0","10.0","23.0","296.0","15.0","0.08","0.7","0.0","2.49","0.7","1.74","0.0","0.0","0.0","0.0","6.9","155.45","621.79","310.9","614.9","466.34","0.0","","","","","","",""
"2014.0","10.0","24.0","297.0","15.0","0.08","0.7","0.0","2.54","0.7","1.78","0.0","0.0","0.0","0.0","8.67","155.45","621.79","310.9","613.12","466.34","0.0","","","","","","",""
"2014.0","10.0","25.0","298.0","15.0","0.08","0.7","0.0","2.22","0.7","1.55","0.0","0.0","0.0","0.0","10.23","155.45","621.79","310.9","611.57","466.34","0.0","","","","","","",""
"2014.0","10.0","26.0","299.0","15.0","0.08","0.7","0.0","2.66","0.7","1.86","0.87","0.87","0.0","0.0","11.22","155.45","621.79","310.9","610.57","466.34","0.0","","","","","","",""
"2014.0","10.0","27.0","300.0","15.0","0.08","0.7","0.0","2.48","0.7","1.74","0.0","0.0","0.0","0.0","12.96","155.45","621.79","310.9","608.84","466.34","0.0","","","","","","",""
"2014.0","10.0","28.0","301.0","15.0","0.08","0.7","0.0","2.36","0.7","1.65","0.0","0.0","0.0","0.0","14.61","155.45","621.79","310.9","607.19","466.34","0.0","","","","","","",""
"2014.0","10.0","29.0","302.0","15.0","0.08","0.7","0.0","2.44","0.7","1.71","0.0","0.0","0.0","0.0","16.32","155.45","621.79","310.9","605.48","466.34","0.0","","","","","","",""
"2014.0","10.0","30.0","303.0","15.0","0.08","0.7","0.0","2.44","0.7","1.71","0.0","0.0","0.0","0.0","18.02","155.45","621.79","310.9","603.77","466.34","0.0","","","","","","",""
"2014.0","10.0","31.0","304.0","15.0","0.08","0.7","0.0","1.29","0.7","0.9","0.07","0.07","0.0","0.0","18.86","155.45","621.79","310.9","602.94","466.34","0.0","","","","","","",""
"2014.0","11.0","1.0","305.0","15.0","0.08","0.7","0.0","1.83","0.7","1.28","5.22","5.22","0.0","0.0","14.92","155.45","621.79","310.9","606.88","466.34","0.0","","","","","","",""
"2014.0","11.0","2.0","306.0","15.0","0.08","0.7","0.0","2.18","0.7","1.53","0.0","0.0","0.0","0.0","16.44","155.45","621.79","310.9","605.35","466.34","0.0","","","","","","",""
"2014.0","11.0","3.0","307.0","15.0","0.08","0.7","0.0","1.8","0.7","1.26","0.0","0.0","0.0","0.0","17.7","155.45","621.79","310.9","604.09","466.34","0.0","","","","","","",""
"2014.0","11.0","4.0","308.0","15.0","0.08","0.7","0.0","1.75","0.7","1.23","0.0","0.0","0.0","0.0","18.93","155.45","621.79","310.9","602.86","466.34","0.0","","","","","","",""
"2014.0","11.0","5.0","309.0","15.0","0.08","0.7","0.0","1.9","0.7","1.33","0.0","0.0","0.0","0.0","20.26","155.45","621.79","310.9","601.53","466.34","0.0","","","","","","",""
"2014.0","11.0","6.0","310.0","15.0","0.08","0.7","0.0","1.91","0.7","1.34","0.0","0.0","0.0","0.0","21.6","155.45","621.79","310.9","600.2","466.34","0.0","","","","","","",""
"2014.0","11.0","7.0","311.0","15.0","0.08","0.7","0.0","1.94","0.7","1.36","0.0","0.0","0.0","0.0","22.95","155.45","621.79","310.9","598.84","466.34","0.0","","","","","","",""
"2014.0","11.0","8.0","312.0","15.0","0.08","0.7","0.0","1.87","0.7","1.31","0.0","0.0","0.0","0.0","24.26","155.45","621.79","310.9","597.53","466.34","0.0","","","","","","",""
"2014.0","11.0","9.0","313.0","15.0","0.08","0.7","0.0","1.83","0.7","1.28","0.0","0.0","0.0","0.0","25.54","155.45","621.79","310.9","596.25","466.34","0.0","","","","","","",""
"2014.0","11.0","10.0","314.0","15.0","0.08","0.7","0.0","1.84","0.7","1.29","0.0","0.0","0.0","0.0","26.83","155.45","621.79","310.9","594.96","466.34","0.0","","","","","","",""
"2014.0","11.0","11.0","315.0","15.0","0.08","0.7","0.0","1.55","0.7","1.09","0.0","0.0","0.0","0.0","27.92","155.45","621.79","310.9","593.88","466.34","0.0","","","","","","",""
"2014.0","11.0","12.0","316.0","15.0","0.08","0.7","0.0","1.54","0.7","1.08","0.0","0.0","0.0","0.0","28.99","155.45","621.79","310.9","592.8","466.34","0.0","","","","","","",""
"2014.0","11.0","13.0","317.0","15.0","1.18","0.7","0.0","1.07","1.18","1.26","5.34","5.34","0.0","0.0","24.91","155.45","621.79","310.9","596.88","466.34","0.0","","","","","","",""
"2014.0","11.0","14.0","318.0","15.0","1.17","0.7","0.0","1.4","1.17","1.64","0.95","0.95","0.0","0.0","25.6","155.45","621.79","310.9","596.19","466.34","0.0","","","","","","",""
"2014.0","11.0","15.0","319.0","15.0","1.17","0.7","0.0","1.34","1.17","1.57","0.0","0.0","0.0","0.0","27.17","155.45","621.79","310.9","594.62","466.34","0.0","","","","","","",""
"2014.0","11.0","16.0","320.0","15.0","1.16","0.7","0.0","1.94","1.16","2.26","0.07","0.07","0.0","0.0","29.35","155.45","621.79","310.9","592.44","466.34","0.0","","","","","","",""
"2014.0","11.0","17.0","321.0","15.0","1.02","0.7","0.0","1.79","1.02","1.83","0.0","0.0","0.0","0.0","31.18","155.45","621.79","310.9","590.61","466.34","0.0","","","","","","",""
"2014.0","11.0","18.0","322.0","15.0","0.94","0.7","0.0","1.33","0.94","1.25","0.0","0.0","0.0","0.0","32.43","155.45","621.79","310.9","589.36","466.34","0.0","","","","","","",""
"2014.0","11.0","19.0","323.0","15.0","0.89","0.7","0.0","1.09","0.89","0.97","0.59","0.59","0.0","0.0","32.81","155.45","621.79","310.9","588.98","466.34","0.0","","","","","","",""
"2014.0","11.0","20.0","324.0","15.0","1.19","0.7","0.0","0.63","1.19","0.75","2.88","2.88","0.0","0.0","30.68","155.45","621.79","310.9","591.11","466.34","0.0","","","","","","",""
"2014.0","11.0","21.0","325.0","15.0","1.18","0.7","0.0","0.9","1.18","1.07","4.27","4.27","0.0","0.0","27.48","155.45","621.79","310.9","594.31","466.34","0.0","","","","","","",""
"2014.0","11.0","22.0","326.0","15.0","1.18","0.7","0.0","1.25","1.18","1.47","0.9","0.9","0.0","0.0","28.05","155.45","621.79","310.9","593.74","466.34","0.0","","","","","","",""
"2014.0","11.0","23.0","327.0","15.0","1.16","0.7","0.0","1.56","1.16","1.81","3.21","3.21","0.0","0.0","26.64","155.45","621.79","310.9","595.15","466.34","0.0","","","","","","",""
"2014.0","11.0","24.0","328.0","15.0","1.16","0.7","0.0","1.39","1.16","1.61","0.0","0.0","0.0","0.0","28.26","155.45","621.79","310.9","593.53","466.34","0.0","","","","","","",""
"2014.0","11.0","25.0","329.0","15.0","1.16","0.7","0.0","1.25","1.16","1.46","0.0","0.0","0.0","0.0","29.71","155.45","621.79","310.9","592.08","466.34","0.0","","","","","","",""
"2014.0","11.0","26.0","330.0","15.0","1.17","0.7","0.0","1.26","1.17","1.47","0.0","0.0","0.0","0.0","31.18","155.45","621.79","310.9","590.61","466.34","0.0","","","","","","",""
"2014.0","11.0","27.0","331.0","15.0","1.09","0.7","0.0","1.19","1.09","1.3","0.0","0.0","0.0","0.0","32.48","155.45","621.79","310.9","589.31","466.34","0.0","","","","","","",""
"2014.0","11.0","28.0","332.0","15.0","1.01","0.7","0.0","1.14","1.01","1.15","0.0","0.0","0.0","0.0","33.63","155.45","621.79","310.9","588.17","466.34","0.0","","","","","","",""
"2014.0","11.0","29.0","333.0","15.0","0.96","0.7","0.0","0.81","0.96","0.78","0.48","0.48","0.0","0.0","33.92","155.45","621.79","310.9","587.87","466.34","0.0","","","","","","",""
"2014.0","11.0","30.0","334.0","15.0","1.19","0.7","0.0","0.66","1.19","0.79","3.64","3.64","0.0","0.0","31.07","155.45","621.79","310.9","590.72","466.34","0.0","","","","","","",""
"2014.0","12.0","1.0","335.0","15.0","1.18","0.7","0.0","0.96","1.18","1.13","10.55","10.55","0.0","0.0","21.65","155.45","621.79","310.9","600.14","466.34","0.0","","","","","","",""
"2014.0","12.0","2.0","336.0","15.0","1.19","0.7","0.0","0.64","1.19","0.76","10.14","10.14","0.0","0.0","12.28","155.45","621.79","310.9","609.51","466.34","0.0","","","","","","",""
"2014.0","12.0","3.0","337.0","15.0","1.17","0.7","0.0","1.15","1.17","1.35","32.71","13.63","0.0","0.0","0.0","155.45","621.79","310.9","621.79","466.34","0.0","","","","","","",""
"2014.0","12.0","4.0","338.0","15.0","1.18","0.7","0.0","1.1","1.18","1.29","6.73","1.29","0.0","0.0","0.0","155.45","621.79","310.9","621.79","466.34","0.0","","","","","","",""
"2014.0","12.0","5.0","339.0","15.0","1.18","0.7","0.0","0.9","1.18","1.06","0.56","0.56","0.0","0.0","0.5","155.45","621.79","310.9","621.29","466.34","0.0","","","","","","",""
"2014.0","12.0","6.0","340.0","15.0","1.18","0.7","0.0","1.08","1.18","1.27","3.46","1.77","0.0","0.0","0.0","155.45","621.79","310.9","621.79","466.34","0.0","","","","","","",""
"2014.0","12.0","7.0","341.0","15.0","1.18","0.7","0.0","0.73","1.18","0.86","0.14","0.14","0.0","0.0","0.72","155.45","621.79","310.9","621.07","466.34","0.0","","","","","","",""
"2014.0","12.0","8.0","342.0","15.0","1.18","0.7","0.0","0.84","1.18","1.0","0.0","0.0","0.0","0.0","1.72","155.45","621.79","310.9","620.07","466.34","0.0","","","","","","",""
"2014.0","12.0","9.0","343.0","15.0","1.19","0.7","0.0","0.67","1.19","0.8","0.0","0.0","0.0","0.0","2.51","155.45","621.79","310.9","619.28","466.34","0.0","","","","","","",""
"2014.0","12.0","10.0","344.0","15.0","1.19","0.7","0.0","0.91","1.19","1.08","0.0","0.0","0.0","0.0","3.59","155.45","621.79","310.9","618.2","466.34","0.0","","","","","","",""
"2014.0","12.0","11.0","345.0","15.0","1.18","0.7","0.0","1.28","1.18","1.51","0.0","0.0","0.0","0.0","5.11","155.45","621.79","310.9","616.68","466.34","0.0","","","","","","",""
"2014.0","12.0","12.0","346.0","15.0","1.2","0.7","0.0","0.62","1.2","0.74","67.69","5.85","0.0","0.0","0.0","155.45","621.79","310.9","621.79","466.34","0.0","","","","","","",""
"2014.0","12.0","13.0","347.0","15.0","1.19","0.7","0.0","0.72","1.19","0.86","1.17","0.86","0.0","0.0","0.0","155.45","621.79","310.9","621.79","466.34","0.0","","","","","","",""
"2014.0","12.0","14.0","348.0","15.0","1.19","0.7","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","0.93","155.45","621.79","310.9","620.86","466.34","0.0","","","","","","",""
"2014.0","12.0","15.0","349.0","15.0","1.18","0.7","0.0","0.98","1.18","1.16","12.1","2.09","0.0","0.0","0.0","155.45","621.79","310.9","621.79","466.34","0.0","","","","","","",""
"2014.0","12.0","16.0","350.0","15.0","1.17","0.7","0.0","1.22","1.17","1.43","11.08","1.43","0.0","0.0","0.0","155.45","621.79","310.9","621.79","466.34","0.0","","","","","","",""
"2014.0","12.0","17.0","351.0","15.0","1.18","0.7","0.0","0.95","1.18","1.12","11.26","1.12","0.0","0.0","0.0","155.45","621.79","310.9","621.79","466.34","0.0","","","","","","",""
"2014.0","12.0","18.0","352.0","15.0","1.18","0.7","0.0","0.97","1.18","1.15","3.99","1.15","0.0","0.0","0.0","155.45","621.79","310.9","621.79","466.34","0.0","","","","","","",""
"2014.0","12.0","19.0","353.0","15.0","1.18","0.7","0.0","0.84","1.18","0.99","0.0","0.0","0.0","0.0","0.99","155.45","621.79","310.9","620.8","466.34","0.0","","","","","","",""
"2014.0","12.0","20.0","354.0","15.0","1.19","0.7","0.0","0.68","1.19","0.81","9.13","1.81","0.0","0.0","0.0","155.45","621.79","310.9","621.79","466.34","0.0","","","","","","",""
"2014.0","12.0","21.0","355.0","15.0","1.19","0.7","0.0","0.99","1.19","1.17","0.01","0.01","0.0","0.0","1.16","155.45","621.79","310.9","620.63","466.34","0.0","","","","","","",""
"2014.0","12.0","22.0","356.0","15.0","1.19","0.7","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","2.09","155.45","621.79","310.9","619.7","466.34","0.0","","","","","","",""
"2014.0","12.0","23.0","357.0","15.0","1.19","0.7","0.0","0.75","1.19","0.89","0.0","0.0","0.0","0.0","2.98","155.45","621.79","310.9","618.81","466.34","0.0","","","","","","",""
"2014.0","12.0","24.0","358.0","15.0","1.19","0.7","0.0","0.96","1.19","1.14","0.0","0.0","0.0","0.0","4.12","155.45","621.79","310.9","617.67","466.34","0.0","","","","","","",""
"2014.0","12.0","25.0","359.0","15.0","1.14","0.7","0.0","1.94","1.14","2.22","0.81","0.81","0.0","0.0","5.53","155.45","621.79","310.9","616.26","466.34","0.0","","","","","","",""
"2014.0","12.0","26.0","360.0","15.0","1.01","0.7","0.0","1.7","1.01","1.72","0.0","0.0","0.0","0.0","7.24","155.45","621.79","310.9","614.55","466.34","0.0","","","","","","",""
"2014.0","12.0","27.0","361.0","15.0","0.96","0.7","0.0","0.76","0.96","0.73","0.0","0.0","0.0","0.0","7.98","155.45","621.79","310.9","613.81","466.34","0.0","","","","","","",""
"2014.0","12.0","28.0","362.0","15.0","0.93","0.7","0.0","0.75","0.93","0.69","0.0","0.0","0.0","0.0","8.67","155.45","621.79","310.9","613.12","466.34","0.0","","","","","","",""
"2014.0","12.0","29.0","363.0","15.0","0.9","0.7","0.0","0.55","0.9","0.49","0.0","0.0","0.0","0.0","9.17","155.45","621.79","310.9","612.63","466.34","0.0","","","","","","",""
"2014.0","12.0","30.0","364.0","15.0","0.8","0.7","0.0","2.45","0.8","1.97","0.0","0.0","0.0","0.0","11.13","155.45","621.79","310.9","610.66","466.34","0.0","","","","","","",""
"2014.0","12.0","31.0","365.0","15.0","0.73","0.7","0.0","2.6","0.73","1.89","0.0","0.0","0.0","0.0","13.03","155.45","621.79","310.9","608.76","466.34","0.0","","","","","","",""
"2015.0","1.0","1.0","1.0","15.0","0.71","0.7","0.0","0.96","0.71","0.68","0.0","0.0","0.0","0.0","13.71","124.06","621.79","310.9","608.09","497.73","0.0","","","","","","",""
"2015.0","1.0","2.0","2.0","15.0","0.69","0.7","0.0","0.89","0.7","0.62","0.0","0.0","0.0","0.0","14.33","124.06","621.79","310.9","607.46","497.73","0.0","","","","","","",""
"2015.0","1.0","3.0","3.0","15.0","0.67","0.7","0.0","0.88","0.7","0.62","0.0","0.0","0.0","0.0","14.95","124.06","621.79","310.9","606.85","497.73","0.0","","","","","","",""
"2015.0","1.0","4.0","4.0","15.0","0.65","0.7","0.0","0.99","0.7","0.69","0.0","0.0","0.0","0.0","15.64","124.06","621.79","310.9","606.15","497.73","0.0","","","","","","",""
"2015.0","1.0","5.0","5.0","15.0","0.64","0.7","0.0","0.96","0.7","0.67","0.0","0.0","0.0","0.0","16.31","124.06","621.79","310.9","605.48","497.73","0.0","","","","","","",""
"2015.0","1.0","6.0","6.0","15.0","0.62","0.7","0.0","1.23","0.7","0.86","0.0","0.0","0.0","0.0","17.17","124.06","621.79","310.9","604.62","497.73","0.0","","","","","","",""
"2015.0","1.0","7.0","7.0","15.0","0.6","0.7","0.0","1.21","0.7","0.85","0.0","0.0","0.0","0.0","18.02","124.06","621.79","310.9","603.77","497.73","0.0","","","","","","",""
"2015.0","1.0","8.0","8.0","15.0","0.59","0.7","0.0","1.01","0.7","0.71","0.0","0.0","0.0","0.0","18.73","124.06","621.79","310.9","603.07","497.73","0.0","","","","","","",""
"2015.0","1.0","9.0","9.0","15.0","0.58","0.7","0.0","0.89","0.7","0.62","0.0","0.0","0.0","0.0","19.35","124.06","621.79","310.9","602.44","497.73","0.0","","","","","","",""
"2015.0","1.0","10.0","10.0","15.0","0.56","0.7","0.0","1.01","0.7","0.71","0.0","0.0","0.0","0.0","20.06","124.06","621.79","310.9","601.74","497.73","0.0","","","","","","",""
"2015.0","1.0","11.0","11.0","15.0","0.56","0.7","0.0","0.85","0.7","0.6","0.0","0.0","0.0","0.0","20.65","124.06","621.79","310.9","601.14","497.73","0.0","","","","","","",""
"2015.0","1.0","12.0","12.0","15.0","0.54","0.7","0.0","0.99","0.7","0.69","0.0","0.0","0.0","0.0","21.34","124.06","621.79","310.9","600.45","497.73","0.0","","","","","","",""
"2015.0","1.0","13.0","13.0","15.0","0.53","0.7","0.0","1.06","0.7","0.74","0.0","0.0","0.0","0.0","22.09","124.06","621.79","310.9","599.71","497.73","0.0","","","","","","",""
"2015.0","1.0","14.0","14.0","15.0","0.53","0.7","0.0","0.61","0.7","0.43","0.0","0.0","0.0","0.0","22.51","124.06","621.79","310.9","599.28","497.73","0.0","","","","","","",""
"2015.0","1.0","15.0","15.0","15.0","0.52","0.7","0.0","0.65","0.7","0.46","0.0","0.0","0.0","0.0","22.97","124.06","621.79","310.9","598.82","497.73","0.0","","","","","","",""
"2015.0","1.0","16.0","16.0","15.0","0.52","0.7","0.0","0.57","0.7","0.4","0.0","0.0","0.0","0.0","23.37","124.06","621.79","310.9","598.43","497.73","0.0","","","","","","",""
"2015.0","1.0","17.0","17.0","15.0","0.51","0.7","0.0","0.51","0.7","0.36","0.0","0.0","0.0","0.0","23.72","124.06","621.79","310.9","598.07","497.73","0.0","","","","","","",""
"2015.0","1.0","18.0","18.0","15.0","0.51","0.7","0.0","0.61","0.7","0.43","0.0","0.0","0.0","0.0","24.15","124.06","621.79","310.9","597.64","497.73","0.0","","","","","","",""
"2015.0","1.0","19.0","19.0","15.0","0.5","0.7","0.0","0.58","0.7","0.41","0.17","0.17","0.0","0.0","24.39","124.06","621.79","310.9","597.41","497.73","0.0","","","","","","",""
"2015.0","1.0","20.0","20.0","15.0","0.5","0.7","0.0","0.8","0.7","0.56","0.0","0.0","0.0","0.0","24.95","124.06","621.79","310.9","596.85","497.73","0.0","","","","","","",""
"2015.0","1.0","21.0","21.0","15.0","0.49","0.7","0.0","1.03","0.7","0.72","0.0","0.0","0.0","0.0","25.67","124.06","621.79","310.9","596.12","497.73","0.0","","","","","","",""
"2015.0","1.0","22.0","22.0","15.0","0.49","0.7","0.0","0.69","0.7","0.48","0.0","0.0","0.0","0.0","26.15","124.06","621.79","310.9","595.64","497.73","0.0","","","","","","",""
"2015.0","1.0","23.0","23.0","15.0","0.48","0.7","0.0","0.99","0.7","0.69","0.0","0.0","0.0","0.0","26.84","124.06","621.79","310.9","594.95","497.73","0.0","","","","","","",""
"2015.0","1.0","24.0","24.0","15.0","0.47","0.7","0.0","0.91","0.7","0.64","0.0","0.0","0.0","0.0","27.48","124.06","621.79","310.9","594.31","497.73","0.0","","","","","","",""
"2015.0","1.0","25.0","25.0","15.0","0.47","0.7","0.0","1.02","0.7","0.71","0.0","0.0","0.0","0.0","28.19","124.06","621.79","310.9","593.6","497.73","0.0","","","","","","",""
"2015.0","1.0","26.0","26.0","15.0","0.46","0.7","0.0","1.21","0.7","0.85","0.0","0.0","0.0","0.0","29.04","124.06","621.79","310.9","592.75","497.73","0.0","","","","","","",""
"2015.0","1.0","27.0","27.0","15.0","0.45","0.7","0.0","1.16","0.7","0.81","0.0","0.0","0.0","0.0","29.85","124.06","621.79","310.9","591.94","497.73","0.0","","","","","","",""
"2015.0","1.0","28.0","28.0","15.0","0.44","0.7","0.0","1.45","0.7","1.02","0.0","0.0","0.0","0.0","30.87","124.06","621.79","310.9","590.92","497.73","0.0","","","","","","",""
"2015.0","1.0","29.0","29.0","15.0","0.44","0.7","0.0","1.38","0.7","0.97","0.0","0.0","0.0","0.0","31.83","124.06","621.79","310.9","589.96","497.73","0.0","","","","","","",""
"2015.0","1.0","30.0","30.0","15.0","0.43","0.7","0.0","1.73","0.7","1.21","0.0","0.0","0.0","0.0","33.05","124.06","621.79","310.9","588.75","497.73","0.0","","","","","","",""
"2015.0","1.0","31.0","31.0","15.0","0.41","0.7","0.0","3.06","0.7","2.14","0.0","0.0","0.0","0.0","35.19","124.06","621.79","310.9","586.6","497.73","0.0","","","","","","",""
"2015.0","2.0","1.0","32.0","15.0","0.41","0.7","0.0","1.51","0.7","1.06","0.0","0.0","0.0","0.0","36.24","124.06","621.79","310.9","585.55","497.73","0.0","","","","","","",""
"2015.0","2.0","2.0","33.0","15.0","0.4","0.7","0.0","1.52","0.7","1.06","0.0","0.0","0.0","0.0","37.31","124.06","621.79","310.9","584.48","497.73","0.0","","","","","","",""
"2015.0","2.0","3.0","34.0","15.0","0.39","0.7","0.0","1.6","0.7","1.12","0.0","0.0","0.0","0.0","38.43","124.06","621.79","310.9","583.36","497.73","0.0","","","","","","",""
"2015.0","2.0","4.0","35.0","15.0","0.39","0.7","0.0","1.34","0.7","0.94","0.0","0.0","0.0","0.0","39.37","124.06","621.79","310.9","582.43","497.73","0.0","","","","","","",""
"2015.0","2.0","5.0","36.0","15.0","0.38","0.7","0.0","1.02","0.7","0.71","0.0","0.0","0.0","0.0","40.08","124.06","621.79","310.9","581.71","497.73","0.0","","","","","","",""
"2015.0","2.0","6.0","37.0","15.0","1.13","0.7","0.0","2.15","1.13","2.44","6.0","6.0","0.0","0.0","36.52","124.06","621.79","310.9","585.27","497.73","0.0","","","","","","",""
"2015.0","2.0","7.0","38.0","15.0","1.16","0.7","0.0","1.45","1.16","1.68","12.31","12.31","0.0","0.0","25.89","124.06","621.79","310.9","595.9","497.73","0.0","","","","","","",""
"2015.0","2.0","8.0","39.0","15.0","1.16","0.7","0.0","1.48","1.16","1.72","13.84","13.84","0.0","0.0","13.77","124.06","621.79","310.9","608.02","497.73","0.0","","","","","","",""
"2015.0","2.0","9.0","40.0","15.0","1.14","0.7","0.0","2.07","1.14","2.35","11.18","11.18","0.0","0.0","4.95","124.06","621.79","310.9","616.85","497.73","0.0","","","","","","",""
"2015.0","2.0","10.0","41.0","15.0","1.14","0.7","0.0","1.86","1.14","2.12","0.0","0.0","0.0","0.0","7.07","124.06","621.79","310.9","614.72","497.73","0.0","","","","","","",""
"2015.0","2.0","11.0","42.0","15.0","1.15","0.7","0.0","1.69","1.15","1.94","0.0","0.0","0.0","0.0","9.0","124.06","621.79","310.9","612.79","497.73","0.0","","","","","","",""
"2015.0","2.0","12.0","43.0","15.0","1.01","0.7","0.0","2.01","1.01","2.02","0.0","0.0","0.0","0.0","11.03","124.06","621.79","310.9","610.77","497.73","0.0","","","","","","",""
