" Daily soil water balance output for Urban Landscape in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Urban Landscape in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"2014.0","10.0","16.0","289.0","225.0","0.3","0.8","0.0","2.65","0.8","2.12","0.27","0.27","0.0","0.0","14.1","30.61","128.0","64.0","113.9","97.39","0.0","","","","","","",""
"2014.0","10.0","17.0","290.0","225.0","0.29","0.8","0.0","2.47","0.8","1.98","0.0","0.0","0.0","0.0","16.08","30.61","128.0","64.0","111.92","97.39","0.0","","","","","","",""
"2014.0","10.0","18.0","291.0","225.0","0.29","0.8","0.0","2.85","0.8","2.28","0.0","0.0","0.0","0.0","18.36","30.61","128.0","64.0","109.64","97.39","0.0","","","","","","",""
"2014.0","10.0","19.0","292.0","225.0","0.28","0.8","0.0","2.92","0.8","2.34","0.0","0.0","0.0","0.0","20.69","30.61","128.0","64.0","107.31","97.39","0.0","","","","","","",""
"2014.0","10.0","20.0","293.0","225.0","0.28","0.8","0.0","2.24","0.8","1.79","0.0","0.0","0.0","0.0","22.49","30.61","128.0","64.0","105.51","97.39","0.0","","","","","","",""
"2014.0","10.0","21.0","294.0","225.0","0.28","0.8","0.0","2.61","0.8","2.09","0.0","0.0","0.0","0.0","24.57","30.61","128.0","64.0","103.43","97.39","0.0","","","","","","",""
"2014.0","10.0","22.0","295.0","225.0","0.27","0.8","0.0","2.54","0.8","2.03","0.0","0.0","0.0","0.0","26.61","30.61","128.0","64.0","101.39","97.39","0.0","","","","","","",""
"2014.0","10.0","23.0","296.0","225.0","0.27","0.8","0.0","2.44","0.8","1.95","0.0","0.0","0.0","0.0","28.56","30.61","128.0","64.0","99.44","97.39","0.0","","","","","","",""
"2014.0","10.0","24.0","297.0","225.0","0.27","0.8","0.0","2.57","0.8","2.06","0.0","0.0","0.0","0.0","0.0","30.61","128.0","64.0","128.0","97.39","30.61","","","","","","",""
"2014.0","10.0","25.0","298.0","225.0","0.26","0.8","0.0","2.26","0.8","1.81","0.0","0.0","0.0","0.0","1.81","30.61","128.0","64.0","126.19","97.39","0.0","","","","","","",""
"2014.0","10.0","26.0","299.0","225.0","0.26","0.8","0.0","2.62","0.8","2.1","1.47","1.47","0.0","0.0","2.43","30.61","128.0","64.0","125.57","97.39","0.0","","","","","","",""
"2014.0","10.0","27.0","300.0","225.0","0.26","0.8","0.0","2.46","0.8","1.97","0.0","0.0","0.0","0.0","4.4","30.61","128.0","64.0","123.6","97.39","0.0","","","","","","",""
"2014.0","10.0","28.0","301.0","225.0","0.26","0.8","0.0","2.33","0.8","1.86","0.0","0.0","0.0","0.0","6.27","30.61","128.0","64.0","121.73","97.39","0.0","","","","","","",""
"2014.0","10.0","29.0","302.0","225.0","0.25","0.8","0.0","2.38","0.8","1.9","0.0","0.0","0.0","0.0","8.17","30.61","128.0","64.0","119.83","97.39","0.0","","","","","","",""
"2014.0","10.0","30.0","303.0","225.0","0.25","0.8","0.0","2.46","0.8","1.97","0.0","0.0","0.0","0.0","10.14","30.61","128.0","64.0","117.86","97.39","0.0","","","","","","",""
"2014.0","10.0","31.0","304.0","225.0","0.25","0.8","0.0","1.19","0.8","0.95","0.0","0.0","0.0","0.0","11.09","30.61","128.0","64.0","116.91","97.39","0.0","","","","","","",""
"2014.0","11.0","1.0","305.0","225.0","1.15","0.8","0.0","1.87","1.15","2.14","5.89","5.89","0.0","0.0","7.34","30.61","128.0","64.0","120.66","97.39","0.0","","","","","","",""
"2014.0","11.0","2.0","306.0","225.0","1.14","0.8","0.0","2.21","1.14","2.52","0.0","0.0","0.0","0.0","9.86","30.61","128.0","64.0","118.14","97.39","0.0","","","","","","",""
"2014.0","11.0","3.0","307.0","225.0","1.14","0.8","0.0","1.8","1.14","2.05","0.0","0.0","0.0","0.0","11.91","30.61","128.0","64.0","116.09","97.39","0.0","","","","","","",""
"2014.0","11.0","4.0","308.0","225.0","1.01","0.8","0.0","1.74","1.01","1.75","0.0","0.0","0.0","0.0","13.67","30.61","128.0","64.0","114.33","97.39","0.0","","","","","","",""
"2014.0","11.0","5.0","309.0","225.0","0.91","0.8","0.0","1.79","0.91","1.62","0.0","0.0","0.0","0.0","15.29","30.61","128.0","64.0","112.71","97.39","0.0","","","","","","",""
"2014.0","11.0","6.0","310.0","225.0","0.83","0.8","0.0","1.92","0.83","1.59","0.0","0.0","0.0","0.0","16.87","30.61","128.0","64.0","111.13","97.39","0.0","","","","","","",""
"2014.0","11.0","7.0","311.0","225.0","0.76","0.8","0.0","1.96","0.8","1.57","0.0","0.0","0.0","0.0","18.44","30.61","128.0","64.0","109.56","97.39","0.0","","","","","","",""
"2014.0","11.0","8.0","312.0","225.0","0.71","0.8","0.0","1.88","0.8","1.5","0.0","0.0","0.0","0.0","19.95","30.61","128.0","64.0","108.05","97.39","0.0","","","","","","",""
"2014.0","11.0","9.0","313.0","225.0","0.67","0.8","0.0","1.84","0.8","1.47","0.0","0.0","0.0","0.0","21.42","30.61","128.0","64.0","106.58","97.39","0.0","","","","","","",""
"2014.0","11.0","10.0","314.0","225.0","0.64","0.8","0.0","1.97","0.8","1.58","0.0","0.0","0.0","0.0","22.99","30.61","128.0","64.0","105.01","97.39","0.0","","","","","","",""
"2014.0","11.0","11.0","315.0","225.0","0.61","0.8","0.0","1.56","0.8","1.25","0.0","0.0","0.0","0.0","24.24","30.61","128.0","64.0","103.76","97.39","0.0","","","","","","",""
"2014.0","11.0","12.0","316.0","225.0","0.59","0.8","0.0","1.44","0.8","1.15","0.0","0.0","0.0","0.0","25.39","30.61","128.0","64.0","102.61","97.39","0.0","","","","","","",""
"2014.0","11.0","13.0","317.0","225.0","1.18","0.8","0.0","0.99","1.18","1.17","2.97","2.97","0.0","0.0","23.59","30.61","128.0","64.0","104.41","97.39","0.0","","","","","","",""
"2014.0","11.0","14.0","318.0","225.0","1.17","0.8","0.0","1.32","1.17","1.54","1.54","1.54","0.0","0.0","23.59","30.61","128.0","64.0","104.41","97.39","0.0","","","","","","",""
"2014.0","11.0","15.0","319.0","225.0","1.17","0.8","0.0","1.29","1.17","1.51","0.0","0.0","0.0","0.0","25.1","30.61","128.0","64.0","102.9","97.39","0.0","","","","","","",""
"2014.0","11.0","16.0","320.0","225.0","1.16","0.8","0.0","2.03","1.16","2.35","0.0","0.0","0.0","0.0","27.45","30.61","128.0","64.0","100.55","97.39","0.0","","","","","","",""
"2014.0","11.0","17.0","321.0","225.0","1.1","0.8","0.0","1.86","1.1","2.04","0.0","0.0","0.0","0.0","29.49","30.61","128.0","64.0","98.51","97.39","0.0","","","","","","",""
"2014.0","11.0","18.0","322.0","225.0","1.0","0.8","0.0","1.39","1.0","1.38","0.0","0.0","0.0","0.0","0.0","30.61","128.0","64.0","128.0","97.39","30.87","","","","","","",""
"2014.0","11.0","19.0","323.0","225.0","0.94","0.8","0.0","0.96","0.94","0.9","0.11","0.11","0.0","0.0","0.79","30.61","128.0","64.0","127.21","97.39","0.0","","","","","","",""
"2014.0","11.0","20.0","324.0","225.0","1.2","0.8","0.0","0.62","1.2","0.74","3.18","1.54","0.0","0.0","0.0","30.61","128.0","64.0","128.0","97.39","0.0","","","","","","",""
"2014.0","11.0","21.0","325.0","225.0","1.19","0.8","0.0","0.8","1.19","0.95","4.75","0.95","0.0","0.0","0.0","30.61","128.0","64.0","128.0","97.39","0.0","","","","","","",""
"2014.0","11.0","22.0","326.0","225.0","1.18","0.8","0.0","1.2","1.18","1.42","0.13","0.13","0.0","0.0","1.29","30.61","128.0","64.0","126.71","97.39","0.0","","","","","","",""
"2014.0","11.0","23.0","327.0","225.0","1.16","0.8","0.0","1.49","1.16","1.73","2.18","2.18","0.0","0.0","0.83","30.61","128.0","64.0","127.17","97.39","0.0","","","","","","",""
"2014.0","11.0","24.0","328.0","225.0","1.16","0.8","0.0","1.37","1.16","1.59","0.0","0.0","0.0","0.0","2.43","30.61","128.0","64.0","125.57","97.39","0.0","","","","","","",""
"2014.0","11.0","25.0","329.0","225.0","1.17","0.8","0.0","1.21","1.17","1.41","0.0","0.0","0.0","0.0","3.84","30.61","128.0","64.0","124.16","97.39","0.0","","","","","","",""
"2014.0","11.0","26.0","330.0","225.0","1.17","0.8","0.0","1.17","1.17","1.37","0.0","0.0","0.0","0.0","5.2","30.61","128.0","64.0","122.8","97.39","0.0","","","","","","",""
"2014.0","11.0","27.0","331.0","225.0","1.11","0.8","0.0","1.16","1.11","1.29","0.0","0.0","0.0","0.0","6.49","30.61","128.0","64.0","121.51","97.39","0.0","","","","","","",""
"2014.0","11.0","28.0","332.0","225.0","1.03","0.8","0.0","1.1","1.03","1.13","0.0","0.0","0.0","0.0","7.62","30.61","128.0","64.0","120.38","97.39","0.0","","","","","","",""
"2014.0","11.0","29.0","333.0","225.0","1.19","0.8","0.0","0.85","1.19","1.01","2.34","2.34","0.0","0.0","6.29","30.61","128.0","64.0","121.71","97.39","0.0","","","","","","",""
"2014.0","11.0","30.0","334.0","225.0","1.19","0.8","0.0","0.66","1.19","0.79","4.36","4.36","0.0","0.0","2.72","30.61","128.0","64.0","125.28","97.39","0.0","","","","","","",""
"2014.0","12.0","1.0","335.0","225.0","1.18","0.8","0.0","1.0","1.18","1.18","4.73","3.9","0.0","0.0","0.0","30.61","128.0","64.0","128.0","97.39","0.0","","","","","","",""
"2014.0","12.0","2.0","336.0","225.0","1.19","0.8","0.0","0.66","1.19","0.79","1.16","0.79","0.0","0.0","0.0","30.61","128.0","64.0","128.0","97.39","0.0","","","","","","",""
"2014.0","12.0","3.0","337.0","225.0","1.18","0.8","0.0","1.08","1.18","1.27","42.69","1.27","0.0","0.0","0.0","30.61","128.0","64.0","128.0","97.39","0.0","","","","","","",""
"2014.0","12.0","4.0","338.0","225.0","1.18","0.8","0.0","1.07","1.18","1.26","18.3","1.26","0.0","0.0","0.0","30.61","128.0","64.0","128.0","97.39","0.0","","","","","","",""
"2014.0","12.0","5.0","339.0","225.0","1.18","0.8","0.0","0.91","1.18","1.07","0.5","0.5","0.0","0.0","0.57","32.0","128.0","64.0","127.43","96.0","0.0","","","","","","",""
"2014.0","12.0","6.0","340.0","225.0","1.18","0.8","0.0","1.07","1.18","1.26","2.74","1.83","0.0","0.0","0.0","32.0","128.0","64.0","128.0","96.0","0.0","","","","","","",""
"2014.0","12.0","7.0","341.0","225.0","1.18","0.8","0.0","0.76","1.18","0.9","0.57","0.57","0.0","0.0","0.33","32.0","128.0","64.0","127.67","96.0","0.0","","","","","","",""
"2014.0","12.0","8.0","342.0","225.0","1.18","0.8","0.0","0.8","1.18","0.95","0.0","0.0","0.0","0.0","1.28","32.0","128.0","64.0","126.72","96.0","0.0","","","","","","",""
"2014.0","12.0","9.0","343.0","225.0","1.19","0.8","0.0","0.66","1.19","0.78","0.0","0.0","0.0","0.0","2.06","32.0","128.0","64.0","125.94","96.0","0.0","","","","","","",""
"2014.0","12.0","10.0","344.0","225.0","1.19","0.8","0.0","0.91","1.19","1.08","0.0","0.0","0.0","0.0","3.14","32.0","128.0","64.0","124.86","96.0","0.0","","","","","","",""
"2014.0","12.0","11.0","345.0","225.0","1.18","0.8","0.0","1.15","1.18","1.36","0.21","0.21","0.0","0.0","4.29","32.0","128.0","64.0","123.71","96.0","0.0","","","","","","",""
"2014.0","12.0","12.0","346.0","225.0","1.2","0.8","0.0","0.6","1.2","0.72","72.49","5.01","0.0","0.0","0.0","32.0","128.0","64.0","128.0","96.0","0.0","","","","","","",""
"2014.0","12.0","13.0","347.0","225.0","1.19","0.8","0.0","0.69","1.19","0.82","1.59","0.82","0.0","0.0","0.0","32.0","128.0","64.0","128.0","96.0","0.0","","","","","","",""
"2014.0","12.0","14.0","348.0","225.0","1.19","0.8","0.0","0.71","1.19","0.85","0.0","0.0","0.0","0.0","0.85","32.0","128.0","64.0","127.15","96.0","0.0","","","","","","",""
"2014.0","12.0","15.0","349.0","225.0","1.18","0.8","0.0","0.89","1.18","1.05","6.89","1.9","0.0","0.0","0.0","32.0","128.0","64.0","128.0","96.0","0.0","","","","","","",""
"2014.0","12.0","16.0","350.0","225.0","1.17","0.8","0.0","1.18","1.17","1.38","9.15","1.38","0.0","0.0","0.0","32.0","128.0","64.0","128.0","96.0","0.0","","","","","","",""
"2014.0","12.0","17.0","351.0","225.0","1.18","0.8","0.0","0.96","1.18","1.13","11.33","1.13","0.0","0.0","0.0","32.0","128.0","64.0","128.0","96.0","0.0","","","","","","",""
"2014.0","12.0","18.0","352.0","225.0","1.18","0.8","0.0","0.91","1.18","1.08","3.87","1.08","0.0","0.0","0.0","32.0","128.0","64.0","128.0","96.0","0.0","","","","","","",""
"2014.0","12.0","19.0","353.0","225.0","1.19","0.8","0.0","0.81","1.19","0.96","0.01","0.01","0.0","0.0","0.95","32.0","128.0","64.0","127.05","96.0","0.0","","","","","","",""
"2014.0","12.0","20.0","354.0","225.0","1.19","0.8","0.0","0.64","1.19","0.76","14.79","1.71","0.0","0.0","0.0","32.0","128.0","64.0","128.0","96.0","0.0","","","","","","",""
"2014.0","12.0","21.0","355.0","225.0","1.19","0.8","0.0","0.97","1.19","1.15","0.0","0.0","0.0","0.0","1.15","32.0","128.0","64.0","126.85","96.0","0.0","","","","","","",""
"2014.0","12.0","22.0","356.0","225.0","1.19","0.8","0.0","0.79","1.19","0.94","0.0","0.0","0.0","0.0","2.09","32.0","128.0","64.0","125.91","96.0","0.0","","","","","","",""
"2014.0","12.0","23.0","357.0","225.0","1.19","0.8","0.0","0.72","1.19","0.86","0.0","0.0","0.0","0.0","2.95","32.0","128.0","64.0","125.05","96.0","0.0","","","","","","",""
"2014.0","12.0","24.0","358.0","225.0","1.19","0.8","0.0","0.99","1.19","1.18","0.0","0.0","0.0","0.0","4.12","32.0","128.0","64.0","123.88","96.0","0.0","","","","","","",""
"2014.0","12.0","25.0","359.0","225.0","1.15","0.8","0.0","1.88","1.15","2.17","0.78","0.78","0.0","0.0","5.51","32.0","128.0","64.0","122.49","96.0","0.0","","","","","","",""
"2014.0","12.0","26.0","360.0","225.0","1.0","0.8","0.0","1.89","1.0","1.9","0.0","0.0","0.0","0.0","7.41","32.0","128.0","64.0","120.59","96.0","0.0","","","","","","",""
"2014.0","12.0","27.0","361.0","225.0","0.96","0.8","0.0","0.76","0.96","0.73","0.0","0.0","0.0","0.0","8.14","32.0","128.0","64.0","119.86","96.0","0.0","","","","","","",""
"2014.0","12.0","28.0","362.0","225.0","0.92","0.8","0.0","0.74","0.92","0.68","0.0","0.0","0.0","0.0","8.82","32.0","128.0","64.0","119.18","96.0","0.0","","","","","","",""
"2014.0","12.0","29.0","363.0","225.0","0.9","0.8","0.0","0.56","0.9","0.5","0.0","0.0","0.0","0.0","9.32","32.0","128.0","64.0","118.68","96.0","0.0","","","","","","",""
"2014.0","12.0","30.0","364.0","225.0","0.8","0.8","0.0","2.49","0.8","1.99","0.0","0.0","0.0","0.0","11.31","32.0","128.0","64.0","116.69","96.0","0.0","","","","","","",""
"2014.0","12.0","31.0","365.0","225.0","0.72","0.8","0.0","2.68","0.8","2.14","0.0","0.0","0.0","0.0","13.46","32.0","128.0","64.0","114.54","96.0","0.0","","","","","","",""
"2015.0","1.0","1.0","1.0","225.0","0.7","0.8","0.0","0.88","0.8","0.7","0.0","0.0","0.0","0.0","14.16","31.47","128.0","64.0","113.84","96.53","0.0","","","","","","",""
"2015.0","1.0","2.0","2.0","225.0","0.69","0.8","0.0","0.86","0.8","0.69","0.0","0.0","0.0","0.0","14.85","31.47","128.0","64.0","113.15","96.53","0.0","","","","","","",""
"2015.0","1.0","3.0","3.0","225.0","0.67","0.8","0.0","0.85","0.8","0.68","0.0","0.0","0.0","0.0","15.53","31.47","128.0","64.0","112.47","96.53","0.0","","","","","","",""
"2015.0","1.0","4.0","4.0","225.0","0.65","0.8","0.0","0.96","0.8","0.77","0.0","0.0","0.0","0.0","16.3","31.47","128.0","64.0","111.7","96.53","0.0","","","","","","",""
"2015.0","1.0","5.0","5.0","225.0","0.64","0.8","0.0","0.87","0.8","0.7","0.0","0.0","0.0","0.0","16.99","31.47","128.0","64.0","111.01","96.53","0.0","","","","","","",""
"2015.0","1.0","6.0","6.0","225.0","0.62","0.8","0.0","1.17","0.8","0.94","0.0","0.0","0.0","0.0","17.93","31.47","128.0","64.0","110.07","96.53","0.0","","","","","","",""
"2015.0","1.0","7.0","7.0","225.0","0.6","0.8","0.0","1.17","0.8","0.94","0.0","0.0","0.0","0.0","18.87","31.47","128.0","64.0","109.13","96.53","0.0","","","","","","",""
"2015.0","1.0","8.0","8.0","225.0","0.59","0.8","0.0","1.0","0.8","0.8","0.0","0.0","0.0","0.0","19.67","31.47","128.0","64.0","108.33","96.53","0.0","","","","","","",""
"2015.0","1.0","9.0","9.0","225.0","0.58","0.8","0.0","0.87","0.8","0.7","0.0","0.0","0.0","0.0","20.36","31.47","128.0","64.0","107.64","96.53","0.0","","","","","","",""
"2015.0","1.0","10.0","10.0","225.0","0.57","0.8","0.0","0.96","0.8","0.77","0.0","0.0","0.0","0.0","21.13","31.47","128.0","64.0","106.87","96.53","0.0","","","","","","",""
"2015.0","1.0","11.0","11.0","225.0","0.56","0.8","0.0","0.88","0.8","0.7","0.0","0.0","0.0","0.0","21.83","31.47","128.0","64.0","106.17","96.53","0.0","","","","","","",""
"2015.0","1.0","12.0","12.0","225.0","0.55","0.8","0.0","1.05","0.8","0.84","0.0","0.0","0.0","0.0","22.67","31.47","128.0","64.0","105.33","96.53","0.0","","","","","","",""
"2015.0","1.0","13.0","13.0","225.0","0.53","0.8","0.0","1.18","0.8","0.94","0.0","0.0","0.0","0.0","23.62","31.47","128.0","64.0","104.38","96.53","0.0","","","","","","",""
"2015.0","1.0","14.0","14.0","225.0","0.53","0.8","0.0","0.69","0.8","0.55","0.0","0.0","0.0","0.0","24.17","31.47","128.0","64.0","103.83","96.53","0.0","","","","","","",""
"2015.0","1.0","15.0","15.0","225.0","0.52","0.8","0.0","0.69","0.8","0.55","0.0","0.0","0.0","0.0","24.72","31.47","128.0","64.0","103.28","96.53","0.0","","","","","","",""
"2015.0","1.0","16.0","16.0","225.0","0.52","0.8","0.0","0.57","0.8","0.46","0.0","0.0","0.0","0.0","25.18","31.47","128.0","64.0","102.82","96.53","0.0","","","","","","",""
"2015.0","1.0","17.0","17.0","225.0","0.51","0.8","0.0","0.56","0.8","0.45","0.01","0.01","0.0","0.0","25.62","31.47","128.0","64.0","102.38","96.53","0.0","","","","","","",""
"2015.0","1.0","18.0","18.0","225.0","0.51","0.8","0.0","0.61","0.8","0.49","0.0","0.0","0.0","0.0","26.1","31.47","128.0","64.0","101.9","96.53","0.0","","","","","","",""
"2015.0","1.0","19.0","19.0","225.0","0.5","0.8","0.0","0.7","0.8","0.56","0.0","0.0","0.0","0.0","26.66","31.47","128.0","64.0","101.34","96.53","0.0","","","","","","",""
"2015.0","1.0","20.0","20.0","225.0","0.5","0.8","0.0","0.79","0.8","0.63","0.0","0.0","0.0","0.0","27.3","31.47","128.0","64.0","100.7","96.53","0.0","","","","","","",""
"2015.0","1.0","21.0","21.0","225.0","0.49","0.8","0.0","0.98","0.8","0.78","0.0","0.0","0.0","0.0","28.08","31.47","128.0","64.0","99.92","96.53","0.0","","","","","","",""
"2015.0","1.0","22.0","22.0","225.0","0.48","0.8","0.0","0.73","0.8","0.58","0.0","0.0","0.0","0.0","28.66","31.47","128.0","64.0","99.34","96.53","0.0","","","","","","",""
"2015.0","1.0","23.0","23.0","225.0","0.48","0.8","0.0","0.98","0.8","0.78","0.0","0.0","0.0","0.0","29.45","31.47","128.0","64.0","98.55","96.53","0.0","","","","","","",""
"2015.0","1.0","24.0","24.0","225.0","0.47","0.8","0.0","0.94","0.8","0.75","0.0","0.0","0.0","0.0","30.2","31.47","128.0","64.0","97.8","96.53","0.0","","","","","","",""
"2015.0","1.0","25.0","25.0","225.0","0.46","0.8","0.0","1.02","0.8","0.82","0.0","0.0","0.0","0.0","31.02","31.47","128.0","64.0","96.98","96.53","0.0","","","","","","",""
"2015.0","1.0","26.0","26.0","225.0","0.46","0.8","0.0","1.28","0.8","1.02","0.0","0.0","0.0","0.0","0.0","31.47","128.0","64.0","128.0","96.53","32.04","","","","","","",""
"2015.0","1.0","27.0","27.0","225.0","0.45","0.8","0.0","1.12","0.8","0.9","0.0","0.0","0.0","0.0","0.9","31.47","128.0","64.0","127.1","96.53","0.0","","","","","","",""
"2015.0","1.0","28.0","28.0","225.0","0.44","0.8","0.0","1.53","0.8","1.22","0.0","0.0","0.0","0.0","2.12","31.47","128.0","64.0","125.88","96.53","0.0","","","","","","",""
"2015.0","1.0","29.0","29.0","225.0","0.43","0.8","0.0","1.43","0.8","1.14","0.0","0.0","0.0","0.0","3.26","31.47","128.0","64.0","124.74","96.53","0.0","","","","","","",""
"2015.0","1.0","30.0","30.0","225.0","0.42","0.8","0.0","1.93","0.8","1.54","0.0","0.0","0.0","0.0","4.81","31.47","128.0","64.0","123.19","96.53","0.0","","","","","","",""
"2015.0","1.0","31.0","31.0","225.0","0.41","0.8","0.0","3.46","0.8","2.77","0.0","0.0","0.0","0.0","7.58","31.47","128.0","64.0","120.42","96.53","0.0","","","","","","",""
"2015.0","2.0","1.0","32.0","225.0","0.4","0.8","0.0","1.44","0.8","1.15","0.0","0.0","0.0","0.0","8.73","31.47","128.0","64.0","119.27","96.53","0.0","","","","","","",""
"2015.0","2.0","2.0","33.0","225.0","0.4","0.8","0.0","1.46","0.8","1.17","0.0","0.0","0.0","0.0","9.9","31.47","128.0","64.0","118.1","96.53","0.0","","","","","","",""
"2015.0","2.0","3.0","34.0","225.0","0.39","0.8","0.0","1.52","0.8","1.22","0.0","0.0","0.0","0.0","11.11","31.47","128.0","64.0","116.89","96.53","0.0","","","","","","",""
"2015.0","2.0","4.0","35.0","225.0","0.38","0.8","0.0","1.4","0.8","1.12","0.0","0.0","0.0","0.0","12.23","31.47","128.0","64.0","115.77","96.53","0.0","","","","","","",""
"2015.0","2.0","5.0","36.0","225.0","0.38","0.8","0.0","1.08","0.8","0.86","0.0","0.0","0.0","0.0","13.1","31.47","128.0","64.0","114.9","96.53","0.0","","","","","","",""
"2015.0","2.0","6.0","37.0","225.0","0.37","0.8","0.0","2.04","0.8","1.63","0.04","0.04","0.0","0.0","14.69","31.47","128.0","64.0","113.31","96.53","0.0","","","","","","",""
"2015.0","2.0","7.0","38.0","225.0","1.16","0.8","0.0","1.42","1.16","1.65","27.21","16.34","0.0","0.0","0.0","31.47","128.0","64.0","128.0","96.53","0.0","","","","","","",""
"2015.0","2.0","8.0","39.0","225.0","1.17","0.8","0.0","1.3","1.17","1.52","4.76","1.52","0.0","0.0","0.0","31.47","128.0","64.0","128.0","96.53","0.0","","","","","","",""
"2015.0","2.0","9.0","40.0","225.0","1.14","0.8","0.0","2.0","1.14","2.28","20.3","2.28","0.0","0.0","0.0","31.47","128.0","64.0","128.0","96.53","0.0","","","","","","",""
"2015.0","2.0","10.0","41.0","225.0","1.14","0.8","0.0","1.82","1.14","2.08","0.0","0.0","0.0","0.0","2.08","31.47","128.0","64.0","125.92","96.53","0.0","","","","","","",""
"2015.0","2.0","11.0","42.0","225.0","1.15","0.8","0.0","1.61","1.15","1.85","0.0","0.0","0.0","0.0","3.93","31.47","128.0","64.0","124.07","96.53","0.0","","","","","","",""
"2015.0","2.0","12.0","43.0","225.0","1.02","0.8","0.0","1.97","1.02","2.02","0.0","0.0","0.0","0.0","5.94","31.47","128.0","64.0","122.06","96.53","0.0","","","","","","",""
