" Daily soil water balance output for Cucurbits in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Cucurbits in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"2014.0","11.0","6.0","310.0","172.0","0.08","0.0","0.0","1.91","0.08","0.15","0.0","0.0","0.0","0.0","15.48","25.5","336.8","168.4","321.32","311.3","0.0","","","","","","","","",""
"2014.0","11.0","7.0","311.0","172.0","0.08","0.0","0.0","1.94","0.08","0.16","0.0","0.0","0.0","0.0","15.64","25.5","336.8","168.4","321.16","311.3","0.0","","","","","","","","",""
"2014.0","11.0","8.0","312.0","172.0","0.08","0.0","0.0","1.87","0.08","0.15","0.0","0.0","0.0","0.0","15.79","25.5","336.8","168.4","321.01","311.3","0.0","","","","","","","","",""
"2014.0","11.0","9.0","313.0","172.0","0.08","0.0","0.0","1.83","0.08","0.15","0.0","0.0","0.0","0.0","15.94","25.5","336.8","168.4","320.87","311.3","0.0","","","","","","","","",""
"2014.0","11.0","10.0","314.0","172.0","0.08","0.0","0.0","1.84","0.08","0.15","0.0","0.0","0.0","0.0","16.09","25.5","336.8","168.4","320.72","311.3","0.0","","","","","","","","",""
"2014.0","11.0","11.0","315.0","172.0","0.08","0.0","0.0","1.55","0.08","0.12","0.0","0.0","0.0","0.0","16.21","25.5","336.8","168.4","320.59","311.3","0.0","","","","","","","","",""
"2014.0","11.0","12.0","316.0","172.0","0.08","0.0","0.0","1.54","0.08","0.12","0.0","0.0","0.0","0.0","16.34","25.5","336.8","168.4","320.47","311.3","0.0","","","","","","","","",""
"2014.0","11.0","13.0","317.0","172.0","1.18","0.0","0.0","1.07","1.18","1.26","5.34","5.34","0.0","0.0","12.25","25.5","336.8","168.4","324.55","311.3","0.0","","","","","","","","",""
"2014.0","11.0","14.0","318.0","172.0","1.17","0.0","0.0","1.4","1.17","1.64","0.95","0.95","0.0","0.0","12.94","25.5","336.8","168.4","323.86","311.3","0.0","","","","","","","","",""
"2014.0","11.0","15.0","319.0","172.0","1.17","0.0","0.0","1.34","1.17","1.57","0.0","0.0","0.0","0.0","14.51","25.5","336.8","168.4","322.29","311.3","0.0","","","","","","","","",""
"2014.0","11.0","16.0","320.0","172.0","1.16","0.0","0.0","1.94","1.16","2.26","0.07","0.07","0.0","0.0","16.7","25.5","336.8","168.4","320.11","311.3","0.0","","","","","","","","",""
"2014.0","11.0","17.0","321.0","172.0","1.02","0.0","0.0","1.79","1.02","1.83","0.0","0.0","0.0","0.0","18.52","25.5","336.8","168.4","318.28","311.3","0.0","","","","","","","","",""
"2014.0","11.0","18.0","322.0","172.0","0.94","0.0","0.0","1.33","0.94","1.25","0.0","0.0","0.0","0.0","19.77","25.5","336.8","168.4","317.03","311.3","0.0","","","","","","","","",""
"2014.0","11.0","19.0","323.0","172.0","0.89","0.0","0.0","1.09","0.89","0.97","0.59","0.59","0.0","0.0","20.15","25.5","336.8","168.4","316.65","311.3","0.0","","","","","","","","",""
"2014.0","11.0","20.0","324.0","172.0","1.19","0.0","0.0","0.63","1.19","0.75","2.88","2.88","0.0","0.0","18.02","25.5","336.8","168.4","318.78","311.3","0.0","","","","","","","","",""
"2014.0","11.0","21.0","325.0","172.0","1.18","0.0","0.0","0.9","1.18","1.07","4.27","4.27","0.0","0.0","14.82","25.5","336.8","168.4","321.99","311.3","0.0","","","","","","","","",""
"2014.0","11.0","22.0","326.0","172.0","1.18","0.0","0.0","1.25","1.18","1.47","0.9","0.9","0.0","0.0","15.39","25.5","336.8","168.4","321.41","311.3","0.0","","","","","","","","",""
"2014.0","11.0","23.0","327.0","172.0","1.16","0.0","0.0","1.56","1.16","1.81","3.21","3.21","0.0","0.0","13.99","25.5","336.8","168.4","322.82","311.3","0.0","","","","","","","","",""
"2014.0","11.0","24.0","328.0","172.0","1.16","0.0","0.0","1.39","1.16","1.61","0.0","0.0","0.0","0.0","15.6","25.5","336.8","168.4","321.2","311.3","0.0","","","","","","","","",""
"2014.0","11.0","25.0","329.0","172.0","1.16","0.0","0.0","1.25","1.16","1.46","0.0","0.0","0.0","0.0","17.05","25.5","336.8","168.4","319.75","311.3","0.0","","","","","","","","",""
"2014.0","11.0","26.0","330.0","172.0","1.17","0.0","0.0","1.26","1.17","1.47","0.0","0.0","0.0","0.0","18.52","25.5","336.8","168.4","318.28","311.3","0.0","","","","","","","","",""
"2014.0","11.0","27.0","331.0","172.0","1.09","0.0","0.0","1.19","1.09","1.3","0.0","0.0","0.0","0.0","19.82","25.5","336.8","168.4","316.99","311.3","0.0","","","","","","","","",""
"2014.0","11.0","28.0","332.0","172.0","1.01","0.0","0.0","1.14","1.01","1.15","0.0","0.0","0.0","0.0","20.97","25.5","336.8","168.4","315.84","311.3","0.0","","","","","","","","",""
"2014.0","11.0","29.0","333.0","172.0","0.96","0.0","0.0","0.81","0.96","0.78","0.48","0.48","0.0","0.0","21.26","25.5","336.8","168.4","315.54","311.3","0.0","","","","","","","","",""
"2014.0","11.0","30.0","334.0","172.0","1.19","0.0","0.0","0.66","1.19","0.79","3.64","3.64","0.0","0.0","18.41","25.5","336.8","168.4","318.39","311.3","0.0","","","","","","","","",""
"2014.0","12.0","1.0","335.0","172.0","1.18","0.0","0.0","0.96","1.18","1.13","10.55","10.55","0.0","0.0","9.0","25.5","336.8","168.4","327.81","311.3","0.0","","","","","","","","",""
"2014.0","12.0","2.0","336.0","172.0","1.19","0.0","0.0","0.64","1.19","0.76","10.14","9.76","0.0","0.0","0.0","25.5","336.8","168.4","336.8","311.3","0.0","","","","","","","","",""
"2014.0","12.0","3.0","337.0","172.0","1.17","0.0","0.0","1.15","1.17","1.35","32.71","1.35","0.0","0.0","0.0","25.5","336.8","168.4","336.8","311.3","0.0","","","","","","","","",""
"2014.0","12.0","4.0","338.0","172.0","1.18","0.0","0.0","1.1","1.18","1.29","6.73","1.29","0.0","0.0","0.0","25.5","336.8","168.4","336.8","311.3","0.0","","","","","","","","",""
"2014.0","12.0","5.0","339.0","172.0","1.18","0.0","0.0","0.9","1.18","1.06","0.56","0.56","0.0","0.0","0.5","25.5","336.8","168.4","336.3","311.3","0.0","","","","","","","","",""
"2014.0","12.0","6.0","340.0","172.0","1.18","0.0","0.0","1.08","1.18","1.27","3.46","1.77","0.0","0.0","0.0","25.5","336.8","168.4","336.8","311.3","0.0","","","","","","","","",""
"2014.0","12.0","7.0","341.0","172.0","1.18","0.0","0.0","0.73","1.18","0.86","0.14","0.14","0.0","0.0","0.72","25.5","336.8","168.4","336.08","311.3","0.0","","","","","","","","",""
"2014.0","12.0","8.0","342.0","172.0","1.18","0.0","0.0","0.84","1.18","1.0","0.0","0.0","0.0","0.0","1.72","25.5","336.8","168.4","335.08","311.3","0.0","","","","","","","","",""
"2014.0","12.0","9.0","343.0","172.0","1.19","0.0","0.0","0.67","1.19","0.8","0.0","0.0","0.0","0.0","2.51","25.5","336.8","168.4","334.29","311.3","0.0","","","","","","","","",""
"2014.0","12.0","10.0","344.0","172.0","1.19","0.0","0.0","0.91","1.19","1.08","0.0","0.0","0.0","0.0","3.59","25.5","336.8","168.4","333.21","311.3","0.0","","","","","","","","",""
"2014.0","12.0","11.0","345.0","172.0","1.18","0.0","0.0","1.28","1.18","1.51","0.0","0.0","0.0","0.0","5.11","25.5","336.8","168.4","331.7","311.3","0.0","","","","","","","","",""
"2014.0","12.0","12.0","346.0","172.0","1.2","0.0","0.0","0.62","1.2","0.74","67.69","5.85","0.0","0.0","0.0","25.5","336.8","168.4","336.8","311.3","0.0","","","","","","","","",""
"2014.0","12.0","13.0","347.0","172.0","1.19","0.0","0.0","0.72","1.19","0.86","1.17","0.86","0.0","0.0","0.0","25.5","336.8","168.4","336.8","311.3","0.0","","","","","","","","",""
"2014.0","12.0","14.0","348.0","172.0","1.19","0.0","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","0.93","25.5","336.8","168.4","335.88","311.3","0.0","","","","","","","","",""
"2014.0","12.0","15.0","349.0","172.0","1.18","0.0","0.0","0.98","1.18","1.16","12.1","2.09","0.0","0.0","0.0","25.5","336.8","168.4","336.8","311.3","0.0","","","","","","","","",""
"2014.0","12.0","16.0","350.0","172.0","1.17","0.0","0.0","1.22","1.17","1.43","11.08","1.43","0.0","0.0","0.0","25.5","336.8","168.4","336.8","311.3","0.0","","","","","","","","",""
"2014.0","12.0","17.0","351.0","172.0","1.18","0.0","0.0","0.95","1.18","1.12","11.26","1.12","0.0","0.0","0.0","25.5","336.8","168.4","336.8","311.3","0.0","","","","","","","","",""
"2014.0","12.0","18.0","352.0","172.0","1.18","0.0","0.0","0.97","1.18","1.15","3.99","1.15","0.0","0.0","0.0","25.5","336.8","168.4","336.8","311.3","0.0","","","","","","","","",""
"2014.0","12.0","19.0","353.0","172.0","1.18","0.0","0.0","0.84","1.18","0.99","0.0","0.0","0.0","0.0","0.99","25.5","336.8","168.4","335.81","311.3","0.0","","","","","","","","",""
"2014.0","12.0","20.0","354.0","172.0","1.19","0.0","0.0","0.68","1.19","0.81","9.13","1.81","0.0","0.0","0.0","25.5","336.8","168.4","336.8","311.3","0.0","","","","","","","","",""
"2014.0","12.0","21.0","355.0","172.0","1.19","0.0","0.0","0.99","1.19","1.17","0.01","0.01","0.0","0.0","1.16","25.5","336.8","168.4","335.64","311.3","0.0","","","","","","","","",""
"2014.0","12.0","22.0","356.0","172.0","1.19","0.0","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","2.09","25.5","336.8","168.4","334.71","311.3","0.0","","","","","","","","",""
"2014.0","12.0","23.0","357.0","172.0","1.19","0.0","0.0","0.75","1.19","0.89","0.0","0.0","0.0","0.0","2.98","25.5","336.8","168.4","333.82","311.3","0.0","","","","","","","","",""
"2014.0","12.0","24.0","358.0","172.0","1.19","0.0","0.0","0.96","1.19","1.14","0.0","0.0","0.0","0.0","4.12","25.5","336.8","168.4","332.68","311.3","0.0","","","","","","","","",""
"2014.0","12.0","25.0","359.0","172.0","1.14","0.0","0.0","1.94","1.14","2.22","0.81","0.81","0.0","0.0","5.53","25.5","336.8","168.4","331.28","311.3","0.0","","","","","","","","",""
"2014.0","12.0","26.0","360.0","172.0","1.01","0.0","0.0","1.7","1.01","1.72","0.0","0.0","0.0","0.0","7.24","25.5","336.8","168.4","329.56","311.3","0.0","","","","","","","","",""
"2014.0","12.0","27.0","361.0","172.0","0.96","0.0","0.0","0.76","0.96","0.73","0.0","0.0","0.0","0.0","7.98","25.5","336.8","168.4","328.83","311.3","0.0","","","","","","","","",""
"2014.0","12.0","28.0","362.0","172.0","0.93","0.0","0.0","0.75","0.93","0.69","0.0","0.0","0.0","0.0","8.67","25.5","336.8","168.4","328.13","311.3","0.0","","","","","","","","",""
"2014.0","12.0","29.0","363.0","172.0","0.9","0.0","0.0","0.55","0.9","0.49","0.0","0.0","0.0","0.0","9.17","25.5","336.8","168.4","327.64","311.3","0.0","","","","","","","","",""
"2014.0","12.0","30.0","364.0","172.0","0.8","0.0","0.0","2.45","0.8","1.97","0.0","0.0","0.0","0.0","11.13","25.5","336.8","168.4","325.67","311.3","0.0","","","","","","","","",""
"2014.0","12.0","31.0","365.0","172.0","0.73","0.0","0.0","2.6","0.73","1.89","0.0","0.0","0.0","0.0","13.03","25.5","336.8","168.4","323.78","311.3","0.0","","","","","","","","",""
"2015.0","1.0","1.0","1.0","172.0","0.71","0.0","0.0","0.96","0.71","0.68","0.0","0.0","0.0","0.0","13.71","25.5","336.8","168.4","323.1","311.3","0.0","","","","","","","","",""
"2015.0","1.0","2.0","2.0","172.0","0.69","0.0","0.0","0.89","0.69","0.61","0.0","0.0","0.0","0.0","14.32","25.5","336.8","168.4","322.49","311.3","0.0","","","","","","","","",""
"2015.0","1.0","3.0","3.0","172.0","0.67","0.0","0.0","0.88","0.67","0.59","0.0","0.0","0.0","0.0","14.91","25.5","336.8","168.4","321.9","311.3","0.0","","","","","","","","",""
"2015.0","1.0","4.0","4.0","172.0","0.65","0.0","0.0","0.99","0.65","0.65","0.0","0.0","0.0","0.0","15.55","25.5","336.8","168.4","321.25","311.3","0.0","","","","","","","","",""
"2015.0","1.0","5.0","5.0","172.0","0.64","0.0","0.0","0.96","0.64","0.61","0.0","0.0","0.0","0.0","16.17","25.5","336.8","168.4","320.64","311.3","0.0","","","","","","","","",""
"2015.0","1.0","6.0","6.0","172.0","0.62","0.0","0.0","1.23","0.62","0.76","0.0","0.0","0.0","0.0","16.92","25.5","336.8","168.4","319.88","311.3","0.0","","","","","","","","",""
"2015.0","1.0","7.0","7.0","172.0","0.6","0.0","0.0","1.21","0.6","0.73","0.0","0.0","0.0","0.0","17.65","25.5","336.8","168.4","319.15","311.3","0.0","","","","","","","","",""
"2015.0","1.0","8.0","8.0","172.0","0.59","0.0","0.0","1.01","0.59","0.59","0.0","0.0","0.0","0.0","18.24","25.5","336.8","168.4","318.56","311.3","0.0","","","","","","","","",""
"2015.0","1.0","9.0","9.0","172.0","0.58","0.0","0.0","0.89","0.58","0.51","0.0","0.0","0.0","0.0","18.76","25.5","336.8","168.4","318.05","311.3","0.0","","","","","","","","",""
"2015.0","1.0","10.0","10.0","172.0","0.56","0.0","0.0","1.01","0.56","0.57","0.0","0.0","0.0","0.0","19.33","25.5","336.8","168.4","317.48","311.3","0.0","","","","","","","","",""
"2015.0","1.0","11.0","11.0","172.0","0.56","0.0","0.0","0.85","0.56","0.47","0.0","0.0","0.0","0.0","19.8","25.5","336.8","168.4","317.01","311.3","0.0","","","","","","","","",""
"2015.0","1.0","12.0","12.0","172.0","0.54","0.0","0.0","0.99","0.54","0.54","0.0","0.0","0.0","0.0","20.34","25.5","336.8","168.4","316.47","311.3","0.0","","","","","","","","",""
"2015.0","1.0","13.0","13.0","172.0","0.53","0.0","0.0","1.06","0.53","0.57","0.0","0.0","0.0","0.0","20.9","25.5","336.8","168.4","315.9","311.3","0.0","","","","","","","","",""
"2015.0","1.0","14.0","14.0","172.0","0.53","0.0","0.0","0.61","0.53","0.32","0.0","0.0","0.0","0.0","21.23","25.5","336.8","168.4","315.58","311.3","0.0","","","","","","","","",""
"2015.0","1.0","15.0","15.0","172.0","0.52","0.0","0.0","0.65","0.52","0.34","0.0","0.0","0.0","0.0","21.57","25.5","336.8","168.4","315.24","311.3","0.0","","","","","","","","",""
"2015.0","1.0","16.0","16.0","172.0","0.52","0.0","0.0","0.57","0.52","0.3","0.0","0.0","0.0","0.0","21.86","25.5","336.8","168.4","314.94","311.3","0.0","","","","","","","","",""
"2015.0","1.0","17.0","17.0","172.0","0.51","0.0","0.0","0.51","0.51","0.26","0.0","0.0","0.0","0.0","22.12","25.5","336.8","168.4","314.68","311.3","0.0","","","","","","","","",""
"2015.0","1.0","18.0","18.0","172.0","0.51","0.0","0.0","0.61","0.51","0.31","0.0","0.0","0.0","0.0","22.43","25.5","336.8","168.4","314.37","311.3","0.0","","","","","","","","",""
"2015.0","1.0","19.0","19.0","172.0","0.5","0.0","0.0","0.58","0.5","0.29","0.17","0.17","0.0","0.0","22.56","25.5","336.8","168.4","314.25","311.3","0.0","","","","","","","","",""
"2015.0","1.0","20.0","20.0","172.0","0.5","0.0","0.0","0.8","0.5","0.4","0.0","0.0","0.0","0.0","22.95","25.5","336.8","168.4","313.85","311.3","0.0","","","","","","","","",""
"2015.0","1.0","21.0","21.0","172.0","0.49","0.0","0.0","1.03","0.49","0.5","0.0","0.0","0.0","0.0","23.46","25.5","336.8","168.4","313.35","311.3","0.0","","","","","","","","",""
"2015.0","1.0","22.0","22.0","172.0","0.49","0.0","0.0","0.69","0.49","0.33","0.0","0.0","0.0","0.0","23.79","25.5","336.8","168.4","313.01","311.3","0.0","","","","","","","","",""
"2015.0","1.0","23.0","23.0","172.0","0.48","0.0","0.0","0.99","0.48","0.47","0.0","0.0","0.0","0.0","24.27","25.5","336.8","168.4","312.54","311.3","0.0","","","","","","","","",""
"2015.0","1.0","24.0","24.0","172.0","0.47","0.0","0.0","0.91","0.47","0.43","0.0","0.0","0.0","0.0","24.7","25.5","336.8","168.4","312.11","311.3","0.0","","","","","","","","",""
"2015.0","1.0","25.0","25.0","172.0","0.47","0.0","0.0","1.02","0.47","0.47","0.0","0.0","0.0","0.0","25.17","25.5","336.8","168.4","311.63","311.3","0.0","","","","","","","","",""
"2015.0","1.0","26.0","26.0","172.0","0.46","0.0","0.0","1.21","0.46","0.55","0.0","0.0","0.0","0.0","25.73","25.5","336.8","168.4","311.08","311.3","0.0","","","","","","","","",""
"2015.0","1.0","27.0","27.0","172.0","0.45","0.0","0.0","1.16","0.45","0.52","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","","","",""
"2015.0","1.0","28.0","28.0","172.0","0.44","0.0","0.0","1.45","0.44","0.64","0.0","0.0","0.0","0.0","26.14","25.5","336.8","168.4","310.66","311.3","0.0","","","","","","","","",""
"2015.0","1.0","29.0","29.0","172.0","0.44","0.0","0.0","1.38","0.44","0.6","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","","","",""
"2015.0","1.0","30.0","30.0","172.0","0.43","0.0","0.0","1.73","0.43","0.74","0.0","0.0","0.0","0.0","26.24","25.5","336.8","168.4","310.57","311.3","0.0","","","","","","","","",""
"2015.0","1.0","31.0","31.0","172.0","0.41","0.0","0.0","3.06","0.41","1.26","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","","","",""
"2015.0","2.0","1.0","32.0","172.0","0.41","0.0","0.0","1.51","0.41","0.61","0.0","0.0","0.0","0.0","26.11","25.5","336.8","168.4","310.69","311.3","0.0","","","","","","","","",""
"2015.0","2.0","2.0","33.0","172.0","0.4","0.0","0.0","1.52","0.4","0.61","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","","","",""
"2015.0","2.0","3.0","34.0","172.0","0.39","0.0","0.0","1.6","0.39","0.63","0.0","0.0","0.0","0.0","26.13","25.5","336.8","168.4","310.68","311.3","0.0","","","","","","","","",""
"2015.0","2.0","4.0","35.0","172.0","0.39","0.0","0.0","1.34","0.39","0.52","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","","","",""
"2015.0","2.0","5.0","36.0","172.0","0.38","0.0","0.0","1.02","0.38","0.39","0.0","0.0","0.0","0.0","25.89","25.5","336.8","168.4","310.91","311.3","0.0","","","","","","","","",""
"2015.0","2.0","6.0","37.0","172.0","1.13","0.0","0.0","2.15","1.13","2.44","6.0","6.0","0.0","0.0","19.89","25.5","336.8","168.4","316.91","311.3","0.0","","","","","","","","",""
"2015.0","2.0","7.0","38.0","172.0","1.16","0.0","0.0","1.45","1.16","1.68","12.31","12.31","0.0","0.0","9.27","25.5","336.8","168.4","327.54","311.3","0.0","","","","","","","","",""
"2015.0","2.0","8.0","39.0","172.0","1.16","0.0","0.0","1.48","1.16","1.72","13.84","10.98","0.0","0.0","0.0","25.5","336.8","168.4","336.8","311.3","0.0","","","","","","","","",""
