" Daily soil water balance output for Walnuts in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Walnuts in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2014.0","11.0","6.0","310.0","227.0","0.82","0.0","0.0","1.95","0.82","1.61","0.0","0.0","0.0","0.0","21.86","20.25","411.48","205.74","389.62","391.23","0.0","","","","","","","","",""
"2014.0","11.0","7.0","311.0","227.0","0.76","0.0","0.0","2.02","0.76","1.53","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2014.0","11.0","8.0","312.0","227.0","0.71","0.0","0.0","1.91","0.71","1.36","0.0","0.0","0.0","0.0","21.61","20.25","411.48","205.74","389.87","391.23","0.0","","","","","","","","",""
"2014.0","11.0","9.0","313.0","227.0","0.67","0.0","0.0","1.87","0.67","1.25","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2014.0","11.0","10.0","314.0","227.0","0.63","0.0","0.0","2.04","0.63","1.29","0.0","0.0","0.0","0.0","21.54","20.25","411.48","205.74","389.94","391.23","0.0","","","","","","","","",""
"2014.0","11.0","11.0","315.0","227.0","0.61","0.0","0.0","1.51","0.61","0.92","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2014.0","11.0","12.0","316.0","227.0","0.59","0.0","0.0","1.4","0.59","0.83","0.0","0.0","0.0","0.0","21.08","20.25","411.48","205.74","390.4","391.23","0.0","","","","","","","","",""
"2014.0","11.0","13.0","317.0","227.0","1.18","0.0","0.0","0.94","1.18","1.11","3.18","3.18","0.0","0.0","17.9","20.25","411.48","205.74","393.58","391.23","0.0","","","","","","","","",""
"2014.0","11.0","14.0","318.0","227.0","1.17","0.0","0.0","1.24","1.17","1.45","2.3","2.3","0.0","0.0","17.05","20.25","411.48","205.74","394.43","391.23","0.0","","","","","","","","",""
"2014.0","11.0","15.0","319.0","227.0","1.17","0.0","0.0","1.23","1.17","1.44","0.0","0.0","0.0","0.0","18.49","20.25","411.48","205.74","392.99","391.23","0.0","","","","","","","","",""
"2014.0","11.0","16.0","320.0","227.0","1.16","0.0","0.0","2.03","1.16","2.35","0.0","0.0","0.0","0.0","20.84","20.25","411.48","205.74","390.64","391.23","0.0","","","","","","","","",""
"2014.0","11.0","17.0","321.0","227.0","1.11","0.0","0.0","1.87","1.11","2.07","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2014.0","11.0","18.0","322.0","227.0","1.0","0.0","0.0","1.42","1.0","1.42","0.0","0.0","0.0","0.0","21.67","20.25","411.48","205.74","389.81","391.23","0.0","","","","","","","","",""
"2014.0","11.0","19.0","323.0","227.0","0.95","0.0","0.0","1.0","0.95","0.95","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2014.0","11.0","20.0","324.0","227.0","1.19","0.0","0.0","0.63","1.19","0.75","3.48","3.48","0.0","0.0","17.52","20.25","411.48","205.74","393.96","391.23","0.0","","","","","","","","",""
"2014.0","11.0","21.0","325.0","227.0","1.19","0.0","0.0","0.77","1.19","0.92","4.74","4.74","0.0","0.0","13.7","20.25","411.48","205.74","397.78","391.23","0.0","","","","","","","","",""
"2014.0","11.0","22.0","326.0","227.0","1.18","0.0","0.0","1.08","1.18","1.28","0.6","0.6","0.0","0.0","14.38","20.25","411.48","205.74","397.1","391.23","0.0","","","","","","","","",""
"2014.0","11.0","23.0","327.0","227.0","1.16","0.0","0.0","1.44","1.16","1.67","1.87","1.87","0.0","0.0","14.18","20.25","411.48","205.74","397.3","391.23","0.0","","","","","","","","",""
"2014.0","11.0","24.0","328.0","227.0","1.16","0.0","0.0","1.37","1.16","1.59","0.0","0.0","0.0","0.0","15.77","20.25","411.48","205.74","395.71","391.23","0.0","","","","","","","","",""
"2014.0","11.0","25.0","329.0","227.0","1.17","0.0","0.0","1.22","1.17","1.42","0.0","0.0","0.0","0.0","17.2","20.25","411.48","205.74","394.28","391.23","0.0","","","","","","","","",""
"2014.0","11.0","26.0","330.0","227.0","1.17","0.0","0.0","1.16","1.17","1.35","0.0","0.0","0.0","0.0","18.55","20.25","411.48","205.74","392.93","391.23","0.0","","","","","","","","",""
"2014.0","11.0","27.0","331.0","227.0","1.11","0.0","0.0","1.2","1.11","1.33","0.0","0.0","0.0","0.0","19.89","20.25","411.48","205.74","391.59","391.23","0.0","","","","","","","","",""
"2014.0","11.0","28.0","332.0","227.0","1.02","0.0","0.0","1.15","1.02","1.18","0.0","0.0","0.0","0.0","21.06","20.25","411.48","205.74","390.42","391.23","0.0","","","","","","","","",""
"2014.0","11.0","29.0","333.0","227.0","1.19","0.0","0.0","0.86","1.19","1.02","4.67","4.67","0.0","0.0","16.39","20.25","411.48","205.74","395.09","391.23","0.0","","","","","","","","",""
"2014.0","11.0","30.0","334.0","227.0","1.19","0.0","0.0","0.66","1.19","0.79","6.84","6.84","0.0","0.0","10.34","20.25","411.48","205.74","401.14","391.23","0.0","","","","","","","","",""
"2014.0","12.0","1.0","335.0","227.0","1.18","0.0","0.0","1.03","1.18","1.21","3.4","3.4","0.0","0.0","8.16","20.25","411.48","205.74","403.32","391.23","0.0","","","","","","","","",""
"2014.0","12.0","2.0","336.0","227.0","1.19","0.0","0.0","0.67","1.19","0.8","1.57","1.57","0.0","0.0","7.39","20.25","411.48","205.74","404.09","391.23","0.0","","","","","","","","",""
"2014.0","12.0","3.0","337.0","227.0","1.18","0.0","0.0","1.07","1.18","1.26","42.83","8.65","0.0","0.0","0.0","20.25","411.48","205.74","411.48","391.23","0.0","","","","","","","","",""
"2014.0","12.0","4.0","338.0","227.0","1.18","0.0","0.0","1.07","1.18","1.26","23.53","1.26","0.0","0.0","0.0","20.25","411.48","205.74","411.48","391.23","0.0","","","","","","","","",""
"2014.0","12.0","5.0","339.0","227.0","1.18","0.0","0.0","0.94","1.18","1.11","0.2","0.2","0.0","0.0","0.91","20.25","411.48","205.74","410.57","391.23","0.0","","","","","","","","",""
"2014.0","12.0","6.0","340.0","227.0","1.18","0.0","0.0","1.08","1.18","1.27","3.02","2.18","0.0","0.0","0.0","20.25","411.48","205.74","411.48","391.23","0.0","","","","","","","","",""
"2014.0","12.0","7.0","341.0","227.0","1.18","0.0","0.0","0.8","1.18","0.95","0.51","0.51","0.0","0.0","0.44","20.25","411.48","205.74","411.04","391.23","0.0","","","","","","","","",""
"2014.0","12.0","8.0","342.0","227.0","1.18","0.0","0.0","0.83","1.18","0.98","0.0","0.0","0.0","0.0","1.42","20.25","411.48","205.74","410.06","391.23","0.0","","","","","","","","",""
"2014.0","12.0","9.0","343.0","227.0","1.19","0.0","0.0","0.69","1.19","0.82","0.0","0.0","0.0","0.0","2.24","20.25","411.48","205.74","409.24","391.23","0.0","","","","","","","","",""
"2014.0","12.0","10.0","344.0","227.0","1.19","0.0","0.0","0.97","1.19","1.15","0.0","0.0","0.0","0.0","3.39","20.25","411.48","205.74","408.09","391.23","0.0","","","","","","","","",""
"2014.0","12.0","11.0","345.0","227.0","1.18","0.0","0.0","1.19","1.18","1.41","0.75","0.75","0.0","0.0","4.04","20.25","411.48","205.74","407.44","391.23","0.0","","","","","","","","",""
"2014.0","12.0","12.0","346.0","227.0","1.2","0.0","0.0","0.6","1.2","0.72","73.65","4.76","0.0","0.0","0.0","20.25","411.48","205.74","411.48","391.23","0.0","","","","","","","","",""
"2014.0","12.0","13.0","347.0","227.0","1.19","0.0","0.0","0.67","1.19","0.8","1.55","0.8","0.0","0.0","0.0","20.25","411.48","205.74","411.48","391.23","0.0","","","","","","","","",""
"2014.0","12.0","14.0","348.0","227.0","1.19","0.0","0.0","0.69","1.19","0.82","0.0","0.0","0.0","0.0","0.82","20.25","411.48","205.74","410.66","391.23","0.0","","","","","","","","",""
"2014.0","12.0","15.0","349.0","227.0","1.19","0.0","0.0","0.87","1.19","1.03","5.34","1.85","0.0","0.0","0.0","20.25","411.48","205.74","411.48","391.23","0.0","","","","","","","","",""
"2014.0","12.0","16.0","350.0","227.0","1.17","0.0","0.0","1.18","1.17","1.38","10.1","1.38","0.0","0.0","0.0","20.25","411.48","205.74","411.48","391.23","0.0","","","","","","","","",""
"2014.0","12.0","17.0","351.0","227.0","1.18","0.0","0.0","0.96","1.18","1.13","14.67","1.13","0.0","0.0","0.0","20.25","411.48","205.74","411.48","391.23","0.0","","","","","","","","",""
"2014.0","12.0","18.0","352.0","227.0","1.18","0.0","0.0","0.91","1.18","1.08","2.9","1.08","0.0","0.0","0.0","20.25","411.48","205.74","411.48","391.23","0.0","","","","","","","","",""
"2014.0","12.0","19.0","353.0","227.0","1.19","0.0","0.0","0.81","1.19","0.96","0.09","0.09","0.0","0.0","0.87","20.25","411.48","205.74","410.61","391.23","0.0","","","","","","","","",""
"2014.0","12.0","20.0","354.0","227.0","1.19","0.0","0.0","0.63","1.19","0.75","18.41","1.62","0.0","0.0","0.0","20.25","411.48","205.74","411.48","391.23","0.0","","","","","","","","",""
"2014.0","12.0","21.0","355.0","227.0","1.19","0.0","0.0","0.96","1.19","1.14","0.07","0.07","0.0","0.0","1.07","20.25","411.48","205.74","410.41","391.23","0.0","","","","","","","","",""
"2014.0","12.0","22.0","356.0","227.0","1.19","0.0","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","2.0","20.25","411.48","205.74","409.48","391.23","0.0","","","","","","","","",""
"2014.0","12.0","23.0","357.0","227.0","1.19","0.0","0.0","0.72","1.19","0.86","0.0","0.0","0.0","0.0","2.85","20.25","411.48","205.74","408.63","391.23","0.0","","","","","","","","",""
"2014.0","12.0","24.0","358.0","227.0","1.19","0.0","0.0","0.97","1.19","1.15","0.0","0.0","0.0","0.0","4.01","20.25","411.48","205.74","407.47","391.23","0.0","","","","","","","","",""
"2014.0","12.0","25.0","359.0","227.0","1.16","0.0","0.0","1.86","1.16","2.16","0.69","0.69","0.0","0.0","5.48","20.25","411.48","205.74","406.0","391.23","0.0","","","","","","","","",""
"2014.0","12.0","26.0","360.0","227.0","1.01","0.0","0.0","1.91","1.01","1.92","0.0","0.0","0.0","0.0","7.4","20.25","411.48","205.74","404.08","391.23","0.0","","","","","","","","",""
"2014.0","12.0","27.0","361.0","227.0","0.96","0.0","0.0","0.77","0.96","0.74","0.0","0.0","0.0","0.0","8.14","20.25","411.48","205.74","403.34","391.23","0.0","","","","","","","","",""
"2014.0","12.0","28.0","362.0","227.0","0.92","0.0","0.0","0.76","0.92","0.7","0.0","0.0","0.0","0.0","8.84","20.25","411.48","205.74","402.64","391.23","0.0","","","","","","","","",""
"2014.0","12.0","29.0","363.0","227.0","0.9","0.0","0.0","0.55","0.9","0.49","0.0","0.0","0.0","0.0","9.33","20.25","411.48","205.74","402.15","391.23","0.0","","","","","","","","",""
"2014.0","12.0","30.0","364.0","227.0","0.8","0.0","0.0","2.47","0.8","1.98","0.0","0.0","0.0","0.0","11.31","20.25","411.48","205.74","400.17","391.23","0.0","","","","","","","","",""
"2014.0","12.0","31.0","365.0","227.0","0.72","0.0","0.0","2.67","0.72","1.94","0.0","0.0","0.0","0.0","13.25","20.25","411.48","205.74","398.23","391.23","0.0","","","","","","","","",""
"2015.0","1.0","1.0","1.0","227.0","0.71","0.0","0.0","0.85","0.71","0.6","0.0","0.0","0.0","0.0","13.85","20.25","411.48","205.74","397.63","391.23","0.0","","","","","","","","",""
"2015.0","1.0","2.0","2.0","227.0","0.69","0.0","0.0","0.87","0.69","0.6","0.0","0.0","0.0","0.0","14.45","20.25","411.48","205.74","397.03","391.23","0.0","","","","","","","","",""
"2015.0","1.0","3.0","3.0","227.0","0.67","0.0","0.0","0.86","0.67","0.58","0.0","0.0","0.0","0.0","15.02","20.25","411.48","205.74","396.46","391.23","0.0","","","","","","","","",""
"2015.0","1.0","4.0","4.0","227.0","0.65","0.0","0.0","0.96","0.65","0.63","0.0","0.0","0.0","0.0","15.65","20.25","411.48","205.74","395.83","391.23","0.0","","","","","","","","",""
"2015.0","1.0","5.0","5.0","227.0","0.64","0.0","0.0","0.86","0.64","0.55","0.0","0.0","0.0","0.0","16.2","20.25","411.48","205.74","395.28","391.23","0.0","","","","","","","","",""
"2015.0","1.0","6.0","6.0","227.0","0.62","0.0","0.0","1.17","0.62","0.73","0.0","0.0","0.0","0.0","16.93","20.25","411.48","205.74","394.55","391.23","0.0","","","","","","","","",""
"2015.0","1.0","7.0","7.0","227.0","0.6","0.0","0.0","1.19","0.6","0.72","0.0","0.0","0.0","0.0","17.64","20.25","411.48","205.74","393.84","391.23","0.0","","","","","","","","",""
"2015.0","1.0","8.0","8.0","227.0","0.59","0.0","0.0","1.04","0.59","0.61","0.0","0.0","0.0","0.0","18.26","20.25","411.48","205.74","393.22","391.23","0.0","","","","","","","","",""
"2015.0","1.0","9.0","9.0","227.0","0.58","0.0","0.0","0.87","0.58","0.5","0.0","0.0","0.0","0.0","18.76","20.25","411.48","205.74","392.72","391.23","0.0","","","","","","","","",""
"2015.0","1.0","10.0","10.0","227.0","0.57","0.0","0.0","0.96","0.57","0.54","0.0","0.0","0.0","0.0","19.3","20.25","411.48","205.74","392.18","391.23","0.0","","","","","","","","",""
"2015.0","1.0","11.0","11.0","227.0","0.56","0.0","0.0","0.9","0.56","0.5","0.0","0.0","0.0","0.0","19.81","20.25","411.48","205.74","391.67","391.23","0.0","","","","","","","","",""
"2015.0","1.0","12.0","12.0","227.0","0.55","0.0","0.0","1.06","0.55","0.58","0.0","0.0","0.0","0.0","20.38","20.25","411.48","205.74","391.1","391.23","0.0","","","","","","","","",""
"2015.0","1.0","13.0","13.0","227.0","0.53","0.0","0.0","1.19","0.53","0.64","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","1.0","14.0","14.0","227.0","0.53","0.0","0.0","0.73","0.53","0.39","0.0","0.0","0.0","0.0","20.64","20.25","411.48","205.74","390.84","391.23","0.0","","","","","","","","",""
"2015.0","1.0","15.0","15.0","227.0","0.52","0.0","0.0","0.73","0.52","0.38","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","1.0","16.0","16.0","227.0","0.52","0.0","0.0","0.62","0.52","0.32","0.0","0.0","0.0","0.0","20.57","20.25","411.48","205.74","390.91","391.23","0.0","","","","","","","","",""
"2015.0","1.0","17.0","17.0","227.0","0.51","0.0","0.0","0.57","0.51","0.29","0.16","0.16","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","1.0","18.0","18.0","227.0","0.51","0.0","0.0","0.61","0.51","0.31","0.0","0.0","0.0","0.0","20.56","20.25","411.48","205.74","390.92","391.23","0.0","","","","","","","","",""
"2015.0","1.0","19.0","19.0","227.0","0.5","0.0","0.0","0.7","0.5","0.35","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","1.0","20.0","20.0","227.0","0.49","0.0","0.0","0.76","0.49","0.38","0.0","0.0","0.0","0.0","20.63","20.25","411.48","205.74","390.85","391.23","0.0","","","","","","","","",""
"2015.0","1.0","21.0","21.0","227.0","0.49","0.0","0.0","0.95","0.49","0.46","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","1.0","22.0","22.0","227.0","0.48","0.0","0.0","0.76","0.48","0.37","0.0","0.0","0.0","0.0","20.62","20.25","411.48","205.74","390.86","391.23","0.0","","","","","","","","",""
"2015.0","1.0","23.0","23.0","227.0","0.48","0.0","0.0","0.98","0.48","0.47","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","1.0","24.0","24.0","227.0","0.47","0.0","0.0","0.95","0.47","0.45","0.0","0.0","0.0","0.0","20.7","20.25","411.48","205.74","390.78","391.23","0.0","","","","","","","","",""
"2015.0","1.0","25.0","25.0","227.0","0.46","0.0","0.0","1.05","0.46","0.49","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","1.0","26.0","26.0","227.0","0.45","0.0","0.0","1.32","0.45","0.6","0.0","0.0","0.0","0.0","20.85","20.25","411.48","205.74","390.63","391.23","0.0","","","","","","","","",""
"2015.0","1.0","27.0","27.0","227.0","0.45","0.0","0.0","1.1","0.45","0.49","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","1.0","28.0","28.0","227.0","0.44","0.0","0.0","1.57","0.44","0.69","0.0","0.0","0.0","0.0","20.94","20.25","411.48","205.74","390.54","391.23","0.0","","","","","","","","",""
"2015.0","1.0","29.0","29.0","227.0","0.43","0.0","0.0","1.46","0.43","0.63","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","1.0","30.0","30.0","227.0","0.42","0.0","0.0","2.03","0.42","0.86","0.0","0.0","0.0","0.0","21.11","20.25","411.48","205.74","390.37","391.23","0.0","","","","","","","","",""
"2015.0","1.0","31.0","31.0","227.0","0.41","0.0","0.0","3.58","0.41","1.45","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","2.0","1.0","32.0","227.0","0.4","0.0","0.0","1.45","0.4","0.58","0.0","0.0","0.0","0.0","20.83","20.25","411.48","205.74","390.65","391.23","0.0","","","","","","","","",""
"2015.0","2.0","2.0","33.0","227.0","0.39","0.0","0.0","1.48","0.39","0.58","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","2.0","3.0","34.0","227.0","0.39","0.0","0.0","1.52","0.39","0.59","0.0","0.0","0.0","0.0","20.84","20.25","411.48","205.74","390.64","391.23","0.0","","","","","","","","",""
"2015.0","2.0","4.0","35.0","227.0","0.38","0.0","0.0","1.47","0.38","0.56","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","2.0","5.0","36.0","227.0","0.38","0.0","0.0","1.17","0.38","0.44","0.0","0.0","0.0","0.0","20.69","20.25","411.48","205.74","390.79","391.23","0.0","","","","","","","","",""
"2015.0","2.0","6.0","37.0","227.0","0.37","0.0","0.0","2.17","0.37","0.81","0.0","0.0","0.0","0.0","20.25","20.25","411.48","205.74","391.23","391.23","0.0","","","","","","","","",""
"2015.0","2.0","7.0","38.0","227.0","1.16","0.0","0.0","1.44","1.16","1.67","33.87","21.92","0.0","0.0","0.0","20.25","411.48","205.74","411.48","391.23","0.0","","","","","","","","",""
"2015.0","2.0","8.0","39.0","227.0","1.17","0.0","0.0","1.29","1.17","1.51","4.7","1.51","0.0","0.0","0.0","20.25","411.48","205.74","411.48","391.23","0.0","","","","","","","","",""
