" Daily soil water balance output for Citrus & Subtropical in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Citrus & Subtropical in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"2014.0","10.0","16.0","289.0","2.0","0.29","0.7","0.0","2.67","0.7","1.87","0.08","0.08","0.0","0.0","55.2","71.83","310.9","155.45","255.69","239.07","0.0","","","","","","",""
"2014.0","10.0","17.0","290.0","2.0","0.29","0.7","0.0","2.51","0.7","1.76","0.0","0.0","0.0","0.0","56.96","71.83","310.9","155.45","253.93","239.07","0.0","","","","","","",""
"2014.0","10.0","18.0","291.0","2.0","0.29","0.7","0.0","2.9","0.7","2.03","0.0","0.0","0.0","0.0","58.99","71.83","310.9","155.45","251.9","239.07","0.0","","","","","","",""
"2014.0","10.0","19.0","292.0","2.0","0.28","0.7","0.0","3.02","0.7","2.11","0.0","0.0","0.0","0.0","61.11","71.83","310.9","155.45","249.79","239.07","0.0","","","","","","",""
"2014.0","10.0","20.0","293.0","2.0","0.28","0.7","0.0","2.28","0.7","1.6","0.0","0.0","0.0","0.0","62.7","71.83","310.9","155.45","248.19","239.07","0.0","","","","","","",""
"2014.0","10.0","21.0","294.0","2.0","0.27","0.7","0.0","2.62","0.7","1.83","0.0","0.0","0.0","0.0","64.54","71.83","310.9","155.45","246.36","239.07","0.0","","","","","","",""
"2014.0","10.0","22.0","295.0","2.0","0.27","0.7","0.0","2.57","0.7","1.8","0.0","0.0","0.0","0.0","66.33","71.83","310.9","155.45","244.56","239.07","0.0","","","","","","",""
"2014.0","10.0","23.0","296.0","2.0","0.27","0.7","0.0","2.45","0.7","1.72","0.0","0.0","0.0","0.0","68.05","71.83","310.9","155.45","242.85","239.07","0.0","","","","","","",""
"2014.0","10.0","24.0","297.0","2.0","0.26","0.7","0.0","2.62","0.7","1.83","0.0","0.0","0.0","0.0","69.88","71.83","310.9","155.45","241.01","239.07","0.0","","","","","","",""
"2014.0","10.0","25.0","298.0","2.0","0.26","0.7","0.0","2.31","0.7","1.62","0.0","0.0","0.0","0.0","71.5","71.83","310.9","155.45","239.4","239.07","0.0","","","","","","",""
"2014.0","10.0","26.0","299.0","2.0","0.26","0.7","0.0","2.62","0.7","1.83","2.42","2.42","0.0","0.0","70.91","71.83","310.9","155.45","239.98","239.07","0.0","","","","","","",""
"2014.0","10.0","27.0","300.0","2.0","0.26","0.7","0.0","2.46","0.7","1.72","0.0","0.0","0.0","0.0","0.0","71.83","310.9","155.45","310.9","239.07","72.64","","","","","","",""
"2014.0","10.0","28.0","301.0","2.0","0.25","0.7","0.0","2.35","0.7","1.65","0.0","0.0","0.0","0.0","1.65","71.83","310.9","155.45","309.25","239.07","0.0","","","","","","",""
"2014.0","10.0","29.0","302.0","2.0","0.25","0.7","0.0","2.4","0.7","1.68","0.0","0.0","0.0","0.0","3.33","71.83","310.9","155.45","307.57","239.07","0.0","","","","","","",""
"2014.0","10.0","30.0","303.0","2.0","0.25","0.7","0.0","2.55","0.7","1.79","0.0","0.0","0.0","0.0","5.11","71.83","310.9","155.45","305.79","239.07","0.0","","","","","","",""
"2014.0","10.0","31.0","304.0","2.0","0.25","0.7","0.0","1.22","0.7","0.85","0.0","0.0","0.0","0.0","5.96","71.83","310.9","155.45","304.93","239.07","0.0","","","","","","",""
"2014.0","11.0","1.0","305.0","2.0","1.15","0.7","0.0","1.85","1.15","2.12","9.51","8.08","0.0","0.0","0.0","71.83","310.9","155.45","310.9","239.07","0.0","","","","","","",""
"2014.0","11.0","2.0","306.0","2.0","1.14","0.7","0.0","2.22","1.14","2.53","0.0","0.0","0.0","0.0","2.53","71.83","310.9","155.45","308.37","239.07","0.0","","","","","","",""
"2014.0","11.0","3.0","307.0","2.0","1.14","0.7","0.0","1.82","1.14","2.08","0.0","0.0","0.0","0.0","4.61","71.83","310.9","155.45","306.29","239.07","0.0","","","","","","",""
"2014.0","11.0","4.0","308.0","2.0","1.01","0.7","0.0","1.76","1.01","1.77","0.0","0.0","0.0","0.0","6.37","71.83","310.9","155.45","304.52","239.07","0.0","","","","","","",""
"2014.0","11.0","5.0","309.0","2.0","0.91","0.7","0.0","1.77","0.91","1.6","0.0","0.0","0.0","0.0","7.98","71.83","310.9","155.45","302.92","239.07","0.0","","","","","","",""
"2014.0","11.0","6.0","310.0","2.0","0.82","0.7","0.0","1.95","0.82","1.61","0.0","0.0","0.0","0.0","9.59","71.83","310.9","155.45","301.31","239.07","0.0","","","","","","",""
"2014.0","11.0","7.0","311.0","2.0","0.76","0.7","0.0","2.02","0.76","1.53","0.0","0.0","0.0","0.0","11.12","71.83","310.9","155.45","299.77","239.07","0.0","","","","","","",""
"2014.0","11.0","8.0","312.0","2.0","0.71","0.7","0.0","1.91","0.71","1.36","0.0","0.0","0.0","0.0","12.48","71.83","310.9","155.45","298.42","239.07","0.0","","","","","","",""
"2014.0","11.0","9.0","313.0","2.0","0.67","0.7","0.0","1.87","0.7","1.31","0.0","0.0","0.0","0.0","13.79","71.83","310.9","155.45","297.11","239.07","0.0","","","","","","",""
"2014.0","11.0","10.0","314.0","2.0","0.63","0.7","0.0","2.04","0.7","1.43","0.0","0.0","0.0","0.0","15.22","71.83","310.9","155.45","295.68","239.07","0.0","","","","","","",""
"2014.0","11.0","11.0","315.0","2.0","0.61","0.7","0.0","1.51","0.7","1.06","0.0","0.0","0.0","0.0","16.27","71.83","310.9","155.45","294.62","239.07","0.0","","","","","","",""
"2014.0","11.0","12.0","316.0","2.0","0.59","0.7","0.0","1.4","0.7","0.98","0.0","0.0","0.0","0.0","17.25","71.83","310.9","155.45","293.64","239.07","0.0","","","","","","",""
"2014.0","11.0","13.0","317.0","2.0","1.18","0.7","0.0","0.94","1.18","1.11","3.18","3.18","0.0","0.0","15.18","71.83","310.9","155.45","295.71","239.07","0.0","","","","","","",""
"2014.0","11.0","14.0","318.0","2.0","1.17","0.7","0.0","1.24","1.17","1.45","2.3","2.3","0.0","0.0","14.34","71.83","310.9","155.45","296.56","239.07","0.0","","","","","","",""
"2014.0","11.0","15.0","319.0","2.0","1.17","0.7","0.0","1.23","1.17","1.44","0.0","0.0","0.0","0.0","15.78","71.83","310.9","155.45","295.12","239.07","0.0","","","","","","",""
"2014.0","11.0","16.0","320.0","2.0","1.16","0.7","0.0","2.03","1.16","2.35","0.0","0.0","0.0","0.0","18.13","71.83","310.9","155.45","292.77","239.07","0.0","","","","","","",""
"2014.0","11.0","17.0","321.0","2.0","1.11","0.7","0.0","1.87","1.11","2.07","0.0","0.0","0.0","0.0","20.2","71.83","310.9","155.45","290.69","239.07","0.0","","","","","","",""
"2014.0","11.0","18.0","322.0","2.0","1.0","0.7","0.0","1.42","1.0","1.42","0.0","0.0","0.0","0.0","21.63","71.83","310.9","155.45","289.27","239.07","0.0","","","","","","",""
"2014.0","11.0","19.0","323.0","2.0","0.95","0.7","0.0","1.0","0.95","0.95","0.0","0.0","0.0","0.0","22.57","71.83","310.9","155.45","288.33","239.07","0.0","","","","","","",""
"2014.0","11.0","20.0","324.0","2.0","1.19","0.7","0.0","0.63","1.19","0.75","3.48","3.48","0.0","0.0","19.84","71.83","310.9","155.45","291.05","239.07","0.0","","","","","","",""
"2014.0","11.0","21.0","325.0","2.0","1.19","0.7","0.0","0.77","1.19","0.92","4.74","4.74","0.0","0.0","16.02","71.83","310.9","155.45","294.88","239.07","0.0","","","","","","",""
"2014.0","11.0","22.0","326.0","2.0","1.18","0.7","0.0","1.08","1.18","1.28","0.6","0.6","0.0","0.0","16.7","71.83","310.9","155.45","294.2","239.07","0.0","","","","","","",""
"2014.0","11.0","23.0","327.0","2.0","1.16","0.7","0.0","1.44","1.16","1.67","1.87","1.87","0.0","0.0","16.5","71.83","310.9","155.45","294.4","239.07","0.0","","","","","","",""
"2014.0","11.0","24.0","328.0","2.0","1.16","0.7","0.0","1.37","1.16","1.59","0.0","0.0","0.0","0.0","18.09","71.83","310.9","155.45","292.8","239.07","0.0","","","","","","",""
"2014.0","11.0","25.0","329.0","2.0","1.17","0.7","0.0","1.22","1.17","1.42","0.0","0.0","0.0","0.0","19.52","71.83","310.9","155.45","291.38","239.07","0.0","","","","","","",""
"2014.0","11.0","26.0","330.0","2.0","1.17","0.7","0.0","1.16","1.17","1.35","0.0","0.0","0.0","0.0","20.87","71.83","310.9","155.45","290.02","239.07","0.0","","","","","","",""
"2014.0","11.0","27.0","331.0","2.0","1.11","0.7","0.0","1.2","1.11","1.33","0.0","0.0","0.0","0.0","22.21","71.83","310.9","155.45","288.69","239.07","0.0","","","","","","",""
"2014.0","11.0","28.0","332.0","2.0","1.02","0.7","0.0","1.15","1.02","1.18","0.0","0.0","0.0","0.0","23.38","71.83","310.9","155.45","287.51","239.07","0.0","","","","","","",""
"2014.0","11.0","29.0","333.0","2.0","1.19","0.7","0.0","0.86","1.19","1.02","4.67","4.67","0.0","0.0","19.73","71.83","310.9","155.45","291.16","239.07","0.0","","","","","","",""
"2014.0","11.0","30.0","334.0","2.0","1.19","0.7","0.0","0.66","1.19","0.79","6.84","6.84","0.0","0.0","13.68","71.83","310.9","155.45","297.21","239.07","0.0","","","","","","",""
"2014.0","12.0","1.0","335.0","2.0","1.18","0.7","0.0","1.03","1.18","1.21","3.4","3.4","0.0","0.0","11.5","71.83","310.9","155.45","299.4","239.07","0.0","","","","","","",""
"2014.0","12.0","2.0","336.0","2.0","1.19","0.7","0.0","0.67","1.19","0.8","1.57","1.57","0.0","0.0","10.73","71.83","310.9","155.45","300.17","239.07","0.0","","","","","","",""
"2014.0","12.0","3.0","337.0","2.0","1.18","0.7","0.0","1.07","1.18","1.26","42.83","11.99","0.0","0.0","0.0","71.83","310.9","155.45","310.9","239.07","0.0","","","","","","",""
"2014.0","12.0","4.0","338.0","2.0","1.18","0.7","0.0","1.07","1.18","1.26","23.53","1.26","0.0","0.0","0.0","71.83","310.9","155.45","310.9","239.07","0.0","","","","","","",""
"2014.0","12.0","5.0","339.0","2.0","1.18","0.7","0.0","0.94","1.18","1.11","0.2","0.2","0.0","0.0","0.91","71.83","310.9","155.45","309.99","239.07","0.0","","","","","","",""
"2014.0","12.0","6.0","340.0","2.0","1.18","0.7","0.0","1.08","1.18","1.27","3.02","2.18","0.0","0.0","0.0","71.83","310.9","155.45","310.9","239.07","0.0","","","","","","",""
"2014.0","12.0","7.0","341.0","2.0","1.18","0.7","0.0","0.8","1.18","0.95","0.51","0.51","0.0","0.0","0.44","71.83","310.9","155.45","310.46","239.07","0.0","","","","","","",""
"2014.0","12.0","8.0","342.0","2.0","1.18","0.7","0.0","0.83","1.18","0.98","0.0","0.0","0.0","0.0","1.42","71.83","310.9","155.45","309.48","239.07","0.0","","","","","","",""
"2014.0","12.0","9.0","343.0","2.0","1.19","0.7","0.0","0.69","1.19","0.82","0.0","0.0","0.0","0.0","2.24","71.83","310.9","155.45","308.66","239.07","0.0","","","","","","",""
"2014.0","12.0","10.0","344.0","2.0","1.19","0.7","0.0","0.97","1.19","1.15","0.0","0.0","0.0","0.0","3.39","71.83","310.9","155.45","307.51","239.07","0.0","","","","","","",""
"2014.0","12.0","11.0","345.0","2.0","1.18","0.7","0.0","1.19","1.18","1.41","0.75","0.75","0.0","0.0","4.04","71.83","310.9","155.45","306.85","239.07","0.0","","","","","","",""
"2014.0","12.0","12.0","346.0","2.0","1.2","0.7","0.0","0.6","1.2","0.72","73.65","4.76","0.0","0.0","0.0","71.83","310.9","155.45","310.9","239.07","0.0","","","","","","",""
"2014.0","12.0","13.0","347.0","2.0","1.19","0.7","0.0","0.67","1.19","0.8","1.55","0.8","0.0","0.0","0.0","71.83","310.9","155.45","310.9","239.07","0.0","","","","","","",""
"2014.0","12.0","14.0","348.0","2.0","1.19","0.7","0.0","0.69","1.19","0.82","0.0","0.0","0.0","0.0","0.82","71.83","310.9","155.45","310.07","239.07","0.0","","","","","","",""
"2014.0","12.0","15.0","349.0","2.0","1.19","0.7","0.0","0.87","1.19","1.03","5.34","1.85","0.0","0.0","0.0","71.83","310.9","155.45","310.9","239.07","0.0","","","","","","",""
"2014.0","12.0","16.0","350.0","2.0","1.17","0.7","0.0","1.18","1.17","1.38","10.1","1.38","0.0","0.0","0.0","71.83","310.9","155.45","310.9","239.07","0.0","","","","","","",""
"2014.0","12.0","17.0","351.0","2.0","1.18","0.7","0.0","0.96","1.18","1.13","14.67","1.13","0.0","0.0","0.0","71.83","310.9","155.45","310.9","239.07","0.0","","","","","","",""
"2014.0","12.0","18.0","352.0","2.0","1.18","0.7","0.0","0.91","1.18","1.08","2.9","1.08","0.0","0.0","0.0","71.83","310.9","155.45","310.9","239.07","0.0","","","","","","",""
"2014.0","12.0","19.0","353.0","2.0","1.19","0.7","0.0","0.81","1.19","0.96","0.09","0.09","0.0","0.0","0.87","71.83","310.9","155.45","310.03","239.07","0.0","","","","","","",""
"2014.0","12.0","20.0","354.0","2.0","1.19","0.7","0.0","0.63","1.19","0.75","18.41","1.62","0.0","0.0","0.0","71.83","310.9","155.45","310.9","239.07","0.0","","","","","","",""
"2014.0","12.0","21.0","355.0","2.0","1.19","0.7","0.0","0.96","1.19","1.14","0.07","0.07","0.0","0.0","1.07","71.83","310.9","155.45","309.83","239.07","0.0","","","","","","",""
"2014.0","12.0","22.0","356.0","2.0","1.19","0.7","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","2.0","71.83","310.9","155.45","308.9","239.07","0.0","","","","","","",""
"2014.0","12.0","23.0","357.0","2.0","1.19","0.7","0.0","0.72","1.19","0.86","0.0","0.0","0.0","0.0","2.85","71.83","310.9","155.45","308.04","239.07","0.0","","","","","","",""
"2014.0","12.0","24.0","358.0","2.0","1.19","0.7","0.0","0.97","1.19","1.15","0.0","0.0","0.0","0.0","4.01","71.83","310.9","155.45","306.89","239.07","0.0","","","","","","",""
"2014.0","12.0","25.0","359.0","2.0","1.16","0.7","0.0","1.86","1.16","2.16","0.69","0.69","0.0","0.0","5.48","71.83","310.9","155.45","305.42","239.07","0.0","","","","","","",""
"2014.0","12.0","26.0","360.0","2.0","1.01","0.7","0.0","1.91","1.01","1.92","0.0","0.0","0.0","0.0","7.4","71.83","310.9","155.45","303.5","239.07","0.0","","","","","","",""
"2014.0","12.0","27.0","361.0","2.0","0.96","0.7","0.0","0.77","0.96","0.74","0.0","0.0","0.0","0.0","8.14","71.83","310.9","155.45","302.76","239.07","0.0","","","","","","",""
"2014.0","12.0","28.0","362.0","2.0","0.92","0.7","0.0","0.76","0.92","0.7","0.0","0.0","0.0","0.0","8.84","71.83","310.9","155.45","302.06","239.07","0.0","","","","","","",""
"2014.0","12.0","29.0","363.0","2.0","0.9","0.7","0.0","0.55","0.9","0.49","0.0","0.0","0.0","0.0","9.33","71.83","310.9","155.45","301.56","239.07","0.0","","","","","","",""
"2014.0","12.0","30.0","364.0","2.0","0.8","0.7","0.0","2.47","0.8","1.98","0.0","0.0","0.0","0.0","11.31","71.83","310.9","155.45","299.58","239.07","0.0","","","","","","",""
"2014.0","12.0","31.0","365.0","2.0","0.72","0.7","0.0","2.67","0.72","1.94","0.0","0.0","0.0","0.0","13.25","71.83","310.9","155.45","297.65","239.07","0.0","","","","","","",""
"2015.0","1.0","1.0","1.0","2.0","0.71","0.7","0.0","0.85","0.71","0.6","0.0","0.0","0.0","0.0","13.85","70.21","310.9","155.45","297.05","240.69","0.0","","","","","","",""
"2015.0","1.0","2.0","2.0","2.0","0.69","0.7","0.0","0.87","0.7","0.61","0.0","0.0","0.0","0.0","14.46","70.21","310.9","155.45","296.44","240.69","0.0","","","","","","",""
"2015.0","1.0","3.0","3.0","2.0","0.67","0.7","0.0","0.86","0.7","0.6","0.0","0.0","0.0","0.0","15.06","70.21","310.9","155.45","295.84","240.69","0.0","","","","","","",""
"2015.0","1.0","4.0","4.0","2.0","0.65","0.7","0.0","0.96","0.7","0.67","0.0","0.0","0.0","0.0","15.73","70.21","310.9","155.45","295.16","240.69","0.0","","","","","","",""
"2015.0","1.0","5.0","5.0","2.0","0.64","0.7","0.0","0.86","0.7","0.6","0.0","0.0","0.0","0.0","16.33","70.21","310.9","155.45","294.56","240.69","0.0","","","","","","",""
"2015.0","1.0","6.0","6.0","2.0","0.62","0.7","0.0","1.17","0.7","0.82","0.0","0.0","0.0","0.0","17.15","70.21","310.9","155.45","293.74","240.69","0.0","","","","","","",""
"2015.0","1.0","7.0","7.0","2.0","0.6","0.7","0.0","1.19","0.7","0.83","0.0","0.0","0.0","0.0","17.99","70.21","310.9","155.45","292.91","240.69","0.0","","","","","","",""
"2015.0","1.0","8.0","8.0","2.0","0.59","0.7","0.0","1.04","0.7","0.73","0.0","0.0","0.0","0.0","18.71","70.21","310.9","155.45","292.18","240.69","0.0","","","","","","",""
"2015.0","1.0","9.0","9.0","2.0","0.58","0.7","0.0","0.87","0.7","0.61","0.0","0.0","0.0","0.0","19.32","70.21","310.9","155.45","291.57","240.69","0.0","","","","","","",""
"2015.0","1.0","10.0","10.0","2.0","0.57","0.7","0.0","0.96","0.7","0.67","0.0","0.0","0.0","0.0","19.99","70.21","310.9","155.45","290.9","240.69","0.0","","","","","","",""
"2015.0","1.0","11.0","11.0","2.0","0.56","0.7","0.0","0.9","0.7","0.63","0.0","0.0","0.0","0.0","20.62","70.21","310.9","155.45","290.27","240.69","0.0","","","","","","",""
"2015.0","1.0","12.0","12.0","2.0","0.55","0.7","0.0","1.06","0.7","0.74","0.0","0.0","0.0","0.0","21.37","70.21","310.9","155.45","289.53","240.69","0.0","","","","","","",""
"2015.0","1.0","13.0","13.0","2.0","0.53","0.7","0.0","1.19","0.7","0.83","0.0","0.0","0.0","0.0","22.2","70.21","310.9","155.45","288.7","240.69","0.0","","","","","","",""
"2015.0","1.0","14.0","14.0","2.0","0.53","0.7","0.0","0.73","0.7","0.51","0.0","0.0","0.0","0.0","22.71","70.21","310.9","155.45","288.19","240.69","0.0","","","","","","",""
"2015.0","1.0","15.0","15.0","2.0","0.52","0.7","0.0","0.73","0.7","0.51","0.0","0.0","0.0","0.0","23.22","70.21","310.9","155.45","287.67","240.69","0.0","","","","","","",""
"2015.0","1.0","16.0","16.0","2.0","0.52","0.7","0.0","0.62","0.7","0.43","0.0","0.0","0.0","0.0","23.66","70.21","310.9","155.45","287.24","240.69","0.0","","","","","","",""
"2015.0","1.0","17.0","17.0","2.0","0.51","0.7","0.0","0.57","0.7","0.4","0.16","0.16","0.0","0.0","23.89","70.21","310.9","155.45","287.0","240.69","0.0","","","","","","",""
"2015.0","1.0","18.0","18.0","2.0","0.51","0.7","0.0","0.61","0.7","0.43","0.0","0.0","0.0","0.0","24.32","70.21","310.9","155.45","286.57","240.69","0.0","","","","","","",""
"2015.0","1.0","19.0","19.0","2.0","0.5","0.7","0.0","0.7","0.7","0.49","0.0","0.0","0.0","0.0","24.81","70.21","310.9","155.45","286.08","240.69","0.0","","","","","","",""
"2015.0","1.0","20.0","20.0","2.0","0.49","0.7","0.0","0.76","0.7","0.53","0.0","0.0","0.0","0.0","25.34","70.21","310.9","155.45","285.55","240.69","0.0","","","","","","",""
"2015.0","1.0","21.0","21.0","2.0","0.49","0.7","0.0","0.95","0.7","0.67","0.0","0.0","0.0","0.0","26.01","70.21","310.9","155.45","284.89","240.69","0.0","","","","","","",""
"2015.0","1.0","22.0","22.0","2.0","0.48","0.7","0.0","0.76","0.7","0.53","0.0","0.0","0.0","0.0","26.54","70.21","310.9","155.45","284.36","240.69","0.0","","","","","","",""
"2015.0","1.0","23.0","23.0","2.0","0.48","0.7","0.0","0.98","0.7","0.69","0.0","0.0","0.0","0.0","27.23","70.21","310.9","155.45","283.67","240.69","0.0","","","","","","",""
"2015.0","1.0","24.0","24.0","2.0","0.47","0.7","0.0","0.95","0.7","0.67","0.0","0.0","0.0","0.0","27.89","70.21","310.9","155.45","283.0","240.69","0.0","","","","","","",""
"2015.0","1.0","25.0","25.0","2.0","0.46","0.7","0.0","1.05","0.7","0.74","0.0","0.0","0.0","0.0","28.63","70.21","310.9","155.45","282.27","240.69","0.0","","","","","","",""
"2015.0","1.0","26.0","26.0","2.0","0.45","0.7","0.0","1.32","0.7","0.92","0.0","0.0","0.0","0.0","29.55","70.21","310.9","155.45","281.35","240.69","0.0","","","","","","",""
"2015.0","1.0","27.0","27.0","2.0","0.45","0.7","0.0","1.1","0.7","0.77","0.0","0.0","0.0","0.0","30.32","70.21","310.9","155.45","280.58","240.69","0.0","","","","","","",""
"2015.0","1.0","28.0","28.0","2.0","0.44","0.7","0.0","1.57","0.7","1.1","0.0","0.0","0.0","0.0","31.42","70.21","310.9","155.45","279.48","240.69","0.0","","","","","","",""
"2015.0","1.0","29.0","29.0","2.0","0.43","0.7","0.0","1.46","0.7","1.02","0.0","0.0","0.0","0.0","32.44","70.21","310.9","155.45","278.45","240.69","0.0","","","","","","",""
"2015.0","1.0","30.0","30.0","2.0","0.42","0.7","0.0","2.03","0.7","1.42","0.0","0.0","0.0","0.0","33.86","70.21","310.9","155.45","277.03","240.69","0.0","","","","","","",""
"2015.0","1.0","31.0","31.0","2.0","0.41","0.7","0.0","3.58","0.7","2.51","0.0","0.0","0.0","0.0","36.37","70.21","310.9","155.45","274.53","240.69","0.0","","","","","","",""
"2015.0","2.0","1.0","32.0","2.0","0.4","0.7","0.0","1.45","0.7","1.02","0.0","0.0","0.0","0.0","37.38","70.21","310.9","155.45","273.51","240.69","0.0","","","","","","",""
"2015.0","2.0","2.0","33.0","2.0","0.39","0.7","0.0","1.48","0.7","1.04","0.0","0.0","0.0","0.0","38.42","70.21","310.9","155.45","272.48","240.69","0.0","","","","","","",""
"2015.0","2.0","3.0","34.0","2.0","0.39","0.7","0.0","1.52","0.7","1.06","0.0","0.0","0.0","0.0","39.48","70.21","310.9","155.45","271.41","240.69","0.0","","","","","","",""
"2015.0","2.0","4.0","35.0","2.0","0.38","0.7","0.0","1.47","0.7","1.03","0.0","0.0","0.0","0.0","40.51","70.21","310.9","155.45","270.38","240.69","0.0","","","","","","",""
"2015.0","2.0","5.0","36.0","2.0","0.38","0.7","0.0","1.17","0.7","0.82","0.0","0.0","0.0","0.0","41.33","70.21","310.9","155.45","269.56","240.69","0.0","","","","","","",""
"2015.0","2.0","6.0","37.0","2.0","0.37","0.7","0.0","2.17","0.7","1.52","0.0","0.0","0.0","0.0","42.85","70.21","310.9","155.45","268.05","240.69","0.0","","","","","","",""
"2015.0","2.0","7.0","38.0","2.0","1.16","0.7","0.0","1.44","1.16","1.67","33.87","33.87","0.0","0.0","10.65","70.21","310.9","155.45","300.24","240.69","0.0","","","","","","",""
"2015.0","2.0","8.0","39.0","2.0","1.17","0.7","0.0","1.29","1.17","1.51","4.7","4.7","0.0","0.0","7.46","70.21","310.9","155.45","303.43","240.69","0.0","","","","","","",""
"2015.0","2.0","9.0","40.0","2.0","1.14","0.7","0.0","1.97","1.14","2.25","23.02","9.71","0.0","0.0","0.0","70.21","310.9","155.45","310.9","240.69","0.0","","","","","","",""
"2015.0","2.0","10.0","41.0","2.0","1.14","0.7","0.0","1.83","1.14","2.09","0.18","0.18","0.0","0.0","1.91","70.21","310.9","155.45","308.98","240.69","0.0","","","","","","",""
"2015.0","2.0","11.0","42.0","2.0","1.15","0.7","0.0","1.59","1.15","1.83","0.0","0.0","0.0","0.0","3.74","70.21","310.9","155.45","307.16","240.69","0.0","","","","","","",""
"2015.0","2.0","12.0","43.0","2.0","1.03","0.7","0.0","1.98","1.03","2.03","0.0","0.0","0.0","0.0","5.77","70.21","310.9","155.45","305.13","240.69","0.0","","","","","","",""
