" Daily soil water balance output for Rice in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Rice in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2014.0","11.0","6.0","310.0","1249.0","0.83","0.0","0.0","1.94","0.83","1.6","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","","","",""
"2014.0","11.0","7.0","311.0","1249.0","0.76","0.0","0.0","2.01","0.76","1.53","0.0","0.0","0.0","0.0","30.03","28.5","231.65","115.82","201.62","203.15","0.0","","","","","","","","",""
"2014.0","11.0","8.0","312.0","1249.0","0.71","0.0","0.0","1.88","0.71","1.34","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","","","",""
"2014.0","11.0","9.0","313.0","1249.0","0.67","0.0","0.0","1.86","0.67","1.25","0.0","0.0","0.0","0.0","29.75","28.5","231.65","115.82","201.9","203.15","0.0","","","","","","","","",""
"2014.0","11.0","10.0","314.0","1249.0","0.64","0.0","0.0","1.96","0.64","1.25","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","","","",""
"2014.0","11.0","11.0","315.0","1249.0","0.61","0.0","0.0","1.52","0.61","0.93","0.0","0.0","0.0","0.0","29.43","28.5","231.65","115.82","202.22","203.15","0.0","","","","","","","","",""
"2014.0","11.0","12.0","316.0","1249.0","0.59","0.0","0.0","1.46","0.59","0.87","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","","","",""
"2014.0","11.0","13.0","317.0","1249.0","1.18","0.0","0.0","1.02","1.18","1.2","4.19","4.19","0.0","0.0","25.51","28.5","231.65","115.82","206.14","203.15","0.0","","","","","","","","",""
"2014.0","11.0","14.0","318.0","1249.0","1.17","0.0","0.0","1.34","1.17","1.56","1.96","1.96","0.0","0.0","25.12","28.5","231.65","115.82","206.53","203.15","0.0","","","","","","","","",""
"2014.0","11.0","15.0","319.0","1249.0","1.17","0.0","0.0","1.28","1.17","1.49","0.0","0.0","0.0","0.0","26.61","28.5","231.65","115.82","205.04","203.15","0.0","","","","","","","","",""
"2014.0","11.0","16.0","320.0","1249.0","1.16","0.0","0.0","1.98","1.16","2.29","0.01","0.01","0.0","0.0","28.89","28.5","231.65","115.82","202.75","203.15","0.0","","","","","","","","",""
"2014.0","11.0","17.0","321.0","1249.0","1.1","0.0","0.0","1.82","1.1","2.01","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","","","",""
"2014.0","11.0","18.0","322.0","1249.0","1.0","0.0","0.0","1.37","1.0","1.37","0.0","0.0","0.0","0.0","29.87","28.5","231.65","115.82","201.77","203.15","0.0","","","","","","","","",""
"2014.0","11.0","19.0","323.0","1249.0","0.94","0.0","0.0","1.06","0.94","1.0","0.13","0.13","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","","","",""
"2014.0","11.0","20.0","324.0","1249.0","1.19","0.0","0.0","0.64","1.19","0.76","3.26","3.26","0.0","0.0","26.0","28.5","231.65","115.82","205.64","203.15","0.0","","","","","","","","",""
"2014.0","11.0","21.0","325.0","1249.0","1.19","0.0","0.0","0.82","1.19","0.97","4.7","4.7","0.0","0.0","22.28","28.5","231.65","115.82","209.37","203.15","0.0","","","","","","","","",""
"2014.0","11.0","22.0","326.0","1249.0","1.18","0.0","0.0","1.16","1.18","1.37","0.19","0.19","0.0","0.0","23.46","28.5","231.65","115.82","208.19","203.15","0.0","","","","","","","","",""
"2014.0","11.0","23.0","327.0","1249.0","1.16","0.0","0.0","1.49","1.16","1.73","3.38","3.38","0.0","0.0","21.81","28.5","231.65","115.82","209.84","203.15","0.0","","","","","","","","",""
"2014.0","11.0","24.0","328.0","1249.0","1.16","0.0","0.0","1.37","1.16","1.59","0.0","0.0","0.0","0.0","23.4","28.5","231.65","115.82","208.25","203.15","0.0","","","","","","","","",""
"2014.0","11.0","25.0","329.0","1249.0","1.17","0.0","0.0","1.22","1.17","1.42","0.0","0.0","0.0","0.0","24.82","28.5","231.65","115.82","206.83","203.15","0.0","","","","","","","","",""
"2014.0","11.0","26.0","330.0","1249.0","1.17","0.0","0.0","1.2","1.17","1.4","0.0","0.0","0.0","0.0","26.22","28.5","231.65","115.82","205.43","203.15","0.0","","","","","","","","",""
"2014.0","11.0","27.0","331.0","1249.0","1.1","0.0","0.0","1.19","1.1","1.31","0.0","0.0","0.0","0.0","27.54","28.5","231.65","115.82","204.11","203.15","0.0","","","","","","","","",""
"2014.0","11.0","28.0","332.0","1249.0","1.02","0.0","0.0","1.16","1.02","1.18","0.0","0.0","0.0","0.0","28.72","28.5","231.65","115.82","202.93","203.15","0.0","","","","","","","","",""
"2014.0","11.0","29.0","333.0","1249.0","1.19","0.0","0.0","0.85","1.19","1.01","2.69","2.69","0.0","0.0","26.03","28.5","231.65","115.82","205.62","203.15","0.0","","","","","","","","",""
"2014.0","11.0","30.0","334.0","1249.0","1.19","0.0","0.0","0.66","1.19","0.79","3.5","3.5","0.0","0.0","23.31","28.5","231.65","115.82","208.33","203.15","0.0","","","","","","","","",""
"2014.0","12.0","1.0","335.0","1249.0","1.18","0.0","0.0","1.02","1.18","1.2","7.13","7.13","0.0","0.0","17.39","28.5","231.65","115.82","214.26","203.15","0.0","","","","","","","","",""
"2014.0","12.0","2.0","336.0","1249.0","1.19","0.0","0.0","0.66","1.19","0.79","2.45","2.45","0.0","0.0","15.73","28.5","231.65","115.82","215.92","203.15","0.0","","","","","","","","",""
"2014.0","12.0","3.0","337.0","1249.0","1.17","0.0","0.0","1.13","1.17","1.33","39.11","17.05","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","0.0","","","","","","","","",""
"2014.0","12.0","4.0","338.0","1249.0","1.18","0.0","0.0","1.1","1.18","1.29","21.84","1.29","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","0.0","","","","","","","","",""
"2014.0","12.0","5.0","339.0","1249.0","1.18","0.0","0.0","0.92","1.18","1.09","0.22","0.22","0.0","0.0","0.87","28.5","231.65","115.82","230.78","203.15","0.0","","","","","","","","",""
"2014.0","12.0","6.0","340.0","1249.0","1.18","0.0","0.0","1.09","1.18","1.28","2.83","2.15","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","0.0","","","","","","","","",""
"2014.0","12.0","7.0","341.0","1249.0","1.18","0.0","0.0","0.77","1.18","0.91","0.78","0.78","0.0","0.0","0.13","28.5","231.65","115.82","231.52","203.15","0.0","","","","","","","","",""
"2014.0","12.0","8.0","342.0","1249.0","1.18","0.0","0.0","0.83","1.18","0.98","0.0","0.0","0.0","0.0","1.11","28.5","231.65","115.82","230.53","203.15","0.0","","","","","","","","",""
"2014.0","12.0","9.0","343.0","1249.0","1.19","0.0","0.0","0.68","1.19","0.81","0.0","0.0","0.0","0.0","1.92","28.5","231.65","115.82","229.73","203.15","0.0","","","","","","","","",""
"2014.0","12.0","10.0","344.0","1249.0","1.19","0.0","0.0","0.97","1.19","1.15","0.0","0.0","0.0","0.0","3.07","28.5","231.65","115.82","228.58","203.15","0.0","","","","","","","","",""
"2014.0","12.0","11.0","345.0","1249.0","1.18","0.0","0.0","1.27","1.18","1.5","0.01","0.01","0.0","0.0","4.56","28.5","231.65","115.82","227.09","203.15","0.0","","","","","","","","",""
"2014.0","12.0","12.0","346.0","1249.0","1.2","0.0","0.0","0.61","1.2","0.73","68.69","5.29","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","0.0","","","","","","","","",""
"2014.0","12.0","13.0","347.0","1249.0","1.19","0.0","0.0","0.68","1.19","0.81","1.6","0.81","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","0.0","","","","","","","","",""
"2014.0","12.0","14.0","348.0","1249.0","1.19","0.0","0.0","0.73","1.19","0.87","0.0","0.0","0.0","0.0","0.87","28.5","231.65","115.82","230.78","203.15","0.0","","","","","","","","",""
"2014.0","12.0","15.0","349.0","1249.0","1.18","0.0","0.0","0.95","1.18","1.12","6.13","1.99","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","0.0","","","","","","","","",""
"2014.0","12.0","16.0","350.0","1249.0","1.17","0.0","0.0","1.22","1.17","1.43","11.72","1.43","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","0.0","","","","","","","","",""
"2014.0","12.0","17.0","351.0","1249.0","1.18","0.0","0.0","0.96","1.18","1.13","12.55","1.13","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","0.0","","","","","","","","",""
"2014.0","12.0","18.0","352.0","1249.0","1.18","0.0","0.0","0.94","1.18","1.11","2.97","1.11","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","0.0","","","","","","","","",""
"2014.0","12.0","19.0","353.0","1249.0","1.18","0.0","0.0","0.83","1.18","0.98","0.0","0.0","0.0","0.0","0.98","28.5","231.65","115.82","230.66","203.15","0.0","","","","","","","","",""
"2014.0","12.0","20.0","354.0","1249.0","1.19","0.0","0.0","0.65","1.19","0.78","15.13","1.76","0.0","0.0","0.0","28.5","231.65","115.82","231.65","203.15","0.0","","","","","","","","",""
"2014.0","12.0","21.0","355.0","1249.0","1.19","0.0","0.0","0.98","1.19","1.16","0.01","0.01","0.0","0.0","1.15","28.5","231.65","115.82","230.49","203.15","0.0","","","","","","","","",""
"2014.0","12.0","22.0","356.0","1249.0","1.19","0.0","0.0","0.77","1.19","0.91","0.0","0.0","0.0","0.0","2.07","28.5","231.65","115.82","229.58","203.15","0.0","","","","","","","","",""
"2014.0","12.0","23.0","357.0","1249.0","1.19","0.0","0.0","0.72","1.19","0.86","0.0","0.0","0.0","0.0","2.92","28.5","231.65","115.82","228.72","203.15","0.0","","","","","","","","",""
"2014.0","12.0","24.0","358.0","1249.0","1.19","0.0","0.0","0.95","1.19","1.13","0.0","0.0","0.0","0.0","4.05","28.5","231.65","115.82","227.6","203.15","0.0","","","","","","","","",""
"2014.0","12.0","25.0","359.0","1249.0","1.14","0.0","0.0","1.9","1.14","2.17","1.24","1.24","0.0","0.0","4.99","28.5","231.65","115.82","226.66","203.15","0.0","","","","","","","","",""
"2014.0","12.0","26.0","360.0","1249.0","1.15","0.0","0.0","1.79","1.15","2.05","0.0","0.0","0.0","0.0","7.04","28.5","231.65","115.82","224.61","203.15","0.0","","","","","","","","",""
"2014.0","12.0","27.0","361.0","1249.0","1.16","0.0","0.0","0.76","1.16","0.88","0.0","0.0","0.0","0.0","7.92","28.5","231.65","115.82","223.73","203.15","0.0","","","","","","","","",""
"2014.0","12.0","28.0","362.0","1249.0","1.17","0.0","0.0","0.75","1.17","0.88","0.0","0.0","0.0","0.0","8.8","28.5","231.65","115.82","222.85","203.15","0.0","","","","","","","","",""
"2014.0","12.0","29.0","363.0","1249.0","1.17","0.0","0.0","0.54","1.17","0.63","0.0","0.0","0.0","0.0","9.43","28.5","231.65","115.82","222.22","203.15","0.0","","","","","","","","",""
"2014.0","12.0","30.0","364.0","1249.0","0.98","0.0","0.0","2.48","0.98","2.43","0.0","0.0","0.0","0.0","11.86","28.5","231.65","115.82","219.79","203.15","0.0","","","","","","","","",""
"2014.0","12.0","31.0","365.0","1249.0","0.85","0.0","0.0","2.64","0.85","2.24","0.0","0.0","0.0","0.0","14.1","28.5","231.65","115.82","217.55","203.15","0.0","","","","","","","","",""
"2015.0","1.0","1.0","1.0","1249.0","0.82","0.0","0.0","0.89","0.82","0.73","0.0","0.0","0.0","0.0","14.83","28.5","231.65","115.82","216.82","203.15","0.0","","","","","","","","",""
"2015.0","1.0","2.0","2.0","1249.0","0.79","0.0","0.0","0.88","0.79","0.69","0.0","0.0","0.0","0.0","15.52","28.5","231.65","115.82","216.13","203.15","0.0","","","","","","","","",""
"2015.0","1.0","3.0","3.0","1249.0","0.76","0.0","0.0","0.87","0.76","0.66","0.0","0.0","0.0","0.0","16.19","28.5","231.65","115.82","215.46","203.15","0.0","","","","","","","","",""
"2015.0","1.0","4.0","4.0","1249.0","0.74","0.0","0.0","0.97","0.74","0.72","0.0","0.0","0.0","0.0","16.9","28.5","231.65","115.82","214.75","203.15","0.0","","","","","","","","",""
"2015.0","1.0","5.0","5.0","1249.0","0.72","0.0","0.0","0.89","0.72","0.64","0.0","0.0","0.0","0.0","17.54","28.5","231.65","115.82","214.11","203.15","0.0","","","","","","","","",""
"2015.0","1.0","6.0","6.0","1249.0","0.69","0.0","0.0","1.19","0.69","0.82","0.0","0.0","0.0","0.0","18.36","28.5","231.65","115.82","213.29","203.15","0.0","","","","","","","","",""
"2015.0","1.0","7.0","7.0","1249.0","0.67","0.0","0.0","1.19","0.67","0.79","0.0","0.0","0.0","0.0","19.16","28.5","231.65","115.82","212.49","203.15","0.0","","","","","","","","",""
"2015.0","1.0","8.0","8.0","1249.0","0.65","0.0","0.0","1.04","0.65","0.67","0.0","0.0","0.0","0.0","19.83","28.5","231.65","115.82","211.82","203.15","0.0","","","","","","","","",""
"2015.0","1.0","9.0","9.0","1249.0","0.63","0.0","0.0","0.88","0.63","0.56","0.0","0.0","0.0","0.0","20.39","28.5","231.65","115.82","211.26","203.15","0.0","","","","","","","","",""
"2015.0","1.0","10.0","10.0","1249.0","0.62","0.0","0.0","0.99","0.62","0.61","0.0","0.0","0.0","0.0","21.0","28.5","231.65","115.82","210.64","203.15","0.0","","","","","","","","",""
"2015.0","1.0","11.0","11.0","1249.0","0.61","0.0","0.0","0.88","0.61","0.53","0.0","0.0","0.0","0.0","21.54","28.5","231.65","115.82","210.11","203.15","0.0","","","","","","","","",""
"2015.0","1.0","12.0","12.0","1249.0","0.59","0.0","0.0","1.02","0.59","0.6","0.0","0.0","0.0","0.0","22.14","28.5","231.65","115.82","209.51","203.15","0.0","","","","","","","","",""
"2015.0","1.0","13.0","13.0","1249.0","0.58","0.0","0.0","1.08","0.58","0.63","0.0","0.0","0.0","0.0","22.77","28.5","231.65","115.82","208.88","203.15","0.0","","","","","","","","",""
"2015.0","1.0","14.0","14.0","1249.0","0.57","0.0","0.0","0.68","0.57","0.39","0.0","0.0","0.0","0.0","23.16","28.5","231.65","115.82","208.49","203.15","0.0","","","","","","","","",""
"2015.0","1.0","15.0","15.0","1249.0","0.56","0.0","0.0","0.69","0.56","0.39","0.0","0.0","0.0","0.0","23.54","28.5","231.65","115.82","208.1","203.15","0.0","","","","","","","","",""
"2015.0","1.0","16.0","16.0","1249.0","0.56","0.0","0.0","0.6","0.56","0.33","0.0","0.0","0.0","0.0","23.88","28.5","231.65","115.82","207.77","203.15","0.0","","","","","","","","",""
"2015.0","1.0","17.0","17.0","1249.0","0.55","0.0","0.0","0.53","0.55","0.29","0.0","0.0","0.0","0.0","24.17","28.5","231.65","115.82","207.48","203.15","0.0","","","","","","","","",""
"2015.0","1.0","18.0","18.0","1249.0","0.55","0.0","0.0","0.59","0.55","0.32","0.0","0.0","0.0","0.0","24.49","28.5","231.65","115.82","207.15","203.15","0.0","","","","","","","","",""
"2015.0","1.0","19.0","19.0","1249.0","0.54","0.0","0.0","0.62","0.54","0.33","0.01","0.01","0.0","0.0","24.82","28.5","231.65","115.82","206.83","203.15","0.0","","","","","","","","",""
"2015.0","1.0","20.0","20.0","1249.0","0.53","0.0","0.0","0.75","0.53","0.4","0.0","0.0","0.0","0.0","25.22","28.5","231.65","115.82","206.43","203.15","0.0","","","","","","","","",""
"2015.0","1.0","21.0","21.0","1249.0","0.52","0.0","0.0","0.97","0.52","0.51","0.0","0.0","0.0","0.0","25.73","28.5","231.65","115.82","205.92","203.15","0.0","","","","","","","","",""
"2015.0","1.0","22.0","22.0","1249.0","0.52","0.0","0.0","0.72","0.52","0.37","0.0","0.0","0.0","0.0","26.1","28.5","231.65","115.82","205.55","203.15","0.0","","","","","","","","",""
"2015.0","1.0","23.0","23.0","1249.0","0.51","0.0","0.0","0.94","0.51","0.48","0.0","0.0","0.0","0.0","26.58","28.5","231.65","115.82","205.07","203.15","0.0","","","","","","","","",""
"2015.0","1.0","24.0","24.0","1249.0","0.5","0.0","0.0","0.87","0.5","0.44","0.0","0.0","0.0","0.0","27.01","28.5","231.65","115.82","204.63","203.15","0.0","","","","","","","","",""
"2015.0","1.0","25.0","25.0","1249.0","0.49","0.0","0.0","1.02","0.49","0.5","0.0","0.0","0.0","0.0","27.52","28.5","231.65","115.82","204.13","203.15","0.0","","","","","","","","",""
"2015.0","1.0","26.0","26.0","1249.0","0.49","0.0","0.0","1.27","0.49","0.62","0.0","0.0","0.0","0.0","28.13","28.5","231.65","115.82","203.51","203.15","0.0","","","","","","","","",""
"2015.0","1.0","27.0","27.0","1249.0","0.48","0.0","0.0","1.12","0.48","0.53","0.0","0.0","0.0","0.0","28.67","28.5","231.65","115.82","202.98","203.15","0.0","","","","","","","","",""
"2015.0","1.0","28.0","28.0","1249.0","0.47","0.0","0.0","1.5","0.47","0.7","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","","","",""
"2015.0","1.0","29.0","29.0","1249.0","0.46","0.0","0.0","1.41","0.46","0.65","0.0","0.0","0.0","0.0","29.15","28.5","231.65","115.82","202.5","203.15","0.0","","","","","","","","",""
"2015.0","1.0","30.0","30.0","1249.0","0.45","0.0","0.0","1.89","0.45","0.85","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","","","",""
"2015.0","1.0","31.0","31.0","1249.0","0.43","0.0","0.0","3.35","0.43","1.44","0.0","0.0","0.0","0.0","29.94","28.5","231.65","115.82","201.71","203.15","0.0","","","","","","","","",""
"2015.0","2.0","1.0","32.0","1249.0","0.42","0.0","0.0","1.46","0.42","0.62","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","","","",""
"2015.0","2.0","2.0","33.0","1249.0","0.41","0.0","0.0","1.5","0.41","0.62","0.0","0.0","0.0","0.0","29.12","28.5","231.65","115.82","202.53","203.15","0.0","","","","","","","","",""
"2015.0","2.0","3.0","34.0","1249.0","0.41","0.0","0.0","1.56","0.41","0.64","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","","","",""
"2015.0","2.0","4.0","35.0","1249.0","0.4","0.0","0.0","1.45","0.4","0.58","0.0","0.0","0.0","0.0","29.08","28.5","231.65","115.82","202.57","203.15","0.0","","","","","","","","",""
"2015.0","2.0","5.0","36.0","1249.0","0.4","0.0","0.0","1.11","0.4","0.44","0.0","0.0","0.0","0.0","28.5","28.5","231.65","115.82","203.15","203.15","0.0","","","","","","","","",""
"2015.0","2.0","6.0","37.0","1249.0","0.39","0.0","0.0","2.23","0.39","0.87","0.97","0.97","0.0","0.0","28.4","28.5","231.65","115.82","203.25","203.15","0.0","","","","","","","","",""
"2015.0","2.0","7.0","38.0","1249.0","1.16","0.0","0.0","1.43","1.16","1.66","20.87","20.87","0.0","0.0","9.19","28.5","231.65","115.82","222.46","203.15","0.0","","","","","","","","",""
