" Daily soil water balance output for Riparian in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Riparian in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"2014.0","10.0","16.0","289.0","79.0","0.29","1.05","0.0","2.67","1.05","2.8","0.08","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","17.0","290.0","79.0","0.29","1.05","0.0","2.51","1.05","2.63","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","18.0","291.0","79.0","0.29","1.04","0.0","2.9","1.04","3.03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","19.0","292.0","79.0","0.28","1.04","0.0","3.02","1.04","3.14","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","20.0","293.0","79.0","0.28","1.04","0.0","2.28","1.04","2.37","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","21.0","294.0","79.0","0.27","1.03","0.0","2.62","1.03","2.71","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","22.0","295.0","79.0","0.27","1.03","0.0","2.57","1.03","2.65","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","23.0","296.0","79.0","0.27","1.03","0.0","2.45","1.03","2.52","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","24.0","297.0","79.0","0.26","1.02","0.0","2.62","1.02","2.68","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","25.0","298.0","79.0","0.26","1.02","0.0","2.31","1.02","2.36","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","26.0","299.0","79.0","0.26","1.02","0.0","2.62","1.02","2.67","2.42","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","27.0","300.0","79.0","0.26","1.01","0.0","2.46","1.01","2.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","28.0","301.0","79.0","0.25","1.01","0.0","2.35","1.01","2.38","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","29.0","302.0","79.0","0.25","1.01","0.0","2.4","1.01","2.42","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","30.0","303.0","79.0","0.25","1.0","0.0","2.55","1.0","2.56","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","31.0","304.0","79.0","0.25","1.0","0.0","1.22","1.0","1.22","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","1.0","305.0","79.0","1.15","1.0","0.0","1.85","1.15","2.12","9.51","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","2.0","306.0","79.0","1.14","0.99","0.0","2.22","1.14","2.53","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","3.0","307.0","79.0","1.14","0.99","0.0","1.82","1.14","2.08","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","4.0","308.0","79.0","1.01","0.99","0.0","1.76","1.01","1.77","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","5.0","309.0","79.0","0.91","0.98","0.0","1.77","0.98","1.74","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","6.0","310.0","79.0","0.82","0.98","0.0","1.95","0.98","1.91","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","7.0","311.0","79.0","0.76","0.98","0.0","2.02","0.98","1.98","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","8.0","312.0","79.0","0.71","0.97","0.0","1.91","0.97","1.86","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","9.0","313.0","79.0","0.67","0.97","0.0","1.87","0.97","1.82","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","10.0","314.0","79.0","0.63","0.97","0.0","2.04","0.97","1.97","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","11.0","315.0","79.0","0.61","0.96","0.0","1.51","0.96","1.46","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","12.0","316.0","79.0","0.59","0.96","0.0","1.4","0.96","1.35","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","13.0","317.0","79.0","1.18","0.96","0.0","0.94","1.18","1.11","3.18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","14.0","318.0","79.0","1.17","0.95","0.0","1.24","1.17","1.45","2.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","15.0","319.0","79.0","1.17","0.95","0.0","1.23","1.17","1.44","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","16.0","320.0","79.0","1.16","0.95","0.0","2.03","1.16","2.35","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","17.0","321.0","79.0","1.11","0.95","0.0","1.87","1.11","2.07","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","18.0","322.0","79.0","1.0","0.94","0.0","1.42","1.0","1.42","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","19.0","323.0","79.0","0.95","0.94","0.0","1.0","0.95","0.95","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","20.0","324.0","79.0","1.19","0.94","0.0","0.63","1.19","0.75","3.48","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","21.0","325.0","79.0","1.19","0.93","0.0","0.77","1.19","0.92","4.74","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","22.0","326.0","79.0","1.18","0.93","0.0","1.08","1.18","1.28","0.6","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","23.0","327.0","79.0","1.16","0.93","0.0","1.44","1.16","1.67","1.87","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","24.0","328.0","79.0","1.16","0.92","0.0","1.37","1.16","1.59","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","25.0","329.0","79.0","1.17","0.92","0.0","1.22","1.17","1.42","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","26.0","330.0","79.0","1.17","0.92","0.0","1.16","1.17","1.35","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","27.0","331.0","79.0","1.11","0.91","0.0","1.2","1.11","1.33","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","28.0","332.0","79.0","1.02","0.91","0.0","1.15","1.02","1.18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","29.0","333.0","79.0","1.19","0.91","0.0","0.86","1.19","1.02","4.67","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","30.0","334.0","79.0","1.19","0.9","0.0","0.66","1.19","0.79","6.84","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","1.0","335.0","79.0","1.18","0.9","0.0","1.03","1.18","1.21","3.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","2.0","336.0","79.0","1.19","0.9","0.0","0.67","1.19","0.8","1.57","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","3.0","337.0","79.0","1.18","0.89","0.0","1.07","1.18","1.26","42.83","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","4.0","338.0","79.0","1.18","0.89","0.0","1.07","1.18","1.26","23.53","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","5.0","339.0","79.0","1.18","0.89","0.0","0.94","1.18","1.11","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","6.0","340.0","79.0","1.18","0.88","0.0","1.08","1.18","1.27","3.02","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","7.0","341.0","79.0","1.18","0.88","0.0","0.8","1.18","0.95","0.51","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","8.0","342.0","79.0","1.18","0.88","0.0","0.83","1.18","0.98","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","9.0","343.0","79.0","1.19","0.87","0.0","0.69","1.19","0.82","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","10.0","344.0","79.0","1.19","0.87","0.0","0.97","1.19","1.15","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","11.0","345.0","79.0","1.18","0.87","0.0","1.19","1.18","1.41","0.75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","12.0","346.0","79.0","1.2","0.86","0.0","0.6","1.2","0.72","73.65","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","13.0","347.0","79.0","1.19","0.86","0.0","0.67","1.19","0.8","1.55","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","14.0","348.0","79.0","1.19","0.86","0.0","0.69","1.19","0.82","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","15.0","349.0","79.0","1.19","0.85","0.0","0.87","1.19","1.03","5.34","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","16.0","350.0","79.0","1.17","0.85","0.0","1.18","1.17","1.38","10.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","17.0","351.0","79.0","1.18","0.85","0.0","0.96","1.18","1.13","14.67","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","18.0","352.0","79.0","1.18","0.84","0.0","0.91","1.18","1.08","2.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","19.0","353.0","79.0","1.19","0.84","0.0","0.81","1.19","0.96","0.09","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","20.0","354.0","79.0","1.19","0.84","0.0","0.63","1.19","0.75","18.41","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","21.0","355.0","79.0","1.19","0.83","0.0","0.96","1.19","1.14","0.07","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","22.0","356.0","79.0","1.19","0.83","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","23.0","357.0","79.0","1.19","0.83","0.0","0.72","1.19","0.86","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","24.0","358.0","79.0","1.19","0.82","0.0","0.97","1.19","1.15","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","25.0","359.0","79.0","1.16","0.82","0.0","1.86","1.16","2.16","0.69","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","26.0","360.0","79.0","1.01","0.82","0.0","1.91","1.01","1.92","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","27.0","361.0","79.0","0.96","0.81","0.0","0.77","0.96","0.74","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","28.0","362.0","79.0","0.92","0.81","0.0","0.76","0.92","0.7","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","29.0","363.0","79.0","0.9","0.81","0.0","0.55","0.9","0.49","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","30.0","364.0","79.0","0.8","0.8","0.0","2.47","0.8","1.98","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","31.0","365.0","79.0","0.72","0.8","0.0","2.67","0.8","2.14","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","1.0","1.0","79.0","0.71","0.8","0.0","0.85","0.8","0.68","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","2.0","2.0","79.0","0.69","0.8","0.0","0.87","0.8","0.7","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","3.0","3.0","79.0","0.67","0.8","0.0","0.86","0.8","0.69","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","4.0","4.0","79.0","0.65","0.8","0.0","0.96","0.8","0.77","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","5.0","5.0","79.0","0.64","0.8","0.0","0.86","0.8","0.69","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","6.0","6.0","79.0","0.62","0.8","0.0","1.17","0.8","0.94","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","7.0","7.0","79.0","0.6","0.8","0.0","1.19","0.8","0.95","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","8.0","8.0","79.0","0.59","0.8","0.0","1.04","0.8","0.83","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","9.0","9.0","79.0","0.58","0.8","0.0","0.87","0.8","0.7","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","10.0","10.0","79.0","0.57","0.8","0.0","0.96","0.8","0.77","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","11.0","11.0","79.0","0.56","0.8","0.0","0.9","0.8","0.72","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","12.0","12.0","79.0","0.55","0.8","0.0","1.06","0.8","0.85","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","13.0","13.0","79.0","0.53","0.8","0.0","1.19","0.8","0.95","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","14.0","14.0","79.0","0.53","0.8","0.0","0.73","0.8","0.58","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","15.0","15.0","79.0","0.52","0.8","0.0","0.73","0.8","0.58","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","16.0","16.0","79.0","0.52","0.8","0.0","0.62","0.8","0.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","17.0","17.0","79.0","0.51","0.8","0.0","0.57","0.8","0.46","0.16","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","18.0","18.0","79.0","0.51","0.8","0.0","0.61","0.8","0.49","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","19.0","19.0","79.0","0.5","0.8","0.0","0.7","0.8","0.56","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","20.0","20.0","79.0","0.49","0.8","0.0","0.76","0.8","0.61","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","21.0","21.0","79.0","0.49","0.8","0.0","0.95","0.8","0.76","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","22.0","22.0","79.0","0.48","0.8","0.0","0.76","0.8","0.61","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","23.0","23.0","79.0","0.48","0.8","0.0","0.98","0.8","0.78","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","24.0","24.0","79.0","0.47","0.8","0.0","0.95","0.8","0.76","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","25.0","25.0","79.0","0.46","0.8","0.0","1.05","0.8","0.84","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","26.0","26.0","79.0","0.45","0.8","0.0","1.32","0.8","1.06","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","27.0","27.0","79.0","0.45","0.8","0.0","1.1","0.8","0.88","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","28.0","28.0","79.0","0.44","0.8","0.0","1.57","0.8","1.26","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","29.0","29.0","79.0","0.43","0.8","0.0","1.46","0.8","1.17","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","30.0","30.0","79.0","0.42","0.8","0.0","2.03","0.8","1.62","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","31.0","31.0","79.0","0.41","0.8","0.0","3.58","0.8","2.86","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","1.0","32.0","79.0","0.4","0.8","0.0","1.45","0.8","1.16","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","2.0","33.0","79.0","0.39","0.8","0.0","1.48","0.8","1.18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","3.0","34.0","79.0","0.39","0.8","0.0","1.52","0.8","1.22","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","4.0","35.0","79.0","0.38","0.8","0.0","1.47","0.8","1.18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","5.0","36.0","79.0","0.38","0.8","0.0","1.17","0.8","0.94","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","6.0","37.0","79.0","0.37","0.8","0.0","2.17","0.8","1.74","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","7.0","38.0","79.0","1.16","0.8","0.0","1.44","1.16","1.67","33.87","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","8.0","39.0","79.0","1.17","0.8","0.0","1.29","1.17","1.51","4.7","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","9.0","40.0","79.0","1.14","0.8","0.0","1.97","1.14","2.25","23.02","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","10.0","41.0","79.0","1.14","0.8","0.0","1.83","1.14","2.09","0.18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","11.0","42.0","79.0","1.15","0.8","0.0","1.59","1.15","1.83","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","12.0","43.0","79.0","1.03","0.8","0.0","1.98","1.03","2.03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
