" Daily soil water balance output for Turf_farm in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Turf_farm in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","",""
"2014.0","10.0","16.0","289.0","1583.0","0.08","0.85","0.0","2.77","0.85","2.35","0.0","0.0","0.0","0.0","56.27","56.87","241.4","120.7","185.13","184.54","0.0","","","","","","",""
"2014.0","10.0","17.0","290.0","1583.0","0.08","0.85","0.0","2.57","0.85","2.18","0.0","0.0","0.0","0.0","0.0","56.87","241.4","120.7","241.4","184.54","58.45","","","","","","",""
"2014.0","10.0","18.0","291.0","1583.0","0.08","0.85","0.0","2.93","0.85","2.49","0.0","0.0","0.0","0.0","2.49","56.87","241.4","120.7","238.91","184.54","0.0","","","","","","",""
"2014.0","10.0","19.0","292.0","1583.0","0.08","0.85","0.0","2.95","0.85","2.51","0.0","0.0","0.0","0.0","5.0","56.87","241.4","120.7","236.4","184.54","0.0","","","","","","",""
"2014.0","10.0","20.0","293.0","1583.0","0.08","0.85","0.0","2.41","0.85","2.05","0.0","0.0","0.0","0.0","7.05","56.87","241.4","120.7","234.36","184.54","0.0","","","","","","",""
"2014.0","10.0","21.0","294.0","1583.0","0.08","0.85","0.0","2.78","0.85","2.36","0.0","0.0","0.0","0.0","9.41","56.87","241.4","120.7","231.99","184.54","0.0","","","","","","",""
"2014.0","10.0","22.0","295.0","1583.0","0.08","0.85","0.0","2.61","0.85","2.22","0.0","0.0","0.0","0.0","11.63","56.87","241.4","120.7","229.77","184.54","0.0","","","","","","",""
"2014.0","10.0","23.0","296.0","1583.0","0.08","0.85","0.0","2.6","0.85","2.21","0.0","0.0","0.0","0.0","13.84","56.87","241.4","120.7","227.56","184.54","0.0","","","","","","",""
"2014.0","10.0","24.0","297.0","1583.0","0.08","0.85","0.0","2.62","0.85","2.23","0.0","0.0","0.0","0.0","16.07","56.87","241.4","120.7","225.34","184.54","0.0","","","","","","",""
"2014.0","10.0","25.0","298.0","1583.0","0.08","0.85","0.0","2.22","0.85","1.89","0.03","0.03","0.0","0.0","17.92","56.87","241.4","120.7","223.48","184.54","0.0","","","","","","",""
"2014.0","10.0","26.0","299.0","1583.0","0.08","0.85","0.0","2.76","0.85","2.35","0.77","0.77","0.0","0.0","19.5","56.87","241.4","120.7","221.9","184.54","0.0","","","","","","",""
"2014.0","10.0","27.0","300.0","1583.0","0.08","0.85","0.0","2.56","0.85","2.18","0.0","0.0","0.0","0.0","21.67","56.87","241.4","120.7","219.73","184.54","0.0","","","","","","",""
"2014.0","10.0","28.0","301.0","1583.0","0.08","0.85","0.0","2.42","0.85","2.06","0.0","0.0","0.0","0.0","23.73","56.87","241.4","120.7","217.67","184.54","0.0","","","","","","",""
"2014.0","10.0","29.0","302.0","1583.0","0.08","0.85","0.0","2.46","0.85","2.09","0.0","0.0","0.0","0.0","25.82","56.87","241.4","120.7","215.58","184.54","0.0","","","","","","",""
"2014.0","10.0","30.0","303.0","1583.0","0.08","0.85","0.0","2.53","0.85","2.15","0.0","0.0","0.0","0.0","27.97","56.87","241.4","120.7","213.43","184.54","0.0","","","","","","",""
"2014.0","10.0","31.0","304.0","1583.0","0.08","0.85","0.0","1.44","0.85","1.22","0.38","0.38","0.0","0.0","28.82","56.87","241.4","120.7","212.59","184.54","0.0","","","","","","",""
"2014.0","11.0","1.0","305.0","1583.0","1.15","0.85","0.0","1.78","1.15","2.04","8.7","8.7","0.0","0.0","22.16","56.87","241.4","120.7","219.24","184.54","0.0","","","","","","",""
"2014.0","11.0","2.0","306.0","1583.0","1.14","0.85","0.0","2.19","1.14","2.5","0.0","0.0","0.0","0.0","24.66","56.87","241.4","120.7","216.74","184.54","0.0","","","","","","",""
"2014.0","11.0","3.0","307.0","1583.0","1.14","0.85","0.0","1.79","1.14","2.05","0.0","0.0","0.0","0.0","26.71","56.87","241.4","120.7","214.7","184.54","0.0","","","","","","",""
"2014.0","11.0","4.0","308.0","1583.0","1.02","0.85","0.0","1.75","1.02","1.78","0.0","0.0","0.0","0.0","28.48","56.87","241.4","120.7","212.92","184.54","0.0","","","","","","",""
"2014.0","11.0","5.0","309.0","1583.0","0.91","0.85","0.0","1.91","0.91","1.73","0.0","0.0","0.0","0.0","30.21","56.87","241.4","120.7","211.19","184.54","0.0","","","","","","",""
"2014.0","11.0","6.0","310.0","1583.0","0.83","0.85","0.0","1.94","0.85","1.65","0.0","0.0","0.0","0.0","31.86","56.87","241.4","120.7","209.54","184.54","0.0","","","","","","",""
"2014.0","11.0","7.0","311.0","1583.0","0.76","0.85","0.0","2.02","0.85","1.72","0.0","0.0","0.0","0.0","33.58","56.87","241.4","120.7","207.82","184.54","0.0","","","","","","",""
"2014.0","11.0","8.0","312.0","1583.0","0.71","0.85","0.0","1.86","0.85","1.58","0.0","0.0","0.0","0.0","35.16","56.87","241.4","120.7","206.24","184.54","0.0","","","","","","",""
"2014.0","11.0","9.0","313.0","1583.0","0.67","0.85","0.0","1.86","0.85","1.58","0.0","0.0","0.0","0.0","36.74","56.87","241.4","120.7","204.66","184.54","0.0","","","","","","",""
"2014.0","11.0","10.0","314.0","1583.0","0.64","0.85","0.0","1.86","0.85","1.58","0.0","0.0","0.0","0.0","38.32","56.87","241.4","120.7","203.08","184.54","0.0","","","","","","",""
"2014.0","11.0","11.0","315.0","1583.0","0.62","0.85","0.0","1.5","0.85","1.28","0.0","0.0","0.0","0.0","39.6","56.87","241.4","120.7","201.8","184.54","0.0","","","","","","",""
"2014.0","11.0","12.0","316.0","1583.0","0.59","0.85","0.0","1.55","0.85","1.32","0.0","0.0","0.0","0.0","40.91","56.87","241.4","120.7","200.49","184.54","0.0","","","","","","",""
"2014.0","11.0","13.0","317.0","1583.0","1.18","0.85","0.0","1.1","1.18","1.29","5.8","5.8","0.0","0.0","36.41","56.87","241.4","120.7","204.99","184.54","0.0","","","","","","",""
"2014.0","11.0","14.0","318.0","1583.0","1.16","0.85","0.0","1.42","1.16","1.65","1.33","1.33","0.0","0.0","36.73","56.87","241.4","120.7","204.67","184.54","0.0","","","","","","",""
"2014.0","11.0","15.0","319.0","1583.0","1.16","0.85","0.0","1.34","1.16","1.56","0.0","0.0","0.0","0.0","38.29","56.87","241.4","120.7","203.11","184.54","0.0","","","","","","",""
"2014.0","11.0","16.0","320.0","1583.0","1.16","0.85","0.0","1.88","1.16","2.18","0.0","0.0","0.0","0.0","40.47","60.35","241.4","120.7","200.93","181.05","0.0","","","","","","",""
"2014.0","11.0","17.0","321.0","1583.0","1.11","0.85","0.0","1.72","1.11","1.91","0.0","0.0","0.0","0.0","42.38","60.35","241.4","120.7","199.03","181.05","0.0","","","","","","",""
"2014.0","11.0","18.0","322.0","1583.0","1.01","0.85","0.0","1.32","1.01","1.33","0.0","0.0","0.0","0.0","43.71","60.35","241.4","120.7","197.69","181.05","0.0","","","","","","",""
"2014.0","11.0","19.0","323.0","1583.0","0.94","0.85","0.0","1.22","0.94","1.15","0.04","0.04","0.0","0.0","44.81","60.35","241.4","120.7","196.59","181.05","0.0","","","","","","",""
"2014.0","11.0","20.0","324.0","1583.0","1.19","0.85","0.0","0.65","1.19","0.78","2.17","2.17","0.0","0.0","43.42","60.35","241.4","120.7","197.98","181.05","0.0","","","","","","",""
"2014.0","11.0","21.0","325.0","1583.0","1.18","0.85","0.0","0.91","1.18","1.08","3.54","3.54","0.0","0.0","40.96","60.35","241.4","120.7","200.44","181.05","0.0","","","","","","",""
"2014.0","11.0","22.0","326.0","1583.0","1.18","0.85","0.0","1.19","1.18","1.4","0.14","0.14","0.0","0.0","42.22","60.35","241.4","120.7","199.18","181.05","0.0","","","","","","",""
"2014.0","11.0","23.0","327.0","1583.0","1.16","0.85","0.0","1.55","1.16","1.79","2.92","2.92","0.0","0.0","41.09","60.35","241.4","120.7","200.31","181.05","0.0","","","","","","",""
"2014.0","11.0","24.0","328.0","1583.0","1.16","0.85","0.0","1.38","1.16","1.6","0.0","0.0","0.0","0.0","42.7","60.35","241.4","120.7","198.71","181.05","0.0","","","","","","",""
"2014.0","11.0","25.0","329.0","1583.0","1.16","0.85","0.0","1.24","1.16","1.44","0.0","0.0","0.0","0.0","44.14","60.35","241.4","120.7","197.26","181.05","0.0","","","","","","",""
"2014.0","11.0","26.0","330.0","1583.0","1.17","0.85","0.0","1.26","1.17","1.47","0.0","0.0","0.0","0.0","45.61","60.35","241.4","120.7","195.79","181.05","0.0","","","","","","",""
"2014.0","11.0","27.0","331.0","1583.0","1.09","0.85","0.0","1.24","1.09","1.35","0.0","0.0","0.0","0.0","46.96","60.35","241.4","120.7","194.44","181.05","0.0","","","","","","",""
"2014.0","11.0","28.0","332.0","1583.0","1.0","0.85","0.0","1.2","1.0","1.2","0.0","0.0","0.0","0.0","48.16","60.35","241.4","120.7","193.24","181.05","0.0","","","","","","",""
"2014.0","11.0","29.0","333.0","1583.0","0.95","0.85","0.0","0.81","0.95","0.77","0.93","0.93","0.0","0.0","48.0","60.35","241.4","120.7","193.4","181.05","0.0","","","","","","",""
"2014.0","11.0","30.0","334.0","1583.0","1.19","0.85","0.0","0.67","1.19","0.8","1.78","1.78","0.0","0.0","47.02","60.35","241.4","120.7","194.38","181.05","0.0","","","","","","",""
"2014.0","12.0","1.0","335.0","1583.0","1.18","0.85","0.0","1.01","1.18","1.19","11.06","11.06","0.0","0.0","37.15","60.35","241.4","120.7","204.25","181.05","0.0","","","","","","",""
"2014.0","12.0","2.0","336.0","1583.0","1.2","0.85","0.0","0.62","1.2","0.74","7.1","7.1","0.0","0.0","30.79","60.35","241.4","120.7","210.61","181.05","0.0","","","","","","",""
"2014.0","12.0","3.0","337.0","1583.0","1.17","0.85","0.0","1.27","1.17","1.48","28.07","28.07","0.0","0.0","4.21","60.35","241.4","120.7","237.19","181.05","0.0","","","","","","",""
"2014.0","12.0","4.0","338.0","1583.0","1.17","0.85","0.0","1.14","1.17","1.34","8.49","5.55","0.0","0.0","0.0","60.35","241.4","120.7","241.4","181.05","0.0","","","","","","",""
"2014.0","12.0","5.0","339.0","1583.0","1.18","0.85","0.0","0.92","1.18","1.08","0.14","0.14","0.0","0.0","0.94","60.35","241.4","120.7","240.46","181.05","0.0","","","","","","",""
"2014.0","12.0","6.0","340.0","1583.0","1.18","0.85","0.0","1.12","1.18","1.32","2.24","2.24","0.0","0.0","0.02","60.35","241.4","120.7","241.38","181.05","0.0","","","","","","",""
"2014.0","12.0","7.0","341.0","1583.0","1.18","0.85","0.0","0.75","1.18","0.89","0.28","0.28","0.0","0.0","0.63","60.35","241.4","120.7","240.77","181.05","0.0","","","","","","",""
"2014.0","12.0","8.0","342.0","1583.0","1.18","0.85","0.0","0.87","1.18","1.03","0.21","0.21","0.0","0.0","1.45","60.35","241.4","120.7","239.95","181.05","0.0","","","","","","",""
"2014.0","12.0","9.0","343.0","1583.0","1.19","0.85","0.0","0.69","1.19","0.82","0.0","0.0","0.0","0.0","2.27","60.35","241.4","120.7","239.14","181.05","0.0","","","","","","",""
"2014.0","12.0","10.0","344.0","1583.0","1.18","0.85","0.0","0.96","1.18","1.14","0.0","0.0","0.0","0.0","3.4","60.35","241.4","120.7","238.0","181.05","0.0","","","","","","",""
"2014.0","12.0","11.0","345.0","1583.0","1.17","0.85","0.0","1.43","1.17","1.67","0.0","0.0","0.0","0.0","5.08","60.35","241.4","120.7","236.32","181.05","0.0","","","","","","",""
"2014.0","12.0","12.0","346.0","1583.0","1.2","0.85","0.0","0.62","1.2","0.74","63.4","5.82","0.0","0.0","0.0","60.35","241.4","120.7","241.4","181.05","0.0","","","","","","",""
"2014.0","12.0","13.0","347.0","1583.0","1.19","0.85","0.0","0.7","1.19","0.83","1.49","0.83","0.0","0.0","0.0","60.35","241.4","120.7","241.4","181.05","0.0","","","","","","",""
"2014.0","12.0","14.0","348.0","1583.0","1.19","0.85","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","0.93","60.35","241.4","120.7","240.47","181.05","0.0","","","","","","",""
"2014.0","12.0","15.0","349.0","1583.0","1.18","0.85","0.0","1.03","1.18","1.21","7.42","2.14","0.0","0.0","0.0","60.35","241.4","120.7","241.4","181.05","0.0","","","","","","",""
"2014.0","12.0","16.0","350.0","1583.0","1.17","0.85","0.0","1.27","1.17","1.48","8.63","1.48","0.0","0.0","0.0","60.35","241.4","120.7","241.4","181.05","0.0","","","","","","",""
"2014.0","12.0","17.0","351.0","1583.0","1.18","0.85","0.0","0.95","1.18","1.12","10.65","1.12","0.0","0.0","0.0","60.35","241.4","120.7","241.4","181.05","0.0","","","","","","",""
"2014.0","12.0","18.0","352.0","1583.0","1.18","0.85","0.0","1.01","1.18","1.19","3.76","1.19","0.0","0.0","0.0","60.35","241.4","120.7","241.4","181.05","0.0","","","","","","",""
"2014.0","12.0","19.0","353.0","1583.0","1.18","0.85","0.0","0.86","1.18","1.02","0.0","0.0","0.0","0.0","1.02","60.35","241.4","120.7","240.38","181.05","0.0","","","","","","",""
"2014.0","12.0","20.0","354.0","1583.0","1.19","0.85","0.0","0.69","1.19","0.82","8.9","1.84","0.0","0.0","0.0","60.35","241.4","120.7","241.4","181.05","0.0","","","","","","",""
"2014.0","12.0","21.0","355.0","1583.0","1.19","0.85","0.0","0.99","1.19","1.17","0.18","0.18","0.0","0.0","0.99","60.35","241.4","120.7","240.41","181.05","0.0","","","","","","",""
"2014.0","12.0","22.0","356.0","1583.0","1.19","0.85","0.0","0.76","1.19","0.9","0.0","0.0","0.0","0.0","1.9","60.35","241.4","120.7","239.5","181.05","0.0","","","","","","",""
"2014.0","12.0","23.0","357.0","1583.0","1.19","0.85","0.0","0.75","1.19","0.89","0.0","0.0","0.0","0.0","2.79","60.35","241.4","120.7","238.61","181.05","0.0","","","","","","",""
"2014.0","12.0","24.0","358.0","1583.0","1.19","0.85","0.0","0.93","1.19","1.1","0.0","0.0","0.0","0.0","3.89","60.35","241.4","120.7","237.51","181.05","0.0","","","","","","",""
"2014.0","12.0","25.0","359.0","1583.0","1.14","0.85","0.0","2.0","1.14","2.28","0.99","0.99","0.0","0.0","5.18","60.35","241.4","120.7","236.22","181.05","0.0","","","","","","",""
"2014.0","12.0","26.0","360.0","1583.0","1.01","0.85","0.0","1.63","1.01","1.65","0.0","0.0","0.0","0.0","6.84","60.35","241.4","120.7","234.57","181.05","0.0","","","","","","",""
"2014.0","12.0","27.0","361.0","1583.0","0.97","0.85","0.0","0.77","0.97","0.74","0.0","0.0","0.0","0.0","7.58","60.35","241.4","120.7","233.82","181.05","0.0","","","","","","",""
"2014.0","12.0","28.0","362.0","1583.0","0.93","0.85","0.0","0.77","0.93","0.71","0.0","0.0","0.0","0.0","8.29","60.35","241.4","120.7","233.11","181.05","0.0","","","","","","",""
"2014.0","12.0","29.0","363.0","1583.0","0.9","0.85","0.0","0.56","0.9","0.5","0.0","0.0","0.0","0.0","8.8","60.35","241.4","120.7","232.6","181.05","0.0","","","","","","",""
"2014.0","12.0","30.0","364.0","1583.0","0.8","0.85","0.0","2.46","0.85","2.09","0.0","0.0","0.0","0.0","10.89","60.35","241.4","120.7","230.51","181.05","0.0","","","","","","",""
"2014.0","12.0","31.0","365.0","1583.0","0.73","0.85","0.0","2.55","0.85","2.17","0.0","0.0","0.0","0.0","13.06","60.35","241.4","120.7","228.35","181.05","0.0","","","","","","",""
"2015.0","1.0","1.0","1.0","1583.0","0.71","0.85","0.0","0.94","0.85","0.8","0.0","0.0","0.0","0.0","13.85","56.48","241.4","120.7","227.55","184.93","0.0","","","","","","",""
"2015.0","1.0","2.0","2.0","1583.0","0.69","0.85","0.0","0.91","0.85","0.77","0.0","0.0","0.0","0.0","14.63","56.48","241.4","120.7","226.77","184.93","0.0","","","","","","",""
"2015.0","1.0","3.0","3.0","1583.0","0.67","0.85","0.0","0.91","0.85","0.77","0.0","0.0","0.0","0.0","15.4","56.48","241.4","120.7","226.0","184.93","0.0","","","","","","",""
"2015.0","1.0","4.0","4.0","1583.0","0.65","0.85","0.0","1.0","0.85","0.85","0.0","0.0","0.0","0.0","16.25","56.48","241.4","120.7","225.15","184.93","0.0","","","","","","",""
"2015.0","1.0","5.0","5.0","1583.0","0.64","0.85","0.0","0.96","0.85","0.82","0.0","0.0","0.0","0.0","17.07","56.48","241.4","120.7","224.33","184.93","0.0","","","","","","",""
"2015.0","1.0","6.0","6.0","1583.0","0.62","0.85","0.0","1.22","0.85","1.04","0.0","0.0","0.0","0.0","18.1","56.48","241.4","120.7","223.3","184.93","0.0","","","","","","",""
"2015.0","1.0","7.0","7.0","1583.0","0.6","0.85","0.0","1.2","0.85","1.02","0.0","0.0","0.0","0.0","19.12","56.48","241.4","120.7","222.28","184.93","0.0","","","","","","",""
"2015.0","1.0","8.0","8.0","1583.0","0.59","0.85","0.0","1.05","0.85","0.89","0.0","0.0","0.0","0.0","20.02","56.48","241.4","120.7","221.38","184.93","0.0","","","","","","",""
"2015.0","1.0","9.0","9.0","1583.0","0.58","0.85","0.0","0.9","0.85","0.77","0.0","0.0","0.0","0.0","20.78","56.48","241.4","120.7","220.62","184.93","0.0","","","","","","",""
"2015.0","1.0","10.0","10.0","1583.0","0.56","0.85","0.0","1.04","0.85","0.88","0.0","0.0","0.0","0.0","21.67","56.48","241.4","120.7","219.74","184.93","0.0","","","","","","",""
"2015.0","1.0","11.0","11.0","1583.0","0.55","0.85","0.0","0.89","0.85","0.76","0.0","0.0","0.0","0.0","22.42","56.48","241.4","120.7","218.98","184.93","0.0","","","","","","",""
"2015.0","1.0","12.0","12.0","1583.0","0.54","0.85","0.0","0.99","0.85","0.84","0.0","0.0","0.0","0.0","23.26","56.48","241.4","120.7","218.14","184.93","0.0","","","","","","",""
"2015.0","1.0","13.0","13.0","1583.0","0.53","0.85","0.0","1.0","0.85","0.85","0.0","0.0","0.0","0.0","24.11","56.48","241.4","120.7","217.29","184.93","0.0","","","","","","",""
"2015.0","1.0","14.0","14.0","1583.0","0.53","0.85","0.0","0.64","0.85","0.54","0.0","0.0","0.0","0.0","24.66","56.48","241.4","120.7","216.74","184.93","0.0","","","","","","",""
"2015.0","1.0","15.0","15.0","1583.0","0.52","0.85","0.0","0.67","0.85","0.57","0.0","0.0","0.0","0.0","25.23","56.48","241.4","120.7","216.17","184.93","0.0","","","","","","",""
"2015.0","1.0","16.0","16.0","1583.0","0.52","0.85","0.0","0.64","0.85","0.54","0.0","0.0","0.0","0.0","25.77","56.48","241.4","120.7","215.63","184.93","0.0","","","","","","",""
"2015.0","1.0","17.0","17.0","1583.0","0.51","0.85","0.0","0.53","0.85","0.45","0.0","0.0","0.0","0.0","26.22","56.48","241.4","120.7","215.18","184.93","0.0","","","","","","",""
"2015.0","1.0","18.0","18.0","1583.0","0.51","0.85","0.0","0.61","0.85","0.52","0.0","0.0","0.0","0.0","26.74","56.48","241.4","120.7","214.66","184.93","0.0","","","","","","",""
"2015.0","1.0","19.0","19.0","1583.0","0.5","0.85","0.0","0.55","0.85","0.47","0.03","0.03","0.0","0.0","27.18","56.48","241.4","120.7","214.22","184.93","0.0","","","","","","",""
"2015.0","1.0","20.0","20.0","1583.0","0.5","0.85","0.0","0.74","0.85","0.63","0.0","0.0","0.0","0.0","27.81","56.48","241.4","120.7","213.59","184.93","0.0","","","","","","",""
"2015.0","1.0","21.0","21.0","1583.0","0.49","0.85","0.0","1.03","0.85","0.88","0.0","0.0","0.0","0.0","28.68","56.48","241.4","120.7","212.72","184.93","0.0","","","","","","",""
"2015.0","1.0","22.0","22.0","1583.0","0.48","0.85","0.0","0.7","0.85","0.6","0.0","0.0","0.0","0.0","29.28","56.48","241.4","120.7","212.12","184.93","0.0","","","","","","",""
"2015.0","1.0","23.0","23.0","1583.0","0.48","0.85","0.0","0.94","0.85","0.8","0.0","0.0","0.0","0.0","30.08","56.48","241.4","120.7","211.33","184.93","0.0","","","","","","",""
"2015.0","1.0","24.0","24.0","1583.0","0.47","0.85","0.0","0.86","0.85","0.73","0.0","0.0","0.0","0.0","30.81","56.48","241.4","120.7","210.59","184.93","0.0","","","","","","",""
"2015.0","1.0","25.0","25.0","1583.0","0.47","0.85","0.0","1.0","0.85","0.85","0.0","0.0","0.0","0.0","31.66","56.48","241.4","120.7","209.74","184.93","0.0","","","","","","",""
"2015.0","1.0","26.0","26.0","1583.0","0.46","0.85","0.0","1.2","0.85","1.02","0.0","0.0","0.0","0.0","32.68","56.48","241.4","120.7","208.72","184.93","0.0","","","","","","",""
"2015.0","1.0","27.0","27.0","1583.0","0.45","0.85","0.0","1.17","0.85","0.99","0.0","0.0","0.0","0.0","33.67","56.48","241.4","120.7","207.73","184.93","0.0","","","","","","",""
"2015.0","1.0","28.0","28.0","1583.0","0.44","0.85","0.0","1.46","0.85","1.24","0.0","0.0","0.0","0.0","34.91","56.48","241.4","120.7","206.49","184.93","0.0","","","","","","",""
"2015.0","1.0","29.0","29.0","1583.0","0.44","0.85","0.0","1.36","0.85","1.16","0.0","0.0","0.0","0.0","36.07","56.48","241.4","120.7","205.33","184.93","0.0","","","","","","",""
"2015.0","1.0","30.0","30.0","1583.0","0.43","0.85","0.0","1.73","0.85","1.47","0.0","0.0","0.0","0.0","37.54","56.48","241.4","120.7","203.86","184.93","0.0","","","","","","",""
"2015.0","1.0","31.0","31.0","1583.0","0.41","0.85","0.0","2.98","0.85","2.53","0.0","0.0","0.0","0.0","40.07","56.48","241.4","120.7","201.33","184.93","0.0","","","","","","",""
"2015.0","2.0","1.0","32.0","1583.0","0.41","0.85","0.0","1.53","0.85","1.3","0.0","0.0","0.0","0.0","41.37","56.48","241.4","120.7","200.03","184.93","0.0","","","","","","",""
"2015.0","2.0","2.0","33.0","1583.0","0.4","0.85","0.0","1.54","0.85","1.31","0.0","0.0","0.0","0.0","42.68","56.48","241.4","120.7","198.72","184.93","0.0","","","","","","",""
"2015.0","2.0","3.0","34.0","1583.0","0.39","0.85","0.0","1.62","0.85","1.38","0.0","0.0","0.0","0.0","44.06","56.48","241.4","120.7","197.34","184.93","0.0","","","","","","",""
"2015.0","2.0","4.0","35.0","1583.0","0.39","0.85","0.0","1.46","0.85","1.24","0.01","0.01","0.0","0.0","45.29","56.48","241.4","120.7","196.11","184.93","0.0","","","","","","",""
"2015.0","2.0","5.0","36.0","1583.0","0.38","0.85","0.0","1.06","0.85","0.9","0.0","0.0","0.0","0.0","46.19","56.48","241.4","120.7","195.21","184.93","0.0","","","","","","",""
"2015.0","2.0","6.0","37.0","1583.0","0.38","0.85","0.0","2.4","0.85","2.04","0.23","0.23","0.0","0.0","48.0","56.48","241.4","120.7","193.4","184.93","0.0","","","","","","",""
"2015.0","2.0","7.0","38.0","1583.0","1.16","0.85","0.0","1.48","1.16","1.72","13.13","13.13","0.0","0.0","36.59","56.48","241.4","120.7","204.81","184.93","0.0","","","","","","",""
"2015.0","2.0","8.0","39.0","1583.0","1.16","0.85","0.0","1.56","1.16","1.81","12.26","12.26","0.0","0.0","26.13","56.48","241.4","120.7","215.27","184.93","0.0","","","","","","",""
"2015.0","2.0","9.0","40.0","1583.0","1.14","0.85","0.0","2.12","1.14","2.41","13.42","13.42","0.0","0.0","15.12","56.48","241.4","120.7","226.28","184.93","0.0","","","","","","",""
"2015.0","2.0","10.0","41.0","1583.0","1.14","0.85","0.0","1.87","1.14","2.13","0.0","0.0","0.0","0.0","17.25","56.48","241.4","120.7","224.15","184.93","0.0","","","","","","",""
