" Daily soil water balance output for Urban Landscape in 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Urban Landscape at 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015","","","","",""
"2014.0","10.0","16.0","289.0","185.0","0.08","0.8","0.0","2.72","0.8","2.18","0.0","0.0","0.0","0.0","27.02","30.66","128.0","64.0","100.98","97.34","0.0","","","","","","",""
"2014.0","10.0","17.0","290.0","185.0","0.08","0.8","0.0","2.53","0.8","2.02","0.0","0.0","0.0","0.0","29.05","30.66","128.0","64.0","98.95","97.34","0.0","","","","","","",""
"2014.0","10.0","18.0","291.0","185.0","0.08","0.8","0.0","2.88","0.8","2.3","0.0","0.0","0.0","0.0","0.0","30.66","128.0","64.0","128.0","97.34","31.35","","","","","","",""
"2014.0","10.0","19.0","292.0","185.0","0.08","0.8","0.0","2.84","0.8","2.27","0.0","0.0","0.0","0.0","2.27","30.66","128.0","64.0","125.73","97.34","0.0","","","","","","",""
"2014.0","10.0","20.0","293.0","185.0","0.08","0.8","0.0","2.22","0.8","1.78","0.0","0.0","0.0","0.0","4.05","30.66","128.0","64.0","123.95","97.34","0.0","","","","","","",""
"2014.0","10.0","21.0","294.0","185.0","0.08","0.8","0.0","2.7","0.8","2.16","0.0","0.0","0.0","0.0","6.21","30.66","128.0","64.0","121.79","97.34","0.0","","","","","","",""
"2014.0","10.0","22.0","295.0","185.0","0.08","0.8","0.0","2.55","0.8","2.04","0.0","0.0","0.0","0.0","8.25","30.66","128.0","64.0","119.75","97.34","0.0","","","","","","",""
"2014.0","10.0","23.0","296.0","185.0","0.08","0.8","0.0","2.57","0.8","2.06","0.0","0.0","0.0","0.0","10.3","30.66","128.0","64.0","117.7","97.34","0.0","","","","","","",""
"2014.0","10.0","24.0","297.0","185.0","0.08","0.8","0.0","2.55","0.8","2.04","0.0","0.0","0.0","0.0","12.34","30.66","128.0","64.0","115.66","97.34","0.0","","","","","","",""
"2014.0","10.0","25.0","298.0","185.0","0.08","0.8","0.0","2.29","0.8","1.83","0.0","0.0","0.0","0.0","14.18","30.66","128.0","64.0","113.82","97.34","0.0","","","","","","",""
"2014.0","10.0","26.0","299.0","185.0","0.08","0.8","0.0","2.69","0.8","2.15","1.42","1.42","0.0","0.0","14.91","30.66","128.0","64.0","113.09","97.34","0.0","","","","","","",""
"2014.0","10.0","27.0","300.0","185.0","0.08","0.8","0.0","2.51","0.8","2.01","0.0","0.0","0.0","0.0","16.92","30.66","128.0","64.0","111.08","97.34","0.0","","","","","","",""
"2014.0","10.0","28.0","301.0","185.0","0.08","0.8","0.0","2.39","0.8","1.91","0.0","0.0","0.0","0.0","18.83","30.66","128.0","64.0","109.17","97.34","0.0","","","","","","",""
"2014.0","10.0","29.0","302.0","185.0","0.08","0.8","0.0","2.5","0.8","2.0","0.0","0.0","0.0","0.0","20.83","30.66","128.0","64.0","107.17","97.34","0.0","","","","","","",""
"2014.0","10.0","30.0","303.0","185.0","0.08","0.8","0.0","2.44","0.8","1.95","0.0","0.0","0.0","0.0","22.78","30.66","128.0","64.0","105.22","97.34","0.0","","","","","","",""
"2014.0","10.0","31.0","304.0","185.0","0.08","0.8","0.0","1.38","0.8","1.1","0.0","0.0","0.0","0.0","23.88","30.66","128.0","64.0","104.12","97.34","0.0","","","","","","",""
"2014.0","11.0","1.0","305.0","185.0","1.15","0.8","0.0","1.85","1.15","2.12","8.58","8.58","0.0","0.0","17.42","30.66","128.0","64.0","110.58","97.34","0.0","","","","","","",""
"2014.0","11.0","2.0","306.0","185.0","1.14","0.8","0.0","2.15","1.14","2.45","0.0","0.0","0.0","0.0","19.88","30.66","128.0","64.0","108.12","97.34","0.0","","","","","","",""
"2014.0","11.0","3.0","307.0","185.0","1.14","0.8","0.0","1.8","1.14","2.06","0.0","0.0","0.0","0.0","21.93","30.66","128.0","64.0","106.07","97.34","0.0","","","","","","",""
"2014.0","11.0","4.0","308.0","185.0","1.01","0.8","0.0","1.77","1.01","1.79","0.0","0.0","0.0","0.0","23.72","30.66","128.0","64.0","104.28","97.34","0.0","","","","","","",""
"2014.0","11.0","5.0","309.0","185.0","0.9","0.8","0.0","1.98","0.9","1.78","0.0","0.0","0.0","0.0","25.5","30.66","128.0","64.0","102.5","97.34","0.0","","","","","","",""
"2014.0","11.0","6.0","310.0","185.0","0.82","0.8","0.0","1.93","0.82","1.58","0.0","0.0","0.0","0.0","27.09","30.66","128.0","64.0","100.91","97.34","0.0","","","","","","",""
"2014.0","11.0","7.0","311.0","185.0","0.76","0.8","0.0","1.95","0.8","1.56","0.0","0.0","0.0","0.0","28.65","30.66","128.0","64.0","99.35","97.34","0.0","","","","","","",""
"2014.0","11.0","8.0","312.0","185.0","0.71","0.8","0.0","1.88","0.8","1.5","0.0","0.0","0.0","0.0","30.15","30.66","128.0","64.0","97.85","97.34","0.0","","","","","","",""
"2014.0","11.0","9.0","313.0","185.0","0.67","0.8","0.0","1.83","0.8","1.46","0.0","0.0","0.0","0.0","0.0","30.66","128.0","64.0","128.0","97.34","31.61","","","","","","",""
"2014.0","11.0","10.0","314.0","185.0","0.64","0.8","0.0","1.78","0.8","1.42","0.0","0.0","0.0","0.0","1.42","30.66","128.0","64.0","126.58","97.34","0.0","","","","","","",""
"2014.0","11.0","11.0","315.0","185.0","0.62","0.8","0.0","1.54","0.8","1.23","0.0","0.0","0.0","0.0","2.66","30.66","128.0","64.0","125.34","97.34","0.0","","","","","","",""
"2014.0","11.0","12.0","316.0","185.0","0.59","0.8","0.0","1.6","0.8","1.28","0.0","0.0","0.0","0.0","3.94","30.66","128.0","64.0","124.06","97.34","0.0","","","","","","",""
"2014.0","11.0","13.0","317.0","185.0","1.18","0.8","0.0","1.12","1.18","1.32","5.87","5.25","0.0","0.0","0.0","30.66","128.0","64.0","128.0","97.34","0.0","","","","","","",""
"2014.0","11.0","14.0","318.0","185.0","1.17","0.8","0.0","1.44","1.17","1.68","1.23","1.23","0.0","0.0","0.45","30.66","128.0","64.0","127.55","97.34","0.0","","","","","","",""
"2014.0","11.0","15.0","319.0","185.0","1.17","0.8","0.0","1.36","1.17","1.59","0.0","0.0","0.0","0.0","2.04","30.66","128.0","64.0","125.96","97.34","0.0","","","","","","",""
"2014.0","11.0","16.0","320.0","185.0","1.16","0.8","0.0","1.9","1.16","2.21","0.0","0.0","0.0","0.0","4.25","30.66","128.0","64.0","123.75","97.34","0.0","","","","","","",""
"2014.0","11.0","17.0","321.0","185.0","1.02","0.8","0.0","1.77","1.02","1.8","0.0","0.0","0.0","0.0","6.05","30.66","128.0","64.0","121.95","97.34","0.0","","","","","","",""
"2014.0","11.0","18.0","322.0","185.0","0.94","0.8","0.0","1.33","0.94","1.25","0.0","0.0","0.0","0.0","7.29","30.66","128.0","64.0","120.71","97.34","0.0","","","","","","",""
"2014.0","11.0","19.0","323.0","185.0","0.88","0.8","0.0","1.19","0.88","1.05","0.0","0.0","0.0","0.0","8.34","30.66","128.0","64.0","119.66","97.34","0.0","","","","","","",""
"2014.0","11.0","20.0","324.0","185.0","1.19","0.8","0.0","0.65","1.19","0.78","2.25","2.25","0.0","0.0","6.87","30.66","128.0","64.0","121.13","97.34","0.0","","","","","","",""
"2014.0","11.0","21.0","325.0","185.0","1.18","0.8","0.0","0.94","1.18","1.11","4.75","4.75","0.0","0.0","3.23","30.66","128.0","64.0","124.77","97.34","0.0","","","","","","",""
"2014.0","11.0","22.0","326.0","185.0","1.18","0.8","0.0","1.28","1.18","1.5","0.01","0.01","0.0","0.0","4.73","30.66","128.0","64.0","123.27","97.34","0.0","","","","","","",""
"2014.0","11.0","23.0","327.0","185.0","1.16","0.8","0.0","1.59","1.16","1.84","3.94","3.94","0.0","0.0","2.62","30.66","128.0","64.0","125.38","97.34","0.0","","","","","","",""
"2014.0","11.0","24.0","328.0","185.0","1.16","0.8","0.0","1.4","1.16","1.62","0.0","0.0","0.0","0.0","4.25","30.66","128.0","64.0","123.75","97.34","0.0","","","","","","",""
"2014.0","11.0","25.0","329.0","185.0","1.16","0.8","0.0","1.29","1.16","1.5","0.0","0.0","0.0","0.0","5.75","30.66","128.0","64.0","122.25","97.34","0.0","","","","","","",""
"2014.0","11.0","26.0","330.0","185.0","1.16","0.8","0.0","1.32","1.16","1.54","0.0","0.0","0.0","0.0","7.29","30.66","128.0","64.0","120.71","97.34","0.0","","","","","","",""
"2014.0","11.0","27.0","331.0","185.0","1.07","0.8","0.0","1.23","1.07","1.32","0.0","0.0","0.0","0.0","8.61","30.66","128.0","64.0","119.39","97.34","0.0","","","","","","",""
"2014.0","11.0","28.0","332.0","185.0","0.99","0.8","0.0","1.19","0.99","1.18","0.0","0.0","0.0","0.0","9.79","30.66","128.0","64.0","118.21","97.34","0.0","","","","","","",""
"2014.0","11.0","29.0","333.0","185.0","0.95","0.8","0.0","0.8","0.95","0.76","0.41","0.41","0.0","0.0","10.13","30.66","128.0","64.0","117.87","97.34","0.0","","","","","","",""
"2014.0","11.0","30.0","334.0","185.0","1.19","0.8","0.0","0.69","1.19","0.82","2.78","2.78","0.0","0.0","8.18","30.66","128.0","64.0","119.82","97.34","0.0","","","","","","",""
"2014.0","12.0","1.0","335.0","185.0","1.18","0.8","0.0","0.96","1.18","1.13","12.37","9.31","0.0","0.0","0.0","30.66","128.0","64.0","128.0","97.34","0.0","","","","","","",""
"2014.0","12.0","2.0","336.0","185.0","1.2","0.8","0.0","0.62","1.2","0.74","10.99","0.74","0.0","0.0","0.0","30.66","128.0","64.0","128.0","97.34","0.0","","","","","","",""
"2014.0","12.0","3.0","337.0","185.0","1.17","0.8","0.0","1.24","1.17","1.45","28.92","1.45","0.0","0.0","0.0","30.66","128.0","64.0","128.0","97.34","0.0","","","","","","",""
"2014.0","12.0","4.0","338.0","185.0","1.17","0.8","0.0","1.13","1.17","1.33","7.13","1.33","0.0","0.0","0.0","30.66","128.0","64.0","128.0","97.34","0.0","","","","","","",""
"2014.0","12.0","5.0","339.0","185.0","1.18","0.8","0.0","0.91","1.18","1.07","0.35","0.35","0.0","0.0","0.72","30.66","128.0","64.0","127.28","97.34","0.0","","","","","","",""
"2014.0","12.0","6.0","340.0","185.0","1.18","0.8","0.0","1.09","1.18","1.28","2.4","2.01","0.0","0.0","0.0","30.66","128.0","64.0","128.0","97.34","0.0","","","","","","",""
"2014.0","12.0","7.0","341.0","185.0","1.18","0.8","0.0","0.72","1.18","0.85","0.32","0.32","0.0","0.0","0.53","32.0","128.0","64.0","127.47","96.0","0.0","","","","","","",""
"2014.0","12.0","8.0","342.0","185.0","1.18","0.8","0.0","0.88","1.18","1.04","0.0","0.0","0.0","0.0","1.57","32.0","128.0","64.0","126.43","96.0","0.0","","","","","","",""
"2014.0","12.0","9.0","343.0","185.0","1.19","0.8","0.0","0.69","1.19","0.82","0.0","0.0","0.0","0.0","2.39","32.0","128.0","64.0","125.61","96.0","0.0","","","","","","",""
"2014.0","12.0","10.0","344.0","185.0","1.19","0.8","0.0","0.9","1.19","1.07","0.0","0.0","0.0","0.0","3.46","32.0","128.0","64.0","124.54","96.0","0.0","","","","","","",""
"2014.0","12.0","11.0","345.0","185.0","1.18","0.8","0.0","1.36","1.18","1.61","0.0","0.0","0.0","0.0","5.07","32.0","128.0","64.0","122.93","96.0","0.0","","","","","","",""
"2014.0","12.0","12.0","346.0","185.0","1.19","0.8","0.0","0.63","1.19","0.75","65.93","5.82","0.0","0.0","0.0","32.0","128.0","64.0","128.0","96.0","0.0","","","","","","",""
"2014.0","12.0","13.0","347.0","185.0","1.19","0.8","0.0","0.74","1.19","0.88","1.66","0.88","0.0","0.0","0.0","32.0","128.0","64.0","128.0","96.0","0.0","","","","","","",""
"2014.0","12.0","14.0","348.0","185.0","1.19","0.8","0.0","0.81","1.19","0.96","0.0","0.0","0.0","0.0","0.96","32.0","128.0","64.0","127.04","96.0","0.0","","","","","","",""
"2014.0","12.0","15.0","349.0","185.0","1.18","0.8","0.0","1.01","1.18","1.19","10.89","2.15","0.0","0.0","0.0","32.0","128.0","64.0","128.0","96.0","0.0","","","","","","",""
"2014.0","12.0","16.0","350.0","185.0","1.17","0.8","0.0","1.24","1.17","1.45","9.78","1.45","0.0","0.0","0.0","32.0","128.0","64.0","128.0","96.0","0.0","","","","","","",""
"2014.0","12.0","17.0","351.0","185.0","1.18","0.8","0.0","0.95","1.18","1.12","11.39","1.12","0.0","0.0","0.0","32.0","128.0","64.0","128.0","96.0","0.0","","","","","","",""
"2014.0","12.0","18.0","352.0","185.0","1.18","0.8","0.0","1.0","1.18","1.18","5.48","1.18","0.0","0.0","0.0","32.0","128.0","64.0","128.0","96.0","0.0","","","","","","",""
"2014.0","12.0","19.0","353.0","185.0","1.18","0.8","0.0","0.85","1.18","1.01","0.0","0.0","0.0","0.0","1.01","32.0","128.0","64.0","126.99","96.0","0.0","","","","","","",""
"2014.0","12.0","20.0","354.0","185.0","1.19","0.8","0.0","0.7","1.19","0.83","8.92","1.84","0.0","0.0","0.0","32.0","128.0","64.0","128.0","96.0","0.0","","","","","","",""
"2014.0","12.0","21.0","355.0","185.0","1.19","0.8","0.0","1.0","1.19","1.19","0.47","0.47","0.0","0.0","0.72","32.0","128.0","64.0","127.28","96.0","0.0","","","","","","",""
"2014.0","12.0","22.0","356.0","185.0","1.19","0.8","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","1.64","32.0","128.0","64.0","126.36","96.0","0.0","","","","","","",""
"2014.0","12.0","23.0","357.0","185.0","1.19","0.8","0.0","0.79","1.19","0.94","0.0","0.0","0.0","0.0","2.58","32.0","128.0","64.0","125.42","96.0","0.0","","","","","","",""
"2014.0","12.0","24.0","358.0","185.0","1.19","0.8","0.0","0.96","1.19","1.14","0.0","0.0","0.0","0.0","3.72","32.0","128.0","64.0","124.28","96.0","0.0","","","","","","",""
"2014.0","12.0","25.0","359.0","185.0","1.13","0.8","0.0","1.97","1.13","2.23","0.72","0.72","0.0","0.0","5.23","32.0","128.0","64.0","122.77","96.0","0.0","","","","","","",""
"2014.0","12.0","26.0","360.0","185.0","1.01","0.8","0.0","1.61","1.01","1.62","0.0","0.0","0.0","0.0","6.86","32.0","128.0","64.0","121.14","96.0","0.0","","","","","","",""
"2014.0","12.0","27.0","361.0","185.0","0.96","0.8","0.0","0.77","0.96","0.74","0.0","0.0","0.0","0.0","7.6","32.0","128.0","64.0","120.4","96.0","0.0","","","","","","",""
"2014.0","12.0","28.0","362.0","185.0","0.92","0.8","0.0","0.77","0.92","0.71","0.0","0.0","0.0","0.0","8.31","32.0","128.0","64.0","119.69","96.0","0.0","","","","","","",""
"2014.0","12.0","29.0","363.0","185.0","0.9","0.8","0.0","0.56","0.9","0.5","0.0","0.0","0.0","0.0","8.81","32.0","128.0","64.0","119.19","96.0","0.0","","","","","","",""
"2014.0","12.0","30.0","364.0","185.0","0.8","0.8","0.0","2.42","0.8","1.94","0.0","0.0","0.0","0.0","10.75","32.0","128.0","64.0","117.25","96.0","0.0","","","","","","",""
"2014.0","12.0","31.0","365.0","185.0","0.73","0.8","0.0","2.55","0.8","2.04","0.0","0.0","0.0","0.0","12.79","32.0","128.0","64.0","115.21","96.0","0.0","","","","","","",""
"2015.0","1.0","1.0","1.0","185.0","0.71","0.8","0.0","1.01","0.8","0.81","0.0","0.0","0.0","0.0","13.6","30.5","128.0","64.0","114.4","97.5","0.0","","","","","","",""
"2015.0","1.0","2.0","2.0","185.0","0.69","0.8","0.0","0.91","0.8","0.73","0.0","0.0","0.0","0.0","14.33","30.5","128.0","64.0","113.67","97.5","0.0","","","","","","",""
"2015.0","1.0","3.0","3.0","185.0","0.67","0.8","0.0","0.92","0.8","0.74","0.0","0.0","0.0","0.0","15.06","30.5","128.0","64.0","112.94","97.5","0.0","","","","","","",""
"2015.0","1.0","4.0","4.0","185.0","0.65","0.8","0.0","1.02","0.8","0.82","0.0","0.0","0.0","0.0","15.88","30.5","128.0","64.0","112.12","97.5","0.0","","","","","","",""
"2015.0","1.0","5.0","5.0","185.0","0.63","0.8","0.0","1.03","0.8","0.82","0.0","0.0","0.0","0.0","16.7","30.5","128.0","64.0","111.3","97.5","0.0","","","","","","",""
"2015.0","1.0","6.0","6.0","185.0","0.61","0.8","0.0","1.27","0.8","1.02","0.0","0.0","0.0","0.0","17.72","30.5","128.0","64.0","110.28","97.5","0.0","","","","","","",""
"2015.0","1.0","7.0","7.0","185.0","0.6","0.8","0.0","1.24","0.8","0.99","0.0","0.0","0.0","0.0","18.71","30.5","128.0","64.0","109.29","97.5","0.0","","","","","","",""
"2015.0","1.0","8.0","8.0","185.0","0.58","0.8","0.0","1.03","0.8","0.82","0.0","0.0","0.0","0.0","19.54","30.5","128.0","64.0","108.46","97.5","0.0","","","","","","",""
"2015.0","1.0","9.0","9.0","185.0","0.57","0.8","0.0","0.9","0.8","0.72","0.0","0.0","0.0","0.0","20.26","30.5","128.0","64.0","107.74","97.5","0.0","","","","","","",""
"2015.0","1.0","10.0","10.0","185.0","0.56","0.8","0.0","1.05","0.8","0.84","0.0","0.0","0.0","0.0","21.1","30.5","128.0","64.0","106.9","97.5","0.0","","","","","","",""
"2015.0","1.0","11.0","11.0","185.0","0.55","0.8","0.0","0.86","0.8","0.69","0.0","0.0","0.0","0.0","21.78","30.5","128.0","64.0","106.22","97.5","0.0","","","","","","",""
"2015.0","1.0","12.0","12.0","185.0","0.54","0.8","0.0","0.97","0.8","0.78","0.0","0.0","0.0","0.0","22.56","30.5","128.0","64.0","105.44","97.5","0.0","","","","","","",""
"2015.0","1.0","13.0","13.0","185.0","0.53","0.8","0.0","1.04","0.8","0.83","0.0","0.0","0.0","0.0","23.39","30.5","128.0","64.0","104.61","97.5","0.0","","","","","","",""
"2015.0","1.0","14.0","14.0","185.0","0.53","0.8","0.0","0.62","0.8","0.5","0.0","0.0","0.0","0.0","23.89","30.5","128.0","64.0","104.11","97.5","0.0","","","","","","",""
"2015.0","1.0","15.0","15.0","185.0","0.52","0.8","0.0","0.66","0.8","0.53","0.0","0.0","0.0","0.0","24.42","30.5","128.0","64.0","103.58","97.5","0.0","","","","","","",""
"2015.0","1.0","16.0","16.0","185.0","0.51","0.8","0.0","0.62","0.8","0.5","0.0","0.0","0.0","0.0","24.91","30.5","128.0","64.0","103.09","97.5","0.0","","","","","","",""
"2015.0","1.0","17.0","17.0","185.0","0.51","0.8","0.0","0.54","0.8","0.43","0.0","0.0","0.0","0.0","25.34","30.5","128.0","64.0","102.66","97.5","0.0","","","","","","",""
"2015.0","1.0","18.0","18.0","185.0","0.51","0.8","0.0","0.66","0.8","0.53","0.0","0.0","0.0","0.0","25.87","30.5","128.0","64.0","102.13","97.5","0.0","","","","","","",""
"2015.0","1.0","19.0","19.0","185.0","0.5","0.8","0.0","0.55","0.8","0.44","0.43","0.43","0.0","0.0","25.88","30.5","128.0","64.0","102.12","97.5","0.0","","","","","","",""
"2015.0","1.0","20.0","20.0","185.0","0.49","0.8","0.0","0.81","0.8","0.65","0.0","0.0","0.0","0.0","26.53","30.5","128.0","64.0","101.47","97.5","0.0","","","","","","",""
"2015.0","1.0","21.0","21.0","185.0","0.49","0.8","0.0","1.08","0.8","0.86","0.0","0.0","0.0","0.0","27.39","30.5","128.0","64.0","100.61","97.5","0.0","","","","","","",""
"2015.0","1.0","22.0","22.0","185.0","0.48","0.8","0.0","0.69","0.8","0.55","0.0","0.0","0.0","0.0","27.95","30.5","128.0","64.0","100.05","97.5","0.0","","","","","","",""
"2015.0","1.0","23.0","23.0","185.0","0.47","0.8","0.0","1.02","0.8","0.82","0.0","0.0","0.0","0.0","28.76","30.5","128.0","64.0","99.24","97.5","0.0","","","","","","",""
"2015.0","1.0","24.0","24.0","185.0","0.47","0.8","0.0","0.96","0.8","0.77","0.0","0.0","0.0","0.0","29.53","30.5","128.0","64.0","98.47","97.5","0.0","","","","","","",""
"2015.0","1.0","25.0","25.0","185.0","0.46","0.8","0.0","1.04","0.8","0.83","0.0","0.0","0.0","0.0","30.36","30.5","128.0","64.0","97.64","97.5","0.0","","","","","","",""
"2015.0","1.0","26.0","26.0","185.0","0.45","0.8","0.0","1.19","0.8","0.95","0.0","0.0","0.0","0.0","0.0","30.5","128.0","64.0","128.0","97.5","31.31","","","","","","",""
"2015.0","1.0","27.0","27.0","185.0","0.45","0.8","0.0","1.14","0.8","0.91","0.0","0.0","0.0","0.0","0.91","30.5","128.0","64.0","127.09","97.5","0.0","","","","","","",""
"2015.0","1.0","28.0","28.0","185.0","0.44","0.8","0.0","1.45","0.8","1.16","0.0","0.0","0.0","0.0","2.07","30.5","128.0","64.0","125.93","97.5","0.0","","","","","","",""
"2015.0","1.0","29.0","29.0","185.0","0.43","0.8","0.0","1.38","0.8","1.1","0.0","0.0","0.0","0.0","3.18","30.5","128.0","64.0","124.82","97.5","0.0","","","","","","",""
"2015.0","1.0","30.0","30.0","185.0","0.42","0.8","0.0","1.66","0.8","1.33","0.0","0.0","0.0","0.0","4.5","30.5","128.0","64.0","123.5","97.5","0.0","","","","","","",""
"2015.0","1.0","31.0","31.0","185.0","0.41","0.8","0.0","2.85","0.8","2.28","0.0","0.0","0.0","0.0","6.78","30.5","128.0","64.0","121.22","97.5","0.0","","","","","","",""
"2015.0","2.0","1.0","32.0","185.0","0.4","0.8","0.0","1.55","0.8","1.24","0.0","0.0","0.0","0.0","8.02","30.5","128.0","64.0","119.98","97.5","0.0","","","","","","",""
"2015.0","2.0","2.0","33.0","185.0","0.4","0.8","0.0","1.57","0.8","1.26","0.0","0.0","0.0","0.0","9.28","30.5","128.0","64.0","118.72","97.5","0.0","","","","","","",""
"2015.0","2.0","3.0","34.0","185.0","0.39","0.8","0.0","1.67","0.8","1.34","0.0","0.0","0.0","0.0","10.62","30.5","128.0","64.0","117.38","97.5","0.0","","","","","","",""
"2015.0","2.0","4.0","35.0","185.0","0.39","0.8","0.0","1.36","0.8","1.09","0.0","0.0","0.0","0.0","11.7","30.5","128.0","64.0","116.3","97.5","0.0","","","","","","",""
"2015.0","2.0","5.0","36.0","185.0","0.38","0.8","0.0","1.01","0.8","0.81","0.0","0.0","0.0","0.0","12.51","30.5","128.0","64.0","115.49","97.5","0.0","","","","","","",""
"2015.0","2.0","6.0","37.0","185.0","0.38","0.8","0.0","2.21","0.8","1.77","0.0","0.0","0.0","0.0","14.28","30.5","128.0","64.0","113.72","97.5","0.0","","","","","","",""
"2015.0","2.0","7.0","38.0","185.0","1.16","0.8","0.0","1.47","1.16","1.71","13.46","13.46","0.0","0.0","2.53","30.5","128.0","64.0","125.47","97.5","0.0","","","","","","",""
"2015.0","2.0","8.0","39.0","185.0","1.16","0.8","0.0","1.61","1.16","1.86","11.21","4.39","0.0","0.0","0.0","30.5","128.0","64.0","128.0","97.5","0.0","","","","","","",""
"2015.0","2.0","9.0","40.0","185.0","1.14","0.8","0.0","2.11","1.14","2.4","13.89","2.4","0.0","0.0","0.0","30.5","128.0","64.0","128.0","97.5","0.0","","","","","","",""
"2015.0","2.0","10.0","41.0","185.0","1.14","0.8","0.0","1.9","1.14","2.17","0.0","0.0","0.0","0.0","2.17","30.5","128.0","64.0","125.83","97.5","0.0","","","","","","",""
"2015.0","2.0","11.0","42.0","185.0","1.14","0.8","0.0","1.76","1.14","2.01","0.0","0.0","0.0","0.0","4.18","30.5","128.0","64.0","123.82","97.5","0.0","","","","","","",""
"2015.0","2.0","12.0","43.0","185.0","0.99","0.8","0.0","2.06","0.99","2.05","0.0","0.0","0.0","0.0","6.22","30.5","128.0","64.0","121.78","97.5","0.0","","","","","","",""
