" Daily soil water balance output for Corn in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Corn in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2014.0","11.0","6.0","310.0","4923.0","0.83","0.0","0.0","1.92","0.83","1.59","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","","","",""
"2014.0","11.0","7.0","311.0","4923.0","0.76","0.0","0.0","1.96","0.76","1.5","0.0","0.0","0.0","0.0","30.3","28.8","409.65","204.83","379.36","380.85","0.0","","","","","","","","",""
"2014.0","11.0","8.0","312.0","4923.0","0.71","0.0","0.0","1.88","0.71","1.34","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","","","",""
"2014.0","11.0","9.0","313.0","4923.0","0.67","0.0","0.0","1.84","0.67","1.24","0.0","0.0","0.0","0.0","30.04","28.8","409.65","204.83","379.61","380.85","0.0","","","","","","","","",""
"2014.0","11.0","10.0","314.0","4923.0","0.64","0.0","0.0","1.97","0.64","1.26","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","","","",""
"2014.0","11.0","11.0","315.0","4923.0","0.61","0.0","0.0","1.56","0.61","0.96","0.0","0.0","0.0","0.0","29.76","28.8","409.65","204.83","379.89","380.85","0.0","","","","","","","","",""
"2014.0","11.0","12.0","316.0","4923.0","0.59","0.0","0.0","1.44","0.59","0.86","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","","","",""
"2014.0","11.0","13.0","317.0","4923.0","1.18","0.0","0.0","0.99","1.18","1.17","2.97","2.97","0.0","0.0","27.0","28.8","409.65","204.83","382.65","380.85","0.0","","","","","","","","",""
"2014.0","11.0","14.0","318.0","4923.0","1.17","0.0","0.0","1.32","1.17","1.54","1.54","1.54","0.0","0.0","27.0","28.8","409.65","204.83","382.65","380.85","0.0","","","","","","","","",""
"2014.0","11.0","15.0","319.0","4923.0","1.17","0.0","0.0","1.29","1.17","1.51","0.0","0.0","0.0","0.0","28.51","28.8","409.65","204.83","381.15","380.85","0.0","","","","","","","","",""
"2014.0","11.0","16.0","320.0","4923.0","1.16","0.0","0.0","2.03","1.16","2.35","0.0","0.0","0.0","0.0","30.86","28.8","409.65","204.83","378.79","380.85","0.0","","","","","","","","",""
"2014.0","11.0","17.0","321.0","4923.0","1.1","0.0","0.0","1.86","1.1","2.04","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","","","",""
"2014.0","11.0","18.0","322.0","4923.0","1.0","0.0","0.0","1.39","1.0","1.38","0.0","0.0","0.0","0.0","30.18","28.8","409.65","204.83","379.47","380.85","0.0","","","","","","","","",""
"2014.0","11.0","19.0","323.0","4923.0","0.94","0.0","0.0","0.96","0.94","0.9","0.11","0.11","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","","","",""
"2014.0","11.0","20.0","324.0","4923.0","1.2","0.0","0.0","0.62","1.2","0.74","3.18","3.18","0.0","0.0","26.36","28.8","409.65","204.83","383.29","380.85","0.0","","","","","","","","",""
"2014.0","11.0","21.0","325.0","4923.0","1.19","0.0","0.0","0.8","1.19","0.95","4.75","4.75","0.0","0.0","22.56","28.8","409.65","204.83","387.09","380.85","0.0","","","","","","","","",""
"2014.0","11.0","22.0","326.0","4923.0","1.18","0.0","0.0","1.2","1.18","1.42","0.13","0.13","0.0","0.0","23.85","28.8","409.65","204.83","385.8","380.85","0.0","","","","","","","","",""
"2014.0","11.0","23.0","327.0","4923.0","1.16","0.0","0.0","1.49","1.16","1.73","2.18","2.18","0.0","0.0","23.4","28.8","409.65","204.83","386.25","380.85","0.0","","","","","","","","",""
"2014.0","11.0","24.0","328.0","4923.0","1.16","0.0","0.0","1.37","1.16","1.59","0.0","0.0","0.0","0.0","24.99","28.8","409.65","204.83","384.66","380.85","0.0","","","","","","","","",""
"2014.0","11.0","25.0","329.0","4923.0","1.17","0.0","0.0","1.21","1.17","1.41","0.0","0.0","0.0","0.0","26.4","28.8","409.65","204.83","383.25","380.85","0.0","","","","","","","","",""
"2014.0","11.0","26.0","330.0","4923.0","1.17","0.0","0.0","1.17","1.17","1.37","0.0","0.0","0.0","0.0","27.77","28.8","409.65","204.83","381.89","380.85","0.0","","","","","","","","",""
"2014.0","11.0","27.0","331.0","4923.0","1.11","0.0","0.0","1.16","1.11","1.29","0.0","0.0","0.0","0.0","29.05","28.8","409.65","204.83","380.6","380.85","0.0","","","","","","","","",""
"2014.0","11.0","28.0","332.0","4923.0","1.03","0.0","0.0","1.1","1.03","1.13","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","","","",""
"2014.0","11.0","29.0","333.0","4923.0","1.19","0.0","0.0","0.85","1.19","1.01","2.34","2.34","0.0","0.0","27.47","28.8","409.65","204.83","382.18","380.85","0.0","","","","","","","","",""
"2014.0","11.0","30.0","334.0","4923.0","1.19","0.0","0.0","0.66","1.19","0.79","4.36","4.36","0.0","0.0","23.9","28.8","409.65","204.83","385.76","380.85","0.0","","","","","","","","",""
"2014.0","12.0","1.0","335.0","4923.0","1.18","0.0","0.0","1.0","1.18","1.18","4.73","4.73","0.0","0.0","20.35","28.8","409.65","204.83","389.31","380.85","0.0","","","","","","","","",""
"2014.0","12.0","2.0","336.0","4923.0","1.19","0.0","0.0","0.66","1.19","0.79","1.16","1.16","0.0","0.0","19.97","28.8","409.65","204.83","389.68","380.85","0.0","","","","","","","","",""
"2014.0","12.0","3.0","337.0","4923.0","1.18","0.0","0.0","1.08","1.18","1.27","42.69","21.24","0.0","0.0","0.0","28.8","409.65","204.83","409.65","380.85","0.0","","","","","","","","",""
"2014.0","12.0","4.0","338.0","4923.0","1.18","0.0","0.0","1.07","1.18","1.26","18.3","1.26","0.0","0.0","0.0","28.8","409.65","204.83","409.65","380.85","0.0","","","","","","","","",""
"2014.0","12.0","5.0","339.0","4923.0","1.18","0.0","0.0","0.91","1.18","1.07","0.5","0.5","0.0","0.0","0.57","28.8","409.65","204.83","409.08","380.85","0.0","","","","","","","","",""
"2014.0","12.0","6.0","340.0","4923.0","1.18","0.0","0.0","1.07","1.18","1.26","2.74","1.83","0.0","0.0","0.0","28.8","409.65","204.83","409.65","380.85","0.0","","","","","","","","",""
"2014.0","12.0","7.0","341.0","4923.0","1.18","0.0","0.0","0.76","1.18","0.9","0.57","0.57","0.0","0.0","0.33","28.8","409.65","204.83","409.32","380.85","0.0","","","","","","","","",""
"2014.0","12.0","8.0","342.0","4923.0","1.18","0.0","0.0","0.8","1.18","0.95","0.0","0.0","0.0","0.0","1.28","28.8","409.65","204.83","408.37","380.85","0.0","","","","","","","","",""
"2014.0","12.0","9.0","343.0","4923.0","1.19","0.0","0.0","0.66","1.19","0.78","0.0","0.0","0.0","0.0","2.06","28.8","409.65","204.83","407.59","380.85","0.0","","","","","","","","",""
"2014.0","12.0","10.0","344.0","4923.0","1.19","0.0","0.0","0.91","1.19","1.08","0.0","0.0","0.0","0.0","3.14","28.8","409.65","204.83","406.51","380.85","0.0","","","","","","","","",""
"2014.0","12.0","11.0","345.0","4923.0","1.18","0.0","0.0","1.15","1.18","1.36","0.21","0.21","0.0","0.0","4.29","28.8","409.65","204.83","405.36","380.85","0.0","","","","","","","","",""
"2014.0","12.0","12.0","346.0","4923.0","1.2","0.0","0.0","0.6","1.2","0.72","72.49","5.01","0.0","0.0","0.0","28.8","409.65","204.83","409.65","380.85","0.0","","","","","","","","",""
"2014.0","12.0","13.0","347.0","4923.0","1.19","0.0","0.0","0.69","1.19","0.82","1.59","0.82","0.0","0.0","0.0","28.8","409.65","204.83","409.65","380.85","0.0","","","","","","","","",""
"2014.0","12.0","14.0","348.0","4923.0","1.19","0.0","0.0","0.71","1.19","0.85","0.0","0.0","0.0","0.0","0.85","28.8","409.65","204.83","408.8","380.85","0.0","","","","","","","","",""
"2014.0","12.0","15.0","349.0","4923.0","1.18","0.0","0.0","0.89","1.18","1.05","6.89","1.9","0.0","0.0","0.0","28.8","409.65","204.83","409.65","380.85","0.0","","","","","","","","",""
"2014.0","12.0","16.0","350.0","4923.0","1.17","0.0","0.0","1.18","1.17","1.38","9.15","1.38","0.0","0.0","0.0","28.8","409.65","204.83","409.65","380.85","0.0","","","","","","","","",""
"2014.0","12.0","17.0","351.0","4923.0","1.18","0.0","0.0","0.96","1.18","1.13","11.33","1.13","0.0","0.0","0.0","28.8","409.65","204.83","409.65","380.85","0.0","","","","","","","","",""
"2014.0","12.0","18.0","352.0","4923.0","1.18","0.0","0.0","0.91","1.18","1.08","3.87","1.08","0.0","0.0","0.0","28.8","409.65","204.83","409.65","380.85","0.0","","","","","","","","",""
"2014.0","12.0","19.0","353.0","4923.0","1.19","0.0","0.0","0.81","1.19","0.96","0.01","0.01","0.0","0.0","0.95","28.8","409.65","204.83","408.7","380.85","0.0","","","","","","","","",""
"2014.0","12.0","20.0","354.0","4923.0","1.19","0.0","0.0","0.64","1.19","0.76","14.79","1.71","0.0","0.0","0.0","28.8","409.65","204.83","409.65","380.85","0.0","","","","","","","","",""
"2014.0","12.0","21.0","355.0","4923.0","1.19","0.0","0.0","0.97","1.19","1.15","0.0","0.0","0.0","0.0","1.15","28.8","409.65","204.83","408.5","380.85","0.0","","","","","","","","",""
"2014.0","12.0","22.0","356.0","4923.0","1.19","0.0","0.0","0.79","1.19","0.94","0.0","0.0","0.0","0.0","2.09","28.8","409.65","204.83","407.56","380.85","0.0","","","","","","","","",""
"2014.0","12.0","23.0","357.0","4923.0","1.19","0.0","0.0","0.72","1.19","0.86","0.0","0.0","0.0","0.0","2.95","28.8","409.65","204.83","406.7","380.85","0.0","","","","","","","","",""
"2014.0","12.0","24.0","358.0","4923.0","1.19","0.0","0.0","0.99","1.19","1.18","0.0","0.0","0.0","0.0","4.12","28.8","409.65","204.83","405.53","380.85","0.0","","","","","","","","",""
"2014.0","12.0","25.0","359.0","4923.0","1.15","0.0","0.0","1.88","1.15","2.17","0.78","0.78","0.0","0.0","5.51","28.8","409.65","204.83","404.14","380.85","0.0","","","","","","","","",""
"2014.0","12.0","26.0","360.0","4923.0","1.0","0.0","0.0","1.89","1.0","1.9","0.0","0.0","0.0","0.0","7.41","28.8","409.65","204.83","402.24","380.85","0.0","","","","","","","","",""
"2014.0","12.0","27.0","361.0","4923.0","0.96","0.0","0.0","0.76","0.96","0.73","0.0","0.0","0.0","0.0","8.14","28.8","409.65","204.83","401.51","380.85","0.0","","","","","","","","",""
"2014.0","12.0","28.0","362.0","4923.0","0.92","0.0","0.0","0.74","0.92","0.68","0.0","0.0","0.0","0.0","8.82","28.8","409.65","204.83","400.83","380.85","0.0","","","","","","","","",""
"2014.0","12.0","29.0","363.0","4923.0","0.9","0.0","0.0","0.56","0.9","0.5","0.0","0.0","0.0","0.0","9.32","28.8","409.65","204.83","400.33","380.85","0.0","","","","","","","","",""
"2014.0","12.0","30.0","364.0","4923.0","0.8","0.0","0.0","2.49","0.8","1.99","0.0","0.0","0.0","0.0","11.31","28.8","409.65","204.83","398.34","380.85","0.0","","","","","","","","",""
"2014.0","12.0","31.0","365.0","4923.0","0.72","0.0","0.0","2.68","0.72","1.94","0.0","0.0","0.0","0.0","13.25","28.8","409.65","204.83","396.4","380.85","0.0","","","","","","","","",""
"2015.0","1.0","1.0","1.0","4923.0","0.7","0.0","0.0","0.88","0.7","0.62","0.0","0.0","0.0","0.0","13.87","28.8","409.65","204.83","395.78","380.85","0.0","","","","","","","","",""
"2015.0","1.0","2.0","2.0","4923.0","0.69","0.0","0.0","0.86","0.69","0.59","0.0","0.0","0.0","0.0","14.46","28.8","409.65","204.83","395.19","380.85","0.0","","","","","","","","",""
"2015.0","1.0","3.0","3.0","4923.0","0.67","0.0","0.0","0.85","0.67","0.57","0.0","0.0","0.0","0.0","15.03","28.8","409.65","204.83","394.62","380.85","0.0","","","","","","","","",""
"2015.0","1.0","4.0","4.0","4923.0","0.65","0.0","0.0","0.96","0.65","0.63","0.0","0.0","0.0","0.0","15.65","28.8","409.65","204.83","394.0","380.85","0.0","","","","","","","","",""
"2015.0","1.0","5.0","5.0","4923.0","0.64","0.0","0.0","0.87","0.64","0.55","0.0","0.0","0.0","0.0","16.21","28.8","409.65","204.83","393.44","380.85","0.0","","","","","","","","",""
"2015.0","1.0","6.0","6.0","4923.0","0.62","0.0","0.0","1.17","0.62","0.72","0.0","0.0","0.0","0.0","16.93","28.8","409.65","204.83","392.72","380.85","0.0","","","","","","","","",""
"2015.0","1.0","7.0","7.0","4923.0","0.6","0.0","0.0","1.17","0.6","0.7","0.0","0.0","0.0","0.0","17.64","28.8","409.65","204.83","392.01","380.85","0.0","","","","","","","","",""
"2015.0","1.0","8.0","8.0","4923.0","0.59","0.0","0.0","1.0","0.59","0.59","0.0","0.0","0.0","0.0","18.23","28.8","409.65","204.83","391.42","380.85","0.0","","","","","","","","",""
"2015.0","1.0","9.0","9.0","4923.0","0.58","0.0","0.0","0.87","0.58","0.5","0.0","0.0","0.0","0.0","18.73","28.8","409.65","204.83","390.92","380.85","0.0","","","","","","","","",""
"2015.0","1.0","10.0","10.0","4923.0","0.57","0.0","0.0","0.96","0.57","0.54","0.0","0.0","0.0","0.0","19.27","28.8","409.65","204.83","390.38","380.85","0.0","","","","","","","","",""
"2015.0","1.0","11.0","11.0","4923.0","0.56","0.0","0.0","0.88","0.56","0.49","0.0","0.0","0.0","0.0","19.77","28.8","409.65","204.83","389.89","380.85","0.0","","","","","","","","",""
"2015.0","1.0","12.0","12.0","4923.0","0.55","0.0","0.0","1.05","0.55","0.57","0.0","0.0","0.0","0.0","20.34","28.8","409.65","204.83","389.31","380.85","0.0","","","","","","","","",""
"2015.0","1.0","13.0","13.0","4923.0","0.53","0.0","0.0","1.18","0.53","0.63","0.0","0.0","0.0","0.0","20.97","28.8","409.65","204.83","388.68","380.85","0.0","","","","","","","","",""
"2015.0","1.0","14.0","14.0","4923.0","0.53","0.0","0.0","0.69","0.53","0.36","0.0","0.0","0.0","0.0","21.33","28.8","409.65","204.83","388.32","380.85","0.0","","","","","","","","",""
"2015.0","1.0","15.0","15.0","4923.0","0.52","0.0","0.0","0.69","0.52","0.36","0.0","0.0","0.0","0.0","21.69","28.8","409.65","204.83","387.96","380.85","0.0","","","","","","","","",""
"2015.0","1.0","16.0","16.0","4923.0","0.52","0.0","0.0","0.57","0.52","0.29","0.0","0.0","0.0","0.0","21.99","28.8","409.65","204.83","387.66","380.85","0.0","","","","","","","","",""
"2015.0","1.0","17.0","17.0","4923.0","0.51","0.0","0.0","0.56","0.51","0.29","0.01","0.01","0.0","0.0","22.27","28.8","409.65","204.83","387.38","380.85","0.0","","","","","","","","",""
"2015.0","1.0","18.0","18.0","4923.0","0.51","0.0","0.0","0.61","0.51","0.31","0.0","0.0","0.0","0.0","22.58","28.8","409.65","204.83","387.08","380.85","0.0","","","","","","","","",""
"2015.0","1.0","19.0","19.0","4923.0","0.5","0.0","0.0","0.7","0.5","0.35","0.0","0.0","0.0","0.0","22.93","28.8","409.65","204.83","386.72","380.85","0.0","","","","","","","","",""
"2015.0","1.0","20.0","20.0","4923.0","0.5","0.0","0.0","0.79","0.5","0.39","0.0","0.0","0.0","0.0","23.32","28.8","409.65","204.83","386.33","380.85","0.0","","","","","","","","",""
"2015.0","1.0","21.0","21.0","4923.0","0.49","0.0","0.0","0.98","0.49","0.48","0.0","0.0","0.0","0.0","23.8","28.8","409.65","204.83","385.85","380.85","0.0","","","","","","","","",""
"2015.0","1.0","22.0","22.0","4923.0","0.48","0.0","0.0","0.73","0.48","0.35","0.0","0.0","0.0","0.0","24.15","28.8","409.65","204.83","385.5","380.85","0.0","","","","","","","","",""
"2015.0","1.0","23.0","23.0","4923.0","0.48","0.0","0.0","0.98","0.48","0.47","0.0","0.0","0.0","0.0","24.62","28.8","409.65","204.83","385.03","380.85","0.0","","","","","","","","",""
"2015.0","1.0","24.0","24.0","4923.0","0.47","0.0","0.0","0.94","0.47","0.44","0.0","0.0","0.0","0.0","25.06","28.8","409.65","204.83","384.59","380.85","0.0","","","","","","","","",""
"2015.0","1.0","25.0","25.0","4923.0","0.46","0.0","0.0","1.02","0.46","0.47","0.0","0.0","0.0","0.0","25.53","28.8","409.65","204.83","384.12","380.85","0.0","","","","","","","","",""
"2015.0","1.0","26.0","26.0","4923.0","0.46","0.0","0.0","1.28","0.46","0.58","0.0","0.0","0.0","0.0","26.12","28.8","409.65","204.83","383.53","380.85","0.0","","","","","","","","",""
"2015.0","1.0","27.0","27.0","4923.0","0.45","0.0","0.0","1.12","0.45","0.5","0.0","0.0","0.0","0.0","26.62","28.8","409.65","204.83","383.03","380.85","0.0","","","","","","","","",""
"2015.0","1.0","28.0","28.0","4923.0","0.44","0.0","0.0","1.53","0.44","0.67","0.0","0.0","0.0","0.0","27.29","28.8","409.65","204.83","382.36","380.85","0.0","","","","","","","","",""
"2015.0","1.0","29.0","29.0","4923.0","0.43","0.0","0.0","1.43","0.43","0.62","0.0","0.0","0.0","0.0","27.91","28.8","409.65","204.83","381.74","380.85","0.0","","","","","","","","",""
"2015.0","1.0","30.0","30.0","4923.0","0.42","0.0","0.0","1.93","0.42","0.82","0.0","0.0","0.0","0.0","28.73","28.8","409.65","204.83","380.92","380.85","0.0","","","","","","","","",""
"2015.0","1.0","31.0","31.0","4923.0","0.41","0.0","0.0","3.46","0.41","1.41","0.0","0.0","0.0","0.0","30.14","28.8","409.65","204.83","379.51","380.85","0.0","","","","","","","","",""
"2015.0","2.0","1.0","32.0","4923.0","0.4","0.0","0.0","1.44","0.4","0.58","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","","","",""
"2015.0","2.0","2.0","33.0","4923.0","0.4","0.0","0.0","1.46","0.4","0.58","0.0","0.0","0.0","0.0","29.38","28.8","409.65","204.83","380.27","380.85","0.0","","","","","","","","",""
"2015.0","2.0","3.0","34.0","4923.0","0.39","0.0","0.0","1.52","0.39","0.59","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","","","",""
"2015.0","2.0","4.0","35.0","4923.0","0.38","0.0","0.0","1.4","0.38","0.54","0.0","0.0","0.0","0.0","29.34","28.8","409.65","204.83","380.31","380.85","0.0","","","","","","","","",""
"2015.0","2.0","5.0","36.0","4923.0","0.38","0.0","0.0","1.08","0.38","0.41","0.0","0.0","0.0","0.0","28.8","28.8","409.65","204.83","380.85","380.85","0.0","","","","","","","","",""
"2015.0","2.0","6.0","37.0","4923.0","0.37","0.0","0.0","2.04","0.37","0.76","0.04","0.04","0.0","0.0","29.52","28.8","409.65","204.83","380.13","380.85","0.0","","","","","","","","",""
"2015.0","2.0","7.0","38.0","4923.0","1.16","0.0","0.0","1.42","1.16","1.65","27.21","27.21","0.0","0.0","2.31","28.8","409.65","204.83","407.34","380.85","0.0","","","","","","","","",""
