" Daily soil water balance output for Water Surface in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Water Surface in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","",""
"2014.0","10.0","16.0","289.0","14014.0","0.08","1.1","0.0","2.69","1.1","2.959","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","17.0","290.0","14014.0","0.08","1.1","0.0","2.49","1.1","2.739","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","18.0","291.0","14014.0","0.08","1.1","0.0","2.85","1.1","3.135","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","19.0","292.0","14014.0","0.08","1.1","0.0","2.85","1.1","3.135","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","20.0","293.0","14014.0","0.08","1.1","0.0","2.16","1.1","2.376","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","21.0","294.0","14014.0","0.08","1.1","0.0","2.66","1.1","2.926","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","22.0","295.0","14014.0","0.08","1.1","0.0","2.54","1.1","2.794","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","23.0","296.0","14014.0","0.08","1.1","0.0","2.49","1.1","2.739","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","24.0","297.0","14014.0","0.08","1.1","0.0","2.54","1.1","2.794","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","25.0","298.0","14014.0","0.08","1.1","0.0","2.22","1.1","2.442","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","26.0","299.0","14014.0","0.08","1.1","0.0","2.66","1.1","2.926","0.87","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","27.0","300.0","14014.0","0.08","1.1","0.0","2.48","1.1","2.728","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","28.0","301.0","14014.0","0.08","1.1","0.0","2.36","1.1","2.596","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","29.0","302.0","14014.0","0.08","1.1","0.0","2.44","1.1","2.684","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","30.0","303.0","14014.0","0.08","1.1","0.0","2.44","1.1","2.684","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","31.0","304.0","14014.0","0.08","1.1","0.0","1.29","1.1","1.419","0.07","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","1.0","305.0","14014.0","0.08","1.1","0.0","1.83","1.1","2.013","5.22","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","2.0","306.0","14014.0","0.08","1.1","0.0","2.18","1.1","2.398","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","3.0","307.0","14014.0","0.08","1.1","0.0","1.8","1.1","1.98","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","4.0","308.0","14014.0","0.08","1.1","0.0","1.75","1.1","1.925","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","5.0","309.0","14014.0","0.08","1.1","0.0","1.9","1.1","2.09","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","6.0","310.0","14014.0","0.08","1.1","0.0","1.91","1.1","2.101","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","7.0","311.0","14014.0","0.08","1.1","0.0","1.94","1.1","2.134","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","8.0","312.0","14014.0","0.08","1.1","0.0","1.87","1.1","2.057","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","9.0","313.0","14014.0","0.08","1.1","0.0","1.83","1.1","2.013","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","10.0","314.0","14014.0","0.08","1.1","0.0","1.84","1.1","2.024","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","11.0","315.0","14014.0","0.08","1.1","0.0","1.55","1.1","1.705","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","12.0","316.0","14014.0","0.08","1.1","0.0","1.54","1.1","1.694","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","13.0","317.0","14014.0","1.18","1.1","0.0","1.07","1.18","1.177","5.34","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","14.0","318.0","14014.0","1.17","1.1","0.0","1.4","1.17","1.54","0.95","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","15.0","319.0","14014.0","1.17","1.1","0.0","1.34","1.17","1.474","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","16.0","320.0","14014.0","1.16","1.1","0.0","1.94","1.16","2.134","0.07","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","17.0","321.0","14014.0","1.02","1.1","0.0","1.79","1.1","1.969","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","18.0","322.0","14014.0","0.94","1.1","0.0","1.33","1.1","1.463","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","19.0","323.0","14014.0","0.89","1.1","0.0","1.09","1.1","1.199","0.59","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","20.0","324.0","14014.0","1.19","1.1","0.0","0.63","1.19","0.693","2.88","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","21.0","325.0","14014.0","1.18","1.1","0.0","0.9","1.18","0.99","4.27","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","22.0","326.0","14014.0","1.18","1.1","0.0","1.25","1.18","1.375","0.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","23.0","327.0","14014.0","1.16","1.1","0.0","1.56","1.16","1.716","3.21","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","24.0","328.0","14014.0","1.16","1.1","0.0","1.39","1.16","1.529","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","25.0","329.0","14014.0","1.16","1.1","0.0","1.25","1.16","1.375","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","26.0","330.0","14014.0","1.17","1.1","0.0","1.26","1.17","1.386","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","27.0","331.0","14014.0","1.09","1.1","0.0","1.19","1.1","1.309","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","28.0","332.0","14014.0","1.01","1.1","0.0","1.14","1.1","1.254","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","29.0","333.0","14014.0","0.96","1.1","0.0","0.81","1.1","0.891","0.48","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","30.0","334.0","14014.0","1.19","1.1","0.0","0.66","1.19","0.726","3.64","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","1.0","335.0","14014.0","1.18","1.1","0.0","0.96","1.18","1.056","10.55","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","2.0","336.0","14014.0","1.19","1.1","0.0","0.64","1.19","0.704","10.14","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","3.0","337.0","14014.0","1.17","1.1","0.0","1.15","1.17","1.265","32.71","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","4.0","338.0","14014.0","1.18","1.1","0.0","1.1","1.18","1.21","6.73","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","5.0","339.0","14014.0","1.18","1.1","0.0","0.9","1.18","0.99","0.56","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","6.0","340.0","14014.0","1.18","1.1","0.0","1.08","1.18","1.188","3.46","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","7.0","341.0","14014.0","1.18","1.1","0.0","0.73","1.18","0.803","0.14","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","8.0","342.0","14014.0","1.18","1.1","0.0","0.84","1.18","0.924","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","9.0","343.0","14014.0","1.19","1.1","0.0","0.67","1.19","0.737","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","10.0","344.0","14014.0","1.19","1.1","0.0","0.91","1.19","1.001","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","11.0","345.0","14014.0","1.18","1.1","0.0","1.28","1.18","1.408","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","12.0","346.0","14014.0","1.2","1.1","0.0","0.62","1.2","0.682","67.69","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","13.0","347.0","14014.0","1.19","1.1","0.0","0.72","1.19","0.792","1.17","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","14.0","348.0","14014.0","1.19","1.1","0.0","0.78","1.19","0.858","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","15.0","349.0","14014.0","1.18","1.1","0.0","0.98","1.18","1.078","12.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","16.0","350.0","14014.0","1.17","1.1","0.0","1.22","1.17","1.342","11.08","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","17.0","351.0","14014.0","1.18","1.1","0.0","0.95","1.18","1.045","11.26","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","18.0","352.0","14014.0","1.18","1.1","0.0","0.97","1.18","1.067","3.99","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","19.0","353.0","14014.0","1.18","1.1","0.0","0.84","1.18","0.924","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","20.0","354.0","14014.0","1.19","1.1","0.0","0.68","1.19","0.748","9.13","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","21.0","355.0","14014.0","1.19","1.1","0.0","0.99","1.19","1.089","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","22.0","356.0","14014.0","1.19","1.1","0.0","0.78","1.19","0.858","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","23.0","357.0","14014.0","1.19","1.1","0.0","0.75","1.19","0.825","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","24.0","358.0","14014.0","1.19","1.1","0.0","0.96","1.19","1.056","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","25.0","359.0","14014.0","1.14","1.1","0.0","1.94","1.14","2.134","0.81","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","26.0","360.0","14014.0","1.01","1.1","0.0","1.7","1.1","1.87","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","27.0","361.0","14014.0","0.96","1.1","0.0","0.76","1.1","0.836","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","28.0","362.0","14014.0","0.93","1.1","0.0","0.75","1.1","0.825","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","29.0","363.0","14014.0","0.9","1.1","0.0","0.55","1.1","0.605","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","30.0","364.0","14014.0","0.8","1.1","0.0","2.45","1.1","2.695","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","31.0","365.0","14014.0","0.73","1.1","0.0","2.6","1.1","2.86","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","1.0","1.0","14014.0","0.71","1.1","0.0","0.96","1.1","1.056","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","2.0","2.0","14014.0","0.69","1.1","0.0","0.89","1.1","0.979","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","3.0","3.0","14014.0","0.67","1.1","0.0","0.88","1.1","0.968","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","4.0","4.0","14014.0","0.65","1.1","0.0","0.99","1.1","1.089","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","5.0","5.0","14014.0","0.64","1.1","0.0","0.96","1.1","1.056","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","6.0","6.0","14014.0","0.62","1.1","0.0","1.23","1.1","1.353","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","7.0","7.0","14014.0","0.6","1.1","0.0","1.21","1.1","1.331","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","8.0","8.0","14014.0","0.59","1.1","0.0","1.01","1.1","1.111","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","9.0","9.0","14014.0","0.58","1.1","0.0","0.89","1.1","0.979","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","10.0","10.0","14014.0","0.56","1.1","0.0","1.01","1.1","1.111","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","11.0","11.0","14014.0","0.56","1.1","0.0","0.85","1.1","0.935","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","12.0","12.0","14014.0","0.54","1.1","0.0","0.99","1.1","1.089","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","13.0","13.0","14014.0","0.53","1.1","0.0","1.06","1.1","1.166","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","14.0","14.0","14014.0","0.53","1.1","0.0","0.61","1.1","0.671","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","15.0","15.0","14014.0","0.52","1.1","0.0","0.65","1.1","0.715","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","16.0","16.0","14014.0","0.52","1.1","0.0","0.57","1.1","0.627","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","17.0","17.0","14014.0","0.51","1.1","0.0","0.51","1.1","0.561","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","18.0","18.0","14014.0","0.51","1.1","0.0","0.61","1.1","0.671","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","19.0","19.0","14014.0","0.5","1.1","0.0","0.58","1.1","0.638","0.17","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","20.0","20.0","14014.0","0.5","1.1","0.0","0.8","1.1","0.88","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","21.0","21.0","14014.0","0.49","1.1","0.0","1.03","1.1","1.133","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","22.0","22.0","14014.0","0.49","1.1","0.0","0.69","1.1","0.759","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","23.0","23.0","14014.0","0.48","1.1","0.0","0.99","1.1","1.089","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","24.0","24.0","14014.0","0.47","1.1","0.0","0.91","1.1","1.001","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","25.0","25.0","14014.0","0.47","1.1","0.0","1.02","1.1","1.122","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","26.0","26.0","14014.0","0.46","1.1","0.0","1.21","1.1","1.331","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","27.0","27.0","14014.0","0.45","1.1","0.0","1.16","1.1","1.276","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","28.0","28.0","14014.0","0.44","1.1","0.0","1.45","1.1","1.595","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","29.0","29.0","14014.0","0.44","1.1","0.0","1.38","1.1","1.518","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","30.0","30.0","14014.0","0.43","1.1","0.0","1.73","1.1","1.903","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","31.0","31.0","14014.0","0.41","1.1","0.0","3.06","1.1","3.366","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","1.0","32.0","14014.0","0.41","1.1","0.0","1.51","1.1","1.661","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","2.0","33.0","14014.0","0.4","1.1","0.0","1.52","1.1","1.672","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","3.0","34.0","14014.0","0.39","1.1","0.0","1.6","1.1","1.76","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","4.0","35.0","14014.0","0.39","1.1","0.0","1.34","1.1","1.474","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","5.0","36.0","14014.0","0.38","1.1","0.0","1.02","1.1","1.122","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","6.0","37.0","14014.0","1.13","1.1","0.0","2.15","1.13","2.365","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","7.0","38.0","14014.0","1.16","1.1","0.0","1.45","1.16","1.595","12.31","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","8.0","39.0","14014.0","1.16","1.1","0.0","1.48","1.16","1.628","13.84","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","9.0","40.0","14014.0","1.14","1.1","0.0","2.07","1.14","2.277","11.18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","10.0","41.0","14014.0","1.14","1.1","0.0","1.86","1.14","2.046","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
