" Daily soil water balance output for Olives in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Olives in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"2014.0","10.0","16.0","289.0","19.0","0.3","0.7","0.0","2.65","0.7","1.86","0.27","0.27","0.0","0.0","123.87","146.3","585.22","292.61","461.34","438.91","0.0","","","","","","",""
"2014.0","10.0","17.0","290.0","19.0","0.29","0.7","0.0","2.47","0.7","1.73","0.0","0.0","0.0","0.0","125.6","146.3","585.22","292.61","459.61","438.91","0.0","","","","","","",""
"2014.0","10.0","18.0","291.0","19.0","0.29","0.7","0.0","2.85","0.7","2.0","0.0","0.0","0.0","0.0","127.6","146.3","585.22","292.61","457.62","438.91","0.0","","","","","","",""
"2014.0","10.0","19.0","292.0","19.0","0.28","0.7","0.0","2.92","0.7","2.04","0.0","0.0","0.0","0.0","129.64","146.3","585.22","292.61","455.57","438.91","0.0","","","","","","",""
"2014.0","10.0","20.0","293.0","19.0","0.28","0.7","0.0","2.24","0.7","1.57","0.0","0.0","0.0","0.0","131.21","146.3","585.22","292.61","454.01","438.91","0.0","","","","","","",""
"2014.0","10.0","21.0","294.0","19.0","0.28","0.7","0.0","2.61","0.7","1.83","0.0","0.0","0.0","0.0","133.04","146.3","585.22","292.61","452.18","438.91","0.0","","","","","","",""
"2014.0","10.0","22.0","295.0","19.0","0.27","0.7","0.0","2.54","0.7","1.78","0.0","0.0","0.0","0.0","134.82","146.3","585.22","292.61","450.4","438.91","0.0","","","","","","",""
"2014.0","10.0","23.0","296.0","19.0","0.27","0.7","0.0","2.44","0.7","1.71","0.0","0.0","0.0","0.0","136.52","146.3","585.22","292.61","448.69","438.91","0.0","","","","","","",""
"2014.0","10.0","24.0","297.0","19.0","0.27","0.7","0.0","2.57","0.7","1.8","0.0","0.0","0.0","0.0","138.32","146.3","585.22","292.61","446.89","438.91","0.0","","","","","","",""
"2014.0","10.0","25.0","298.0","19.0","0.26","0.7","0.0","2.26","0.7","1.58","0.0","0.0","0.0","0.0","139.9","146.3","585.22","292.61","445.31","438.91","0.0","","","","","","",""
"2014.0","10.0","26.0","299.0","19.0","0.26","0.7","0.0","2.62","0.7","1.83","1.47","1.47","0.0","0.0","140.27","146.3","585.22","292.61","444.95","438.91","0.0","","","","","","",""
"2014.0","10.0","27.0","300.0","19.0","0.26","0.7","0.0","2.46","0.7","1.72","0.0","0.0","0.0","0.0","141.99","146.3","585.22","292.61","443.23","438.91","0.0","","","","","","",""
"2014.0","10.0","28.0","301.0","19.0","0.26","0.7","0.0","2.33","0.7","1.63","0.0","0.0","0.0","0.0","143.62","146.3","585.22","292.61","441.59","438.91","0.0","","","","","","",""
"2014.0","10.0","29.0","302.0","19.0","0.25","0.7","0.0","2.38","0.7","1.67","0.0","0.0","0.0","0.0","145.29","146.3","585.22","292.61","439.93","438.91","0.0","","","","","","",""
"2014.0","10.0","30.0","303.0","19.0","0.25","0.7","0.0","2.46","0.7","1.72","0.0","0.0","0.0","0.0","0.0","146.3","585.22","292.61","585.22","438.91","147.01","","","","","","",""
"2014.0","10.0","31.0","304.0","19.0","0.25","0.7","0.0","1.19","0.7","0.83","0.0","0.0","0.0","0.0","0.83","146.3","585.22","292.61","584.38","438.91","0.0","","","","","","",""
"2014.0","11.0","1.0","305.0","19.0","1.15","0.7","0.0","1.87","1.15","2.14","5.89","2.97","0.0","0.0","0.0","146.3","585.22","292.61","585.22","438.91","0.0","","","","","","",""
"2014.0","11.0","2.0","306.0","19.0","1.14","0.7","0.0","2.21","1.14","2.52","0.0","0.0","0.0","0.0","2.52","146.3","585.22","292.61","582.7","438.91","0.0","","","","","","",""
"2014.0","11.0","3.0","307.0","19.0","1.14","0.7","0.0","1.8","1.14","2.05","0.0","0.0","0.0","0.0","4.57","146.3","585.22","292.61","580.65","438.91","0.0","","","","","","",""
"2014.0","11.0","4.0","308.0","19.0","1.01","0.7","0.0","1.74","1.01","1.75","0.0","0.0","0.0","0.0","6.32","146.3","585.22","292.61","578.89","438.91","0.0","","","","","","",""
"2014.0","11.0","5.0","309.0","19.0","0.91","0.7","0.0","1.79","0.91","1.62","0.0","0.0","0.0","0.0","7.95","146.3","585.22","292.61","577.27","438.91","0.0","","","","","","",""
"2014.0","11.0","6.0","310.0","19.0","0.83","0.7","0.0","1.92","0.83","1.59","0.0","0.0","0.0","0.0","9.53","146.3","585.22","292.61","575.68","438.91","0.0","","","","","","",""
"2014.0","11.0","7.0","311.0","19.0","0.76","0.7","0.0","1.96","0.76","1.5","0.0","0.0","0.0","0.0","11.03","146.3","585.22","292.61","574.19","438.91","0.0","","","","","","",""
"2014.0","11.0","8.0","312.0","19.0","0.71","0.7","0.0","1.88","0.71","1.34","0.0","0.0","0.0","0.0","12.37","146.3","585.22","292.61","572.85","438.91","0.0","","","","","","",""
"2014.0","11.0","9.0","313.0","19.0","0.67","0.7","0.0","1.84","0.7","1.29","0.0","0.0","0.0","0.0","13.66","146.3","585.22","292.61","571.56","438.91","0.0","","","","","","",""
"2014.0","11.0","10.0","314.0","19.0","0.64","0.7","0.0","1.97","0.7","1.38","0.0","0.0","0.0","0.0","15.04","146.3","585.22","292.61","570.18","438.91","0.0","","","","","","",""
"2014.0","11.0","11.0","315.0","19.0","0.61","0.7","0.0","1.56","0.7","1.09","0.0","0.0","0.0","0.0","16.13","146.3","585.22","292.61","569.09","438.91","0.0","","","","","","",""
"2014.0","11.0","12.0","316.0","19.0","0.59","0.7","0.0","1.44","0.7","1.01","0.0","0.0","0.0","0.0","17.14","146.3","585.22","292.61","568.08","438.91","0.0","","","","","","",""
"2014.0","11.0","13.0","317.0","19.0","1.18","0.7","0.0","0.99","1.18","1.17","2.97","2.97","0.0","0.0","15.34","146.3","585.22","292.61","569.88","438.91","0.0","","","","","","",""
"2014.0","11.0","14.0","318.0","19.0","1.17","0.7","0.0","1.32","1.17","1.54","1.54","1.54","0.0","0.0","15.34","146.3","585.22","292.61","569.88","438.91","0.0","","","","","","",""
"2014.0","11.0","15.0","319.0","19.0","1.17","0.7","0.0","1.29","1.17","1.51","0.0","0.0","0.0","0.0","16.84","146.3","585.22","292.61","568.37","438.91","0.0","","","","","","",""
"2014.0","11.0","16.0","320.0","19.0","1.16","0.7","0.0","2.03","1.16","2.35","0.0","0.0","0.0","0.0","19.19","146.3","585.22","292.61","566.02","438.91","0.0","","","","","","",""
"2014.0","11.0","17.0","321.0","19.0","1.1","0.7","0.0","1.86","1.1","2.04","0.0","0.0","0.0","0.0","21.23","146.3","585.22","292.61","563.98","438.91","0.0","","","","","","",""
"2014.0","11.0","18.0","322.0","19.0","1.0","0.7","0.0","1.39","1.0","1.38","0.0","0.0","0.0","0.0","22.62","146.3","585.22","292.61","562.6","438.91","0.0","","","","","","",""
"2014.0","11.0","19.0","323.0","19.0","0.94","0.7","0.0","0.96","0.94","0.9","0.11","0.11","0.0","0.0","23.41","146.3","585.22","292.61","561.8","438.91","0.0","","","","","","",""
"2014.0","11.0","20.0","324.0","19.0","1.2","0.7","0.0","0.62","1.2","0.74","3.18","3.18","0.0","0.0","20.97","146.3","585.22","292.61","564.24","438.91","0.0","","","","","","",""
"2014.0","11.0","21.0","325.0","19.0","1.19","0.7","0.0","0.8","1.19","0.95","4.75","4.75","0.0","0.0","17.17","146.3","585.22","292.61","568.04","438.91","0.0","","","","","","",""
"2014.0","11.0","22.0","326.0","19.0","1.18","0.7","0.0","1.2","1.18","1.42","0.13","0.13","0.0","0.0","18.46","146.3","585.22","292.61","566.76","438.91","0.0","","","","","","",""
"2014.0","11.0","23.0","327.0","19.0","1.16","0.7","0.0","1.49","1.16","1.73","2.18","2.18","0.0","0.0","18.01","146.3","585.22","292.61","567.21","438.91","0.0","","","","","","",""
"2014.0","11.0","24.0","328.0","19.0","1.16","0.7","0.0","1.37","1.16","1.59","0.0","0.0","0.0","0.0","19.6","146.3","585.22","292.61","565.62","438.91","0.0","","","","","","",""
"2014.0","11.0","25.0","329.0","19.0","1.17","0.7","0.0","1.21","1.17","1.41","0.0","0.0","0.0","0.0","21.01","146.3","585.22","292.61","564.2","438.91","0.0","","","","","","",""
"2014.0","11.0","26.0","330.0","19.0","1.17","0.7","0.0","1.17","1.17","1.37","0.0","0.0","0.0","0.0","22.38","146.3","585.22","292.61","562.84","438.91","0.0","","","","","","",""
"2014.0","11.0","27.0","331.0","19.0","1.11","0.7","0.0","1.16","1.11","1.29","0.0","0.0","0.0","0.0","23.67","146.3","585.22","292.61","561.55","438.91","0.0","","","","","","",""
"2014.0","11.0","28.0","332.0","19.0","1.03","0.7","0.0","1.1","1.03","1.13","0.0","0.0","0.0","0.0","24.8","146.3","585.22","292.61","560.42","438.91","0.0","","","","","","",""
"2014.0","11.0","29.0","333.0","19.0","1.19","0.7","0.0","0.85","1.19","1.01","2.34","2.34","0.0","0.0","23.46","146.3","585.22","292.61","561.75","438.91","0.0","","","","","","",""
"2014.0","11.0","30.0","334.0","19.0","1.19","0.7","0.0","0.66","1.19","0.79","4.36","4.36","0.0","0.0","19.89","146.3","585.22","292.61","565.32","438.91","0.0","","","","","","",""
"2014.0","12.0","1.0","335.0","19.0","1.18","0.7","0.0","1.0","1.18","1.18","4.73","4.73","0.0","0.0","16.34","146.3","585.22","292.61","568.87","438.91","0.0","","","","","","",""
"2014.0","12.0","2.0","336.0","19.0","1.19","0.7","0.0","0.66","1.19","0.79","1.16","1.16","0.0","0.0","15.97","146.3","585.22","292.61","569.25","438.91","0.0","","","","","","",""
"2014.0","12.0","3.0","337.0","19.0","1.18","0.7","0.0","1.08","1.18","1.27","42.69","17.24","0.0","0.0","0.0","146.3","585.22","292.61","585.22","438.91","0.0","","","","","","",""
"2014.0","12.0","4.0","338.0","19.0","1.18","0.7","0.0","1.07","1.18","1.26","18.3","1.26","0.0","0.0","0.0","146.3","585.22","292.61","585.22","438.91","0.0","","","","","","",""
"2014.0","12.0","5.0","339.0","19.0","1.18","0.7","0.0","0.91","1.18","1.07","0.5","0.5","0.0","0.0","0.57","146.3","585.22","292.61","584.64","438.91","0.0","","","","","","",""
"2014.0","12.0","6.0","340.0","19.0","1.18","0.7","0.0","1.07","1.18","1.26","2.74","1.83","0.0","0.0","0.0","146.3","585.22","292.61","585.22","438.91","0.0","","","","","","",""
"2014.0","12.0","7.0","341.0","19.0","1.18","0.7","0.0","0.76","1.18","0.9","0.57","0.57","0.0","0.0","0.33","146.3","585.22","292.61","584.89","438.91","0.0","","","","","","",""
"2014.0","12.0","8.0","342.0","19.0","1.18","0.7","0.0","0.8","1.18","0.95","0.0","0.0","0.0","0.0","1.28","146.3","585.22","292.61","583.94","438.91","0.0","","","","","","",""
"2014.0","12.0","9.0","343.0","19.0","1.19","0.7","0.0","0.66","1.19","0.78","0.0","0.0","0.0","0.0","2.06","146.3","585.22","292.61","583.16","438.91","0.0","","","","","","",""
"2014.0","12.0","10.0","344.0","19.0","1.19","0.7","0.0","0.91","1.19","1.08","0.0","0.0","0.0","0.0","3.14","146.3","585.22","292.61","582.08","438.91","0.0","","","","","","",""
"2014.0","12.0","11.0","345.0","19.0","1.18","0.7","0.0","1.15","1.18","1.36","0.21","0.21","0.0","0.0","4.29","146.3","585.22","292.61","580.92","438.91","0.0","","","","","","",""
"2014.0","12.0","12.0","346.0","19.0","1.2","0.7","0.0","0.6","1.2","0.72","72.49","5.01","0.0","0.0","0.0","146.3","585.22","292.61","585.22","438.91","0.0","","","","","","",""
"2014.0","12.0","13.0","347.0","19.0","1.19","0.7","0.0","0.69","1.19","0.82","1.59","0.82","0.0","0.0","0.0","146.3","585.22","292.61","585.22","438.91","0.0","","","","","","",""
"2014.0","12.0","14.0","348.0","19.0","1.19","0.7","0.0","0.71","1.19","0.85","0.0","0.0","0.0","0.0","0.85","146.3","585.22","292.61","584.37","438.91","0.0","","","","","","",""
"2014.0","12.0","15.0","349.0","19.0","1.18","0.7","0.0","0.89","1.18","1.05","6.89","1.9","0.0","0.0","0.0","146.3","585.22","292.61","585.22","438.91","0.0","","","","","","",""
"2014.0","12.0","16.0","350.0","19.0","1.17","0.7","0.0","1.18","1.17","1.38","9.15","1.38","0.0","0.0","0.0","146.3","585.22","292.61","585.22","438.91","0.0","","","","","","",""
"2014.0","12.0","17.0","351.0","19.0","1.18","0.7","0.0","0.96","1.18","1.13","11.33","1.13","0.0","0.0","0.0","146.3","585.22","292.61","585.22","438.91","0.0","","","","","","",""
"2014.0","12.0","18.0","352.0","19.0","1.18","0.7","0.0","0.91","1.18","1.08","3.87","1.08","0.0","0.0","0.0","146.3","585.22","292.61","585.22","438.91","0.0","","","","","","",""
"2014.0","12.0","19.0","353.0","19.0","1.19","0.7","0.0","0.81","1.19","0.96","0.01","0.01","0.0","0.0","0.95","146.3","585.22","292.61","584.27","438.91","0.0","","","","","","",""
"2014.0","12.0","20.0","354.0","19.0","1.19","0.7","0.0","0.64","1.19","0.76","14.79","1.71","0.0","0.0","0.0","146.3","585.22","292.61","585.22","438.91","0.0","","","","","","",""
"2014.0","12.0","21.0","355.0","19.0","1.19","0.7","0.0","0.97","1.19","1.15","0.0","0.0","0.0","0.0","1.15","146.3","585.22","292.61","584.06","438.91","0.0","","","","","","",""
"2014.0","12.0","22.0","356.0","19.0","1.19","0.7","0.0","0.79","1.19","0.94","0.0","0.0","0.0","0.0","2.09","146.3","585.22","292.61","583.13","438.91","0.0","","","","","","",""
"2014.0","12.0","23.0","357.0","19.0","1.19","0.7","0.0","0.72","1.19","0.86","0.0","0.0","0.0","0.0","2.95","146.3","585.22","292.61","582.27","438.91","0.0","","","","","","",""
"2014.0","12.0","24.0","358.0","19.0","1.19","0.7","0.0","0.99","1.19","1.18","0.0","0.0","0.0","0.0","4.12","146.3","585.22","292.61","581.09","438.91","0.0","","","","","","",""
"2014.0","12.0","25.0","359.0","19.0","1.15","0.7","0.0","1.88","1.15","2.17","0.78","0.78","0.0","0.0","5.51","146.3","585.22","292.61","579.7","438.91","0.0","","","","","","",""
"2014.0","12.0","26.0","360.0","19.0","1.0","0.7","0.0","1.89","1.0","1.9","0.0","0.0","0.0","0.0","7.41","146.3","585.22","292.61","577.81","438.91","0.0","","","","","","",""
"2014.0","12.0","27.0","361.0","19.0","0.96","0.7","0.0","0.76","0.96","0.73","0.0","0.0","0.0","0.0","8.14","146.3","585.22","292.61","577.08","438.91","0.0","","","","","","",""
"2014.0","12.0","28.0","362.0","19.0","0.92","0.7","0.0","0.74","0.92","0.68","0.0","0.0","0.0","0.0","8.82","146.3","585.22","292.61","576.4","438.91","0.0","","","","","","",""
"2014.0","12.0","29.0","363.0","19.0","0.9","0.7","0.0","0.56","0.9","0.5","0.0","0.0","0.0","0.0","9.32","146.3","585.22","292.61","575.89","438.91","0.0","","","","","","",""
"2014.0","12.0","30.0","364.0","19.0","0.8","0.7","0.0","2.49","0.8","1.99","0.0","0.0","0.0","0.0","11.31","146.3","585.22","292.61","573.9","438.91","0.0","","","","","","",""
"2014.0","12.0","31.0","365.0","19.0","0.72","0.7","0.0","2.68","0.72","1.94","0.0","0.0","0.0","0.0","13.25","146.3","585.22","292.61","571.97","438.91","0.0","","","","","","",""
"2015.0","1.0","1.0","1.0","19.0","0.7","0.7","0.0","0.88","0.7","0.62","0.0","0.0","0.0","0.0","13.87","128.22","585.22","292.61","571.35","456.99","0.0","","","","","","",""
"2015.0","1.0","2.0","2.0","19.0","0.69","0.7","0.0","0.86","0.7","0.6","0.0","0.0","0.0","0.0","14.47","128.22","585.22","292.61","570.74","456.99","0.0","","","","","","",""
"2015.0","1.0","3.0","3.0","19.0","0.67","0.7","0.0","0.85","0.7","0.6","0.0","0.0","0.0","0.0","15.07","128.22","585.22","292.61","570.15","456.99","0.0","","","","","","",""
"2015.0","1.0","4.0","4.0","19.0","0.65","0.7","0.0","0.96","0.7","0.67","0.0","0.0","0.0","0.0","15.74","128.22","585.22","292.61","569.48","456.99","0.0","","","","","","",""
"2015.0","1.0","5.0","5.0","19.0","0.64","0.7","0.0","0.87","0.7","0.61","0.0","0.0","0.0","0.0","16.35","128.22","585.22","292.61","568.87","456.99","0.0","","","","","","",""
"2015.0","1.0","6.0","6.0","19.0","0.62","0.7","0.0","1.17","0.7","0.82","0.0","0.0","0.0","0.0","17.17","128.22","585.22","292.61","568.05","456.99","0.0","","","","","","",""
"2015.0","1.0","7.0","7.0","19.0","0.6","0.7","0.0","1.17","0.7","0.82","0.0","0.0","0.0","0.0","17.99","128.22","585.22","292.61","567.23","456.99","0.0","","","","","","",""
"2015.0","1.0","8.0","8.0","19.0","0.59","0.7","0.0","1.0","0.7","0.7","0.0","0.0","0.0","0.0","18.69","128.22","585.22","292.61","566.53","456.99","0.0","","","","","","",""
"2015.0","1.0","9.0","9.0","19.0","0.58","0.7","0.0","0.87","0.7","0.61","0.0","0.0","0.0","0.0","19.29","128.22","585.22","292.61","565.92","456.99","0.0","","","","","","",""
"2015.0","1.0","10.0","10.0","19.0","0.57","0.7","0.0","0.96","0.7","0.67","0.0","0.0","0.0","0.0","19.97","128.22","585.22","292.61","565.25","456.99","0.0","","","","","","",""
"2015.0","1.0","11.0","11.0","19.0","0.56","0.7","0.0","0.88","0.7","0.62","0.0","0.0","0.0","0.0","20.58","128.22","585.22","292.61","564.63","456.99","0.0","","","","","","",""
"2015.0","1.0","12.0","12.0","19.0","0.55","0.7","0.0","1.05","0.7","0.74","0.0","0.0","0.0","0.0","21.32","128.22","585.22","292.61","563.9","456.99","0.0","","","","","","",""
"2015.0","1.0","13.0","13.0","19.0","0.53","0.7","0.0","1.18","0.7","0.83","0.0","0.0","0.0","0.0","22.14","128.22","585.22","292.61","563.07","456.99","0.0","","","","","","",""
"2015.0","1.0","14.0","14.0","19.0","0.53","0.7","0.0","0.69","0.7","0.48","0.0","0.0","0.0","0.0","22.63","128.22","585.22","292.61","562.59","456.99","0.0","","","","","","",""
"2015.0","1.0","15.0","15.0","19.0","0.52","0.7","0.0","0.69","0.7","0.48","0.0","0.0","0.0","0.0","23.11","128.22","585.22","292.61","562.11","456.99","0.0","","","","","","",""
"2015.0","1.0","16.0","16.0","19.0","0.52","0.7","0.0","0.57","0.7","0.4","0.0","0.0","0.0","0.0","23.51","128.22","585.22","292.61","561.71","456.99","0.0","","","","","","",""
"2015.0","1.0","17.0","17.0","19.0","0.51","0.7","0.0","0.56","0.7","0.39","0.01","0.01","0.0","0.0","23.89","128.22","585.22","292.61","561.33","456.99","0.0","","","","","","",""
"2015.0","1.0","18.0","18.0","19.0","0.51","0.7","0.0","0.61","0.7","0.43","0.0","0.0","0.0","0.0","24.32","128.22","585.22","292.61","560.9","456.99","0.0","","","","","","",""
"2015.0","1.0","19.0","19.0","19.0","0.5","0.7","0.0","0.7","0.7","0.49","0.0","0.0","0.0","0.0","24.81","128.22","585.22","292.61","560.41","456.99","0.0","","","","","","",""
"2015.0","1.0","20.0","20.0","19.0","0.5","0.7","0.0","0.79","0.7","0.55","0.0","0.0","0.0","0.0","25.36","128.22","585.22","292.61","559.86","456.99","0.0","","","","","","",""
"2015.0","1.0","21.0","21.0","19.0","0.49","0.7","0.0","0.98","0.7","0.69","0.0","0.0","0.0","0.0","26.05","128.22","585.22","292.61","559.17","456.99","0.0","","","","","","",""
"2015.0","1.0","22.0","22.0","19.0","0.48","0.7","0.0","0.73","0.7","0.51","0.0","0.0","0.0","0.0","26.56","128.22","585.22","292.61","558.66","456.99","0.0","","","","","","",""
"2015.0","1.0","23.0","23.0","19.0","0.48","0.7","0.0","0.98","0.7","0.69","0.0","0.0","0.0","0.0","27.24","128.22","585.22","292.61","557.97","456.99","0.0","","","","","","",""
"2015.0","1.0","24.0","24.0","19.0","0.47","0.7","0.0","0.94","0.7","0.66","0.0","0.0","0.0","0.0","27.9","128.22","585.22","292.61","557.31","456.99","0.0","","","","","","",""
"2015.0","1.0","25.0","25.0","19.0","0.46","0.7","0.0","1.02","0.7","0.71","0.0","0.0","0.0","0.0","28.62","128.22","585.22","292.61","556.6","456.99","0.0","","","","","","",""
"2015.0","1.0","26.0","26.0","19.0","0.46","0.7","0.0","1.28","0.7","0.9","0.0","0.0","0.0","0.0","29.51","128.22","585.22","292.61","555.7","456.99","0.0","","","","","","",""
"2015.0","1.0","27.0","27.0","19.0","0.45","0.7","0.0","1.12","0.7","0.78","0.0","0.0","0.0","0.0","30.3","128.22","585.22","292.61","554.92","456.99","0.0","","","","","","",""
"2015.0","1.0","28.0","28.0","19.0","0.44","0.7","0.0","1.53","0.7","1.07","0.0","0.0","0.0","0.0","31.37","128.22","585.22","292.61","553.85","456.99","0.0","","","","","","",""
"2015.0","1.0","29.0","29.0","19.0","0.43","0.7","0.0","1.43","0.7","1.0","0.0","0.0","0.0","0.0","32.37","128.22","585.22","292.61","552.85","456.99","0.0","","","","","","",""
"2015.0","1.0","30.0","30.0","19.0","0.42","0.7","0.0","1.93","0.7","1.35","0.0","0.0","0.0","0.0","33.72","128.22","585.22","292.61","551.5","456.99","0.0","","","","","","",""
"2015.0","1.0","31.0","31.0","19.0","0.41","0.7","0.0","3.46","0.7","2.42","0.0","0.0","0.0","0.0","36.14","128.22","585.22","292.61","549.08","456.99","0.0","","","","","","",""
"2015.0","2.0","1.0","32.0","19.0","0.4","0.7","0.0","1.44","0.7","1.01","0.0","0.0","0.0","0.0","37.15","128.22","585.22","292.61","548.07","456.99","0.0","","","","","","",""
"2015.0","2.0","2.0","33.0","19.0","0.4","0.7","0.0","1.46","0.7","1.02","0.0","0.0","0.0","0.0","38.17","128.22","585.22","292.61","547.05","456.99","0.0","","","","","","",""
"2015.0","2.0","3.0","34.0","19.0","0.39","0.7","0.0","1.52","0.7","1.06","0.0","0.0","0.0","0.0","39.23","128.22","585.22","292.61","545.98","456.99","0.0","","","","","","",""
"2015.0","2.0","4.0","35.0","19.0","0.38","0.7","0.0","1.4","0.7","0.98","0.0","0.0","0.0","0.0","40.21","128.22","585.22","292.61","545.0","456.99","0.0","","","","","","",""
"2015.0","2.0","5.0","36.0","19.0","0.38","0.7","0.0","1.08","0.7","0.76","0.0","0.0","0.0","0.0","40.97","128.22","585.22","292.61","544.25","456.99","0.0","","","","","","",""
"2015.0","2.0","6.0","37.0","19.0","0.37","0.7","0.0","2.04","0.7","1.43","0.04","0.04","0.0","0.0","42.36","128.22","585.22","292.61","542.86","456.99","0.0","","","","","","",""
"2015.0","2.0","7.0","38.0","19.0","1.16","0.7","0.0","1.42","1.16","1.65","27.21","27.21","0.0","0.0","16.8","128.22","585.22","292.61","568.42","456.99","0.0","","","","","","",""
"2015.0","2.0","8.0","39.0","19.0","1.17","0.7","0.0","1.3","1.17","1.52","4.76","4.76","0.0","0.0","13.56","128.22","585.22","292.61","571.66","456.99","0.0","","","","","","",""
"2015.0","2.0","9.0","40.0","19.0","1.14","0.7","0.0","2.0","1.14","2.28","20.3","15.84","0.0","0.0","0.0","128.22","585.22","292.61","585.22","456.99","0.0","","","","","","",""
"2015.0","2.0","10.0","41.0","19.0","1.14","0.7","0.0","1.82","1.14","2.08","0.0","0.0","0.0","0.0","2.08","128.22","585.22","292.61","583.13","456.99","0.0","","","","","","",""
"2015.0","2.0","11.0","42.0","19.0","1.15","0.7","0.0","1.61","1.15","1.85","0.0","0.0","0.0","0.0","3.93","128.22","585.22","292.61","581.29","456.99","0.0","","","","","","",""
"2015.0","2.0","12.0","43.0","19.0","1.02","0.7","0.0","1.97","1.02","2.02","0.0","0.0","0.0","0.0","5.94","128.22","585.22","292.61","579.27","456.99","0.0","","","","","","",""
