" Daily soil water balance output for Cucurbits in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Cucurbits in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2014.0","11.0","6.0","310.0","999.0","0.82","0.0","0.0","1.95","0.82","1.61","0.0","0.0","0.0","0.0","22.88","22.5","320.04","160.02","297.16","297.54","0.0","","","","","","","","",""
"2014.0","11.0","7.0","311.0","999.0","0.76","0.0","0.0","2.02","0.76","1.53","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2014.0","11.0","8.0","312.0","999.0","0.71","0.0","0.0","1.91","0.71","1.36","0.0","0.0","0.0","0.0","23.86","22.5","320.04","160.02","296.18","297.54","0.0","","","","","","","","",""
"2014.0","11.0","9.0","313.0","999.0","0.67","0.0","0.0","1.87","0.67","1.25","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2014.0","11.0","10.0","314.0","999.0","0.63","0.0","0.0","2.04","0.63","1.29","0.0","0.0","0.0","0.0","23.79","22.5","320.04","160.02","296.25","297.54","0.0","","","","","","","","",""
"2014.0","11.0","11.0","315.0","999.0","0.61","0.0","0.0","1.51","0.61","0.92","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2014.0","11.0","12.0","316.0","999.0","0.59","0.0","0.0","1.4","0.59","0.83","0.0","0.0","0.0","0.0","23.33","22.5","320.04","160.02","296.71","297.54","0.0","","","","","","","","",""
"2014.0","11.0","13.0","317.0","999.0","1.18","0.0","0.0","0.94","1.18","1.11","3.18","3.18","0.0","0.0","20.15","22.5","320.04","160.02","299.89","297.54","0.0","","","","","","","","",""
"2014.0","11.0","14.0","318.0","999.0","1.17","0.0","0.0","1.24","1.17","1.45","2.3","2.3","0.0","0.0","19.3","22.5","320.04","160.02","300.74","297.54","0.0","","","","","","","","",""
"2014.0","11.0","15.0","319.0","999.0","1.17","0.0","0.0","1.23","1.17","1.44","0.0","0.0","0.0","0.0","20.74","22.5","320.04","160.02","299.3","297.54","0.0","","","","","","","","",""
"2014.0","11.0","16.0","320.0","999.0","1.16","0.0","0.0","2.03","1.16","2.35","0.0","0.0","0.0","0.0","23.09","22.5","320.04","160.02","296.95","297.54","0.0","","","","","","","","",""
"2014.0","11.0","17.0","321.0","999.0","1.11","0.0","0.0","1.87","1.11","2.07","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2014.0","11.0","18.0","322.0","999.0","1.0","0.0","0.0","1.42","1.0","1.42","0.0","0.0","0.0","0.0","23.92","22.5","320.04","160.02","296.12","297.54","0.0","","","","","","","","",""
"2014.0","11.0","19.0","323.0","999.0","0.95","0.0","0.0","1.0","0.95","0.95","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2014.0","11.0","20.0","324.0","999.0","1.19","0.0","0.0","0.63","1.19","0.75","3.48","3.48","0.0","0.0","19.77","22.5","320.04","160.02","300.27","297.54","0.0","","","","","","","","",""
"2014.0","11.0","21.0","325.0","999.0","1.19","0.0","0.0","0.77","1.19","0.92","4.74","4.74","0.0","0.0","15.95","22.5","320.04","160.02","304.09","297.54","0.0","","","","","","","","",""
"2014.0","11.0","22.0","326.0","999.0","1.18","0.0","0.0","1.08","1.18","1.28","0.6","0.6","0.0","0.0","16.63","22.5","320.04","160.02","303.41","297.54","0.0","","","","","","","","",""
"2014.0","11.0","23.0","327.0","999.0","1.16","0.0","0.0","1.44","1.16","1.67","1.87","1.87","0.0","0.0","16.43","22.5","320.04","160.02","303.61","297.54","0.0","","","","","","","","",""
"2014.0","11.0","24.0","328.0","999.0","1.16","0.0","0.0","1.37","1.16","1.59","0.0","0.0","0.0","0.0","18.02","22.5","320.04","160.02","302.02","297.54","0.0","","","","","","","","",""
"2014.0","11.0","25.0","329.0","999.0","1.17","0.0","0.0","1.22","1.17","1.42","0.0","0.0","0.0","0.0","19.45","22.5","320.04","160.02","300.59","297.54","0.0","","","","","","","","",""
"2014.0","11.0","26.0","330.0","999.0","1.17","0.0","0.0","1.16","1.17","1.35","0.0","0.0","0.0","0.0","20.8","22.5","320.04","160.02","299.24","297.54","0.0","","","","","","","","",""
"2014.0","11.0","27.0","331.0","999.0","1.11","0.0","0.0","1.2","1.11","1.33","0.0","0.0","0.0","0.0","22.14","22.5","320.04","160.02","297.9","297.54","0.0","","","","","","","","",""
"2014.0","11.0","28.0","332.0","999.0","1.02","0.0","0.0","1.15","1.02","1.18","0.0","0.0","0.0","0.0","23.31","22.5","320.04","160.02","296.73","297.54","0.0","","","","","","","","",""
"2014.0","11.0","29.0","333.0","999.0","1.19","0.0","0.0","0.86","1.19","1.02","4.67","4.67","0.0","0.0","18.64","22.5","320.04","160.02","301.4","297.54","0.0","","","","","","","","",""
"2014.0","11.0","30.0","334.0","999.0","1.19","0.0","0.0","0.66","1.19","0.79","6.84","6.84","0.0","0.0","12.59","22.5","320.04","160.02","307.45","297.54","0.0","","","","","","","","",""
"2014.0","12.0","1.0","335.0","999.0","1.18","0.0","0.0","1.03","1.18","1.21","3.4","3.4","0.0","0.0","10.41","22.5","320.04","160.02","309.63","297.54","0.0","","","","","","","","",""
"2014.0","12.0","2.0","336.0","999.0","1.19","0.0","0.0","0.67","1.19","0.8","1.57","1.57","0.0","0.0","9.64","22.5","320.04","160.02","310.4","297.54","0.0","","","","","","","","",""
"2014.0","12.0","3.0","337.0","999.0","1.18","0.0","0.0","1.07","1.18","1.26","42.83","10.9","0.0","0.0","0.0","22.5","320.04","160.02","320.04","297.54","0.0","","","","","","","","",""
"2014.0","12.0","4.0","338.0","999.0","1.18","0.0","0.0","1.07","1.18","1.26","23.53","1.26","0.0","0.0","0.0","22.5","320.04","160.02","320.04","297.54","0.0","","","","","","","","",""
"2014.0","12.0","5.0","339.0","999.0","1.18","0.0","0.0","0.94","1.18","1.11","0.2","0.2","0.0","0.0","0.91","22.5","320.04","160.02","319.13","297.54","0.0","","","","","","","","",""
"2014.0","12.0","6.0","340.0","999.0","1.18","0.0","0.0","1.08","1.18","1.27","3.02","2.18","0.0","0.0","0.0","22.5","320.04","160.02","320.04","297.54","0.0","","","","","","","","",""
"2014.0","12.0","7.0","341.0","999.0","1.18","0.0","0.0","0.8","1.18","0.95","0.51","0.51","0.0","0.0","0.44","22.5","320.04","160.02","319.6","297.54","0.0","","","","","","","","",""
"2014.0","12.0","8.0","342.0","999.0","1.18","0.0","0.0","0.83","1.18","0.98","0.0","0.0","0.0","0.0","1.42","22.5","320.04","160.02","318.62","297.54","0.0","","","","","","","","",""
"2014.0","12.0","9.0","343.0","999.0","1.19","0.0","0.0","0.69","1.19","0.82","0.0","0.0","0.0","0.0","2.24","22.5","320.04","160.02","317.8","297.54","0.0","","","","","","","","",""
"2014.0","12.0","10.0","344.0","999.0","1.19","0.0","0.0","0.97","1.19","1.15","0.0","0.0","0.0","0.0","3.39","22.5","320.04","160.02","316.65","297.54","0.0","","","","","","","","",""
"2014.0","12.0","11.0","345.0","999.0","1.18","0.0","0.0","1.19","1.18","1.41","0.75","0.75","0.0","0.0","4.04","22.5","320.04","160.02","316.0","297.54","0.0","","","","","","","","",""
"2014.0","12.0","12.0","346.0","999.0","1.2","0.0","0.0","0.6","1.2","0.72","73.65","4.76","0.0","0.0","0.0","22.5","320.04","160.02","320.04","297.54","0.0","","","","","","","","",""
"2014.0","12.0","13.0","347.0","999.0","1.19","0.0","0.0","0.67","1.19","0.8","1.55","0.8","0.0","0.0","0.0","22.5","320.04","160.02","320.04","297.54","0.0","","","","","","","","",""
"2014.0","12.0","14.0","348.0","999.0","1.19","0.0","0.0","0.69","1.19","0.82","0.0","0.0","0.0","0.0","0.82","22.5","320.04","160.02","319.22","297.54","0.0","","","","","","","","",""
"2014.0","12.0","15.0","349.0","999.0","1.19","0.0","0.0","0.87","1.19","1.03","5.34","1.85","0.0","0.0","0.0","22.5","320.04","160.02","320.04","297.54","0.0","","","","","","","","",""
"2014.0","12.0","16.0","350.0","999.0","1.17","0.0","0.0","1.18","1.17","1.38","10.1","1.38","0.0","0.0","0.0","22.5","320.04","160.02","320.04","297.54","0.0","","","","","","","","",""
"2014.0","12.0","17.0","351.0","999.0","1.18","0.0","0.0","0.96","1.18","1.13","14.67","1.13","0.0","0.0","0.0","22.5","320.04","160.02","320.04","297.54","0.0","","","","","","","","",""
"2014.0","12.0","18.0","352.0","999.0","1.18","0.0","0.0","0.91","1.18","1.08","2.9","1.08","0.0","0.0","0.0","22.5","320.04","160.02","320.04","297.54","0.0","","","","","","","","",""
"2014.0","12.0","19.0","353.0","999.0","1.19","0.0","0.0","0.81","1.19","0.96","0.09","0.09","0.0","0.0","0.87","22.5","320.04","160.02","319.17","297.54","0.0","","","","","","","","",""
"2014.0","12.0","20.0","354.0","999.0","1.19","0.0","0.0","0.63","1.19","0.75","18.41","1.62","0.0","0.0","0.0","22.5","320.04","160.02","320.04","297.54","0.0","","","","","","","","",""
"2014.0","12.0","21.0","355.0","999.0","1.19","0.0","0.0","0.96","1.19","1.14","0.07","0.07","0.0","0.0","1.07","22.5","320.04","160.02","318.97","297.54","0.0","","","","","","","","",""
"2014.0","12.0","22.0","356.0","999.0","1.19","0.0","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","2.0","22.5","320.04","160.02","318.04","297.54","0.0","","","","","","","","",""
"2014.0","12.0","23.0","357.0","999.0","1.19","0.0","0.0","0.72","1.19","0.86","0.0","0.0","0.0","0.0","2.85","22.5","320.04","160.02","317.19","297.54","0.0","","","","","","","","",""
"2014.0","12.0","24.0","358.0","999.0","1.19","0.0","0.0","0.97","1.19","1.15","0.0","0.0","0.0","0.0","4.01","22.5","320.04","160.02","316.03","297.54","0.0","","","","","","","","",""
"2014.0","12.0","25.0","359.0","999.0","1.16","0.0","0.0","1.86","1.16","2.16","0.69","0.69","0.0","0.0","5.48","22.5","320.04","160.02","314.56","297.54","0.0","","","","","","","","",""
"2014.0","12.0","26.0","360.0","999.0","1.01","0.0","0.0","1.91","1.01","1.92","0.0","0.0","0.0","0.0","7.4","22.5","320.04","160.02","312.64","297.54","0.0","","","","","","","","",""
"2014.0","12.0","27.0","361.0","999.0","0.96","0.0","0.0","0.77","0.96","0.74","0.0","0.0","0.0","0.0","8.14","22.5","320.04","160.02","311.9","297.54","0.0","","","","","","","","",""
"2014.0","12.0","28.0","362.0","999.0","0.92","0.0","0.0","0.76","0.92","0.7","0.0","0.0","0.0","0.0","8.84","22.5","320.04","160.02","311.2","297.54","0.0","","","","","","","","",""
"2014.0","12.0","29.0","363.0","999.0","0.9","0.0","0.0","0.55","0.9","0.49","0.0","0.0","0.0","0.0","9.33","22.5","320.04","160.02","310.71","297.54","0.0","","","","","","","","",""
"2014.0","12.0","30.0","364.0","999.0","0.8","0.0","0.0","2.47","0.8","1.98","0.0","0.0","0.0","0.0","11.31","22.5","320.04","160.02","308.73","297.54","0.0","","","","","","","","",""
"2014.0","12.0","31.0","365.0","999.0","0.72","0.0","0.0","2.67","0.72","1.94","0.0","0.0","0.0","0.0","13.25","22.5","320.04","160.02","306.79","297.54","0.0","","","","","","","","",""
"2015.0","1.0","1.0","1.0","999.0","0.71","0.0","0.0","0.85","0.71","0.6","0.0","0.0","0.0","0.0","13.85","22.5","320.04","160.02","306.19","297.54","0.0","","","","","","","","",""
"2015.0","1.0","2.0","2.0","999.0","0.69","0.0","0.0","0.87","0.69","0.6","0.0","0.0","0.0","0.0","14.45","22.5","320.04","160.02","305.59","297.54","0.0","","","","","","","","",""
"2015.0","1.0","3.0","3.0","999.0","0.67","0.0","0.0","0.86","0.67","0.58","0.0","0.0","0.0","0.0","15.02","22.5","320.04","160.02","305.02","297.54","0.0","","","","","","","","",""
"2015.0","1.0","4.0","4.0","999.0","0.65","0.0","0.0","0.96","0.65","0.63","0.0","0.0","0.0","0.0","15.65","22.5","320.04","160.02","304.39","297.54","0.0","","","","","","","","",""
"2015.0","1.0","5.0","5.0","999.0","0.64","0.0","0.0","0.86","0.64","0.55","0.0","0.0","0.0","0.0","16.2","22.5","320.04","160.02","303.84","297.54","0.0","","","","","","","","",""
"2015.0","1.0","6.0","6.0","999.0","0.62","0.0","0.0","1.17","0.62","0.73","0.0","0.0","0.0","0.0","16.93","22.5","320.04","160.02","303.11","297.54","0.0","","","","","","","","",""
"2015.0","1.0","7.0","7.0","999.0","0.6","0.0","0.0","1.19","0.6","0.72","0.0","0.0","0.0","0.0","17.64","22.5","320.04","160.02","302.4","297.54","0.0","","","","","","","","",""
"2015.0","1.0","8.0","8.0","999.0","0.59","0.0","0.0","1.04","0.59","0.61","0.0","0.0","0.0","0.0","18.26","22.5","320.04","160.02","301.78","297.54","0.0","","","","","","","","",""
"2015.0","1.0","9.0","9.0","999.0","0.58","0.0","0.0","0.87","0.58","0.5","0.0","0.0","0.0","0.0","18.76","22.5","320.04","160.02","301.28","297.54","0.0","","","","","","","","",""
"2015.0","1.0","10.0","10.0","999.0","0.57","0.0","0.0","0.96","0.57","0.54","0.0","0.0","0.0","0.0","19.3","22.5","320.04","160.02","300.74","297.54","0.0","","","","","","","","",""
"2015.0","1.0","11.0","11.0","999.0","0.56","0.0","0.0","0.9","0.56","0.5","0.0","0.0","0.0","0.0","19.81","22.5","320.04","160.02","300.23","297.54","0.0","","","","","","","","",""
"2015.0","1.0","12.0","12.0","999.0","0.55","0.0","0.0","1.06","0.55","0.58","0.0","0.0","0.0","0.0","20.38","22.5","320.04","160.02","299.66","297.54","0.0","","","","","","","","",""
"2015.0","1.0","13.0","13.0","999.0","0.53","0.0","0.0","1.19","0.53","0.64","0.0","0.0","0.0","0.0","21.02","22.5","320.04","160.02","299.02","297.54","0.0","","","","","","","","",""
"2015.0","1.0","14.0","14.0","999.0","0.53","0.0","0.0","0.73","0.53","0.39","0.0","0.0","0.0","0.0","21.41","22.5","320.04","160.02","298.63","297.54","0.0","","","","","","","","",""
"2015.0","1.0","15.0","15.0","999.0","0.52","0.0","0.0","0.73","0.52","0.38","0.0","0.0","0.0","0.0","21.79","22.5","320.04","160.02","298.25","297.54","0.0","","","","","","","","",""
"2015.0","1.0","16.0","16.0","999.0","0.52","0.0","0.0","0.62","0.52","0.32","0.0","0.0","0.0","0.0","22.11","22.5","320.04","160.02","297.93","297.54","0.0","","","","","","","","",""
"2015.0","1.0","17.0","17.0","999.0","0.51","0.0","0.0","0.57","0.51","0.29","0.16","0.16","0.0","0.0","22.24","22.5","320.04","160.02","297.8","297.54","0.0","","","","","","","","",""
"2015.0","1.0","18.0","18.0","999.0","0.51","0.0","0.0","0.61","0.51","0.31","0.0","0.0","0.0","0.0","22.55","22.5","320.04","160.02","297.49","297.54","0.0","","","","","","","","",""
"2015.0","1.0","19.0","19.0","999.0","0.5","0.0","0.0","0.7","0.5","0.35","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","1.0","20.0","20.0","999.0","0.49","0.0","0.0","0.76","0.49","0.38","0.0","0.0","0.0","0.0","22.88","22.5","320.04","160.02","297.16","297.54","0.0","","","","","","","","",""
"2015.0","1.0","21.0","21.0","999.0","0.49","0.0","0.0","0.95","0.49","0.46","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","1.0","22.0","22.0","999.0","0.48","0.0","0.0","0.76","0.48","0.37","0.0","0.0","0.0","0.0","22.87","22.5","320.04","160.02","297.17","297.54","0.0","","","","","","","","",""
"2015.0","1.0","23.0","23.0","999.0","0.48","0.0","0.0","0.98","0.48","0.47","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","1.0","24.0","24.0","999.0","0.47","0.0","0.0","0.95","0.47","0.45","0.0","0.0","0.0","0.0","22.95","22.5","320.04","160.02","297.09","297.54","0.0","","","","","","","","",""
"2015.0","1.0","25.0","25.0","999.0","0.46","0.0","0.0","1.05","0.46","0.49","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","1.0","26.0","26.0","999.0","0.45","0.0","0.0","1.32","0.45","0.6","0.0","0.0","0.0","0.0","23.1","22.5","320.04","160.02","296.94","297.54","0.0","","","","","","","","",""
"2015.0","1.0","27.0","27.0","999.0","0.45","0.0","0.0","1.1","0.45","0.49","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","1.0","28.0","28.0","999.0","0.44","0.0","0.0","1.57","0.44","0.69","0.0","0.0","0.0","0.0","23.19","22.5","320.04","160.02","296.85","297.54","0.0","","","","","","","","",""
"2015.0","1.0","29.0","29.0","999.0","0.43","0.0","0.0","1.46","0.43","0.63","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","1.0","30.0","30.0","999.0","0.42","0.0","0.0","2.03","0.42","0.86","0.0","0.0","0.0","0.0","23.36","22.5","320.04","160.02","296.68","297.54","0.0","","","","","","","","",""
"2015.0","1.0","31.0","31.0","999.0","0.41","0.0","0.0","3.58","0.41","1.45","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","2.0","1.0","32.0","999.0","0.4","0.0","0.0","1.45","0.4","0.58","0.0","0.0","0.0","0.0","23.08","22.5","320.04","160.02","296.96","297.54","0.0","","","","","","","","",""
"2015.0","2.0","2.0","33.0","999.0","0.39","0.0","0.0","1.48","0.39","0.58","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","2.0","3.0","34.0","999.0","0.39","0.0","0.0","1.52","0.39","0.59","0.0","0.0","0.0","0.0","23.09","22.5","320.04","160.02","296.95","297.54","0.0","","","","","","","","",""
"2015.0","2.0","4.0","35.0","999.0","0.38","0.0","0.0","1.47","0.38","0.56","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","2.0","5.0","36.0","999.0","0.38","0.0","0.0","1.17","0.38","0.44","0.0","0.0","0.0","0.0","22.94","22.5","320.04","160.02","297.1","297.54","0.0","","","","","","","","",""
"2015.0","2.0","6.0","37.0","999.0","0.37","0.0","0.0","2.17","0.37","0.81","0.0","0.0","0.0","0.0","22.5","22.5","320.04","160.02","297.54","297.54","0.0","","","","","","","","",""
"2015.0","2.0","7.0","38.0","999.0","1.16","0.0","0.0","1.44","1.16","1.67","33.87","24.17","0.0","0.0","0.0","22.5","320.04","160.02","320.04","297.54","0.0","","","","","","","","",""
"2015.0","2.0","8.0","39.0","999.0","1.17","0.0","0.0","1.29","1.17","1.51","4.7","1.51","0.0","0.0","0.0","22.5","320.04","160.02","320.04","297.54","0.0","","","","","","","","",""
