" Daily soil water balance output for Citrus & Subtropical in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Citrus & Subtropical in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","",""
"2014.0","10.0","16.0","289.0","4.0","0.08","0.7","0.0","2.69","0.7","1.88","0.0","0.0","0.0","0.0","82.04","86.02","373.08","186.54","291.04","287.06","0.0","","","","","","",""
"2014.0","10.0","17.0","290.0","4.0","0.08","0.7","0.0","2.49","0.7","1.74","0.0","0.0","0.0","0.0","83.78","86.02","373.08","186.54","289.29","287.06","0.0","","","","","","",""
"2014.0","10.0","18.0","291.0","4.0","0.08","0.7","0.0","2.85","0.7","2.0","0.0","0.0","0.0","0.0","85.78","86.02","373.08","186.54","287.3","287.06","0.0","","","","","","",""
"2014.0","10.0","19.0","292.0","4.0","0.08","0.7","0.0","2.85","0.7","2.0","0.0","0.0","0.0","0.0","0.0","86.02","373.08","186.54","373.08","287.06","87.77","","","","","","",""
"2014.0","10.0","20.0","293.0","4.0","0.08","0.7","0.0","2.16","0.7","1.51","0.0","0.0","0.0","0.0","1.51","86.02","373.08","186.54","371.56","287.06","0.0","","","","","","",""
"2014.0","10.0","21.0","294.0","4.0","0.08","0.7","0.0","2.66","0.7","1.86","0.0","0.0","0.0","0.0","3.37","86.02","373.08","186.54","369.7","287.06","0.0","","","","","","",""
"2014.0","10.0","22.0","295.0","4.0","0.08","0.7","0.0","2.54","0.7","1.78","0.0","0.0","0.0","0.0","5.15","86.02","373.08","186.54","367.92","287.06","0.0","","","","","","",""
"2014.0","10.0","23.0","296.0","4.0","0.08","0.7","0.0","2.49","0.7","1.74","0.0","0.0","0.0","0.0","6.9","86.02","373.08","186.54","366.18","287.06","0.0","","","","","","",""
"2014.0","10.0","24.0","297.0","4.0","0.08","0.7","0.0","2.54","0.7","1.78","0.0","0.0","0.0","0.0","8.67","86.02","373.08","186.54","364.4","287.06","0.0","","","","","","",""
"2014.0","10.0","25.0","298.0","4.0","0.08","0.7","0.0","2.22","0.7","1.55","0.0","0.0","0.0","0.0","10.23","86.02","373.08","186.54","362.85","287.06","0.0","","","","","","",""
"2014.0","10.0","26.0","299.0","4.0","0.08","0.7","0.0","2.66","0.7","1.86","0.87","0.87","0.0","0.0","11.22","86.02","373.08","186.54","361.86","287.06","0.0","","","","","","",""
"2014.0","10.0","27.0","300.0","4.0","0.08","0.7","0.0","2.48","0.7","1.74","0.0","0.0","0.0","0.0","12.96","86.02","373.08","186.54","360.12","287.06","0.0","","","","","","",""
"2014.0","10.0","28.0","301.0","4.0","0.08","0.7","0.0","2.36","0.7","1.65","0.0","0.0","0.0","0.0","14.61","86.02","373.08","186.54","358.47","287.06","0.0","","","","","","",""
"2014.0","10.0","29.0","302.0","4.0","0.08","0.7","0.0","2.44","0.7","1.71","0.0","0.0","0.0","0.0","16.32","86.02","373.08","186.54","356.76","287.06","0.0","","","","","","",""
"2014.0","10.0","30.0","303.0","4.0","0.08","0.7","0.0","2.44","0.7","1.71","0.0","0.0","0.0","0.0","18.02","86.02","373.08","186.54","355.05","287.06","0.0","","","","","","",""
"2014.0","10.0","31.0","304.0","4.0","0.08","0.7","0.0","1.29","0.7","0.9","0.07","0.07","0.0","0.0","18.86","86.02","373.08","186.54","354.22","287.06","0.0","","","","","","",""
"2014.0","11.0","1.0","305.0","4.0","0.08","0.7","0.0","1.83","0.7","1.28","5.22","5.22","0.0","0.0","14.92","86.02","373.08","186.54","358.16","287.06","0.0","","","","","","",""
"2014.0","11.0","2.0","306.0","4.0","0.08","0.7","0.0","2.18","0.7","1.53","0.0","0.0","0.0","0.0","16.44","86.02","373.08","186.54","356.63","287.06","0.0","","","","","","",""
"2014.0","11.0","3.0","307.0","4.0","0.08","0.7","0.0","1.8","0.7","1.26","0.0","0.0","0.0","0.0","17.7","86.02","373.08","186.54","355.37","287.06","0.0","","","","","","",""
"2014.0","11.0","4.0","308.0","4.0","0.08","0.7","0.0","1.75","0.7","1.23","0.0","0.0","0.0","0.0","18.93","86.02","373.08","186.54","354.15","287.06","0.0","","","","","","",""
"2014.0","11.0","5.0","309.0","4.0","0.08","0.7","0.0","1.9","0.7","1.33","0.0","0.0","0.0","0.0","20.26","86.02","373.08","186.54","352.82","287.06","0.0","","","","","","",""
"2014.0","11.0","6.0","310.0","4.0","0.08","0.7","0.0","1.91","0.7","1.34","0.0","0.0","0.0","0.0","21.6","86.02","373.08","186.54","351.48","287.06","0.0","","","","","","",""
"2014.0","11.0","7.0","311.0","4.0","0.08","0.7","0.0","1.94","0.7","1.36","0.0","0.0","0.0","0.0","22.95","86.02","373.08","186.54","350.12","287.06","0.0","","","","","","",""
"2014.0","11.0","8.0","312.0","4.0","0.08","0.7","0.0","1.87","0.7","1.31","0.0","0.0","0.0","0.0","24.26","86.02","373.08","186.54","348.81","287.06","0.0","","","","","","",""
"2014.0","11.0","9.0","313.0","4.0","0.08","0.7","0.0","1.83","0.7","1.28","0.0","0.0","0.0","0.0","25.54","86.02","373.08","186.54","347.53","287.06","0.0","","","","","","",""
"2014.0","11.0","10.0","314.0","4.0","0.08","0.7","0.0","1.84","0.7","1.29","0.0","0.0","0.0","0.0","26.83","86.02","373.08","186.54","346.24","287.06","0.0","","","","","","",""
"2014.0","11.0","11.0","315.0","4.0","0.08","0.7","0.0","1.55","0.7","1.09","0.0","0.0","0.0","0.0","27.92","86.02","373.08","186.54","345.16","287.06","0.0","","","","","","",""
"2014.0","11.0","12.0","316.0","4.0","0.08","0.7","0.0","1.54","0.7","1.08","0.0","0.0","0.0","0.0","28.99","86.02","373.08","186.54","344.08","287.06","0.0","","","","","","",""
"2014.0","11.0","13.0","317.0","4.0","1.18","0.7","0.0","1.07","1.18","1.26","5.34","5.34","0.0","0.0","24.91","86.02","373.08","186.54","348.16","287.06","0.0","","","","","","",""
"2014.0","11.0","14.0","318.0","4.0","1.17","0.7","0.0","1.4","1.17","1.64","0.95","0.95","0.0","0.0","25.6","86.02","373.08","186.54","347.47","287.06","0.0","","","","","","",""
"2014.0","11.0","15.0","319.0","4.0","1.17","0.7","0.0","1.34","1.17","1.57","0.0","0.0","0.0","0.0","27.17","86.02","373.08","186.54","345.91","287.06","0.0","","","","","","",""
"2014.0","11.0","16.0","320.0","4.0","1.16","0.7","0.0","1.94","1.16","2.26","0.07","0.07","0.0","0.0","29.35","86.02","373.08","186.54","343.72","287.06","0.0","","","","","","",""
"2014.0","11.0","17.0","321.0","4.0","1.02","0.7","0.0","1.79","1.02","1.83","0.0","0.0","0.0","0.0","31.18","86.02","373.08","186.54","341.9","287.06","0.0","","","","","","",""
"2014.0","11.0","18.0","322.0","4.0","0.94","0.7","0.0","1.33","0.94","1.25","0.0","0.0","0.0","0.0","32.43","86.02","373.08","186.54","340.64","287.06","0.0","","","","","","",""
"2014.0","11.0","19.0","323.0","4.0","0.89","0.7","0.0","1.09","0.89","0.97","0.59","0.59","0.0","0.0","32.81","86.02","373.08","186.54","340.27","287.06","0.0","","","","","","",""
"2014.0","11.0","20.0","324.0","4.0","1.19","0.7","0.0","0.63","1.19","0.75","2.88","2.88","0.0","0.0","30.68","86.02","373.08","186.54","342.39","287.06","0.0","","","","","","",""
"2014.0","11.0","21.0","325.0","4.0","1.18","0.7","0.0","0.9","1.18","1.07","4.27","4.27","0.0","0.0","27.48","86.02","373.08","186.54","345.6","287.06","0.0","","","","","","",""
"2014.0","11.0","22.0","326.0","4.0","1.18","0.7","0.0","1.25","1.18","1.47","0.9","0.9","0.0","0.0","28.05","86.02","373.08","186.54","345.03","287.06","0.0","","","","","","",""
"2014.0","11.0","23.0","327.0","4.0","1.16","0.7","0.0","1.56","1.16","1.81","3.21","3.21","0.0","0.0","26.64","86.02","373.08","186.54","346.43","287.06","0.0","","","","","","",""
"2014.0","11.0","24.0","328.0","4.0","1.16","0.7","0.0","1.39","1.16","1.61","0.0","0.0","0.0","0.0","28.26","86.02","373.08","186.54","344.82","287.06","0.0","","","","","","",""
"2014.0","11.0","25.0","329.0","4.0","1.16","0.7","0.0","1.25","1.16","1.46","0.0","0.0","0.0","0.0","29.71","86.02","373.08","186.54","343.36","287.06","0.0","","","","","","",""
"2014.0","11.0","26.0","330.0","4.0","1.17","0.7","0.0","1.26","1.17","1.47","0.0","0.0","0.0","0.0","31.18","86.02","373.08","186.54","341.89","287.06","0.0","","","","","","",""
"2014.0","11.0","27.0","331.0","4.0","1.09","0.7","0.0","1.19","1.09","1.3","0.0","0.0","0.0","0.0","32.48","86.02","373.08","186.54","340.6","287.06","0.0","","","","","","",""
"2014.0","11.0","28.0","332.0","4.0","1.01","0.7","0.0","1.14","1.01","1.15","0.0","0.0","0.0","0.0","33.63","86.02","373.08","186.54","339.45","287.06","0.0","","","","","","",""
"2014.0","11.0","29.0","333.0","4.0","0.96","0.7","0.0","0.81","0.96","0.78","0.48","0.48","0.0","0.0","33.92","86.02","373.08","186.54","339.15","287.06","0.0","","","","","","",""
"2014.0","11.0","30.0","334.0","4.0","1.19","0.7","0.0","0.66","1.19","0.79","3.64","3.64","0.0","0.0","31.07","86.02","373.08","186.54","342.0","287.06","0.0","","","","","","",""
"2014.0","12.0","1.0","335.0","4.0","1.18","0.7","0.0","0.96","1.18","1.13","10.55","10.55","0.0","0.0","21.65","86.02","373.08","186.54","351.42","287.06","0.0","","","","","","",""
"2014.0","12.0","2.0","336.0","4.0","1.19","0.7","0.0","0.64","1.19","0.76","10.14","10.14","0.0","0.0","12.28","86.02","373.08","186.54","360.8","287.06","0.0","","","","","","",""
"2014.0","12.0","3.0","337.0","4.0","1.17","0.7","0.0","1.15","1.17","1.35","32.71","13.63","0.0","0.0","0.0","86.02","373.08","186.54","373.08","287.06","0.0","","","","","","",""
"2014.0","12.0","4.0","338.0","4.0","1.18","0.7","0.0","1.1","1.18","1.29","6.73","1.29","0.0","0.0","0.0","86.02","373.08","186.54","373.08","287.06","0.0","","","","","","",""
"2014.0","12.0","5.0","339.0","4.0","1.18","0.7","0.0","0.9","1.18","1.06","0.56","0.56","0.0","0.0","0.5","86.02","373.08","186.54","372.57","287.06","0.0","","","","","","",""
"2014.0","12.0","6.0","340.0","4.0","1.18","0.7","0.0","1.08","1.18","1.27","3.46","1.77","0.0","0.0","0.0","86.02","373.08","186.54","373.08","287.06","0.0","","","","","","",""
"2014.0","12.0","7.0","341.0","4.0","1.18","0.7","0.0","0.73","1.18","0.86","0.14","0.14","0.0","0.0","0.72","86.02","373.08","186.54","372.35","287.06","0.0","","","","","","",""
"2014.0","12.0","8.0","342.0","4.0","1.18","0.7","0.0","0.84","1.18","1.0","0.0","0.0","0.0","0.0","1.72","86.02","373.08","186.54","371.36","287.06","0.0","","","","","","",""
"2014.0","12.0","9.0","343.0","4.0","1.19","0.7","0.0","0.67","1.19","0.8","0.0","0.0","0.0","0.0","2.51","86.02","373.08","186.54","370.56","287.06","0.0","","","","","","",""
"2014.0","12.0","10.0","344.0","4.0","1.19","0.7","0.0","0.91","1.19","1.08","0.0","0.0","0.0","0.0","3.59","86.02","373.08","186.54","369.48","287.06","0.0","","","","","","",""
"2014.0","12.0","11.0","345.0","4.0","1.18","0.7","0.0","1.28","1.18","1.51","0.0","0.0","0.0","0.0","5.11","86.02","373.08","186.54","367.97","287.06","0.0","","","","","","",""
"2014.0","12.0","12.0","346.0","4.0","1.2","0.7","0.0","0.62","1.2","0.74","67.69","5.85","0.0","0.0","0.0","86.02","373.08","186.54","373.08","287.06","0.0","","","","","","",""
"2014.0","12.0","13.0","347.0","4.0","1.19","0.7","0.0","0.72","1.19","0.86","1.17","0.86","0.0","0.0","0.0","86.02","373.08","186.54","373.08","287.06","0.0","","","","","","",""
"2014.0","12.0","14.0","348.0","4.0","1.19","0.7","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","0.93","86.02","373.08","186.54","372.15","287.06","0.0","","","","","","",""
"2014.0","12.0","15.0","349.0","4.0","1.18","0.7","0.0","0.98","1.18","1.16","12.1","2.09","0.0","0.0","0.0","86.02","373.08","186.54","373.08","287.06","0.0","","","","","","",""
"2014.0","12.0","16.0","350.0","4.0","1.17","0.7","0.0","1.22","1.17","1.43","11.08","1.43","0.0","0.0","0.0","86.02","373.08","186.54","373.08","287.06","0.0","","","","","","",""
"2014.0","12.0","17.0","351.0","4.0","1.18","0.7","0.0","0.95","1.18","1.12","11.26","1.12","0.0","0.0","0.0","86.02","373.08","186.54","373.08","287.06","0.0","","","","","","",""
"2014.0","12.0","18.0","352.0","4.0","1.18","0.7","0.0","0.97","1.18","1.15","3.99","1.15","0.0","0.0","0.0","86.02","373.08","186.54","373.08","287.06","0.0","","","","","","",""
"2014.0","12.0","19.0","353.0","4.0","1.18","0.7","0.0","0.84","1.18","0.99","0.0","0.0","0.0","0.0","0.99","86.02","373.08","186.54","372.08","287.06","0.0","","","","","","",""
"2014.0","12.0","20.0","354.0","4.0","1.19","0.7","0.0","0.68","1.19","0.81","9.13","1.81","0.0","0.0","0.0","86.02","373.08","186.54","373.08","287.06","0.0","","","","","","",""
"2014.0","12.0","21.0","355.0","4.0","1.19","0.7","0.0","0.99","1.19","1.17","0.01","0.01","0.0","0.0","1.16","86.02","373.08","186.54","371.91","287.06","0.0","","","","","","",""
"2014.0","12.0","22.0","356.0","4.0","1.19","0.7","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","2.09","86.02","373.08","186.54","370.98","287.06","0.0","","","","","","",""
"2014.0","12.0","23.0","357.0","4.0","1.19","0.7","0.0","0.75","1.19","0.89","0.0","0.0","0.0","0.0","2.98","86.02","373.08","186.54","370.09","287.06","0.0","","","","","","",""
"2014.0","12.0","24.0","358.0","4.0","1.19","0.7","0.0","0.96","1.19","1.14","0.0","0.0","0.0","0.0","4.12","86.02","373.08","186.54","368.95","287.06","0.0","","","","","","",""
"2014.0","12.0","25.0","359.0","4.0","1.14","0.7","0.0","1.94","1.14","2.22","0.81","0.81","0.0","0.0","5.53","86.02","373.08","186.54","367.55","287.06","0.0","","","","","","",""
"2014.0","12.0","26.0","360.0","4.0","1.01","0.7","0.0","1.7","1.01","1.72","0.0","0.0","0.0","0.0","7.24","86.02","373.08","186.54","365.83","287.06","0.0","","","","","","",""
"2014.0","12.0","27.0","361.0","4.0","0.96","0.7","0.0","0.76","0.96","0.73","0.0","0.0","0.0","0.0","7.98","86.02","373.08","186.54","365.1","287.06","0.0","","","","","","",""
"2014.0","12.0","28.0","362.0","4.0","0.93","0.7","0.0","0.75","0.93","0.69","0.0","0.0","0.0","0.0","8.67","86.02","373.08","186.54","364.4","287.06","0.0","","","","","","",""
"2014.0","12.0","29.0","363.0","4.0","0.9","0.7","0.0","0.55","0.9","0.49","0.0","0.0","0.0","0.0","9.17","86.02","373.08","186.54","363.91","287.06","0.0","","","","","","",""
"2014.0","12.0","30.0","364.0","4.0","0.8","0.7","0.0","2.45","0.8","1.97","0.0","0.0","0.0","0.0","11.13","86.02","373.08","186.54","361.94","287.06","0.0","","","","","","",""
"2014.0","12.0","31.0","365.0","4.0","0.73","0.7","0.0","2.6","0.73","1.89","0.0","0.0","0.0","0.0","13.03","86.02","373.08","186.54","360.05","287.06","0.0","","","","","","",""
"2015.0","1.0","1.0","1.0","4.0","0.71","0.7","0.0","0.96","0.71","0.68","0.0","0.0","0.0","0.0","13.71","84.63","373.08","186.54","359.37","288.45","0.0","","","","","","",""
"2015.0","1.0","2.0","2.0","4.0","0.69","0.7","0.0","0.89","0.7","0.62","0.0","0.0","0.0","0.0","14.33","84.63","373.08","186.54","358.75","288.45","0.0","","","","","","",""
"2015.0","1.0","3.0","3.0","4.0","0.67","0.7","0.0","0.88","0.7","0.62","0.0","0.0","0.0","0.0","14.95","84.63","373.08","186.54","358.13","288.45","0.0","","","","","","",""
"2015.0","1.0","4.0","4.0","4.0","0.65","0.7","0.0","0.99","0.7","0.69","0.0","0.0","0.0","0.0","15.64","84.63","373.08","186.54","357.44","288.45","0.0","","","","","","",""
"2015.0","1.0","5.0","5.0","4.0","0.64","0.7","0.0","0.96","0.7","0.67","0.0","0.0","0.0","0.0","16.31","84.63","373.08","186.54","356.76","288.45","0.0","","","","","","",""
"2015.0","1.0","6.0","6.0","4.0","0.62","0.7","0.0","1.23","0.7","0.86","0.0","0.0","0.0","0.0","17.17","84.63","373.08","186.54","355.9","288.45","0.0","","","","","","",""
"2015.0","1.0","7.0","7.0","4.0","0.6","0.7","0.0","1.21","0.7","0.85","0.0","0.0","0.0","0.0","18.02","84.63","373.08","186.54","355.06","288.45","0.0","","","","","","",""
"2015.0","1.0","8.0","8.0","4.0","0.59","0.7","0.0","1.01","0.7","0.71","0.0","0.0","0.0","0.0","18.73","84.63","373.08","186.54","354.35","288.45","0.0","","","","","","",""
"2015.0","1.0","9.0","9.0","4.0","0.58","0.7","0.0","0.89","0.7","0.62","0.0","0.0","0.0","0.0","19.35","84.63","373.08","186.54","353.73","288.45","0.0","","","","","","",""
"2015.0","1.0","10.0","10.0","4.0","0.56","0.7","0.0","1.01","0.7","0.71","0.0","0.0","0.0","0.0","20.06","84.63","373.08","186.54","353.02","288.45","0.0","","","","","","",""
"2015.0","1.0","11.0","11.0","4.0","0.56","0.7","0.0","0.85","0.7","0.6","0.0","0.0","0.0","0.0","20.65","84.63","373.08","186.54","352.42","288.45","0.0","","","","","","",""
"2015.0","1.0","12.0","12.0","4.0","0.54","0.7","0.0","0.99","0.7","0.69","0.0","0.0","0.0","0.0","21.34","84.63","373.08","186.54","351.73","288.45","0.0","","","","","","",""
"2015.0","1.0","13.0","13.0","4.0","0.53","0.7","0.0","1.06","0.7","0.74","0.0","0.0","0.0","0.0","22.09","84.63","373.08","186.54","350.99","288.45","0.0","","","","","","",""
"2015.0","1.0","14.0","14.0","4.0","0.53","0.7","0.0","0.61","0.7","0.43","0.0","0.0","0.0","0.0","22.51","84.63","373.08","186.54","350.56","288.45","0.0","","","","","","",""
"2015.0","1.0","15.0","15.0","4.0","0.52","0.7","0.0","0.65","0.7","0.46","0.0","0.0","0.0","0.0","22.97","84.63","373.08","186.54","350.11","288.45","0.0","","","","","","",""
"2015.0","1.0","16.0","16.0","4.0","0.52","0.7","0.0","0.57","0.7","0.4","0.0","0.0","0.0","0.0","23.37","84.63","373.08","186.54","349.71","288.45","0.0","","","","","","",""
"2015.0","1.0","17.0","17.0","4.0","0.51","0.7","0.0","0.51","0.7","0.36","0.0","0.0","0.0","0.0","23.72","84.63","373.08","186.54","349.35","288.45","0.0","","","","","","",""
"2015.0","1.0","18.0","18.0","4.0","0.51","0.7","0.0","0.61","0.7","0.43","0.0","0.0","0.0","0.0","24.15","84.63","373.08","186.54","348.92","288.45","0.0","","","","","","",""
"2015.0","1.0","19.0","19.0","4.0","0.5","0.7","0.0","0.58","0.7","0.41","0.17","0.17","0.0","0.0","24.39","84.63","373.08","186.54","348.69","288.45","0.0","","","","","","",""
"2015.0","1.0","20.0","20.0","4.0","0.5","0.7","0.0","0.8","0.7","0.56","0.0","0.0","0.0","0.0","24.95","84.63","373.08","186.54","348.13","288.45","0.0","","","","","","",""
"2015.0","1.0","21.0","21.0","4.0","0.49","0.7","0.0","1.03","0.7","0.72","0.0","0.0","0.0","0.0","25.67","84.63","373.08","186.54","347.41","288.45","0.0","","","","","","",""
"2015.0","1.0","22.0","22.0","4.0","0.49","0.7","0.0","0.69","0.7","0.48","0.0","0.0","0.0","0.0","26.15","84.63","373.08","186.54","346.92","288.45","0.0","","","","","","",""
"2015.0","1.0","23.0","23.0","4.0","0.48","0.7","0.0","0.99","0.7","0.69","0.0","0.0","0.0","0.0","26.84","84.63","373.08","186.54","346.23","288.45","0.0","","","","","","",""
"2015.0","1.0","24.0","24.0","4.0","0.47","0.7","0.0","0.91","0.7","0.64","0.0","0.0","0.0","0.0","27.48","84.63","373.08","186.54","345.59","288.45","0.0","","","","","","",""
"2015.0","1.0","25.0","25.0","4.0","0.47","0.7","0.0","1.02","0.7","0.71","0.0","0.0","0.0","0.0","28.19","84.63","373.08","186.54","344.88","288.45","0.0","","","","","","",""
"2015.0","1.0","26.0","26.0","4.0","0.46","0.7","0.0","1.21","0.7","0.85","0.0","0.0","0.0","0.0","29.04","84.63","373.08","186.54","344.03","288.45","0.0","","","","","","",""
"2015.0","1.0","27.0","27.0","4.0","0.45","0.7","0.0","1.16","0.7","0.81","0.0","0.0","0.0","0.0","29.85","84.63","373.08","186.54","343.22","288.45","0.0","","","","","","",""
"2015.0","1.0","28.0","28.0","4.0","0.44","0.7","0.0","1.45","0.7","1.02","0.0","0.0","0.0","0.0","30.87","84.63","373.08","186.54","342.21","288.45","0.0","","","","","","",""
"2015.0","1.0","29.0","29.0","4.0","0.44","0.7","0.0","1.38","0.7","0.97","0.0","0.0","0.0","0.0","31.83","84.63","373.08","186.54","341.24","288.45","0.0","","","","","","",""
"2015.0","1.0","30.0","30.0","4.0","0.43","0.7","0.0","1.73","0.7","1.21","0.0","0.0","0.0","0.0","33.05","84.63","373.08","186.54","340.03","288.45","0.0","","","","","","",""
"2015.0","1.0","31.0","31.0","4.0","0.41","0.7","0.0","3.06","0.7","2.14","0.0","0.0","0.0","0.0","35.19","84.63","373.08","186.54","337.89","288.45","0.0","","","","","","",""
"2015.0","2.0","1.0","32.0","4.0","0.41","0.7","0.0","1.51","0.7","1.06","0.0","0.0","0.0","0.0","36.24","84.63","373.08","186.54","336.83","288.45","0.0","","","","","","",""
"2015.0","2.0","2.0","33.0","4.0","0.4","0.7","0.0","1.52","0.7","1.06","0.0","0.0","0.0","0.0","37.31","84.63","373.08","186.54","335.77","288.45","0.0","","","","","","",""
"2015.0","2.0","3.0","34.0","4.0","0.39","0.7","0.0","1.6","0.7","1.12","0.0","0.0","0.0","0.0","38.43","84.63","373.08","186.54","334.65","288.45","0.0","","","","","","",""
"2015.0","2.0","4.0","35.0","4.0","0.39","0.7","0.0","1.34","0.7","0.94","0.0","0.0","0.0","0.0","39.37","84.63","373.08","186.54","333.71","288.45","0.0","","","","","","",""
"2015.0","2.0","5.0","36.0","4.0","0.38","0.7","0.0","1.02","0.7","0.71","0.0","0.0","0.0","0.0","40.08","84.63","373.08","186.54","332.99","288.45","0.0","","","","","","",""
"2015.0","2.0","6.0","37.0","4.0","1.13","0.7","0.0","2.15","1.13","2.44","6.0","6.0","0.0","0.0","36.52","84.63","373.08","186.54","336.56","288.45","0.0","","","","","","",""
"2015.0","2.0","7.0","38.0","4.0","1.16","0.7","0.0","1.45","1.16","1.68","12.31","12.31","0.0","0.0","25.89","84.63","373.08","186.54","347.18","288.45","0.0","","","","","","",""
"2015.0","2.0","8.0","39.0","4.0","1.16","0.7","0.0","1.48","1.16","1.72","13.84","13.84","0.0","0.0","13.77","84.63","373.08","186.54","359.3","288.45","0.0","","","","","","",""
"2015.0","2.0","9.0","40.0","4.0","1.14","0.7","0.0","2.07","1.14","2.35","11.18","11.18","0.0","0.0","4.95","84.63","373.08","186.54","368.13","288.45","0.0","","","","","","",""
"2015.0","2.0","10.0","41.0","4.0","1.14","0.7","0.0","1.86","1.14","2.12","0.0","0.0","0.0","0.0","7.07","84.63","373.08","186.54","366.01","288.45","0.0","","","","","","",""
"2015.0","2.0","11.0","42.0","4.0","1.15","0.7","0.0","1.69","1.15","1.94","0.0","0.0","0.0","0.0","9.0","84.63","373.08","186.54","364.07","288.45","0.0","","","","","","",""
"2015.0","2.0","12.0","43.0","4.0","1.01","0.7","0.0","2.01","1.01","2.02","0.0","0.0","0.0","0.0","11.03","84.63","373.08","186.54","362.05","288.45","0.0","","","","","","",""
