" Daily soil water balance output for Pears in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Pears in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"2014.0","11.0","6.0","310.0","107.0","0.83","0.0","0.0","1.94","0.83","1.6","0.0","0.0","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","","","",""
"2014.0","11.0","7.0","311.0","107.0","0.76","0.0","0.0","2.02","0.76","1.54","0.0","0.0","0.0","0.0","25.84","24.3","491.66","245.83","465.82","467.36","0.0","","","","","","","","",""
"2014.0","11.0","8.0","312.0","107.0","0.71","0.0","0.0","1.86","0.71","1.32","0.0","0.0","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","","","",""
"2014.0","11.0","9.0","313.0","107.0","0.67","0.0","0.0","1.86","0.67","1.25","0.0","0.0","0.0","0.0","25.55","24.3","491.66","245.83","466.11","467.36","0.0","","","","","","","","",""
"2014.0","11.0","10.0","314.0","107.0","0.64","0.0","0.0","1.86","0.64","1.19","0.0","0.0","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","","","",""
"2014.0","11.0","11.0","315.0","107.0","0.62","0.0","0.0","1.5","0.62","0.92","0.0","0.0","0.0","0.0","25.22","24.3","491.66","245.83","466.44","467.36","0.0","","","","","","","","",""
"2014.0","11.0","12.0","316.0","107.0","0.59","0.0","0.0","1.55","0.59","0.92","0.0","0.0","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","","","",""
"2014.0","11.0","13.0","317.0","107.0","1.18","0.0","0.0","1.1","1.18","1.29","5.8","5.8","0.0","0.0","19.79","24.3","491.66","245.83","471.87","467.36","0.0","","","","","","","","",""
"2014.0","11.0","14.0","318.0","107.0","1.16","0.0","0.0","1.42","1.16","1.65","1.33","1.33","0.0","0.0","20.12","24.3","491.66","245.83","471.54","467.36","0.0","","","","","","","","",""
"2014.0","11.0","15.0","319.0","107.0","1.16","0.0","0.0","1.34","1.16","1.56","0.0","0.0","0.0","0.0","21.68","24.3","491.66","245.83","469.98","467.36","0.0","","","","","","","","",""
"2014.0","11.0","16.0","320.0","107.0","1.16","0.0","0.0","1.88","1.16","2.18","0.0","0.0","0.0","0.0","23.85","24.3","491.66","245.83","467.81","467.36","0.0","","","","","","","","",""
"2014.0","11.0","17.0","321.0","107.0","1.11","0.0","0.0","1.72","1.11","1.91","0.0","0.0","0.0","0.0","25.76","24.3","491.66","245.83","465.9","467.36","0.0","","","","","","","","",""
"2014.0","11.0","18.0","322.0","107.0","1.01","0.0","0.0","1.32","1.01","1.33","0.0","0.0","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","","","",""
"2014.0","11.0","19.0","323.0","107.0","0.94","0.0","0.0","1.22","0.94","1.15","0.04","0.04","0.0","0.0","25.41","24.3","491.66","245.83","466.25","467.36","0.0","","","","","","","","",""
"2014.0","11.0","20.0","324.0","107.0","1.19","0.0","0.0","0.65","1.19","0.78","2.17","2.17","0.0","0.0","23.24","24.3","491.66","245.83","468.42","467.36","0.0","","","","","","","","",""
"2014.0","11.0","21.0","325.0","107.0","1.18","0.0","0.0","0.91","1.18","1.08","3.54","3.54","0.0","0.0","20.77","24.3","491.66","245.83","470.89","467.36","0.0","","","","","","","","",""
"2014.0","11.0","22.0","326.0","107.0","1.18","0.0","0.0","1.19","1.18","1.4","0.14","0.14","0.0","0.0","22.03","24.3","491.66","245.83","469.63","467.36","0.0","","","","","","","","",""
"2014.0","11.0","23.0","327.0","107.0","1.16","0.0","0.0","1.55","1.16","1.79","2.92","2.92","0.0","0.0","20.91","24.3","491.66","245.83","470.75","467.36","0.0","","","","","","","","",""
"2014.0","11.0","24.0","328.0","107.0","1.16","0.0","0.0","1.38","1.16","1.6","0.0","0.0","0.0","0.0","22.51","24.3","491.66","245.83","469.15","467.36","0.0","","","","","","","","",""
"2014.0","11.0","25.0","329.0","107.0","1.16","0.0","0.0","1.24","1.16","1.44","0.0","0.0","0.0","0.0","23.96","24.3","491.66","245.83","467.7","467.36","0.0","","","","","","","","",""
"2014.0","11.0","26.0","330.0","107.0","1.17","0.0","0.0","1.26","1.17","1.47","0.0","0.0","0.0","0.0","25.42","24.3","491.66","245.83","466.24","467.36","0.0","","","","","","","","",""
"2014.0","11.0","27.0","331.0","107.0","1.09","0.0","0.0","1.24","1.09","1.35","0.0","0.0","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","","","",""
"2014.0","11.0","28.0","332.0","107.0","1.0","0.0","0.0","1.2","1.0","1.2","0.0","0.0","0.0","0.0","25.5","24.3","491.66","245.83","466.16","467.36","0.0","","","","","","","","",""
"2014.0","11.0","29.0","333.0","107.0","0.95","0.0","0.0","0.81","0.95","0.77","0.93","0.93","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","","","",""
"2014.0","11.0","30.0","334.0","107.0","1.19","0.0","0.0","0.67","1.19","0.8","1.78","1.78","0.0","0.0","23.32","24.3","491.66","245.83","468.34","467.36","0.0","","","","","","","","",""
"2014.0","12.0","1.0","335.0","107.0","1.18","0.0","0.0","1.01","1.18","1.19","11.06","11.06","0.0","0.0","13.45","24.3","491.66","245.83","478.21","467.36","0.0","","","","","","","","",""
"2014.0","12.0","2.0","336.0","107.0","1.2","0.0","0.0","0.62","1.2","0.74","7.1","7.1","0.0","0.0","7.09","24.3","491.66","245.83","484.57","467.36","0.0","","","","","","","","",""
"2014.0","12.0","3.0","337.0","107.0","1.17","0.0","0.0","1.27","1.17","1.48","28.07","8.58","0.0","0.0","0.0","24.3","491.66","245.83","491.66","467.36","0.0","","","","","","","","",""
"2014.0","12.0","4.0","338.0","107.0","1.17","0.0","0.0","1.14","1.17","1.34","8.49","1.34","0.0","0.0","0.0","24.3","491.66","245.83","491.66","467.36","0.0","","","","","","","","",""
"2014.0","12.0","5.0","339.0","107.0","1.18","0.0","0.0","0.92","1.18","1.08","0.14","0.14","0.0","0.0","0.94","24.3","491.66","245.83","490.72","467.36","0.0","","","","","","","","",""
"2014.0","12.0","6.0","340.0","107.0","1.18","0.0","0.0","1.12","1.18","1.32","2.24","2.24","0.0","0.0","0.02","24.3","491.66","245.83","491.64","467.36","0.0","","","","","","","","",""
"2014.0","12.0","7.0","341.0","107.0","1.18","0.0","0.0","0.75","1.18","0.89","0.28","0.28","0.0","0.0","0.63","24.3","491.66","245.83","491.03","467.36","0.0","","","","","","","","",""
"2014.0","12.0","8.0","342.0","107.0","1.18","0.0","0.0","0.87","1.18","1.03","0.21","0.21","0.0","0.0","1.45","24.3","491.66","245.83","490.21","467.36","0.0","","","","","","","","",""
"2014.0","12.0","9.0","343.0","107.0","1.19","0.0","0.0","0.69","1.19","0.82","0.0","0.0","0.0","0.0","2.27","24.3","491.66","245.83","489.39","467.36","0.0","","","","","","","","",""
"2014.0","12.0","10.0","344.0","107.0","1.18","0.0","0.0","0.96","1.18","1.14","0.0","0.0","0.0","0.0","3.4","24.3","491.66","245.83","488.26","467.36","0.0","","","","","","","","",""
"2014.0","12.0","11.0","345.0","107.0","1.17","0.0","0.0","1.43","1.17","1.67","0.0","0.0","0.0","0.0","5.08","24.3","491.66","245.83","486.58","467.36","0.0","","","","","","","","",""
"2014.0","12.0","12.0","346.0","107.0","1.2","0.0","0.0","0.62","1.2","0.74","63.4","5.82","0.0","0.0","0.0","24.3","491.66","245.83","491.66","467.36","0.0","","","","","","","","",""
"2014.0","12.0","13.0","347.0","107.0","1.19","0.0","0.0","0.7","1.19","0.83","1.49","0.83","0.0","0.0","0.0","24.3","491.66","245.83","491.66","467.36","0.0","","","","","","","","",""
"2014.0","12.0","14.0","348.0","107.0","1.19","0.0","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","0.93","24.3","491.66","245.83","490.73","467.36","0.0","","","","","","","","",""
"2014.0","12.0","15.0","349.0","107.0","1.18","0.0","0.0","1.03","1.18","1.21","7.42","2.14","0.0","0.0","0.0","24.3","491.66","245.83","491.66","467.36","0.0","","","","","","","","",""
"2014.0","12.0","16.0","350.0","107.0","1.17","0.0","0.0","1.27","1.17","1.48","8.63","1.48","0.0","0.0","0.0","24.3","491.66","245.83","491.66","467.36","0.0","","","","","","","","",""
"2014.0","12.0","17.0","351.0","107.0","1.18","0.0","0.0","0.95","1.18","1.12","10.65","1.12","0.0","0.0","0.0","24.3","491.66","245.83","491.66","467.36","0.0","","","","","","","","",""
"2014.0","12.0","18.0","352.0","107.0","1.18","0.0","0.0","1.01","1.18","1.19","3.76","1.19","0.0","0.0","0.0","24.3","491.66","245.83","491.66","467.36","0.0","","","","","","","","",""
"2014.0","12.0","19.0","353.0","107.0","1.18","0.0","0.0","0.86","1.18","1.02","0.0","0.0","0.0","0.0","1.02","24.3","491.66","245.83","490.64","467.36","0.0","","","","","","","","",""
"2014.0","12.0","20.0","354.0","107.0","1.19","0.0","0.0","0.69","1.19","0.82","8.9","1.84","0.0","0.0","0.0","24.3","491.66","245.83","491.66","467.36","0.0","","","","","","","","",""
"2014.0","12.0","21.0","355.0","107.0","1.19","0.0","0.0","0.99","1.19","1.17","0.18","0.18","0.0","0.0","0.99","24.3","491.66","245.83","490.67","467.36","0.0","","","","","","","","",""
"2014.0","12.0","22.0","356.0","107.0","1.19","0.0","0.0","0.76","1.19","0.9","0.0","0.0","0.0","0.0","1.9","24.3","491.66","245.83","489.76","467.36","0.0","","","","","","","","",""
"2014.0","12.0","23.0","357.0","107.0","1.19","0.0","0.0","0.75","1.19","0.89","0.0","0.0","0.0","0.0","2.79","24.3","491.66","245.83","488.87","467.36","0.0","","","","","","","","",""
"2014.0","12.0","24.0","358.0","107.0","1.19","0.0","0.0","0.93","1.19","1.1","0.0","0.0","0.0","0.0","3.89","24.3","491.66","245.83","487.77","467.36","0.0","","","","","","","","",""
"2014.0","12.0","25.0","359.0","107.0","1.14","0.0","0.0","2.0","1.14","2.28","0.99","0.99","0.0","0.0","5.18","24.3","491.66","245.83","486.48","467.36","0.0","","","","","","","","",""
"2014.0","12.0","26.0","360.0","107.0","1.01","0.0","0.0","1.63","1.01","1.65","0.0","0.0","0.0","0.0","6.84","24.3","491.66","245.83","484.83","467.36","0.0","","","","","","","","",""
"2014.0","12.0","27.0","361.0","107.0","0.97","0.0","0.0","0.77","0.97","0.74","0.0","0.0","0.0","0.0","7.58","24.3","491.66","245.83","484.08","467.36","0.0","","","","","","","","",""
"2014.0","12.0","28.0","362.0","107.0","0.93","0.0","0.0","0.77","0.93","0.71","0.0","0.0","0.0","0.0","8.29","24.3","491.66","245.83","483.37","467.36","0.0","","","","","","","","",""
"2014.0","12.0","29.0","363.0","107.0","0.9","0.0","0.0","0.56","0.9","0.5","0.0","0.0","0.0","0.0","8.8","24.3","491.66","245.83","482.86","467.36","0.0","","","","","","","","",""
"2014.0","12.0","30.0","364.0","107.0","0.8","0.0","0.0","2.46","0.8","1.98","0.0","0.0","0.0","0.0","10.77","24.3","491.66","245.83","480.89","467.36","0.0","","","","","","","","",""
"2014.0","12.0","31.0","365.0","107.0","0.73","0.0","0.0","2.55","0.73","1.86","0.0","0.0","0.0","0.0","12.63","24.3","491.66","245.83","479.03","467.36","0.0","","","","","","","","",""
"2015.0","1.0","1.0","1.0","107.0","0.71","0.0","0.0","0.94","0.71","0.67","0.0","0.0","0.0","0.0","13.3","24.3","491.66","245.83","478.36","467.36","0.0","","","","","","","","",""
"2015.0","1.0","2.0","2.0","107.0","0.69","0.0","0.0","0.91","0.69","0.63","0.0","0.0","0.0","0.0","13.93","24.3","491.66","245.83","477.73","467.36","0.0","","","","","","","","",""
"2015.0","1.0","3.0","3.0","107.0","0.67","0.0","0.0","0.91","0.67","0.61","0.0","0.0","0.0","0.0","14.54","24.3","491.66","245.83","477.12","467.36","0.0","","","","","","","","",""
"2015.0","1.0","4.0","4.0","107.0","0.65","0.0","0.0","1.0","0.65","0.65","0.0","0.0","0.0","0.0","15.19","24.3","491.66","245.83","476.47","467.36","0.0","","","","","","","","",""
"2015.0","1.0","5.0","5.0","107.0","0.64","0.0","0.0","0.96","0.64","0.61","0.0","0.0","0.0","0.0","15.8","24.3","491.66","245.83","475.86","467.36","0.0","","","","","","","","",""
"2015.0","1.0","6.0","6.0","107.0","0.62","0.0","0.0","1.22","0.62","0.75","0.0","0.0","0.0","0.0","16.55","24.3","491.66","245.83","475.11","467.36","0.0","","","","","","","","",""
"2015.0","1.0","7.0","7.0","107.0","0.6","0.0","0.0","1.2","0.6","0.72","0.0","0.0","0.0","0.0","17.27","24.3","491.66","245.83","474.39","467.36","0.0","","","","","","","","",""
"2015.0","1.0","8.0","8.0","107.0","0.59","0.0","0.0","1.05","0.59","0.62","0.0","0.0","0.0","0.0","17.89","24.3","491.66","245.83","473.77","467.36","0.0","","","","","","","","",""
"2015.0","1.0","9.0","9.0","107.0","0.58","0.0","0.0","0.9","0.58","0.52","0.0","0.0","0.0","0.0","18.41","24.3","491.66","245.83","473.25","467.36","0.0","","","","","","","","",""
"2015.0","1.0","10.0","10.0","107.0","0.56","0.0","0.0","1.04","0.56","0.59","0.0","0.0","0.0","0.0","18.99","24.3","491.66","245.83","472.67","467.36","0.0","","","","","","","","",""
"2015.0","1.0","11.0","11.0","107.0","0.55","0.0","0.0","0.89","0.55","0.49","0.0","0.0","0.0","0.0","19.49","24.3","491.66","245.83","472.17","467.36","0.0","","","","","","","","",""
"2015.0","1.0","12.0","12.0","107.0","0.54","0.0","0.0","0.99","0.54","0.54","0.0","0.0","0.0","0.0","20.03","24.3","491.66","245.83","471.63","467.36","0.0","","","","","","","","",""
"2015.0","1.0","13.0","13.0","107.0","0.53","0.0","0.0","1.0","0.53","0.53","0.0","0.0","0.0","0.0","20.56","24.3","491.66","245.83","471.1","467.36","0.0","","","","","","","","",""
"2015.0","1.0","14.0","14.0","107.0","0.53","0.0","0.0","0.64","0.53","0.34","0.0","0.0","0.0","0.0","20.9","24.3","491.66","245.83","470.76","467.36","0.0","","","","","","","","",""
"2015.0","1.0","15.0","15.0","107.0","0.52","0.0","0.0","0.67","0.52","0.35","0.0","0.0","0.0","0.0","21.25","24.3","491.66","245.83","470.41","467.36","0.0","","","","","","","","",""
"2015.0","1.0","16.0","16.0","107.0","0.52","0.0","0.0","0.64","0.52","0.33","0.0","0.0","0.0","0.0","21.58","24.3","491.66","245.83","470.08","467.36","0.0","","","","","","","","",""
"2015.0","1.0","17.0","17.0","107.0","0.51","0.0","0.0","0.53","0.51","0.27","0.0","0.0","0.0","0.0","21.85","24.3","491.66","245.83","469.81","467.36","0.0","","","","","","","","",""
"2015.0","1.0","18.0","18.0","107.0","0.51","0.0","0.0","0.61","0.51","0.31","0.0","0.0","0.0","0.0","22.16","24.3","491.66","245.83","469.5","467.36","0.0","","","","","","","","",""
"2015.0","1.0","19.0","19.0","107.0","0.5","0.0","0.0","0.55","0.5","0.28","0.03","0.03","0.0","0.0","22.41","24.3","491.66","245.83","469.25","467.36","0.0","","","","","","","","",""
"2015.0","1.0","20.0","20.0","107.0","0.5","0.0","0.0","0.74","0.5","0.37","0.0","0.0","0.0","0.0","22.77","24.3","491.66","245.83","468.89","467.36","0.0","","","","","","","","",""
"2015.0","1.0","21.0","21.0","107.0","0.49","0.0","0.0","1.03","0.49","0.5","0.0","0.0","0.0","0.0","23.28","24.3","491.66","245.83","468.38","467.36","0.0","","","","","","","","",""
"2015.0","1.0","22.0","22.0","107.0","0.48","0.0","0.0","0.7","0.48","0.34","0.0","0.0","0.0","0.0","23.62","24.3","491.66","245.83","468.04","467.36","0.0","","","","","","","","",""
"2015.0","1.0","23.0","23.0","107.0","0.48","0.0","0.0","0.94","0.48","0.45","0.0","0.0","0.0","0.0","24.07","24.3","491.66","245.83","467.59","467.36","0.0","","","","","","","","",""
"2015.0","1.0","24.0","24.0","107.0","0.47","0.0","0.0","0.86","0.47","0.41","0.0","0.0","0.0","0.0","24.47","24.3","491.66","245.83","467.19","467.36","0.0","","","","","","","","",""
"2015.0","1.0","25.0","25.0","107.0","0.47","0.0","0.0","1.0","0.47","0.47","0.0","0.0","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","","","",""
"2015.0","1.0","26.0","26.0","107.0","0.46","0.0","0.0","1.2","0.46","0.55","0.0","0.0","0.0","0.0","24.85","24.3","491.66","245.83","466.81","467.36","0.0","","","","","","","","",""
"2015.0","1.0","27.0","27.0","107.0","0.45","0.0","0.0","1.17","0.45","0.53","0.0","0.0","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","","","",""
"2015.0","1.0","28.0","28.0","107.0","0.44","0.0","0.0","1.46","0.44","0.65","0.0","0.0","0.0","0.0","24.95","24.3","491.66","245.83","466.71","467.36","0.0","","","","","","","","",""
"2015.0","1.0","29.0","29.0","107.0","0.44","0.0","0.0","1.36","0.44","0.59","0.0","0.0","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","","","",""
"2015.0","1.0","30.0","30.0","107.0","0.43","0.0","0.0","1.73","0.43","0.74","0.0","0.0","0.0","0.0","25.04","24.3","491.66","245.83","466.62","467.36","0.0","","","","","","","","",""
"2015.0","1.0","31.0","31.0","107.0","0.41","0.0","0.0","2.98","0.41","1.23","0.0","0.0","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","","","",""
"2015.0","2.0","1.0","32.0","107.0","0.41","0.0","0.0","1.53","0.41","0.62","0.0","0.0","0.0","0.0","24.92","24.3","491.66","245.83","466.74","467.36","0.0","","","","","","","","",""
"2015.0","2.0","2.0","33.0","107.0","0.4","0.0","0.0","1.54","0.4","0.62","0.0","0.0","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","","","",""
"2015.0","2.0","3.0","34.0","107.0","0.39","0.0","0.0","1.62","0.39","0.64","0.0","0.0","0.0","0.0","24.94","24.3","491.66","245.83","466.72","467.36","0.0","","","","","","","","",""
"2015.0","2.0","4.0","35.0","107.0","0.39","0.0","0.0","1.46","0.39","0.57","0.01","0.01","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","","","",""
"2015.0","2.0","5.0","36.0","107.0","0.38","0.0","0.0","1.06","0.38","0.41","0.0","0.0","0.0","0.0","24.71","24.3","491.66","245.83","466.95","467.36","0.0","","","","","","","","",""
"2015.0","2.0","6.0","37.0","107.0","0.38","0.0","0.0","2.4","0.38","0.9","0.23","0.23","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","","","",""
"2015.0","2.0","7.0","38.0","107.0","1.16","0.0","0.0","1.48","1.16","1.72","13.13","13.13","0.0","0.0","12.89","24.3","491.66","245.83","478.77","467.36","0.0","","","","","","","","",""
"2015.0","2.0","8.0","39.0","107.0","1.16","0.0","0.0","1.56","1.16","1.81","12.26","12.26","0.0","0.0","2.43","24.3","491.66","245.83","489.23","467.36","0.0","","","","","","","","",""
