" Daily soil water balance output for Safflower in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Safflower in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2014.0","11.0","6.0","310.0","2072.0","0.82","0.0","0.0","1.95","0.82","1.61","0.0","0.0","0.0","0.0","25.13","24.75","514.57","257.29","489.44","489.82","0.0","","","","","","","","",""
"2014.0","11.0","7.0","311.0","2072.0","0.76","0.0","0.0","2.02","0.76","1.53","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2014.0","11.0","8.0","312.0","2072.0","0.71","0.0","0.0","1.91","0.71","1.36","0.0","0.0","0.0","0.0","26.11","24.75","514.57","257.29","488.46","489.82","0.0","","","","","","","","",""
"2014.0","11.0","9.0","313.0","2072.0","0.67","0.0","0.0","1.87","0.67","1.25","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2014.0","11.0","10.0","314.0","2072.0","0.63","0.0","0.0","2.04","0.63","1.29","0.0","0.0","0.0","0.0","26.04","24.75","514.57","257.29","488.53","489.82","0.0","","","","","","","","",""
"2014.0","11.0","11.0","315.0","2072.0","0.61","0.0","0.0","1.51","0.61","0.92","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2014.0","11.0","12.0","316.0","2072.0","0.59","0.0","0.0","1.4","0.59","0.83","0.0","0.0","0.0","0.0","25.58","24.75","514.57","257.29","488.99","489.82","0.0","","","","","","","","",""
"2014.0","11.0","13.0","317.0","2072.0","1.18","0.0","0.0","0.94","1.18","1.11","3.18","3.18","0.0","0.0","22.4","24.75","514.57","257.29","492.17","489.82","0.0","","","","","","","","",""
"2014.0","11.0","14.0","318.0","2072.0","1.17","0.0","0.0","1.24","1.17","1.45","2.3","2.3","0.0","0.0","21.55","24.75","514.57","257.29","493.02","489.82","0.0","","","","","","","","",""
"2014.0","11.0","15.0","319.0","2072.0","1.17","0.0","0.0","1.23","1.17","1.44","0.0","0.0","0.0","0.0","22.99","24.75","514.57","257.29","491.58","489.82","0.0","","","","","","","","",""
"2014.0","11.0","16.0","320.0","2072.0","1.16","0.0","0.0","2.03","1.16","2.35","0.0","0.0","0.0","0.0","25.34","24.75","514.57","257.29","489.23","489.82","0.0","","","","","","","","",""
"2014.0","11.0","17.0","321.0","2072.0","1.11","0.0","0.0","1.87","1.11","2.07","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2014.0","11.0","18.0","322.0","2072.0","1.0","0.0","0.0","1.42","1.0","1.42","0.0","0.0","0.0","0.0","26.17","24.75","514.57","257.29","488.4","489.82","0.0","","","","","","","","",""
"2014.0","11.0","19.0","323.0","2072.0","0.95","0.0","0.0","1.0","0.95","0.95","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2014.0","11.0","20.0","324.0","2072.0","1.19","0.0","0.0","0.63","1.19","0.75","3.48","3.48","0.0","0.0","22.02","24.75","514.57","257.29","492.55","489.82","0.0","","","","","","","","",""
"2014.0","11.0","21.0","325.0","2072.0","1.19","0.0","0.0","0.77","1.19","0.92","4.74","4.74","0.0","0.0","18.2","24.75","514.57","257.29","496.37","489.82","0.0","","","","","","","","",""
"2014.0","11.0","22.0","326.0","2072.0","1.18","0.0","0.0","1.08","1.18","1.28","0.6","0.6","0.0","0.0","18.88","24.75","514.57","257.29","495.7","489.82","0.0","","","","","","","","",""
"2014.0","11.0","23.0","327.0","2072.0","1.16","0.0","0.0","1.44","1.16","1.67","1.87","1.87","0.0","0.0","18.68","24.75","514.57","257.29","495.89","489.82","0.0","","","","","","","","",""
"2014.0","11.0","24.0","328.0","2072.0","1.16","0.0","0.0","1.37","1.16","1.59","0.0","0.0","0.0","0.0","20.27","24.75","514.57","257.29","494.3","489.82","0.0","","","","","","","","",""
"2014.0","11.0","25.0","329.0","2072.0","1.17","0.0","0.0","1.22","1.17","1.42","0.0","0.0","0.0","0.0","21.7","24.75","514.57","257.29","492.88","489.82","0.0","","","","","","","","",""
"2014.0","11.0","26.0","330.0","2072.0","1.17","0.0","0.0","1.16","1.17","1.35","0.0","0.0","0.0","0.0","23.05","24.75","514.57","257.29","491.52","489.82","0.0","","","","","","","","",""
"2014.0","11.0","27.0","331.0","2072.0","1.11","0.0","0.0","1.2","1.11","1.33","0.0","0.0","0.0","0.0","24.39","24.75","514.57","257.29","490.19","489.82","0.0","","","","","","","","",""
"2014.0","11.0","28.0","332.0","2072.0","1.02","0.0","0.0","1.15","1.02","1.18","0.0","0.0","0.0","0.0","25.56","24.75","514.57","257.29","489.01","489.82","0.0","","","","","","","","",""
"2014.0","11.0","29.0","333.0","2072.0","1.19","0.0","0.0","0.86","1.19","1.02","4.67","4.67","0.0","0.0","20.89","24.75","514.57","257.29","493.68","489.82","0.0","","","","","","","","",""
"2014.0","11.0","30.0","334.0","2072.0","1.19","0.0","0.0","0.66","1.19","0.79","6.84","6.84","0.0","0.0","14.84","24.75","514.57","257.29","499.73","489.82","0.0","","","","","","","","",""
"2014.0","12.0","1.0","335.0","2072.0","1.18","0.0","0.0","1.03","1.18","1.21","3.4","3.4","0.0","0.0","12.66","24.75","514.57","257.29","501.92","489.82","0.0","","","","","","","","",""
"2014.0","12.0","2.0","336.0","2072.0","1.19","0.0","0.0","0.67","1.19","0.8","1.57","1.57","0.0","0.0","11.89","24.75","514.57","257.29","502.69","489.82","0.0","","","","","","","","",""
"2014.0","12.0","3.0","337.0","2072.0","1.18","0.0","0.0","1.07","1.18","1.26","42.83","13.15","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","","","",""
"2014.0","12.0","4.0","338.0","2072.0","1.18","0.0","0.0","1.07","1.18","1.26","23.53","1.26","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","","","",""
"2014.0","12.0","5.0","339.0","2072.0","1.18","0.0","0.0","0.94","1.18","1.11","0.2","0.2","0.0","0.0","0.91","24.75","514.57","257.29","513.66","489.82","0.0","","","","","","","","",""
"2014.0","12.0","6.0","340.0","2072.0","1.18","0.0","0.0","1.08","1.18","1.27","3.02","2.18","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","","","",""
"2014.0","12.0","7.0","341.0","2072.0","1.18","0.0","0.0","0.8","1.18","0.95","0.51","0.51","0.0","0.0","0.44","24.75","514.57","257.29","514.14","489.82","0.0","","","","","","","","",""
"2014.0","12.0","8.0","342.0","2072.0","1.18","0.0","0.0","0.83","1.18","0.98","0.0","0.0","0.0","0.0","1.42","24.75","514.57","257.29","513.15","489.82","0.0","","","","","","","","",""
"2014.0","12.0","9.0","343.0","2072.0","1.19","0.0","0.0","0.69","1.19","0.82","0.0","0.0","0.0","0.0","2.24","24.75","514.57","257.29","512.34","489.82","0.0","","","","","","","","",""
"2014.0","12.0","10.0","344.0","2072.0","1.19","0.0","0.0","0.97","1.19","1.15","0.0","0.0","0.0","0.0","3.39","24.75","514.57","257.29","511.19","489.82","0.0","","","","","","","","",""
"2014.0","12.0","11.0","345.0","2072.0","1.18","0.0","0.0","1.19","1.18","1.41","0.75","0.75","0.0","0.0","4.04","24.75","514.57","257.29","510.53","489.82","0.0","","","","","","","","",""
"2014.0","12.0","12.0","346.0","2072.0","1.2","0.0","0.0","0.6","1.2","0.72","73.65","4.76","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","","","",""
"2014.0","12.0","13.0","347.0","2072.0","1.19","0.0","0.0","0.67","1.19","0.8","1.55","0.8","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","","","",""
"2014.0","12.0","14.0","348.0","2072.0","1.19","0.0","0.0","0.69","1.19","0.82","0.0","0.0","0.0","0.0","0.82","24.75","514.57","257.29","513.75","489.82","0.0","","","","","","","","",""
"2014.0","12.0","15.0","349.0","2072.0","1.19","0.0","0.0","0.87","1.19","1.03","5.34","1.85","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","","","",""
"2014.0","12.0","16.0","350.0","2072.0","1.17","0.0","0.0","1.18","1.17","1.38","10.1","1.38","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","","","",""
"2014.0","12.0","17.0","351.0","2072.0","1.18","0.0","0.0","0.96","1.18","1.13","14.67","1.13","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","","","",""
"2014.0","12.0","18.0","352.0","2072.0","1.18","0.0","0.0","0.91","1.18","1.08","2.9","1.08","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","","","",""
"2014.0","12.0","19.0","353.0","2072.0","1.19","0.0","0.0","0.81","1.19","0.96","0.09","0.09","0.0","0.0","0.87","24.75","514.57","257.29","513.7","489.82","0.0","","","","","","","","",""
"2014.0","12.0","20.0","354.0","2072.0","1.19","0.0","0.0","0.63","1.19","0.75","18.41","1.62","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","","","",""
"2014.0","12.0","21.0","355.0","2072.0","1.19","0.0","0.0","0.96","1.19","1.14","0.07","0.07","0.0","0.0","1.07","24.75","514.57","257.29","513.5","489.82","0.0","","","","","","","","",""
"2014.0","12.0","22.0","356.0","2072.0","1.19","0.0","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","2.0","24.75","514.57","257.29","512.57","489.82","0.0","","","","","","","","",""
"2014.0","12.0","23.0","357.0","2072.0","1.19","0.0","0.0","0.72","1.19","0.86","0.0","0.0","0.0","0.0","2.85","24.75","514.57","257.29","511.72","489.82","0.0","","","","","","","","",""
"2014.0","12.0","24.0","358.0","2072.0","1.19","0.0","0.0","0.97","1.19","1.15","0.0","0.0","0.0","0.0","4.01","24.75","514.57","257.29","510.57","489.82","0.0","","","","","","","","",""
"2014.0","12.0","25.0","359.0","2072.0","1.16","0.0","0.0","1.86","1.16","2.16","0.69","0.69","0.0","0.0","5.48","24.75","514.57","257.29","509.1","489.82","0.0","","","","","","","","",""
"2014.0","12.0","26.0","360.0","2072.0","1.01","0.0","0.0","1.91","1.01","1.92","0.0","0.0","0.0","0.0","7.4","24.75","514.57","257.29","507.17","489.82","0.0","","","","","","","","",""
"2014.0","12.0","27.0","361.0","2072.0","0.96","0.0","0.0","0.77","0.96","0.74","0.0","0.0","0.0","0.0","8.14","24.75","514.57","257.29","506.43","489.82","0.0","","","","","","","","",""
"2014.0","12.0","28.0","362.0","2072.0","0.92","0.0","0.0","0.76","0.92","0.7","0.0","0.0","0.0","0.0","8.84","24.75","514.57","257.29","505.73","489.82","0.0","","","","","","","","",""
"2014.0","12.0","29.0","363.0","2072.0","0.9","0.0","0.0","0.55","0.9","0.49","0.0","0.0","0.0","0.0","9.33","24.75","514.57","257.29","505.24","489.82","0.0","","","","","","","","",""
"2014.0","12.0","30.0","364.0","2072.0","0.8","0.0","0.0","2.47","0.8","1.98","0.0","0.0","0.0","0.0","11.31","24.75","514.57","257.29","503.26","489.82","0.0","","","","","","","","",""
"2014.0","12.0","31.0","365.0","2072.0","0.72","0.0","0.0","2.67","0.72","1.94","0.0","0.0","0.0","0.0","13.25","24.75","514.57","257.29","501.32","489.82","0.0","","","","","","","","",""
"2015.0","1.0","1.0","1.0","2072.0","0.71","0.0","0.0","0.85","0.71","0.6","0.0","0.0","0.0","0.0","13.85","24.75","514.57","257.29","500.72","489.82","0.0","","","","","","","","",""
"2015.0","1.0","2.0","2.0","2072.0","0.69","0.0","0.0","0.87","0.69","0.6","0.0","0.0","0.0","0.0","14.45","24.75","514.57","257.29","500.13","489.82","0.0","","","","","","","","",""
"2015.0","1.0","3.0","3.0","2072.0","0.67","0.0","0.0","0.86","0.67","0.58","0.0","0.0","0.0","0.0","15.02","24.75","514.57","257.29","499.55","489.82","0.0","","","","","","","","",""
"2015.0","1.0","4.0","4.0","2072.0","0.65","0.0","0.0","0.96","0.65","0.63","0.0","0.0","0.0","0.0","15.65","24.75","514.57","257.29","498.92","489.82","0.0","","","","","","","","",""
"2015.0","1.0","5.0","5.0","2072.0","0.64","0.0","0.0","0.86","0.64","0.55","0.0","0.0","0.0","0.0","16.2","24.75","514.57","257.29","498.37","489.82","0.0","","","","","","","","",""
"2015.0","1.0","6.0","6.0","2072.0","0.62","0.0","0.0","1.17","0.62","0.73","0.0","0.0","0.0","0.0","16.93","24.75","514.57","257.29","497.65","489.82","0.0","","","","","","","","",""
"2015.0","1.0","7.0","7.0","2072.0","0.6","0.0","0.0","1.19","0.6","0.72","0.0","0.0","0.0","0.0","17.64","24.75","514.57","257.29","496.93","489.82","0.0","","","","","","","","",""
"2015.0","1.0","8.0","8.0","2072.0","0.59","0.0","0.0","1.04","0.59","0.61","0.0","0.0","0.0","0.0","18.26","24.75","514.57","257.29","496.32","489.82","0.0","","","","","","","","",""
"2015.0","1.0","9.0","9.0","2072.0","0.58","0.0","0.0","0.87","0.58","0.5","0.0","0.0","0.0","0.0","18.76","24.75","514.57","257.29","495.81","489.82","0.0","","","","","","","","",""
"2015.0","1.0","10.0","10.0","2072.0","0.57","0.0","0.0","0.96","0.57","0.54","0.0","0.0","0.0","0.0","19.3","24.75","514.57","257.29","495.27","489.82","0.0","","","","","","","","",""
"2015.0","1.0","11.0","11.0","2072.0","0.56","0.0","0.0","0.9","0.56","0.5","0.0","0.0","0.0","0.0","19.81","24.75","514.57","257.29","494.77","489.82","0.0","","","","","","","","",""
"2015.0","1.0","12.0","12.0","2072.0","0.55","0.0","0.0","1.06","0.55","0.58","0.0","0.0","0.0","0.0","20.38","24.75","514.57","257.29","494.19","489.82","0.0","","","","","","","","",""
"2015.0","1.0","13.0","13.0","2072.0","0.53","0.0","0.0","1.19","0.53","0.64","0.0","0.0","0.0","0.0","21.02","24.75","514.57","257.29","493.55","489.82","0.0","","","","","","","","",""
"2015.0","1.0","14.0","14.0","2072.0","0.53","0.0","0.0","0.73","0.53","0.39","0.0","0.0","0.0","0.0","21.41","24.75","514.57","257.29","493.17","489.82","0.0","","","","","","","","",""
"2015.0","1.0","15.0","15.0","2072.0","0.52","0.0","0.0","0.73","0.52","0.38","0.0","0.0","0.0","0.0","21.79","24.75","514.57","257.29","492.79","489.82","0.0","","","","","","","","",""
"2015.0","1.0","16.0","16.0","2072.0","0.52","0.0","0.0","0.62","0.52","0.32","0.0","0.0","0.0","0.0","22.11","24.75","514.57","257.29","492.47","489.82","0.0","","","","","","","","",""
"2015.0","1.0","17.0","17.0","2072.0","0.51","0.0","0.0","0.57","0.51","0.29","0.16","0.16","0.0","0.0","22.24","24.75","514.57","257.29","492.33","489.82","0.0","","","","","","","","",""
"2015.0","1.0","18.0","18.0","2072.0","0.51","0.0","0.0","0.61","0.51","0.31","0.0","0.0","0.0","0.0","22.55","24.75","514.57","257.29","492.03","489.82","0.0","","","","","","","","",""
"2015.0","1.0","19.0","19.0","2072.0","0.5","0.0","0.0","0.7","0.5","0.35","0.0","0.0","0.0","0.0","22.9","24.75","514.57","257.29","491.68","489.82","0.0","","","","","","","","",""
"2015.0","1.0","20.0","20.0","2072.0","0.49","0.0","0.0","0.76","0.49","0.38","0.0","0.0","0.0","0.0","23.27","24.75","514.57","257.29","491.3","489.82","0.0","","","","","","","","",""
"2015.0","1.0","21.0","21.0","2072.0","0.49","0.0","0.0","0.95","0.49","0.46","0.0","0.0","0.0","0.0","23.74","24.75","514.57","257.29","490.84","489.82","0.0","","","","","","","","",""
"2015.0","1.0","22.0","22.0","2072.0","0.48","0.0","0.0","0.76","0.48","0.37","0.0","0.0","0.0","0.0","24.1","24.75","514.57","257.29","490.47","489.82","0.0","","","","","","","","",""
"2015.0","1.0","23.0","23.0","2072.0","0.48","0.0","0.0","0.98","0.48","0.47","0.0","0.0","0.0","0.0","24.57","24.75","514.57","257.29","490.0","489.82","0.0","","","","","","","","",""
"2015.0","1.0","24.0","24.0","2072.0","0.47","0.0","0.0","0.95","0.47","0.45","0.0","0.0","0.0","0.0","25.02","24.75","514.57","257.29","489.56","489.82","0.0","","","","","","","","",""
"2015.0","1.0","25.0","25.0","2072.0","0.46","0.0","0.0","1.05","0.46","0.49","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","1.0","26.0","26.0","2072.0","0.45","0.0","0.0","1.32","0.45","0.6","0.0","0.0","0.0","0.0","25.35","24.75","514.57","257.29","489.22","489.82","0.0","","","","","","","","",""
"2015.0","1.0","27.0","27.0","2072.0","0.45","0.0","0.0","1.1","0.45","0.49","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","1.0","28.0","28.0","2072.0","0.44","0.0","0.0","1.57","0.44","0.69","0.0","0.0","0.0","0.0","25.44","24.75","514.57","257.29","489.13","489.82","0.0","","","","","","","","",""
"2015.0","1.0","29.0","29.0","2072.0","0.43","0.0","0.0","1.46","0.43","0.63","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","1.0","30.0","30.0","2072.0","0.42","0.0","0.0","2.03","0.42","0.86","0.0","0.0","0.0","0.0","25.61","24.75","514.57","257.29","488.97","489.82","0.0","","","","","","","","",""
"2015.0","1.0","31.0","31.0","2072.0","0.41","0.0","0.0","3.58","0.41","1.45","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","2.0","1.0","32.0","2072.0","0.4","0.0","0.0","1.45","0.4","0.58","0.0","0.0","0.0","0.0","25.33","24.75","514.57","257.29","489.24","489.82","0.0","","","","","","","","",""
"2015.0","2.0","2.0","33.0","2072.0","0.39","0.0","0.0","1.48","0.39","0.58","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","2.0","3.0","34.0","2072.0","0.39","0.0","0.0","1.52","0.39","0.59","0.0","0.0","0.0","0.0","25.34","24.75","514.57","257.29","489.23","489.82","0.0","","","","","","","","",""
"2015.0","2.0","4.0","35.0","2072.0","0.38","0.0","0.0","1.47","0.38","0.56","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","2.0","5.0","36.0","2072.0","0.38","0.0","0.0","1.17","0.38","0.44","0.0","0.0","0.0","0.0","25.19","24.75","514.57","257.29","489.38","489.82","0.0","","","","","","","","",""
"2015.0","2.0","6.0","37.0","2072.0","0.37","0.0","0.0","2.17","0.37","0.81","0.0","0.0","0.0","0.0","24.75","24.75","514.57","257.29","489.82","489.82","0.0","","","","","","","","",""
"2015.0","2.0","7.0","38.0","2072.0","1.16","0.0","0.0","1.44","1.16","1.67","33.87","26.42","0.0","0.0","0.0","24.75","514.57","257.29","514.57","489.82","0.0","","","","","","","","",""
