" Daily soil water balance output for Water Surface in 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Water Surface at 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015","","","","",""
"2014.0","10.0","16.0","289.0","45.0","0.08","1.1","0.0","2.72","1.1","2.992","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","17.0","290.0","45.0","0.08","1.1","0.0","2.53","1.1","2.783","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","18.0","291.0","45.0","0.08","1.1","0.0","2.88","1.1","3.168","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","19.0","292.0","45.0","0.08","1.1","0.0","2.84","1.1","3.124","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","20.0","293.0","45.0","0.08","1.1","0.0","2.22","1.1","2.442","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","21.0","294.0","45.0","0.08","1.1","0.0","2.7","1.1","2.97","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","22.0","295.0","45.0","0.08","1.1","0.0","2.55","1.1","2.805","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","23.0","296.0","45.0","0.08","1.1","0.0","2.57","1.1","2.827","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","24.0","297.0","45.0","0.08","1.1","0.0","2.55","1.1","2.805","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","25.0","298.0","45.0","0.08","1.1","0.0","2.29","1.1","2.519","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","26.0","299.0","45.0","0.08","1.1","0.0","2.69","1.1","2.959","1.42","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","27.0","300.0","45.0","0.08","1.1","0.0","2.51","1.1","2.761","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","28.0","301.0","45.0","0.08","1.1","0.0","2.39","1.1","2.629","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","29.0","302.0","45.0","0.08","1.1","0.0","2.5","1.1","2.75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","30.0","303.0","45.0","0.08","1.1","0.0","2.44","1.1","2.684","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","31.0","304.0","45.0","0.08","1.1","0.0","1.38","1.1","1.518","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","1.0","305.0","45.0","1.15","1.1","0.0","1.85","1.15","2.035","8.58","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","2.0","306.0","45.0","1.14","1.1","0.0","2.15","1.14","2.365","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","3.0","307.0","45.0","1.14","1.1","0.0","1.8","1.14","1.98","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","4.0","308.0","45.0","1.01","1.1","0.0","1.77","1.1","1.947","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","5.0","309.0","45.0","0.9","1.1","0.0","1.98","1.1","2.178","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","6.0","310.0","45.0","0.82","1.1","0.0","1.93","1.1","2.123","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","7.0","311.0","45.0","0.76","1.1","0.0","1.95","1.1","2.145","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","8.0","312.0","45.0","0.71","1.1","0.0","1.88","1.1","2.068","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","9.0","313.0","45.0","0.67","1.1","0.0","1.83","1.1","2.013","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","10.0","314.0","45.0","0.64","1.1","0.0","1.78","1.1","1.958","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","11.0","315.0","45.0","0.62","1.1","0.0","1.54","1.1","1.694","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","12.0","316.0","45.0","0.59","1.1","0.0","1.6","1.1","1.76","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","13.0","317.0","45.0","1.18","1.1","0.0","1.12","1.18","1.232","5.87","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","14.0","318.0","45.0","1.17","1.1","0.0","1.44","1.17","1.584","1.23","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","15.0","319.0","45.0","1.17","1.1","0.0","1.36","1.17","1.496","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","16.0","320.0","45.0","1.16","1.1","0.0","1.9","1.16","2.09","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","17.0","321.0","45.0","1.02","1.1","0.0","1.77","1.1","1.947","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","18.0","322.0","45.0","0.94","1.1","0.0","1.33","1.1","1.463","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","19.0","323.0","45.0","0.88","1.1","0.0","1.19","1.1","1.309","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","20.0","324.0","45.0","1.19","1.1","0.0","0.65","1.19","0.715","2.25","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","21.0","325.0","45.0","1.18","1.1","0.0","0.94","1.18","1.034","4.75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","22.0","326.0","45.0","1.18","1.1","0.0","1.28","1.18","1.408","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","23.0","327.0","45.0","1.16","1.1","0.0","1.59","1.16","1.749","3.94","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","24.0","328.0","45.0","1.16","1.1","0.0","1.4","1.16","1.54","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","25.0","329.0","45.0","1.16","1.1","0.0","1.29","1.16","1.419","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","26.0","330.0","45.0","1.16","1.1","0.0","1.32","1.16","1.452","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","27.0","331.0","45.0","1.07","1.1","0.0","1.23","1.1","1.353","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","28.0","332.0","45.0","0.99","1.1","0.0","1.19","1.1","1.309","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","29.0","333.0","45.0","0.95","1.1","0.0","0.8","1.1","0.88","0.41","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","30.0","334.0","45.0","1.19","1.1","0.0","0.69","1.19","0.759","2.78","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","1.0","335.0","45.0","1.18","1.1","0.0","0.96","1.18","1.056","12.37","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","2.0","336.0","45.0","1.2","1.1","0.0","0.62","1.2","0.682","10.99","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","3.0","337.0","45.0","1.17","1.1","0.0","1.24","1.17","1.364","28.92","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","4.0","338.0","45.0","1.17","1.1","0.0","1.13","1.17","1.243","7.13","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","5.0","339.0","45.0","1.18","1.1","0.0","0.91","1.18","1.001","0.35","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","6.0","340.0","45.0","1.18","1.1","0.0","1.09","1.18","1.199","2.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","7.0","341.0","45.0","1.18","1.1","0.0","0.72","1.18","0.792","0.32","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","8.0","342.0","45.0","1.18","1.1","0.0","0.88","1.18","0.968","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","9.0","343.0","45.0","1.19","1.1","0.0","0.69","1.19","0.759","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","10.0","344.0","45.0","1.19","1.1","0.0","0.9","1.19","0.99","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","11.0","345.0","45.0","1.18","1.1","0.0","1.36","1.18","1.496","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","12.0","346.0","45.0","1.19","1.1","0.0","0.63","1.19","0.693","65.93","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","13.0","347.0","45.0","1.19","1.1","0.0","0.74","1.19","0.814","1.66","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","14.0","348.0","45.0","1.19","1.1","0.0","0.81","1.19","0.891","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","15.0","349.0","45.0","1.18","1.1","0.0","1.01","1.18","1.111","10.89","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","16.0","350.0","45.0","1.17","1.1","0.0","1.24","1.17","1.364","9.78","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","17.0","351.0","45.0","1.18","1.1","0.0","0.95","1.18","1.045","11.39","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","18.0","352.0","45.0","1.18","1.1","0.0","1.0","1.18","1.1","5.48","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","19.0","353.0","45.0","1.18","1.1","0.0","0.85","1.18","0.935","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","20.0","354.0","45.0","1.19","1.1","0.0","0.7","1.19","0.77","8.92","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","21.0","355.0","45.0","1.19","1.1","0.0","1.0","1.19","1.1","0.47","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","22.0","356.0","45.0","1.19","1.1","0.0","0.78","1.19","0.858","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","23.0","357.0","45.0","1.19","1.1","0.0","0.79","1.19","0.869","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","24.0","358.0","45.0","1.19","1.1","0.0","0.96","1.19","1.056","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","25.0","359.0","45.0","1.13","1.1","0.0","1.97","1.13","2.167","0.72","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","26.0","360.0","45.0","1.01","1.1","0.0","1.61","1.1","1.771","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","27.0","361.0","45.0","0.96","1.1","0.0","0.77","1.1","0.847","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","28.0","362.0","45.0","0.92","1.1","0.0","0.77","1.1","0.847","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","29.0","363.0","45.0","0.9","1.1","0.0","0.56","1.1","0.616","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","30.0","364.0","45.0","0.8","1.1","0.0","2.42","1.1","2.662","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","31.0","365.0","45.0","0.73","1.1","0.0","2.55","1.1","2.805","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","1.0","1.0","45.0","0.71","1.1","0.0","1.01","1.1","1.111","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","2.0","2.0","45.0","0.69","1.1","0.0","0.91","1.1","1.001","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","3.0","3.0","45.0","0.67","1.1","0.0","0.92","1.1","1.012","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","4.0","4.0","45.0","0.65","1.1","0.0","1.02","1.1","1.122","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","5.0","5.0","45.0","0.63","1.1","0.0","1.03","1.1","1.133","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","6.0","6.0","45.0","0.61","1.1","0.0","1.27","1.1","1.397","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","7.0","7.0","45.0","0.6","1.1","0.0","1.24","1.1","1.364","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","8.0","8.0","45.0","0.58","1.1","0.0","1.03","1.1","1.133","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","9.0","9.0","45.0","0.57","1.1","0.0","0.9","1.1","0.99","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","10.0","10.0","45.0","0.56","1.1","0.0","1.05","1.1","1.155","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","11.0","11.0","45.0","0.55","1.1","0.0","0.86","1.1","0.946","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","12.0","12.0","45.0","0.54","1.1","0.0","0.97","1.1","1.067","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","13.0","13.0","45.0","0.53","1.1","0.0","1.04","1.1","1.144","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","14.0","14.0","45.0","0.53","1.1","0.0","0.62","1.1","0.682","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","15.0","15.0","45.0","0.52","1.1","0.0","0.66","1.1","0.726","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","16.0","16.0","45.0","0.51","1.1","0.0","0.62","1.1","0.682","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","17.0","17.0","45.0","0.51","1.1","0.0","0.54","1.1","0.594","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","18.0","18.0","45.0","0.51","1.1","0.0","0.66","1.1","0.726","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","19.0","19.0","45.0","0.5","1.1","0.0","0.55","1.1","0.605","0.43","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","20.0","20.0","45.0","0.49","1.1","0.0","0.81","1.1","0.891","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","21.0","21.0","45.0","0.49","1.1","0.0","1.08","1.1","1.188","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","22.0","22.0","45.0","0.48","1.1","0.0","0.69","1.1","0.759","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","23.0","23.0","45.0","0.47","1.1","0.0","1.02","1.1","1.122","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","24.0","24.0","45.0","0.47","1.1","0.0","0.96","1.1","1.056","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","25.0","25.0","45.0","0.46","1.1","0.0","1.04","1.1","1.144","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","26.0","26.0","45.0","0.45","1.1","0.0","1.19","1.1","1.309","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","27.0","27.0","45.0","0.45","1.1","0.0","1.14","1.1","1.254","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","28.0","28.0","45.0","0.44","1.1","0.0","1.45","1.1","1.595","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","29.0","29.0","45.0","0.43","1.1","0.0","1.38","1.1","1.518","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","30.0","30.0","45.0","0.42","1.1","0.0","1.66","1.1","1.826","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","31.0","31.0","45.0","0.41","1.1","0.0","2.85","1.1","3.135","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","1.0","32.0","45.0","0.4","1.1","0.0","1.55","1.1","1.705","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","2.0","33.0","45.0","0.4","1.1","0.0","1.57","1.1","1.727","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","3.0","34.0","45.0","0.39","1.1","0.0","1.67","1.1","1.837","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","4.0","35.0","45.0","0.39","1.1","0.0","1.36","1.1","1.496","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","5.0","36.0","45.0","0.38","1.1","0.0","1.01","1.1","1.111","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","6.0","37.0","45.0","0.38","1.1","0.0","2.21","1.1","2.431","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","7.0","38.0","45.0","1.16","1.1","0.0","1.47","1.16","1.617","13.46","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","8.0","39.0","45.0","1.16","1.1","0.0","1.61","1.16","1.771","11.21","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","9.0","40.0","45.0","1.14","1.1","0.0","2.11","1.14","2.321","13.89","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","10.0","41.0","45.0","1.14","1.1","0.0","1.9","1.14","2.09","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","11.0","42.0","45.0","1.14","1.1","0.0","1.76","1.14","1.936","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","12.0","43.0","45.0","0.99","1.1","0.0","2.06","1.1","2.266","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
