" Daily soil water balance output for Alfalfa in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Alfalfa in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"2014.0","10.0","16.0","289.0","9455.0","0.29","0.9","0.0","2.7","0.9","2.43","0.0","0.0","0.0","0.0","118.59","126.74","601.67","300.83","483.08","474.93","0.0","","","","","","",""
"2014.0","10.0","17.0","290.0","9455.0","0.29","0.9","0.0","2.51","0.9","2.26","0.0","0.0","0.0","0.0","120.84","126.74","601.67","300.83","480.83","474.93","0.0","","","","","","",""
"2014.0","10.0","18.0","291.0","9455.0","0.29","0.9","0.0","2.88","0.9","2.59","0.0","0.0","0.0","0.0","123.44","126.74","601.67","300.83","478.23","474.93","0.0","","","","","","",""
"2014.0","10.0","19.0","292.0","9455.0","0.28","0.9","0.0","2.97","0.9","2.67","0.0","0.0","0.0","0.0","126.11","126.74","601.67","300.83","475.56","474.93","0.0","","","","","","",""
"2014.0","10.0","20.0","293.0","9455.0","0.28","0.9","0.0","2.25","0.9","2.03","0.0","0.0","0.0","0.0","0.0","126.74","601.67","300.83","601.67","474.93","128.13","","","","","","",""
"2014.0","10.0","21.0","294.0","9455.0","0.27","0.9","0.0","2.67","0.9","2.4","0.0","0.0","0.0","0.0","2.4","126.74","601.67","300.83","599.27","474.93","0.0","","","","","","",""
"2014.0","10.0","22.0","295.0","9455.0","0.27","0.9","0.0","2.57","0.9","2.31","0.0","0.0","0.0","0.0","4.72","126.74","601.67","300.83","596.95","474.93","0.0","","","","","","",""
"2014.0","10.0","23.0","296.0","9455.0","0.27","0.9","0.0","2.51","0.9","2.26","0.0","0.0","0.0","0.0","6.98","126.74","601.67","300.83","594.69","474.93","0.0","","","","","","",""
"2014.0","10.0","24.0","297.0","9455.0","0.27","0.9","0.0","2.57","0.9","2.31","0.0","0.0","0.0","0.0","9.29","126.74","601.67","300.83","592.38","474.93","0.0","","","","","","",""
"2014.0","10.0","25.0","298.0","9455.0","0.26","0.9","0.0","2.27","0.9","2.04","0.0","0.0","0.0","0.0","11.33","126.74","601.67","300.83","590.34","474.93","0.0","","","","","","",""
"2014.0","10.0","26.0","299.0","9455.0","0.26","0.9","0.0","2.66","0.9","2.39","1.25","1.25","0.0","0.0","12.48","126.74","601.67","300.83","589.19","474.93","0.0","","","","","","",""
"2014.0","10.0","27.0","300.0","9455.0","0.26","0.9","0.0","2.48","0.9","2.23","0.0","0.0","0.0","0.0","14.71","126.74","601.67","300.83","586.96","474.93","0.0","","","","","","",""
"2014.0","10.0","28.0","301.0","9455.0","0.25","0.9","0.0","2.37","0.9","2.13","0.0","0.0","0.0","0.0","16.84","126.74","601.67","300.83","584.83","474.93","0.0","","","","","","",""
"2014.0","10.0","29.0","302.0","9455.0","0.25","0.9","0.0","2.4","0.9","2.16","0.0","0.0","0.0","0.0","19.0","126.74","601.67","300.83","582.67","474.93","0.0","","","","","","",""
"2014.0","10.0","30.0","303.0","9455.0","0.25","0.9","0.0","2.51","0.9","2.26","0.0","0.0","0.0","0.0","21.26","126.74","601.67","300.83","580.41","474.93","0.0","","","","","","",""
"2014.0","10.0","31.0","304.0","9455.0","0.25","0.9","0.0","1.29","0.9","1.16","0.01","0.01","0.0","0.0","22.41","126.74","601.67","300.83","579.26","474.93","0.0","","","","","","",""
"2014.0","11.0","1.0","305.0","9455.0","1.15","0.9","0.0","1.84","1.15","2.11","7.1","7.1","0.0","0.0","17.42","126.74","601.67","300.83","584.25","474.93","0.0","","","","","","",""
"2014.0","11.0","2.0","306.0","9455.0","1.14","0.9","0.0","2.21","1.14","2.52","0.0","0.0","0.0","0.0","19.94","126.74","601.67","300.83","581.73","474.93","0.0","","","","","","",""
"2014.0","11.0","3.0","307.0","9455.0","1.14","0.9","0.0","1.8","1.14","2.06","0.0","0.0","0.0","0.0","21.99","126.74","601.67","300.83","579.68","474.93","0.0","","","","","","",""
"2014.0","11.0","4.0","308.0","9455.0","1.01","0.9","0.0","1.75","1.01","1.77","0.0","0.0","0.0","0.0","23.76","126.74","601.67","300.83","577.91","474.93","0.0","","","","","","",""
"2014.0","11.0","5.0","309.0","9455.0","0.91","0.9","0.0","1.82","0.91","1.65","0.0","0.0","0.0","0.0","25.41","126.74","601.67","300.83","576.26","474.93","0.0","","","","","","",""
"2014.0","11.0","6.0","310.0","9455.0","0.83","0.9","0.0","1.94","0.9","1.75","0.0","0.0","0.0","0.0","27.15","126.74","601.67","300.83","574.52","474.93","0.0","","","","","","",""
"2014.0","11.0","7.0","311.0","9455.0","0.76","0.9","0.0","2.01","0.9","1.81","0.0","0.0","0.0","0.0","28.96","126.74","601.67","300.83","572.71","474.93","0.0","","","","","","",""
"2014.0","11.0","8.0","312.0","9455.0","0.71","0.9","0.0","1.88","0.9","1.69","0.0","0.0","0.0","0.0","30.65","126.74","601.67","300.83","571.02","474.93","0.0","","","","","","",""
"2014.0","11.0","9.0","313.0","9455.0","0.67","0.9","0.0","1.86","0.9","1.67","0.0","0.0","0.0","0.0","32.33","126.74","601.67","300.83","569.34","474.93","0.0","","","","","","",""
"2014.0","11.0","10.0","314.0","9455.0","0.64","0.9","0.0","1.96","0.9","1.76","0.0","0.0","0.0","0.0","34.09","126.74","601.67","300.83","567.58","474.93","0.0","","","","","","",""
"2014.0","11.0","11.0","315.0","9455.0","0.61","0.9","0.0","1.52","0.9","1.37","0.0","0.0","0.0","0.0","35.46","126.74","601.67","300.83","566.21","474.93","0.0","","","","","","",""
"2014.0","11.0","12.0","316.0","9455.0","0.59","0.9","0.0","1.46","0.9","1.31","0.0","0.0","0.0","0.0","36.77","126.74","601.67","300.83","564.9","474.93","0.0","","","","","","",""
"2014.0","11.0","13.0","317.0","9455.0","1.18","0.9","0.0","1.02","1.18","1.2","4.19","4.19","0.0","0.0","33.79","126.74","601.67","300.83","567.88","474.93","0.0","","","","","","",""
"2014.0","11.0","14.0","318.0","9455.0","1.17","0.9","0.0","1.34","1.17","1.56","1.96","1.96","0.0","0.0","33.39","126.74","601.67","300.83","568.28","474.93","0.0","","","","","","",""
"2014.0","11.0","15.0","319.0","9455.0","1.17","0.9","0.0","1.28","1.17","1.49","0.0","0.0","0.0","0.0","34.88","126.74","601.67","300.83","566.78","474.93","0.0","","","","","","",""
"2014.0","11.0","16.0","320.0","9455.0","1.16","0.9","0.0","1.98","1.16","2.29","0.01","0.01","0.0","0.0","37.17","126.74","601.67","300.83","564.5","474.93","0.0","","","","","","",""
"2014.0","11.0","17.0","321.0","9455.0","1.1","0.9","0.0","1.82","1.1","2.01","0.0","0.0","0.0","0.0","39.18","126.74","601.67","300.83","562.49","474.93","0.0","","","","","","",""
"2014.0","11.0","18.0","322.0","9455.0","1.0","0.9","0.0","1.37","1.0","1.37","0.0","0.0","0.0","0.0","40.55","126.74","601.67","300.83","561.12","474.93","0.0","","","","","","",""
"2014.0","11.0","19.0","323.0","9455.0","0.94","0.9","0.0","1.06","0.94","1.0","0.13","0.13","0.0","0.0","41.42","126.74","601.67","300.83","560.25","474.93","0.0","","","","","","",""
"2014.0","11.0","20.0","324.0","9455.0","1.19","0.9","0.0","0.64","1.19","0.76","3.26","3.26","0.0","0.0","38.92","126.74","601.67","300.83","562.75","474.93","0.0","","","","","","",""
"2014.0","11.0","21.0","325.0","9455.0","1.19","0.9","0.0","0.82","1.19","0.97","4.7","4.7","0.0","0.0","35.2","126.74","601.67","300.83","566.47","474.93","0.0","","","","","","",""
"2014.0","11.0","22.0","326.0","9455.0","1.18","0.9","0.0","1.16","1.18","1.37","0.19","0.19","0.0","0.0","36.37","126.74","601.67","300.83","565.29","474.93","0.0","","","","","","",""
"2014.0","11.0","23.0","327.0","9455.0","1.16","0.9","0.0","1.49","1.16","1.73","3.38","3.38","0.0","0.0","34.72","126.74","601.67","300.83","566.95","474.93","0.0","","","","","","",""
"2014.0","11.0","24.0","328.0","9455.0","1.16","0.9","0.0","1.37","1.16","1.59","0.0","0.0","0.0","0.0","36.32","126.74","601.67","300.83","565.35","474.93","0.0","","","","","","",""
"2014.0","11.0","25.0","329.0","9455.0","1.17","0.9","0.0","1.22","1.17","1.42","0.0","0.0","0.0","0.0","37.74","126.74","601.67","300.83","563.93","474.93","0.0","","","","","","",""
"2014.0","11.0","26.0","330.0","9455.0","1.17","0.9","0.0","1.2","1.17","1.4","0.0","0.0","0.0","0.0","39.14","126.74","601.67","300.83","562.53","474.93","0.0","","","","","","",""
"2014.0","11.0","27.0","331.0","9455.0","1.1","0.9","0.0","1.19","1.1","1.31","0.0","0.0","0.0","0.0","40.45","126.74","601.67","300.83","561.22","474.93","0.0","","","","","","",""
"2014.0","11.0","28.0","332.0","9455.0","1.02","0.9","0.0","1.16","1.02","1.18","0.0","0.0","0.0","0.0","41.63","126.74","601.67","300.83","560.03","474.93","0.0","","","","","","",""
"2014.0","11.0","29.0","333.0","9455.0","1.19","0.9","0.0","0.85","1.19","1.01","2.69","2.69","0.0","0.0","39.95","126.74","601.67","300.83","561.72","474.93","0.0","","","","","","",""
"2014.0","11.0","30.0","334.0","9455.0","1.19","0.9","0.0","0.66","1.19","0.79","3.5","3.5","0.0","0.0","37.24","126.74","601.67","300.83","564.43","474.93","0.0","","","","","","",""
"2014.0","12.0","1.0","335.0","9455.0","1.18","0.9","0.0","1.02","1.18","1.2","7.13","7.13","0.0","0.0","31.31","126.74","601.67","300.83","570.36","474.93","0.0","","","","","","",""
"2014.0","12.0","2.0","336.0","9455.0","1.19","0.9","0.0","0.66","1.19","0.79","2.45","2.45","0.0","0.0","29.65","126.74","601.67","300.83","572.02","474.93","0.0","","","","","","",""
"2014.0","12.0","3.0","337.0","9455.0","1.17","0.9","0.0","1.13","1.17","1.33","39.11","30.98","0.0","0.0","0.0","126.74","601.67","300.83","601.67","474.93","0.0","","","","","","",""
"2014.0","12.0","4.0","338.0","9455.0","1.18","0.9","0.0","1.1","1.18","1.29","21.84","1.29","0.0","0.0","0.0","126.74","601.67","300.83","601.67","474.93","0.0","","","","","","",""
"2014.0","12.0","5.0","339.0","9455.0","1.18","0.9","0.0","0.92","1.18","1.09","0.22","0.22","0.0","0.0","0.87","126.74","601.67","300.83","600.8","474.93","0.0","","","","","","",""
"2014.0","12.0","6.0","340.0","9455.0","1.18","0.9","0.0","1.09","1.18","1.28","2.83","2.15","0.0","0.0","0.0","126.74","601.67","300.83","601.67","474.93","0.0","","","","","","",""
"2014.0","12.0","7.0","341.0","9455.0","1.18","0.9","0.0","0.77","1.18","0.91","0.78","0.78","0.0","0.0","0.13","126.74","601.67","300.83","601.54","474.93","0.0","","","","","","",""
"2014.0","12.0","8.0","342.0","9455.0","1.18","0.9","0.0","0.83","1.18","0.98","0.0","0.0","0.0","0.0","1.11","126.74","601.67","300.83","600.56","474.93","0.0","","","","","","",""
"2014.0","12.0","9.0","343.0","9455.0","1.19","0.9","0.0","0.68","1.19","0.81","0.0","0.0","0.0","0.0","1.92","126.74","601.67","300.83","599.75","474.93","0.0","","","","","","",""
"2014.0","12.0","10.0","344.0","9455.0","1.19","0.9","0.0","0.97","1.19","1.15","0.0","0.0","0.0","0.0","3.07","126.74","601.67","300.83","598.6","474.93","0.0","","","","","","",""
"2014.0","12.0","11.0","345.0","9455.0","1.18","0.9","0.0","1.27","1.18","1.5","0.01","0.01","0.0","0.0","4.56","126.74","601.67","300.83","597.11","474.93","0.0","","","","","","",""
"2014.0","12.0","12.0","346.0","9455.0","1.2","0.9","0.0","0.61","1.2","0.73","68.69","5.29","0.0","0.0","0.0","126.74","601.67","300.83","601.67","474.93","0.0","","","","","","",""
"2014.0","12.0","13.0","347.0","9455.0","1.19","0.9","0.0","0.68","1.19","0.81","1.6","0.81","0.0","0.0","0.0","126.74","601.67","300.83","601.67","474.93","0.0","","","","","","",""
"2014.0","12.0","14.0","348.0","9455.0","1.19","0.9","0.0","0.73","1.19","0.87","0.0","0.0","0.0","0.0","0.87","126.74","601.67","300.83","600.8","474.93","0.0","","","","","","",""
"2014.0","12.0","15.0","349.0","9455.0","1.18","0.9","0.0","0.95","1.18","1.12","6.13","1.99","0.0","0.0","0.0","126.74","601.67","300.83","601.67","474.93","0.0","","","","","","",""
"2014.0","12.0","16.0","350.0","9455.0","1.17","0.9","0.0","1.22","1.17","1.43","11.72","1.43","0.0","0.0","0.0","126.74","601.67","300.83","601.67","474.93","0.0","","","","","","",""
"2014.0","12.0","17.0","351.0","9455.0","1.18","0.9","0.0","0.96","1.18","1.13","12.55","1.13","0.0","0.0","0.0","126.74","601.67","300.83","601.67","474.93","0.0","","","","","","",""
"2014.0","12.0","18.0","352.0","9455.0","1.18","0.9","0.0","0.94","1.18","1.11","2.97","1.11","0.0","0.0","0.0","126.74","601.67","300.83","601.67","474.93","0.0","","","","","","",""
"2014.0","12.0","19.0","353.0","9455.0","1.18","0.9","0.0","0.83","1.18","0.98","0.0","0.0","0.0","0.0","0.98","126.74","601.67","300.83","600.69","474.93","0.0","","","","","","",""
"2014.0","12.0","20.0","354.0","9455.0","1.19","0.9","0.0","0.65","1.19","0.78","15.13","1.76","0.0","0.0","0.0","126.74","601.67","300.83","601.67","474.93","0.0","","","","","","",""
"2014.0","12.0","21.0","355.0","9455.0","1.19","0.9","0.0","0.98","1.19","1.16","0.01","0.01","0.0","0.0","1.15","126.74","601.67","300.83","600.52","474.93","0.0","","","","","","",""
"2014.0","12.0","22.0","356.0","9455.0","1.19","0.9","0.0","0.77","1.19","0.91","0.0","0.0","0.0","0.0","2.07","126.74","601.67","300.83","599.6","474.93","0.0","","","","","","",""
"2014.0","12.0","23.0","357.0","9455.0","1.19","0.9","0.0","0.72","1.19","0.86","0.0","0.0","0.0","0.0","2.92","126.74","601.67","300.83","598.74","474.93","0.0","","","","","","",""
"2014.0","12.0","24.0","358.0","9455.0","1.19","0.9","0.0","0.95","1.19","1.13","0.0","0.0","0.0","0.0","4.05","126.74","601.67","300.83","597.62","474.93","0.0","","","","","","",""
"2014.0","12.0","25.0","359.0","9455.0","1.14","0.9","0.0","1.9","1.14","2.17","1.24","1.24","0.0","0.0","4.99","126.74","601.67","300.83","596.68","474.93","0.0","","","","","","",""
"2014.0","12.0","26.0","360.0","9455.0","1.15","0.9","0.0","1.79","1.15","2.05","0.0","0.0","0.0","0.0","7.04","126.74","601.67","300.83","594.63","474.93","0.0","","","","","","",""
"2014.0","12.0","27.0","361.0","9455.0","1.16","0.9","0.0","0.76","1.16","0.88","0.0","0.0","0.0","0.0","7.92","126.74","601.67","300.83","593.75","474.93","0.0","","","","","","",""
"2014.0","12.0","28.0","362.0","9455.0","1.17","0.9","0.0","0.75","1.17","0.88","0.0","0.0","0.0","0.0","8.8","126.74","601.67","300.83","592.87","474.93","0.0","","","","","","",""
"2014.0","12.0","29.0","363.0","9455.0","1.17","0.9","0.0","0.54","1.17","0.63","0.0","0.0","0.0","0.0","9.43","126.74","601.67","300.83","592.24","474.93","0.0","","","","","","",""
"2014.0","12.0","30.0","364.0","9455.0","0.98","0.9","0.0","2.48","0.98","2.43","0.0","0.0","0.0","0.0","11.86","126.74","601.67","300.83","589.81","474.93","0.0","","","","","","",""
"2014.0","12.0","31.0","365.0","9455.0","0.85","0.9","0.0","2.64","0.9","2.38","0.0","0.0","0.0","0.0","14.23","126.74","601.67","300.83","587.44","474.93","0.0","","","","","","",""
"2015.0","1.0","1.0","1.0","9455.0","0.82","0.9","0.0","0.89","0.9","0.8","0.0","0.0","0.0","0.0","15.03","123.44","601.67","300.83","586.63","478.23","0.0","","","","","","",""
"2015.0","1.0","2.0","2.0","9455.0","0.79","0.9","0.0","0.88","0.9","0.79","0.0","0.0","0.0","0.0","15.83","123.44","601.67","300.83","585.84","478.23","0.0","","","","","","",""
"2015.0","1.0","3.0","3.0","9455.0","0.76","0.9","0.0","0.87","0.9","0.78","0.0","0.0","0.0","0.0","16.61","123.44","601.67","300.83","585.06","478.23","0.0","","","","","","",""
"2015.0","1.0","4.0","4.0","9455.0","0.74","0.9","0.0","0.97","0.9","0.87","0.0","0.0","0.0","0.0","17.48","123.44","601.67","300.83","584.19","478.23","0.0","","","","","","",""
"2015.0","1.0","5.0","5.0","9455.0","0.72","0.9","0.0","0.89","0.9","0.8","0.0","0.0","0.0","0.0","18.28","123.44","601.67","300.83","583.39","478.23","0.0","","","","","","",""
"2015.0","1.0","6.0","6.0","9455.0","0.69","0.9","0.0","1.19","0.9","1.07","0.0","0.0","0.0","0.0","19.35","123.44","601.67","300.83","582.31","478.23","0.0","","","","","","",""
"2015.0","1.0","7.0","7.0","9455.0","0.67","0.9","0.0","1.19","0.9","1.07","0.0","0.0","0.0","0.0","20.43","123.44","601.67","300.83","581.24","478.23","0.0","","","","","","",""
"2015.0","1.0","8.0","8.0","9455.0","0.65","0.9","0.0","1.04","0.9","0.94","0.0","0.0","0.0","0.0","21.36","123.44","601.67","300.83","580.31","478.23","0.0","","","","","","",""
"2015.0","1.0","9.0","9.0","9455.0","0.63","0.9","0.0","0.88","0.9","0.79","0.0","0.0","0.0","0.0","22.15","123.44","601.67","300.83","579.52","478.23","0.0","","","","","","",""
"2015.0","1.0","10.0","10.0","9455.0","0.62","0.9","0.0","0.99","0.9","0.89","0.0","0.0","0.0","0.0","23.04","123.44","601.67","300.83","578.62","478.23","0.0","","","","","","",""
"2015.0","1.0","11.0","11.0","9455.0","0.61","0.9","0.0","0.88","0.9","0.79","0.0","0.0","0.0","0.0","23.84","123.44","601.67","300.83","577.83","478.23","0.0","","","","","","",""
"2015.0","1.0","12.0","12.0","9455.0","0.59","0.9","0.0","1.02","0.9","0.92","0.0","0.0","0.0","0.0","24.75","123.44","601.67","300.83","576.91","478.23","0.0","","","","","","",""
"2015.0","1.0","13.0","13.0","9455.0","0.58","0.9","0.0","1.08","0.9","0.97","0.0","0.0","0.0","0.0","25.73","123.44","601.67","300.83","575.94","478.23","0.0","","","","","","",""
"2015.0","1.0","14.0","14.0","9455.0","0.57","0.9","0.0","0.68","0.9","0.61","0.0","0.0","0.0","0.0","26.34","123.44","601.67","300.83","575.33","478.23","0.0","","","","","","",""
"2015.0","1.0","15.0","15.0","9455.0","0.56","0.9","0.0","0.69","0.9","0.62","0.0","0.0","0.0","0.0","26.96","123.44","601.67","300.83","574.71","478.23","0.0","","","","","","",""
"2015.0","1.0","16.0","16.0","9455.0","0.56","0.9","0.0","0.6","0.9","0.54","0.0","0.0","0.0","0.0","27.5","123.44","601.67","300.83","574.17","478.23","0.0","","","","","","",""
"2015.0","1.0","17.0","17.0","9455.0","0.55","0.9","0.0","0.53","0.9","0.48","0.0","0.0","0.0","0.0","27.98","123.44","601.67","300.83","573.69","478.23","0.0","","","","","","",""
"2015.0","1.0","18.0","18.0","9455.0","0.55","0.9","0.0","0.59","0.9","0.53","0.0","0.0","0.0","0.0","28.51","123.44","601.67","300.83","573.16","478.23","0.0","","","","","","",""
"2015.0","1.0","19.0","19.0","9455.0","0.54","0.9","0.0","0.62","0.9","0.56","0.01","0.01","0.0","0.0","29.06","123.44","601.67","300.83","572.61","478.23","0.0","","","","","","",""
"2015.0","1.0","20.0","20.0","9455.0","0.53","0.9","0.0","0.75","0.9","0.68","0.0","0.0","0.0","0.0","29.73","123.44","601.67","300.83","571.94","478.23","0.0","","","","","","",""
"2015.0","1.0","21.0","21.0","9455.0","0.52","0.9","0.0","0.97","0.9","0.87","0.0","0.0","0.0","0.0","30.6","123.44","601.67","300.83","571.07","478.23","0.0","","","","","","",""
"2015.0","1.0","22.0","22.0","9455.0","0.52","0.9","0.0","0.72","0.9","0.65","0.0","0.0","0.0","0.0","31.25","123.44","601.67","300.83","570.42","478.23","0.0","","","","","","",""
"2015.0","1.0","23.0","23.0","9455.0","0.51","0.9","0.0","0.94","0.9","0.85","0.0","0.0","0.0","0.0","32.1","123.44","601.67","300.83","569.57","478.23","0.0","","","","","","",""
"2015.0","1.0","24.0","24.0","9455.0","0.5","0.9","0.0","0.87","0.9","0.78","0.0","0.0","0.0","0.0","32.88","123.44","601.67","300.83","568.79","478.23","0.0","","","","","","",""
"2015.0","1.0","25.0","25.0","9455.0","0.49","0.9","0.0","1.02","0.9","0.92","0.0","0.0","0.0","0.0","33.8","123.44","601.67","300.83","567.87","478.23","0.0","","","","","","",""
"2015.0","1.0","26.0","26.0","9455.0","0.49","0.9","0.0","1.27","0.9","1.14","0.0","0.0","0.0","0.0","34.94","123.44","601.67","300.83","566.73","478.23","0.0","","","","","","",""
"2015.0","1.0","27.0","27.0","9455.0","0.48","0.9","0.0","1.12","0.9","1.01","0.0","0.0","0.0","0.0","35.95","123.44","601.67","300.83","565.72","478.23","0.0","","","","","","",""
"2015.0","1.0","28.0","28.0","9455.0","0.47","0.9","0.0","1.5","0.9","1.35","0.0","0.0","0.0","0.0","37.3","123.44","601.67","300.83","564.37","478.23","0.0","","","","","","",""
"2015.0","1.0","29.0","29.0","9455.0","0.46","0.9","0.0","1.41","0.9","1.27","0.0","0.0","0.0","0.0","38.57","123.44","601.67","300.83","563.1","478.23","0.0","","","","","","",""
"2015.0","1.0","30.0","30.0","9455.0","0.45","0.9","0.0","1.89","0.9","1.7","0.0","0.0","0.0","0.0","40.27","123.44","601.67","300.83","561.4","478.23","0.0","","","","","","",""
"2015.0","1.0","31.0","31.0","9455.0","0.43","0.9","0.0","3.35","0.9","3.02","0.0","0.0","0.0","0.0","43.28","123.44","601.67","300.83","558.38","478.23","0.0","","","","","","",""
"2015.0","2.0","1.0","32.0","9455.0","0.42","0.9","0.0","1.46","0.9","1.31","0.0","0.0","0.0","0.0","44.6","123.44","601.67","300.83","557.07","478.23","0.0","","","","","","",""
"2015.0","2.0","2.0","33.0","9455.0","0.41","0.9","0.0","1.5","0.9","1.35","0.0","0.0","0.0","0.0","45.95","123.44","601.67","300.83","555.72","478.23","0.0","","","","","","",""
"2015.0","2.0","3.0","34.0","9455.0","0.41","0.9","0.0","1.56","0.9","1.4","0.0","0.0","0.0","0.0","47.35","123.44","601.67","300.83","554.32","478.23","0.0","","","","","","",""
"2015.0","2.0","4.0","35.0","9455.0","0.4","0.9","0.0","1.45","0.9","1.31","0.0","0.0","0.0","0.0","48.66","123.44","601.67","300.83","553.01","478.23","0.0","","","","","","",""
"2015.0","2.0","5.0","36.0","9455.0","0.4","0.9","0.0","1.11","0.9","1.0","0.0","0.0","0.0","0.0","49.66","123.44","601.67","300.83","552.01","478.23","0.0","","","","","","",""
"2015.0","2.0","6.0","37.0","9455.0","0.39","0.9","0.0","2.23","0.9","2.01","0.97","0.97","0.0","0.0","50.69","123.44","601.67","300.83","550.98","478.23","0.0","","","","","","",""
"2015.0","2.0","7.0","38.0","9455.0","1.16","0.9","0.0","1.43","1.16","1.66","20.87","20.87","0.0","0.0","31.49","123.44","601.67","300.83","570.18","478.23","0.0","","","","","","",""
"2015.0","2.0","8.0","39.0","9455.0","1.16","0.9","0.0","1.39","1.16","1.62","12.03","12.03","0.0","0.0","21.07","123.44","601.67","300.83","580.59","478.23","0.0","","","","","","",""
"2015.0","2.0","9.0","40.0","9455.0","1.14","0.9","0.0","2.02","1.14","2.3","18.45","18.45","0.0","0.0","4.93","123.44","601.67","300.83","596.74","478.23","0.0","","","","","","",""
"2015.0","2.0","10.0","41.0","9455.0","1.14","0.9","0.0","1.84","1.14","2.1","0.02","0.02","0.0","0.0","7.01","123.44","601.67","300.83","594.66","478.23","0.0","","","","","","",""
