" Daily soil water balance output for Water Surface in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Water Surface in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"2014.0","10.0","16.0","289.0","10206.0","0.3","1.1","0.0","2.65","1.1","2.915","0.27","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","17.0","290.0","10206.0","0.29","1.1","0.0","2.47","1.1","2.717","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","18.0","291.0","10206.0","0.29","1.1","0.0","2.85","1.1","3.135","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","19.0","292.0","10206.0","0.28","1.1","0.0","2.92","1.1","3.212","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","20.0","293.0","10206.0","0.28","1.1","0.0","2.24","1.1","2.464","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","21.0","294.0","10206.0","0.28","1.1","0.0","2.61","1.1","2.871","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","22.0","295.0","10206.0","0.27","1.1","0.0","2.54","1.1","2.794","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","23.0","296.0","10206.0","0.27","1.1","0.0","2.44","1.1","2.684","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","24.0","297.0","10206.0","0.27","1.1","0.0","2.57","1.1","2.827","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","25.0","298.0","10206.0","0.26","1.1","0.0","2.26","1.1","2.486","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","26.0","299.0","10206.0","0.26","1.1","0.0","2.62","1.1","2.882","1.47","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","27.0","300.0","10206.0","0.26","1.1","0.0","2.46","1.1","2.706","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","28.0","301.0","10206.0","0.26","1.1","0.0","2.33","1.1","2.563","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","29.0","302.0","10206.0","0.25","1.1","0.0","2.38","1.1","2.618","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","30.0","303.0","10206.0","0.25","1.1","0.0","2.46","1.1","2.706","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","31.0","304.0","10206.0","0.25","1.1","0.0","1.19","1.1","1.309","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","1.0","305.0","10206.0","1.15","1.1","0.0","1.87","1.15","2.057","5.89","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","2.0","306.0","10206.0","1.14","1.1","0.0","2.21","1.14","2.431","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","3.0","307.0","10206.0","1.14","1.1","0.0","1.8","1.14","1.98","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","4.0","308.0","10206.0","1.01","1.1","0.0","1.74","1.1","1.914","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","5.0","309.0","10206.0","0.91","1.1","0.0","1.79","1.1","1.969","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","6.0","310.0","10206.0","0.83","1.1","0.0","1.92","1.1","2.112","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","7.0","311.0","10206.0","0.76","1.1","0.0","1.96","1.1","2.156","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","8.0","312.0","10206.0","0.71","1.1","0.0","1.88","1.1","2.068","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","9.0","313.0","10206.0","0.67","1.1","0.0","1.84","1.1","2.024","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","10.0","314.0","10206.0","0.64","1.1","0.0","1.97","1.1","2.167","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","11.0","315.0","10206.0","0.61","1.1","0.0","1.56","1.1","1.716","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","12.0","316.0","10206.0","0.59","1.1","0.0","1.44","1.1","1.584","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","13.0","317.0","10206.0","1.18","1.1","0.0","0.99","1.18","1.089","2.97","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","14.0","318.0","10206.0","1.17","1.1","0.0","1.32","1.17","1.452","1.54","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","15.0","319.0","10206.0","1.17","1.1","0.0","1.29","1.17","1.419","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","16.0","320.0","10206.0","1.16","1.1","0.0","2.03","1.16","2.233","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","17.0","321.0","10206.0","1.1","1.1","0.0","1.86","1.1","2.046","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","18.0","322.0","10206.0","1.0","1.1","0.0","1.39","1.1","1.529","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","19.0","323.0","10206.0","0.94","1.1","0.0","0.96","1.1","1.056","0.11","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","20.0","324.0","10206.0","1.2","1.1","0.0","0.62","1.2","0.682","3.18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","21.0","325.0","10206.0","1.19","1.1","0.0","0.8","1.19","0.88","4.75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","22.0","326.0","10206.0","1.18","1.1","0.0","1.2","1.18","1.32","0.13","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","23.0","327.0","10206.0","1.16","1.1","0.0","1.49","1.16","1.639","2.18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","24.0","328.0","10206.0","1.16","1.1","0.0","1.37","1.16","1.507","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","25.0","329.0","10206.0","1.17","1.1","0.0","1.21","1.17","1.331","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","26.0","330.0","10206.0","1.17","1.1","0.0","1.17","1.17","1.287","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","27.0","331.0","10206.0","1.11","1.1","0.0","1.16","1.11","1.276","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","28.0","332.0","10206.0","1.03","1.1","0.0","1.1","1.1","1.21","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","29.0","333.0","10206.0","1.19","1.1","0.0","0.85","1.19","0.935","2.34","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","30.0","334.0","10206.0","1.19","1.1","0.0","0.66","1.19","0.726","4.36","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","1.0","335.0","10206.0","1.18","1.1","0.0","1.0","1.18","1.1","4.73","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","2.0","336.0","10206.0","1.19","1.1","0.0","0.66","1.19","0.726","1.16","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","3.0","337.0","10206.0","1.18","1.1","0.0","1.08","1.18","1.188","42.69","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","4.0","338.0","10206.0","1.18","1.1","0.0","1.07","1.18","1.177","18.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","5.0","339.0","10206.0","1.18","1.1","0.0","0.91","1.18","1.001","0.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","6.0","340.0","10206.0","1.18","1.1","0.0","1.07","1.18","1.177","2.74","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","7.0","341.0","10206.0","1.18","1.1","0.0","0.76","1.18","0.836","0.57","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","8.0","342.0","10206.0","1.18","1.1","0.0","0.8","1.18","0.88","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","9.0","343.0","10206.0","1.19","1.1","0.0","0.66","1.19","0.726","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","10.0","344.0","10206.0","1.19","1.1","0.0","0.91","1.19","1.001","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","11.0","345.0","10206.0","1.18","1.1","0.0","1.15","1.18","1.265","0.21","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","12.0","346.0","10206.0","1.2","1.1","0.0","0.6","1.2","0.66","72.49","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","13.0","347.0","10206.0","1.19","1.1","0.0","0.69","1.19","0.759","1.59","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","14.0","348.0","10206.0","1.19","1.1","0.0","0.71","1.19","0.781","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","15.0","349.0","10206.0","1.18","1.1","0.0","0.89","1.18","0.979","6.89","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","16.0","350.0","10206.0","1.17","1.1","0.0","1.18","1.17","1.298","9.15","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","17.0","351.0","10206.0","1.18","1.1","0.0","0.96","1.18","1.056","11.33","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","18.0","352.0","10206.0","1.18","1.1","0.0","0.91","1.18","1.001","3.87","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","19.0","353.0","10206.0","1.19","1.1","0.0","0.81","1.19","0.891","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","20.0","354.0","10206.0","1.19","1.1","0.0","0.64","1.19","0.704","14.79","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","21.0","355.0","10206.0","1.19","1.1","0.0","0.97","1.19","1.067","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","22.0","356.0","10206.0","1.19","1.1","0.0","0.79","1.19","0.869","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","23.0","357.0","10206.0","1.19","1.1","0.0","0.72","1.19","0.792","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","24.0","358.0","10206.0","1.19","1.1","0.0","0.99","1.19","1.089","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","25.0","359.0","10206.0","1.15","1.1","0.0","1.88","1.15","2.068","0.78","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","26.0","360.0","10206.0","1.0","1.1","0.0","1.89","1.1","2.079","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","27.0","361.0","10206.0","0.96","1.1","0.0","0.76","1.1","0.836","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","28.0","362.0","10206.0","0.92","1.1","0.0","0.74","1.1","0.814","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","29.0","363.0","10206.0","0.9","1.1","0.0","0.56","1.1","0.616","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","30.0","364.0","10206.0","0.8","1.1","0.0","2.49","1.1","2.739","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","31.0","365.0","10206.0","0.72","1.1","0.0","2.68","1.1","2.948","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","1.0","1.0","10206.0","0.7","1.1","0.0","0.88","1.1","0.968","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","2.0","2.0","10206.0","0.69","1.1","0.0","0.86","1.1","0.946","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","3.0","3.0","10206.0","0.67","1.1","0.0","0.85","1.1","0.935","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","4.0","4.0","10206.0","0.65","1.1","0.0","0.96","1.1","1.056","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","5.0","5.0","10206.0","0.64","1.1","0.0","0.87","1.1","0.957","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","6.0","6.0","10206.0","0.62","1.1","0.0","1.17","1.1","1.287","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","7.0","7.0","10206.0","0.6","1.1","0.0","1.17","1.1","1.287","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","8.0","8.0","10206.0","0.59","1.1","0.0","1.0","1.1","1.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","9.0","9.0","10206.0","0.58","1.1","0.0","0.87","1.1","0.957","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","10.0","10.0","10206.0","0.57","1.1","0.0","0.96","1.1","1.056","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","11.0","11.0","10206.0","0.56","1.1","0.0","0.88","1.1","0.968","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","12.0","12.0","10206.0","0.55","1.1","0.0","1.05","1.1","1.155","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","13.0","13.0","10206.0","0.53","1.1","0.0","1.18","1.1","1.298","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","14.0","14.0","10206.0","0.53","1.1","0.0","0.69","1.1","0.759","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","15.0","15.0","10206.0","0.52","1.1","0.0","0.69","1.1","0.759","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","16.0","16.0","10206.0","0.52","1.1","0.0","0.57","1.1","0.627","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","17.0","17.0","10206.0","0.51","1.1","0.0","0.56","1.1","0.616","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","18.0","18.0","10206.0","0.51","1.1","0.0","0.61","1.1","0.671","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","19.0","19.0","10206.0","0.5","1.1","0.0","0.7","1.1","0.77","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","20.0","20.0","10206.0","0.5","1.1","0.0","0.79","1.1","0.869","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","21.0","21.0","10206.0","0.49","1.1","0.0","0.98","1.1","1.078","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","22.0","22.0","10206.0","0.48","1.1","0.0","0.73","1.1","0.803","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","23.0","23.0","10206.0","0.48","1.1","0.0","0.98","1.1","1.078","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","24.0","24.0","10206.0","0.47","1.1","0.0","0.94","1.1","1.034","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","25.0","25.0","10206.0","0.46","1.1","0.0","1.02","1.1","1.122","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","26.0","26.0","10206.0","0.46","1.1","0.0","1.28","1.1","1.408","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","27.0","27.0","10206.0","0.45","1.1","0.0","1.12","1.1","1.232","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","28.0","28.0","10206.0","0.44","1.1","0.0","1.53","1.1","1.683","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","29.0","29.0","10206.0","0.43","1.1","0.0","1.43","1.1","1.573","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","30.0","30.0","10206.0","0.42","1.1","0.0","1.93","1.1","2.123","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","31.0","31.0","10206.0","0.41","1.1","0.0","3.46","1.1","3.806","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","1.0","32.0","10206.0","0.4","1.1","0.0","1.44","1.1","1.584","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","2.0","33.0","10206.0","0.4","1.1","0.0","1.46","1.1","1.606","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","3.0","34.0","10206.0","0.39","1.1","0.0","1.52","1.1","1.672","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","4.0","35.0","10206.0","0.38","1.1","0.0","1.4","1.1","1.54","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","5.0","36.0","10206.0","0.38","1.1","0.0","1.08","1.1","1.188","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","6.0","37.0","10206.0","0.37","1.1","0.0","2.04","1.1","2.244","0.04","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","7.0","38.0","10206.0","1.16","1.1","0.0","1.42","1.16","1.562","27.21","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","8.0","39.0","10206.0","1.17","1.1","0.0","1.3","1.17","1.43","4.76","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","9.0","40.0","10206.0","1.14","1.1","0.0","2.0","1.14","2.2","20.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","10.0","41.0","10206.0","1.14","1.1","0.0","1.82","1.14","2.002","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
