" Daily soil water balance output for Sunflower in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Sunflower in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2014.0","11.0","6.0","310.0","27.0","0.83","0.0","0.0","1.92","0.83","1.59","0.0","0.0","0.0","0.0","24.0","24.0","292.61","146.3","268.61","268.61","0.0","","","","","","","","",""
"2014.0","11.0","7.0","311.0","27.0","0.76","0.0","0.0","1.96","0.76","1.5","0.0","0.0","0.0","0.0","25.5","24.0","292.61","146.3","267.11","268.61","0.0","","","","","","","","",""
"2014.0","11.0","8.0","312.0","27.0","0.71","0.0","0.0","1.88","0.71","1.34","0.0","0.0","0.0","0.0","24.0","24.0","292.61","146.3","268.61","268.61","0.0","","","","","","","","",""
"2014.0","11.0","9.0","313.0","27.0","0.67","0.0","0.0","1.84","0.67","1.24","0.0","0.0","0.0","0.0","25.24","24.0","292.61","146.3","267.37","268.61","0.0","","","","","","","","",""
"2014.0","11.0","10.0","314.0","27.0","0.64","0.0","0.0","1.97","0.64","1.26","0.0","0.0","0.0","0.0","24.0","24.0","292.61","146.3","268.61","268.61","0.0","","","","","","","","",""
"2014.0","11.0","11.0","315.0","27.0","0.61","0.0","0.0","1.56","0.61","0.96","0.0","0.0","0.0","0.0","24.96","24.0","292.61","146.3","267.65","268.61","0.0","","","","","","","","",""
"2014.0","11.0","12.0","316.0","27.0","0.59","0.0","0.0","1.44","0.59","0.86","0.0","0.0","0.0","0.0","24.0","24.0","292.61","146.3","268.61","268.61","0.0","","","","","","","","",""
"2014.0","11.0","13.0","317.0","27.0","1.18","0.0","0.0","0.99","1.18","1.17","2.97","2.97","0.0","0.0","22.2","24.0","292.61","146.3","270.41","268.61","0.0","","","","","","","","",""
"2014.0","11.0","14.0","318.0","27.0","1.17","0.0","0.0","1.32","1.17","1.54","1.54","1.54","0.0","0.0","22.2","24.0","292.61","146.3","270.41","268.61","0.0","","","","","","","","",""
"2014.0","11.0","15.0","319.0","27.0","1.17","0.0","0.0","1.29","1.17","1.51","0.0","0.0","0.0","0.0","23.71","24.0","292.61","146.3","268.9","268.61","0.0","","","","","","","","",""
"2014.0","11.0","16.0","320.0","27.0","1.16","0.0","0.0","2.03","1.16","2.35","0.0","0.0","0.0","0.0","26.06","24.0","292.61","146.3","266.55","268.61","0.0","","","","","","","","",""
"2014.0","11.0","17.0","321.0","27.0","1.1","0.0","0.0","1.86","1.1","2.04","0.0","0.0","0.0","0.0","24.0","24.0","292.61","146.3","268.61","268.61","0.0","","","","","","","","",""
"2014.0","11.0","18.0","322.0","27.0","1.0","0.0","0.0","1.39","1.0","1.38","0.0","0.0","0.0","0.0","25.38","24.0","292.61","146.3","267.22","268.61","0.0","","","","","","","","",""
"2014.0","11.0","19.0","323.0","27.0","0.94","0.0","0.0","0.96","0.94","0.9","0.11","0.11","0.0","0.0","24.0","24.0","292.61","146.3","268.61","268.61","0.0","","","","","","","","",""
"2014.0","11.0","20.0","324.0","27.0","1.2","0.0","0.0","0.62","1.2","0.74","3.18","3.18","0.0","0.0","21.56","24.0","292.61","146.3","271.05","268.61","0.0","","","","","","","","",""
"2014.0","11.0","21.0","325.0","27.0","1.19","0.0","0.0","0.8","1.19","0.95","4.75","4.75","0.0","0.0","17.76","24.0","292.61","146.3","274.85","268.61","0.0","","","","","","","","",""
"2014.0","11.0","22.0","326.0","27.0","1.18","0.0","0.0","1.2","1.18","1.42","0.13","0.13","0.0","0.0","19.05","24.0","292.61","146.3","273.56","268.61","0.0","","","","","","","","",""
"2014.0","11.0","23.0","327.0","27.0","1.16","0.0","0.0","1.49","1.16","1.73","2.18","2.18","0.0","0.0","18.6","24.0","292.61","146.3","274.01","268.61","0.0","","","","","","","","",""
"2014.0","11.0","24.0","328.0","27.0","1.16","0.0","0.0","1.37","1.16","1.59","0.0","0.0","0.0","0.0","20.19","24.0","292.61","146.3","272.42","268.61","0.0","","","","","","","","",""
"2014.0","11.0","25.0","329.0","27.0","1.17","0.0","0.0","1.21","1.17","1.41","0.0","0.0","0.0","0.0","21.6","24.0","292.61","146.3","271.01","268.61","0.0","","","","","","","","",""
"2014.0","11.0","26.0","330.0","27.0","1.17","0.0","0.0","1.17","1.17","1.37","0.0","0.0","0.0","0.0","22.97","24.0","292.61","146.3","269.64","268.61","0.0","","","","","","","","",""
"2014.0","11.0","27.0","331.0","27.0","1.11","0.0","0.0","1.16","1.11","1.29","0.0","0.0","0.0","0.0","24.25","24.0","292.61","146.3","268.35","268.61","0.0","","","","","","","","",""
"2014.0","11.0","28.0","332.0","27.0","1.03","0.0","0.0","1.1","1.03","1.13","0.0","0.0","0.0","0.0","24.0","24.0","292.61","146.3","268.61","268.61","0.0","","","","","","","","",""
"2014.0","11.0","29.0","333.0","27.0","1.19","0.0","0.0","0.85","1.19","1.01","2.34","2.34","0.0","0.0","22.67","24.0","292.61","146.3","269.94","268.61","0.0","","","","","","","","",""
"2014.0","11.0","30.0","334.0","27.0","1.19","0.0","0.0","0.66","1.19","0.79","4.36","4.36","0.0","0.0","19.1","24.0","292.61","146.3","273.51","268.61","0.0","","","","","","","","",""
"2014.0","12.0","1.0","335.0","27.0","1.18","0.0","0.0","1.0","1.18","1.18","4.73","4.73","0.0","0.0","15.55","24.0","292.61","146.3","277.06","268.61","0.0","","","","","","","","",""
"2014.0","12.0","2.0","336.0","27.0","1.19","0.0","0.0","0.66","1.19","0.79","1.16","1.16","0.0","0.0","15.17","24.0","292.61","146.3","277.43","268.61","0.0","","","","","","","","",""
"2014.0","12.0","3.0","337.0","27.0","1.18","0.0","0.0","1.08","1.18","1.27","42.69","16.44","0.0","0.0","0.0","24.0","292.61","146.3","292.61","268.61","0.0","","","","","","","","",""
"2014.0","12.0","4.0","338.0","27.0","1.18","0.0","0.0","1.07","1.18","1.26","18.3","1.26","0.0","0.0","0.0","24.0","292.61","146.3","292.61","268.61","0.0","","","","","","","","",""
"2014.0","12.0","5.0","339.0","27.0","1.18","0.0","0.0","0.91","1.18","1.07","0.5","0.5","0.0","0.0","0.57","24.0","292.61","146.3","292.03","268.61","0.0","","","","","","","","",""
"2014.0","12.0","6.0","340.0","27.0","1.18","0.0","0.0","1.07","1.18","1.26","2.74","1.83","0.0","0.0","0.0","24.0","292.61","146.3","292.61","268.61","0.0","","","","","","","","",""
"2014.0","12.0","7.0","341.0","27.0","1.18","0.0","0.0","0.76","1.18","0.9","0.57","0.57","0.0","0.0","0.33","24.0","292.61","146.3","292.28","268.61","0.0","","","","","","","","",""
"2014.0","12.0","8.0","342.0","27.0","1.18","0.0","0.0","0.8","1.18","0.95","0.0","0.0","0.0","0.0","1.28","24.0","292.61","146.3","291.33","268.61","0.0","","","","","","","","",""
"2014.0","12.0","9.0","343.0","27.0","1.19","0.0","0.0","0.66","1.19","0.78","0.0","0.0","0.0","0.0","2.06","24.0","292.61","146.3","290.55","268.61","0.0","","","","","","","","",""
"2014.0","12.0","10.0","344.0","27.0","1.19","0.0","0.0","0.91","1.19","1.08","0.0","0.0","0.0","0.0","3.14","24.0","292.61","146.3","289.47","268.61","0.0","","","","","","","","",""
"2014.0","12.0","11.0","345.0","27.0","1.18","0.0","0.0","1.15","1.18","1.36","0.21","0.21","0.0","0.0","4.29","24.0","292.61","146.3","288.32","268.61","0.0","","","","","","","","",""
"2014.0","12.0","12.0","346.0","27.0","1.2","0.0","0.0","0.6","1.2","0.72","72.49","5.01","0.0","0.0","0.0","24.0","292.61","146.3","292.61","268.61","0.0","","","","","","","","",""
"2014.0","12.0","13.0","347.0","27.0","1.19","0.0","0.0","0.69","1.19","0.82","1.59","0.82","0.0","0.0","0.0","24.0","292.61","146.3","292.61","268.61","0.0","","","","","","","","",""
"2014.0","12.0","14.0","348.0","27.0","1.19","0.0","0.0","0.71","1.19","0.85","0.0","0.0","0.0","0.0","0.85","24.0","292.61","146.3","291.76","268.61","0.0","","","","","","","","",""
"2014.0","12.0","15.0","349.0","27.0","1.18","0.0","0.0","0.89","1.18","1.05","6.89","1.9","0.0","0.0","0.0","24.0","292.61","146.3","292.61","268.61","0.0","","","","","","","","",""
"2014.0","12.0","16.0","350.0","27.0","1.17","0.0","0.0","1.18","1.17","1.38","9.15","1.38","0.0","0.0","0.0","24.0","292.61","146.3","292.61","268.61","0.0","","","","","","","","",""
"2014.0","12.0","17.0","351.0","27.0","1.18","0.0","0.0","0.96","1.18","1.13","11.33","1.13","0.0","0.0","0.0","24.0","292.61","146.3","292.61","268.61","0.0","","","","","","","","",""
"2014.0","12.0","18.0","352.0","27.0","1.18","0.0","0.0","0.91","1.18","1.08","3.87","1.08","0.0","0.0","0.0","24.0","292.61","146.3","292.61","268.61","0.0","","","","","","","","",""
"2014.0","12.0","19.0","353.0","27.0","1.19","0.0","0.0","0.81","1.19","0.96","0.01","0.01","0.0","0.0","0.95","24.0","292.61","146.3","291.66","268.61","0.0","","","","","","","","",""
"2014.0","12.0","20.0","354.0","27.0","1.19","0.0","0.0","0.64","1.19","0.76","14.79","1.71","0.0","0.0","0.0","24.0","292.61","146.3","292.61","268.61","0.0","","","","","","","","",""
"2014.0","12.0","21.0","355.0","27.0","1.19","0.0","0.0","0.97","1.19","1.15","0.0","0.0","0.0","0.0","1.15","24.0","292.61","146.3","291.46","268.61","0.0","","","","","","","","",""
"2014.0","12.0","22.0","356.0","27.0","1.19","0.0","0.0","0.79","1.19","0.94","0.0","0.0","0.0","0.0","2.09","24.0","292.61","146.3","290.52","268.61","0.0","","","","","","","","",""
"2014.0","12.0","23.0","357.0","27.0","1.19","0.0","0.0","0.72","1.19","0.86","0.0","0.0","0.0","0.0","2.95","24.0","292.61","146.3","289.66","268.61","0.0","","","","","","","","",""
"2014.0","12.0","24.0","358.0","27.0","1.19","0.0","0.0","0.99","1.19","1.18","0.0","0.0","0.0","0.0","4.12","24.0","292.61","146.3","288.49","268.61","0.0","","","","","","","","",""
"2014.0","12.0","25.0","359.0","27.0","1.15","0.0","0.0","1.88","1.15","2.17","0.78","0.78","0.0","0.0","5.51","24.0","292.61","146.3","287.1","268.61","0.0","","","","","","","","",""
"2014.0","12.0","26.0","360.0","27.0","1.0","0.0","0.0","1.89","1.0","1.9","0.0","0.0","0.0","0.0","7.41","24.0","292.61","146.3","285.2","268.61","0.0","","","","","","","","",""
"2014.0","12.0","27.0","361.0","27.0","0.96","0.0","0.0","0.76","0.96","0.73","0.0","0.0","0.0","0.0","8.14","24.0","292.61","146.3","284.47","268.61","0.0","","","","","","","","",""
"2014.0","12.0","28.0","362.0","27.0","0.92","0.0","0.0","0.74","0.92","0.68","0.0","0.0","0.0","0.0","8.82","24.0","292.61","146.3","283.79","268.61","0.0","","","","","","","","",""
"2014.0","12.0","29.0","363.0","27.0","0.9","0.0","0.0","0.56","0.9","0.5","0.0","0.0","0.0","0.0","9.32","24.0","292.61","146.3","283.29","268.61","0.0","","","","","","","","",""
"2014.0","12.0","30.0","364.0","27.0","0.8","0.0","0.0","2.49","0.8","1.99","0.0","0.0","0.0","0.0","11.31","24.0","292.61","146.3","281.3","268.61","0.0","","","","","","","","",""
"2014.0","12.0","31.0","365.0","27.0","0.72","0.0","0.0","2.68","0.72","1.94","0.0","0.0","0.0","0.0","13.25","24.0","292.61","146.3","279.36","268.61","0.0","","","","","","","","",""
"2015.0","1.0","1.0","1.0","27.0","0.7","0.0","0.0","0.88","0.7","0.62","0.0","0.0","0.0","0.0","13.87","24.0","292.61","146.3","278.74","268.61","0.0","","","","","","","","",""
"2015.0","1.0","2.0","2.0","27.0","0.69","0.0","0.0","0.86","0.69","0.59","0.0","0.0","0.0","0.0","14.46","24.0","292.61","146.3","278.15","268.61","0.0","","","","","","","","",""
"2015.0","1.0","3.0","3.0","27.0","0.67","0.0","0.0","0.85","0.67","0.57","0.0","0.0","0.0","0.0","15.03","24.0","292.61","146.3","277.58","268.61","0.0","","","","","","","","",""
"2015.0","1.0","4.0","4.0","27.0","0.65","0.0","0.0","0.96","0.65","0.63","0.0","0.0","0.0","0.0","15.65","24.0","292.61","146.3","276.95","268.61","0.0","","","","","","","","",""
"2015.0","1.0","5.0","5.0","27.0","0.64","0.0","0.0","0.87","0.64","0.55","0.0","0.0","0.0","0.0","16.21","24.0","292.61","146.3","276.4","268.61","0.0","","","","","","","","",""
"2015.0","1.0","6.0","6.0","27.0","0.62","0.0","0.0","1.17","0.62","0.72","0.0","0.0","0.0","0.0","16.93","24.0","292.61","146.3","275.67","268.61","0.0","","","","","","","","",""
"2015.0","1.0","7.0","7.0","27.0","0.6","0.0","0.0","1.17","0.6","0.7","0.0","0.0","0.0","0.0","17.64","24.0","292.61","146.3","274.97","268.61","0.0","","","","","","","","",""
"2015.0","1.0","8.0","8.0","27.0","0.59","0.0","0.0","1.0","0.59","0.59","0.0","0.0","0.0","0.0","18.23","24.0","292.61","146.3","274.38","268.61","0.0","","","","","","","","",""
"2015.0","1.0","9.0","9.0","27.0","0.58","0.0","0.0","0.87","0.58","0.5","0.0","0.0","0.0","0.0","18.73","24.0","292.61","146.3","273.88","268.61","0.0","","","","","","","","",""
"2015.0","1.0","10.0","10.0","27.0","0.57","0.0","0.0","0.96","0.57","0.54","0.0","0.0","0.0","0.0","19.27","24.0","292.61","146.3","273.33","268.61","0.0","","","","","","","","",""
"2015.0","1.0","11.0","11.0","27.0","0.56","0.0","0.0","0.88","0.56","0.49","0.0","0.0","0.0","0.0","19.77","24.0","292.61","146.3","272.84","268.61","0.0","","","","","","","","",""
"2015.0","1.0","12.0","12.0","27.0","0.55","0.0","0.0","1.05","0.55","0.57","0.0","0.0","0.0","0.0","20.34","24.0","292.61","146.3","272.27","268.61","0.0","","","","","","","","",""
"2015.0","1.0","13.0","13.0","27.0","0.53","0.0","0.0","1.18","0.53","0.63","0.0","0.0","0.0","0.0","20.97","24.0","292.61","146.3","271.64","268.61","0.0","","","","","","","","",""
"2015.0","1.0","14.0","14.0","27.0","0.53","0.0","0.0","0.69","0.53","0.36","0.0","0.0","0.0","0.0","21.33","24.0","292.61","146.3","271.27","268.61","0.0","","","","","","","","",""
"2015.0","1.0","15.0","15.0","27.0","0.52","0.0","0.0","0.69","0.52","0.36","0.0","0.0","0.0","0.0","21.69","24.0","292.61","146.3","270.91","268.61","0.0","","","","","","","","",""
"2015.0","1.0","16.0","16.0","27.0","0.52","0.0","0.0","0.57","0.52","0.29","0.0","0.0","0.0","0.0","21.99","24.0","292.61","146.3","270.62","268.61","0.0","","","","","","","","",""
"2015.0","1.0","17.0","17.0","27.0","0.51","0.0","0.0","0.56","0.51","0.29","0.01","0.01","0.0","0.0","22.27","24.0","292.61","146.3","270.34","268.61","0.0","","","","","","","","",""
"2015.0","1.0","18.0","18.0","27.0","0.51","0.0","0.0","0.61","0.51","0.31","0.0","0.0","0.0","0.0","22.58","24.0","292.61","146.3","270.03","268.61","0.0","","","","","","","","",""
"2015.0","1.0","19.0","19.0","27.0","0.5","0.0","0.0","0.7","0.5","0.35","0.0","0.0","0.0","0.0","22.93","24.0","292.61","146.3","269.68","268.61","0.0","","","","","","","","",""
"2015.0","1.0","20.0","20.0","27.0","0.5","0.0","0.0","0.79","0.5","0.39","0.0","0.0","0.0","0.0","23.32","24.0","292.61","146.3","269.29","268.61","0.0","","","","","","","","",""
"2015.0","1.0","21.0","21.0","27.0","0.49","0.0","0.0","0.98","0.49","0.48","0.0","0.0","0.0","0.0","23.8","24.0","292.61","146.3","268.81","268.61","0.0","","","","","","","","",""
"2015.0","1.0","22.0","22.0","27.0","0.48","0.0","0.0","0.73","0.48","0.35","0.0","0.0","0.0","0.0","24.15","24.0","292.61","146.3","268.46","268.61","0.0","","","","","","","","",""
"2015.0","1.0","23.0","23.0","27.0","0.48","0.0","0.0","0.98","0.48","0.47","0.0","0.0","0.0","0.0","24.0","24.0","292.61","146.3","268.61","268.61","0.0","","","","","","","","",""
"2015.0","1.0","24.0","24.0","27.0","0.47","0.0","0.0","0.94","0.47","0.44","0.0","0.0","0.0","0.0","24.44","24.0","292.61","146.3","268.17","268.61","0.0","","","","","","","","",""
"2015.0","1.0","25.0","25.0","27.0","0.46","0.0","0.0","1.02","0.46","0.47","0.0","0.0","0.0","0.0","24.0","24.0","292.61","146.3","268.61","268.61","0.0","","","","","","","","",""
"2015.0","1.0","26.0","26.0","27.0","0.46","0.0","0.0","1.28","0.46","0.58","0.0","0.0","0.0","0.0","24.58","24.0","292.61","146.3","268.02","268.61","0.0","","","","","","","","",""
"2015.0","1.0","27.0","27.0","27.0","0.45","0.0","0.0","1.12","0.45","0.5","0.0","0.0","0.0","0.0","24.0","24.0","292.61","146.3","268.61","268.61","0.0","","","","","","","","",""
"2015.0","1.0","28.0","28.0","27.0","0.44","0.0","0.0","1.53","0.44","0.67","0.0","0.0","0.0","0.0","24.67","24.0","292.61","146.3","267.93","268.61","0.0","","","","","","","","",""
"2015.0","1.0","29.0","29.0","27.0","0.43","0.0","0.0","1.43","0.43","0.62","0.0","0.0","0.0","0.0","24.0","24.0","292.61","146.3","268.61","268.61","0.0","","","","","","","","",""
"2015.0","1.0","30.0","30.0","27.0","0.42","0.0","0.0","1.93","0.42","0.82","0.0","0.0","0.0","0.0","24.82","24.0","292.61","146.3","267.79","268.61","0.0","","","","","","","","",""
"2015.0","1.0","31.0","31.0","27.0","0.41","0.0","0.0","3.46","0.41","1.41","0.0","0.0","0.0","0.0","24.0","24.0","292.61","146.3","268.61","268.61","0.0","","","","","","","","",""
"2015.0","2.0","1.0","32.0","27.0","0.4","0.0","0.0","1.44","0.4","0.58","0.0","0.0","0.0","0.0","24.58","24.0","292.61","146.3","268.03","268.61","0.0","","","","","","","","",""
"2015.0","2.0","2.0","33.0","27.0","0.4","0.0","0.0","1.46","0.4","0.58","0.0","0.0","0.0","0.0","24.0","24.0","292.61","146.3","268.61","268.61","0.0","","","","","","","","",""
"2015.0","2.0","3.0","34.0","27.0","0.39","0.0","0.0","1.52","0.39","0.59","0.0","0.0","0.0","0.0","24.59","24.0","292.61","146.3","268.02","268.61","0.0","","","","","","","","",""
"2015.0","2.0","4.0","35.0","27.0","0.38","0.0","0.0","1.4","0.38","0.54","0.0","0.0","0.0","0.0","24.0","24.0","292.61","146.3","268.61","268.61","0.0","","","","","","","","",""
"2015.0","2.0","5.0","36.0","27.0","0.38","0.0","0.0","1.08","0.38","0.41","0.0","0.0","0.0","0.0","24.41","24.0","292.61","146.3","268.2","268.61","0.0","","","","","","","","",""
"2015.0","2.0","6.0","37.0","27.0","0.37","0.0","0.0","2.04","0.37","0.76","0.04","0.04","0.0","0.0","24.0","24.0","292.61","146.3","268.61","268.61","0.0","","","","","","","","",""
"2015.0","2.0","7.0","38.0","27.0","1.16","0.0","0.0","1.42","1.16","1.65","27.21","25.65","0.0","0.0","0.0","24.0","292.61","146.3","292.61","268.61","0.0","","","","","","","","",""
"2015.0","2.0","8.0","39.0","27.0","1.17","0.0","0.0","1.3","1.17","1.52","4.76","1.52","0.0","0.0","0.0","24.0","292.61","146.3","292.61","268.61","0.0","","","","","","","","",""
