" Daily soil water balance output for Alfalfa in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Alfalfa in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","",""
"2014.0","10.0","16.0","289.0","44546.0","0.08","0.9","0.0","2.77","0.9","2.49","0.0","0.0","0.0","0.0","23.46","126.97","600.92","300.46","577.46","473.95","0.0","","","","","","",""
"2014.0","10.0","17.0","290.0","44546.0","0.08","0.9","0.0","2.57","0.9","2.31","0.0","0.0","0.0","0.0","25.78","126.97","600.92","300.46","575.14","473.95","0.0","","","","","","",""
"2014.0","10.0","18.0","291.0","44546.0","0.08","0.9","0.0","2.93","0.9","2.64","0.0","0.0","0.0","0.0","28.41","126.97","600.92","300.46","572.51","473.95","0.0","","","","","","",""
"2014.0","10.0","19.0","292.0","44546.0","0.08","0.9","0.0","2.95","0.9","2.66","0.0","0.0","0.0","0.0","31.07","126.97","600.92","300.46","569.85","473.95","0.0","","","","","","",""
"2014.0","10.0","20.0","293.0","44546.0","0.08","0.9","0.0","2.41","0.9","2.17","0.0","0.0","0.0","0.0","33.24","126.97","600.92","300.46","567.68","473.95","0.0","","","","","","",""
"2014.0","10.0","21.0","294.0","44546.0","0.08","0.9","0.0","2.78","0.9","2.5","0.0","0.0","0.0","0.0","35.74","126.97","600.92","300.46","565.18","473.95","0.0","","","","","","",""
"2014.0","10.0","22.0","295.0","44546.0","0.08","0.9","0.0","2.61","0.9","2.35","0.0","0.0","0.0","0.0","38.09","126.97","600.92","300.46","562.83","473.95","0.0","","","","","","",""
"2014.0","10.0","23.0","296.0","44546.0","0.08","0.9","0.0","2.6","0.9","2.34","0.0","0.0","0.0","0.0","40.43","126.97","600.92","300.46","560.49","473.95","0.0","","","","","","",""
"2014.0","10.0","24.0","297.0","44546.0","0.08","0.9","0.0","2.62","0.9","2.36","0.0","0.0","0.0","0.0","42.79","126.97","600.92","300.46","558.13","473.95","0.0","","","","","","",""
"2014.0","10.0","25.0","298.0","44546.0","0.08","0.9","0.0","2.22","0.9","2.0","0.03","0.03","0.0","0.0","44.75","126.97","600.92","300.46","556.16","473.95","0.0","","","","","","",""
"2014.0","10.0","26.0","299.0","44546.0","0.08","0.9","0.0","2.76","0.9","2.48","0.77","0.77","0.0","0.0","46.47","126.97","600.92","300.46","554.45","473.95","0.0","","","","","","",""
"2014.0","10.0","27.0","300.0","44546.0","0.08","0.9","0.0","2.56","0.9","2.3","0.0","0.0","0.0","0.0","48.77","126.97","600.92","300.46","552.15","473.95","0.0","","","","","","",""
"2014.0","10.0","28.0","301.0","44546.0","0.08","0.9","0.0","2.42","0.9","2.18","0.0","0.0","0.0","0.0","50.95","126.97","600.92","300.46","549.97","473.95","0.0","","","","","","",""
"2014.0","10.0","29.0","302.0","44546.0","0.08","0.9","0.0","2.46","0.9","2.21","0.0","0.0","0.0","0.0","53.16","126.97","600.92","300.46","547.75","473.95","0.0","","","","","","",""
"2014.0","10.0","30.0","303.0","44546.0","0.08","0.9","0.0","2.53","0.9","2.28","0.0","0.0","0.0","0.0","55.44","126.97","600.92","300.46","545.48","473.95","0.0","","","","","","",""
"2014.0","10.0","31.0","304.0","44546.0","0.08","0.9","0.0","1.44","0.9","1.3","0.38","0.38","0.0","0.0","56.36","126.97","600.92","300.46","544.56","473.95","0.0","","","","","","",""
"2014.0","11.0","1.0","305.0","44546.0","1.15","0.9","0.0","1.78","1.15","2.04","8.7","8.7","0.0","0.0","49.7","126.97","600.92","300.46","551.22","473.95","0.0","","","","","","",""
"2014.0","11.0","2.0","306.0","44546.0","1.14","0.9","0.0","2.19","1.14","2.5","0.0","0.0","0.0","0.0","52.2","126.97","600.92","300.46","548.72","473.95","0.0","","","","","","",""
"2014.0","11.0","3.0","307.0","44546.0","1.14","0.9","0.0","1.79","1.14","2.05","0.0","0.0","0.0","0.0","54.25","126.97","600.92","300.46","546.67","473.95","0.0","","","","","","",""
"2014.0","11.0","4.0","308.0","44546.0","1.02","0.9","0.0","1.75","1.02","1.78","0.0","0.0","0.0","0.0","56.02","126.97","600.92","300.46","544.9","473.95","0.0","","","","","","",""
"2014.0","11.0","5.0","309.0","44546.0","0.91","0.9","0.0","1.91","0.91","1.73","0.0","0.0","0.0","0.0","57.75","126.97","600.92","300.46","543.16","473.95","0.0","","","","","","",""
"2014.0","11.0","6.0","310.0","44546.0","0.83","0.9","0.0","1.94","0.9","1.75","0.0","0.0","0.0","0.0","59.5","126.97","600.92","300.46","541.42","473.95","0.0","","","","","","",""
"2014.0","11.0","7.0","311.0","44546.0","0.76","0.9","0.0","2.02","0.9","1.82","0.0","0.0","0.0","0.0","61.32","126.97","600.92","300.46","539.6","473.95","0.0","","","","","","",""
"2014.0","11.0","8.0","312.0","44546.0","0.71","0.9","0.0","1.86","0.9","1.67","0.0","0.0","0.0","0.0","62.99","126.97","600.92","300.46","537.93","473.95","0.0","","","","","","",""
"2014.0","11.0","9.0","313.0","44546.0","0.67","0.9","0.0","1.86","0.9","1.67","0.0","0.0","0.0","0.0","64.67","126.97","600.92","300.46","536.25","473.95","0.0","","","","","","",""
"2014.0","11.0","10.0","314.0","44546.0","0.64","0.9","0.0","1.86","0.9","1.67","0.0","0.0","0.0","0.0","66.34","126.97","600.92","300.46","534.58","473.95","0.0","","","","","","",""
"2014.0","11.0","11.0","315.0","44546.0","0.62","0.9","0.0","1.5","0.9","1.35","0.0","0.0","0.0","0.0","67.69","126.97","600.92","300.46","533.23","473.95","0.0","","","","","","",""
"2014.0","11.0","12.0","316.0","44546.0","0.59","0.9","0.0","1.55","0.9","1.4","0.0","0.0","0.0","0.0","69.08","126.97","600.92","300.46","531.83","473.95","0.0","","","","","","",""
"2014.0","11.0","13.0","317.0","44546.0","1.18","0.9","0.0","1.1","1.18","1.29","5.8","5.8","0.0","0.0","64.58","126.97","600.92","300.46","536.34","473.95","0.0","","","","","","",""
"2014.0","11.0","14.0","318.0","44546.0","1.16","0.9","0.0","1.42","1.16","1.65","1.33","1.33","0.0","0.0","64.9","126.97","600.92","300.46","536.02","473.95","0.0","","","","","","",""
"2014.0","11.0","15.0","319.0","44546.0","1.16","0.9","0.0","1.34","1.16","1.56","0.0","0.0","0.0","0.0","66.46","126.97","600.92","300.46","534.46","473.95","0.0","","","","","","",""
"2014.0","11.0","16.0","320.0","44546.0","1.16","0.9","0.0","1.88","1.16","2.18","0.0","0.0","0.0","0.0","68.64","126.97","600.92","300.46","532.28","473.95","0.0","","","","","","",""
"2014.0","11.0","17.0","321.0","44546.0","1.11","0.9","0.0","1.72","1.11","1.91","0.0","0.0","0.0","0.0","70.55","126.97","600.92","300.46","530.37","473.95","0.0","","","","","","",""
"2014.0","11.0","18.0","322.0","44546.0","1.01","0.9","0.0","1.32","1.01","1.33","0.0","0.0","0.0","0.0","71.88","126.97","600.92","300.46","529.04","473.95","0.0","","","","","","",""
"2014.0","11.0","19.0","323.0","44546.0","0.94","0.9","0.0","1.22","0.94","1.15","0.04","0.04","0.0","0.0","72.98","126.97","600.92","300.46","527.93","473.95","0.0","","","","","","",""
"2014.0","11.0","20.0","324.0","44546.0","1.19","0.9","0.0","0.65","1.19","0.78","2.17","2.17","0.0","0.0","71.59","126.97","600.92","300.46","529.33","473.95","0.0","","","","","","",""
"2014.0","11.0","21.0","325.0","44546.0","1.18","0.9","0.0","0.91","1.18","1.08","3.54","3.54","0.0","0.0","69.13","126.97","600.92","300.46","531.79","473.95","0.0","","","","","","",""
"2014.0","11.0","22.0","326.0","44546.0","1.18","0.9","0.0","1.19","1.18","1.4","0.14","0.14","0.0","0.0","70.39","126.97","600.92","300.46","530.53","473.95","0.0","","","","","","",""
"2014.0","11.0","23.0","327.0","44546.0","1.16","0.9","0.0","1.55","1.16","1.79","2.92","2.92","0.0","0.0","69.26","126.97","600.92","300.46","531.65","473.95","0.0","","","","","","",""
"2014.0","11.0","24.0","328.0","44546.0","1.16","0.9","0.0","1.38","1.16","1.6","0.0","0.0","0.0","0.0","70.87","126.97","600.92","300.46","530.05","473.95","0.0","","","","","","",""
"2014.0","11.0","25.0","329.0","44546.0","1.16","0.9","0.0","1.24","1.16","1.44","0.0","0.0","0.0","0.0","72.31","126.97","600.92","300.46","528.61","473.95","0.0","","","","","","",""
"2014.0","11.0","26.0","330.0","44546.0","1.17","0.9","0.0","1.26","1.17","1.47","0.0","0.0","0.0","0.0","73.78","126.97","600.92","300.46","527.14","473.95","0.0","","","","","","",""
"2014.0","11.0","27.0","331.0","44546.0","1.09","0.9","0.0","1.24","1.09","1.35","0.0","0.0","0.0","0.0","75.13","126.97","600.92","300.46","525.79","473.95","0.0","","","","","","",""
"2014.0","11.0","28.0","332.0","44546.0","1.0","0.9","0.0","1.2","1.0","1.2","0.0","0.0","0.0","0.0","76.33","126.97","600.92","300.46","524.59","473.95","0.0","","","","","","",""
"2014.0","11.0","29.0","333.0","44546.0","0.95","0.9","0.0","0.81","0.95","0.77","0.93","0.93","0.0","0.0","76.17","126.97","600.92","300.46","524.75","473.95","0.0","","","","","","",""
"2014.0","11.0","30.0","334.0","44546.0","1.19","0.9","0.0","0.67","1.19","0.8","1.78","1.78","0.0","0.0","75.19","126.97","600.92","300.46","525.73","473.95","0.0","","","","","","",""
"2014.0","12.0","1.0","335.0","44546.0","1.18","0.9","0.0","1.01","1.18","1.19","11.06","11.06","0.0","0.0","65.32","126.97","600.92","300.46","535.6","473.95","0.0","","","","","","",""
"2014.0","12.0","2.0","336.0","44546.0","1.2","0.9","0.0","0.62","1.2","0.74","7.1","7.1","0.0","0.0","58.96","126.97","600.92","300.46","541.95","473.95","0.0","","","","","","",""
"2014.0","12.0","3.0","337.0","44546.0","1.17","0.9","0.0","1.27","1.17","1.48","28.07","28.07","0.0","0.0","32.38","126.97","600.92","300.46","568.54","473.95","0.0","","","","","","",""
"2014.0","12.0","4.0","338.0","44546.0","1.17","0.9","0.0","1.14","1.17","1.34","8.49","8.49","0.0","0.0","25.23","126.97","600.92","300.46","575.69","473.95","0.0","","","","","","",""
"2014.0","12.0","5.0","339.0","44546.0","1.18","0.9","0.0","0.92","1.18","1.08","0.14","0.14","0.0","0.0","26.17","126.97","600.92","300.46","574.75","473.95","0.0","","","","","","",""
"2014.0","12.0","6.0","340.0","44546.0","1.18","0.9","0.0","1.12","1.18","1.32","2.24","2.24","0.0","0.0","25.25","126.97","600.92","300.46","575.67","473.95","0.0","","","","","","",""
"2014.0","12.0","7.0","341.0","44546.0","1.18","0.9","0.0","0.75","1.18","0.89","0.28","0.28","0.0","0.0","25.86","126.97","600.92","300.46","575.06","473.95","0.0","","","","","","",""
"2014.0","12.0","8.0","342.0","44546.0","1.18","0.9","0.0","0.87","1.18","1.03","0.21","0.21","0.0","0.0","26.68","126.97","600.92","300.46","574.24","473.95","0.0","","","","","","",""
"2014.0","12.0","9.0","343.0","44546.0","1.19","0.9","0.0","0.69","1.19","0.82","0.0","0.0","0.0","0.0","27.49","126.97","600.92","300.46","573.42","473.95","0.0","","","","","","",""
"2014.0","12.0","10.0","344.0","44546.0","1.18","0.9","0.0","0.96","1.18","1.14","0.0","0.0","0.0","0.0","28.63","126.97","600.92","300.46","572.29","473.95","0.0","","","","","","",""
"2014.0","12.0","11.0","345.0","44546.0","1.17","0.9","0.0","1.43","1.17","1.67","0.0","0.0","0.0","0.0","30.31","126.97","600.92","300.46","570.61","473.95","0.0","","","","","","",""
"2014.0","12.0","12.0","346.0","44546.0","1.2","0.9","0.0","0.62","1.2","0.74","63.4","31.05","0.0","0.0","0.0","126.97","600.92","300.46","600.92","473.95","0.0","","","","","","",""
"2014.0","12.0","13.0","347.0","44546.0","1.19","0.9","0.0","0.7","1.19","0.83","1.49","0.83","0.0","0.0","0.0","126.97","600.92","300.46","600.92","473.95","0.0","","","","","","",""
"2014.0","12.0","14.0","348.0","44546.0","1.19","0.9","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","0.93","126.97","600.92","300.46","599.99","473.95","0.0","","","","","","",""
"2014.0","12.0","15.0","349.0","44546.0","1.18","0.9","0.0","1.03","1.18","1.21","7.42","2.14","0.0","0.0","0.0","126.97","600.92","300.46","600.92","473.95","0.0","","","","","","",""
"2014.0","12.0","16.0","350.0","44546.0","1.17","0.9","0.0","1.27","1.17","1.48","8.63","1.48","0.0","0.0","0.0","126.97","600.92","300.46","600.92","473.95","0.0","","","","","","",""
"2014.0","12.0","17.0","351.0","44546.0","1.18","0.9","0.0","0.95","1.18","1.12","10.65","1.12","0.0","0.0","0.0","126.97","600.92","300.46","600.92","473.95","0.0","","","","","","",""
"2014.0","12.0","18.0","352.0","44546.0","1.18","0.9","0.0","1.01","1.18","1.19","3.76","1.19","0.0","0.0","0.0","126.97","600.92","300.46","600.92","473.95","0.0","","","","","","",""
"2014.0","12.0","19.0","353.0","44546.0","1.18","0.9","0.0","0.86","1.18","1.02","0.0","0.0","0.0","0.0","1.02","126.97","600.92","300.46","599.9","473.95","0.0","","","","","","",""
"2014.0","12.0","20.0","354.0","44546.0","1.19","0.9","0.0","0.69","1.19","0.82","8.9","1.84","0.0","0.0","0.0","126.97","600.92","300.46","600.92","473.95","0.0","","","","","","",""
"2014.0","12.0","21.0","355.0","44546.0","1.19","0.9","0.0","0.99","1.19","1.17","0.18","0.18","0.0","0.0","0.99","126.97","600.92","300.46","599.92","473.95","0.0","","","","","","",""
"2014.0","12.0","22.0","356.0","44546.0","1.19","0.9","0.0","0.76","1.19","0.9","0.0","0.0","0.0","0.0","1.9","126.97","600.92","300.46","599.02","473.95","0.0","","","","","","",""
"2014.0","12.0","23.0","357.0","44546.0","1.19","0.9","0.0","0.75","1.19","0.89","0.0","0.0","0.0","0.0","2.79","126.97","600.92","300.46","598.13","473.95","0.0","","","","","","",""
"2014.0","12.0","24.0","358.0","44546.0","1.19","0.9","0.0","0.93","1.19","1.1","0.0","0.0","0.0","0.0","3.89","126.97","600.92","300.46","597.03","473.95","0.0","","","","","","",""
"2014.0","12.0","25.0","359.0","44546.0","1.14","0.9","0.0","2.0","1.14","2.28","0.99","0.99","0.0","0.0","5.18","126.97","600.92","300.46","595.73","473.95","0.0","","","","","","",""
"2014.0","12.0","26.0","360.0","44546.0","1.01","0.9","0.0","1.63","1.01","1.65","0.0","0.0","0.0","0.0","6.84","126.97","600.92","300.46","594.08","473.95","0.0","","","","","","",""
"2014.0","12.0","27.0","361.0","44546.0","0.97","0.9","0.0","0.77","0.97","0.74","0.0","0.0","0.0","0.0","7.58","126.97","600.92","300.46","593.34","473.95","0.0","","","","","","",""
"2014.0","12.0","28.0","362.0","44546.0","0.93","0.9","0.0","0.77","0.93","0.71","0.0","0.0","0.0","0.0","8.29","126.97","600.92","300.46","592.63","473.95","0.0","","","","","","",""
"2014.0","12.0","29.0","363.0","44546.0","0.9","0.9","0.0","0.56","0.9","0.5","0.0","0.0","0.0","0.0","8.8","126.97","600.92","300.46","592.12","473.95","0.0","","","","","","",""
"2014.0","12.0","30.0","364.0","44546.0","0.8","0.9","0.0","2.46","0.9","2.21","0.0","0.0","0.0","0.0","11.01","126.97","600.92","300.46","589.91","473.95","0.0","","","","","","",""
"2014.0","12.0","31.0","365.0","44546.0","0.73","0.9","0.0","2.55","0.9","2.3","0.0","0.0","0.0","0.0","13.31","126.97","600.92","300.46","587.61","473.95","0.0","","","","","","",""
"2015.0","1.0","1.0","1.0","44546.0","0.71","0.9","0.0","0.94","0.9","0.85","0.0","0.0","0.0","0.0","14.15","122.96","600.92","300.46","586.77","477.96","0.0","","","","","","",""
"2015.0","1.0","2.0","2.0","44546.0","0.69","0.9","0.0","0.91","0.9","0.82","0.0","0.0","0.0","0.0","14.97","122.96","600.92","300.46","585.95","477.96","0.0","","","","","","",""
"2015.0","1.0","3.0","3.0","44546.0","0.67","0.9","0.0","0.91","0.9","0.82","0.0","0.0","0.0","0.0","15.79","122.96","600.92","300.46","585.13","477.96","0.0","","","","","","",""
"2015.0","1.0","4.0","4.0","44546.0","0.65","0.9","0.0","1.0","0.9","0.9","0.0","0.0","0.0","0.0","16.69","122.96","600.92","300.46","584.23","477.96","0.0","","","","","","",""
"2015.0","1.0","5.0","5.0","44546.0","0.64","0.9","0.0","0.96","0.9","0.86","0.0","0.0","0.0","0.0","17.55","122.96","600.92","300.46","583.36","477.96","0.0","","","","","","",""
"2015.0","1.0","6.0","6.0","44546.0","0.62","0.9","0.0","1.22","0.9","1.1","0.0","0.0","0.0","0.0","18.65","122.96","600.92","300.46","582.27","477.96","0.0","","","","","","",""
"2015.0","1.0","7.0","7.0","44546.0","0.6","0.9","0.0","1.2","0.9","1.08","0.0","0.0","0.0","0.0","19.73","122.96","600.92","300.46","581.19","477.96","0.0","","","","","","",""
"2015.0","1.0","8.0","8.0","44546.0","0.59","0.9","0.0","1.05","0.9","0.95","0.0","0.0","0.0","0.0","20.68","122.96","600.92","300.46","580.24","477.96","0.0","","","","","","",""
"2015.0","1.0","9.0","9.0","44546.0","0.58","0.9","0.0","0.9","0.9","0.81","0.0","0.0","0.0","0.0","21.49","122.96","600.92","300.46","579.43","477.96","0.0","","","","","","",""
"2015.0","1.0","10.0","10.0","44546.0","0.56","0.9","0.0","1.04","0.9","0.94","0.0","0.0","0.0","0.0","22.42","122.96","600.92","300.46","578.5","477.96","0.0","","","","","","",""
"2015.0","1.0","11.0","11.0","44546.0","0.55","0.9","0.0","0.89","0.9","0.8","0.0","0.0","0.0","0.0","23.22","122.96","600.92","300.46","577.69","477.96","0.0","","","","","","",""
"2015.0","1.0","12.0","12.0","44546.0","0.54","0.9","0.0","0.99","0.9","0.89","0.0","0.0","0.0","0.0","24.11","122.96","600.92","300.46","576.8","477.96","0.0","","","","","","",""
"2015.0","1.0","13.0","13.0","44546.0","0.53","0.9","0.0","1.0","0.9","0.9","0.0","0.0","0.0","0.0","25.01","122.96","600.92","300.46","575.9","477.96","0.0","","","","","","",""
"2015.0","1.0","14.0","14.0","44546.0","0.53","0.9","0.0","0.64","0.9","0.58","0.0","0.0","0.0","0.0","25.59","122.96","600.92","300.46","575.33","477.96","0.0","","","","","","",""
"2015.0","1.0","15.0","15.0","44546.0","0.52","0.9","0.0","0.67","0.9","0.6","0.0","0.0","0.0","0.0","26.19","122.96","600.92","300.46","574.72","477.96","0.0","","","","","","",""
"2015.0","1.0","16.0","16.0","44546.0","0.52","0.9","0.0","0.64","0.9","0.58","0.0","0.0","0.0","0.0","26.77","122.96","600.92","300.46","574.15","477.96","0.0","","","","","","",""
"2015.0","1.0","17.0","17.0","44546.0","0.51","0.9","0.0","0.53","0.9","0.48","0.0","0.0","0.0","0.0","27.25","122.96","600.92","300.46","573.67","477.96","0.0","","","","","","",""
"2015.0","1.0","18.0","18.0","44546.0","0.51","0.9","0.0","0.61","0.9","0.55","0.0","0.0","0.0","0.0","27.8","122.96","600.92","300.46","573.12","477.96","0.0","","","","","","",""
"2015.0","1.0","19.0","19.0","44546.0","0.5","0.9","0.0","0.55","0.9","0.5","0.03","0.03","0.0","0.0","28.26","122.96","600.92","300.46","572.66","477.96","0.0","","","","","","",""
"2015.0","1.0","20.0","20.0","44546.0","0.5","0.9","0.0","0.74","0.9","0.67","0.0","0.0","0.0","0.0","28.93","122.96","600.92","300.46","571.99","477.96","0.0","","","","","","",""
"2015.0","1.0","21.0","21.0","44546.0","0.49","0.9","0.0","1.03","0.9","0.93","0.0","0.0","0.0","0.0","29.85","122.96","600.92","300.46","571.06","477.96","0.0","","","","","","",""
"2015.0","1.0","22.0","22.0","44546.0","0.48","0.9","0.0","0.7","0.9","0.63","0.0","0.0","0.0","0.0","30.48","122.96","600.92","300.46","570.43","477.96","0.0","","","","","","",""
"2015.0","1.0","23.0","23.0","44546.0","0.48","0.9","0.0","0.94","0.9","0.85","0.0","0.0","0.0","0.0","31.33","122.96","600.92","300.46","569.59","477.96","0.0","","","","","","",""
"2015.0","1.0","24.0","24.0","44546.0","0.47","0.9","0.0","0.86","0.9","0.77","0.0","0.0","0.0","0.0","32.1","122.96","600.92","300.46","568.81","477.96","0.0","","","","","","",""
"2015.0","1.0","25.0","25.0","44546.0","0.47","0.9","0.0","1.0","0.9","0.9","0.0","0.0","0.0","0.0","33.0","122.96","600.92","300.46","567.91","477.96","0.0","","","","","","",""
"2015.0","1.0","26.0","26.0","44546.0","0.46","0.9","0.0","1.2","0.9","1.08","0.0","0.0","0.0","0.0","34.08","122.96","600.92","300.46","566.83","477.96","0.0","","","","","","",""
"2015.0","1.0","27.0","27.0","44546.0","0.45","0.9","0.0","1.17","0.9","1.05","0.0","0.0","0.0","0.0","35.14","122.96","600.92","300.46","565.78","477.96","0.0","","","","","","",""
"2015.0","1.0","28.0","28.0","44546.0","0.44","0.9","0.0","1.46","0.9","1.31","0.0","0.0","0.0","0.0","36.45","122.96","600.92","300.46","564.47","477.96","0.0","","","","","","",""
"2015.0","1.0","29.0","29.0","44546.0","0.44","0.9","0.0","1.36","0.9","1.22","0.0","0.0","0.0","0.0","37.67","122.96","600.92","300.46","563.24","477.96","0.0","","","","","","",""
"2015.0","1.0","30.0","30.0","44546.0","0.43","0.9","0.0","1.73","0.9","1.56","0.0","0.0","0.0","0.0","39.23","122.96","600.92","300.46","561.69","477.96","0.0","","","","","","",""
"2015.0","1.0","31.0","31.0","44546.0","0.41","0.9","0.0","2.98","0.9","2.68","0.0","0.0","0.0","0.0","41.91","122.96","600.92","300.46","559.0","477.96","0.0","","","","","","",""
"2015.0","2.0","1.0","32.0","44546.0","0.41","0.9","0.0","1.53","0.9","1.38","0.0","0.0","0.0","0.0","43.29","122.96","600.92","300.46","557.63","477.96","0.0","","","","","","",""
"2015.0","2.0","2.0","33.0","44546.0","0.4","0.9","0.0","1.54","0.9","1.39","0.0","0.0","0.0","0.0","44.68","122.96","600.92","300.46","556.24","477.96","0.0","","","","","","",""
"2015.0","2.0","3.0","34.0","44546.0","0.39","0.9","0.0","1.62","0.9","1.46","0.0","0.0","0.0","0.0","46.13","122.96","600.92","300.46","554.78","477.96","0.0","","","","","","",""
"2015.0","2.0","4.0","35.0","44546.0","0.39","0.9","0.0","1.46","0.9","1.31","0.01","0.01","0.0","0.0","47.44","122.96","600.92","300.46","553.48","477.96","0.0","","","","","","",""
"2015.0","2.0","5.0","36.0","44546.0","0.38","0.9","0.0","1.06","0.9","0.95","0.0","0.0","0.0","0.0","48.39","122.96","600.92","300.46","552.53","477.96","0.0","","","","","","",""
"2015.0","2.0","6.0","37.0","44546.0","0.38","0.9","0.0","2.4","0.9","2.16","0.23","0.23","0.0","0.0","50.32","122.96","600.92","300.46","550.6","477.96","0.0","","","","","","",""
"2015.0","2.0","7.0","38.0","44546.0","1.16","0.9","0.0","1.48","1.16","1.72","13.13","13.13","0.0","0.0","38.91","122.96","600.92","300.46","562.01","477.96","0.0","","","","","","",""
"2015.0","2.0","8.0","39.0","44546.0","1.16","0.9","0.0","1.56","1.16","1.81","12.26","12.26","0.0","0.0","28.46","122.96","600.92","300.46","572.46","477.96","0.0","","","","","","",""
"2015.0","2.0","9.0","40.0","44546.0","1.14","0.9","0.0","2.12","1.14","2.41","13.42","13.42","0.0","0.0","17.44","122.96","600.92","300.46","583.47","477.96","0.0","","","","","","",""
"2015.0","2.0","10.0","41.0","44546.0","1.14","0.9","0.0","1.87","1.14","2.13","0.0","0.0","0.0","0.0","19.58","122.96","600.92","300.46","581.34","477.96","0.0","","","","","","",""
