" Daily soil water balance output for Tomato Fresh in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Tomato Fresh in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"2014.0","11.0","6.0","310.0","4343.0","0.08","0.0","0.0","1.91","0.08","0.15","0.0","0.0","0.0","0.0","21.2","25.5","518.16","259.08","496.96","492.66","0.0","","","","","","","","",""
"2014.0","11.0","7.0","311.0","4343.0","0.08","0.0","0.0","1.94","0.08","0.16","0.0","0.0","0.0","0.0","21.36","25.5","518.16","259.08","496.8","492.66","0.0","","","","","","","","",""
"2014.0","11.0","8.0","312.0","4343.0","0.08","0.0","0.0","1.87","0.08","0.15","0.0","0.0","0.0","0.0","21.51","25.5","518.16","259.08","496.65","492.66","0.0","","","","","","","","",""
"2014.0","11.0","9.0","313.0","4343.0","0.08","0.0","0.0","1.83","0.08","0.15","0.0","0.0","0.0","0.0","21.65","25.5","518.16","259.08","496.51","492.66","0.0","","","","","","","","",""
"2014.0","11.0","10.0","314.0","4343.0","0.08","0.0","0.0","1.84","0.08","0.15","0.0","0.0","0.0","0.0","21.8","25.5","518.16","259.08","496.36","492.66","0.0","","","","","","","","",""
"2014.0","11.0","11.0","315.0","4343.0","0.08","0.0","0.0","1.55","0.08","0.12","0.0","0.0","0.0","0.0","21.93","25.5","518.16","259.08","496.23","492.66","0.0","","","","","","","","",""
"2014.0","11.0","12.0","316.0","4343.0","0.08","0.0","0.0","1.54","0.08","0.12","0.0","0.0","0.0","0.0","22.05","25.5","518.16","259.08","496.11","492.66","0.0","","","","","","","","",""
"2014.0","11.0","13.0","317.0","4343.0","1.18","0.0","0.0","1.07","1.18","1.26","5.34","5.34","0.0","0.0","17.97","25.5","518.16","259.08","500.19","492.66","0.0","","","","","","","","",""
"2014.0","11.0","14.0","318.0","4343.0","1.17","0.0","0.0","1.4","1.17","1.64","0.95","0.95","0.0","0.0","18.66","25.5","518.16","259.08","499.5","492.66","0.0","","","","","","","","",""
"2014.0","11.0","15.0","319.0","4343.0","1.17","0.0","0.0","1.34","1.17","1.57","0.0","0.0","0.0","0.0","20.23","25.5","518.16","259.08","497.93","492.66","0.0","","","","","","","","",""
"2014.0","11.0","16.0","320.0","4343.0","1.16","0.0","0.0","1.94","1.16","2.26","0.07","0.07","0.0","0.0","22.41","25.5","518.16","259.08","495.75","492.66","0.0","","","","","","","","",""
"2014.0","11.0","17.0","321.0","4343.0","1.02","0.0","0.0","1.79","1.02","1.83","0.0","0.0","0.0","0.0","24.24","25.5","518.16","259.08","493.92","492.66","0.0","","","","","","","","",""
"2014.0","11.0","18.0","322.0","4343.0","0.94","0.0","0.0","1.33","0.94","1.25","0.0","0.0","0.0","0.0","25.49","25.5","518.16","259.08","492.67","492.66","0.0","","","","","","","","",""
"2014.0","11.0","19.0","323.0","4343.0","0.89","0.0","0.0","1.09","0.89","0.97","0.59","0.59","0.0","0.0","25.87","25.5","518.16","259.08","492.29","492.66","0.0","","","","","","","","",""
"2014.0","11.0","20.0","324.0","4343.0","1.19","0.0","0.0","0.63","1.19","0.75","2.88","2.88","0.0","0.0","22.99","25.5","518.16","259.08","495.17","492.66","0.0","","","","","","","","",""
"2014.0","11.0","21.0","325.0","4343.0","1.18","0.0","0.0","0.9","1.18","1.07","4.27","4.27","0.0","0.0","19.78","25.5","518.16","259.08","498.38","492.66","0.0","","","","","","","","",""
"2014.0","11.0","22.0","326.0","4343.0","1.18","0.0","0.0","1.25","1.18","1.47","0.9","0.9","0.0","0.0","20.35","25.5","518.16","259.08","497.81","492.66","0.0","","","","","","","","",""
"2014.0","11.0","23.0","327.0","4343.0","1.16","0.0","0.0","1.56","1.16","1.81","3.21","3.21","0.0","0.0","18.95","25.5","518.16","259.08","499.21","492.66","0.0","","","","","","","","",""
"2014.0","11.0","24.0","328.0","4343.0","1.16","0.0","0.0","1.39","1.16","1.61","0.0","0.0","0.0","0.0","20.56","25.5","518.16","259.08","497.6","492.66","0.0","","","","","","","","",""
"2014.0","11.0","25.0","329.0","4343.0","1.16","0.0","0.0","1.25","1.16","1.46","0.0","0.0","0.0","0.0","22.02","25.5","518.16","259.08","496.14","492.66","0.0","","","","","","","","",""
"2014.0","11.0","26.0","330.0","4343.0","1.17","0.0","0.0","1.26","1.17","1.47","0.0","0.0","0.0","0.0","23.49","25.5","518.16","259.08","494.67","492.66","0.0","","","","","","","","",""
"2014.0","11.0","27.0","331.0","4343.0","1.09","0.0","0.0","1.19","1.09","1.3","0.0","0.0","0.0","0.0","24.78","25.5","518.16","259.08","493.38","492.66","0.0","","","","","","","","",""
"2014.0","11.0","28.0","332.0","4343.0","1.01","0.0","0.0","1.14","1.01","1.15","0.0","0.0","0.0","0.0","25.93","25.5","518.16","259.08","492.23","492.66","0.0","","","","","","","","",""
"2014.0","11.0","29.0","333.0","4343.0","0.96","0.0","0.0","0.81","0.96","0.78","0.48","0.48","0.0","0.0","25.45","25.5","518.16","259.08","492.71","492.66","0.0","","","","","","","","",""
"2014.0","11.0","30.0","334.0","4343.0","1.19","0.0","0.0","0.66","1.19","0.79","3.64","3.64","0.0","0.0","22.6","25.5","518.16","259.08","495.56","492.66","0.0","","","","","","","","",""
"2014.0","12.0","1.0","335.0","4343.0","1.18","0.0","0.0","0.96","1.18","1.13","10.55","10.55","0.0","0.0","13.18","25.5","518.16","259.08","504.98","492.66","0.0","","","","","","","","",""
"2014.0","12.0","2.0","336.0","4343.0","1.19","0.0","0.0","0.64","1.19","0.76","10.14","10.14","0.0","0.0","3.81","25.5","518.16","259.08","514.35","492.66","0.0","","","","","","","","",""
"2014.0","12.0","3.0","337.0","4343.0","1.17","0.0","0.0","1.15","1.17","1.35","32.71","5.16","0.0","0.0","0.0","25.5","518.16","259.08","518.16","492.66","0.0","","","","","","","","",""
"2014.0","12.0","4.0","338.0","4343.0","1.18","0.0","0.0","1.1","1.18","1.29","6.73","1.29","0.0","0.0","0.0","25.5","518.16","259.08","518.16","492.66","0.0","","","","","","","","",""
"2014.0","12.0","5.0","339.0","4343.0","1.18","0.0","0.0","0.9","1.18","1.06","0.56","0.56","0.0","0.0","0.5","25.5","518.16","259.08","517.66","492.66","0.0","","","","","","","","",""
"2014.0","12.0","6.0","340.0","4343.0","1.18","0.0","0.0","1.08","1.18","1.27","3.46","1.77","0.0","0.0","0.0","25.5","518.16","259.08","518.16","492.66","0.0","","","","","","","","",""
"2014.0","12.0","7.0","341.0","4343.0","1.18","0.0","0.0","0.73","1.18","0.86","0.14","0.14","0.0","0.0","0.72","25.5","518.16","259.08","517.44","492.66","0.0","","","","","","","","",""
"2014.0","12.0","8.0","342.0","4343.0","1.18","0.0","0.0","0.84","1.18","1.0","0.0","0.0","0.0","0.0","1.72","25.5","518.16","259.08","516.44","492.66","0.0","","","","","","","","",""
"2014.0","12.0","9.0","343.0","4343.0","1.19","0.0","0.0","0.67","1.19","0.8","0.0","0.0","0.0","0.0","2.51","25.5","518.16","259.08","515.65","492.66","0.0","","","","","","","","",""
"2014.0","12.0","10.0","344.0","4343.0","1.19","0.0","0.0","0.91","1.19","1.08","0.0","0.0","0.0","0.0","3.59","25.5","518.16","259.08","514.57","492.66","0.0","","","","","","","","",""
"2014.0","12.0","11.0","345.0","4343.0","1.18","0.0","0.0","1.28","1.18","1.51","0.0","0.0","0.0","0.0","5.11","25.5","518.16","259.08","513.05","492.66","0.0","","","","","","","","",""
"2014.0","12.0","12.0","346.0","4343.0","1.2","0.0","0.0","0.62","1.2","0.74","67.69","5.85","0.0","0.0","0.0","25.5","518.16","259.08","518.16","492.66","0.0","","","","","","","","",""
"2014.0","12.0","13.0","347.0","4343.0","1.19","0.0","0.0","0.72","1.19","0.86","1.17","0.86","0.0","0.0","0.0","25.5","518.16","259.08","518.16","492.66","0.0","","","","","","","","",""
"2014.0","12.0","14.0","348.0","4343.0","1.19","0.0","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","0.93","25.5","518.16","259.08","517.23","492.66","0.0","","","","","","","","",""
"2014.0","12.0","15.0","349.0","4343.0","1.18","0.0","0.0","0.98","1.18","1.16","12.1","2.09","0.0","0.0","0.0","25.5","518.16","259.08","518.16","492.66","0.0","","","","","","","","",""
"2014.0","12.0","16.0","350.0","4343.0","1.17","0.0","0.0","1.22","1.17","1.43","11.08","1.43","0.0","0.0","0.0","25.5","518.16","259.08","518.16","492.66","0.0","","","","","","","","",""
"2014.0","12.0","17.0","351.0","4343.0","1.18","0.0","0.0","0.95","1.18","1.12","11.26","1.12","0.0","0.0","0.0","25.5","518.16","259.08","518.16","492.66","0.0","","","","","","","","",""
"2014.0","12.0","18.0","352.0","4343.0","1.18","0.0","0.0","0.97","1.18","1.15","3.99","1.15","0.0","0.0","0.0","25.5","518.16","259.08","518.16","492.66","0.0","","","","","","","","",""
"2014.0","12.0","19.0","353.0","4343.0","1.18","0.0","0.0","0.84","1.18","0.99","0.0","0.0","0.0","0.0","0.99","25.5","518.16","259.08","517.17","492.66","0.0","","","","","","","","",""
"2014.0","12.0","20.0","354.0","4343.0","1.19","0.0","0.0","0.68","1.19","0.81","9.13","1.81","0.0","0.0","0.0","25.5","518.16","259.08","518.16","492.66","0.0","","","","","","","","",""
"2014.0","12.0","21.0","355.0","4343.0","1.19","0.0","0.0","0.99","1.19","1.17","0.01","0.01","0.0","0.0","1.16","25.5","518.16","259.08","517.0","492.66","0.0","","","","","","","","",""
"2014.0","12.0","22.0","356.0","4343.0","1.19","0.0","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","2.09","25.5","518.16","259.08","516.07","492.66","0.0","","","","","","","","",""
"2014.0","12.0","23.0","357.0","4343.0","1.19","0.0","0.0","0.75","1.19","0.89","0.0","0.0","0.0","0.0","2.98","25.5","518.16","259.08","515.18","492.66","0.0","","","","","","","","",""
"2014.0","12.0","24.0","358.0","4343.0","1.19","0.0","0.0","0.96","1.19","1.14","0.0","0.0","0.0","0.0","4.12","25.5","518.16","259.08","514.04","492.66","0.0","","","","","","","","",""
"2014.0","12.0","25.0","359.0","4343.0","1.14","0.0","0.0","1.94","1.14","2.22","0.81","0.81","0.0","0.0","5.53","25.5","518.16","259.08","512.63","492.66","0.0","","","","","","","","",""
"2014.0","12.0","26.0","360.0","4343.0","1.01","0.0","0.0","1.7","1.01","1.72","0.0","0.0","0.0","0.0","7.24","25.5","518.16","259.08","510.92","492.66","0.0","","","","","","","","",""
"2014.0","12.0","27.0","361.0","4343.0","0.96","0.0","0.0","0.76","0.96","0.73","0.0","0.0","0.0","0.0","7.98","25.5","518.16","259.08","510.18","492.66","0.0","","","","","","","","",""
"2014.0","12.0","28.0","362.0","4343.0","0.93","0.0","0.0","0.75","0.93","0.69","0.0","0.0","0.0","0.0","8.67","25.5","518.16","259.08","509.49","492.66","0.0","","","","","","","","",""
"2014.0","12.0","29.0","363.0","4343.0","0.9","0.0","0.0","0.55","0.9","0.49","0.0","0.0","0.0","0.0","9.17","25.5","518.16","259.08","508.99","492.66","0.0","","","","","","","","",""
"2014.0","12.0","30.0","364.0","4343.0","0.8","0.0","0.0","2.45","0.8","1.97","0.0","0.0","0.0","0.0","11.13","25.5","518.16","259.08","507.03","492.66","0.0","","","","","","","","",""
"2014.0","12.0","31.0","365.0","4343.0","0.73","0.0","0.0","2.6","0.73","1.89","0.0","0.0","0.0","0.0","13.03","25.5","518.16","259.08","505.13","492.66","0.0","","","","","","","","",""
"2015.0","1.0","1.0","1.0","4343.0","0.71","0.0","0.0","0.96","0.71","0.68","0.0","0.0","0.0","0.0","13.71","25.5","518.16","259.08","504.45","492.66","0.0","","","","","","","","",""
"2015.0","1.0","2.0","2.0","4343.0","0.69","0.0","0.0","0.89","0.69","0.61","0.0","0.0","0.0","0.0","14.32","25.5","518.16","259.08","503.84","492.66","0.0","","","","","","","","",""
"2015.0","1.0","3.0","3.0","4343.0","0.67","0.0","0.0","0.88","0.67","0.59","0.0","0.0","0.0","0.0","14.91","25.5","518.16","259.08","503.25","492.66","0.0","","","","","","","","",""
"2015.0","1.0","4.0","4.0","4343.0","0.65","0.0","0.0","0.99","0.65","0.65","0.0","0.0","0.0","0.0","15.55","25.5","518.16","259.08","502.61","492.66","0.0","","","","","","","","",""
"2015.0","1.0","5.0","5.0","4343.0","0.64","0.0","0.0","0.96","0.64","0.61","0.0","0.0","0.0","0.0","16.17","25.5","518.16","259.08","501.99","492.66","0.0","","","","","","","","",""
"2015.0","1.0","6.0","6.0","4343.0","0.62","0.0","0.0","1.23","0.62","0.76","0.0","0.0","0.0","0.0","16.92","25.5","518.16","259.08","501.24","492.66","0.0","","","","","","","","",""
"2015.0","1.0","7.0","7.0","4343.0","0.6","0.0","0.0","1.21","0.6","0.73","0.0","0.0","0.0","0.0","17.65","25.5","518.16","259.08","500.51","492.66","0.0","","","","","","","","",""
"2015.0","1.0","8.0","8.0","4343.0","0.59","0.0","0.0","1.01","0.59","0.59","0.0","0.0","0.0","0.0","18.24","25.5","518.16","259.08","499.92","492.66","0.0","","","","","","","","",""
"2015.0","1.0","9.0","9.0","4343.0","0.58","0.0","0.0","0.89","0.58","0.51","0.0","0.0","0.0","0.0","18.76","25.5","518.16","259.08","499.4","492.66","0.0","","","","","","","","",""
"2015.0","1.0","10.0","10.0","4343.0","0.56","0.0","0.0","1.01","0.56","0.57","0.0","0.0","0.0","0.0","19.33","25.5","518.16","259.08","498.83","492.66","0.0","","","","","","","","",""
"2015.0","1.0","11.0","11.0","4343.0","0.56","0.0","0.0","0.85","0.56","0.47","0.0","0.0","0.0","0.0","19.8","25.5","518.16","259.08","498.36","492.66","0.0","","","","","","","","",""
"2015.0","1.0","12.0","12.0","4343.0","0.54","0.0","0.0","0.99","0.54","0.54","0.0","0.0","0.0","0.0","20.34","25.5","518.16","259.08","497.82","492.66","0.0","","","","","","","","",""
"2015.0","1.0","13.0","13.0","4343.0","0.53","0.0","0.0","1.06","0.53","0.57","0.0","0.0","0.0","0.0","20.9","25.5","518.16","259.08","497.26","492.66","0.0","","","","","","","","",""
"2015.0","1.0","14.0","14.0","4343.0","0.53","0.0","0.0","0.61","0.53","0.32","0.0","0.0","0.0","0.0","21.23","25.5","518.16","259.08","496.93","492.66","0.0","","","","","","","","",""
"2015.0","1.0","15.0","15.0","4343.0","0.52","0.0","0.0","0.65","0.52","0.34","0.0","0.0","0.0","0.0","21.57","25.5","518.16","259.08","496.59","492.66","0.0","","","","","","","","",""
"2015.0","1.0","16.0","16.0","4343.0","0.52","0.0","0.0","0.57","0.52","0.3","0.0","0.0","0.0","0.0","21.86","25.5","518.16","259.08","496.3","492.66","0.0","","","","","","","","",""
"2015.0","1.0","17.0","17.0","4343.0","0.51","0.0","0.0","0.51","0.51","0.26","0.0","0.0","0.0","0.0","22.12","25.5","518.16","259.08","496.04","492.66","0.0","","","","","","","","",""
"2015.0","1.0","18.0","18.0","4343.0","0.51","0.0","0.0","0.61","0.51","0.31","0.0","0.0","0.0","0.0","22.43","25.5","518.16","259.08","495.73","492.66","0.0","","","","","","","","",""
"2015.0","1.0","19.0","19.0","4343.0","0.5","0.0","0.0","0.58","0.5","0.29","0.17","0.17","0.0","0.0","22.56","25.5","518.16","259.08","495.6","492.66","0.0","","","","","","","","",""
"2015.0","1.0","20.0","20.0","4343.0","0.5","0.0","0.0","0.8","0.5","0.4","0.0","0.0","0.0","0.0","22.95","25.5","518.16","259.08","495.21","492.66","0.0","","","","","","","","",""
"2015.0","1.0","21.0","21.0","4343.0","0.49","0.0","0.0","1.03","0.49","0.5","0.0","0.0","0.0","0.0","23.46","25.5","518.16","259.08","494.7","492.66","0.0","","","","","","","","",""
"2015.0","1.0","22.0","22.0","4343.0","0.49","0.0","0.0","0.69","0.49","0.33","0.0","0.0","0.0","0.0","23.79","25.5","518.16","259.08","494.37","492.66","0.0","","","","","","","","",""
"2015.0","1.0","23.0","23.0","4343.0","0.48","0.0","0.0","0.99","0.48","0.47","0.0","0.0","0.0","0.0","24.27","25.5","518.16","259.08","493.89","492.66","0.0","","","","","","","","",""
"2015.0","1.0","24.0","24.0","4343.0","0.47","0.0","0.0","0.91","0.47","0.43","0.0","0.0","0.0","0.0","24.7","25.5","518.16","259.08","493.46","492.66","0.0","","","","","","","","",""
"2015.0","1.0","25.0","25.0","4343.0","0.47","0.0","0.0","1.02","0.47","0.47","0.0","0.0","0.0","0.0","25.17","25.5","518.16","259.08","492.99","492.66","0.0","","","","","","","","",""
"2015.0","1.0","26.0","26.0","4343.0","0.46","0.0","0.0","1.21","0.46","0.55","0.0","0.0","0.0","0.0","25.73","25.5","518.16","259.08","492.43","492.66","0.0","","","","","","","","",""
"2015.0","1.0","27.0","27.0","4343.0","0.45","0.0","0.0","1.16","0.45","0.52","0.0","0.0","0.0","0.0","25.5","25.5","518.16","259.08","492.66","492.66","0.0","","","","","","","","",""
"2015.0","1.0","28.0","28.0","4343.0","0.44","0.0","0.0","1.45","0.44","0.64","0.0","0.0","0.0","0.0","26.14","25.5","518.16","259.08","492.02","492.66","0.0","","","","","","","","",""
"2015.0","1.0","29.0","29.0","4343.0","0.44","0.0","0.0","1.38","0.44","0.6","0.0","0.0","0.0","0.0","25.5","25.5","518.16","259.08","492.66","492.66","0.0","","","","","","","","",""
"2015.0","1.0","30.0","30.0","4343.0","0.43","0.0","0.0","1.73","0.43","0.74","0.0","0.0","0.0","0.0","26.24","25.5","518.16","259.08","491.92","492.66","0.0","","","","","","","","",""
"2015.0","1.0","31.0","31.0","4343.0","0.41","0.0","0.0","3.06","0.41","1.26","0.0","0.0","0.0","0.0","25.5","25.5","518.16","259.08","492.66","492.66","0.0","","","","","","","","",""
"2015.0","2.0","1.0","32.0","4343.0","0.41","0.0","0.0","1.51","0.41","0.61","0.0","0.0","0.0","0.0","26.11","25.5","518.16","259.08","492.05","492.66","0.0","","","","","","","","",""
"2015.0","2.0","2.0","33.0","4343.0","0.4","0.0","0.0","1.52","0.4","0.61","0.0","0.0","0.0","0.0","25.5","25.5","518.16","259.08","492.66","492.66","0.0","","","","","","","","",""
"2015.0","2.0","3.0","34.0","4343.0","0.39","0.0","0.0","1.6","0.39","0.63","0.0","0.0","0.0","0.0","26.13","25.5","518.16","259.08","492.03","492.66","0.0","","","","","","","","",""
"2015.0","2.0","4.0","35.0","4343.0","0.39","0.0","0.0","1.34","0.39","0.52","0.0","0.0","0.0","0.0","25.5","25.5","518.16","259.08","492.66","492.66","0.0","","","","","","","","",""
"2015.0","2.0","5.0","36.0","4343.0","0.38","0.0","0.0","1.02","0.38","0.39","0.0","0.0","0.0","0.0","25.89","25.5","518.16","259.08","492.27","492.66","0.0","","","","","","","","",""
"2015.0","2.0","6.0","37.0","4343.0","1.13","0.0","0.0","2.15","1.13","2.44","6.0","6.0","0.0","0.0","19.89","25.5","518.16","259.08","498.27","492.66","0.0","","","","","","","","",""
"2015.0","2.0","7.0","38.0","4343.0","1.16","0.0","0.0","1.45","1.16","1.68","12.31","12.31","0.0","0.0","9.27","25.5","518.16","259.08","508.89","492.66","0.0","","","","","","","","",""
