" Daily soil water balance output for Vineyard in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Vineyard in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2014.0","11.0","5.0","309.0","10195.0","0.91","0.0","0.0","1.82","0.91","1.65","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2014.0","11.0","6.0","310.0","10195.0","0.83","0.0","0.0","1.94","0.83","1.6","0.0","0.0","0.0","0.0","32.95","31.35","601.67","300.83","568.72","570.32","0.0","","","","","","","","",""
"2014.0","11.0","7.0","311.0","10195.0","0.76","0.0","0.0","2.01","0.76","1.53","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2014.0","11.0","8.0","312.0","10195.0","0.71","0.0","0.0","1.88","0.71","1.34","0.0","0.0","0.0","0.0","32.69","31.35","601.67","300.83","568.98","570.32","0.0","","","","","","","","",""
"2014.0","11.0","9.0","313.0","10195.0","0.67","0.0","0.0","1.86","0.67","1.25","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2014.0","11.0","10.0","314.0","10195.0","0.64","0.0","0.0","1.96","0.64","1.25","0.0","0.0","0.0","0.0","32.6","31.35","601.67","300.83","569.07","570.32","0.0","","","","","","","","",""
"2014.0","11.0","11.0","315.0","10195.0","0.61","0.0","0.0","1.52","0.61","0.93","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2014.0","11.0","12.0","316.0","10195.0","0.59","0.0","0.0","1.46","0.59","0.87","0.0","0.0","0.0","0.0","32.22","31.35","601.67","300.83","569.45","570.32","0.0","","","","","","","","",""
"2014.0","11.0","13.0","317.0","10195.0","1.18","0.0","0.0","1.02","1.18","1.2","4.19","4.19","0.0","0.0","28.03","31.35","601.67","300.83","573.64","570.32","0.0","","","","","","","","",""
"2014.0","11.0","14.0","318.0","10195.0","1.17","0.0","0.0","1.34","1.17","1.56","1.96","1.96","0.0","0.0","27.63","31.35","601.67","300.83","574.04","570.32","0.0","","","","","","","","",""
"2014.0","11.0","15.0","319.0","10195.0","1.17","0.0","0.0","1.28","1.17","1.49","0.0","0.0","0.0","0.0","29.12","31.35","601.67","300.83","572.55","570.32","0.0","","","","","","","","",""
"2014.0","11.0","16.0","320.0","10195.0","1.16","0.0","0.0","1.98","1.16","2.29","0.01","0.01","0.0","0.0","31.41","31.35","601.67","300.83","570.26","570.32","0.0","","","","","","","","",""
"2014.0","11.0","17.0","321.0","10195.0","1.1","0.0","0.0","1.82","1.1","2.01","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2014.0","11.0","18.0","322.0","10195.0","1.0","0.0","0.0","1.37","1.0","1.37","0.0","0.0","0.0","0.0","32.72","31.35","601.67","300.83","568.95","570.32","0.0","","","","","","","","",""
"2014.0","11.0","19.0","323.0","10195.0","0.94","0.0","0.0","1.06","0.94","1.0","0.13","0.13","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2014.0","11.0","20.0","324.0","10195.0","1.19","0.0","0.0","0.64","1.19","0.76","3.26","3.26","0.0","0.0","28.85","31.35","601.67","300.83","572.81","570.32","0.0","","","","","","","","",""
"2014.0","11.0","21.0","325.0","10195.0","1.19","0.0","0.0","0.82","1.19","0.97","4.7","4.7","0.0","0.0","25.13","31.35","601.67","300.83","576.54","570.32","0.0","","","","","","","","",""
"2014.0","11.0","22.0","326.0","10195.0","1.18","0.0","0.0","1.16","1.18","1.37","0.19","0.19","0.0","0.0","26.31","31.35","601.67","300.83","575.36","570.32","0.0","","","","","","","","",""
"2014.0","11.0","23.0","327.0","10195.0","1.16","0.0","0.0","1.49","1.16","1.73","3.38","3.38","0.0","0.0","24.66","31.35","601.67","300.83","577.01","570.32","0.0","","","","","","","","",""
"2014.0","11.0","24.0","328.0","10195.0","1.16","0.0","0.0","1.37","1.16","1.59","0.0","0.0","0.0","0.0","26.25","31.35","601.67","300.83","575.42","570.32","0.0","","","","","","","","",""
"2014.0","11.0","25.0","329.0","10195.0","1.17","0.0","0.0","1.22","1.17","1.42","0.0","0.0","0.0","0.0","27.67","31.35","601.67","300.83","574.0","570.32","0.0","","","","","","","","",""
"2014.0","11.0","26.0","330.0","10195.0","1.17","0.0","0.0","1.2","1.17","1.4","0.0","0.0","0.0","0.0","29.07","31.35","601.67","300.83","572.6","570.32","0.0","","","","","","","","",""
"2014.0","11.0","27.0","331.0","10195.0","1.1","0.0","0.0","1.19","1.1","1.31","0.0","0.0","0.0","0.0","30.39","31.35","601.67","300.83","571.28","570.32","0.0","","","","","","","","",""
"2014.0","11.0","28.0","332.0","10195.0","1.02","0.0","0.0","1.16","1.02","1.18","0.0","0.0","0.0","0.0","31.57","31.35","601.67","300.83","570.1","570.32","0.0","","","","","","","","",""
"2014.0","11.0","29.0","333.0","10195.0","1.19","0.0","0.0","0.85","1.19","1.01","2.69","2.69","0.0","0.0","28.88","31.35","601.67","300.83","572.79","570.32","0.0","","","","","","","","",""
"2014.0","11.0","30.0","334.0","10195.0","1.19","0.0","0.0","0.66","1.19","0.79","3.5","3.5","0.0","0.0","26.16","31.35","601.67","300.83","575.5","570.32","0.0","","","","","","","","",""
"2014.0","12.0","1.0","335.0","10195.0","1.18","0.0","0.0","1.02","1.18","1.2","7.13","7.13","0.0","0.0","20.24","31.35","601.67","300.83","581.43","570.32","0.0","","","","","","","","",""
"2014.0","12.0","2.0","336.0","10195.0","1.19","0.0","0.0","0.66","1.19","0.79","2.45","2.45","0.0","0.0","18.58","31.35","601.67","300.83","583.09","570.32","0.0","","","","","","","","",""
"2014.0","12.0","3.0","337.0","10195.0","1.17","0.0","0.0","1.13","1.17","1.33","39.11","19.9","0.0","0.0","0.0","31.35","601.67","300.83","601.67","570.32","0.0","","","","","","","","",""
"2014.0","12.0","4.0","338.0","10195.0","1.18","0.0","0.0","1.1","1.18","1.29","21.84","1.29","0.0","0.0","0.0","31.35","601.67","300.83","601.67","570.32","0.0","","","","","","","","",""
"2014.0","12.0","5.0","339.0","10195.0","1.18","0.0","0.0","0.92","1.18","1.09","0.22","0.22","0.0","0.0","0.87","31.35","601.67","300.83","600.8","570.32","0.0","","","","","","","","",""
"2014.0","12.0","6.0","340.0","10195.0","1.18","0.0","0.0","1.09","1.18","1.28","2.83","2.15","0.0","0.0","0.0","31.35","601.67","300.83","601.67","570.32","0.0","","","","","","","","",""
"2014.0","12.0","7.0","341.0","10195.0","1.18","0.0","0.0","0.77","1.18","0.91","0.78","0.78","0.0","0.0","0.13","31.35","601.67","300.83","601.54","570.32","0.0","","","","","","","","",""
"2014.0","12.0","8.0","342.0","10195.0","1.18","0.0","0.0","0.83","1.18","0.98","0.0","0.0","0.0","0.0","1.11","31.35","601.67","300.83","600.56","570.32","0.0","","","","","","","","",""
"2014.0","12.0","9.0","343.0","10195.0","1.19","0.0","0.0","0.68","1.19","0.81","0.0","0.0","0.0","0.0","1.92","31.35","601.67","300.83","599.75","570.32","0.0","","","","","","","","",""
"2014.0","12.0","10.0","344.0","10195.0","1.19","0.0","0.0","0.97","1.19","1.15","0.0","0.0","0.0","0.0","3.07","31.35","601.67","300.83","598.6","570.32","0.0","","","","","","","","",""
"2014.0","12.0","11.0","345.0","10195.0","1.18","0.0","0.0","1.27","1.18","1.5","0.01","0.01","0.0","0.0","4.56","31.35","601.67","300.83","597.11","570.32","0.0","","","","","","","","",""
"2014.0","12.0","12.0","346.0","10195.0","1.2","0.0","0.0","0.61","1.2","0.73","68.69","5.29","0.0","0.0","0.0","31.35","601.67","300.83","601.67","570.32","0.0","","","","","","","","",""
"2014.0","12.0","13.0","347.0","10195.0","1.19","0.0","0.0","0.68","1.19","0.81","1.6","0.81","0.0","0.0","0.0","31.35","601.67","300.83","601.67","570.32","0.0","","","","","","","","",""
"2014.0","12.0","14.0","348.0","10195.0","1.19","0.0","0.0","0.73","1.19","0.87","0.0","0.0","0.0","0.0","0.87","31.35","601.67","300.83","600.8","570.32","0.0","","","","","","","","",""
"2014.0","12.0","15.0","349.0","10195.0","1.18","0.0","0.0","0.95","1.18","1.12","6.13","1.99","0.0","0.0","0.0","31.35","601.67","300.83","601.67","570.32","0.0","","","","","","","","",""
"2014.0","12.0","16.0","350.0","10195.0","1.17","0.0","0.0","1.22","1.17","1.43","11.72","1.43","0.0","0.0","0.0","31.35","601.67","300.83","601.67","570.32","0.0","","","","","","","","",""
"2014.0","12.0","17.0","351.0","10195.0","1.18","0.0","0.0","0.96","1.18","1.13","12.55","1.13","0.0","0.0","0.0","31.35","601.67","300.83","601.67","570.32","0.0","","","","","","","","",""
"2014.0","12.0","18.0","352.0","10195.0","1.18","0.0","0.0","0.94","1.18","1.11","2.97","1.11","0.0","0.0","0.0","31.35","601.67","300.83","601.67","570.32","0.0","","","","","","","","",""
"2014.0","12.0","19.0","353.0","10195.0","1.18","0.0","0.0","0.83","1.18","0.98","0.0","0.0","0.0","0.0","0.98","31.35","601.67","300.83","600.69","570.32","0.0","","","","","","","","",""
"2014.0","12.0","20.0","354.0","10195.0","1.19","0.0","0.0","0.65","1.19","0.78","15.13","1.76","0.0","0.0","0.0","31.35","601.67","300.83","601.67","570.32","0.0","","","","","","","","",""
"2014.0","12.0","21.0","355.0","10195.0","1.19","0.0","0.0","0.98","1.19","1.16","0.01","0.01","0.0","0.0","1.15","31.35","601.67","300.83","600.52","570.32","0.0","","","","","","","","",""
"2014.0","12.0","22.0","356.0","10195.0","1.19","0.0","0.0","0.77","1.19","0.91","0.0","0.0","0.0","0.0","2.07","31.35","601.67","300.83","599.6","570.32","0.0","","","","","","","","",""
"2014.0","12.0","23.0","357.0","10195.0","1.19","0.0","0.0","0.72","1.19","0.86","0.0","0.0","0.0","0.0","2.92","31.35","601.67","300.83","598.74","570.32","0.0","","","","","","","","",""
"2014.0","12.0","24.0","358.0","10195.0","1.19","0.0","0.0","0.95","1.19","1.13","0.0","0.0","0.0","0.0","4.05","31.35","601.67","300.83","597.62","570.32","0.0","","","","","","","","",""
"2014.0","12.0","25.0","359.0","10195.0","1.14","0.0","0.0","1.9","1.14","2.17","1.24","1.24","0.0","0.0","4.99","31.35","601.67","300.83","596.68","570.32","0.0","","","","","","","","",""
"2014.0","12.0","26.0","360.0","10195.0","1.15","0.0","0.0","1.79","1.15","2.05","0.0","0.0","0.0","0.0","7.04","31.35","601.67","300.83","594.63","570.32","0.0","","","","","","","","",""
"2014.0","12.0","27.0","361.0","10195.0","1.16","0.0","0.0","0.76","1.16","0.88","0.0","0.0","0.0","0.0","7.92","31.35","601.67","300.83","593.75","570.32","0.0","","","","","","","","",""
"2014.0","12.0","28.0","362.0","10195.0","1.17","0.0","0.0","0.75","1.17","0.88","0.0","0.0","0.0","0.0","8.8","31.35","601.67","300.83","592.87","570.32","0.0","","","","","","","","",""
"2014.0","12.0","29.0","363.0","10195.0","1.17","0.0","0.0","0.54","1.17","0.63","0.0","0.0","0.0","0.0","9.43","31.35","601.67","300.83","592.24","570.32","0.0","","","","","","","","",""
"2014.0","12.0","30.0","364.0","10195.0","0.98","0.0","0.0","2.48","0.98","2.43","0.0","0.0","0.0","0.0","11.86","31.35","601.67","300.83","589.81","570.32","0.0","","","","","","","","",""
"2014.0","12.0","31.0","365.0","10195.0","0.85","0.0","0.0","2.64","0.85","2.24","0.0","0.0","0.0","0.0","14.1","31.35","601.67","300.83","587.57","570.32","0.0","","","","","","","","",""
"2015.0","1.0","1.0","1.0","10195.0","0.82","0.0","0.0","0.89","0.82","0.73","0.0","0.0","0.0","0.0","14.83","31.35","601.67","300.83","586.84","570.32","0.0","","","","","","","","",""
"2015.0","1.0","2.0","2.0","10195.0","0.79","0.0","0.0","0.88","0.79","0.69","0.0","0.0","0.0","0.0","15.52","31.35","601.67","300.83","586.15","570.32","0.0","","","","","","","","",""
"2015.0","1.0","3.0","3.0","10195.0","0.76","0.0","0.0","0.87","0.76","0.66","0.0","0.0","0.0","0.0","16.19","31.35","601.67","300.83","585.48","570.32","0.0","","","","","","","","",""
"2015.0","1.0","4.0","4.0","10195.0","0.74","0.0","0.0","0.97","0.74","0.72","0.0","0.0","0.0","0.0","16.9","31.35","601.67","300.83","584.77","570.32","0.0","","","","","","","","",""
"2015.0","1.0","5.0","5.0","10195.0","0.72","0.0","0.0","0.89","0.72","0.64","0.0","0.0","0.0","0.0","17.54","31.35","601.67","300.83","584.13","570.32","0.0","","","","","","","","",""
"2015.0","1.0","6.0","6.0","10195.0","0.69","0.0","0.0","1.19","0.69","0.82","0.0","0.0","0.0","0.0","18.36","31.35","601.67","300.83","583.31","570.32","0.0","","","","","","","","",""
"2015.0","1.0","7.0","7.0","10195.0","0.67","0.0","0.0","1.19","0.67","0.79","0.0","0.0","0.0","0.0","19.16","31.35","601.67","300.83","582.51","570.32","0.0","","","","","","","","",""
"2015.0","1.0","8.0","8.0","10195.0","0.65","0.0","0.0","1.04","0.65","0.67","0.0","0.0","0.0","0.0","19.83","31.35","601.67","300.83","581.84","570.32","0.0","","","","","","","","",""
"2015.0","1.0","9.0","9.0","10195.0","0.63","0.0","0.0","0.88","0.63","0.56","0.0","0.0","0.0","0.0","20.39","31.35","601.67","300.83","581.28","570.32","0.0","","","","","","","","",""
"2015.0","1.0","10.0","10.0","10195.0","0.62","0.0","0.0","0.99","0.62","0.61","0.0","0.0","0.0","0.0","21.0","31.35","601.67","300.83","580.67","570.32","0.0","","","","","","","","",""
"2015.0","1.0","11.0","11.0","10195.0","0.61","0.0","0.0","0.88","0.61","0.53","0.0","0.0","0.0","0.0","21.54","31.35","601.67","300.83","580.13","570.32","0.0","","","","","","","","",""
"2015.0","1.0","12.0","12.0","10195.0","0.59","0.0","0.0","1.02","0.59","0.6","0.0","0.0","0.0","0.0","22.14","31.35","601.67","300.83","579.53","570.32","0.0","","","","","","","","",""
"2015.0","1.0","13.0","13.0","10195.0","0.58","0.0","0.0","1.08","0.58","0.63","0.0","0.0","0.0","0.0","22.77","31.35","601.67","300.83","578.9","570.32","0.0","","","","","","","","",""
"2015.0","1.0","14.0","14.0","10195.0","0.57","0.0","0.0","0.68","0.57","0.39","0.0","0.0","0.0","0.0","23.16","31.35","601.67","300.83","578.51","570.32","0.0","","","","","","","","",""
"2015.0","1.0","15.0","15.0","10195.0","0.56","0.0","0.0","0.69","0.56","0.39","0.0","0.0","0.0","0.0","23.54","31.35","601.67","300.83","578.12","570.32","0.0","","","","","","","","",""
"2015.0","1.0","16.0","16.0","10195.0","0.56","0.0","0.0","0.6","0.56","0.33","0.0","0.0","0.0","0.0","23.88","31.35","601.67","300.83","577.79","570.32","0.0","","","","","","","","",""
"2015.0","1.0","17.0","17.0","10195.0","0.55","0.0","0.0","0.53","0.55","0.29","0.0","0.0","0.0","0.0","24.17","31.35","601.67","300.83","577.5","570.32","0.0","","","","","","","","",""
"2015.0","1.0","18.0","18.0","10195.0","0.55","0.0","0.0","0.59","0.55","0.32","0.0","0.0","0.0","0.0","24.49","31.35","601.67","300.83","577.18","570.32","0.0","","","","","","","","",""
"2015.0","1.0","19.0","19.0","10195.0","0.54","0.0","0.0","0.62","0.54","0.33","0.01","0.01","0.0","0.0","24.82","31.35","601.67","300.83","576.85","570.32","0.0","","","","","","","","",""
"2015.0","1.0","20.0","20.0","10195.0","0.53","0.0","0.0","0.75","0.53","0.4","0.0","0.0","0.0","0.0","25.22","31.35","601.67","300.83","576.45","570.32","0.0","","","","","","","","",""
"2015.0","1.0","21.0","21.0","10195.0","0.52","0.0","0.0","0.97","0.52","0.51","0.0","0.0","0.0","0.0","25.73","31.35","601.67","300.83","575.94","570.32","0.0","","","","","","","","",""
"2015.0","1.0","22.0","22.0","10195.0","0.52","0.0","0.0","0.72","0.52","0.37","0.0","0.0","0.0","0.0","26.1","31.35","601.67","300.83","575.57","570.32","0.0","","","","","","","","",""
"2015.0","1.0","23.0","23.0","10195.0","0.51","0.0","0.0","0.94","0.51","0.48","0.0","0.0","0.0","0.0","26.58","31.35","601.67","300.83","575.09","570.32","0.0","","","","","","","","",""
"2015.0","1.0","24.0","24.0","10195.0","0.5","0.0","0.0","0.87","0.5","0.44","0.0","0.0","0.0","0.0","27.01","31.35","601.67","300.83","574.66","570.32","0.0","","","","","","","","",""
"2015.0","1.0","25.0","25.0","10195.0","0.49","0.0","0.0","1.02","0.49","0.5","0.0","0.0","0.0","0.0","27.52","31.35","601.67","300.83","574.15","570.32","0.0","","","","","","","","",""
"2015.0","1.0","26.0","26.0","10195.0","0.49","0.0","0.0","1.27","0.49","0.62","0.0","0.0","0.0","0.0","28.13","31.35","601.67","300.83","573.54","570.32","0.0","","","","","","","","",""
"2015.0","1.0","27.0","27.0","10195.0","0.48","0.0","0.0","1.12","0.48","0.53","0.0","0.0","0.0","0.0","28.67","31.35","601.67","300.83","573.0","570.32","0.0","","","","","","","","",""
"2015.0","1.0","28.0","28.0","10195.0","0.47","0.0","0.0","1.5","0.47","0.7","0.0","0.0","0.0","0.0","29.37","31.35","601.67","300.83","572.3","570.32","0.0","","","","","","","","",""
"2015.0","1.0","29.0","29.0","10195.0","0.46","0.0","0.0","1.41","0.46","0.65","0.0","0.0","0.0","0.0","30.02","31.35","601.67","300.83","571.65","570.32","0.0","","","","","","","","",""
"2015.0","1.0","30.0","30.0","10195.0","0.45","0.0","0.0","1.89","0.45","0.85","0.0","0.0","0.0","0.0","30.86","31.35","601.67","300.83","570.81","570.32","0.0","","","","","","","","",""
"2015.0","1.0","31.0","31.0","10195.0","0.43","0.0","0.0","3.35","0.43","1.44","0.0","0.0","0.0","0.0","32.3","31.35","601.67","300.83","569.37","570.32","0.0","","","","","","","","",""
"2015.0","2.0","1.0","32.0","10195.0","0.42","0.0","0.0","1.46","0.42","0.62","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2015.0","2.0","2.0","33.0","10195.0","0.41","0.0","0.0","1.5","0.41","0.62","0.0","0.0","0.0","0.0","31.97","31.35","601.67","300.83","569.7","570.32","0.0","","","","","","","","",""
"2015.0","2.0","3.0","34.0","10195.0","0.41","0.0","0.0","1.56","0.41","0.64","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2015.0","2.0","4.0","35.0","10195.0","0.4","0.0","0.0","1.45","0.4","0.58","0.0","0.0","0.0","0.0","31.93","31.35","601.67","300.83","569.74","570.32","0.0","","","","","","","","",""
"2015.0","2.0","5.0","36.0","10195.0","0.4","0.0","0.0","1.11","0.4","0.44","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","","","",""
"2015.0","2.0","6.0","37.0","10195.0","0.39","0.0","0.0","2.23","0.39","0.87","0.97","0.97","0.0","0.0","31.25","31.35","601.67","300.83","570.42","570.32","0.0","","","","","","","","",""
"2015.0","2.0","7.0","38.0","10195.0","1.16","0.0","0.0","1.43","1.16","1.66","20.87","20.87","0.0","0.0","12.04","31.35","601.67","300.83","589.63","570.32","0.0","","","","","","","","",""
