" Daily soil water balance output for Corn in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Corn in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2014.0","11.0","6.0","310.0","18081.0","0.83","0.0","0.0","1.94","0.83","1.6","0.0","0.0","0.0","0.0","34.2","34.2","486.46","243.23","452.26","452.26","0.0","","","","","","","","",""
"2014.0","11.0","7.0","311.0","18081.0","0.76","0.0","0.0","2.01","0.76","1.53","0.0","0.0","0.0","0.0","35.73","34.2","486.46","243.23","450.73","452.26","0.0","","","","","","","","",""
"2014.0","11.0","8.0","312.0","18081.0","0.71","0.0","0.0","1.88","0.71","1.34","0.0","0.0","0.0","0.0","34.2","34.2","486.46","243.23","452.26","452.26","0.0","","","","","","","","",""
"2014.0","11.0","9.0","313.0","18081.0","0.67","0.0","0.0","1.86","0.67","1.25","0.0","0.0","0.0","0.0","35.45","34.2","486.46","243.23","451.01","452.26","0.0","","","","","","","","",""
"2014.0","11.0","10.0","314.0","18081.0","0.64","0.0","0.0","1.96","0.64","1.25","0.0","0.0","0.0","0.0","34.2","34.2","486.46","243.23","452.26","452.26","0.0","","","","","","","","",""
"2014.0","11.0","11.0","315.0","18081.0","0.61","0.0","0.0","1.52","0.61","0.93","0.0","0.0","0.0","0.0","35.13","34.2","486.46","243.23","451.33","452.26","0.0","","","","","","","","",""
"2014.0","11.0","12.0","316.0","18081.0","0.59","0.0","0.0","1.46","0.59","0.87","0.0","0.0","0.0","0.0","34.2","34.2","486.46","243.23","452.26","452.26","0.0","","","","","","","","",""
"2014.0","11.0","13.0","317.0","18081.0","1.18","0.0","0.0","1.02","1.18","1.2","4.19","4.19","0.0","0.0","31.21","34.2","486.46","243.23","455.25","452.26","0.0","","","","","","","","",""
"2014.0","11.0","14.0","318.0","18081.0","1.17","0.0","0.0","1.34","1.17","1.56","1.96","1.96","0.0","0.0","30.82","34.2","486.46","243.23","455.65","452.26","0.0","","","","","","","","",""
"2014.0","11.0","15.0","319.0","18081.0","1.17","0.0","0.0","1.28","1.17","1.49","0.0","0.0","0.0","0.0","32.31","34.2","486.46","243.23","454.15","452.26","0.0","","","","","","","","",""
"2014.0","11.0","16.0","320.0","18081.0","1.16","0.0","0.0","1.98","1.16","2.29","0.01","0.01","0.0","0.0","34.59","34.2","486.46","243.23","451.87","452.26","0.0","","","","","","","","",""
"2014.0","11.0","17.0","321.0","18081.0","1.1","0.0","0.0","1.82","1.1","2.01","0.0","0.0","0.0","0.0","34.2","34.2","486.46","243.23","452.26","452.26","0.0","","","","","","","","",""
"2014.0","11.0","18.0","322.0","18081.0","1.0","0.0","0.0","1.37","1.0","1.37","0.0","0.0","0.0","0.0","35.57","34.2","486.46","243.23","450.89","452.26","0.0","","","","","","","","",""
"2014.0","11.0","19.0","323.0","18081.0","0.94","0.0","0.0","1.06","0.94","1.0","0.13","0.13","0.0","0.0","34.2","34.2","486.46","243.23","452.26","452.26","0.0","","","","","","","","",""
"2014.0","11.0","20.0","324.0","18081.0","1.19","0.0","0.0","0.64","1.19","0.76","3.26","3.26","0.0","0.0","31.7","34.2","486.46","243.23","454.76","452.26","0.0","","","","","","","","",""
"2014.0","11.0","21.0","325.0","18081.0","1.19","0.0","0.0","0.82","1.19","0.97","4.7","4.7","0.0","0.0","27.98","34.2","486.46","243.23","458.48","452.26","0.0","","","","","","","","",""
"2014.0","11.0","22.0","326.0","18081.0","1.18","0.0","0.0","1.16","1.18","1.37","0.19","0.19","0.0","0.0","29.16","34.2","486.46","243.23","457.3","452.26","0.0","","","","","","","","",""
"2014.0","11.0","23.0","327.0","18081.0","1.16","0.0","0.0","1.49","1.16","1.73","3.38","3.38","0.0","0.0","27.51","34.2","486.46","243.23","458.95","452.26","0.0","","","","","","","","",""
"2014.0","11.0","24.0","328.0","18081.0","1.16","0.0","0.0","1.37","1.16","1.59","0.0","0.0","0.0","0.0","29.1","34.2","486.46","243.23","457.36","452.26","0.0","","","","","","","","",""
"2014.0","11.0","25.0","329.0","18081.0","1.17","0.0","0.0","1.22","1.17","1.42","0.0","0.0","0.0","0.0","30.52","34.2","486.46","243.23","455.94","452.26","0.0","","","","","","","","",""
"2014.0","11.0","26.0","330.0","18081.0","1.17","0.0","0.0","1.2","1.17","1.4","0.0","0.0","0.0","0.0","31.92","34.2","486.46","243.23","454.54","452.26","0.0","","","","","","","","",""
"2014.0","11.0","27.0","331.0","18081.0","1.1","0.0","0.0","1.19","1.1","1.31","0.0","0.0","0.0","0.0","33.24","34.2","486.46","243.23","453.22","452.26","0.0","","","","","","","","",""
"2014.0","11.0","28.0","332.0","18081.0","1.02","0.0","0.0","1.16","1.02","1.18","0.0","0.0","0.0","0.0","34.42","34.2","486.46","243.23","452.04","452.26","0.0","","","","","","","","",""
"2014.0","11.0","29.0","333.0","18081.0","1.19","0.0","0.0","0.85","1.19","1.01","2.69","2.69","0.0","0.0","31.73","34.2","486.46","243.23","454.73","452.26","0.0","","","","","","","","",""
"2014.0","11.0","30.0","334.0","18081.0","1.19","0.0","0.0","0.66","1.19","0.79","3.5","3.5","0.0","0.0","29.01","34.2","486.46","243.23","457.45","452.26","0.0","","","","","","","","",""
"2014.0","12.0","1.0","335.0","18081.0","1.18","0.0","0.0","1.02","1.18","1.2","7.13","7.13","0.0","0.0","23.09","34.2","486.46","243.23","463.37","452.26","0.0","","","","","","","","",""
"2014.0","12.0","2.0","336.0","18081.0","1.19","0.0","0.0","0.66","1.19","0.79","2.45","2.45","0.0","0.0","21.43","34.2","486.46","243.23","465.04","452.26","0.0","","","","","","","","",""
"2014.0","12.0","3.0","337.0","18081.0","1.17","0.0","0.0","1.13","1.17","1.33","39.11","22.75","0.0","0.0","0.0","34.2","486.46","243.23","486.46","452.26","0.0","","","","","","","","",""
"2014.0","12.0","4.0","338.0","18081.0","1.18","0.0","0.0","1.1","1.18","1.29","21.84","1.29","0.0","0.0","0.0","34.2","486.46","243.23","486.46","452.26","0.0","","","","","","","","",""
"2014.0","12.0","5.0","339.0","18081.0","1.18","0.0","0.0","0.92","1.18","1.09","0.22","0.22","0.0","0.0","0.87","34.2","486.46","243.23","485.6","452.26","0.0","","","","","","","","",""
"2014.0","12.0","6.0","340.0","18081.0","1.18","0.0","0.0","1.09","1.18","1.28","2.83","2.15","0.0","0.0","0.0","34.2","486.46","243.23","486.46","452.26","0.0","","","","","","","","",""
"2014.0","12.0","7.0","341.0","18081.0","1.18","0.0","0.0","0.77","1.18","0.91","0.78","0.78","0.0","0.0","0.13","34.2","486.46","243.23","486.33","452.26","0.0","","","","","","","","",""
"2014.0","12.0","8.0","342.0","18081.0","1.18","0.0","0.0","0.83","1.18","0.98","0.0","0.0","0.0","0.0","1.11","34.2","486.46","243.23","485.35","452.26","0.0","","","","","","","","",""
"2014.0","12.0","9.0","343.0","18081.0","1.19","0.0","0.0","0.68","1.19","0.81","0.0","0.0","0.0","0.0","1.92","34.2","486.46","243.23","484.54","452.26","0.0","","","","","","","","",""
"2014.0","12.0","10.0","344.0","18081.0","1.19","0.0","0.0","0.97","1.19","1.15","0.0","0.0","0.0","0.0","3.07","34.2","486.46","243.23","483.39","452.26","0.0","","","","","","","","",""
"2014.0","12.0","11.0","345.0","18081.0","1.18","0.0","0.0","1.27","1.18","1.5","0.01","0.01","0.0","0.0","4.56","34.2","486.46","243.23","481.9","452.26","0.0","","","","","","","","",""
"2014.0","12.0","12.0","346.0","18081.0","1.2","0.0","0.0","0.61","1.2","0.73","68.69","5.29","0.0","0.0","0.0","34.2","486.46","243.23","486.46","452.26","0.0","","","","","","","","",""
"2014.0","12.0","13.0","347.0","18081.0","1.19","0.0","0.0","0.68","1.19","0.81","1.6","0.81","0.0","0.0","0.0","34.2","486.46","243.23","486.46","452.26","0.0","","","","","","","","",""
"2014.0","12.0","14.0","348.0","18081.0","1.19","0.0","0.0","0.73","1.19","0.87","0.0","0.0","0.0","0.0","0.87","34.2","486.46","243.23","485.59","452.26","0.0","","","","","","","","",""
"2014.0","12.0","15.0","349.0","18081.0","1.18","0.0","0.0","0.95","1.18","1.12","6.13","1.99","0.0","0.0","0.0","34.2","486.46","243.23","486.46","452.26","0.0","","","","","","","","",""
"2014.0","12.0","16.0","350.0","18081.0","1.17","0.0","0.0","1.22","1.17","1.43","11.72","1.43","0.0","0.0","0.0","34.2","486.46","243.23","486.46","452.26","0.0","","","","","","","","",""
"2014.0","12.0","17.0","351.0","18081.0","1.18","0.0","0.0","0.96","1.18","1.13","12.55","1.13","0.0","0.0","0.0","34.2","486.46","243.23","486.46","452.26","0.0","","","","","","","","",""
"2014.0","12.0","18.0","352.0","18081.0","1.18","0.0","0.0","0.94","1.18","1.11","2.97","1.11","0.0","0.0","0.0","34.2","486.46","243.23","486.46","452.26","0.0","","","","","","","","",""
"2014.0","12.0","19.0","353.0","18081.0","1.18","0.0","0.0","0.83","1.18","0.98","0.0","0.0","0.0","0.0","0.98","34.2","486.46","243.23","485.48","452.26","0.0","","","","","","","","",""
"2014.0","12.0","20.0","354.0","18081.0","1.19","0.0","0.0","0.65","1.19","0.78","15.13","1.76","0.0","0.0","0.0","34.2","486.46","243.23","486.46","452.26","0.0","","","","","","","","",""
"2014.0","12.0","21.0","355.0","18081.0","1.19","0.0","0.0","0.98","1.19","1.16","0.01","0.01","0.0","0.0","1.15","34.2","486.46","243.23","485.31","452.26","0.0","","","","","","","","",""
"2014.0","12.0","22.0","356.0","18081.0","1.19","0.0","0.0","0.77","1.19","0.91","0.0","0.0","0.0","0.0","2.07","34.2","486.46","243.23","484.39","452.26","0.0","","","","","","","","",""
"2014.0","12.0","23.0","357.0","18081.0","1.19","0.0","0.0","0.72","1.19","0.86","0.0","0.0","0.0","0.0","2.92","34.2","486.46","243.23","483.54","452.26","0.0","","","","","","","","",""
"2014.0","12.0","24.0","358.0","18081.0","1.19","0.0","0.0","0.95","1.19","1.13","0.0","0.0","0.0","0.0","4.05","34.2","486.46","243.23","482.41","452.26","0.0","","","","","","","","",""
"2014.0","12.0","25.0","359.0","18081.0","1.14","0.0","0.0","1.9","1.14","2.17","1.24","1.24","0.0","0.0","4.99","34.2","486.46","243.23","481.47","452.26","0.0","","","","","","","","",""
"2014.0","12.0","26.0","360.0","18081.0","1.15","0.0","0.0","1.79","1.15","2.05","0.0","0.0","0.0","0.0","7.04","34.2","486.46","243.23","479.42","452.26","0.0","","","","","","","","",""
"2014.0","12.0","27.0","361.0","18081.0","1.16","0.0","0.0","0.76","1.16","0.88","0.0","0.0","0.0","0.0","7.92","34.2","486.46","243.23","478.54","452.26","0.0","","","","","","","","",""
"2014.0","12.0","28.0","362.0","18081.0","1.17","0.0","0.0","0.75","1.17","0.88","0.0","0.0","0.0","0.0","8.8","34.2","486.46","243.23","477.66","452.26","0.0","","","","","","","","",""
"2014.0","12.0","29.0","363.0","18081.0","1.17","0.0","0.0","0.54","1.17","0.63","0.0","0.0","0.0","0.0","9.43","34.2","486.46","243.23","477.03","452.26","0.0","","","","","","","","",""
"2014.0","12.0","30.0","364.0","18081.0","0.98","0.0","0.0","2.48","0.98","2.43","0.0","0.0","0.0","0.0","11.86","34.2","486.46","243.23","474.6","452.26","0.0","","","","","","","","",""
"2014.0","12.0","31.0","365.0","18081.0","0.85","0.0","0.0","2.64","0.85","2.24","0.0","0.0","0.0","0.0","14.1","34.2","486.46","243.23","472.36","452.26","0.0","","","","","","","","",""
"2015.0","1.0","1.0","1.0","18081.0","0.82","0.0","0.0","0.89","0.82","0.73","0.0","0.0","0.0","0.0","14.83","34.2","486.46","243.23","471.63","452.26","0.0","","","","","","","","",""
"2015.0","1.0","2.0","2.0","18081.0","0.79","0.0","0.0","0.88","0.79","0.69","0.0","0.0","0.0","0.0","15.52","34.2","486.46","243.23","470.94","452.26","0.0","","","","","","","","",""
"2015.0","1.0","3.0","3.0","18081.0","0.76","0.0","0.0","0.87","0.76","0.66","0.0","0.0","0.0","0.0","16.19","34.2","486.46","243.23","470.28","452.26","0.0","","","","","","","","",""
"2015.0","1.0","4.0","4.0","18081.0","0.74","0.0","0.0","0.97","0.74","0.72","0.0","0.0","0.0","0.0","16.9","34.2","486.46","243.23","469.56","452.26","0.0","","","","","","","","",""
"2015.0","1.0","5.0","5.0","18081.0","0.72","0.0","0.0","0.89","0.72","0.64","0.0","0.0","0.0","0.0","17.54","34.2","486.46","243.23","468.92","452.26","0.0","","","","","","","","",""
"2015.0","1.0","6.0","6.0","18081.0","0.69","0.0","0.0","1.19","0.69","0.82","0.0","0.0","0.0","0.0","18.36","34.2","486.46","243.23","468.1","452.26","0.0","","","","","","","","",""
"2015.0","1.0","7.0","7.0","18081.0","0.67","0.0","0.0","1.19","0.67","0.79","0.0","0.0","0.0","0.0","19.16","34.2","486.46","243.23","467.3","452.26","0.0","","","","","","","","",""
"2015.0","1.0","8.0","8.0","18081.0","0.65","0.0","0.0","1.04","0.65","0.67","0.0","0.0","0.0","0.0","19.83","34.2","486.46","243.23","466.63","452.26","0.0","","","","","","","","",""
"2015.0","1.0","9.0","9.0","18081.0","0.63","0.0","0.0","0.88","0.63","0.56","0.0","0.0","0.0","0.0","20.39","34.2","486.46","243.23","466.07","452.26","0.0","","","","","","","","",""
"2015.0","1.0","10.0","10.0","18081.0","0.62","0.0","0.0","0.99","0.62","0.61","0.0","0.0","0.0","0.0","21.0","34.2","486.46","243.23","465.46","452.26","0.0","","","","","","","","",""
"2015.0","1.0","11.0","11.0","18081.0","0.61","0.0","0.0","0.88","0.61","0.53","0.0","0.0","0.0","0.0","21.54","34.2","486.46","243.23","464.92","452.26","0.0","","","","","","","","",""
"2015.0","1.0","12.0","12.0","18081.0","0.59","0.0","0.0","1.02","0.59","0.6","0.0","0.0","0.0","0.0","22.14","34.2","486.46","243.23","464.32","452.26","0.0","","","","","","","","",""
"2015.0","1.0","13.0","13.0","18081.0","0.58","0.0","0.0","1.08","0.58","0.63","0.0","0.0","0.0","0.0","22.77","34.2","486.46","243.23","463.69","452.26","0.0","","","","","","","","",""
"2015.0","1.0","14.0","14.0","18081.0","0.57","0.0","0.0","0.68","0.57","0.39","0.0","0.0","0.0","0.0","23.16","34.2","486.46","243.23","463.3","452.26","0.0","","","","","","","","",""
"2015.0","1.0","15.0","15.0","18081.0","0.56","0.0","0.0","0.69","0.56","0.39","0.0","0.0","0.0","0.0","23.54","34.2","486.46","243.23","462.92","452.26","0.0","","","","","","","","",""
"2015.0","1.0","16.0","16.0","18081.0","0.56","0.0","0.0","0.6","0.56","0.33","0.0","0.0","0.0","0.0","23.88","34.2","486.46","243.23","462.58","452.26","0.0","","","","","","","","",""
"2015.0","1.0","17.0","17.0","18081.0","0.55","0.0","0.0","0.53","0.55","0.29","0.0","0.0","0.0","0.0","24.17","34.2","486.46","243.23","462.29","452.26","0.0","","","","","","","","",""
"2015.0","1.0","18.0","18.0","18081.0","0.55","0.0","0.0","0.59","0.55","0.32","0.0","0.0","0.0","0.0","24.49","34.2","486.46","243.23","461.97","452.26","0.0","","","","","","","","",""
"2015.0","1.0","19.0","19.0","18081.0","0.54","0.0","0.0","0.62","0.54","0.33","0.01","0.01","0.0","0.0","24.82","34.2","486.46","243.23","461.64","452.26","0.0","","","","","","","","",""
"2015.0","1.0","20.0","20.0","18081.0","0.53","0.0","0.0","0.75","0.53","0.4","0.0","0.0","0.0","0.0","25.22","34.2","486.46","243.23","461.24","452.26","0.0","","","","","","","","",""
"2015.0","1.0","21.0","21.0","18081.0","0.52","0.0","0.0","0.97","0.52","0.51","0.0","0.0","0.0","0.0","25.73","34.2","486.46","243.23","460.74","452.26","0.0","","","","","","","","",""
"2015.0","1.0","22.0","22.0","18081.0","0.52","0.0","0.0","0.72","0.52","0.37","0.0","0.0","0.0","0.0","26.1","34.2","486.46","243.23","460.36","452.26","0.0","","","","","","","","",""
"2015.0","1.0","23.0","23.0","18081.0","0.51","0.0","0.0","0.94","0.51","0.48","0.0","0.0","0.0","0.0","26.58","34.2","486.46","243.23","459.88","452.26","0.0","","","","","","","","",""
"2015.0","1.0","24.0","24.0","18081.0","0.5","0.0","0.0","0.87","0.5","0.44","0.0","0.0","0.0","0.0","27.01","34.2","486.46","243.23","459.45","452.26","0.0","","","","","","","","",""
"2015.0","1.0","25.0","25.0","18081.0","0.49","0.0","0.0","1.02","0.49","0.5","0.0","0.0","0.0","0.0","27.52","34.2","486.46","243.23","458.94","452.26","0.0","","","","","","","","",""
"2015.0","1.0","26.0","26.0","18081.0","0.49","0.0","0.0","1.27","0.49","0.62","0.0","0.0","0.0","0.0","28.13","34.2","486.46","243.23","458.33","452.26","0.0","","","","","","","","",""
"2015.0","1.0","27.0","27.0","18081.0","0.48","0.0","0.0","1.12","0.48","0.53","0.0","0.0","0.0","0.0","28.67","34.2","486.46","243.23","457.79","452.26","0.0","","","","","","","","",""
"2015.0","1.0","28.0","28.0","18081.0","0.47","0.0","0.0","1.5","0.47","0.7","0.0","0.0","0.0","0.0","29.37","34.2","486.46","243.23","457.09","452.26","0.0","","","","","","","","",""
"2015.0","1.0","29.0","29.0","18081.0","0.46","0.0","0.0","1.41","0.46","0.65","0.0","0.0","0.0","0.0","30.02","34.2","486.46","243.23","456.45","452.26","0.0","","","","","","","","",""
"2015.0","1.0","30.0","30.0","18081.0","0.45","0.0","0.0","1.89","0.45","0.85","0.0","0.0","0.0","0.0","30.86","34.2","486.46","243.23","455.6","452.26","0.0","","","","","","","","",""
"2015.0","1.0","31.0","31.0","18081.0","0.43","0.0","0.0","3.35","0.43","1.44","0.0","0.0","0.0","0.0","32.3","34.2","486.46","243.23","454.16","452.26","0.0","","","","","","","","",""
"2015.0","2.0","1.0","32.0","18081.0","0.42","0.0","0.0","1.46","0.42","0.62","0.0","0.0","0.0","0.0","32.91","34.2","486.46","243.23","453.55","452.26","0.0","","","","","","","","",""
"2015.0","2.0","2.0","33.0","18081.0","0.41","0.0","0.0","1.5","0.41","0.62","0.0","0.0","0.0","0.0","33.54","34.2","486.46","243.23","452.93","452.26","0.0","","","","","","","","",""
"2015.0","2.0","3.0","34.0","18081.0","0.41","0.0","0.0","1.56","0.41","0.64","0.0","0.0","0.0","0.0","34.17","34.2","486.46","243.23","452.29","452.26","0.0","","","","","","","","",""
"2015.0","2.0","4.0","35.0","18081.0","0.4","0.0","0.0","1.45","0.4","0.58","0.0","0.0","0.0","0.0","34.75","34.2","486.46","243.23","451.71","452.26","0.0","","","","","","","","",""
"2015.0","2.0","5.0","36.0","18081.0","0.4","0.0","0.0","1.11","0.4","0.44","0.0","0.0","0.0","0.0","34.2","34.2","486.46","243.23","452.26","452.26","0.0","","","","","","","","",""
"2015.0","2.0","6.0","37.0","18081.0","0.39","0.0","0.0","2.23","0.39","0.87","0.97","0.97","0.0","0.0","34.1","34.2","486.46","243.23","452.36","452.26","0.0","","","","","","","","",""
"2015.0","2.0","7.0","38.0","18081.0","1.16","0.0","0.0","1.43","1.16","1.66","20.87","20.87","0.0","0.0","14.89","34.2","486.46","243.23","471.57","452.26","0.0","","","","","","","","",""
