" Daily soil water balance output for Water Surface in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Water Surface in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"2014.0","10.0","16.0","289.0","4126.0","0.29","1.1","0.0","2.67","1.1","2.937","0.08","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","17.0","290.0","4126.0","0.29","1.1","0.0","2.51","1.1","2.761","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","18.0","291.0","4126.0","0.29","1.1","0.0","2.9","1.1","3.19","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","19.0","292.0","4126.0","0.28","1.1","0.0","3.02","1.1","3.322","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","20.0","293.0","4126.0","0.28","1.1","0.0","2.28","1.1","2.508","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","21.0","294.0","4126.0","0.27","1.1","0.0","2.62","1.1","2.882","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","22.0","295.0","4126.0","0.27","1.1","0.0","2.57","1.1","2.827","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","23.0","296.0","4126.0","0.27","1.1","0.0","2.45","1.1","2.695","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","24.0","297.0","4126.0","0.26","1.1","0.0","2.62","1.1","2.882","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","25.0","298.0","4126.0","0.26","1.1","0.0","2.31","1.1","2.541","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","26.0","299.0","4126.0","0.26","1.1","0.0","2.62","1.1","2.882","2.42","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","27.0","300.0","4126.0","0.26","1.1","0.0","2.46","1.1","2.706","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","28.0","301.0","4126.0","0.25","1.1","0.0","2.35","1.1","2.585","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","29.0","302.0","4126.0","0.25","1.1","0.0","2.4","1.1","2.64","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","30.0","303.0","4126.0","0.25","1.1","0.0","2.55","1.1","2.805","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","10.0","31.0","304.0","4126.0","0.25","1.1","0.0","1.22","1.1","1.342","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","1.0","305.0","4126.0","1.15","1.1","0.0","1.85","1.15","2.035","9.51","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","2.0","306.0","4126.0","1.14","1.1","0.0","2.22","1.14","2.442","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","3.0","307.0","4126.0","1.14","1.1","0.0","1.82","1.14","2.002","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","4.0","308.0","4126.0","1.01","1.1","0.0","1.76","1.1","1.936","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","5.0","309.0","4126.0","0.91","1.1","0.0","1.77","1.1","1.947","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","6.0","310.0","4126.0","0.82","1.1","0.0","1.95","1.1","2.145","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","7.0","311.0","4126.0","0.76","1.1","0.0","2.02","1.1","2.222","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","8.0","312.0","4126.0","0.71","1.1","0.0","1.91","1.1","2.101","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","9.0","313.0","4126.0","0.67","1.1","0.0","1.87","1.1","2.057","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","10.0","314.0","4126.0","0.63","1.1","0.0","2.04","1.1","2.244","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","11.0","315.0","4126.0","0.61","1.1","0.0","1.51","1.1","1.661","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","12.0","316.0","4126.0","0.59","1.1","0.0","1.4","1.1","1.54","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","13.0","317.0","4126.0","1.18","1.1","0.0","0.94","1.18","1.034","3.18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","14.0","318.0","4126.0","1.17","1.1","0.0","1.24","1.17","1.364","2.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","15.0","319.0","4126.0","1.17","1.1","0.0","1.23","1.17","1.353","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","16.0","320.0","4126.0","1.16","1.1","0.0","2.03","1.16","2.233","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","17.0","321.0","4126.0","1.11","1.1","0.0","1.87","1.11","2.057","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","18.0","322.0","4126.0","1.0","1.1","0.0","1.42","1.1","1.562","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","19.0","323.0","4126.0","0.95","1.1","0.0","1.0","1.1","1.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","20.0","324.0","4126.0","1.19","1.1","0.0","0.63","1.19","0.693","3.48","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","21.0","325.0","4126.0","1.19","1.1","0.0","0.77","1.19","0.847","4.74","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","22.0","326.0","4126.0","1.18","1.1","0.0","1.08","1.18","1.188","0.6","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","23.0","327.0","4126.0","1.16","1.1","0.0","1.44","1.16","1.584","1.87","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","24.0","328.0","4126.0","1.16","1.1","0.0","1.37","1.16","1.507","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","25.0","329.0","4126.0","1.17","1.1","0.0","1.22","1.17","1.342","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","26.0","330.0","4126.0","1.17","1.1","0.0","1.16","1.17","1.276","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","27.0","331.0","4126.0","1.11","1.1","0.0","1.2","1.11","1.32","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","28.0","332.0","4126.0","1.02","1.1","0.0","1.15","1.1","1.265","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","29.0","333.0","4126.0","1.19","1.1","0.0","0.86","1.19","0.946","4.67","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","11.0","30.0","334.0","4126.0","1.19","1.1","0.0","0.66","1.19","0.726","6.84","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","1.0","335.0","4126.0","1.18","1.1","0.0","1.03","1.18","1.133","3.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","2.0","336.0","4126.0","1.19","1.1","0.0","0.67","1.19","0.737","1.57","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","3.0","337.0","4126.0","1.18","1.1","0.0","1.07","1.18","1.177","42.83","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","4.0","338.0","4126.0","1.18","1.1","0.0","1.07","1.18","1.177","23.53","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","5.0","339.0","4126.0","1.18","1.1","0.0","0.94","1.18","1.034","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","6.0","340.0","4126.0","1.18","1.1","0.0","1.08","1.18","1.188","3.02","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","7.0","341.0","4126.0","1.18","1.1","0.0","0.8","1.18","0.88","0.51","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","8.0","342.0","4126.0","1.18","1.1","0.0","0.83","1.18","0.913","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","9.0","343.0","4126.0","1.19","1.1","0.0","0.69","1.19","0.759","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","10.0","344.0","4126.0","1.19","1.1","0.0","0.97","1.19","1.067","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","11.0","345.0","4126.0","1.18","1.1","0.0","1.19","1.18","1.309","0.75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","12.0","346.0","4126.0","1.2","1.1","0.0","0.6","1.2","0.66","73.65","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","13.0","347.0","4126.0","1.19","1.1","0.0","0.67","1.19","0.737","1.55","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","14.0","348.0","4126.0","1.19","1.1","0.0","0.69","1.19","0.759","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","15.0","349.0","4126.0","1.19","1.1","0.0","0.87","1.19","0.957","5.34","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","16.0","350.0","4126.0","1.17","1.1","0.0","1.18","1.17","1.298","10.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","17.0","351.0","4126.0","1.18","1.1","0.0","0.96","1.18","1.056","14.67","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","18.0","352.0","4126.0","1.18","1.1","0.0","0.91","1.18","1.001","2.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","19.0","353.0","4126.0","1.19","1.1","0.0","0.81","1.19","0.891","0.09","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","20.0","354.0","4126.0","1.19","1.1","0.0","0.63","1.19","0.693","18.41","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","21.0","355.0","4126.0","1.19","1.1","0.0","0.96","1.19","1.056","0.07","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","22.0","356.0","4126.0","1.19","1.1","0.0","0.78","1.19","0.858","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","23.0","357.0","4126.0","1.19","1.1","0.0","0.72","1.19","0.792","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","24.0","358.0","4126.0","1.19","1.1","0.0","0.97","1.19","1.067","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","25.0","359.0","4126.0","1.16","1.1","0.0","1.86","1.16","2.046","0.69","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","26.0","360.0","4126.0","1.01","1.1","0.0","1.91","1.1","2.101","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","27.0","361.0","4126.0","0.96","1.1","0.0","0.77","1.1","0.847","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","28.0","362.0","4126.0","0.92","1.1","0.0","0.76","1.1","0.836","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","29.0","363.0","4126.0","0.9","1.1","0.0","0.55","1.1","0.605","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","30.0","364.0","4126.0","0.8","1.1","0.0","2.47","1.1","2.717","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2014.0","12.0","31.0","365.0","4126.0","0.72","1.1","0.0","2.67","1.1","2.937","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","1.0","1.0","4126.0","0.71","1.1","0.0","0.85","1.1","0.935","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","2.0","2.0","4126.0","0.69","1.1","0.0","0.87","1.1","0.957","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","3.0","3.0","4126.0","0.67","1.1","0.0","0.86","1.1","0.946","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","4.0","4.0","4126.0","0.65","1.1","0.0","0.96","1.1","1.056","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","5.0","5.0","4126.0","0.64","1.1","0.0","0.86","1.1","0.946","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","6.0","6.0","4126.0","0.62","1.1","0.0","1.17","1.1","1.287","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","7.0","7.0","4126.0","0.6","1.1","0.0","1.19","1.1","1.309","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","8.0","8.0","4126.0","0.59","1.1","0.0","1.04","1.1","1.144","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","9.0","9.0","4126.0","0.58","1.1","0.0","0.87","1.1","0.957","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","10.0","10.0","4126.0","0.57","1.1","0.0","0.96","1.1","1.056","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","11.0","11.0","4126.0","0.56","1.1","0.0","0.9","1.1","0.99","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","12.0","12.0","4126.0","0.55","1.1","0.0","1.06","1.1","1.166","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","13.0","13.0","4126.0","0.53","1.1","0.0","1.19","1.1","1.309","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","14.0","14.0","4126.0","0.53","1.1","0.0","0.73","1.1","0.803","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","15.0","15.0","4126.0","0.52","1.1","0.0","0.73","1.1","0.803","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","16.0","16.0","4126.0","0.52","1.1","0.0","0.62","1.1","0.682","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","17.0","17.0","4126.0","0.51","1.1","0.0","0.57","1.1","0.627","0.16","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","18.0","18.0","4126.0","0.51","1.1","0.0","0.61","1.1","0.671","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","19.0","19.0","4126.0","0.5","1.1","0.0","0.7","1.1","0.77","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","20.0","20.0","4126.0","0.49","1.1","0.0","0.76","1.1","0.836","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","21.0","21.0","4126.0","0.49","1.1","0.0","0.95","1.1","1.045","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","22.0","22.0","4126.0","0.48","1.1","0.0","0.76","1.1","0.836","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","23.0","23.0","4126.0","0.48","1.1","0.0","0.98","1.1","1.078","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","24.0","24.0","4126.0","0.47","1.1","0.0","0.95","1.1","1.045","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","25.0","25.0","4126.0","0.46","1.1","0.0","1.05","1.1","1.155","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","26.0","26.0","4126.0","0.45","1.1","0.0","1.32","1.1","1.452","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","27.0","27.0","4126.0","0.45","1.1","0.0","1.1","1.1","1.21","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","28.0","28.0","4126.0","0.44","1.1","0.0","1.57","1.1","1.727","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","29.0","29.0","4126.0","0.43","1.1","0.0","1.46","1.1","1.606","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","30.0","30.0","4126.0","0.42","1.1","0.0","2.03","1.1","2.233","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","1.0","31.0","31.0","4126.0","0.41","1.1","0.0","3.58","1.1","3.938","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","1.0","32.0","4126.0","0.4","1.1","0.0","1.45","1.1","1.595","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","2.0","33.0","4126.0","0.39","1.1","0.0","1.48","1.1","1.628","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","3.0","34.0","4126.0","0.39","1.1","0.0","1.52","1.1","1.672","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","4.0","35.0","4126.0","0.38","1.1","0.0","1.47","1.1","1.617","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","5.0","36.0","4126.0","0.38","1.1","0.0","1.17","1.1","1.287","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","6.0","37.0","4126.0","0.37","1.1","0.0","2.17","1.1","2.387","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","7.0","38.0","4126.0","1.16","1.1","0.0","1.44","1.16","1.584","33.87","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","8.0","39.0","4126.0","1.17","1.1","0.0","1.29","1.17","1.419","4.7","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","9.0","40.0","4126.0","1.14","1.1","0.0","1.97","1.14","2.167","23.02","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","2.0","10.0","41.0","4126.0","1.14","1.1","0.0","1.83","1.14","2.013","0.18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
