" Daily soil water balance output for Turf_farm in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Turf_farm in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"2014.0","10.0","16.0","289.0","341.0","0.3","0.85","0.0","2.65","0.85","2.25","0.27","0.27","0.0","0.0","32.22","50.79","214.58","107.29","182.36","163.79","0.0","","","","","","",""
"2014.0","10.0","17.0","290.0","341.0","0.29","0.85","0.0","2.47","0.85","2.1","0.0","0.0","0.0","0.0","34.32","50.79","214.58","107.29","180.26","163.79","0.0","","","","","","",""
"2014.0","10.0","18.0","291.0","341.0","0.29","0.85","0.0","2.85","0.85","2.42","0.0","0.0","0.0","0.0","36.74","50.79","214.58","107.29","177.84","163.79","0.0","","","","","","",""
"2014.0","10.0","19.0","292.0","341.0","0.28","0.85","0.0","2.92","0.85","2.48","0.0","0.0","0.0","0.0","39.22","50.79","214.58","107.29","175.36","163.79","0.0","","","","","","",""
"2014.0","10.0","20.0","293.0","341.0","0.28","0.85","0.0","2.24","0.85","1.9","0.0","0.0","0.0","0.0","41.12","50.79","214.58","107.29","173.46","163.79","0.0","","","","","","",""
"2014.0","10.0","21.0","294.0","341.0","0.28","0.85","0.0","2.61","0.85","2.22","0.0","0.0","0.0","0.0","43.34","50.79","214.58","107.29","171.24","163.79","0.0","","","","","","",""
"2014.0","10.0","22.0","295.0","341.0","0.27","0.85","0.0","2.54","0.85","2.16","0.0","0.0","0.0","0.0","45.5","50.79","214.58","107.29","169.08","163.79","0.0","","","","","","",""
"2014.0","10.0","23.0","296.0","341.0","0.27","0.85","0.0","2.44","0.85","2.07","0.0","0.0","0.0","0.0","47.58","50.79","214.58","107.29","167.0","163.79","0.0","","","","","","",""
"2014.0","10.0","24.0","297.0","341.0","0.27","0.85","0.0","2.57","0.85","2.18","0.0","0.0","0.0","0.0","49.76","50.79","214.58","107.29","164.82","163.79","0.0","","","","","","",""
"2014.0","10.0","25.0","298.0","341.0","0.26","0.85","0.0","2.26","0.85","1.92","0.0","0.0","0.0","0.0","0.0","50.79","214.58","107.29","214.58","163.79","51.68","","","","","","",""
"2014.0","10.0","26.0","299.0","341.0","0.26","0.85","0.0","2.62","0.85","2.23","1.47","1.47","0.0","0.0","0.76","50.79","214.58","107.29","213.82","163.79","0.0","","","","","","",""
"2014.0","10.0","27.0","300.0","341.0","0.26","0.85","0.0","2.46","0.85","2.09","0.0","0.0","0.0","0.0","2.85","50.79","214.58","107.29","211.73","163.79","0.0","","","","","","",""
"2014.0","10.0","28.0","301.0","341.0","0.26","0.85","0.0","2.33","0.85","1.98","0.0","0.0","0.0","0.0","4.83","50.79","214.58","107.29","209.75","163.79","0.0","","","","","","",""
"2014.0","10.0","29.0","302.0","341.0","0.25","0.85","0.0","2.38","0.85","2.02","0.0","0.0","0.0","0.0","6.85","50.79","214.58","107.29","207.73","163.79","0.0","","","","","","",""
"2014.0","10.0","30.0","303.0","341.0","0.25","0.85","0.0","2.46","0.85","2.09","0.0","0.0","0.0","0.0","8.94","50.79","214.58","107.29","205.64","163.79","0.0","","","","","","",""
"2014.0","10.0","31.0","304.0","341.0","0.25","0.85","0.0","1.19","0.85","1.01","0.0","0.0","0.0","0.0","9.95","50.79","214.58","107.29","204.63","163.79","0.0","","","","","","",""
"2014.0","11.0","1.0","305.0","341.0","1.15","0.85","0.0","1.87","1.15","2.14","5.89","5.89","0.0","0.0","6.21","50.79","214.58","107.29","208.37","163.79","0.0","","","","","","",""
"2014.0","11.0","2.0","306.0","341.0","1.14","0.85","0.0","2.21","1.14","2.52","0.0","0.0","0.0","0.0","8.72","50.79","214.58","107.29","205.86","163.79","0.0","","","","","","",""
"2014.0","11.0","3.0","307.0","341.0","1.14","0.85","0.0","1.8","1.14","2.05","0.0","0.0","0.0","0.0","10.78","50.79","214.58","107.29","203.8","163.79","0.0","","","","","","",""
"2014.0","11.0","4.0","308.0","341.0","1.01","0.85","0.0","1.74","1.01","1.75","0.0","0.0","0.0","0.0","12.53","50.79","214.58","107.29","202.05","163.79","0.0","","","","","","",""
"2014.0","11.0","5.0","309.0","341.0","0.91","0.85","0.0","1.79","0.91","1.62","0.0","0.0","0.0","0.0","14.15","50.79","214.58","107.29","200.43","163.79","0.0","","","","","","",""
"2014.0","11.0","6.0","310.0","341.0","0.83","0.85","0.0","1.92","0.85","1.63","0.0","0.0","0.0","0.0","15.78","50.79","214.58","107.29","198.79","163.79","0.0","","","","","","",""
"2014.0","11.0","7.0","311.0","341.0","0.76","0.85","0.0","1.96","0.85","1.67","0.0","0.0","0.0","0.0","17.45","50.79","214.58","107.29","197.13","163.79","0.0","","","","","","",""
"2014.0","11.0","8.0","312.0","341.0","0.71","0.85","0.0","1.88","0.85","1.6","0.0","0.0","0.0","0.0","19.05","50.79","214.58","107.29","195.53","163.79","0.0","","","","","","",""
"2014.0","11.0","9.0","313.0","341.0","0.67","0.85","0.0","1.84","0.85","1.56","0.0","0.0","0.0","0.0","20.61","50.79","214.58","107.29","193.97","163.79","0.0","","","","","","",""
"2014.0","11.0","10.0","314.0","341.0","0.64","0.85","0.0","1.97","0.85","1.67","0.0","0.0","0.0","0.0","22.29","50.79","214.58","107.29","192.29","163.79","0.0","","","","","","",""
"2014.0","11.0","11.0","315.0","341.0","0.61","0.85","0.0","1.56","0.85","1.33","0.0","0.0","0.0","0.0","23.61","50.79","214.58","107.29","190.97","163.79","0.0","","","","","","",""
"2014.0","11.0","12.0","316.0","341.0","0.59","0.85","0.0","1.44","0.85","1.22","0.0","0.0","0.0","0.0","24.84","50.79","214.58","107.29","189.74","163.79","0.0","","","","","","",""
"2014.0","11.0","13.0","317.0","341.0","1.18","0.85","0.0","0.99","1.18","1.17","2.97","2.97","0.0","0.0","23.04","50.79","214.58","107.29","191.54","163.79","0.0","","","","","","",""
"2014.0","11.0","14.0","318.0","341.0","1.17","0.85","0.0","1.32","1.17","1.54","1.54","1.54","0.0","0.0","23.04","50.79","214.58","107.29","191.54","163.79","0.0","","","","","","",""
"2014.0","11.0","15.0","319.0","341.0","1.17","0.85","0.0","1.29","1.17","1.51","0.0","0.0","0.0","0.0","24.54","50.79","214.58","107.29","190.04","163.79","0.0","","","","","","",""
"2014.0","11.0","16.0","320.0","341.0","1.16","0.85","0.0","2.03","1.16","2.35","0.0","0.0","0.0","0.0","26.89","50.79","214.58","107.29","187.69","163.79","0.0","","","","","","",""
"2014.0","11.0","17.0","321.0","341.0","1.1","0.85","0.0","1.86","1.1","2.04","0.0","0.0","0.0","0.0","28.93","50.79","214.58","107.29","185.65","163.79","0.0","","","","","","",""
"2014.0","11.0","18.0","322.0","341.0","1.0","0.85","0.0","1.39","1.0","1.38","0.0","0.0","0.0","0.0","30.32","53.64","214.58","107.29","184.26","160.93","0.0","","","","","","",""
"2014.0","11.0","19.0","323.0","341.0","0.94","0.85","0.0","0.96","0.94","0.9","0.11","0.11","0.0","0.0","31.11","53.64","214.58","107.29","183.47","160.93","0.0","","","","","","",""
"2014.0","11.0","20.0","324.0","341.0","1.2","0.85","0.0","0.62","1.2","0.74","3.18","3.18","0.0","0.0","28.67","53.64","214.58","107.29","185.91","160.93","0.0","","","","","","",""
"2014.0","11.0","21.0","325.0","341.0","1.19","0.85","0.0","0.8","1.19","0.95","4.75","4.75","0.0","0.0","24.87","53.64","214.58","107.29","189.71","160.93","0.0","","","","","","",""
"2014.0","11.0","22.0","326.0","341.0","1.18","0.85","0.0","1.2","1.18","1.42","0.13","0.13","0.0","0.0","26.16","53.64","214.58","107.29","188.42","160.93","0.0","","","","","","",""
"2014.0","11.0","23.0","327.0","341.0","1.16","0.85","0.0","1.49","1.16","1.73","2.18","2.18","0.0","0.0","25.71","53.64","214.58","107.29","188.87","160.93","0.0","","","","","","",""
"2014.0","11.0","24.0","328.0","341.0","1.16","0.85","0.0","1.37","1.16","1.59","0.0","0.0","0.0","0.0","27.3","53.64","214.58","107.29","187.28","160.93","0.0","","","","","","",""
"2014.0","11.0","25.0","329.0","341.0","1.17","0.85","0.0","1.21","1.17","1.41","0.0","0.0","0.0","0.0","28.71","53.64","214.58","107.29","185.87","160.93","0.0","","","","","","",""
"2014.0","11.0","26.0","330.0","341.0","1.17","0.85","0.0","1.17","1.17","1.37","0.0","0.0","0.0","0.0","30.08","53.64","214.58","107.29","184.5","160.93","0.0","","","","","","",""
"2014.0","11.0","27.0","331.0","341.0","1.11","0.85","0.0","1.16","1.11","1.29","0.0","0.0","0.0","0.0","31.36","53.64","214.58","107.29","183.21","160.93","0.0","","","","","","",""
"2014.0","11.0","28.0","332.0","341.0","1.03","0.85","0.0","1.1","1.03","1.13","0.0","0.0","0.0","0.0","32.49","53.64","214.58","107.29","182.08","160.93","0.0","","","","","","",""
"2014.0","11.0","29.0","333.0","341.0","1.19","0.85","0.0","0.85","1.19","1.01","2.34","2.34","0.0","0.0","31.16","53.64","214.58","107.29","183.42","160.93","0.0","","","","","","",""
"2014.0","11.0","30.0","334.0","341.0","1.19","0.85","0.0","0.66","1.19","0.79","4.36","4.36","0.0","0.0","27.59","53.64","214.58","107.29","186.99","160.93","0.0","","","","","","",""
"2014.0","12.0","1.0","335.0","341.0","1.18","0.85","0.0","1.0","1.18","1.18","4.73","4.73","0.0","0.0","24.04","53.64","214.58","107.29","190.54","160.93","0.0","","","","","","",""
"2014.0","12.0","2.0","336.0","341.0","1.19","0.85","0.0","0.66","1.19","0.79","1.16","1.16","0.0","0.0","23.67","53.64","214.58","107.29","190.91","160.93","0.0","","","","","","",""
"2014.0","12.0","3.0","337.0","341.0","1.18","0.85","0.0","1.08","1.18","1.27","42.69","24.94","0.0","0.0","0.0","53.64","214.58","107.29","214.58","160.93","0.0","","","","","","",""
"2014.0","12.0","4.0","338.0","341.0","1.18","0.85","0.0","1.07","1.18","1.26","18.3","1.26","0.0","0.0","0.0","53.64","214.58","107.29","214.58","160.93","0.0","","","","","","",""
"2014.0","12.0","5.0","339.0","341.0","1.18","0.85","0.0","0.91","1.18","1.07","0.5","0.5","0.0","0.0","0.57","53.64","214.58","107.29","214.01","160.93","0.0","","","","","","",""
"2014.0","12.0","6.0","340.0","341.0","1.18","0.85","0.0","1.07","1.18","1.26","2.74","1.83","0.0","0.0","0.0","53.64","214.58","107.29","214.58","160.93","0.0","","","","","","",""
"2014.0","12.0","7.0","341.0","341.0","1.18","0.85","0.0","0.76","1.18","0.9","0.57","0.57","0.0","0.0","0.33","53.64","214.58","107.29","214.25","160.93","0.0","","","","","","",""
"2014.0","12.0","8.0","342.0","341.0","1.18","0.85","0.0","0.8","1.18","0.95","0.0","0.0","0.0","0.0","1.28","53.64","214.58","107.29","213.3","160.93","0.0","","","","","","",""
"2014.0","12.0","9.0","343.0","341.0","1.19","0.85","0.0","0.66","1.19","0.78","0.0","0.0","0.0","0.0","2.06","53.64","214.58","107.29","212.52","160.93","0.0","","","","","","",""
"2014.0","12.0","10.0","344.0","341.0","1.19","0.85","0.0","0.91","1.19","1.08","0.0","0.0","0.0","0.0","3.14","53.64","214.58","107.29","211.44","160.93","0.0","","","","","","",""
"2014.0","12.0","11.0","345.0","341.0","1.18","0.85","0.0","1.15","1.18","1.36","0.21","0.21","0.0","0.0","4.29","53.64","214.58","107.29","210.29","160.93","0.0","","","","","","",""
"2014.0","12.0","12.0","346.0","341.0","1.2","0.85","0.0","0.6","1.2","0.72","72.49","5.01","0.0","0.0","0.0","53.64","214.58","107.29","214.58","160.93","0.0","","","","","","",""
"2014.0","12.0","13.0","347.0","341.0","1.19","0.85","0.0","0.69","1.19","0.82","1.59","0.82","0.0","0.0","0.0","53.64","214.58","107.29","214.58","160.93","0.0","","","","","","",""
"2014.0","12.0","14.0","348.0","341.0","1.19","0.85","0.0","0.71","1.19","0.85","0.0","0.0","0.0","0.0","0.85","53.64","214.58","107.29","213.73","160.93","0.0","","","","","","",""
"2014.0","12.0","15.0","349.0","341.0","1.18","0.85","0.0","0.89","1.18","1.05","6.89","1.9","0.0","0.0","0.0","53.64","214.58","107.29","214.58","160.93","0.0","","","","","","",""
"2014.0","12.0","16.0","350.0","341.0","1.17","0.85","0.0","1.18","1.17","1.38","9.15","1.38","0.0","0.0","0.0","53.64","214.58","107.29","214.58","160.93","0.0","","","","","","",""
"2014.0","12.0","17.0","351.0","341.0","1.18","0.85","0.0","0.96","1.18","1.13","11.33","1.13","0.0","0.0","0.0","53.64","214.58","107.29","214.58","160.93","0.0","","","","","","",""
"2014.0","12.0","18.0","352.0","341.0","1.18","0.85","0.0","0.91","1.18","1.08","3.87","1.08","0.0","0.0","0.0","53.64","214.58","107.29","214.58","160.93","0.0","","","","","","",""
"2014.0","12.0","19.0","353.0","341.0","1.19","0.85","0.0","0.81","1.19","0.96","0.01","0.01","0.0","0.0","0.95","53.64","214.58","107.29","213.63","160.93","0.0","","","","","","",""
"2014.0","12.0","20.0","354.0","341.0","1.19","0.85","0.0","0.64","1.19","0.76","14.79","1.71","0.0","0.0","0.0","53.64","214.58","107.29","214.58","160.93","0.0","","","","","","",""
"2014.0","12.0","21.0","355.0","341.0","1.19","0.85","0.0","0.97","1.19","1.15","0.0","0.0","0.0","0.0","1.15","53.64","214.58","107.29","213.43","160.93","0.0","","","","","","",""
"2014.0","12.0","22.0","356.0","341.0","1.19","0.85","0.0","0.79","1.19","0.94","0.0","0.0","0.0","0.0","2.09","53.64","214.58","107.29","212.49","160.93","0.0","","","","","","",""
"2014.0","12.0","23.0","357.0","341.0","1.19","0.85","0.0","0.72","1.19","0.86","0.0","0.0","0.0","0.0","2.95","53.64","214.58","107.29","211.63","160.93","0.0","","","","","","",""
"2014.0","12.0","24.0","358.0","341.0","1.19","0.85","0.0","0.99","1.19","1.18","0.0","0.0","0.0","0.0","4.12","53.64","214.58","107.29","210.46","160.93","0.0","","","","","","",""
"2014.0","12.0","25.0","359.0","341.0","1.15","0.85","0.0","1.88","1.15","2.17","0.78","0.78","0.0","0.0","5.51","53.64","214.58","107.29","209.07","160.93","0.0","","","","","","",""
"2014.0","12.0","26.0","360.0","341.0","1.0","0.85","0.0","1.89","1.0","1.9","0.0","0.0","0.0","0.0","7.41","53.64","214.58","107.29","207.17","160.93","0.0","","","","","","",""
"2014.0","12.0","27.0","361.0","341.0","0.96","0.85","0.0","0.76","0.96","0.73","0.0","0.0","0.0","0.0","8.14","53.64","214.58","107.29","206.44","160.93","0.0","","","","","","",""
"2014.0","12.0","28.0","362.0","341.0","0.92","0.85","0.0","0.74","0.92","0.68","0.0","0.0","0.0","0.0","8.82","53.64","214.58","107.29","205.76","160.93","0.0","","","","","","",""
"2014.0","12.0","29.0","363.0","341.0","0.9","0.85","0.0","0.56","0.9","0.5","0.0","0.0","0.0","0.0","9.32","53.64","214.58","107.29","205.26","160.93","0.0","","","","","","",""
"2014.0","12.0","30.0","364.0","341.0","0.8","0.85","0.0","2.49","0.85","2.12","0.0","0.0","0.0","0.0","11.44","53.64","214.58","107.29","203.14","160.93","0.0","","","","","","",""
"2014.0","12.0","31.0","365.0","341.0","0.72","0.85","0.0","2.68","0.85","2.28","0.0","0.0","0.0","0.0","13.72","53.64","214.58","107.29","200.86","160.93","0.0","","","","","","",""
"2015.0","1.0","1.0","1.0","341.0","0.7","0.85","0.0","0.88","0.85","0.75","0.0","0.0","0.0","0.0","14.46","50.6","214.58","107.29","200.11","163.98","0.0","","","","","","",""
"2015.0","1.0","2.0","2.0","341.0","0.69","0.85","0.0","0.86","0.85","0.73","0.0","0.0","0.0","0.0","15.2","50.6","214.58","107.29","199.38","163.98","0.0","","","","","","",""
"2015.0","1.0","3.0","3.0","341.0","0.67","0.85","0.0","0.85","0.85","0.72","0.0","0.0","0.0","0.0","15.92","50.6","214.58","107.29","198.66","163.98","0.0","","","","","","",""
"2015.0","1.0","4.0","4.0","341.0","0.65","0.85","0.0","0.96","0.85","0.82","0.0","0.0","0.0","0.0","16.73","50.6","214.58","107.29","197.85","163.98","0.0","","","","","","",""
"2015.0","1.0","5.0","5.0","341.0","0.64","0.85","0.0","0.87","0.85","0.74","0.0","0.0","0.0","0.0","17.47","50.6","214.58","107.29","197.11","163.98","0.0","","","","","","",""
"2015.0","1.0","6.0","6.0","341.0","0.62","0.85","0.0","1.17","0.85","0.99","0.0","0.0","0.0","0.0","18.47","50.6","214.58","107.29","196.11","163.98","0.0","","","","","","",""
"2015.0","1.0","7.0","7.0","341.0","0.6","0.85","0.0","1.17","0.85","0.99","0.0","0.0","0.0","0.0","19.46","50.6","214.58","107.29","195.12","163.98","0.0","","","","","","",""
"2015.0","1.0","8.0","8.0","341.0","0.59","0.85","0.0","1.0","0.85","0.85","0.0","0.0","0.0","0.0","20.31","50.6","214.58","107.29","194.27","163.98","0.0","","","","","","",""
"2015.0","1.0","9.0","9.0","341.0","0.58","0.85","0.0","0.87","0.85","0.74","0.0","0.0","0.0","0.0","21.05","50.6","214.58","107.29","193.53","163.98","0.0","","","","","","",""
"2015.0","1.0","10.0","10.0","341.0","0.57","0.85","0.0","0.96","0.85","0.82","0.0","0.0","0.0","0.0","21.87","50.6","214.58","107.29","192.71","163.98","0.0","","","","","","",""
"2015.0","1.0","11.0","11.0","341.0","0.56","0.85","0.0","0.88","0.85","0.75","0.0","0.0","0.0","0.0","22.62","50.6","214.58","107.29","191.96","163.98","0.0","","","","","","",""
"2015.0","1.0","12.0","12.0","341.0","0.55","0.85","0.0","1.05","0.85","0.89","0.0","0.0","0.0","0.0","23.51","50.6","214.58","107.29","191.07","163.98","0.0","","","","","","",""
"2015.0","1.0","13.0","13.0","341.0","0.53","0.85","0.0","1.18","0.85","1.0","0.0","0.0","0.0","0.0","24.51","50.6","214.58","107.29","190.07","163.98","0.0","","","","","","",""
"2015.0","1.0","14.0","14.0","341.0","0.53","0.85","0.0","0.69","0.85","0.59","0.0","0.0","0.0","0.0","25.1","50.6","214.58","107.29","189.48","163.98","0.0","","","","","","",""
"2015.0","1.0","15.0","15.0","341.0","0.52","0.85","0.0","0.69","0.85","0.59","0.0","0.0","0.0","0.0","25.68","50.6","214.58","107.29","188.89","163.98","0.0","","","","","","",""
"2015.0","1.0","16.0","16.0","341.0","0.52","0.85","0.0","0.57","0.85","0.48","0.0","0.0","0.0","0.0","26.17","50.6","214.58","107.29","188.41","163.98","0.0","","","","","","",""
"2015.0","1.0","17.0","17.0","341.0","0.51","0.85","0.0","0.56","0.85","0.48","0.01","0.01","0.0","0.0","26.63","50.6","214.58","107.29","187.94","163.98","0.0","","","","","","",""
"2015.0","1.0","18.0","18.0","341.0","0.51","0.85","0.0","0.61","0.85","0.52","0.0","0.0","0.0","0.0","27.15","50.6","214.58","107.29","187.43","163.98","0.0","","","","","","",""
"2015.0","1.0","19.0","19.0","341.0","0.5","0.85","0.0","0.7","0.85","0.6","0.0","0.0","0.0","0.0","27.75","50.6","214.58","107.29","186.83","163.98","0.0","","","","","","",""
"2015.0","1.0","20.0","20.0","341.0","0.5","0.85","0.0","0.79","0.85","0.67","0.0","0.0","0.0","0.0","28.42","50.6","214.58","107.29","186.16","163.98","0.0","","","","","","",""
"2015.0","1.0","21.0","21.0","341.0","0.49","0.85","0.0","0.98","0.85","0.83","0.0","0.0","0.0","0.0","29.25","50.6","214.58","107.29","185.33","163.98","0.0","","","","","","",""
"2015.0","1.0","22.0","22.0","341.0","0.48","0.85","0.0","0.73","0.85","0.62","0.0","0.0","0.0","0.0","29.87","50.6","214.58","107.29","184.71","163.98","0.0","","","","","","",""
"2015.0","1.0","23.0","23.0","341.0","0.48","0.85","0.0","0.98","0.85","0.83","0.0","0.0","0.0","0.0","30.71","50.6","214.58","107.29","183.87","163.98","0.0","","","","","","",""
"2015.0","1.0","24.0","24.0","341.0","0.47","0.85","0.0","0.94","0.85","0.8","0.0","0.0","0.0","0.0","31.51","50.6","214.58","107.29","183.07","163.98","0.0","","","","","","",""
"2015.0","1.0","25.0","25.0","341.0","0.46","0.85","0.0","1.02","0.85","0.87","0.0","0.0","0.0","0.0","32.37","50.6","214.58","107.29","182.21","163.98","0.0","","","","","","",""
"2015.0","1.0","26.0","26.0","341.0","0.46","0.85","0.0","1.28","0.85","1.09","0.0","0.0","0.0","0.0","33.46","50.6","214.58","107.29","181.12","163.98","0.0","","","","","","",""
"2015.0","1.0","27.0","27.0","341.0","0.45","0.85","0.0","1.12","0.85","0.95","0.0","0.0","0.0","0.0","34.41","50.6","214.58","107.29","180.17","163.98","0.0","","","","","","",""
"2015.0","1.0","28.0","28.0","341.0","0.44","0.85","0.0","1.53","0.85","1.3","0.0","0.0","0.0","0.0","35.71","50.6","214.58","107.29","178.87","163.98","0.0","","","","","","",""
"2015.0","1.0","29.0","29.0","341.0","0.43","0.85","0.0","1.43","0.85","1.22","0.0","0.0","0.0","0.0","36.93","50.6","214.58","107.29","177.65","163.98","0.0","","","","","","",""
"2015.0","1.0","30.0","30.0","341.0","0.42","0.85","0.0","1.93","0.85","1.64","0.0","0.0","0.0","0.0","38.57","50.6","214.58","107.29","176.01","163.98","0.0","","","","","","",""
"2015.0","1.0","31.0","31.0","341.0","0.41","0.85","0.0","3.46","0.85","2.94","0.0","0.0","0.0","0.0","41.51","50.6","214.58","107.29","173.07","163.98","0.0","","","","","","",""
"2015.0","2.0","1.0","32.0","341.0","0.4","0.85","0.0","1.44","0.85","1.22","0.0","0.0","0.0","0.0","42.73","50.6","214.58","107.29","171.85","163.98","0.0","","","","","","",""
"2015.0","2.0","2.0","33.0","341.0","0.4","0.85","0.0","1.46","0.85","1.24","0.0","0.0","0.0","0.0","43.97","50.6","214.58","107.29","170.6","163.98","0.0","","","","","","",""
"2015.0","2.0","3.0","34.0","341.0","0.39","0.85","0.0","1.52","0.85","1.29","0.0","0.0","0.0","0.0","45.27","50.6","214.58","107.29","169.31","163.98","0.0","","","","","","",""
"2015.0","2.0","4.0","35.0","341.0","0.38","0.85","0.0","1.4","0.85","1.19","0.0","0.0","0.0","0.0","46.46","50.6","214.58","107.29","168.12","163.98","0.0","","","","","","",""
"2015.0","2.0","5.0","36.0","341.0","0.38","0.85","0.0","1.08","0.85","0.92","0.0","0.0","0.0","0.0","47.37","50.6","214.58","107.29","167.2","163.98","0.0","","","","","","",""
"2015.0","2.0","6.0","37.0","341.0","0.37","0.85","0.0","2.04","0.85","1.73","0.04","0.04","0.0","0.0","49.07","50.6","214.58","107.29","165.51","163.98","0.0","","","","","","",""
"2015.0","2.0","7.0","38.0","341.0","1.16","0.85","0.0","1.42","1.16","1.65","27.21","27.21","0.0","0.0","23.51","50.6","214.58","107.29","191.07","163.98","0.0","","","","","","",""
"2015.0","2.0","8.0","39.0","341.0","1.17","0.85","0.0","1.3","1.17","1.52","4.76","4.76","0.0","0.0","20.27","50.6","214.58","107.29","194.31","163.98","0.0","","","","","","",""
"2015.0","2.0","9.0","40.0","341.0","1.14","0.85","0.0","2.0","1.14","2.28","20.3","20.3","0.0","0.0","2.25","50.6","214.58","107.29","212.33","163.98","0.0","","","","","","",""
"2015.0","2.0","10.0","41.0","341.0","1.14","0.85","0.0","1.82","1.14","2.08","0.0","0.0","0.0","0.0","4.33","50.6","214.58","107.29","210.25","163.98","0.0","","","","","","",""
"2015.0","2.0","11.0","42.0","341.0","1.15","0.85","0.0","1.61","1.15","1.85","0.0","0.0","0.0","0.0","6.18","50.6","214.58","107.29","208.4","163.98","0.0","","","","","","",""
"2015.0","2.0","12.0","43.0","341.0","1.02","0.85","0.0","1.97","1.02","2.02","0.0","0.0","0.0","0.0","8.19","50.6","214.58","107.29","206.39","163.98","0.0","","","","","","",""
