" Daily soil water balance output for Alfalfa in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Alfalfa in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"2014.0","10.0","16.0","289.0","6779.0","0.29","0.9","0.0","2.67","0.9","2.4","0.08","0.08","0.0","0.0","75.8","116.39","502.92","251.46","427.12","386.53","0.0","","","","","","",""
"2014.0","10.0","17.0","290.0","6779.0","0.29","0.9","0.0","2.51","0.9","2.26","0.0","0.0","0.0","0.0","78.06","116.39","502.92","251.46","424.86","386.53","0.0","","","","","","",""
"2014.0","10.0","18.0","291.0","6779.0","0.29","0.9","0.0","2.9","0.9","2.61","0.0","0.0","0.0","0.0","80.67","116.39","502.92","251.46","422.25","386.53","0.0","","","","","","",""
"2014.0","10.0","19.0","292.0","6779.0","0.28","0.9","0.0","3.02","0.9","2.72","0.0","0.0","0.0","0.0","83.39","116.39","502.92","251.46","419.53","386.53","0.0","","","","","","",""
"2014.0","10.0","20.0","293.0","6779.0","0.28","0.9","0.0","2.28","0.9","2.05","0.0","0.0","0.0","0.0","85.44","116.39","502.92","251.46","417.48","386.53","0.0","","","","","","",""
"2014.0","10.0","21.0","294.0","6779.0","0.27","0.9","0.0","2.62","0.9","2.36","0.0","0.0","0.0","0.0","87.8","116.39","502.92","251.46","415.12","386.53","0.0","","","","","","",""
"2014.0","10.0","22.0","295.0","6779.0","0.27","0.9","0.0","2.57","0.9","2.31","0.0","0.0","0.0","0.0","90.11","116.39","502.92","251.46","412.81","386.53","0.0","","","","","","",""
"2014.0","10.0","23.0","296.0","6779.0","0.27","0.9","0.0","2.45","0.9","2.21","0.0","0.0","0.0","0.0","92.32","116.39","502.92","251.46","410.6","386.53","0.0","","","","","","",""
"2014.0","10.0","24.0","297.0","6779.0","0.26","0.9","0.0","2.62","0.9","2.36","0.0","0.0","0.0","0.0","94.68","116.39","502.92","251.46","408.24","386.53","0.0","","","","","","",""
"2014.0","10.0","25.0","298.0","6779.0","0.26","0.9","0.0","2.31","0.9","2.08","0.0","0.0","0.0","0.0","96.76","116.39","502.92","251.46","406.16","386.53","0.0","","","","","","",""
"2014.0","10.0","26.0","299.0","6779.0","0.26","0.9","0.0","2.62","0.9","2.36","2.42","2.42","0.0","0.0","96.69","116.39","502.92","251.46","406.23","386.53","0.0","","","","","","",""
"2014.0","10.0","27.0","300.0","6779.0","0.26","0.9","0.0","2.46","0.9","2.21","0.0","0.0","0.0","0.0","98.91","116.39","502.92","251.46","404.01","386.53","0.0","","","","","","",""
"2014.0","10.0","28.0","301.0","6779.0","0.25","0.9","0.0","2.35","0.9","2.12","0.0","0.0","0.0","0.0","101.02","116.39","502.92","251.46","401.9","386.53","0.0","","","","","","",""
"2014.0","10.0","29.0","302.0","6779.0","0.25","0.9","0.0","2.4","0.9","2.16","0.0","0.0","0.0","0.0","103.18","116.39","502.92","251.46","399.74","386.53","0.0","","","","","","",""
"2014.0","10.0","30.0","303.0","6779.0","0.25","0.9","0.0","2.55","0.9","2.3","0.0","0.0","0.0","0.0","105.48","116.39","502.92","251.46","397.44","386.53","0.0","","","","","","",""
"2014.0","10.0","31.0","304.0","6779.0","0.25","0.9","0.0","1.22","0.9","1.1","0.0","0.0","0.0","0.0","106.58","116.39","502.92","251.46","396.34","386.53","0.0","","","","","","",""
"2014.0","11.0","1.0","305.0","6779.0","1.15","0.9","0.0","1.85","1.15","2.12","9.51","9.51","0.0","0.0","99.19","116.39","502.92","251.46","403.73","386.53","0.0","","","","","","",""
"2014.0","11.0","2.0","306.0","6779.0","1.14","0.9","0.0","2.22","1.14","2.53","0.0","0.0","0.0","0.0","101.71","116.39","502.92","251.46","401.21","386.53","0.0","","","","","","",""
"2014.0","11.0","3.0","307.0","6779.0","1.14","0.9","0.0","1.82","1.14","2.08","0.0","0.0","0.0","0.0","103.79","116.39","502.92","251.46","399.13","386.53","0.0","","","","","","",""
"2014.0","11.0","4.0","308.0","6779.0","1.01","0.9","0.0","1.76","1.01","1.77","0.0","0.0","0.0","0.0","105.56","116.39","502.92","251.46","397.36","386.53","0.0","","","","","","",""
"2014.0","11.0","5.0","309.0","6779.0","0.91","0.9","0.0","1.77","0.91","1.6","0.0","0.0","0.0","0.0","107.17","116.39","502.92","251.46","395.75","386.53","0.0","","","","","","",""
"2014.0","11.0","6.0","310.0","6779.0","0.82","0.9","0.0","1.95","0.9","1.76","0.0","0.0","0.0","0.0","108.92","116.39","502.92","251.46","394.0","386.53","0.0","","","","","","",""
"2014.0","11.0","7.0","311.0","6779.0","0.76","0.9","0.0","2.02","0.9","1.82","0.0","0.0","0.0","0.0","110.74","116.39","502.92","251.46","392.18","386.53","0.0","","","","","","",""
"2014.0","11.0","8.0","312.0","6779.0","0.71","0.9","0.0","1.91","0.9","1.72","0.0","0.0","0.0","0.0","112.46","116.39","502.92","251.46","390.46","386.53","0.0","","","","","","",""
"2014.0","11.0","9.0","313.0","6779.0","0.67","0.9","0.0","1.87","0.9","1.68","0.0","0.0","0.0","0.0","114.14","116.39","502.92","251.46","388.78","386.53","0.0","","","","","","",""
"2014.0","11.0","10.0","314.0","6779.0","0.63","0.9","0.0","2.04","0.9","1.84","0.0","0.0","0.0","0.0","115.98","116.39","502.92","251.46","386.94","386.53","0.0","","","","","","",""
"2014.0","11.0","11.0","315.0","6779.0","0.61","0.9","0.0","1.51","0.9","1.36","0.0","0.0","0.0","0.0","0.0","116.39","502.92","251.46","502.92","386.53","117.34","","","","","","",""
"2014.0","11.0","12.0","316.0","6779.0","0.59","0.9","0.0","1.4","0.9","1.26","0.0","0.0","0.0","0.0","1.26","116.39","502.92","251.46","501.66","386.53","0.0","","","","","","",""
"2014.0","11.0","13.0","317.0","6779.0","1.18","0.9","0.0","0.94","1.18","1.11","3.18","2.37","0.0","0.0","0.0","116.39","502.92","251.46","502.92","386.53","0.0","","","","","","",""
"2014.0","11.0","14.0","318.0","6779.0","1.17","0.9","0.0","1.24","1.17","1.45","2.3","1.45","0.0","0.0","0.0","116.39","502.92","251.46","502.92","386.53","0.0","","","","","","",""
"2014.0","11.0","15.0","319.0","6779.0","1.17","0.9","0.0","1.23","1.17","1.44","0.0","0.0","0.0","0.0","1.44","116.39","502.92","251.46","501.48","386.53","0.0","","","","","","",""
"2014.0","11.0","16.0","320.0","6779.0","1.16","0.9","0.0","2.03","1.16","2.35","0.0","0.0","0.0","0.0","3.79","116.39","502.92","251.46","499.13","386.53","0.0","","","","","","",""
"2014.0","11.0","17.0","321.0","6779.0","1.11","0.9","0.0","1.87","1.11","2.07","0.0","0.0","0.0","0.0","5.87","116.39","502.92","251.46","497.05","386.53","0.0","","","","","","",""
"2014.0","11.0","18.0","322.0","6779.0","1.0","0.9","0.0","1.42","1.0","1.42","0.0","0.0","0.0","0.0","7.29","116.39","502.92","251.46","495.63","386.53","0.0","","","","","","",""
"2014.0","11.0","19.0","323.0","6779.0","0.95","0.9","0.0","1.0","0.95","0.95","0.0","0.0","0.0","0.0","8.23","116.39","502.92","251.46","494.69","386.53","0.0","","","","","","",""
"2014.0","11.0","20.0","324.0","6779.0","1.19","0.9","0.0","0.63","1.19","0.75","3.48","3.48","0.0","0.0","5.51","116.39","502.92","251.46","497.41","386.53","0.0","","","","","","",""
"2014.0","11.0","21.0","325.0","6779.0","1.19","0.9","0.0","0.77","1.19","0.92","4.74","4.74","0.0","0.0","1.68","116.39","502.92","251.46","501.24","386.53","0.0","","","","","","",""
"2014.0","11.0","22.0","326.0","6779.0","1.18","0.9","0.0","1.08","1.18","1.28","0.6","0.6","0.0","0.0","2.36","116.39","502.92","251.46","500.56","386.53","0.0","","","","","","",""
"2014.0","11.0","23.0","327.0","6779.0","1.16","0.9","0.0","1.44","1.16","1.67","1.87","1.87","0.0","0.0","2.16","116.39","502.92","251.46","500.76","386.53","0.0","","","","","","",""
"2014.0","11.0","24.0","328.0","6779.0","1.16","0.9","0.0","1.37","1.16","1.59","0.0","0.0","0.0","0.0","3.76","116.39","502.92","251.46","499.16","386.53","0.0","","","","","","",""
"2014.0","11.0","25.0","329.0","6779.0","1.17","0.9","0.0","1.22","1.17","1.42","0.0","0.0","0.0","0.0","5.18","116.39","502.92","251.46","497.74","386.53","0.0","","","","","","",""
"2014.0","11.0","26.0","330.0","6779.0","1.17","0.9","0.0","1.16","1.17","1.35","0.0","0.0","0.0","0.0","6.54","116.39","502.92","251.46","496.38","386.53","0.0","","","","","","",""
"2014.0","11.0","27.0","331.0","6779.0","1.11","0.9","0.0","1.2","1.11","1.33","0.0","0.0","0.0","0.0","7.87","116.39","502.92","251.46","495.05","386.53","0.0","","","","","","",""
"2014.0","11.0","28.0","332.0","6779.0","1.02","0.9","0.0","1.15","1.02","1.18","0.0","0.0","0.0","0.0","9.05","116.39","502.92","251.46","493.87","386.53","0.0","","","","","","",""
"2014.0","11.0","29.0","333.0","6779.0","1.19","0.9","0.0","0.86","1.19","1.02","4.67","4.67","0.0","0.0","5.4","116.39","502.92","251.46","497.52","386.53","0.0","","","","","","",""
"2014.0","11.0","30.0","334.0","6779.0","1.19","0.9","0.0","0.66","1.19","0.79","6.84","6.19","0.0","0.0","0.0","116.39","502.92","251.46","502.92","386.53","0.0","","","","","","",""
"2014.0","12.0","1.0","335.0","6779.0","1.18","0.9","0.0","1.03","1.18","1.21","3.4","1.21","0.0","0.0","0.0","116.39","502.92","251.46","502.92","386.53","0.0","","","","","","",""
"2014.0","12.0","2.0","336.0","6779.0","1.19","0.9","0.0","0.67","1.19","0.8","1.57","0.8","0.0","0.0","0.0","116.39","502.92","251.46","502.92","386.53","0.0","","","","","","",""
"2014.0","12.0","3.0","337.0","6779.0","1.18","0.9","0.0","1.07","1.18","1.26","42.83","1.26","0.0","0.0","0.0","116.39","502.92","251.46","502.92","386.53","0.0","","","","","","",""
"2014.0","12.0","4.0","338.0","6779.0","1.18","0.9","0.0","1.07","1.18","1.26","23.53","1.26","0.0","0.0","0.0","116.39","502.92","251.46","502.92","386.53","0.0","","","","","","",""
"2014.0","12.0","5.0","339.0","6779.0","1.18","0.9","0.0","0.94","1.18","1.11","0.2","0.2","0.0","0.0","0.91","116.39","502.92","251.46","502.01","386.53","0.0","","","","","","",""
"2014.0","12.0","6.0","340.0","6779.0","1.18","0.9","0.0","1.08","1.18","1.27","3.02","2.18","0.0","0.0","0.0","116.39","502.92","251.46","502.92","386.53","0.0","","","","","","",""
"2014.0","12.0","7.0","341.0","6779.0","1.18","0.9","0.0","0.8","1.18","0.95","0.51","0.51","0.0","0.0","0.44","116.39","502.92","251.46","502.48","386.53","0.0","","","","","","",""
"2014.0","12.0","8.0","342.0","6779.0","1.18","0.9","0.0","0.83","1.18","0.98","0.0","0.0","0.0","0.0","1.42","116.39","502.92","251.46","501.5","386.53","0.0","","","","","","",""
"2014.0","12.0","9.0","343.0","6779.0","1.19","0.9","0.0","0.69","1.19","0.82","0.0","0.0","0.0","0.0","2.24","116.39","502.92","251.46","500.68","386.53","0.0","","","","","","",""
"2014.0","12.0","10.0","344.0","6779.0","1.19","0.9","0.0","0.97","1.19","1.15","0.0","0.0","0.0","0.0","3.39","116.39","502.92","251.46","499.53","386.53","0.0","","","","","","",""
"2014.0","12.0","11.0","345.0","6779.0","1.18","0.9","0.0","1.19","1.18","1.41","0.75","0.75","0.0","0.0","4.04","116.39","502.92","251.46","498.88","386.53","0.0","","","","","","",""
"2014.0","12.0","12.0","346.0","6779.0","1.2","0.9","0.0","0.6","1.2","0.72","73.65","4.76","0.0","0.0","0.0","116.39","502.92","251.46","502.92","386.53","0.0","","","","","","",""
"2014.0","12.0","13.0","347.0","6779.0","1.19","0.9","0.0","0.67","1.19","0.8","1.55","0.8","0.0","0.0","0.0","116.39","502.92","251.46","502.92","386.53","0.0","","","","","","",""
"2014.0","12.0","14.0","348.0","6779.0","1.19","0.9","0.0","0.69","1.19","0.82","0.0","0.0","0.0","0.0","0.82","116.39","502.92","251.46","502.1","386.53","0.0","","","","","","",""
"2014.0","12.0","15.0","349.0","6779.0","1.19","0.9","0.0","0.87","1.19","1.03","5.34","1.85","0.0","0.0","0.0","116.39","502.92","251.46","502.92","386.53","0.0","","","","","","",""
"2014.0","12.0","16.0","350.0","6779.0","1.17","0.9","0.0","1.18","1.17","1.38","10.1","1.38","0.0","0.0","0.0","116.39","502.92","251.46","502.92","386.53","0.0","","","","","","",""
"2014.0","12.0","17.0","351.0","6779.0","1.18","0.9","0.0","0.96","1.18","1.13","14.67","1.13","0.0","0.0","0.0","116.39","502.92","251.46","502.92","386.53","0.0","","","","","","",""
"2014.0","12.0","18.0","352.0","6779.0","1.18","0.9","0.0","0.91","1.18","1.08","2.9","1.08","0.0","0.0","0.0","116.39","502.92","251.46","502.92","386.53","0.0","","","","","","",""
"2014.0","12.0","19.0","353.0","6779.0","1.19","0.9","0.0","0.81","1.19","0.96","0.09","0.09","0.0","0.0","0.87","116.39","502.92","251.46","502.05","386.53","0.0","","","","","","",""
"2014.0","12.0","20.0","354.0","6779.0","1.19","0.9","0.0","0.63","1.19","0.75","18.41","1.62","0.0","0.0","0.0","116.39","502.92","251.46","502.92","386.53","0.0","","","","","","",""
"2014.0","12.0","21.0","355.0","6779.0","1.19","0.9","0.0","0.96","1.19","1.14","0.07","0.07","0.0","0.0","1.07","116.39","502.92","251.46","501.85","386.53","0.0","","","","","","",""
"2014.0","12.0","22.0","356.0","6779.0","1.19","0.9","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","2.0","116.39","502.92","251.46","500.92","386.53","0.0","","","","","","",""
"2014.0","12.0","23.0","357.0","6779.0","1.19","0.9","0.0","0.72","1.19","0.86","0.0","0.0","0.0","0.0","2.85","116.39","502.92","251.46","500.07","386.53","0.0","","","","","","",""
"2014.0","12.0","24.0","358.0","6779.0","1.19","0.9","0.0","0.97","1.19","1.15","0.0","0.0","0.0","0.0","4.01","116.39","502.92","251.46","498.91","386.53","0.0","","","","","","",""
"2014.0","12.0","25.0","359.0","6779.0","1.16","0.9","0.0","1.86","1.16","2.16","0.69","0.69","0.0","0.0","5.48","116.39","502.92","251.46","497.44","386.53","0.0","","","","","","",""
"2014.0","12.0","26.0","360.0","6779.0","1.01","0.9","0.0","1.91","1.01","1.92","0.0","0.0","0.0","0.0","7.4","116.39","502.92","251.46","495.52","386.53","0.0","","","","","","",""
"2014.0","12.0","27.0","361.0","6779.0","0.96","0.9","0.0","0.77","0.96","0.74","0.0","0.0","0.0","0.0","8.14","116.39","502.92","251.46","494.78","386.53","0.0","","","","","","",""
"2014.0","12.0","28.0","362.0","6779.0","0.92","0.9","0.0","0.76","0.92","0.7","0.0","0.0","0.0","0.0","8.84","116.39","502.92","251.46","494.08","386.53","0.0","","","","","","",""
"2014.0","12.0","29.0","363.0","6779.0","0.9","0.9","0.0","0.55","0.9","0.5","0.0","0.0","0.0","0.0","9.34","116.39","502.92","251.46","493.58","386.53","0.0","","","","","","",""
"2014.0","12.0","30.0","364.0","6779.0","0.8","0.9","0.0","2.47","0.9","2.22","0.0","0.0","0.0","0.0","11.56","116.39","502.92","251.46","491.36","386.53","0.0","","","","","","",""
"2014.0","12.0","31.0","365.0","6779.0","0.72","0.9","0.0","2.67","0.9","2.4","0.0","0.0","0.0","0.0","13.96","116.39","502.92","251.46","488.96","386.53","0.0","","","","","","",""
"2015.0","1.0","1.0","1.0","6779.0","0.71","0.9","0.0","0.85","0.9","0.77","0.0","0.0","0.0","0.0","14.73","113.85","502.92","251.46","488.19","389.07","0.0","","","","","","",""
"2015.0","1.0","2.0","2.0","6779.0","0.69","0.9","0.0","0.87","0.9","0.78","0.0","0.0","0.0","0.0","15.51","113.85","502.92","251.46","487.41","389.07","0.0","","","","","","",""
"2015.0","1.0","3.0","3.0","6779.0","0.67","0.9","0.0","0.86","0.9","0.77","0.0","0.0","0.0","0.0","16.28","113.85","502.92","251.46","486.64","389.07","0.0","","","","","","",""
"2015.0","1.0","4.0","4.0","6779.0","0.65","0.9","0.0","0.96","0.9","0.86","0.0","0.0","0.0","0.0","17.15","113.85","502.92","251.46","485.77","389.07","0.0","","","","","","",""
"2015.0","1.0","5.0","5.0","6779.0","0.64","0.9","0.0","0.86","0.9","0.77","0.0","0.0","0.0","0.0","17.92","113.85","502.92","251.46","485.0","389.07","0.0","","","","","","",""
"2015.0","1.0","6.0","6.0","6779.0","0.62","0.9","0.0","1.17","0.9","1.05","0.0","0.0","0.0","0.0","18.97","113.85","502.92","251.46","483.95","389.07","0.0","","","","","","",""
"2015.0","1.0","7.0","7.0","6779.0","0.6","0.9","0.0","1.19","0.9","1.07","0.0","0.0","0.0","0.0","20.05","113.85","502.92","251.46","482.87","389.07","0.0","","","","","","",""
"2015.0","1.0","8.0","8.0","6779.0","0.59","0.9","0.0","1.04","0.9","0.94","0.0","0.0","0.0","0.0","20.98","113.85","502.92","251.46","481.94","389.07","0.0","","","","","","",""
"2015.0","1.0","9.0","9.0","6779.0","0.58","0.9","0.0","0.87","0.9","0.78","0.0","0.0","0.0","0.0","21.76","113.85","502.92","251.46","481.16","389.07","0.0","","","","","","",""
"2015.0","1.0","10.0","10.0","6779.0","0.57","0.9","0.0","0.96","0.9","0.86","0.0","0.0","0.0","0.0","22.63","113.85","502.92","251.46","480.29","389.07","0.0","","","","","","",""
"2015.0","1.0","11.0","11.0","6779.0","0.56","0.9","0.0","0.9","0.9","0.81","0.0","0.0","0.0","0.0","23.44","113.85","502.92","251.46","479.48","389.07","0.0","","","","","","",""
"2015.0","1.0","12.0","12.0","6779.0","0.55","0.9","0.0","1.06","0.9","0.95","0.0","0.0","0.0","0.0","24.39","113.85","502.92","251.46","478.53","389.07","0.0","","","","","","",""
"2015.0","1.0","13.0","13.0","6779.0","0.53","0.9","0.0","1.19","0.9","1.07","0.0","0.0","0.0","0.0","25.46","113.85","502.92","251.46","477.46","389.07","0.0","","","","","","",""
"2015.0","1.0","14.0","14.0","6779.0","0.53","0.9","0.0","0.73","0.9","0.66","0.0","0.0","0.0","0.0","26.12","113.85","502.92","251.46","476.8","389.07","0.0","","","","","","",""
"2015.0","1.0","15.0","15.0","6779.0","0.52","0.9","0.0","0.73","0.9","0.66","0.0","0.0","0.0","0.0","26.78","113.85","502.92","251.46","476.14","389.07","0.0","","","","","","",""
"2015.0","1.0","16.0","16.0","6779.0","0.52","0.9","0.0","0.62","0.9","0.56","0.0","0.0","0.0","0.0","27.34","113.85","502.92","251.46","475.58","389.07","0.0","","","","","","",""
"2015.0","1.0","17.0","17.0","6779.0","0.51","0.9","0.0","0.57","0.9","0.51","0.16","0.16","0.0","0.0","27.69","113.85","502.92","251.46","475.23","389.07","0.0","","","","","","",""
"2015.0","1.0","18.0","18.0","6779.0","0.51","0.9","0.0","0.61","0.9","0.55","0.0","0.0","0.0","0.0","28.24","113.85","502.92","251.46","474.68","389.07","0.0","","","","","","",""
"2015.0","1.0","19.0","19.0","6779.0","0.5","0.9","0.0","0.7","0.9","0.63","0.0","0.0","0.0","0.0","28.87","113.85","502.92","251.46","474.05","389.07","0.0","","","","","","",""
"2015.0","1.0","20.0","20.0","6779.0","0.49","0.9","0.0","0.76","0.9","0.68","0.0","0.0","0.0","0.0","29.55","113.85","502.92","251.46","473.37","389.07","0.0","","","","","","",""
"2015.0","1.0","21.0","21.0","6779.0","0.49","0.9","0.0","0.95","0.9","0.86","0.0","0.0","0.0","0.0","30.41","113.85","502.92","251.46","472.51","389.07","0.0","","","","","","",""
"2015.0","1.0","22.0","22.0","6779.0","0.48","0.9","0.0","0.76","0.9","0.68","0.0","0.0","0.0","0.0","31.09","113.85","502.92","251.46","471.83","389.07","0.0","","","","","","",""
"2015.0","1.0","23.0","23.0","6779.0","0.48","0.9","0.0","0.98","0.9","0.88","0.0","0.0","0.0","0.0","31.97","113.85","502.92","251.46","470.95","389.07","0.0","","","","","","",""
"2015.0","1.0","24.0","24.0","6779.0","0.47","0.9","0.0","0.95","0.9","0.86","0.0","0.0","0.0","0.0","32.83","113.85","502.92","251.46","470.09","389.07","0.0","","","","","","",""
"2015.0","1.0","25.0","25.0","6779.0","0.46","0.9","0.0","1.05","0.9","0.95","0.0","0.0","0.0","0.0","33.77","113.85","502.92","251.46","469.15","389.07","0.0","","","","","","",""
"2015.0","1.0","26.0","26.0","6779.0","0.45","0.9","0.0","1.32","0.9","1.19","0.0","0.0","0.0","0.0","34.96","113.85","502.92","251.46","467.96","389.07","0.0","","","","","","",""
"2015.0","1.0","27.0","27.0","6779.0","0.45","0.9","0.0","1.1","0.9","0.99","0.0","0.0","0.0","0.0","35.95","113.85","502.92","251.46","466.97","389.07","0.0","","","","","","",""
"2015.0","1.0","28.0","28.0","6779.0","0.44","0.9","0.0","1.57","0.9","1.41","0.0","0.0","0.0","0.0","37.36","113.85","502.92","251.46","465.56","389.07","0.0","","","","","","",""
"2015.0","1.0","29.0","29.0","6779.0","0.43","0.9","0.0","1.46","0.9","1.31","0.0","0.0","0.0","0.0","38.68","113.85","502.92","251.46","464.24","389.07","0.0","","","","","","",""
"2015.0","1.0","30.0","30.0","6779.0","0.42","0.9","0.0","2.03","0.9","1.83","0.0","0.0","0.0","0.0","40.5","113.85","502.92","251.46","462.42","389.07","0.0","","","","","","",""
"2015.0","1.0","31.0","31.0","6779.0","0.41","0.9","0.0","3.58","0.9","3.22","0.0","0.0","0.0","0.0","43.73","113.85","502.92","251.46","459.19","389.07","0.0","","","","","","",""
"2015.0","2.0","1.0","32.0","6779.0","0.4","0.9","0.0","1.45","0.9","1.31","0.0","0.0","0.0","0.0","45.03","113.85","502.92","251.46","457.89","389.07","0.0","","","","","","",""
"2015.0","2.0","2.0","33.0","6779.0","0.39","0.9","0.0","1.48","0.9","1.33","0.0","0.0","0.0","0.0","46.36","113.85","502.92","251.46","456.56","389.07","0.0","","","","","","",""
"2015.0","2.0","3.0","34.0","6779.0","0.39","0.9","0.0","1.52","0.9","1.37","0.0","0.0","0.0","0.0","47.73","113.85","502.92","251.46","455.19","389.07","0.0","","","","","","",""
"2015.0","2.0","4.0","35.0","6779.0","0.38","0.9","0.0","1.47","0.9","1.32","0.0","0.0","0.0","0.0","49.05","113.85","502.92","251.46","453.87","389.07","0.0","","","","","","",""
"2015.0","2.0","5.0","36.0","6779.0","0.38","0.9","0.0","1.17","0.9","1.05","0.0","0.0","0.0","0.0","50.11","113.85","502.92","251.46","452.81","389.07","0.0","","","","","","",""
"2015.0","2.0","6.0","37.0","6779.0","0.37","0.9","0.0","2.17","0.9","1.95","0.0","0.0","0.0","0.0","52.06","113.85","502.92","251.46","450.86","389.07","0.0","","","","","","",""
"2015.0","2.0","7.0","38.0","6779.0","1.16","0.9","0.0","1.44","1.16","1.67","33.87","33.87","0.0","0.0","19.86","113.85","502.92","251.46","483.06","389.07","0.0","","","","","","",""
"2015.0","2.0","8.0","39.0","6779.0","1.17","0.9","0.0","1.29","1.17","1.51","4.7","4.7","0.0","0.0","16.67","113.85","502.92","251.46","486.25","389.07","0.0","","","","","","",""
"2015.0","2.0","9.0","40.0","6779.0","1.14","0.9","0.0","1.97","1.14","2.25","23.02","18.92","0.0","0.0","0.0","113.85","502.92","251.46","502.92","389.07","0.0","","","","","","",""
"2015.0","2.0","10.0","41.0","6779.0","1.14","0.9","0.0","1.83","1.14","2.09","0.18","0.18","0.0","0.0","1.91","113.85","502.92","251.46","501.01","389.07","0.0","","","","","","",""
