" Daily soil water balance output for Alfalfa in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Alfalfa in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"2014.0","10.0","16.0","289.0","7857.0","0.3","0.9","0.0","2.65","0.9","2.39","0.27","0.27","0.0","0.0","105.25","113.01","536.45","268.22","431.2","423.44","0.0","","","","","","",""
"2014.0","10.0","17.0","290.0","7857.0","0.29","0.9","0.0","2.47","0.9","2.22","0.0","0.0","0.0","0.0","107.47","113.01","536.45","268.22","428.97","423.44","0.0","","","","","","",""
"2014.0","10.0","18.0","291.0","7857.0","0.29","0.9","0.0","2.85","0.9","2.57","0.0","0.0","0.0","0.0","110.04","113.01","536.45","268.22","426.41","423.44","0.0","","","","","","",""
"2014.0","10.0","19.0","292.0","7857.0","0.28","0.9","0.0","2.92","0.9","2.63","0.0","0.0","0.0","0.0","112.67","113.01","536.45","268.22","423.78","423.44","0.0","","","","","","",""
"2014.0","10.0","20.0","293.0","7857.0","0.28","0.9","0.0","2.24","0.9","2.02","0.0","0.0","0.0","0.0","0.0","113.01","536.45","268.22","536.45","423.44","114.68","","","","","","",""
"2014.0","10.0","21.0","294.0","7857.0","0.28","0.9","0.0","2.61","0.9","2.35","0.0","0.0","0.0","0.0","2.35","113.01","536.45","268.22","534.1","423.44","0.0","","","","","","",""
"2014.0","10.0","22.0","295.0","7857.0","0.27","0.9","0.0","2.54","0.9","2.29","0.0","0.0","0.0","0.0","4.64","113.01","536.45","268.22","531.81","423.44","0.0","","","","","","",""
"2014.0","10.0","23.0","296.0","7857.0","0.27","0.9","0.0","2.44","0.9","2.2","0.0","0.0","0.0","0.0","6.83","113.01","536.45","268.22","529.62","423.44","0.0","","","","","","",""
"2014.0","10.0","24.0","297.0","7857.0","0.27","0.9","0.0","2.57","0.9","2.31","0.0","0.0","0.0","0.0","9.14","113.01","536.45","268.22","527.3","423.44","0.0","","","","","","",""
"2014.0","10.0","25.0","298.0","7857.0","0.26","0.9","0.0","2.26","0.9","2.03","0.0","0.0","0.0","0.0","11.18","113.01","536.45","268.22","525.27","423.44","0.0","","","","","","",""
"2014.0","10.0","26.0","299.0","7857.0","0.26","0.9","0.0","2.62","0.9","2.36","1.47","1.47","0.0","0.0","12.07","113.01","536.45","268.22","524.38","423.44","0.0","","","","","","",""
"2014.0","10.0","27.0","300.0","7857.0","0.26","0.9","0.0","2.46","0.9","2.21","0.0","0.0","0.0","0.0","14.28","113.01","536.45","268.22","522.17","423.44","0.0","","","","","","",""
"2014.0","10.0","28.0","301.0","7857.0","0.26","0.9","0.0","2.33","0.9","2.1","0.0","0.0","0.0","0.0","16.38","113.01","536.45","268.22","520.07","423.44","0.0","","","","","","",""
"2014.0","10.0","29.0","302.0","7857.0","0.25","0.9","0.0","2.38","0.9","2.14","0.0","0.0","0.0","0.0","18.52","113.01","536.45","268.22","517.93","423.44","0.0","","","","","","",""
"2014.0","10.0","30.0","303.0","7857.0","0.25","0.9","0.0","2.46","0.9","2.21","0.0","0.0","0.0","0.0","20.73","113.01","536.45","268.22","515.72","423.44","0.0","","","","","","",""
"2014.0","10.0","31.0","304.0","7857.0","0.25","0.9","0.0","1.19","0.9","1.07","0.0","0.0","0.0","0.0","21.8","113.01","536.45","268.22","514.64","423.44","0.0","","","","","","",""
"2014.0","11.0","1.0","305.0","7857.0","1.15","0.9","0.0","1.87","1.15","2.14","5.89","5.89","0.0","0.0","18.06","113.01","536.45","268.22","518.39","423.44","0.0","","","","","","",""
"2014.0","11.0","2.0","306.0","7857.0","1.14","0.9","0.0","2.21","1.14","2.52","0.0","0.0","0.0","0.0","20.57","113.01","536.45","268.22","515.88","423.44","0.0","","","","","","",""
"2014.0","11.0","3.0","307.0","7857.0","1.14","0.9","0.0","1.8","1.14","2.05","0.0","0.0","0.0","0.0","22.63","113.01","536.45","268.22","513.82","423.44","0.0","","","","","","",""
"2014.0","11.0","4.0","308.0","7857.0","1.01","0.9","0.0","1.74","1.01","1.75","0.0","0.0","0.0","0.0","24.38","113.01","536.45","268.22","512.07","423.44","0.0","","","","","","",""
"2014.0","11.0","5.0","309.0","7857.0","0.91","0.9","0.0","1.79","0.91","1.62","0.0","0.0","0.0","0.0","26.0","113.01","536.45","268.22","510.45","423.44","0.0","","","","","","",""
"2014.0","11.0","6.0","310.0","7857.0","0.83","0.9","0.0","1.92","0.9","1.73","0.0","0.0","0.0","0.0","27.73","113.01","536.45","268.22","508.72","423.44","0.0","","","","","","",""
"2014.0","11.0","7.0","311.0","7857.0","0.76","0.9","0.0","1.96","0.9","1.76","0.0","0.0","0.0","0.0","29.49","113.01","536.45","268.22","506.95","423.44","0.0","","","","","","",""
"2014.0","11.0","8.0","312.0","7857.0","0.71","0.9","0.0","1.88","0.9","1.69","0.0","0.0","0.0","0.0","31.19","113.01","536.45","268.22","505.26","423.44","0.0","","","","","","",""
"2014.0","11.0","9.0","313.0","7857.0","0.67","0.9","0.0","1.84","0.9","1.66","0.0","0.0","0.0","0.0","32.84","113.01","536.45","268.22","503.61","423.44","0.0","","","","","","",""
"2014.0","11.0","10.0","314.0","7857.0","0.64","0.9","0.0","1.97","0.9","1.77","0.0","0.0","0.0","0.0","34.62","113.01","536.45","268.22","501.83","423.44","0.0","","","","","","",""
"2014.0","11.0","11.0","315.0","7857.0","0.61","0.9","0.0","1.56","0.9","1.4","0.0","0.0","0.0","0.0","36.02","113.01","536.45","268.22","500.43","423.44","0.0","","","","","","",""
"2014.0","11.0","12.0","316.0","7857.0","0.59","0.9","0.0","1.44","0.9","1.3","0.0","0.0","0.0","0.0","37.32","113.01","536.45","268.22","499.13","423.44","0.0","","","","","","",""
"2014.0","11.0","13.0","317.0","7857.0","1.18","0.9","0.0","0.99","1.18","1.17","2.97","2.97","0.0","0.0","35.51","113.01","536.45","268.22","500.93","423.44","0.0","","","","","","",""
"2014.0","11.0","14.0","318.0","7857.0","1.17","0.9","0.0","1.32","1.17","1.54","1.54","1.54","0.0","0.0","35.51","113.01","536.45","268.22","500.93","423.44","0.0","","","","","","",""
"2014.0","11.0","15.0","319.0","7857.0","1.17","0.9","0.0","1.29","1.17","1.51","0.0","0.0","0.0","0.0","37.02","113.01","536.45","268.22","499.43","423.44","0.0","","","","","","",""
"2014.0","11.0","16.0","320.0","7857.0","1.16","0.9","0.0","2.03","1.16","2.35","0.0","0.0","0.0","0.0","39.37","113.01","536.45","268.22","497.08","423.44","0.0","","","","","","",""
"2014.0","11.0","17.0","321.0","7857.0","1.1","0.9","0.0","1.86","1.1","2.04","0.0","0.0","0.0","0.0","41.41","113.01","536.45","268.22","495.04","423.44","0.0","","","","","","",""
"2014.0","11.0","18.0","322.0","7857.0","1.0","0.9","0.0","1.39","1.0","1.38","0.0","0.0","0.0","0.0","42.79","113.01","536.45","268.22","493.65","423.44","0.0","","","","","","",""
"2014.0","11.0","19.0","323.0","7857.0","0.94","0.9","0.0","0.96","0.94","0.9","0.11","0.11","0.0","0.0","43.59","113.01","536.45","268.22","492.86","423.44","0.0","","","","","","",""
"2014.0","11.0","20.0","324.0","7857.0","1.2","0.9","0.0","0.62","1.2","0.74","3.18","3.18","0.0","0.0","41.15","113.01","536.45","268.22","495.3","423.44","0.0","","","","","","",""
"2014.0","11.0","21.0","325.0","7857.0","1.19","0.9","0.0","0.8","1.19","0.95","4.75","4.75","0.0","0.0","37.35","113.01","536.45","268.22","499.1","423.44","0.0","","","","","","",""
"2014.0","11.0","22.0","326.0","7857.0","1.18","0.9","0.0","1.2","1.18","1.42","0.13","0.13","0.0","0.0","38.64","113.01","536.45","268.22","497.81","423.44","0.0","","","","","","",""
"2014.0","11.0","23.0","327.0","7857.0","1.16","0.9","0.0","1.49","1.16","1.73","2.18","2.18","0.0","0.0","38.18","113.01","536.45","268.22","498.26","423.44","0.0","","","","","","",""
"2014.0","11.0","24.0","328.0","7857.0","1.16","0.9","0.0","1.37","1.16","1.59","0.0","0.0","0.0","0.0","39.78","113.01","536.45","268.22","496.67","423.44","0.0","","","","","","",""
"2014.0","11.0","25.0","329.0","7857.0","1.17","0.9","0.0","1.21","1.17","1.41","0.0","0.0","0.0","0.0","41.19","113.01","536.45","268.22","495.26","423.44","0.0","","","","","","",""
"2014.0","11.0","26.0","330.0","7857.0","1.17","0.9","0.0","1.17","1.17","1.37","0.0","0.0","0.0","0.0","42.55","113.01","536.45","268.22","493.89","423.44","0.0","","","","","","",""
"2014.0","11.0","27.0","331.0","7857.0","1.11","0.9","0.0","1.16","1.11","1.29","0.0","0.0","0.0","0.0","43.84","113.01","536.45","268.22","492.6","423.44","0.0","","","","","","",""
"2014.0","11.0","28.0","332.0","7857.0","1.03","0.9","0.0","1.1","1.03","1.13","0.0","0.0","0.0","0.0","44.97","113.01","536.45","268.22","491.47","423.44","0.0","","","","","","",""
"2014.0","11.0","29.0","333.0","7857.0","1.19","0.9","0.0","0.85","1.19","1.01","2.34","2.34","0.0","0.0","43.64","113.01","536.45","268.22","492.81","423.44","0.0","","","","","","",""
"2014.0","11.0","30.0","334.0","7857.0","1.19","0.9","0.0","0.66","1.19","0.79","4.36","4.36","0.0","0.0","40.07","113.01","536.45","268.22","496.38","423.44","0.0","","","","","","",""
"2014.0","12.0","1.0","335.0","7857.0","1.18","0.9","0.0","1.0","1.18","1.18","4.73","4.73","0.0","0.0","36.52","113.01","536.45","268.22","499.93","423.44","0.0","","","","","","",""
"2014.0","12.0","2.0","336.0","7857.0","1.19","0.9","0.0","0.66","1.19","0.79","1.16","1.16","0.0","0.0","36.15","113.01","536.45","268.22","500.3","423.44","0.0","","","","","","",""
"2014.0","12.0","3.0","337.0","7857.0","1.18","0.9","0.0","1.08","1.18","1.27","42.69","37.42","0.0","0.0","0.0","113.01","536.45","268.22","536.45","423.44","0.0","","","","","","",""
"2014.0","12.0","4.0","338.0","7857.0","1.18","0.9","0.0","1.07","1.18","1.26","18.3","1.26","0.0","0.0","0.0","113.01","536.45","268.22","536.45","423.44","0.0","","","","","","",""
"2014.0","12.0","5.0","339.0","7857.0","1.18","0.9","0.0","0.91","1.18","1.07","0.5","0.5","0.0","0.0","0.57","113.01","536.45","268.22","535.87","423.44","0.0","","","","","","",""
"2014.0","12.0","6.0","340.0","7857.0","1.18","0.9","0.0","1.07","1.18","1.26","2.74","1.83","0.0","0.0","0.0","113.01","536.45","268.22","536.45","423.44","0.0","","","","","","",""
"2014.0","12.0","7.0","341.0","7857.0","1.18","0.9","0.0","0.76","1.18","0.9","0.57","0.57","0.0","0.0","0.33","113.01","536.45","268.22","536.12","423.44","0.0","","","","","","",""
"2014.0","12.0","8.0","342.0","7857.0","1.18","0.9","0.0","0.8","1.18","0.95","0.0","0.0","0.0","0.0","1.28","113.01","536.45","268.22","535.17","423.44","0.0","","","","","","",""
"2014.0","12.0","9.0","343.0","7857.0","1.19","0.9","0.0","0.66","1.19","0.78","0.0","0.0","0.0","0.0","2.06","113.01","536.45","268.22","534.39","423.44","0.0","","","","","","",""
"2014.0","12.0","10.0","344.0","7857.0","1.19","0.9","0.0","0.91","1.19","1.08","0.0","0.0","0.0","0.0","3.14","113.01","536.45","268.22","533.31","423.44","0.0","","","","","","",""
"2014.0","12.0","11.0","345.0","7857.0","1.18","0.9","0.0","1.15","1.18","1.36","0.21","0.21","0.0","0.0","4.29","113.01","536.45","268.22","532.16","423.44","0.0","","","","","","",""
"2014.0","12.0","12.0","346.0","7857.0","1.2","0.9","0.0","0.6","1.2","0.72","72.49","5.01","0.0","0.0","0.0","113.01","536.45","268.22","536.45","423.44","0.0","","","","","","",""
"2014.0","12.0","13.0","347.0","7857.0","1.19","0.9","0.0","0.69","1.19","0.82","1.59","0.82","0.0","0.0","0.0","113.01","536.45","268.22","536.45","423.44","0.0","","","","","","",""
"2014.0","12.0","14.0","348.0","7857.0","1.19","0.9","0.0","0.71","1.19","0.85","0.0","0.0","0.0","0.0","0.85","113.01","536.45","268.22","535.6","423.44","0.0","","","","","","",""
"2014.0","12.0","15.0","349.0","7857.0","1.18","0.9","0.0","0.89","1.18","1.05","6.89","1.9","0.0","0.0","0.0","113.01","536.45","268.22","536.45","423.44","0.0","","","","","","",""
"2014.0","12.0","16.0","350.0","7857.0","1.17","0.9","0.0","1.18","1.17","1.38","9.15","1.38","0.0","0.0","0.0","113.01","536.45","268.22","536.45","423.44","0.0","","","","","","",""
"2014.0","12.0","17.0","351.0","7857.0","1.18","0.9","0.0","0.96","1.18","1.13","11.33","1.13","0.0","0.0","0.0","113.01","536.45","268.22","536.45","423.44","0.0","","","","","","",""
"2014.0","12.0","18.0","352.0","7857.0","1.18","0.9","0.0","0.91","1.18","1.08","3.87","1.08","0.0","0.0","0.0","113.01","536.45","268.22","536.45","423.44","0.0","","","","","","",""
"2014.0","12.0","19.0","353.0","7857.0","1.19","0.9","0.0","0.81","1.19","0.96","0.01","0.01","0.0","0.0","0.95","113.01","536.45","268.22","535.5","423.44","0.0","","","","","","",""
"2014.0","12.0","20.0","354.0","7857.0","1.19","0.9","0.0","0.64","1.19","0.76","14.79","1.71","0.0","0.0","0.0","113.01","536.45","268.22","536.45","423.44","0.0","","","","","","",""
"2014.0","12.0","21.0","355.0","7857.0","1.19","0.9","0.0","0.97","1.19","1.15","0.0","0.0","0.0","0.0","1.15","113.01","536.45","268.22","535.3","423.44","0.0","","","","","","",""
"2014.0","12.0","22.0","356.0","7857.0","1.19","0.9","0.0","0.79","1.19","0.94","0.0","0.0","0.0","0.0","2.09","113.01","536.45","268.22","534.36","423.44","0.0","","","","","","",""
"2014.0","12.0","23.0","357.0","7857.0","1.19","0.9","0.0","0.72","1.19","0.86","0.0","0.0","0.0","0.0","2.95","113.01","536.45","268.22","533.5","423.44","0.0","","","","","","",""
"2014.0","12.0","24.0","358.0","7857.0","1.19","0.9","0.0","0.99","1.19","1.18","0.0","0.0","0.0","0.0","4.12","113.01","536.45","268.22","532.33","423.44","0.0","","","","","","",""
"2014.0","12.0","25.0","359.0","7857.0","1.15","0.9","0.0","1.88","1.15","2.17","0.78","0.78","0.0","0.0","5.51","113.01","536.45","268.22","530.94","423.44","0.0","","","","","","",""
"2014.0","12.0","26.0","360.0","7857.0","1.0","0.9","0.0","1.89","1.0","1.9","0.0","0.0","0.0","0.0","7.41","113.01","536.45","268.22","529.04","423.44","0.0","","","","","","",""
"2014.0","12.0","27.0","361.0","7857.0","0.96","0.9","0.0","0.76","0.96","0.73","0.0","0.0","0.0","0.0","8.14","113.01","536.45","268.22","528.31","423.44","0.0","","","","","","",""
"2014.0","12.0","28.0","362.0","7857.0","0.92","0.9","0.0","0.74","0.92","0.68","0.0","0.0","0.0","0.0","8.82","113.01","536.45","268.22","527.63","423.44","0.0","","","","","","",""
"2014.0","12.0","29.0","363.0","7857.0","0.9","0.9","0.0","0.56","0.9","0.5","0.0","0.0","0.0","0.0","9.32","113.01","536.45","268.22","527.12","423.44","0.0","","","","","","",""
"2014.0","12.0","30.0","364.0","7857.0","0.8","0.9","0.0","2.49","0.9","2.24","0.0","0.0","0.0","0.0","11.57","113.01","536.45","268.22","524.88","423.44","0.0","","","","","","",""
"2014.0","12.0","31.0","365.0","7857.0","0.72","0.9","0.0","2.68","0.9","2.41","0.0","0.0","0.0","0.0","13.98","113.01","536.45","268.22","522.47","423.44","0.0","","","","","","",""
"2015.0","1.0","1.0","1.0","7857.0","0.7","0.9","0.0","0.88","0.9","0.79","0.0","0.0","0.0","0.0","14.77","124.14","536.45","268.22","521.68","412.31","0.0","","","","","","",""
"2015.0","1.0","2.0","2.0","7857.0","0.69","0.9","0.0","0.86","0.9","0.77","0.0","0.0","0.0","0.0","15.54","124.14","536.45","268.22","520.9","412.31","0.0","","","","","","",""
"2015.0","1.0","3.0","3.0","7857.0","0.67","0.9","0.0","0.85","0.9","0.77","0.0","0.0","0.0","0.0","16.31","124.14","536.45","268.22","520.14","412.31","0.0","","","","","","",""
"2015.0","1.0","4.0","4.0","7857.0","0.65","0.9","0.0","0.96","0.9","0.86","0.0","0.0","0.0","0.0","17.17","124.14","536.45","268.22","519.28","412.31","0.0","","","","","","",""
"2015.0","1.0","5.0","5.0","7857.0","0.64","0.9","0.0","0.87","0.9","0.78","0.0","0.0","0.0","0.0","17.96","124.14","536.45","268.22","518.49","412.31","0.0","","","","","","",""
"2015.0","1.0","6.0","6.0","7857.0","0.62","0.9","0.0","1.17","0.9","1.05","0.0","0.0","0.0","0.0","19.01","124.14","536.45","268.22","517.44","412.31","0.0","","","","","","",""
"2015.0","1.0","7.0","7.0","7857.0","0.6","0.9","0.0","1.17","0.9","1.05","0.0","0.0","0.0","0.0","20.06","124.14","536.45","268.22","516.39","412.31","0.0","","","","","","",""
"2015.0","1.0","8.0","8.0","7857.0","0.59","0.9","0.0","1.0","0.9","0.9","0.0","0.0","0.0","0.0","20.96","124.14","536.45","268.22","515.49","412.31","0.0","","","","","","",""
"2015.0","1.0","9.0","9.0","7857.0","0.58","0.9","0.0","0.87","0.9","0.78","0.0","0.0","0.0","0.0","21.74","124.14","536.45","268.22","514.7","412.31","0.0","","","","","","",""
"2015.0","1.0","10.0","10.0","7857.0","0.57","0.9","0.0","0.96","0.9","0.86","0.0","0.0","0.0","0.0","22.61","124.14","536.45","268.22","513.84","412.31","0.0","","","","","","",""
"2015.0","1.0","11.0","11.0","7857.0","0.56","0.9","0.0","0.88","0.9","0.79","0.0","0.0","0.0","0.0","23.4","124.14","536.45","268.22","513.05","412.31","0.0","","","","","","",""
"2015.0","1.0","12.0","12.0","7857.0","0.55","0.9","0.0","1.05","0.9","0.95","0.0","0.0","0.0","0.0","24.35","124.14","536.45","268.22","512.1","412.31","0.0","","","","","","",""
"2015.0","1.0","13.0","13.0","7857.0","0.53","0.9","0.0","1.18","0.9","1.06","0.0","0.0","0.0","0.0","25.41","124.14","536.45","268.22","511.04","412.31","0.0","","","","","","",""
"2015.0","1.0","14.0","14.0","7857.0","0.53","0.9","0.0","0.69","0.9","0.62","0.0","0.0","0.0","0.0","26.03","124.14","536.45","268.22","510.42","412.31","0.0","","","","","","",""
"2015.0","1.0","15.0","15.0","7857.0","0.52","0.9","0.0","0.69","0.9","0.62","0.0","0.0","0.0","0.0","26.65","124.14","536.45","268.22","509.8","412.31","0.0","","","","","","",""
"2015.0","1.0","16.0","16.0","7857.0","0.52","0.9","0.0","0.57","0.9","0.51","0.0","0.0","0.0","0.0","27.16","124.14","536.45","268.22","509.29","412.31","0.0","","","","","","",""
"2015.0","1.0","17.0","17.0","7857.0","0.51","0.9","0.0","0.56","0.9","0.5","0.01","0.01","0.0","0.0","27.66","124.14","536.45","268.22","508.79","412.31","0.0","","","","","","",""
"2015.0","1.0","18.0","18.0","7857.0","0.51","0.9","0.0","0.61","0.9","0.55","0.0","0.0","0.0","0.0","28.21","124.14","536.45","268.22","508.24","412.31","0.0","","","","","","",""
"2015.0","1.0","19.0","19.0","7857.0","0.5","0.9","0.0","0.7","0.9","0.63","0.0","0.0","0.0","0.0","28.84","124.14","536.45","268.22","507.61","412.31","0.0","","","","","","",""
"2015.0","1.0","20.0","20.0","7857.0","0.5","0.9","0.0","0.79","0.9","0.71","0.0","0.0","0.0","0.0","29.55","124.14","536.45","268.22","506.9","412.31","0.0","","","","","","",""
"2015.0","1.0","21.0","21.0","7857.0","0.49","0.9","0.0","0.98","0.9","0.88","0.0","0.0","0.0","0.0","30.43","124.14","536.45","268.22","506.02","412.31","0.0","","","","","","",""
"2015.0","1.0","22.0","22.0","7857.0","0.48","0.9","0.0","0.73","0.9","0.66","0.0","0.0","0.0","0.0","31.09","124.14","536.45","268.22","505.36","412.31","0.0","","","","","","",""
"2015.0","1.0","23.0","23.0","7857.0","0.48","0.9","0.0","0.98","0.9","0.88","0.0","0.0","0.0","0.0","31.97","124.14","536.45","268.22","504.48","412.31","0.0","","","","","","",""
"2015.0","1.0","24.0","24.0","7857.0","0.47","0.9","0.0","0.94","0.9","0.85","0.0","0.0","0.0","0.0","32.81","124.14","536.45","268.22","503.63","412.31","0.0","","","","","","",""
"2015.0","1.0","25.0","25.0","7857.0","0.46","0.9","0.0","1.02","0.9","0.92","0.0","0.0","0.0","0.0","33.73","124.14","536.45","268.22","502.72","412.31","0.0","","","","","","",""
"2015.0","1.0","26.0","26.0","7857.0","0.46","0.9","0.0","1.28","0.9","1.15","0.0","0.0","0.0","0.0","34.88","124.14","536.45","268.22","501.56","412.31","0.0","","","","","","",""
"2015.0","1.0","27.0","27.0","7857.0","0.45","0.9","0.0","1.12","0.9","1.01","0.0","0.0","0.0","0.0","35.89","124.14","536.45","268.22","500.56","412.31","0.0","","","","","","",""
"2015.0","1.0","28.0","28.0","7857.0","0.44","0.9","0.0","1.53","0.9","1.38","0.0","0.0","0.0","0.0","37.27","124.14","536.45","268.22","499.18","412.31","0.0","","","","","","",""
"2015.0","1.0","29.0","29.0","7857.0","0.43","0.9","0.0","1.43","0.9","1.29","0.0","0.0","0.0","0.0","38.56","124.14","536.45","268.22","497.89","412.31","0.0","","","","","","",""
"2015.0","1.0","30.0","30.0","7857.0","0.42","0.9","0.0","1.93","0.9","1.74","0.0","0.0","0.0","0.0","40.29","124.14","536.45","268.22","496.16","412.31","0.0","","","","","","",""
"2015.0","1.0","31.0","31.0","7857.0","0.41","0.9","0.0","3.46","0.9","3.11","0.0","0.0","0.0","0.0","43.41","124.14","536.45","268.22","493.04","412.31","0.0","","","","","","",""
"2015.0","2.0","1.0","32.0","7857.0","0.4","0.9","0.0","1.44","0.9","1.3","0.0","0.0","0.0","0.0","44.7","124.14","536.45","268.22","491.75","412.31","0.0","","","","","","",""
"2015.0","2.0","2.0","33.0","7857.0","0.4","0.9","0.0","1.46","0.9","1.31","0.0","0.0","0.0","0.0","46.02","124.14","536.45","268.22","490.43","412.31","0.0","","","","","","",""
"2015.0","2.0","3.0","34.0","7857.0","0.39","0.9","0.0","1.52","0.9","1.37","0.0","0.0","0.0","0.0","47.38","124.14","536.45","268.22","489.06","412.31","0.0","","","","","","",""
"2015.0","2.0","4.0","35.0","7857.0","0.38","0.9","0.0","1.4","0.9","1.26","0.0","0.0","0.0","0.0","48.64","124.14","536.45","268.22","487.8","412.31","0.0","","","","","","",""
"2015.0","2.0","5.0","36.0","7857.0","0.38","0.9","0.0","1.08","0.9","0.97","0.0","0.0","0.0","0.0","49.62","124.14","536.45","268.22","486.83","412.31","0.0","","","","","","",""
"2015.0","2.0","6.0","37.0","7857.0","0.37","0.9","0.0","2.04","0.9","1.84","0.04","0.04","0.0","0.0","51.41","124.14","536.45","268.22","485.04","412.31","0.0","","","","","","",""
"2015.0","2.0","7.0","38.0","7857.0","1.16","0.9","0.0","1.42","1.16","1.65","27.21","27.21","0.0","0.0","25.85","124.14","536.45","268.22","510.59","412.31","0.0","","","","","","",""
"2015.0","2.0","8.0","39.0","7857.0","1.17","0.9","0.0","1.3","1.17","1.52","4.76","4.76","0.0","0.0","22.61","124.14","536.45","268.22","513.84","412.31","0.0","","","","","","",""
"2015.0","2.0","9.0","40.0","7857.0","1.14","0.9","0.0","2.0","1.14","2.28","20.3","20.3","0.0","0.0","4.59","124.14","536.45","268.22","531.86","412.31","0.0","","","","","","",""
"2015.0","2.0","10.0","41.0","7857.0","1.14","0.9","0.0","1.82","1.14","2.08","0.0","0.0","0.0","0.0","6.67","124.14","536.45","268.22","529.77","412.31","0.0","","","","","","",""
