" Daily soil water balance output for Olives in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Olives in 186_Yolo DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"2014.0","10.0","16.0","289.0","63.0","0.29","0.7","0.0","2.67","0.7","1.87","0.08","0.08","0.0","0.0","68.55","137.16","548.64","274.32","480.09","411.48","0.0","","","","","","",""
"2014.0","10.0","17.0","290.0","63.0","0.29","0.7","0.0","2.51","0.7","1.76","0.0","0.0","0.0","0.0","70.31","137.16","548.64","274.32","478.33","411.48","0.0","","","","","","",""
"2014.0","10.0","18.0","291.0","63.0","0.29","0.7","0.0","2.9","0.7","2.03","0.0","0.0","0.0","0.0","72.34","137.16","548.64","274.32","476.3","411.48","0.0","","","","","","",""
"2014.0","10.0","19.0","292.0","63.0","0.28","0.7","0.0","3.02","0.7","2.11","0.0","0.0","0.0","0.0","74.45","137.16","548.64","274.32","474.19","411.48","0.0","","","","","","",""
"2014.0","10.0","20.0","293.0","63.0","0.28","0.7","0.0","2.28","0.7","1.6","0.0","0.0","0.0","0.0","76.05","137.16","548.64","274.32","472.59","411.48","0.0","","","","","","",""
"2014.0","10.0","21.0","294.0","63.0","0.27","0.7","0.0","2.62","0.7","1.83","0.0","0.0","0.0","0.0","77.88","137.16","548.64","274.32","470.76","411.48","0.0","","","","","","",""
"2014.0","10.0","22.0","295.0","63.0","0.27","0.7","0.0","2.57","0.7","1.8","0.0","0.0","0.0","0.0","79.68","137.16","548.64","274.32","468.96","411.48","0.0","","","","","","",""
"2014.0","10.0","23.0","296.0","63.0","0.27","0.7","0.0","2.45","0.7","1.72","0.0","0.0","0.0","0.0","81.39","137.16","548.64","274.32","467.25","411.48","0.0","","","","","","",""
"2014.0","10.0","24.0","297.0","63.0","0.26","0.7","0.0","2.62","0.7","1.83","0.0","0.0","0.0","0.0","83.23","137.16","548.64","274.32","465.41","411.48","0.0","","","","","","",""
"2014.0","10.0","25.0","298.0","63.0","0.26","0.7","0.0","2.31","0.7","1.62","0.0","0.0","0.0","0.0","84.85","137.16","548.64","274.32","463.79","411.48","0.0","","","","","","",""
"2014.0","10.0","26.0","299.0","63.0","0.26","0.7","0.0","2.62","0.7","1.83","2.42","2.42","0.0","0.0","84.26","137.16","548.64","274.32","464.38","411.48","0.0","","","","","","",""
"2014.0","10.0","27.0","300.0","63.0","0.26","0.7","0.0","2.46","0.7","1.72","0.0","0.0","0.0","0.0","85.98","137.16","548.64","274.32","462.66","411.48","0.0","","","","","","",""
"2014.0","10.0","28.0","301.0","63.0","0.25","0.7","0.0","2.35","0.7","1.65","0.0","0.0","0.0","0.0","87.63","137.16","548.64","274.32","461.01","411.48","0.0","","","","","","",""
"2014.0","10.0","29.0","302.0","63.0","0.25","0.7","0.0","2.4","0.7","1.68","0.0","0.0","0.0","0.0","89.31","137.16","548.64","274.32","459.33","411.48","0.0","","","","","","",""
"2014.0","10.0","30.0","303.0","63.0","0.25","0.7","0.0","2.55","0.7","1.79","0.0","0.0","0.0","0.0","91.09","137.16","548.64","274.32","457.55","411.48","0.0","","","","","","",""
"2014.0","10.0","31.0","304.0","63.0","0.25","0.7","0.0","1.22","0.7","0.85","0.0","0.0","0.0","0.0","91.95","137.16","548.64","274.32","456.69","411.48","0.0","","","","","","",""
"2014.0","11.0","1.0","305.0","63.0","1.15","0.7","0.0","1.85","1.15","2.12","9.51","9.51","0.0","0.0","84.56","137.16","548.64","274.32","464.08","411.48","0.0","","","","","","",""
"2014.0","11.0","2.0","306.0","63.0","1.14","0.7","0.0","2.22","1.14","2.53","0.0","0.0","0.0","0.0","87.08","137.16","548.64","274.32","461.56","411.48","0.0","","","","","","",""
"2014.0","11.0","3.0","307.0","63.0","1.14","0.7","0.0","1.82","1.14","2.08","0.0","0.0","0.0","0.0","89.16","137.16","548.64","274.32","459.48","411.48","0.0","","","","","","",""
"2014.0","11.0","4.0","308.0","63.0","1.01","0.7","0.0","1.76","1.01","1.77","0.0","0.0","0.0","0.0","90.93","137.16","548.64","274.32","457.71","411.48","0.0","","","","","","",""
"2014.0","11.0","5.0","309.0","63.0","0.91","0.7","0.0","1.77","0.91","1.6","0.0","0.0","0.0","0.0","92.53","137.16","548.64","274.32","456.11","411.48","0.0","","","","","","",""
"2014.0","11.0","6.0","310.0","63.0","0.82","0.7","0.0","1.95","0.82","1.61","0.0","0.0","0.0","0.0","94.14","137.16","548.64","274.32","454.5","411.48","0.0","","","","","","",""
"2014.0","11.0","7.0","311.0","63.0","0.76","0.7","0.0","2.02","0.76","1.53","0.0","0.0","0.0","0.0","95.68","137.16","548.64","274.32","452.96","411.48","0.0","","","","","","",""
"2014.0","11.0","8.0","312.0","63.0","0.71","0.7","0.0","1.91","0.71","1.36","0.0","0.0","0.0","0.0","97.03","137.16","548.64","274.32","451.61","411.48","0.0","","","","","","",""
"2014.0","11.0","9.0","313.0","63.0","0.67","0.7","0.0","1.87","0.7","1.31","0.0","0.0","0.0","0.0","98.34","137.16","548.64","274.32","450.3","411.48","0.0","","","","","","",""
"2014.0","11.0","10.0","314.0","63.0","0.63","0.7","0.0","2.04","0.7","1.43","0.0","0.0","0.0","0.0","99.77","137.16","548.64","274.32","448.87","411.48","0.0","","","","","","",""
"2014.0","11.0","11.0","315.0","63.0","0.61","0.7","0.0","1.51","0.7","1.06","0.0","0.0","0.0","0.0","100.83","137.16","548.64","274.32","447.81","411.48","0.0","","","","","","",""
"2014.0","11.0","12.0","316.0","63.0","0.59","0.7","0.0","1.4","0.7","0.98","0.0","0.0","0.0","0.0","101.81","137.16","548.64","274.32","446.83","411.48","0.0","","","","","","",""
"2014.0","11.0","13.0","317.0","63.0","1.18","0.7","0.0","0.94","1.18","1.11","3.18","3.18","0.0","0.0","99.74","137.16","548.64","274.32","448.9","411.48","0.0","","","","","","",""
"2014.0","11.0","14.0","318.0","63.0","1.17","0.7","0.0","1.24","1.17","1.45","2.3","2.3","0.0","0.0","98.89","137.16","548.64","274.32","449.75","411.48","0.0","","","","","","",""
"2014.0","11.0","15.0","319.0","63.0","1.17","0.7","0.0","1.23","1.17","1.44","0.0","0.0","0.0","0.0","100.33","137.16","548.64","274.32","448.31","411.48","0.0","","","","","","",""
"2014.0","11.0","16.0","320.0","63.0","1.16","0.7","0.0","2.03","1.16","2.35","0.0","0.0","0.0","0.0","102.69","137.16","548.64","274.32","445.95","411.48","0.0","","","","","","",""
"2014.0","11.0","17.0","321.0","63.0","1.11","0.7","0.0","1.87","1.11","2.07","0.0","0.0","0.0","0.0","104.76","137.16","548.64","274.32","443.88","411.48","0.0","","","","","","",""
"2014.0","11.0","18.0","322.0","63.0","1.0","0.7","0.0","1.42","1.0","1.42","0.0","0.0","0.0","0.0","106.18","137.16","548.64","274.32","442.46","411.48","0.0","","","","","","",""
"2014.0","11.0","19.0","323.0","63.0","0.95","0.7","0.0","1.0","0.95","0.95","0.0","0.0","0.0","0.0","107.13","137.16","548.64","274.32","441.51","411.48","0.0","","","","","","",""
"2014.0","11.0","20.0","324.0","63.0","1.19","0.7","0.0","0.63","1.19","0.75","3.48","3.48","0.0","0.0","104.4","137.16","548.64","274.32","444.24","411.48","0.0","","","","","","",""
"2014.0","11.0","21.0","325.0","63.0","1.19","0.7","0.0","0.77","1.19","0.92","4.74","4.74","0.0","0.0","100.57","137.16","548.64","274.32","448.07","411.48","0.0","","","","","","",""
"2014.0","11.0","22.0","326.0","63.0","1.18","0.7","0.0","1.08","1.18","1.28","0.6","0.6","0.0","0.0","101.25","137.16","548.64","274.32","447.39","411.48","0.0","","","","","","",""
"2014.0","11.0","23.0","327.0","63.0","1.16","0.7","0.0","1.44","1.16","1.67","1.87","1.87","0.0","0.0","101.06","137.16","548.64","274.32","447.58","411.48","0.0","","","","","","",""
"2014.0","11.0","24.0","328.0","63.0","1.16","0.7","0.0","1.37","1.16","1.59","0.0","0.0","0.0","0.0","102.65","137.16","548.64","274.32","445.99","411.48","0.0","","","","","","",""
"2014.0","11.0","25.0","329.0","63.0","1.17","0.7","0.0","1.22","1.17","1.42","0.0","0.0","0.0","0.0","104.07","137.16","548.64","274.32","444.57","411.48","0.0","","","","","","",""
"2014.0","11.0","26.0","330.0","63.0","1.17","0.7","0.0","1.16","1.17","1.35","0.0","0.0","0.0","0.0","105.43","137.16","548.64","274.32","443.21","411.48","0.0","","","","","","",""
"2014.0","11.0","27.0","331.0","63.0","1.11","0.7","0.0","1.2","1.11","1.33","0.0","0.0","0.0","0.0","106.76","137.16","548.64","274.32","441.88","411.48","0.0","","","","","","",""
"2014.0","11.0","28.0","332.0","63.0","1.02","0.7","0.0","1.15","1.02","1.18","0.0","0.0","0.0","0.0","107.94","137.16","548.64","274.32","440.7","411.48","0.0","","","","","","",""
"2014.0","11.0","29.0","333.0","63.0","1.19","0.7","0.0","0.86","1.19","1.02","4.67","4.67","0.0","0.0","104.29","137.16","548.64","274.32","444.35","411.48","0.0","","","","","","",""
"2014.0","11.0","30.0","334.0","63.0","1.19","0.7","0.0","0.66","1.19","0.79","6.84","6.84","0.0","0.0","98.24","137.16","548.64","274.32","450.4","411.48","0.0","","","","","","",""
"2014.0","12.0","1.0","335.0","63.0","1.18","0.7","0.0","1.03","1.18","1.21","3.4","3.4","0.0","0.0","96.05","137.16","548.64","274.32","452.59","411.48","0.0","","","","","","",""
"2014.0","12.0","2.0","336.0","63.0","1.19","0.7","0.0","0.67","1.19","0.8","1.57","1.57","0.0","0.0","95.28","137.16","548.64","274.32","453.36","411.48","0.0","","","","","","",""
"2014.0","12.0","3.0","337.0","63.0","1.18","0.7","0.0","1.07","1.18","1.26","42.83","42.83","0.0","0.0","53.71","137.16","548.64","274.32","494.93","411.48","0.0","","","","","","",""
"2014.0","12.0","4.0","338.0","63.0","1.18","0.7","0.0","1.07","1.18","1.26","23.53","23.53","0.0","0.0","31.44","137.16","548.64","274.32","517.2","411.48","0.0","","","","","","",""
"2014.0","12.0","5.0","339.0","63.0","1.18","0.7","0.0","0.94","1.18","1.11","0.2","0.2","0.0","0.0","32.35","137.16","548.64","274.32","516.29","411.48","0.0","","","","","","",""
"2014.0","12.0","6.0","340.0","63.0","1.18","0.7","0.0","1.08","1.18","1.27","3.02","3.02","0.0","0.0","30.6","137.16","548.64","274.32","518.04","411.48","0.0","","","","","","",""
"2014.0","12.0","7.0","341.0","63.0","1.18","0.7","0.0","0.8","1.18","0.95","0.51","0.51","0.0","0.0","31.04","137.16","548.64","274.32","517.6","411.48","0.0","","","","","","",""
"2014.0","12.0","8.0","342.0","63.0","1.18","0.7","0.0","0.83","1.18","0.98","0.0","0.0","0.0","0.0","32.02","137.16","548.64","274.32","516.62","411.48","0.0","","","","","","",""
"2014.0","12.0","9.0","343.0","63.0","1.19","0.7","0.0","0.69","1.19","0.82","0.0","0.0","0.0","0.0","32.84","137.16","548.64","274.32","515.8","411.48","0.0","","","","","","",""
"2014.0","12.0","10.0","344.0","63.0","1.19","0.7","0.0","0.97","1.19","1.15","0.0","0.0","0.0","0.0","33.99","137.16","548.64","274.32","514.65","411.48","0.0","","","","","","",""
"2014.0","12.0","11.0","345.0","63.0","1.18","0.7","0.0","1.19","1.18","1.41","0.75","0.75","0.0","0.0","34.64","137.16","548.64","274.32","514.0","411.48","0.0","","","","","","",""
"2014.0","12.0","12.0","346.0","63.0","1.2","0.7","0.0","0.6","1.2","0.72","73.65","35.36","0.0","0.0","0.0","137.16","548.64","274.32","548.64","411.48","0.0","","","","","","",""
"2014.0","12.0","13.0","347.0","63.0","1.19","0.7","0.0","0.67","1.19","0.8","1.55","0.8","0.0","0.0","0.0","137.16","548.64","274.32","548.64","411.48","0.0","","","","","","",""
"2014.0","12.0","14.0","348.0","63.0","1.19","0.7","0.0","0.69","1.19","0.82","0.0","0.0","0.0","0.0","0.82","137.16","548.64","274.32","547.82","411.48","0.0","","","","","","",""
"2014.0","12.0","15.0","349.0","63.0","1.19","0.7","0.0","0.87","1.19","1.03","5.34","1.85","0.0","0.0","0.0","137.16","548.64","274.32","548.64","411.48","0.0","","","","","","",""
"2014.0","12.0","16.0","350.0","63.0","1.17","0.7","0.0","1.18","1.17","1.38","10.1","1.38","0.0","0.0","0.0","137.16","548.64","274.32","548.64","411.48","0.0","","","","","","",""
"2014.0","12.0","17.0","351.0","63.0","1.18","0.7","0.0","0.96","1.18","1.13","14.67","1.13","0.0","0.0","0.0","137.16","548.64","274.32","548.64","411.48","0.0","","","","","","",""
"2014.0","12.0","18.0","352.0","63.0","1.18","0.7","0.0","0.91","1.18","1.08","2.9","1.08","0.0","0.0","0.0","137.16","548.64","274.32","548.64","411.48","0.0","","","","","","",""
"2014.0","12.0","19.0","353.0","63.0","1.19","0.7","0.0","0.81","1.19","0.96","0.09","0.09","0.0","0.0","0.87","137.16","548.64","274.32","547.77","411.48","0.0","","","","","","",""
"2014.0","12.0","20.0","354.0","63.0","1.19","0.7","0.0","0.63","1.19","0.75","18.41","1.62","0.0","0.0","0.0","137.16","548.64","274.32","548.64","411.48","0.0","","","","","","",""
"2014.0","12.0","21.0","355.0","63.0","1.19","0.7","0.0","0.96","1.19","1.14","0.07","0.07","0.0","0.0","1.07","137.16","548.64","274.32","547.57","411.48","0.0","","","","","","",""
"2014.0","12.0","22.0","356.0","63.0","1.19","0.7","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","2.0","137.16","548.64","274.32","546.64","411.48","0.0","","","","","","",""
"2014.0","12.0","23.0","357.0","63.0","1.19","0.7","0.0","0.72","1.19","0.86","0.0","0.0","0.0","0.0","2.85","137.16","548.64","274.32","545.79","411.48","0.0","","","","","","",""
"2014.0","12.0","24.0","358.0","63.0","1.19","0.7","0.0","0.97","1.19","1.15","0.0","0.0","0.0","0.0","4.01","137.16","548.64","274.32","544.63","411.48","0.0","","","","","","",""
"2014.0","12.0","25.0","359.0","63.0","1.16","0.7","0.0","1.86","1.16","2.16","0.69","0.69","0.0","0.0","5.48","137.16","548.64","274.32","543.16","411.48","0.0","","","","","","",""
"2014.0","12.0","26.0","360.0","63.0","1.01","0.7","0.0","1.91","1.01","1.92","0.0","0.0","0.0","0.0","7.4","137.16","548.64","274.32","541.24","411.48","0.0","","","","","","",""
"2014.0","12.0","27.0","361.0","63.0","0.96","0.7","0.0","0.77","0.96","0.74","0.0","0.0","0.0","0.0","8.14","137.16","548.64","274.32","540.5","411.48","0.0","","","","","","",""
"2014.0","12.0","28.0","362.0","63.0","0.92","0.7","0.0","0.76","0.92","0.7","0.0","0.0","0.0","0.0","8.84","137.16","548.64","274.32","539.8","411.48","0.0","","","","","","",""
"2014.0","12.0","29.0","363.0","63.0","0.9","0.7","0.0","0.55","0.9","0.49","0.0","0.0","0.0","0.0","9.33","137.16","548.64","274.32","539.31","411.48","0.0","","","","","","",""
"2014.0","12.0","30.0","364.0","63.0","0.8","0.7","0.0","2.47","0.8","1.98","0.0","0.0","0.0","0.0","11.31","137.16","548.64","274.32","537.33","411.48","0.0","","","","","","",""
"2014.0","12.0","31.0","365.0","63.0","0.72","0.7","0.0","2.67","0.72","1.94","0.0","0.0","0.0","0.0","13.25","137.16","548.64","274.32","535.39","411.48","0.0","","","","","","",""
"2015.0","1.0","1.0","1.0","63.0","0.71","0.7","0.0","0.85","0.71","0.6","0.0","0.0","0.0","0.0","13.85","115.49","548.64","274.32","534.79","433.15","0.0","","","","","","",""
"2015.0","1.0","2.0","2.0","63.0","0.69","0.7","0.0","0.87","0.7","0.61","0.0","0.0","0.0","0.0","14.46","115.49","548.64","274.32","534.18","433.15","0.0","","","","","","",""
"2015.0","1.0","3.0","3.0","63.0","0.67","0.7","0.0","0.86","0.7","0.6","0.0","0.0","0.0","0.0","15.06","115.49","548.64","274.32","533.58","433.15","0.0","","","","","","",""
"2015.0","1.0","4.0","4.0","63.0","0.65","0.7","0.0","0.96","0.7","0.67","0.0","0.0","0.0","0.0","15.73","115.49","548.64","274.32","532.91","433.15","0.0","","","","","","",""
"2015.0","1.0","5.0","5.0","63.0","0.64","0.7","0.0","0.86","0.7","0.6","0.0","0.0","0.0","0.0","16.33","115.49","548.64","274.32","532.31","433.15","0.0","","","","","","",""
"2015.0","1.0","6.0","6.0","63.0","0.62","0.7","0.0","1.17","0.7","0.82","0.0","0.0","0.0","0.0","17.15","115.49","548.64","274.32","531.49","433.15","0.0","","","","","","",""
"2015.0","1.0","7.0","7.0","63.0","0.6","0.7","0.0","1.19","0.7","0.83","0.0","0.0","0.0","0.0","17.99","115.49","548.64","274.32","530.65","433.15","0.0","","","","","","",""
"2015.0","1.0","8.0","8.0","63.0","0.59","0.7","0.0","1.04","0.7","0.73","0.0","0.0","0.0","0.0","18.71","115.49","548.64","274.32","529.93","433.15","0.0","","","","","","",""
"2015.0","1.0","9.0","9.0","63.0","0.58","0.7","0.0","0.87","0.7","0.61","0.0","0.0","0.0","0.0","19.32","115.49","548.64","274.32","529.32","433.15","0.0","","","","","","",""
"2015.0","1.0","10.0","10.0","63.0","0.57","0.7","0.0","0.96","0.7","0.67","0.0","0.0","0.0","0.0","19.99","115.49","548.64","274.32","528.65","433.15","0.0","","","","","","",""
"2015.0","1.0","11.0","11.0","63.0","0.56","0.7","0.0","0.9","0.7","0.63","0.0","0.0","0.0","0.0","20.62","115.49","548.64","274.32","528.02","433.15","0.0","","","","","","",""
"2015.0","1.0","12.0","12.0","63.0","0.55","0.7","0.0","1.06","0.7","0.74","0.0","0.0","0.0","0.0","21.37","115.49","548.64","274.32","527.27","433.15","0.0","","","","","","",""
"2015.0","1.0","13.0","13.0","63.0","0.53","0.7","0.0","1.19","0.7","0.83","0.0","0.0","0.0","0.0","22.2","115.49","548.64","274.32","526.44","433.15","0.0","","","","","","",""
"2015.0","1.0","14.0","14.0","63.0","0.53","0.7","0.0","0.73","0.7","0.51","0.0","0.0","0.0","0.0","22.71","115.49","548.64","274.32","525.93","433.15","0.0","","","","","","",""
"2015.0","1.0","15.0","15.0","63.0","0.52","0.7","0.0","0.73","0.7","0.51","0.0","0.0","0.0","0.0","23.22","115.49","548.64","274.32","525.42","433.15","0.0","","","","","","",""
"2015.0","1.0","16.0","16.0","63.0","0.52","0.7","0.0","0.62","0.7","0.43","0.0","0.0","0.0","0.0","23.66","115.49","548.64","274.32","524.98","433.15","0.0","","","","","","",""
"2015.0","1.0","17.0","17.0","63.0","0.51","0.7","0.0","0.57","0.7","0.4","0.16","0.16","0.0","0.0","23.89","115.49","548.64","274.32","524.75","433.15","0.0","","","","","","",""
"2015.0","1.0","18.0","18.0","63.0","0.51","0.7","0.0","0.61","0.7","0.43","0.0","0.0","0.0","0.0","24.32","115.49","548.64","274.32","524.32","433.15","0.0","","","","","","",""
"2015.0","1.0","19.0","19.0","63.0","0.5","0.7","0.0","0.7","0.7","0.49","0.0","0.0","0.0","0.0","24.81","115.49","548.64","274.32","523.83","433.15","0.0","","","","","","",""
"2015.0","1.0","20.0","20.0","63.0","0.49","0.7","0.0","0.76","0.7","0.53","0.0","0.0","0.0","0.0","25.34","115.49","548.64","274.32","523.3","433.15","0.0","","","","","","",""
"2015.0","1.0","21.0","21.0","63.0","0.49","0.7","0.0","0.95","0.7","0.67","0.0","0.0","0.0","0.0","26.01","115.49","548.64","274.32","522.63","433.15","0.0","","","","","","",""
"2015.0","1.0","22.0","22.0","63.0","0.48","0.7","0.0","0.76","0.7","0.53","0.0","0.0","0.0","0.0","26.54","115.49","548.64","274.32","522.1","433.15","0.0","","","","","","",""
"2015.0","1.0","23.0","23.0","63.0","0.48","0.7","0.0","0.98","0.7","0.69","0.0","0.0","0.0","0.0","27.23","115.49","548.64","274.32","521.41","433.15","0.0","","","","","","",""
"2015.0","1.0","24.0","24.0","63.0","0.47","0.7","0.0","0.95","0.7","0.67","0.0","0.0","0.0","0.0","27.89","115.49","548.64","274.32","520.75","433.15","0.0","","","","","","",""
"2015.0","1.0","25.0","25.0","63.0","0.46","0.7","0.0","1.05","0.7","0.74","0.0","0.0","0.0","0.0","28.63","115.49","548.64","274.32","520.01","433.15","0.0","","","","","","",""
"2015.0","1.0","26.0","26.0","63.0","0.45","0.7","0.0","1.32","0.7","0.92","0.0","0.0","0.0","0.0","29.55","115.49","548.64","274.32","519.09","433.15","0.0","","","","","","",""
"2015.0","1.0","27.0","27.0","63.0","0.45","0.7","0.0","1.1","0.7","0.77","0.0","0.0","0.0","0.0","30.32","115.49","548.64","274.32","518.32","433.15","0.0","","","","","","",""
"2015.0","1.0","28.0","28.0","63.0","0.44","0.7","0.0","1.57","0.7","1.1","0.0","0.0","0.0","0.0","31.42","115.49","548.64","274.32","517.22","433.15","0.0","","","","","","",""
"2015.0","1.0","29.0","29.0","63.0","0.43","0.7","0.0","1.46","0.7","1.02","0.0","0.0","0.0","0.0","32.44","115.49","548.64","274.32","516.2","433.15","0.0","","","","","","",""
"2015.0","1.0","30.0","30.0","63.0","0.42","0.7","0.0","2.03","0.7","1.42","0.0","0.0","0.0","0.0","33.86","115.49","548.64","274.32","514.78","433.15","0.0","","","","","","",""
"2015.0","1.0","31.0","31.0","63.0","0.41","0.7","0.0","3.58","0.7","2.51","0.0","0.0","0.0","0.0","36.37","115.49","548.64","274.32","512.27","433.15","0.0","","","","","","",""
"2015.0","2.0","1.0","32.0","63.0","0.4","0.7","0.0","1.45","0.7","1.02","0.0","0.0","0.0","0.0","37.38","115.49","548.64","274.32","511.26","433.15","0.0","","","","","","",""
"2015.0","2.0","2.0","33.0","63.0","0.39","0.7","0.0","1.48","0.7","1.04","0.0","0.0","0.0","0.0","38.42","115.49","548.64","274.32","510.22","433.15","0.0","","","","","","",""
"2015.0","2.0","3.0","34.0","63.0","0.39","0.7","0.0","1.52","0.7","1.06","0.0","0.0","0.0","0.0","39.48","115.49","548.64","274.32","509.16","433.15","0.0","","","","","","",""
"2015.0","2.0","4.0","35.0","63.0","0.38","0.7","0.0","1.47","0.7","1.03","0.0","0.0","0.0","0.0","40.51","115.49","548.64","274.32","508.13","433.15","0.0","","","","","","",""
"2015.0","2.0","5.0","36.0","63.0","0.38","0.7","0.0","1.17","0.7","0.82","0.0","0.0","0.0","0.0","41.33","115.49","548.64","274.32","507.31","433.15","0.0","","","","","","",""
"2015.0","2.0","6.0","37.0","63.0","0.37","0.7","0.0","2.17","0.7","1.52","0.0","0.0","0.0","0.0","42.85","115.49","548.64","274.32","505.79","433.15","0.0","","","","","","",""
"2015.0","2.0","7.0","38.0","63.0","1.16","0.7","0.0","1.44","1.16","1.67","33.87","33.87","0.0","0.0","10.65","115.49","548.64","274.32","537.99","433.15","0.0","","","","","","",""
"2015.0","2.0","8.0","39.0","63.0","1.17","0.7","0.0","1.29","1.17","1.51","4.7","4.7","0.0","0.0","7.46","115.49","548.64","274.32","541.18","433.15","0.0","","","","","","",""
"2015.0","2.0","9.0","40.0","63.0","1.14","0.7","0.0","1.97","1.14","2.25","23.02","9.71","0.0","0.0","0.0","115.49","548.64","274.32","548.64","433.15","0.0","","","","","","",""
"2015.0","2.0","10.0","41.0","63.0","1.14","0.7","0.0","1.83","1.14","2.09","0.18","0.18","0.0","0.0","1.91","115.49","548.64","274.32","546.73","433.15","0.0","","","","","","",""
"2015.0","2.0","11.0","42.0","63.0","1.15","0.7","0.0","1.59","1.15","1.83","0.0","0.0","0.0","0.0","3.74","115.49","548.64","274.32","544.9","433.15","0.0","","","","","","",""
"2015.0","2.0","12.0","43.0","63.0","1.03","0.7","0.0","1.98","1.03","2.03","0.0","0.0","0.0","0.0","5.77","115.49","548.64","274.32","542.87","433.15","0.0","","","","","","",""
