" Daily soil water balance output for Urban Landscape in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Urban Landscape in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","",""
"2014.0","10.0","16.0","289.0","33581.0","0.08","0.8","0.0","2.77","0.8","2.22","0.0","0.0","0.0","0.0","10.11","35.35","144.0","72.0","133.89","108.65","0.0","","","","","","",""
"2014.0","10.0","17.0","290.0","33581.0","0.08","0.8","0.0","2.57","0.8","2.06","0.0","0.0","0.0","0.0","12.17","35.35","144.0","72.0","131.83","108.65","0.0","","","","","","",""
"2014.0","10.0","18.0","291.0","33581.0","0.08","0.8","0.0","2.93","0.8","2.34","0.0","0.0","0.0","0.0","14.51","35.35","144.0","72.0","129.49","108.65","0.0","","","","","","",""
"2014.0","10.0","19.0","292.0","33581.0","0.08","0.8","0.0","2.95","0.8","2.36","0.0","0.0","0.0","0.0","16.87","35.35","144.0","72.0","127.13","108.65","0.0","","","","","","",""
"2014.0","10.0","20.0","293.0","33581.0","0.08","0.8","0.0","2.41","0.8","1.93","0.0","0.0","0.0","0.0","18.8","35.35","144.0","72.0","125.2","108.65","0.0","","","","","","",""
"2014.0","10.0","21.0","294.0","33581.0","0.08","0.8","0.0","2.78","0.8","2.22","0.0","0.0","0.0","0.0","21.02","35.35","144.0","72.0","122.98","108.65","0.0","","","","","","",""
"2014.0","10.0","22.0","295.0","33581.0","0.08","0.8","0.0","2.61","0.8","2.09","0.0","0.0","0.0","0.0","23.11","35.35","144.0","72.0","120.89","108.65","0.0","","","","","","",""
"2014.0","10.0","23.0","296.0","33581.0","0.08","0.8","0.0","2.6","0.8","2.08","0.0","0.0","0.0","0.0","25.19","35.35","144.0","72.0","118.81","108.65","0.0","","","","","","",""
"2014.0","10.0","24.0","297.0","33581.0","0.08","0.8","0.0","2.62","0.8","2.1","0.0","0.0","0.0","0.0","27.29","35.35","144.0","72.0","116.71","108.65","0.0","","","","","","",""
"2014.0","10.0","25.0","298.0","33581.0","0.08","0.8","0.0","2.22","0.8","1.78","0.03","0.03","0.0","0.0","29.03","35.35","144.0","72.0","114.97","108.65","0.0","","","","","","",""
"2014.0","10.0","26.0","299.0","33581.0","0.08","0.8","0.0","2.76","0.8","2.21","0.77","0.77","0.0","0.0","30.47","35.35","144.0","72.0","113.53","108.65","0.0","","","","","","",""
"2014.0","10.0","27.0","300.0","33581.0","0.08","0.8","0.0","2.56","0.8","2.05","0.0","0.0","0.0","0.0","32.52","35.35","144.0","72.0","111.48","108.65","0.0","","","","","","",""
"2014.0","10.0","28.0","301.0","33581.0","0.08","0.8","0.0","2.42","0.8","1.94","0.0","0.0","0.0","0.0","34.46","35.35","144.0","72.0","109.54","108.65","0.0","","","","","","",""
"2014.0","10.0","29.0","302.0","33581.0","0.08","0.8","0.0","2.46","0.8","1.97","0.0","0.0","0.0","0.0","0.0","35.35","144.0","72.0","144.0","108.65","36.42","","","","","","",""
"2014.0","10.0","30.0","303.0","33581.0","0.08","0.8","0.0","2.53","0.8","2.02","0.0","0.0","0.0","0.0","2.02","35.35","144.0","72.0","141.98","108.65","0.0","","","","","","",""
"2014.0","10.0","31.0","304.0","33581.0","0.08","0.8","0.0","1.44","0.8","1.15","0.38","0.38","0.0","0.0","2.8","35.35","144.0","72.0","141.2","108.65","0.0","","","","","","",""
"2014.0","11.0","1.0","305.0","33581.0","1.15","0.8","0.0","1.78","1.15","2.04","8.7","4.84","0.0","0.0","0.0","35.35","144.0","72.0","144.0","108.65","0.0","","","","","","",""
"2014.0","11.0","2.0","306.0","33581.0","1.14","0.8","0.0","2.19","1.14","2.5","0.0","0.0","0.0","0.0","2.5","35.35","144.0","72.0","141.5","108.65","0.0","","","","","","",""
"2014.0","11.0","3.0","307.0","33581.0","1.14","0.8","0.0","1.79","1.14","2.05","0.0","0.0","0.0","0.0","4.54","35.35","144.0","72.0","139.46","108.65","0.0","","","","","","",""
"2014.0","11.0","4.0","308.0","33581.0","1.02","0.8","0.0","1.75","1.02","1.78","0.0","0.0","0.0","0.0","6.32","35.35","144.0","72.0","137.68","108.65","0.0","","","","","","",""
"2014.0","11.0","5.0","309.0","33581.0","0.91","0.8","0.0","1.91","0.91","1.73","0.0","0.0","0.0","0.0","8.05","35.35","144.0","72.0","135.95","108.65","0.0","","","","","","",""
"2014.0","11.0","6.0","310.0","33581.0","0.83","0.8","0.0","1.94","0.83","1.6","0.0","0.0","0.0","0.0","9.65","35.35","144.0","72.0","134.35","108.65","0.0","","","","","","",""
"2014.0","11.0","7.0","311.0","33581.0","0.76","0.8","0.0","2.02","0.8","1.62","0.0","0.0","0.0","0.0","11.27","35.35","144.0","72.0","132.73","108.65","0.0","","","","","","",""
"2014.0","11.0","8.0","312.0","33581.0","0.71","0.8","0.0","1.86","0.8","1.49","0.0","0.0","0.0","0.0","12.76","35.35","144.0","72.0","131.24","108.65","0.0","","","","","","",""
"2014.0","11.0","9.0","313.0","33581.0","0.67","0.8","0.0","1.86","0.8","1.49","0.0","0.0","0.0","0.0","14.24","35.35","144.0","72.0","129.76","108.65","0.0","","","","","","",""
"2014.0","11.0","10.0","314.0","33581.0","0.64","0.8","0.0","1.86","0.8","1.49","0.0","0.0","0.0","0.0","15.73","35.35","144.0","72.0","128.27","108.65","0.0","","","","","","",""
"2014.0","11.0","11.0","315.0","33581.0","0.62","0.8","0.0","1.5","0.8","1.2","0.0","0.0","0.0","0.0","16.93","35.35","144.0","72.0","127.07","108.65","0.0","","","","","","",""
"2014.0","11.0","12.0","316.0","33581.0","0.59","0.8","0.0","1.55","0.8","1.24","0.0","0.0","0.0","0.0","18.17","35.35","144.0","72.0","125.83","108.65","0.0","","","","","","",""
"2014.0","11.0","13.0","317.0","33581.0","1.18","0.8","0.0","1.1","1.18","1.29","5.8","5.8","0.0","0.0","13.67","35.35","144.0","72.0","130.33","108.65","0.0","","","","","","",""
"2014.0","11.0","14.0","318.0","33581.0","1.16","0.8","0.0","1.42","1.16","1.65","1.33","1.33","0.0","0.0","13.99","35.35","144.0","72.0","130.01","108.65","0.0","","","","","","",""
"2014.0","11.0","15.0","319.0","33581.0","1.16","0.8","0.0","1.34","1.16","1.56","0.0","0.0","0.0","0.0","15.55","35.35","144.0","72.0","128.45","108.65","0.0","","","","","","",""
"2014.0","11.0","16.0","320.0","33581.0","1.16","0.8","0.0","1.88","1.16","2.18","0.0","0.0","0.0","0.0","17.73","35.35","144.0","72.0","126.27","108.65","0.0","","","","","","",""
"2014.0","11.0","17.0","321.0","33581.0","1.11","0.8","0.0","1.72","1.11","1.91","0.0","0.0","0.0","0.0","19.63","35.35","144.0","72.0","124.37","108.65","0.0","","","","","","",""
"2014.0","11.0","18.0","322.0","33581.0","1.01","0.8","0.0","1.32","1.01","1.33","0.0","0.0","0.0","0.0","20.97","35.35","144.0","72.0","123.03","108.65","0.0","","","","","","",""
"2014.0","11.0","19.0","323.0","33581.0","0.94","0.8","0.0","1.22","0.94","1.15","0.04","0.04","0.0","0.0","22.07","35.35","144.0","72.0","121.93","108.65","0.0","","","","","","",""
"2014.0","11.0","20.0","324.0","33581.0","1.19","0.8","0.0","0.65","1.19","0.78","2.17","2.17","0.0","0.0","20.68","35.35","144.0","72.0","123.32","108.65","0.0","","","","","","",""
"2014.0","11.0","21.0","325.0","33581.0","1.18","0.8","0.0","0.91","1.18","1.08","3.54","3.54","0.0","0.0","18.21","35.35","144.0","72.0","125.79","108.65","0.0","","","","","","",""
"2014.0","11.0","22.0","326.0","33581.0","1.18","0.8","0.0","1.19","1.18","1.4","0.14","0.14","0.0","0.0","19.48","35.35","144.0","72.0","124.52","108.65","0.0","","","","","","",""
"2014.0","11.0","23.0","327.0","33581.0","1.16","0.8","0.0","1.55","1.16","1.79","2.92","2.92","0.0","0.0","18.35","35.35","144.0","72.0","125.65","108.65","0.0","","","","","","",""
"2014.0","11.0","24.0","328.0","33581.0","1.16","0.8","0.0","1.38","1.16","1.6","0.0","0.0","0.0","0.0","19.95","35.35","144.0","72.0","124.05","108.65","0.0","","","","","","",""
"2014.0","11.0","25.0","329.0","33581.0","1.16","0.8","0.0","1.24","1.16","1.44","0.0","0.0","0.0","0.0","21.4","35.35","144.0","72.0","122.6","108.65","0.0","","","","","","",""
"2014.0","11.0","26.0","330.0","33581.0","1.17","0.8","0.0","1.26","1.17","1.47","0.0","0.0","0.0","0.0","22.87","35.35","144.0","72.0","121.13","108.65","0.0","","","","","","",""
"2014.0","11.0","27.0","331.0","33581.0","1.09","0.8","0.0","1.24","1.09","1.35","0.0","0.0","0.0","0.0","24.22","35.35","144.0","72.0","119.78","108.65","0.0","","","","","","",""
"2014.0","11.0","28.0","332.0","33581.0","1.0","0.8","0.0","1.2","1.0","1.2","0.0","0.0","0.0","0.0","25.42","35.35","144.0","72.0","118.58","108.65","0.0","","","","","","",""
"2014.0","11.0","29.0","333.0","33581.0","0.95","0.8","0.0","0.81","0.95","0.77","0.93","0.93","0.0","0.0","25.26","35.35","144.0","72.0","118.74","108.65","0.0","","","","","","",""
"2014.0","11.0","30.0","334.0","33581.0","1.19","0.8","0.0","0.67","1.19","0.8","1.78","1.78","0.0","0.0","24.28","35.35","144.0","72.0","119.72","108.65","0.0","","","","","","",""
"2014.0","12.0","1.0","335.0","33581.0","1.18","0.8","0.0","1.01","1.18","1.19","11.06","11.06","0.0","0.0","14.41","35.35","144.0","72.0","129.59","108.65","0.0","","","","","","",""
"2014.0","12.0","2.0","336.0","33581.0","1.2","0.8","0.0","0.62","1.2","0.74","7.1","7.1","0.0","0.0","8.05","35.35","144.0","72.0","135.95","108.65","0.0","","","","","","",""
"2014.0","12.0","3.0","337.0","33581.0","1.17","0.8","0.0","1.27","1.17","1.48","28.07","9.54","0.0","0.0","0.0","36.0","144.0","72.0","144.0","108.0","0.0","","","","","","",""
"2014.0","12.0","4.0","338.0","33581.0","1.17","0.8","0.0","1.14","1.17","1.34","8.49","1.34","0.0","0.0","0.0","36.0","144.0","72.0","144.0","108.0","0.0","","","","","","",""
"2014.0","12.0","5.0","339.0","33581.0","1.18","0.8","0.0","0.92","1.18","1.08","0.14","0.14","0.0","0.0","0.94","36.0","144.0","72.0","143.06","108.0","0.0","","","","","","",""
"2014.0","12.0","6.0","340.0","33581.0","1.18","0.8","0.0","1.12","1.18","1.32","2.24","2.24","0.0","0.0","0.02","36.0","144.0","72.0","143.98","108.0","0.0","","","","","","",""
"2014.0","12.0","7.0","341.0","33581.0","1.18","0.8","0.0","0.75","1.18","0.89","0.28","0.28","0.0","0.0","0.63","36.0","144.0","72.0","143.37","108.0","0.0","","","","","","",""
"2014.0","12.0","8.0","342.0","33581.0","1.18","0.8","0.0","0.87","1.18","1.03","0.21","0.21","0.0","0.0","1.45","36.0","144.0","72.0","142.55","108.0","0.0","","","","","","",""
"2014.0","12.0","9.0","343.0","33581.0","1.19","0.8","0.0","0.69","1.19","0.82","0.0","0.0","0.0","0.0","2.27","36.0","144.0","72.0","141.73","108.0","0.0","","","","","","",""
"2014.0","12.0","10.0","344.0","33581.0","1.18","0.8","0.0","0.96","1.18","1.14","0.0","0.0","0.0","0.0","3.4","36.0","144.0","72.0","140.6","108.0","0.0","","","","","","",""
"2014.0","12.0","11.0","345.0","33581.0","1.17","0.8","0.0","1.43","1.17","1.67","0.0","0.0","0.0","0.0","5.08","36.0","144.0","72.0","138.92","108.0","0.0","","","","","","",""
"2014.0","12.0","12.0","346.0","33581.0","1.2","0.8","0.0","0.62","1.2","0.74","63.4","5.82","0.0","0.0","0.0","36.0","144.0","72.0","144.0","108.0","0.0","","","","","","",""
"2014.0","12.0","13.0","347.0","33581.0","1.19","0.8","0.0","0.7","1.19","0.83","1.49","0.83","0.0","0.0","0.0","36.0","144.0","72.0","144.0","108.0","0.0","","","","","","",""
"2014.0","12.0","14.0","348.0","33581.0","1.19","0.8","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","0.93","36.0","144.0","72.0","143.07","108.0","0.0","","","","","","",""
"2014.0","12.0","15.0","349.0","33581.0","1.18","0.8","0.0","1.03","1.18","1.21","7.42","2.14","0.0","0.0","0.0","36.0","144.0","72.0","144.0","108.0","0.0","","","","","","",""
"2014.0","12.0","16.0","350.0","33581.0","1.17","0.8","0.0","1.27","1.17","1.48","8.63","1.48","0.0","0.0","0.0","36.0","144.0","72.0","144.0","108.0","0.0","","","","","","",""
"2014.0","12.0","17.0","351.0","33581.0","1.18","0.8","0.0","0.95","1.18","1.12","10.65","1.12","0.0","0.0","0.0","36.0","144.0","72.0","144.0","108.0","0.0","","","","","","",""
"2014.0","12.0","18.0","352.0","33581.0","1.18","0.8","0.0","1.01","1.18","1.19","3.76","1.19","0.0","0.0","0.0","36.0","144.0","72.0","144.0","108.0","0.0","","","","","","",""
"2014.0","12.0","19.0","353.0","33581.0","1.18","0.8","0.0","0.86","1.18","1.02","0.0","0.0","0.0","0.0","1.02","36.0","144.0","72.0","142.98","108.0","0.0","","","","","","",""
"2014.0","12.0","20.0","354.0","33581.0","1.19","0.8","0.0","0.69","1.19","0.82","8.9","1.84","0.0","0.0","0.0","36.0","144.0","72.0","144.0","108.0","0.0","","","","","","",""
"2014.0","12.0","21.0","355.0","33581.0","1.19","0.8","0.0","0.99","1.19","1.17","0.18","0.18","0.0","0.0","0.99","36.0","144.0","72.0","143.01","108.0","0.0","","","","","","",""
"2014.0","12.0","22.0","356.0","33581.0","1.19","0.8","0.0","0.76","1.19","0.9","0.0","0.0","0.0","0.0","1.9","36.0","144.0","72.0","142.1","108.0","0.0","","","","","","",""
"2014.0","12.0","23.0","357.0","33581.0","1.19","0.8","0.0","0.75","1.19","0.89","0.0","0.0","0.0","0.0","2.79","36.0","144.0","72.0","141.21","108.0","0.0","","","","","","",""
"2014.0","12.0","24.0","358.0","33581.0","1.19","0.8","0.0","0.93","1.19","1.1","0.0","0.0","0.0","0.0","3.89","36.0","144.0","72.0","140.11","108.0","0.0","","","","","","",""
"2014.0","12.0","25.0","359.0","33581.0","1.14","0.8","0.0","2.0","1.14","2.28","0.99","0.99","0.0","0.0","5.18","36.0","144.0","72.0","138.82","108.0","0.0","","","","","","",""
"2014.0","12.0","26.0","360.0","33581.0","1.01","0.8","0.0","1.63","1.01","1.65","0.0","0.0","0.0","0.0","6.84","36.0","144.0","72.0","137.16","108.0","0.0","","","","","","",""
"2014.0","12.0","27.0","361.0","33581.0","0.97","0.8","0.0","0.77","0.97","0.74","0.0","0.0","0.0","0.0","7.58","36.0","144.0","72.0","136.42","108.0","0.0","","","","","","",""
"2014.0","12.0","28.0","362.0","33581.0","0.93","0.8","0.0","0.77","0.93","0.71","0.0","0.0","0.0","0.0","8.29","36.0","144.0","72.0","135.71","108.0","0.0","","","","","","",""
"2014.0","12.0","29.0","363.0","33581.0","0.9","0.8","0.0","0.56","0.9","0.5","0.0","0.0","0.0","0.0","8.8","36.0","144.0","72.0","135.2","108.0","0.0","","","","","","",""
"2014.0","12.0","30.0","364.0","33581.0","0.8","0.8","0.0","2.46","0.8","1.98","0.0","0.0","0.0","0.0","10.77","36.0","144.0","72.0","133.23","108.0","0.0","","","","","","",""
"2014.0","12.0","31.0","365.0","33581.0","0.73","0.8","0.0","2.55","0.8","2.04","0.0","0.0","0.0","0.0","12.81","36.0","144.0","72.0","131.19","108.0","0.0","","","","","","",""
"2015.0","1.0","1.0","1.0","33581.0","0.71","0.8","0.0","0.94","0.8","0.75","0.0","0.0","0.0","0.0","13.56","54.4","144.0","72.0","130.44","89.6","0.0","","","","","","",""
"2015.0","1.0","2.0","2.0","33581.0","0.69","0.8","0.0","0.91","0.8","0.73","0.0","0.0","0.0","0.0","14.29","54.4","144.0","72.0","129.71","89.6","0.0","","","","","","",""
"2015.0","1.0","3.0","3.0","33581.0","0.67","0.8","0.0","0.91","0.8","0.73","0.0","0.0","0.0","0.0","15.02","54.4","144.0","72.0","128.98","89.6","0.0","","","","","","",""
"2015.0","1.0","4.0","4.0","33581.0","0.65","0.8","0.0","1.0","0.8","0.8","0.0","0.0","0.0","0.0","15.82","54.4","144.0","72.0","128.18","89.6","0.0","","","","","","",""
"2015.0","1.0","5.0","5.0","33581.0","0.64","0.8","0.0","0.96","0.8","0.77","0.0","0.0","0.0","0.0","16.59","54.4","144.0","72.0","127.41","89.6","0.0","","","","","","",""
"2015.0","1.0","6.0","6.0","33581.0","0.62","0.8","0.0","1.22","0.8","0.98","0.0","0.0","0.0","0.0","17.56","54.4","144.0","72.0","126.44","89.6","0.0","","","","","","",""
"2015.0","1.0","7.0","7.0","33581.0","0.6","0.8","0.0","1.2","0.8","0.96","0.0","0.0","0.0","0.0","18.52","54.4","144.0","72.0","125.48","89.6","0.0","","","","","","",""
"2015.0","1.0","8.0","8.0","33581.0","0.59","0.8","0.0","1.05","0.8","0.84","0.0","0.0","0.0","0.0","19.36","54.4","144.0","72.0","124.64","89.6","0.0","","","","","","",""
"2015.0","1.0","9.0","9.0","33581.0","0.58","0.8","0.0","0.9","0.8","0.72","0.0","0.0","0.0","0.0","20.08","54.4","144.0","72.0","123.92","89.6","0.0","","","","","","",""
"2015.0","1.0","10.0","10.0","33581.0","0.56","0.8","0.0","1.04","0.8","0.83","0.0","0.0","0.0","0.0","20.92","54.4","144.0","72.0","123.08","89.6","0.0","","","","","","",""
"2015.0","1.0","11.0","11.0","33581.0","0.55","0.8","0.0","0.89","0.8","0.71","0.0","0.0","0.0","0.0","21.63","54.4","144.0","72.0","122.37","89.6","0.0","","","","","","",""
"2015.0","1.0","12.0","12.0","33581.0","0.54","0.8","0.0","0.99","0.8","0.79","0.0","0.0","0.0","0.0","22.42","54.4","144.0","72.0","121.58","89.6","0.0","","","","","","",""
"2015.0","1.0","13.0","13.0","33581.0","0.53","0.8","0.0","1.0","0.8","0.8","0.0","0.0","0.0","0.0","23.22","54.4","144.0","72.0","120.78","89.6","0.0","","","","","","",""
"2015.0","1.0","14.0","14.0","33581.0","0.53","0.8","0.0","0.64","0.8","0.51","0.0","0.0","0.0","0.0","23.73","54.4","144.0","72.0","120.27","89.6","0.0","","","","","","",""
"2015.0","1.0","15.0","15.0","33581.0","0.52","0.8","0.0","0.67","0.8","0.54","0.0","0.0","0.0","0.0","24.27","54.4","144.0","72.0","119.73","89.6","0.0","","","","","","",""
"2015.0","1.0","16.0","16.0","33581.0","0.52","0.8","0.0","0.64","0.8","0.51","0.0","0.0","0.0","0.0","24.78","54.4","144.0","72.0","119.22","89.6","0.0","","","","","","",""
"2015.0","1.0","17.0","17.0","33581.0","0.51","0.8","0.0","0.53","0.8","0.42","0.0","0.0","0.0","0.0","25.2","54.4","144.0","72.0","118.8","89.6","0.0","","","","","","",""
"2015.0","1.0","18.0","18.0","33581.0","0.51","0.8","0.0","0.61","0.8","0.49","0.0","0.0","0.0","0.0","25.69","54.4","144.0","72.0","118.31","89.6","0.0","","","","","","",""
"2015.0","1.0","19.0","19.0","33581.0","0.5","0.8","0.0","0.55","0.8","0.44","0.03","0.03","0.0","0.0","26.1","54.4","144.0","72.0","117.9","89.6","0.0","","","","","","",""
"2015.0","1.0","20.0","20.0","33581.0","0.5","0.8","0.0","0.74","0.8","0.59","0.0","0.0","0.0","0.0","26.69","54.4","144.0","72.0","117.31","89.6","0.0","","","","","","",""
"2015.0","1.0","21.0","21.0","33581.0","0.49","0.8","0.0","1.03","0.8","0.82","0.0","0.0","0.0","0.0","27.52","54.4","144.0","72.0","116.48","89.6","0.0","","","","","","",""
"2015.0","1.0","22.0","22.0","33581.0","0.48","0.8","0.0","0.7","0.8","0.56","0.0","0.0","0.0","0.0","28.08","54.4","144.0","72.0","115.92","89.6","0.0","","","","","","",""
"2015.0","1.0","23.0","23.0","33581.0","0.48","0.8","0.0","0.94","0.8","0.75","0.0","0.0","0.0","0.0","28.83","54.4","144.0","72.0","115.17","89.6","0.0","","","","","","",""
"2015.0","1.0","24.0","24.0","33581.0","0.47","0.8","0.0","0.86","0.8","0.69","0.0","0.0","0.0","0.0","29.52","54.4","144.0","72.0","114.48","89.6","0.0","","","","","","",""
"2015.0","1.0","25.0","25.0","33581.0","0.47","0.8","0.0","1.0","0.8","0.8","0.0","0.0","0.0","0.0","30.32","54.4","144.0","72.0","113.68","89.6","0.0","","","","","","",""
"2015.0","1.0","26.0","26.0","33581.0","0.46","0.8","0.0","1.2","0.8","0.96","0.0","0.0","0.0","0.0","31.28","54.4","144.0","72.0","112.72","89.6","0.0","","","","","","",""
"2015.0","1.0","27.0","27.0","33581.0","0.45","0.8","0.0","1.17","0.8","0.94","0.0","0.0","0.0","0.0","32.21","54.4","144.0","72.0","111.79","89.6","0.0","","","","","","",""
"2015.0","1.0","28.0","28.0","33581.0","0.44","0.8","0.0","1.46","0.8","1.17","0.0","0.0","0.0","0.0","33.38","54.4","144.0","72.0","110.62","89.6","0.0","","","","","","",""
"2015.0","1.0","29.0","29.0","33581.0","0.44","0.8","0.0","1.36","0.8","1.09","0.0","0.0","0.0","0.0","34.47","54.4","144.0","72.0","109.53","89.6","0.0","","","","","","",""
"2015.0","1.0","30.0","30.0","33581.0","0.43","0.8","0.0","1.73","0.8","1.38","0.0","0.0","0.0","0.0","35.85","54.4","144.0","72.0","108.15","89.6","0.0","","","","","","",""
"2015.0","1.0","31.0","31.0","33581.0","0.41","0.8","0.0","2.98","0.8","2.38","0.0","0.0","0.0","0.0","38.24","54.4","144.0","72.0","105.76","89.6","0.0","","","","","","",""
"2015.0","2.0","1.0","32.0","33581.0","0.41","0.8","0.0","1.53","0.8","1.22","0.0","0.0","0.0","0.0","39.46","54.4","144.0","72.0","104.54","89.6","0.0","","","","","","",""
"2015.0","2.0","2.0","33.0","33581.0","0.4","0.8","0.0","1.54","0.8","1.23","0.0","0.0","0.0","0.0","40.69","54.4","144.0","72.0","103.31","89.6","0.0","","","","","","",""
"2015.0","2.0","3.0","34.0","33581.0","0.39","0.8","0.0","1.62","0.8","1.3","0.0","0.0","0.0","0.0","41.99","54.4","144.0","72.0","102.01","89.6","0.0","","","","","","",""
"2015.0","2.0","4.0","35.0","33581.0","0.39","0.8","0.0","1.46","0.8","1.17","0.01","0.01","0.0","0.0","43.15","54.4","144.0","72.0","100.85","89.6","0.0","","","","","","",""
"2015.0","2.0","5.0","36.0","33581.0","0.38","0.8","0.0","1.06","0.8","0.85","0.0","0.0","0.0","0.0","44.0","54.4","144.0","72.0","100.0","89.6","0.0","","","","","","",""
"2015.0","2.0","6.0","37.0","33581.0","0.38","0.8","0.0","2.4","0.8","1.92","0.23","0.23","0.0","0.0","45.69","54.4","144.0","72.0","98.31","89.6","0.0","","","","","","",""
"2015.0","2.0","7.0","38.0","33581.0","1.16","0.8","0.0","1.48","1.16","1.72","13.13","13.13","0.0","0.0","34.27","54.4","144.0","72.0","109.73","89.6","0.0","","","","","","",""
"2015.0","2.0","8.0","39.0","33581.0","1.16","0.8","0.0","1.56","1.16","1.81","12.26","12.26","0.0","0.0","23.82","54.4","144.0","72.0","120.18","89.6","0.0","","","","","","",""
"2015.0","2.0","9.0","40.0","33581.0","1.14","0.8","0.0","2.12","1.14","2.41","13.42","13.42","0.0","0.0","12.81","54.4","144.0","72.0","131.19","89.6","0.0","","","","","","",""
"2015.0","2.0","10.0","41.0","33581.0","1.14","0.8","0.0","1.87","1.14","2.13","0.0","0.0","0.0","0.0","14.94","54.4","144.0","72.0","129.06","89.6","0.0","","","","","","",""
