" Daily soil water balance output for Vineyard in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Vineyard in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"2014.0","11.0","5.0","309.0","12638.0","0.91","0.0","0.0","1.91","0.91","1.73","0.0","0.0","0.0","0.0","30.83","29.7","600.92","300.46","570.09","571.22","0.0","","","","","","","","",""
"2014.0","11.0","6.0","310.0","12638.0","0.83","0.0","0.0","1.94","0.83","1.6","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2014.0","11.0","7.0","311.0","12638.0","0.76","0.0","0.0","2.02","0.76","1.54","0.0","0.0","0.0","0.0","31.24","29.7","600.92","300.46","569.68","571.22","0.0","","","","","","","","",""
"2014.0","11.0","8.0","312.0","12638.0","0.71","0.0","0.0","1.86","0.71","1.32","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2014.0","11.0","9.0","313.0","12638.0","0.67","0.0","0.0","1.86","0.67","1.25","0.0","0.0","0.0","0.0","30.95","29.7","600.92","300.46","569.97","571.22","0.0","","","","","","","","",""
"2014.0","11.0","10.0","314.0","12638.0","0.64","0.0","0.0","1.86","0.64","1.19","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2014.0","11.0","11.0","315.0","12638.0","0.62","0.0","0.0","1.5","0.62","0.92","0.0","0.0","0.0","0.0","30.62","29.7","600.92","300.46","570.3","571.22","0.0","","","","","","","","",""
"2014.0","11.0","12.0","316.0","12638.0","0.59","0.0","0.0","1.55","0.59","0.92","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2014.0","11.0","13.0","317.0","12638.0","1.18","0.0","0.0","1.1","1.18","1.29","5.8","5.8","0.0","0.0","25.19","29.7","600.92","300.46","575.72","571.22","0.0","","","","","","","","",""
"2014.0","11.0","14.0","318.0","12638.0","1.16","0.0","0.0","1.42","1.16","1.65","1.33","1.33","0.0","0.0","25.52","29.7","600.92","300.46","575.4","571.22","0.0","","","","","","","","",""
"2014.0","11.0","15.0","319.0","12638.0","1.16","0.0","0.0","1.34","1.16","1.56","0.0","0.0","0.0","0.0","27.08","29.7","600.92","300.46","573.84","571.22","0.0","","","","","","","","",""
"2014.0","11.0","16.0","320.0","12638.0","1.16","0.0","0.0","1.88","1.16","2.18","0.0","0.0","0.0","0.0","29.25","29.7","600.92","300.46","571.66","571.22","0.0","","","","","","","","",""
"2014.0","11.0","17.0","321.0","12638.0","1.11","0.0","0.0","1.72","1.11","1.91","0.0","0.0","0.0","0.0","31.16","29.7","600.92","300.46","569.76","571.22","0.0","","","","","","","","",""
"2014.0","11.0","18.0","322.0","12638.0","1.01","0.0","0.0","1.32","1.01","1.33","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2014.0","11.0","19.0","323.0","12638.0","0.94","0.0","0.0","1.22","0.94","1.15","0.04","0.04","0.0","0.0","30.81","29.7","600.92","300.46","570.11","571.22","0.0","","","","","","","","",""
"2014.0","11.0","20.0","324.0","12638.0","1.19","0.0","0.0","0.65","1.19","0.78","2.17","2.17","0.0","0.0","28.64","29.7","600.92","300.46","572.28","571.22","0.0","","","","","","","","",""
"2014.0","11.0","21.0","325.0","12638.0","1.18","0.0","0.0","0.91","1.18","1.08","3.54","3.54","0.0","0.0","26.17","29.7","600.92","300.46","574.75","571.22","0.0","","","","","","","","",""
"2014.0","11.0","22.0","326.0","12638.0","1.18","0.0","0.0","1.19","1.18","1.4","0.14","0.14","0.0","0.0","27.43","29.7","600.92","300.46","573.48","571.22","0.0","","","","","","","","",""
"2014.0","11.0","23.0","327.0","12638.0","1.16","0.0","0.0","1.55","1.16","1.79","2.92","2.92","0.0","0.0","26.31","29.7","600.92","300.46","574.61","571.22","0.0","","","","","","","","",""
"2014.0","11.0","24.0","328.0","12638.0","1.16","0.0","0.0","1.38","1.16","1.6","0.0","0.0","0.0","0.0","27.91","29.7","600.92","300.46","573.01","571.22","0.0","","","","","","","","",""
"2014.0","11.0","25.0","329.0","12638.0","1.16","0.0","0.0","1.24","1.16","1.44","0.0","0.0","0.0","0.0","29.36","29.7","600.92","300.46","571.56","571.22","0.0","","","","","","","","",""
"2014.0","11.0","26.0","330.0","12638.0","1.17","0.0","0.0","1.26","1.17","1.47","0.0","0.0","0.0","0.0","30.82","29.7","600.92","300.46","570.09","571.22","0.0","","","","","","","","",""
"2014.0","11.0","27.0","331.0","12638.0","1.09","0.0","0.0","1.24","1.09","1.35","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2014.0","11.0","28.0","332.0","12638.0","1.0","0.0","0.0","1.2","1.0","1.2","0.0","0.0","0.0","0.0","30.9","29.7","600.92","300.46","570.02","571.22","0.0","","","","","","","","",""
"2014.0","11.0","29.0","333.0","12638.0","0.95","0.0","0.0","0.81","0.95","0.77","0.93","0.93","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2014.0","11.0","30.0","334.0","12638.0","1.19","0.0","0.0","0.67","1.19","0.8","1.78","1.78","0.0","0.0","28.72","29.7","600.92","300.46","572.2","571.22","0.0","","","","","","","","",""
"2014.0","12.0","1.0","335.0","12638.0","1.18","0.0","0.0","1.01","1.18","1.19","11.06","11.06","0.0","0.0","18.85","29.7","600.92","300.46","582.07","571.22","0.0","","","","","","","","",""
"2014.0","12.0","2.0","336.0","12638.0","1.2","0.0","0.0","0.62","1.2","0.74","7.1","7.1","0.0","0.0","12.49","29.7","600.92","300.46","588.43","571.22","0.0","","","","","","","","",""
"2014.0","12.0","3.0","337.0","12638.0","1.17","0.0","0.0","1.27","1.17","1.48","28.07","13.98","0.0","0.0","0.0","29.7","600.92","300.46","600.92","571.22","0.0","","","","","","","","",""
"2014.0","12.0","4.0","338.0","12638.0","1.17","0.0","0.0","1.14","1.17","1.34","8.49","1.34","0.0","0.0","0.0","29.7","600.92","300.46","600.92","571.22","0.0","","","","","","","","",""
"2014.0","12.0","5.0","339.0","12638.0","1.18","0.0","0.0","0.92","1.18","1.08","0.14","0.14","0.0","0.0","0.94","29.7","600.92","300.46","599.97","571.22","0.0","","","","","","","","",""
"2014.0","12.0","6.0","340.0","12638.0","1.18","0.0","0.0","1.12","1.18","1.32","2.24","2.24","0.0","0.0","0.02","29.7","600.92","300.46","600.9","571.22","0.0","","","","","","","","",""
"2014.0","12.0","7.0","341.0","12638.0","1.18","0.0","0.0","0.75","1.18","0.89","0.28","0.28","0.0","0.0","0.63","29.7","600.92","300.46","600.29","571.22","0.0","","","","","","","","",""
"2014.0","12.0","8.0","342.0","12638.0","1.18","0.0","0.0","0.87","1.18","1.03","0.21","0.21","0.0","0.0","1.45","29.7","600.92","300.46","599.47","571.22","0.0","","","","","","","","",""
"2014.0","12.0","9.0","343.0","12638.0","1.19","0.0","0.0","0.69","1.19","0.82","0.0","0.0","0.0","0.0","2.27","29.7","600.92","300.46","598.65","571.22","0.0","","","","","","","","",""
"2014.0","12.0","10.0","344.0","12638.0","1.18","0.0","0.0","0.96","1.18","1.14","0.0","0.0","0.0","0.0","3.4","29.7","600.92","300.46","597.52","571.22","0.0","","","","","","","","",""
"2014.0","12.0","11.0","345.0","12638.0","1.17","0.0","0.0","1.43","1.17","1.67","0.0","0.0","0.0","0.0","5.08","29.7","600.92","300.46","595.84","571.22","0.0","","","","","","","","",""
"2014.0","12.0","12.0","346.0","12638.0","1.2","0.0","0.0","0.62","1.2","0.74","63.4","5.82","0.0","0.0","0.0","29.7","600.92","300.46","600.92","571.22","0.0","","","","","","","","",""
"2014.0","12.0","13.0","347.0","12638.0","1.19","0.0","0.0","0.7","1.19","0.83","1.49","0.83","0.0","0.0","0.0","29.7","600.92","300.46","600.92","571.22","0.0","","","","","","","","",""
"2014.0","12.0","14.0","348.0","12638.0","1.19","0.0","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","0.93","29.7","600.92","300.46","599.99","571.22","0.0","","","","","","","","",""
"2014.0","12.0","15.0","349.0","12638.0","1.18","0.0","0.0","1.03","1.18","1.21","7.42","2.14","0.0","0.0","0.0","29.7","600.92","300.46","600.92","571.22","0.0","","","","","","","","",""
"2014.0","12.0","16.0","350.0","12638.0","1.17","0.0","0.0","1.27","1.17","1.48","8.63","1.48","0.0","0.0","0.0","29.7","600.92","300.46","600.92","571.22","0.0","","","","","","","","",""
"2014.0","12.0","17.0","351.0","12638.0","1.18","0.0","0.0","0.95","1.18","1.12","10.65","1.12","0.0","0.0","0.0","29.7","600.92","300.46","600.92","571.22","0.0","","","","","","","","",""
"2014.0","12.0","18.0","352.0","12638.0","1.18","0.0","0.0","1.01","1.18","1.19","3.76","1.19","0.0","0.0","0.0","29.7","600.92","300.46","600.92","571.22","0.0","","","","","","","","",""
"2014.0","12.0","19.0","353.0","12638.0","1.18","0.0","0.0","0.86","1.18","1.02","0.0","0.0","0.0","0.0","1.02","29.7","600.92","300.46","599.9","571.22","0.0","","","","","","","","",""
"2014.0","12.0","20.0","354.0","12638.0","1.19","0.0","0.0","0.69","1.19","0.82","8.9","1.84","0.0","0.0","0.0","29.7","600.92","300.46","600.92","571.22","0.0","","","","","","","","",""
"2014.0","12.0","21.0","355.0","12638.0","1.19","0.0","0.0","0.99","1.19","1.17","0.18","0.18","0.0","0.0","0.99","29.7","600.92","300.46","599.92","571.22","0.0","","","","","","","","",""
"2014.0","12.0","22.0","356.0","12638.0","1.19","0.0","0.0","0.76","1.19","0.9","0.0","0.0","0.0","0.0","1.9","29.7","600.92","300.46","599.02","571.22","0.0","","","","","","","","",""
"2014.0","12.0","23.0","357.0","12638.0","1.19","0.0","0.0","0.75","1.19","0.89","0.0","0.0","0.0","0.0","2.79","29.7","600.92","300.46","598.13","571.22","0.0","","","","","","","","",""
"2014.0","12.0","24.0","358.0","12638.0","1.19","0.0","0.0","0.93","1.19","1.1","0.0","0.0","0.0","0.0","3.89","29.7","600.92","300.46","597.03","571.22","0.0","","","","","","","","",""
"2014.0","12.0","25.0","359.0","12638.0","1.14","0.0","0.0","2.0","1.14","2.28","0.99","0.99","0.0","0.0","5.18","29.7","600.92","300.46","595.73","571.22","0.0","","","","","","","","",""
"2014.0","12.0","26.0","360.0","12638.0","1.01","0.0","0.0","1.63","1.01","1.65","0.0","0.0","0.0","0.0","6.84","29.7","600.92","300.46","594.08","571.22","0.0","","","","","","","","",""
"2014.0","12.0","27.0","361.0","12638.0","0.97","0.0","0.0","0.77","0.97","0.74","0.0","0.0","0.0","0.0","7.58","29.7","600.92","300.46","593.34","571.22","0.0","","","","","","","","",""
"2014.0","12.0","28.0","362.0","12638.0","0.93","0.0","0.0","0.77","0.93","0.71","0.0","0.0","0.0","0.0","8.29","29.7","600.92","300.46","592.63","571.22","0.0","","","","","","","","",""
"2014.0","12.0","29.0","363.0","12638.0","0.9","0.0","0.0","0.56","0.9","0.5","0.0","0.0","0.0","0.0","8.8","29.7","600.92","300.46","592.12","571.22","0.0","","","","","","","","",""
"2014.0","12.0","30.0","364.0","12638.0","0.8","0.0","0.0","2.46","0.8","1.98","0.0","0.0","0.0","0.0","10.77","29.7","600.92","300.46","590.15","571.22","0.0","","","","","","","","",""
"2014.0","12.0","31.0","365.0","12638.0","0.73","0.0","0.0","2.55","0.73","1.86","0.0","0.0","0.0","0.0","12.63","29.7","600.92","300.46","588.28","571.22","0.0","","","","","","","","",""
"2015.0","1.0","1.0","1.0","12638.0","0.71","0.0","0.0","0.94","0.71","0.67","0.0","0.0","0.0","0.0","13.3","29.7","600.92","300.46","587.62","571.22","0.0","","","","","","","","",""
"2015.0","1.0","2.0","2.0","12638.0","0.69","0.0","0.0","0.91","0.69","0.63","0.0","0.0","0.0","0.0","13.93","29.7","600.92","300.46","586.99","571.22","0.0","","","","","","","","",""
"2015.0","1.0","3.0","3.0","12638.0","0.67","0.0","0.0","0.91","0.67","0.61","0.0","0.0","0.0","0.0","14.54","29.7","600.92","300.46","586.38","571.22","0.0","","","","","","","","",""
"2015.0","1.0","4.0","4.0","12638.0","0.65","0.0","0.0","1.0","0.65","0.65","0.0","0.0","0.0","0.0","15.19","29.7","600.92","300.46","585.73","571.22","0.0","","","","","","","","",""
"2015.0","1.0","5.0","5.0","12638.0","0.64","0.0","0.0","0.96","0.64","0.61","0.0","0.0","0.0","0.0","15.8","29.7","600.92","300.46","585.12","571.22","0.0","","","","","","","","",""
"2015.0","1.0","6.0","6.0","12638.0","0.62","0.0","0.0","1.22","0.62","0.75","0.0","0.0","0.0","0.0","16.55","29.7","600.92","300.46","584.36","571.22","0.0","","","","","","","","",""
"2015.0","1.0","7.0","7.0","12638.0","0.6","0.0","0.0","1.2","0.6","0.72","0.0","0.0","0.0","0.0","17.27","29.7","600.92","300.46","583.64","571.22","0.0","","","","","","","","",""
"2015.0","1.0","8.0","8.0","12638.0","0.59","0.0","0.0","1.05","0.59","0.62","0.0","0.0","0.0","0.0","17.89","29.7","600.92","300.46","583.03","571.22","0.0","","","","","","","","",""
"2015.0","1.0","9.0","9.0","12638.0","0.58","0.0","0.0","0.9","0.58","0.52","0.0","0.0","0.0","0.0","18.41","29.7","600.92","300.46","582.51","571.22","0.0","","","","","","","","",""
"2015.0","1.0","10.0","10.0","12638.0","0.56","0.0","0.0","1.04","0.56","0.59","0.0","0.0","0.0","0.0","18.99","29.7","600.92","300.46","581.92","571.22","0.0","","","","","","","","",""
"2015.0","1.0","11.0","11.0","12638.0","0.55","0.0","0.0","0.89","0.55","0.49","0.0","0.0","0.0","0.0","19.49","29.7","600.92","300.46","581.43","571.22","0.0","","","","","","","","",""
"2015.0","1.0","12.0","12.0","12638.0","0.54","0.0","0.0","0.99","0.54","0.54","0.0","0.0","0.0","0.0","20.03","29.7","600.92","300.46","580.89","571.22","0.0","","","","","","","","",""
"2015.0","1.0","13.0","13.0","12638.0","0.53","0.0","0.0","1.0","0.53","0.53","0.0","0.0","0.0","0.0","20.56","29.7","600.92","300.46","580.36","571.22","0.0","","","","","","","","",""
"2015.0","1.0","14.0","14.0","12638.0","0.53","0.0","0.0","0.64","0.53","0.34","0.0","0.0","0.0","0.0","20.9","29.7","600.92","300.46","580.02","571.22","0.0","","","","","","","","",""
"2015.0","1.0","15.0","15.0","12638.0","0.52","0.0","0.0","0.67","0.52","0.35","0.0","0.0","0.0","0.0","21.25","29.7","600.92","300.46","579.67","571.22","0.0","","","","","","","","",""
"2015.0","1.0","16.0","16.0","12638.0","0.52","0.0","0.0","0.64","0.52","0.33","0.0","0.0","0.0","0.0","21.58","29.7","600.92","300.46","579.34","571.22","0.0","","","","","","","","",""
"2015.0","1.0","17.0","17.0","12638.0","0.51","0.0","0.0","0.53","0.51","0.27","0.0","0.0","0.0","0.0","21.85","29.7","600.92","300.46","579.07","571.22","0.0","","","","","","","","",""
"2015.0","1.0","18.0","18.0","12638.0","0.51","0.0","0.0","0.61","0.51","0.31","0.0","0.0","0.0","0.0","22.16","29.7","600.92","300.46","578.76","571.22","0.0","","","","","","","","",""
"2015.0","1.0","19.0","19.0","12638.0","0.5","0.0","0.0","0.55","0.5","0.28","0.03","0.03","0.0","0.0","22.41","29.7","600.92","300.46","578.51","571.22","0.0","","","","","","","","",""
"2015.0","1.0","20.0","20.0","12638.0","0.5","0.0","0.0","0.74","0.5","0.37","0.0","0.0","0.0","0.0","22.77","29.7","600.92","300.46","578.14","571.22","0.0","","","","","","","","",""
"2015.0","1.0","21.0","21.0","12638.0","0.49","0.0","0.0","1.03","0.49","0.5","0.0","0.0","0.0","0.0","23.28","29.7","600.92","300.46","577.64","571.22","0.0","","","","","","","","",""
"2015.0","1.0","22.0","22.0","12638.0","0.48","0.0","0.0","0.7","0.48","0.34","0.0","0.0","0.0","0.0","23.62","29.7","600.92","300.46","577.3","571.22","0.0","","","","","","","","",""
"2015.0","1.0","23.0","23.0","12638.0","0.48","0.0","0.0","0.94","0.48","0.45","0.0","0.0","0.0","0.0","24.07","29.7","600.92","300.46","576.85","571.22","0.0","","","","","","","","",""
"2015.0","1.0","24.0","24.0","12638.0","0.47","0.0","0.0","0.86","0.47","0.41","0.0","0.0","0.0","0.0","24.47","29.7","600.92","300.46","576.45","571.22","0.0","","","","","","","","",""
"2015.0","1.0","25.0","25.0","12638.0","0.47","0.0","0.0","1.0","0.47","0.47","0.0","0.0","0.0","0.0","24.94","29.7","600.92","300.46","575.98","571.22","0.0","","","","","","","","",""
"2015.0","1.0","26.0","26.0","12638.0","0.46","0.0","0.0","1.2","0.46","0.55","0.0","0.0","0.0","0.0","25.49","29.7","600.92","300.46","575.43","571.22","0.0","","","","","","","","",""
"2015.0","1.0","27.0","27.0","12638.0","0.45","0.0","0.0","1.17","0.45","0.53","0.0","0.0","0.0","0.0","26.02","29.7","600.92","300.46","574.9","571.22","0.0","","","","","","","","",""
"2015.0","1.0","28.0","28.0","12638.0","0.44","0.0","0.0","1.46","0.44","0.65","0.0","0.0","0.0","0.0","26.66","29.7","600.92","300.46","574.25","571.22","0.0","","","","","","","","",""
"2015.0","1.0","29.0","29.0","12638.0","0.44","0.0","0.0","1.36","0.44","0.59","0.0","0.0","0.0","0.0","27.26","29.7","600.92","300.46","573.66","571.22","0.0","","","","","","","","",""
"2015.0","1.0","30.0","30.0","12638.0","0.43","0.0","0.0","1.73","0.43","0.74","0.0","0.0","0.0","0.0","27.99","29.7","600.92","300.46","572.92","571.22","0.0","","","","","","","","",""
"2015.0","1.0","31.0","31.0","12638.0","0.41","0.0","0.0","2.98","0.41","1.23","0.0","0.0","0.0","0.0","29.22","29.7","600.92","300.46","571.69","571.22","0.0","","","","","","","","",""
"2015.0","2.0","1.0","32.0","12638.0","0.41","0.0","0.0","1.53","0.41","0.62","0.0","0.0","0.0","0.0","29.85","29.7","600.92","300.46","571.07","571.22","0.0","","","","","","","","",""
"2015.0","2.0","2.0","33.0","12638.0","0.4","0.0","0.0","1.54","0.4","0.62","0.0","0.0","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2015.0","2.0","3.0","34.0","12638.0","0.39","0.0","0.0","1.62","0.39","0.64","0.0","0.0","0.0","0.0","30.34","29.7","600.92","300.46","570.58","571.22","0.0","","","","","","","","",""
"2015.0","2.0","4.0","35.0","12638.0","0.39","0.0","0.0","1.46","0.39","0.57","0.01","0.01","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
"2015.0","2.0","5.0","36.0","12638.0","0.38","0.0","0.0","1.06","0.38","0.41","0.0","0.0","0.0","0.0","30.11","29.7","600.92","300.46","570.81","571.22","0.0","","","","","","","","",""
"2015.0","2.0","6.0","37.0","12638.0","0.38","0.0","0.0","2.4","0.38","0.9","0.23","0.23","0.0","0.0","29.7","29.7","600.92","300.46","571.22","571.22","0.0","","","","","","","","",""
