" Daily soil water balance output for Truck Crops in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Truck Crops in 186_Solano DAU_Co within 05_Sacramento River for WY 2015","","","","","","",""
"2014.0","11.0","6.0","310.0","44.0","0.83","0.0","0.0","1.92","0.83","1.59","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2014.0","11.0","7.0","311.0","44.0","0.76","0.0","0.0","1.96","0.76","1.5","0.0","0.0","0.0","0.0","20.7","19.2","273.1","136.55","252.41","253.9","0.0","","","","","","","","",""
"2014.0","11.0","8.0","312.0","44.0","0.71","0.0","0.0","1.88","0.71","1.34","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2014.0","11.0","9.0","313.0","44.0","0.67","0.0","0.0","1.84","0.67","1.24","0.0","0.0","0.0","0.0","20.44","19.2","273.1","136.55","252.66","253.9","0.0","","","","","","","","",""
"2014.0","11.0","10.0","314.0","44.0","0.64","0.0","0.0","1.97","0.64","1.26","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2014.0","11.0","11.0","315.0","44.0","0.61","0.0","0.0","1.56","0.61","0.96","0.0","0.0","0.0","0.0","20.16","19.2","273.1","136.55","252.94","253.9","0.0","","","","","","","","",""
"2014.0","11.0","12.0","316.0","44.0","0.59","0.0","0.0","1.44","0.59","0.86","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2014.0","11.0","13.0","317.0","44.0","1.18","0.0","0.0","0.99","1.18","1.17","2.97","2.97","0.0","0.0","17.4","19.2","273.1","136.55","255.7","253.9","0.0","","","","","","","","",""
"2014.0","11.0","14.0","318.0","44.0","1.17","0.0","0.0","1.32","1.17","1.54","1.54","1.54","0.0","0.0","17.4","19.2","273.1","136.55","255.7","253.9","0.0","","","","","","","","",""
"2014.0","11.0","15.0","319.0","44.0","1.17","0.0","0.0","1.29","1.17","1.51","0.0","0.0","0.0","0.0","18.91","19.2","273.1","136.55","254.2","253.9","0.0","","","","","","","","",""
"2014.0","11.0","16.0","320.0","44.0","1.16","0.0","0.0","2.03","1.16","2.35","0.0","0.0","0.0","0.0","21.26","19.2","273.1","136.55","251.84","253.9","0.0","","","","","","","","",""
"2014.0","11.0","17.0","321.0","44.0","1.1","0.0","0.0","1.86","1.1","2.04","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2014.0","11.0","18.0","322.0","44.0","1.0","0.0","0.0","1.39","1.0","1.38","0.0","0.0","0.0","0.0","20.58","19.2","273.1","136.55","252.52","253.9","0.0","","","","","","","","",""
"2014.0","11.0","19.0","323.0","44.0","0.94","0.0","0.0","0.96","0.94","0.9","0.11","0.11","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2014.0","11.0","20.0","324.0","44.0","1.2","0.0","0.0","0.62","1.2","0.74","3.18","3.18","0.0","0.0","16.76","19.2","273.1","136.55","256.34","253.9","0.0","","","","","","","","",""
"2014.0","11.0","21.0","325.0","44.0","1.19","0.0","0.0","0.8","1.19","0.95","4.75","4.75","0.0","0.0","12.96","19.2","273.1","136.55","260.14","253.9","0.0","","","","","","","","",""
"2014.0","11.0","22.0","326.0","44.0","1.18","0.0","0.0","1.2","1.18","1.42","0.13","0.13","0.0","0.0","14.25","19.2","273.1","136.55","258.85","253.9","0.0","","","","","","","","",""
"2014.0","11.0","23.0","327.0","44.0","1.16","0.0","0.0","1.49","1.16","1.73","2.18","2.18","0.0","0.0","13.8","19.2","273.1","136.55","259.3","253.9","0.0","","","","","","","","",""
"2014.0","11.0","24.0","328.0","44.0","1.16","0.0","0.0","1.37","1.16","1.59","0.0","0.0","0.0","0.0","15.39","19.2","273.1","136.55","257.71","253.9","0.0","","","","","","","","",""
"2014.0","11.0","25.0","329.0","44.0","1.17","0.0","0.0","1.21","1.17","1.41","0.0","0.0","0.0","0.0","16.8","19.2","273.1","136.55","256.3","253.9","0.0","","","","","","","","",""
"2014.0","11.0","26.0","330.0","44.0","1.17","0.0","0.0","1.17","1.17","1.37","0.0","0.0","0.0","0.0","18.17","19.2","273.1","136.55","254.93","253.9","0.0","","","","","","","","",""
"2014.0","11.0","27.0","331.0","44.0","1.11","0.0","0.0","1.16","1.11","1.29","0.0","0.0","0.0","0.0","19.45","19.2","273.1","136.55","253.65","253.9","0.0","","","","","","","","",""
"2014.0","11.0","28.0","332.0","44.0","1.03","0.0","0.0","1.1","1.03","1.13","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2014.0","11.0","29.0","333.0","44.0","1.19","0.0","0.0","0.85","1.19","1.01","2.34","2.34","0.0","0.0","17.87","19.2","273.1","136.55","255.23","253.9","0.0","","","","","","","","",""
"2014.0","11.0","30.0","334.0","44.0","1.19","0.0","0.0","0.66","1.19","0.79","4.36","4.36","0.0","0.0","14.3","19.2","273.1","136.55","258.8","253.9","0.0","","","","","","","","",""
"2014.0","12.0","1.0","335.0","44.0","1.18","0.0","0.0","1.0","1.18","1.18","4.73","4.73","0.0","0.0","10.75","19.2","273.1","136.55","262.35","253.9","0.0","","","","","","","","",""
"2014.0","12.0","2.0","336.0","44.0","1.19","0.0","0.0","0.66","1.19","0.79","1.16","1.16","0.0","0.0","10.37","19.2","273.1","136.55","262.73","253.9","0.0","","","","","","","","",""
"2014.0","12.0","3.0","337.0","44.0","1.18","0.0","0.0","1.08","1.18","1.27","42.69","11.64","0.0","0.0","0.0","19.2","273.1","136.55","273.1","253.9","0.0","","","","","","","","",""
"2014.0","12.0","4.0","338.0","44.0","1.18","0.0","0.0","1.07","1.18","1.26","18.3","1.26","0.0","0.0","0.0","19.2","273.1","136.55","273.1","253.9","0.0","","","","","","","","",""
"2014.0","12.0","5.0","339.0","44.0","1.18","0.0","0.0","0.91","1.18","1.07","0.5","0.5","0.0","0.0","0.57","19.2","273.1","136.55","272.53","253.9","0.0","","","","","","","","",""
"2014.0","12.0","6.0","340.0","44.0","1.18","0.0","0.0","1.07","1.18","1.26","2.74","1.83","0.0","0.0","0.0","19.2","273.1","136.55","273.1","253.9","0.0","","","","","","","","",""
"2014.0","12.0","7.0","341.0","44.0","1.18","0.0","0.0","0.76","1.18","0.9","0.57","0.57","0.0","0.0","0.33","19.2","273.1","136.55","272.77","253.9","0.0","","","","","","","","",""
"2014.0","12.0","8.0","342.0","44.0","1.18","0.0","0.0","0.8","1.18","0.95","0.0","0.0","0.0","0.0","1.28","19.2","273.1","136.55","271.82","253.9","0.0","","","","","","","","",""
"2014.0","12.0","9.0","343.0","44.0","1.19","0.0","0.0","0.66","1.19","0.78","0.0","0.0","0.0","0.0","2.06","19.2","273.1","136.55","271.04","253.9","0.0","","","","","","","","",""
"2014.0","12.0","10.0","344.0","44.0","1.19","0.0","0.0","0.91","1.19","1.08","0.0","0.0","0.0","0.0","3.14","19.2","273.1","136.55","269.96","253.9","0.0","","","","","","","","",""
"2014.0","12.0","11.0","345.0","44.0","1.18","0.0","0.0","1.15","1.18","1.36","0.21","0.21","0.0","0.0","4.29","19.2","273.1","136.55","268.81","253.9","0.0","","","","","","","","",""
"2014.0","12.0","12.0","346.0","44.0","1.2","0.0","0.0","0.6","1.2","0.72","72.49","5.01","0.0","0.0","0.0","19.2","273.1","136.55","273.1","253.9","0.0","","","","","","","","",""
"2014.0","12.0","13.0","347.0","44.0","1.19","0.0","0.0","0.69","1.19","0.82","1.59","0.82","0.0","0.0","0.0","19.2","273.1","136.55","273.1","253.9","0.0","","","","","","","","",""
"2014.0","12.0","14.0","348.0","44.0","1.19","0.0","0.0","0.71","1.19","0.85","0.0","0.0","0.0","0.0","0.85","19.2","273.1","136.55","272.25","253.9","0.0","","","","","","","","",""
"2014.0","12.0","15.0","349.0","44.0","1.18","0.0","0.0","0.89","1.18","1.05","6.89","1.9","0.0","0.0","0.0","19.2","273.1","136.55","273.1","253.9","0.0","","","","","","","","",""
"2014.0","12.0","16.0","350.0","44.0","1.17","0.0","0.0","1.18","1.17","1.38","9.15","1.38","0.0","0.0","0.0","19.2","273.1","136.55","273.1","253.9","0.0","","","","","","","","",""
"2014.0","12.0","17.0","351.0","44.0","1.18","0.0","0.0","0.96","1.18","1.13","11.33","1.13","0.0","0.0","0.0","19.2","273.1","136.55","273.1","253.9","0.0","","","","","","","","",""
"2014.0","12.0","18.0","352.0","44.0","1.18","0.0","0.0","0.91","1.18","1.08","3.87","1.08","0.0","0.0","0.0","19.2","273.1","136.55","273.1","253.9","0.0","","","","","","","","",""
"2014.0","12.0","19.0","353.0","44.0","1.19","0.0","0.0","0.81","1.19","0.96","0.01","0.01","0.0","0.0","0.95","19.2","273.1","136.55","272.15","253.9","0.0","","","","","","","","",""
"2014.0","12.0","20.0","354.0","44.0","1.19","0.0","0.0","0.64","1.19","0.76","14.79","1.71","0.0","0.0","0.0","19.2","273.1","136.55","273.1","253.9","0.0","","","","","","","","",""
"2014.0","12.0","21.0","355.0","44.0","1.19","0.0","0.0","0.97","1.19","1.15","0.0","0.0","0.0","0.0","1.15","19.2","273.1","136.55","271.95","253.9","0.0","","","","","","","","",""
"2014.0","12.0","22.0","356.0","44.0","1.19","0.0","0.0","0.79","1.19","0.94","0.0","0.0","0.0","0.0","2.09","19.2","273.1","136.55","271.01","253.9","0.0","","","","","","","","",""
"2014.0","12.0","23.0","357.0","44.0","1.19","0.0","0.0","0.72","1.19","0.86","0.0","0.0","0.0","0.0","2.95","19.2","273.1","136.55","270.15","253.9","0.0","","","","","","","","",""
"2014.0","12.0","24.0","358.0","44.0","1.19","0.0","0.0","0.99","1.19","1.18","0.0","0.0","0.0","0.0","4.12","19.2","273.1","136.55","268.98","253.9","0.0","","","","","","","","",""
"2014.0","12.0","25.0","359.0","44.0","1.15","0.0","0.0","1.88","1.15","2.17","0.78","0.78","0.0","0.0","5.51","19.2","273.1","136.55","267.59","253.9","0.0","","","","","","","","",""
"2014.0","12.0","26.0","360.0","44.0","1.0","0.0","0.0","1.89","1.0","1.9","0.0","0.0","0.0","0.0","7.41","19.2","273.1","136.55","265.69","253.9","0.0","","","","","","","","",""
"2014.0","12.0","27.0","361.0","44.0","0.96","0.0","0.0","0.76","0.96","0.73","0.0","0.0","0.0","0.0","8.14","19.2","273.1","136.55","264.96","253.9","0.0","","","","","","","","",""
"2014.0","12.0","28.0","362.0","44.0","0.92","0.0","0.0","0.74","0.92","0.68","0.0","0.0","0.0","0.0","8.82","19.2","273.1","136.55","264.28","253.9","0.0","","","","","","","","",""
"2014.0","12.0","29.0","363.0","44.0","0.9","0.0","0.0","0.56","0.9","0.5","0.0","0.0","0.0","0.0","9.32","19.2","273.1","136.55","263.78","253.9","0.0","","","","","","","","",""
"2014.0","12.0","30.0","364.0","44.0","0.8","0.0","0.0","2.49","0.8","1.99","0.0","0.0","0.0","0.0","11.31","19.2","273.1","136.55","261.79","253.9","0.0","","","","","","","","",""
"2014.0","12.0","31.0","365.0","44.0","0.72","0.0","0.0","2.68","0.72","1.94","0.0","0.0","0.0","0.0","13.25","19.2","273.1","136.55","259.85","253.9","0.0","","","","","","","","",""
"2015.0","1.0","1.0","1.0","44.0","0.7","0.0","0.0","0.88","0.7","0.62","0.0","0.0","0.0","0.0","13.87","19.2","273.1","136.55","259.23","253.9","0.0","","","","","","","","",""
"2015.0","1.0","2.0","2.0","44.0","0.69","0.0","0.0","0.86","0.69","0.59","0.0","0.0","0.0","0.0","14.46","19.2","273.1","136.55","258.64","253.9","0.0","","","","","","","","",""
"2015.0","1.0","3.0","3.0","44.0","0.67","0.0","0.0","0.85","0.67","0.57","0.0","0.0","0.0","0.0","15.03","19.2","273.1","136.55","258.07","253.9","0.0","","","","","","","","",""
"2015.0","1.0","4.0","4.0","44.0","0.65","0.0","0.0","0.96","0.65","0.63","0.0","0.0","0.0","0.0","15.65","19.2","273.1","136.55","257.45","253.9","0.0","","","","","","","","",""
"2015.0","1.0","5.0","5.0","44.0","0.64","0.0","0.0","0.87","0.64","0.55","0.0","0.0","0.0","0.0","16.21","19.2","273.1","136.55","256.89","253.9","0.0","","","","","","","","",""
"2015.0","1.0","6.0","6.0","44.0","0.62","0.0","0.0","1.17","0.62","0.72","0.0","0.0","0.0","0.0","16.93","19.2","273.1","136.55","256.17","253.9","0.0","","","","","","","","",""
"2015.0","1.0","7.0","7.0","44.0","0.6","0.0","0.0","1.17","0.6","0.7","0.0","0.0","0.0","0.0","17.64","19.2","273.1","136.55","255.46","253.9","0.0","","","","","","","","",""
"2015.0","1.0","8.0","8.0","44.0","0.59","0.0","0.0","1.0","0.59","0.59","0.0","0.0","0.0","0.0","18.23","19.2","273.1","136.55","254.87","253.9","0.0","","","","","","","","",""
"2015.0","1.0","9.0","9.0","44.0","0.58","0.0","0.0","0.87","0.58","0.5","0.0","0.0","0.0","0.0","18.73","19.2","273.1","136.55","254.37","253.9","0.0","","","","","","","","",""
"2015.0","1.0","10.0","10.0","44.0","0.57","0.0","0.0","0.96","0.57","0.54","0.0","0.0","0.0","0.0","19.27","19.2","273.1","136.55","253.83","253.9","0.0","","","","","","","","",""
"2015.0","1.0","11.0","11.0","44.0","0.56","0.0","0.0","0.88","0.56","0.49","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2015.0","1.0","12.0","12.0","44.0","0.55","0.0","0.0","1.05","0.55","0.57","0.0","0.0","0.0","0.0","19.77","19.2","273.1","136.55","253.33","253.9","0.0","","","","","","","","",""
"2015.0","1.0","13.0","13.0","44.0","0.53","0.0","0.0","1.18","0.53","0.63","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2015.0","1.0","14.0","14.0","44.0","0.53","0.0","0.0","0.69","0.53","0.36","0.0","0.0","0.0","0.0","19.56","19.2","273.1","136.55","253.54","253.9","0.0","","","","","","","","",""
"2015.0","1.0","15.0","15.0","44.0","0.52","0.0","0.0","0.69","0.52","0.36","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2015.0","1.0","16.0","16.0","44.0","0.52","0.0","0.0","0.57","0.52","0.29","0.0","0.0","0.0","0.0","19.49","19.2","273.1","136.55","253.61","253.9","0.0","","","","","","","","",""
"2015.0","1.0","17.0","17.0","44.0","0.51","0.0","0.0","0.56","0.51","0.29","0.01","0.01","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2015.0","1.0","18.0","18.0","44.0","0.51","0.0","0.0","0.61","0.51","0.31","0.0","0.0","0.0","0.0","19.51","19.2","273.1","136.55","253.59","253.9","0.0","","","","","","","","",""
"2015.0","1.0","19.0","19.0","44.0","0.5","0.0","0.0","0.7","0.5","0.35","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2015.0","1.0","20.0","20.0","44.0","0.5","0.0","0.0","0.79","0.5","0.39","0.0","0.0","0.0","0.0","19.59","19.2","273.1","136.55","253.51","253.9","0.0","","","","","","","","",""
"2015.0","1.0","21.0","21.0","44.0","0.49","0.0","0.0","0.98","0.49","0.48","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2015.0","1.0","22.0","22.0","44.0","0.48","0.0","0.0","0.73","0.48","0.35","0.0","0.0","0.0","0.0","19.55","19.2","273.1","136.55","253.55","253.9","0.0","","","","","","","","",""
"2015.0","1.0","23.0","23.0","44.0","0.48","0.0","0.0","0.98","0.48","0.47","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2015.0","1.0","24.0","24.0","44.0","0.47","0.0","0.0","0.94","0.47","0.44","0.0","0.0","0.0","0.0","19.64","19.2","273.1","136.55","253.46","253.9","0.0","","","","","","","","",""
"2015.0","1.0","25.0","25.0","44.0","0.46","0.0","0.0","1.02","0.46","0.47","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2015.0","1.0","26.0","26.0","44.0","0.46","0.0","0.0","1.28","0.46","0.58","0.0","0.0","0.0","0.0","19.78","19.2","273.1","136.55","253.32","253.9","0.0","","","","","","","","",""
"2015.0","1.0","27.0","27.0","44.0","0.45","0.0","0.0","1.12","0.45","0.5","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2015.0","1.0","28.0","28.0","44.0","0.44","0.0","0.0","1.53","0.44","0.67","0.0","0.0","0.0","0.0","19.87","19.2","273.1","136.55","253.23","253.9","0.0","","","","","","","","",""
"2015.0","1.0","29.0","29.0","44.0","0.43","0.0","0.0","1.43","0.43","0.62","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2015.0","1.0","30.0","30.0","44.0","0.42","0.0","0.0","1.93","0.42","0.82","0.0","0.0","0.0","0.0","20.02","19.2","273.1","136.55","253.08","253.9","0.0","","","","","","","","",""
"2015.0","1.0","31.0","31.0","44.0","0.41","0.0","0.0","3.46","0.41","1.41","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2015.0","2.0","1.0","32.0","44.0","0.4","0.0","0.0","1.44","0.4","0.58","0.0","0.0","0.0","0.0","19.78","19.2","273.1","136.55","253.32","253.9","0.0","","","","","","","","",""
"2015.0","2.0","2.0","33.0","44.0","0.4","0.0","0.0","1.46","0.4","0.58","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2015.0","2.0","3.0","34.0","44.0","0.39","0.0","0.0","1.52","0.39","0.59","0.0","0.0","0.0","0.0","19.79","19.2","273.1","136.55","253.31","253.9","0.0","","","","","","","","",""
"2015.0","2.0","4.0","35.0","44.0","0.38","0.0","0.0","1.4","0.38","0.54","0.0","0.0","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2015.0","2.0","5.0","36.0","44.0","0.38","0.0","0.0","1.08","0.38","0.41","0.0","0.0","0.0","0.0","19.61","19.2","273.1","136.55","253.49","253.9","0.0","","","","","","","","",""
"2015.0","2.0","6.0","37.0","44.0","0.37","0.0","0.0","2.04","0.37","0.76","0.04","0.04","0.0","0.0","19.2","19.2","273.1","136.55","253.9","253.9","0.0","","","","","","","","",""
"2015.0","2.0","7.0","38.0","44.0","1.16","0.0","0.0","1.42","1.16","1.65","27.21","20.85","0.0","0.0","0.0","19.2","273.1","136.55","273.1","253.9","0.0","","","","","","","","",""
"2015.0","2.0","8.0","39.0","44.0","1.17","0.0","0.0","1.3","1.17","1.52","4.76","1.52","0.0","0.0","0.0","19.2","273.1","136.55","273.1","253.9","0.0","","","","","","","","",""
