" Daily soil water balance output for Pasture in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Pasture in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"2014.0","10.0","16.0","289.0","10805.0","0.29","0.95","0.0","2.7","0.95","2.57","0.0","0.0","0.0","0.0","21.06","61.19","254.81","127.41","233.75","193.62","0.0","","","","","","",""
"2014.0","10.0","17.0","290.0","10805.0","0.29","0.95","0.0","2.51","0.95","2.38","0.0","0.0","0.0","0.0","23.45","61.19","254.81","127.41","231.36","193.62","0.0","","","","","","",""
"2014.0","10.0","18.0","291.0","10805.0","0.29","0.95","0.0","2.88","0.95","2.74","0.0","0.0","0.0","0.0","26.18","61.19","254.81","127.41","228.63","193.62","0.0","","","","","","",""
"2014.0","10.0","19.0","292.0","10805.0","0.28","0.95","0.0","2.97","0.95","2.82","0.0","0.0","0.0","0.0","29.01","61.19","254.81","127.41","225.81","193.62","0.0","","","","","","",""
"2014.0","10.0","20.0","293.0","10805.0","0.28","0.95","0.0","2.25","0.95","2.14","0.0","0.0","0.0","0.0","31.14","61.19","254.81","127.41","223.67","193.62","0.0","","","","","","",""
"2014.0","10.0","21.0","294.0","10805.0","0.27","0.95","0.0","2.67","0.95","2.54","0.0","0.0","0.0","0.0","33.68","61.19","254.81","127.41","221.13","193.62","0.0","","","","","","",""
"2014.0","10.0","22.0","295.0","10805.0","0.27","0.95","0.0","2.57","0.95","2.44","0.0","0.0","0.0","0.0","36.12","61.19","254.81","127.41","218.69","193.62","0.0","","","","","","",""
"2014.0","10.0","23.0","296.0","10805.0","0.27","0.95","0.0","2.51","0.95","2.38","0.0","0.0","0.0","0.0","38.51","61.19","254.81","127.41","216.31","193.62","0.0","","","","","","",""
"2014.0","10.0","24.0","297.0","10805.0","0.27","0.95","0.0","2.57","0.95","2.44","0.0","0.0","0.0","0.0","40.95","61.19","254.81","127.41","213.87","193.62","0.0","","","","","","",""
"2014.0","10.0","25.0","298.0","10805.0","0.26","0.95","0.0","2.27","0.95","2.16","0.0","0.0","0.0","0.0","43.1","61.19","254.81","127.41","211.71","193.62","0.0","","","","","","",""
"2014.0","10.0","26.0","299.0","10805.0","0.26","0.95","0.0","2.66","0.95","2.53","1.25","1.25","0.0","0.0","44.38","61.19","254.81","127.41","210.43","193.62","0.0","","","","","","",""
"2014.0","10.0","27.0","300.0","10805.0","0.26","0.95","0.0","2.48","0.95","2.36","0.0","0.0","0.0","0.0","46.74","61.19","254.81","127.41","208.08","193.62","0.0","","","","","","",""
"2014.0","10.0","28.0","301.0","10805.0","0.25","0.95","0.0","2.37","0.95","2.25","0.0","0.0","0.0","0.0","48.99","61.19","254.81","127.41","205.82","193.62","0.0","","","","","","",""
"2014.0","10.0","29.0","302.0","10805.0","0.25","0.95","0.0","2.4","0.95","2.28","0.0","0.0","0.0","0.0","51.27","61.19","254.81","127.41","203.54","193.62","0.0","","","","","","",""
"2014.0","10.0","30.0","303.0","10805.0","0.25","0.95","0.0","2.51","0.95","2.38","0.0","0.0","0.0","0.0","53.65","61.19","254.81","127.41","201.16","193.62","0.0","","","","","","",""
"2014.0","10.0","31.0","304.0","10805.0","0.25","0.95","0.0","1.29","0.95","1.23","0.01","0.01","0.0","0.0","54.87","61.19","254.81","127.41","199.94","193.62","0.0","","","","","","",""
"2014.0","11.0","1.0","305.0","10805.0","1.15","0.95","0.0","1.84","1.15","2.11","7.1","7.1","0.0","0.0","49.88","61.19","254.81","127.41","204.94","193.62","0.0","","","","","","",""
"2014.0","11.0","2.0","306.0","10805.0","1.14","0.95","0.0","2.21","1.14","2.52","0.0","0.0","0.0","0.0","52.39","61.19","254.81","127.41","202.42","193.62","0.0","","","","","","",""
"2014.0","11.0","3.0","307.0","10805.0","1.14","0.95","0.0","1.8","1.14","2.06","0.0","0.0","0.0","0.0","54.45","61.19","254.81","127.41","200.36","193.62","0.0","","","","","","",""
"2014.0","11.0","4.0","308.0","10805.0","1.01","0.95","0.0","1.75","1.01","1.77","0.0","0.0","0.0","0.0","56.22","61.19","254.81","127.41","198.6","193.62","0.0","","","","","","",""
"2014.0","11.0","5.0","309.0","10805.0","0.91","0.95","0.0","1.82","0.95","1.73","0.0","0.0","0.0","0.0","57.94","61.19","254.81","127.41","196.87","193.62","0.0","","","","","","",""
"2014.0","11.0","6.0","310.0","10805.0","0.83","0.95","0.0","1.94","0.95","1.84","0.0","0.0","0.0","0.0","59.79","61.19","254.81","127.41","195.03","193.62","0.0","","","","","","",""
"2014.0","11.0","7.0","311.0","10805.0","0.76","0.95","0.0","2.01","0.95","1.91","0.0","0.0","0.0","0.0","0.0","61.19","254.81","127.41","254.81","193.62","61.7","","","","","","",""
"2014.0","11.0","8.0","312.0","10805.0","0.71","0.95","0.0","1.88","0.95","1.79","0.0","0.0","0.0","0.0","1.79","61.19","254.81","127.41","253.03","193.62","0.0","","","","","","",""
"2014.0","11.0","9.0","313.0","10805.0","0.67","0.95","0.0","1.86","0.95","1.77","0.0","0.0","0.0","0.0","3.55","61.19","254.81","127.41","251.26","193.62","0.0","","","","","","",""
"2014.0","11.0","10.0","314.0","10805.0","0.64","0.95","0.0","1.96","0.95","1.86","0.0","0.0","0.0","0.0","5.42","61.19","254.81","127.41","249.4","193.62","0.0","","","","","","",""
"2014.0","11.0","11.0","315.0","10805.0","0.61","0.95","0.0","1.52","0.95","1.44","0.0","0.0","0.0","0.0","6.86","61.19","254.81","127.41","247.95","193.62","0.0","","","","","","",""
"2014.0","11.0","12.0","316.0","10805.0","0.59","0.95","0.0","1.46","0.95","1.39","0.0","0.0","0.0","0.0","8.25","61.19","254.81","127.41","246.57","193.62","0.0","","","","","","",""
"2014.0","11.0","13.0","317.0","10805.0","1.18","0.95","0.0","1.02","1.18","1.2","4.19","4.19","0.0","0.0","5.26","61.19","254.81","127.41","249.55","193.62","0.0","","","","","","",""
"2014.0","11.0","14.0","318.0","10805.0","1.17","0.95","0.0","1.34","1.17","1.56","1.96","1.96","0.0","0.0","4.86","61.19","254.81","127.41","249.95","193.62","0.0","","","","","","",""
"2014.0","11.0","15.0","319.0","10805.0","1.17","0.95","0.0","1.28","1.17","1.49","0.0","0.0","0.0","0.0","6.36","61.19","254.81","127.41","248.46","193.62","0.0","","","","","","",""
"2014.0","11.0","16.0","320.0","10805.0","1.16","0.95","0.0","1.98","1.16","2.29","0.01","0.01","0.0","0.0","8.64","61.19","254.81","127.41","246.17","193.62","0.0","","","","","","",""
"2014.0","11.0","17.0","321.0","10805.0","1.1","0.95","0.0","1.82","1.1","2.01","0.0","0.0","0.0","0.0","10.65","61.19","254.81","127.41","244.16","193.62","0.0","","","","","","",""
"2014.0","11.0","18.0","322.0","10805.0","1.0","0.95","0.0","1.37","1.0","1.37","0.0","0.0","0.0","0.0","12.02","61.19","254.81","127.41","242.79","193.62","0.0","","","","","","",""
"2014.0","11.0","19.0","323.0","10805.0","0.94","0.95","0.0","1.06","0.95","1.01","0.13","0.13","0.0","0.0","12.9","61.19","254.81","127.41","241.91","193.62","0.0","","","","","","",""
"2014.0","11.0","20.0","324.0","10805.0","1.19","0.95","0.0","0.64","1.19","0.76","3.26","3.26","0.0","0.0","10.4","61.19","254.81","127.41","244.41","193.62","0.0","","","","","","",""
"2014.0","11.0","21.0","325.0","10805.0","1.19","0.95","0.0","0.82","1.19","0.97","4.7","4.7","0.0","0.0","6.68","61.19","254.81","127.41","248.14","193.62","0.0","","","","","","",""
"2014.0","11.0","22.0","326.0","10805.0","1.18","0.95","0.0","1.16","1.18","1.37","0.19","0.19","0.0","0.0","7.86","61.19","254.81","127.41","246.96","193.62","0.0","","","","","","",""
"2014.0","11.0","23.0","327.0","10805.0","1.16","0.95","0.0","1.49","1.16","1.73","3.38","3.38","0.0","0.0","6.2","61.19","254.81","127.41","248.61","193.62","0.0","","","","","","",""
"2014.0","11.0","24.0","328.0","10805.0","1.16","0.95","0.0","1.37","1.16","1.59","0.0","0.0","0.0","0.0","7.8","61.19","254.81","127.41","247.02","193.62","0.0","","","","","","",""
"2014.0","11.0","25.0","329.0","10805.0","1.17","0.95","0.0","1.22","1.17","1.42","0.0","0.0","0.0","0.0","9.22","61.19","254.81","127.41","245.59","193.62","0.0","","","","","","",""
"2014.0","11.0","26.0","330.0","10805.0","1.17","0.95","0.0","1.2","1.17","1.4","0.0","0.0","0.0","0.0","10.62","61.19","254.81","127.41","244.19","193.62","0.0","","","","","","",""
"2014.0","11.0","27.0","331.0","10805.0","1.1","0.95","0.0","1.19","1.1","1.31","0.0","0.0","0.0","0.0","11.94","61.19","254.81","127.41","242.88","193.62","0.0","","","","","","",""
"2014.0","11.0","28.0","332.0","10805.0","1.02","0.95","0.0","1.16","1.02","1.18","0.0","0.0","0.0","0.0","13.12","61.19","254.81","127.41","241.7","193.62","0.0","","","","","","",""
"2014.0","11.0","29.0","333.0","10805.0","1.19","0.95","0.0","0.85","1.19","1.01","2.69","2.69","0.0","0.0","11.43","61.19","254.81","127.41","243.38","193.62","0.0","","","","","","",""
"2014.0","11.0","30.0","334.0","10805.0","1.19","0.95","0.0","0.66","1.19","0.79","3.5","3.5","0.0","0.0","8.72","61.19","254.81","127.41","246.09","193.62","0.0","","","","","","",""
"2014.0","12.0","1.0","335.0","10805.0","1.18","0.95","0.0","1.02","1.18","1.2","7.13","7.13","0.0","0.0","2.79","61.19","254.81","127.41","252.02","193.62","0.0","","","","","","",""
"2014.0","12.0","2.0","336.0","10805.0","1.19","0.95","0.0","0.66","1.19","0.79","2.45","2.45","0.0","0.0","1.13","61.19","254.81","127.41","253.68","193.62","0.0","","","","","","",""
"2014.0","12.0","3.0","337.0","10805.0","1.17","0.95","0.0","1.13","1.17","1.33","39.11","2.46","0.0","0.0","0.0","61.19","254.81","127.41","254.81","193.62","0.0","","","","","","",""
"2014.0","12.0","4.0","338.0","10805.0","1.18","0.95","0.0","1.1","1.18","1.29","21.84","1.29","0.0","0.0","0.0","61.19","254.81","127.41","254.81","193.62","0.0","","","","","","",""
"2014.0","12.0","5.0","339.0","10805.0","1.18","0.95","0.0","0.92","1.18","1.09","0.22","0.22","0.0","0.0","0.87","61.19","254.81","127.41","253.95","193.62","0.0","","","","","","",""
"2014.0","12.0","6.0","340.0","10805.0","1.18","0.95","0.0","1.09","1.18","1.28","2.83","2.15","0.0","0.0","0.0","61.19","254.81","127.41","254.81","193.62","0.0","","","","","","",""
"2014.0","12.0","7.0","341.0","10805.0","1.18","0.95","0.0","0.77","1.18","0.91","0.78","0.78","0.0","0.0","0.13","61.19","254.81","127.41","254.68","193.62","0.0","","","","","","",""
"2014.0","12.0","8.0","342.0","10805.0","1.18","0.95","0.0","0.83","1.18","0.98","0.0","0.0","0.0","0.0","1.11","61.19","254.81","127.41","253.7","193.62","0.0","","","","","","",""
"2014.0","12.0","9.0","343.0","10805.0","1.19","0.95","0.0","0.68","1.19","0.81","0.0","0.0","0.0","0.0","1.92","61.19","254.81","127.41","252.89","193.62","0.0","","","","","","",""
"2014.0","12.0","10.0","344.0","10805.0","1.19","0.95","0.0","0.97","1.19","1.15","0.0","0.0","0.0","0.0","3.07","61.19","254.81","127.41","251.74","193.62","0.0","","","","","","",""
"2014.0","12.0","11.0","345.0","10805.0","1.18","0.95","0.0","1.27","1.18","1.5","0.01","0.01","0.0","0.0","4.56","61.19","254.81","127.41","250.25","193.62","0.0","","","","","","",""
"2014.0","12.0","12.0","346.0","10805.0","1.2","0.95","0.0","0.61","1.2","0.73","68.69","5.29","0.0","0.0","0.0","61.19","254.81","127.41","254.81","193.62","0.0","","","","","","",""
"2014.0","12.0","13.0","347.0","10805.0","1.19","0.95","0.0","0.68","1.19","0.81","1.6","0.81","0.0","0.0","0.0","61.19","254.81","127.41","254.81","193.62","0.0","","","","","","",""
"2014.0","12.0","14.0","348.0","10805.0","1.19","0.95","0.0","0.73","1.19","0.87","0.0","0.0","0.0","0.0","0.87","61.19","254.81","127.41","253.94","193.62","0.0","","","","","","",""
"2014.0","12.0","15.0","349.0","10805.0","1.18","0.95","0.0","0.95","1.18","1.12","6.13","1.99","0.0","0.0","0.0","61.19","254.81","127.41","254.81","193.62","0.0","","","","","","",""
"2014.0","12.0","16.0","350.0","10805.0","1.17","0.95","0.0","1.22","1.17","1.43","11.72","1.43","0.0","0.0","0.0","61.19","254.81","127.41","254.81","193.62","0.0","","","","","","",""
"2014.0","12.0","17.0","351.0","10805.0","1.18","0.95","0.0","0.96","1.18","1.13","12.55","1.13","0.0","0.0","0.0","61.19","254.81","127.41","254.81","193.62","0.0","","","","","","",""
"2014.0","12.0","18.0","352.0","10805.0","1.18","0.95","0.0","0.94","1.18","1.11","2.97","1.11","0.0","0.0","0.0","61.19","254.81","127.41","254.81","193.62","0.0","","","","","","",""
"2014.0","12.0","19.0","353.0","10805.0","1.18","0.95","0.0","0.83","1.18","0.98","0.0","0.0","0.0","0.0","0.98","61.19","254.81","127.41","253.83","193.62","0.0","","","","","","",""
"2014.0","12.0","20.0","354.0","10805.0","1.19","0.95","0.0","0.65","1.19","0.78","15.13","1.76","0.0","0.0","0.0","61.19","254.81","127.41","254.81","193.62","0.0","","","","","","",""
"2014.0","12.0","21.0","355.0","10805.0","1.19","0.95","0.0","0.98","1.19","1.16","0.01","0.01","0.0","0.0","1.15","61.19","254.81","127.41","253.66","193.62","0.0","","","","","","",""
"2014.0","12.0","22.0","356.0","10805.0","1.19","0.95","0.0","0.77","1.19","0.91","0.0","0.0","0.0","0.0","2.07","61.19","254.81","127.41","252.74","193.62","0.0","","","","","","",""
"2014.0","12.0","23.0","357.0","10805.0","1.19","0.95","0.0","0.72","1.19","0.86","0.0","0.0","0.0","0.0","2.92","61.19","254.81","127.41","251.89","193.62","0.0","","","","","","",""
"2014.0","12.0","24.0","358.0","10805.0","1.19","0.95","0.0","0.95","1.19","1.13","0.0","0.0","0.0","0.0","4.05","61.19","254.81","127.41","250.76","193.62","0.0","","","","","","",""
"2014.0","12.0","25.0","359.0","10805.0","1.14","0.95","0.0","1.9","1.14","2.17","1.24","1.24","0.0","0.0","4.99","61.19","254.81","127.41","249.83","193.62","0.0","","","","","","",""
"2014.0","12.0","26.0","360.0","10805.0","1.15","0.95","0.0","1.79","1.15","2.05","0.0","0.0","0.0","0.0","7.04","61.19","254.81","127.41","247.78","193.62","0.0","","","","","","",""
"2014.0","12.0","27.0","361.0","10805.0","1.16","0.95","0.0","0.76","1.16","0.88","0.0","0.0","0.0","0.0","7.92","61.19","254.81","127.41","246.89","193.62","0.0","","","","","","",""
"2014.0","12.0","28.0","362.0","10805.0","1.17","0.95","0.0","0.75","1.17","0.88","0.0","0.0","0.0","0.0","8.8","61.19","254.81","127.41","246.02","193.62","0.0","","","","","","",""
"2014.0","12.0","29.0","363.0","10805.0","1.17","0.95","0.0","0.54","1.17","0.63","0.0","0.0","0.0","0.0","9.43","61.19","254.81","127.41","245.38","193.62","0.0","","","","","","",""
"2014.0","12.0","30.0","364.0","10805.0","0.98","0.95","0.0","2.48","0.98","2.43","0.0","0.0","0.0","0.0","11.86","61.19","254.81","127.41","242.96","193.62","0.0","","","","","","",""
"2014.0","12.0","31.0","365.0","10805.0","0.85","0.95","0.0","2.64","0.95","2.51","0.0","0.0","0.0","0.0","14.37","61.19","254.81","127.41","240.45","193.62","0.0","","","","","","",""
"2015.0","1.0","1.0","1.0","10805.0","0.82","0.95","0.0","0.89","0.95","0.85","0.0","0.0","0.0","0.0","15.21","59.87","254.81","127.41","239.6","194.94","0.0","","","","","","",""
"2015.0","1.0","2.0","2.0","10805.0","0.79","0.95","0.0","0.88","0.95","0.84","0.0","0.0","0.0","0.0","16.05","59.87","254.81","127.41","238.77","194.94","0.0","","","","","","",""
"2015.0","1.0","3.0","3.0","10805.0","0.76","0.95","0.0","0.87","0.95","0.83","0.0","0.0","0.0","0.0","16.87","59.87","254.81","127.41","237.94","194.94","0.0","","","","","","",""
"2015.0","1.0","4.0","4.0","10805.0","0.74","0.95","0.0","0.97","0.95","0.92","0.0","0.0","0.0","0.0","17.79","59.87","254.81","127.41","237.02","194.94","0.0","","","","","","",""
"2015.0","1.0","5.0","5.0","10805.0","0.72","0.95","0.0","0.89","0.95","0.85","0.0","0.0","0.0","0.0","18.64","59.87","254.81","127.41","236.17","194.94","0.0","","","","","","",""
"2015.0","1.0","6.0","6.0","10805.0","0.69","0.95","0.0","1.19","0.95","1.13","0.0","0.0","0.0","0.0","19.77","59.87","254.81","127.41","235.04","194.94","0.0","","","","","","",""
"2015.0","1.0","7.0","7.0","10805.0","0.67","0.95","0.0","1.19","0.95","1.13","0.0","0.0","0.0","0.0","20.9","59.87","254.81","127.41","233.91","194.94","0.0","","","","","","",""
"2015.0","1.0","8.0","8.0","10805.0","0.65","0.95","0.0","1.04","0.95","0.99","0.0","0.0","0.0","0.0","21.89","59.87","254.81","127.41","232.92","194.94","0.0","","","","","","",""
"2015.0","1.0","9.0","9.0","10805.0","0.63","0.95","0.0","0.88","0.95","0.84","0.0","0.0","0.0","0.0","22.73","59.87","254.81","127.41","232.09","194.94","0.0","","","","","","",""
"2015.0","1.0","10.0","10.0","10805.0","0.62","0.95","0.0","0.99","0.95","0.94","0.0","0.0","0.0","0.0","23.67","59.87","254.81","127.41","231.15","194.94","0.0","","","","","","",""
"2015.0","1.0","11.0","11.0","10805.0","0.61","0.95","0.0","0.88","0.95","0.84","0.0","0.0","0.0","0.0","24.5","59.87","254.81","127.41","230.31","194.94","0.0","","","","","","",""
"2015.0","1.0","12.0","12.0","10805.0","0.59","0.95","0.0","1.02","0.95","0.97","0.0","0.0","0.0","0.0","25.47","59.87","254.81","127.41","229.34","194.94","0.0","","","","","","",""
"2015.0","1.0","13.0","13.0","10805.0","0.58","0.95","0.0","1.08","0.95","1.03","0.0","0.0","0.0","0.0","26.5","59.87","254.81","127.41","228.32","194.94","0.0","","","","","","",""
"2015.0","1.0","14.0","14.0","10805.0","0.57","0.95","0.0","0.68","0.95","0.65","0.0","0.0","0.0","0.0","27.14","59.87","254.81","127.41","227.67","194.94","0.0","","","","","","",""
"2015.0","1.0","15.0","15.0","10805.0","0.56","0.95","0.0","0.69","0.95","0.66","0.0","0.0","0.0","0.0","27.8","59.87","254.81","127.41","227.01","194.94","0.0","","","","","","",""
"2015.0","1.0","16.0","16.0","10805.0","0.56","0.95","0.0","0.6","0.95","0.57","0.0","0.0","0.0","0.0","28.37","59.87","254.81","127.41","226.44","194.94","0.0","","","","","","",""
"2015.0","1.0","17.0","17.0","10805.0","0.55","0.95","0.0","0.53","0.95","0.5","0.0","0.0","0.0","0.0","28.87","59.87","254.81","127.41","225.94","194.94","0.0","","","","","","",""
"2015.0","1.0","18.0","18.0","10805.0","0.55","0.95","0.0","0.59","0.95","0.56","0.0","0.0","0.0","0.0","29.43","59.87","254.81","127.41","225.38","194.94","0.0","","","","","","",""
"2015.0","1.0","19.0","19.0","10805.0","0.54","0.95","0.0","0.62","0.95","0.59","0.01","0.01","0.0","0.0","30.01","59.87","254.81","127.41","224.8","194.94","0.0","","","","","","",""
"2015.0","1.0","20.0","20.0","10805.0","0.53","0.95","0.0","0.75","0.95","0.71","0.0","0.0","0.0","0.0","30.72","59.87","254.81","127.41","224.09","194.94","0.0","","","","","","",""
"2015.0","1.0","21.0","21.0","10805.0","0.52","0.95","0.0","0.97","0.95","0.92","0.0","0.0","0.0","0.0","31.65","59.87","254.81","127.41","223.17","194.94","0.0","","","","","","",""
"2015.0","1.0","22.0","22.0","10805.0","0.52","0.95","0.0","0.72","0.95","0.68","0.0","0.0","0.0","0.0","32.33","59.87","254.81","127.41","222.48","194.94","0.0","","","","","","",""
"2015.0","1.0","23.0","23.0","10805.0","0.51","0.95","0.0","0.94","0.95","0.89","0.0","0.0","0.0","0.0","33.22","59.87","254.81","127.41","221.59","194.94","0.0","","","","","","",""
"2015.0","1.0","24.0","24.0","10805.0","0.5","0.95","0.0","0.87","0.95","0.83","0.0","0.0","0.0","0.0","34.05","59.87","254.81","127.41","220.76","194.94","0.0","","","","","","",""
"2015.0","1.0","25.0","25.0","10805.0","0.49","0.95","0.0","1.02","0.95","0.97","0.0","0.0","0.0","0.0","35.02","59.87","254.81","127.41","219.79","194.94","0.0","","","","","","",""
"2015.0","1.0","26.0","26.0","10805.0","0.49","0.95","0.0","1.27","0.95","1.21","0.0","0.0","0.0","0.0","36.22","59.87","254.81","127.41","218.59","194.94","0.0","","","","","","",""
"2015.0","1.0","27.0","27.0","10805.0","0.48","0.95","0.0","1.12","0.95","1.06","0.0","0.0","0.0","0.0","37.29","59.87","254.81","127.41","217.52","194.94","0.0","","","","","","",""
"2015.0","1.0","28.0","28.0","10805.0","0.47","0.95","0.0","1.5","0.95","1.43","0.0","0.0","0.0","0.0","38.71","59.87","254.81","127.41","216.1","194.94","0.0","","","","","","",""
"2015.0","1.0","29.0","29.0","10805.0","0.46","0.95","0.0","1.41","0.95","1.34","0.0","0.0","0.0","0.0","40.05","59.87","254.81","127.41","214.76","194.94","0.0","","","","","","",""
"2015.0","1.0","30.0","30.0","10805.0","0.45","0.95","0.0","1.89","0.95","1.8","0.0","0.0","0.0","0.0","41.85","59.87","254.81","127.41","212.96","194.94","0.0","","","","","","",""
"2015.0","1.0","31.0","31.0","10805.0","0.43","0.95","0.0","3.35","0.95","3.18","0.0","0.0","0.0","0.0","45.03","59.87","254.81","127.41","209.78","194.94","0.0","","","","","","",""
"2015.0","2.0","1.0","32.0","10805.0","0.42","0.95","0.0","1.46","0.95","1.39","0.0","0.0","0.0","0.0","46.42","59.87","254.81","127.41","208.39","194.94","0.0","","","","","","",""
"2015.0","2.0","2.0","33.0","10805.0","0.41","0.95","0.0","1.5","0.95","1.43","0.0","0.0","0.0","0.0","47.84","59.87","254.81","127.41","206.97","194.94","0.0","","","","","","",""
"2015.0","2.0","3.0","34.0","10805.0","0.41","0.95","0.0","1.56","0.95","1.48","0.0","0.0","0.0","0.0","49.32","59.87","254.81","127.41","205.49","194.94","0.0","","","","","","",""
"2015.0","2.0","4.0","35.0","10805.0","0.4","0.95","0.0","1.45","0.95","1.38","0.0","0.0","0.0","0.0","50.7","59.87","254.81","127.41","204.11","194.94","0.0","","","","","","",""
"2015.0","2.0","5.0","36.0","10805.0","0.4","0.95","0.0","1.11","0.95","1.05","0.0","0.0","0.0","0.0","51.76","59.87","254.81","127.41","203.06","194.94","0.0","","","","","","",""
"2015.0","2.0","6.0","37.0","10805.0","0.39","0.95","0.0","2.23","0.95","2.12","0.97","0.97","0.0","0.0","52.91","59.87","254.81","127.41","201.91","194.94","0.0","","","","","","",""
"2015.0","2.0","7.0","38.0","10805.0","1.16","0.95","0.0","1.43","1.16","1.66","20.87","20.87","0.0","0.0","33.7","59.87","254.81","127.41","221.11","194.94","0.0","","","","","","",""
"2015.0","2.0","8.0","39.0","10805.0","1.16","0.95","0.0","1.39","1.16","1.62","12.03","12.03","0.0","0.0","23.29","59.87","254.81","127.41","231.53","194.94","0.0","","","","","","",""
"2015.0","2.0","9.0","40.0","10805.0","1.14","0.95","0.0","2.02","1.14","2.3","18.45","18.45","0.0","0.0","7.14","59.87","254.81","127.41","247.67","194.94","0.0","","","","","","",""
"2015.0","2.0","10.0","41.0","10805.0","1.14","0.95","0.0","1.84","1.14","2.1","0.02","0.02","0.0","0.0","9.22","59.87","254.81","127.41","245.59","194.94","0.0","","","","","","",""
