" Daily soil water balance output for Citrus & Subtropical in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output  for Citrus & Subtropical in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2015","","","","",""
"2014.0","10.0","16.0","289.0","2.0","0.29","0.91","0.0","2.7","0.91","2.45","0.0","0.0","0.0","0.0","54.35","95.1","416.97","208.48","362.62","321.86","0.0","","","","","","",""
"2014.0","10.0","17.0","290.0","2.0","0.29","0.91","0.0","2.51","0.91","2.27","0.0","0.0","0.0","0.0","56.62","95.1","416.97","208.48","360.35","321.86","0.0","","","","","","",""
"2014.0","10.0","18.0","291.0","2.0","0.29","0.91","0.0","2.88","0.91","2.61","0.0","0.0","0.0","0.0","59.23","95.1","416.97","208.48","357.74","321.86","0.0","","","","","","",""
"2014.0","10.0","19.0","292.0","2.0","0.28","0.91","0.0","2.97","0.91","2.69","0.0","0.0","0.0","0.0","61.92","95.1","416.97","208.48","355.05","321.86","0.0","","","","","","",""
"2014.0","10.0","20.0","293.0","2.0","0.28","0.91","0.0","2.25","0.91","2.04","0.0","0.0","0.0","0.0","63.96","95.1","416.97","208.48","353.01","321.86","0.0","","","","","","",""
"2014.0","10.0","21.0","294.0","2.0","0.27","0.91","0.0","2.67","0.91","2.42","0.0","0.0","0.0","0.0","66.38","95.1","416.97","208.48","350.59","321.86","0.0","","","","","","",""
"2014.0","10.0","22.0","295.0","2.0","0.27","0.91","0.0","2.57","0.91","2.33","0.0","0.0","0.0","0.0","68.71","95.1","416.97","208.48","348.26","321.86","0.0","","","","","","",""
"2014.0","10.0","23.0","296.0","2.0","0.27","0.91","0.0","2.51","0.91","2.27","0.0","0.0","0.0","0.0","70.98","95.1","416.97","208.48","345.99","321.86","0.0","","","","","","",""
"2014.0","10.0","24.0","297.0","2.0","0.27","0.91","0.0","2.57","0.91","2.33","0.0","0.0","0.0","0.0","73.31","95.1","416.97","208.48","343.66","321.86","0.0","","","","","","",""
"2014.0","10.0","25.0","298.0","2.0","0.26","0.91","0.0","2.27","0.91","2.06","0.0","0.0","0.0","0.0","75.37","95.1","416.97","208.48","341.6","321.86","0.0","","","","","","",""
"2014.0","10.0","26.0","299.0","2.0","0.26","0.91","0.0","2.66","0.91","2.41","1.25","1.25","0.0","0.0","76.53","95.1","416.97","208.48","340.44","321.86","0.0","","","","","","",""
"2014.0","10.0","27.0","300.0","2.0","0.26","0.91","0.0","2.48","0.91","2.25","0.0","0.0","0.0","0.0","78.77","95.1","416.97","208.48","338.19","321.86","0.0","","","","","","",""
"2014.0","10.0","28.0","301.0","2.0","0.25","0.91","0.0","2.37","0.91","2.15","0.0","0.0","0.0","0.0","80.92","95.1","416.97","208.48","336.05","321.86","0.0","","","","","","",""
"2014.0","10.0","29.0","302.0","2.0","0.25","0.91","0.0","2.4","0.91","2.17","0.0","0.0","0.0","0.0","83.09","95.1","416.97","208.48","333.87","321.86","0.0","","","","","","",""
"2014.0","10.0","30.0","303.0","2.0","0.25","0.91","0.0","2.51","0.91","2.27","0.0","0.0","0.0","0.0","85.37","95.1","416.97","208.48","331.6","321.86","0.0","","","","","","",""
"2014.0","10.0","31.0","304.0","2.0","0.25","0.91","0.0","1.29","0.91","1.17","0.01","0.01","0.0","0.0","86.53","95.1","416.97","208.48","330.44","321.86","0.0","","","","","","",""
"2014.0","11.0","1.0","305.0","2.0","1.15","0.91","0.0","1.84","1.15","2.11","7.1","7.1","0.0","0.0","81.54","95.1","416.97","208.48","335.43","321.86","0.0","","","","","","",""
"2014.0","11.0","2.0","306.0","2.0","1.14","0.91","0.0","2.21","1.14","2.52","0.0","0.0","0.0","0.0","84.05","95.1","416.97","208.48","332.91","321.86","0.0","","","","","","",""
"2014.0","11.0","3.0","307.0","2.0","1.14","0.91","0.0","1.8","1.14","2.06","0.0","0.0","0.0","0.0","86.11","95.1","416.97","208.48","330.86","321.86","0.0","","","","","","",""
"2014.0","11.0","4.0","308.0","2.0","1.01","0.91","0.0","1.75","1.01","1.77","0.0","0.0","0.0","0.0","87.87","95.1","416.97","208.48","329.09","321.86","0.0","","","","","","",""
"2014.0","11.0","5.0","309.0","2.0","0.91","0.91","0.0","1.82","0.91","1.65","0.0","0.0","0.0","0.0","89.52","95.1","416.97","208.48","327.44","321.86","0.0","","","","","","",""
"2014.0","11.0","6.0","310.0","2.0","0.83","0.91","0.0","1.94","0.91","1.76","0.0","0.0","0.0","0.0","91.28","95.1","416.97","208.48","325.69","321.86","0.0","","","","","","",""
"2014.0","11.0","7.0","311.0","2.0","0.76","0.91","0.0","2.01","0.91","1.82","0.0","0.0","0.0","0.0","93.1","95.1","416.97","208.48","323.86","321.86","0.0","","","","","","",""
"2014.0","11.0","8.0","312.0","2.0","0.71","0.91","0.0","1.88","0.91","1.7","0.0","0.0","0.0","0.0","94.81","95.1","416.97","208.48","322.16","321.86","0.0","","","","","","",""
"2014.0","11.0","9.0","313.0","2.0","0.67","0.91","0.0","1.86","0.91","1.69","0.0","0.0","0.0","0.0","0.0","95.1","416.97","208.48","416.97","321.86","96.49","","","","","","",""
"2014.0","11.0","10.0","314.0","2.0","0.64","0.91","0.0","1.96","0.91","1.78","0.0","0.0","0.0","0.0","1.78","95.1","416.97","208.48","415.19","321.86","0.0","","","","","","",""
"2014.0","11.0","11.0","315.0","2.0","0.61","0.91","0.0","1.52","0.91","1.38","0.0","0.0","0.0","0.0","3.15","95.1","416.97","208.48","413.81","321.86","0.0","","","","","","",""
"2014.0","11.0","12.0","316.0","2.0","0.59","0.91","0.0","1.46","0.91","1.32","0.0","0.0","0.0","0.0","4.48","95.1","416.97","208.48","412.49","321.86","0.0","","","","","","",""
"2014.0","11.0","13.0","317.0","2.0","1.18","0.91","0.0","1.02","1.18","1.2","4.19","4.19","0.0","0.0","1.49","95.1","416.97","208.48","415.48","321.86","0.0","","","","","","",""
"2014.0","11.0","14.0","318.0","2.0","1.17","0.91","0.0","1.34","1.17","1.56","1.96","1.96","0.0","0.0","1.09","95.1","416.97","208.48","415.88","321.86","0.0","","","","","","",""
"2014.0","11.0","15.0","319.0","2.0","1.17","0.91","0.0","1.28","1.17","1.49","0.0","0.0","0.0","0.0","2.59","95.1","416.97","208.48","414.38","321.86","0.0","","","","","","",""
"2014.0","11.0","16.0","320.0","2.0","1.16","0.91","0.0","1.98","1.16","2.29","0.01","0.01","0.0","0.0","4.87","95.1","416.97","208.48","412.1","321.86","0.0","","","","","","",""
"2014.0","11.0","17.0","321.0","2.0","1.1","0.91","0.0","1.82","1.1","2.01","0.0","0.0","0.0","0.0","6.88","95.1","416.97","208.48","410.09","321.86","0.0","","","","","","",""
"2014.0","11.0","18.0","322.0","2.0","1.0","0.91","0.0","1.37","1.0","1.37","0.0","0.0","0.0","0.0","8.25","95.1","416.97","208.48","408.72","321.86","0.0","","","","","","",""
"2014.0","11.0","19.0","323.0","2.0","0.94","0.91","0.0","1.06","0.94","1.0","0.13","0.13","0.0","0.0","9.12","95.1","416.97","208.48","407.85","321.86","0.0","","","","","","",""
"2014.0","11.0","20.0","324.0","2.0","1.19","0.91","0.0","0.64","1.19","0.76","3.26","3.26","0.0","0.0","6.62","95.1","416.97","208.48","410.34","321.86","0.0","","","","","","",""
"2014.0","11.0","21.0","325.0","2.0","1.19","0.91","0.0","0.82","1.19","0.97","4.7","4.7","0.0","0.0","2.9","95.1","416.97","208.48","414.07","321.86","0.0","","","","","","",""
"2014.0","11.0","22.0","326.0","2.0","1.18","0.91","0.0","1.16","1.18","1.37","0.19","0.19","0.0","0.0","4.08","95.1","416.97","208.48","412.89","321.86","0.0","","","","","","",""
"2014.0","11.0","23.0","327.0","2.0","1.16","0.91","0.0","1.49","1.16","1.73","3.38","3.38","0.0","0.0","2.43","95.1","416.97","208.48","414.54","321.86","0.0","","","","","","",""
"2014.0","11.0","24.0","328.0","2.0","1.16","0.91","0.0","1.37","1.16","1.59","0.0","0.0","0.0","0.0","4.02","95.1","416.97","208.48","412.95","321.86","0.0","","","","","","",""
"2014.0","11.0","25.0","329.0","2.0","1.17","0.91","0.0","1.22","1.17","1.42","0.0","0.0","0.0","0.0","5.44","95.1","416.97","208.48","411.53","321.86","0.0","","","","","","",""
"2014.0","11.0","26.0","330.0","2.0","1.17","0.91","0.0","1.2","1.17","1.4","0.0","0.0","0.0","0.0","6.84","95.1","416.97","208.48","410.13","321.86","0.0","","","","","","",""
"2014.0","11.0","27.0","331.0","2.0","1.1","0.91","0.0","1.19","1.1","1.31","0.0","0.0","0.0","0.0","8.16","95.1","416.97","208.48","408.81","321.86","0.0","","","","","","",""
"2014.0","11.0","28.0","332.0","2.0","1.02","0.91","0.0","1.16","1.02","1.18","0.0","0.0","0.0","0.0","9.34","95.1","416.97","208.48","407.63","321.86","0.0","","","","","","",""
"2014.0","11.0","29.0","333.0","2.0","1.19","0.91","0.0","0.85","1.19","1.01","2.69","2.69","0.0","0.0","7.65","95.1","416.97","208.48","409.31","321.86","0.0","","","","","","",""
"2014.0","11.0","30.0","334.0","2.0","1.19","0.91","0.0","0.66","1.19","0.79","3.5","3.5","0.0","0.0","4.94","95.1","416.97","208.48","412.02","321.86","0.0","","","","","","",""
"2014.0","12.0","1.0","335.0","2.0","1.18","0.91","0.0","1.02","1.18","1.2","7.13","6.15","0.0","0.0","0.0","95.1","416.97","208.48","416.97","321.86","0.0","","","","","","",""
"2014.0","12.0","2.0","336.0","2.0","1.19","0.91","0.0","0.66","1.19","0.79","2.45","0.79","0.0","0.0","0.0","95.1","416.97","208.48","416.97","321.86","0.0","","","","","","",""
"2014.0","12.0","3.0","337.0","2.0","1.17","0.91","0.0","1.13","1.17","1.33","39.11","1.33","0.0","0.0","0.0","95.1","416.97","208.48","416.97","321.86","0.0","","","","","","",""
"2014.0","12.0","4.0","338.0","2.0","1.18","0.91","0.0","1.1","1.18","1.29","21.84","1.29","0.0","0.0","0.0","95.1","416.97","208.48","416.97","321.86","0.0","","","","","","",""
"2014.0","12.0","5.0","339.0","2.0","1.18","0.91","0.0","0.92","1.18","1.09","0.22","0.22","0.0","0.0","0.87","95.1","416.97","208.48","416.1","321.86","0.0","","","","","","",""
"2014.0","12.0","6.0","340.0","2.0","1.18","0.91","0.0","1.09","1.18","1.28","2.83","2.15","0.0","0.0","0.0","95.1","416.97","208.48","416.97","321.86","0.0","","","","","","",""
"2014.0","12.0","7.0","341.0","2.0","1.18","0.91","0.0","0.77","1.18","0.91","0.78","0.78","0.0","0.0","0.13","95.1","416.97","208.48","416.84","321.86","0.0","","","","","","",""
"2014.0","12.0","8.0","342.0","2.0","1.18","0.91","0.0","0.83","1.18","0.98","0.0","0.0","0.0","0.0","1.11","95.1","416.97","208.48","415.85","321.86","0.0","","","","","","",""
"2014.0","12.0","9.0","343.0","2.0","1.19","0.91","0.0","0.68","1.19","0.81","0.0","0.0","0.0","0.0","1.92","95.1","416.97","208.48","415.05","321.86","0.0","","","","","","",""
"2014.0","12.0","10.0","344.0","2.0","1.19","0.91","0.0","0.97","1.19","1.15","0.0","0.0","0.0","0.0","3.07","95.1","416.97","208.48","413.9","321.86","0.0","","","","","","",""
"2014.0","12.0","11.0","345.0","2.0","1.18","0.91","0.0","1.27","1.18","1.5","0.01","0.01","0.0","0.0","4.56","95.1","416.97","208.48","412.4","321.86","0.0","","","","","","",""
"2014.0","12.0","12.0","346.0","2.0","1.2","0.91","0.0","0.61","1.2","0.73","68.69","5.29","0.0","0.0","0.0","95.1","416.97","208.48","416.97","321.86","0.0","","","","","","",""
"2014.0","12.0","13.0","347.0","2.0","1.19","0.91","0.0","0.68","1.19","0.81","1.6","0.81","0.0","0.0","0.0","95.1","416.97","208.48","416.97","321.86","0.0","","","","","","",""
"2014.0","12.0","14.0","348.0","2.0","1.19","0.91","0.0","0.73","1.19","0.87","0.0","0.0","0.0","0.0","0.87","95.1","416.97","208.48","416.1","321.86","0.0","","","","","","",""
"2014.0","12.0","15.0","349.0","2.0","1.18","0.91","0.0","0.95","1.18","1.12","6.13","1.99","0.0","0.0","0.0","95.1","416.97","208.48","416.97","321.86","0.0","","","","","","",""
"2014.0","12.0","16.0","350.0","2.0","1.17","0.91","0.0","1.22","1.17","1.43","11.72","1.43","0.0","0.0","0.0","95.1","416.97","208.48","416.97","321.86","0.0","","","","","","",""
"2014.0","12.0","17.0","351.0","2.0","1.18","0.91","0.0","0.96","1.18","1.13","12.55","1.13","0.0","0.0","0.0","95.1","416.97","208.48","416.97","321.86","0.0","","","","","","",""
"2014.0","12.0","18.0","352.0","2.0","1.18","0.91","0.0","0.94","1.18","1.11","2.97","1.11","0.0","0.0","0.0","95.1","416.97","208.48","416.97","321.86","0.0","","","","","","",""
"2014.0","12.0","19.0","353.0","2.0","1.18","0.91","0.0","0.83","1.18","0.98","0.0","0.0","0.0","0.0","0.98","95.1","416.97","208.48","415.98","321.86","0.0","","","","","","",""
"2014.0","12.0","20.0","354.0","2.0","1.19","0.91","0.0","0.65","1.19","0.78","15.13","1.76","0.0","0.0","0.0","95.1","416.97","208.48","416.97","321.86","0.0","","","","","","",""
"2014.0","12.0","21.0","355.0","2.0","1.19","0.91","0.0","0.98","1.19","1.16","0.01","0.01","0.0","0.0","1.15","95.1","416.97","208.48","415.81","321.86","0.0","","","","","","",""
"2014.0","12.0","22.0","356.0","2.0","1.19","0.91","0.0","0.77","1.19","0.91","0.0","0.0","0.0","0.0","2.07","95.1","416.97","208.48","414.9","321.86","0.0","","","","","","",""
"2014.0","12.0","23.0","357.0","2.0","1.19","0.91","0.0","0.72","1.19","0.86","0.0","0.0","0.0","0.0","2.92","95.1","416.97","208.48","414.04","321.86","0.0","","","","","","",""
"2014.0","12.0","24.0","358.0","2.0","1.19","0.91","0.0","0.95","1.19","1.13","0.0","0.0","0.0","0.0","4.05","95.1","416.97","208.48","412.91","321.86","0.0","","","","","","",""
"2014.0","12.0","25.0","359.0","2.0","1.14","0.91","0.0","1.9","1.14","2.17","1.24","1.24","0.0","0.0","4.99","95.1","416.97","208.48","411.98","321.86","0.0","","","","","","",""
"2014.0","12.0","26.0","360.0","2.0","1.15","0.91","0.0","1.79","1.15","2.05","0.0","0.0","0.0","0.0","7.04","95.1","416.97","208.48","409.93","321.86","0.0","","","","","","",""
"2014.0","12.0","27.0","361.0","2.0","1.16","0.91","0.0","0.76","1.16","0.88","0.0","0.0","0.0","0.0","7.92","95.1","416.97","208.48","409.05","321.86","0.0","","","","","","",""
"2014.0","12.0","28.0","362.0","2.0","1.17","0.91","0.0","0.75","1.17","0.88","0.0","0.0","0.0","0.0","8.8","95.1","416.97","208.48","408.17","321.86","0.0","","","","","","",""
"2014.0","12.0","29.0","363.0","2.0","1.17","0.91","0.0","0.54","1.17","0.63","0.0","0.0","0.0","0.0","9.43","95.1","416.97","208.48","407.54","321.86","0.0","","","","","","",""
"2014.0","12.0","30.0","364.0","2.0","0.98","0.91","0.0","2.48","0.98","2.43","0.0","0.0","0.0","0.0","11.86","95.1","416.97","208.48","405.11","321.86","0.0","","","","","","",""
"2014.0","12.0","31.0","365.0","2.0","0.85","0.91","0.0","2.64","0.91","2.39","0.0","0.0","0.0","0.0","14.25","95.1","416.97","208.48","402.72","321.86","0.0","","","","","","",""
"2015.0","1.0","1.0","1.0","2.0","0.82","0.91","0.0","0.89","0.91","0.81","0.0","0.0","0.0","0.0","15.06","94.13","416.97","208.48","401.91","322.83","0.0","","","","","","",""
"2015.0","1.0","2.0","2.0","2.0","0.79","0.91","0.0","0.88","0.91","0.8","0.0","0.0","0.0","0.0","15.85","94.13","416.97","208.48","401.11","322.83","0.0","","","","","","",""
"2015.0","1.0","3.0","3.0","2.0","0.76","0.91","0.0","0.87","0.91","0.79","0.0","0.0","0.0","0.0","16.64","94.13","416.97","208.48","400.33","322.83","0.0","","","","","","",""
"2015.0","1.0","4.0","4.0","2.0","0.74","0.91","0.0","0.97","0.91","0.88","0.0","0.0","0.0","0.0","17.52","94.13","416.97","208.48","399.45","322.83","0.0","","","","","","",""
"2015.0","1.0","5.0","5.0","2.0","0.72","0.91","0.0","0.89","0.91","0.81","0.0","0.0","0.0","0.0","18.33","94.13","416.97","208.48","398.64","322.83","0.0","","","","","","",""
"2015.0","1.0","6.0","6.0","2.0","0.69","0.91","0.0","1.19","0.91","1.08","0.0","0.0","0.0","0.0","19.4","94.13","416.97","208.48","397.56","322.83","0.0","","","","","","",""
"2015.0","1.0","7.0","7.0","2.0","0.67","0.91","0.0","1.19","0.91","1.08","0.0","0.0","0.0","0.0","20.48","94.13","416.97","208.48","396.48","322.83","0.0","","","","","","",""
"2015.0","1.0","8.0","8.0","2.0","0.65","0.91","0.0","1.04","0.91","0.94","0.0","0.0","0.0","0.0","21.42","94.13","416.97","208.48","395.54","322.83","0.0","","","","","","",""
"2015.0","1.0","9.0","9.0","2.0","0.63","0.91","0.0","0.88","0.91","0.8","0.0","0.0","0.0","0.0","22.22","94.13","416.97","208.48","394.74","322.83","0.0","","","","","","",""
"2015.0","1.0","10.0","10.0","2.0","0.62","0.91","0.0","0.99","0.91","0.9","0.0","0.0","0.0","0.0","23.12","94.13","416.97","208.48","393.85","322.83","0.0","","","","","","",""
"2015.0","1.0","11.0","11.0","2.0","0.61","0.91","0.0","0.88","0.91","0.8","0.0","0.0","0.0","0.0","23.92","94.13","416.97","208.48","393.05","322.83","0.0","","","","","","",""
"2015.0","1.0","12.0","12.0","2.0","0.59","0.91","0.0","1.02","0.91","0.92","0.0","0.0","0.0","0.0","24.84","94.13","416.97","208.48","392.13","322.83","0.0","","","","","","",""
"2015.0","1.0","13.0","13.0","2.0","0.58","0.91","0.0","1.08","0.91","0.98","0.0","0.0","0.0","0.0","25.82","94.13","416.97","208.48","391.15","322.83","0.0","","","","","","",""
"2015.0","1.0","14.0","14.0","2.0","0.57","0.91","0.0","0.68","0.91","0.62","0.0","0.0","0.0","0.0","26.44","94.13","416.97","208.48","390.53","322.83","0.0","","","","","","",""
"2015.0","1.0","15.0","15.0","2.0","0.56","0.91","0.0","0.69","0.91","0.63","0.0","0.0","0.0","0.0","27.06","94.13","416.97","208.48","389.91","322.83","0.0","","","","","","",""
"2015.0","1.0","16.0","16.0","2.0","0.56","0.91","0.0","0.6","0.91","0.54","0.0","0.0","0.0","0.0","27.6","94.13","416.97","208.48","389.36","322.83","0.0","","","","","","",""
"2015.0","1.0","17.0","17.0","2.0","0.55","0.91","0.0","0.53","0.91","0.48","0.0","0.0","0.0","0.0","28.08","94.13","416.97","208.48","388.88","322.83","0.0","","","","","","",""
"2015.0","1.0","18.0","18.0","2.0","0.55","0.91","0.0","0.59","0.91","0.53","0.0","0.0","0.0","0.0","28.62","94.13","416.97","208.48","388.35","322.83","0.0","","","","","","",""
"2015.0","1.0","19.0","19.0","2.0","0.54","0.91","0.0","0.62","0.91","0.56","0.01","0.01","0.0","0.0","29.17","94.13","416.97","208.48","387.8","322.83","0.0","","","","","","",""
"2015.0","1.0","20.0","20.0","2.0","0.53","0.91","0.0","0.75","0.91","0.68","0.0","0.0","0.0","0.0","29.85","94.13","416.97","208.48","387.12","322.83","0.0","","","","","","",""
"2015.0","1.0","21.0","21.0","2.0","0.52","0.91","0.0","0.97","0.91","0.88","0.0","0.0","0.0","0.0","30.73","94.13","416.97","208.48","386.24","322.83","0.0","","","","","","",""
"2015.0","1.0","22.0","22.0","2.0","0.52","0.91","0.0","0.72","0.91","0.65","0.0","0.0","0.0","0.0","31.38","94.13","416.97","208.48","385.59","322.83","0.0","","","","","","",""
"2015.0","1.0","23.0","23.0","2.0","0.51","0.91","0.0","0.94","0.91","0.85","0.0","0.0","0.0","0.0","32.23","94.13","416.97","208.48","384.73","322.83","0.0","","","","","","",""
"2015.0","1.0","24.0","24.0","2.0","0.5","0.91","0.0","0.87","0.91","0.79","0.0","0.0","0.0","0.0","33.02","94.13","416.97","208.48","383.95","322.83","0.0","","","","","","",""
"2015.0","1.0","25.0","25.0","2.0","0.49","0.91","0.0","1.02","0.91","0.92","0.0","0.0","0.0","0.0","33.94","94.13","416.97","208.48","383.02","322.83","0.0","","","","","","",""
"2015.0","1.0","26.0","26.0","2.0","0.49","0.91","0.0","1.27","0.91","1.15","0.0","0.0","0.0","0.0","35.1","94.13","416.97","208.48","381.87","322.83","0.0","","","","","","",""
"2015.0","1.0","27.0","27.0","2.0","0.48","0.91","0.0","1.12","0.91","1.01","0.0","0.0","0.0","0.0","36.11","94.13","416.97","208.48","380.86","322.83","0.0","","","","","","",""
"2015.0","1.0","28.0","28.0","2.0","0.47","0.91","0.0","1.5","0.91","1.36","0.0","0.0","0.0","0.0","37.47","94.13","416.97","208.48","379.5","322.83","0.0","","","","","","",""
"2015.0","1.0","29.0","29.0","2.0","0.46","0.91","0.0","1.41","0.91","1.28","0.0","0.0","0.0","0.0","38.75","94.13","416.97","208.48","378.22","322.83","0.0","","","","","","",""
"2015.0","1.0","30.0","30.0","2.0","0.45","0.91","0.0","1.89","0.91","1.71","0.0","0.0","0.0","0.0","40.46","94.13","416.97","208.48","376.51","322.83","0.0","","","","","","",""
"2015.0","1.0","31.0","31.0","2.0","0.43","0.91","0.0","3.35","0.91","3.04","0.0","0.0","0.0","0.0","43.49","94.13","416.97","208.48","373.47","322.83","0.0","","","","","","",""
"2015.0","2.0","1.0","32.0","2.0","0.42","0.91","0.0","1.46","0.91","1.32","0.0","0.0","0.0","0.0","44.82","94.13","416.97","208.48","372.15","322.83","0.0","","","","","","",""
"2015.0","2.0","2.0","33.0","2.0","0.41","0.91","0.0","1.5","0.91","1.36","0.0","0.0","0.0","0.0","46.18","94.13","416.97","208.48","370.79","322.83","0.0","","","","","","",""
"2015.0","2.0","3.0","34.0","2.0","0.41","0.91","0.0","1.56","0.91","1.41","0.0","0.0","0.0","0.0","47.59","94.13","416.97","208.48","369.38","322.83","0.0","","","","","","",""
"2015.0","2.0","4.0","35.0","2.0","0.4","0.91","0.0","1.45","0.91","1.31","0.0","0.0","0.0","0.0","48.9","94.13","416.97","208.48","368.06","322.83","0.0","","","","","","",""
"2015.0","2.0","5.0","36.0","2.0","0.4","0.91","0.0","1.11","0.91","1.01","0.0","0.0","0.0","0.0","49.91","94.13","416.97","208.48","367.06","322.83","0.0","","","","","","",""
"2015.0","2.0","6.0","37.0","2.0","0.39","0.91","0.0","2.23","0.91","2.02","0.97","0.97","0.0","0.0","50.96","94.13","416.97","208.48","366.01","322.83","0.0","","","","","","",""
"2015.0","2.0","7.0","38.0","2.0","1.16","0.91","0.0","1.43","1.16","1.66","20.87","20.87","0.0","0.0","31.75","94.13","416.97","208.48","385.21","322.83","0.0","","","","","","",""
"2015.0","2.0","8.0","39.0","2.0","1.16","0.91","0.0","1.39","1.16","1.62","12.03","12.03","0.0","0.0","21.34","94.13","416.97","208.48","395.63","322.83","0.0","","","","","","",""
"2015.0","2.0","9.0","40.0","2.0","1.14","0.91","0.0","2.02","1.14","2.3","18.45","18.45","0.0","0.0","5.19","94.13","416.97","208.48","411.77","322.83","0.0","","","","","","",""
"2015.0","2.0","10.0","41.0","2.0","1.14","0.91","0.0","1.84","1.14","2.1","0.02","0.02","0.0","0.0","7.27","94.13","416.97","208.48","409.69","322.83","0.0","","","","","","",""
"2015.0","2.0","11.0","42.0","2.0","1.15","0.91","0.0","1.63","1.15","1.87","0.0","0.0","0.0","0.0","9.14","94.13","416.97","208.48","407.82","322.83","0.0","","","","","","",""
"2015.0","2.0","12.0","43.0","2.0","1.02","0.91","0.0","1.98","1.02","2.02","0.0","0.0","0.0","0.0","11.16","94.13","416.97","208.48","405.81","322.83","0.0","","","","","","",""
