" Daily soil water balance output for Corn in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Corn in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"2014.0","11.0","6.0","310.0","13425.0","0.08","0.0","0.0","1.91","0.08","0.15","0.0","0.0","0.0","0.0","26.3","30.6","435.25","217.63","408.95","404.65","0.0","","","","","","","","",""
"2014.0","11.0","7.0","311.0","13425.0","0.08","0.0","0.0","1.94","0.08","0.16","0.0","0.0","0.0","0.0","26.46","30.6","435.25","217.63","408.8","404.65","0.0","","","","","","","","",""
"2014.0","11.0","8.0","312.0","13425.0","0.08","0.0","0.0","1.87","0.08","0.15","0.0","0.0","0.0","0.0","26.61","30.6","435.25","217.63","408.65","404.65","0.0","","","","","","","","",""
"2014.0","11.0","9.0","313.0","13425.0","0.08","0.0","0.0","1.83","0.08","0.15","0.0","0.0","0.0","0.0","26.75","30.6","435.25","217.63","408.5","404.65","0.0","","","","","","","","",""
"2014.0","11.0","10.0","314.0","13425.0","0.08","0.0","0.0","1.84","0.08","0.15","0.0","0.0","0.0","0.0","26.9","30.6","435.25","217.63","408.35","404.65","0.0","","","","","","","","",""
"2014.0","11.0","11.0","315.0","13425.0","0.08","0.0","0.0","1.55","0.08","0.12","0.0","0.0","0.0","0.0","27.03","30.6","435.25","217.63","408.23","404.65","0.0","","","","","","","","",""
"2014.0","11.0","12.0","316.0","13425.0","0.08","0.0","0.0","1.54","0.08","0.12","0.0","0.0","0.0","0.0","27.15","30.6","435.25","217.63","408.1","404.65","0.0","","","","","","","","",""
"2014.0","11.0","13.0","317.0","13425.0","1.18","0.0","0.0","1.07","1.18","1.26","5.34","5.34","0.0","0.0","23.07","30.6","435.25","217.63","412.18","404.65","0.0","","","","","","","","",""
"2014.0","11.0","14.0","318.0","13425.0","1.17","0.0","0.0","1.4","1.17","1.64","0.95","0.95","0.0","0.0","23.76","30.6","435.25","217.63","411.49","404.65","0.0","","","","","","","","",""
"2014.0","11.0","15.0","319.0","13425.0","1.17","0.0","0.0","1.34","1.17","1.57","0.0","0.0","0.0","0.0","25.33","30.6","435.25","217.63","409.93","404.65","0.0","","","","","","","","",""
"2014.0","11.0","16.0","320.0","13425.0","1.16","0.0","0.0","1.94","1.16","2.26","0.07","0.07","0.0","0.0","27.51","30.6","435.25","217.63","407.74","404.65","0.0","","","","","","","","",""
"2014.0","11.0","17.0","321.0","13425.0","1.02","0.0","0.0","1.79","1.02","1.83","0.0","0.0","0.0","0.0","29.34","30.6","435.25","217.63","405.92","404.65","0.0","","","","","","","","",""
"2014.0","11.0","18.0","322.0","13425.0","0.94","0.0","0.0","1.33","0.94","1.25","0.0","0.0","0.0","0.0","30.59","30.6","435.25","217.63","404.67","404.65","0.0","","","","","","","","",""
"2014.0","11.0","19.0","323.0","13425.0","0.89","0.0","0.0","1.09","0.89","0.97","0.59","0.59","0.0","0.0","30.97","30.6","435.25","217.63","404.29","404.65","0.0","","","","","","","","",""
"2014.0","11.0","20.0","324.0","13425.0","1.19","0.0","0.0","0.63","1.19","0.75","2.88","2.88","0.0","0.0","28.09","30.6","435.25","217.63","407.17","404.65","0.0","","","","","","","","",""
"2014.0","11.0","21.0","325.0","13425.0","1.18","0.0","0.0","0.9","1.18","1.07","4.27","4.27","0.0","0.0","24.88","30.6","435.25","217.63","410.37","404.65","0.0","","","","","","","","",""
"2014.0","11.0","22.0","326.0","13425.0","1.18","0.0","0.0","1.25","1.18","1.47","0.9","0.9","0.0","0.0","25.45","30.6","435.25","217.63","409.8","404.65","0.0","","","","","","","","",""
"2014.0","11.0","23.0","327.0","13425.0","1.16","0.0","0.0","1.56","1.16","1.81","3.21","3.21","0.0","0.0","24.05","30.6","435.25","217.63","411.2","404.65","0.0","","","","","","","","",""
"2014.0","11.0","24.0","328.0","13425.0","1.16","0.0","0.0","1.39","1.16","1.61","0.0","0.0","0.0","0.0","25.66","30.6","435.25","217.63","409.59","404.65","0.0","","","","","","","","",""
"2014.0","11.0","25.0","329.0","13425.0","1.16","0.0","0.0","1.25","1.16","1.46","0.0","0.0","0.0","0.0","27.12","30.6","435.25","217.63","408.14","404.65","0.0","","","","","","","","",""
"2014.0","11.0","26.0","330.0","13425.0","1.17","0.0","0.0","1.26","1.17","1.47","0.0","0.0","0.0","0.0","28.59","30.6","435.25","217.63","406.67","404.65","0.0","","","","","","","","",""
"2014.0","11.0","27.0","331.0","13425.0","1.09","0.0","0.0","1.19","1.09","1.3","0.0","0.0","0.0","0.0","29.88","30.6","435.25","217.63","405.37","404.65","0.0","","","","","","","","",""
"2014.0","11.0","28.0","332.0","13425.0","1.01","0.0","0.0","1.14","1.01","1.15","0.0","0.0","0.0","0.0","31.03","30.6","435.25","217.63","404.22","404.65","0.0","","","","","","","","",""
"2014.0","11.0","29.0","333.0","13425.0","0.96","0.0","0.0","0.81","0.96","0.78","0.48","0.48","0.0","0.0","30.55","30.6","435.25","217.63","404.7","404.65","0.0","","","","","","","","",""
"2014.0","11.0","30.0","334.0","13425.0","1.19","0.0","0.0","0.66","1.19","0.79","3.64","3.64","0.0","0.0","27.7","30.6","435.25","217.63","407.56","404.65","0.0","","","","","","","","",""
"2014.0","12.0","1.0","335.0","13425.0","1.18","0.0","0.0","0.96","1.18","1.13","10.55","10.55","0.0","0.0","18.28","30.6","435.25","217.63","416.97","404.65","0.0","","","","","","","","",""
"2014.0","12.0","2.0","336.0","13425.0","1.19","0.0","0.0","0.64","1.19","0.76","10.14","10.14","0.0","0.0","8.91","30.6","435.25","217.63","426.35","404.65","0.0","","","","","","","","",""
"2014.0","12.0","3.0","337.0","13425.0","1.17","0.0","0.0","1.15","1.17","1.35","32.71","10.26","0.0","0.0","0.0","30.6","435.25","217.63","435.25","404.65","0.0","","","","","","","","",""
"2014.0","12.0","4.0","338.0","13425.0","1.18","0.0","0.0","1.1","1.18","1.29","6.73","1.29","0.0","0.0","0.0","30.6","435.25","217.63","435.25","404.65","0.0","","","","","","","","",""
"2014.0","12.0","5.0","339.0","13425.0","1.18","0.0","0.0","0.9","1.18","1.06","0.56","0.56","0.0","0.0","0.5","30.6","435.25","217.63","434.75","404.65","0.0","","","","","","","","",""
"2014.0","12.0","6.0","340.0","13425.0","1.18","0.0","0.0","1.08","1.18","1.27","3.46","1.77","0.0","0.0","0.0","30.6","435.25","217.63","435.25","404.65","0.0","","","","","","","","",""
"2014.0","12.0","7.0","341.0","13425.0","1.18","0.0","0.0","0.73","1.18","0.86","0.14","0.14","0.0","0.0","0.72","30.6","435.25","217.63","434.53","404.65","0.0","","","","","","","","",""
"2014.0","12.0","8.0","342.0","13425.0","1.18","0.0","0.0","0.84","1.18","1.0","0.0","0.0","0.0","0.0","1.72","30.6","435.25","217.63","433.54","404.65","0.0","","","","","","","","",""
"2014.0","12.0","9.0","343.0","13425.0","1.19","0.0","0.0","0.67","1.19","0.8","0.0","0.0","0.0","0.0","2.51","30.6","435.25","217.63","432.74","404.65","0.0","","","","","","","","",""
"2014.0","12.0","10.0","344.0","13425.0","1.19","0.0","0.0","0.91","1.19","1.08","0.0","0.0","0.0","0.0","3.59","30.6","435.25","217.63","431.66","404.65","0.0","","","","","","","","",""
"2014.0","12.0","11.0","345.0","13425.0","1.18","0.0","0.0","1.28","1.18","1.51","0.0","0.0","0.0","0.0","5.11","30.6","435.25","217.63","430.15","404.65","0.0","","","","","","","","",""
"2014.0","12.0","12.0","346.0","13425.0","1.2","0.0","0.0","0.62","1.2","0.74","67.69","5.85","0.0","0.0","0.0","30.6","435.25","217.63","435.25","404.65","0.0","","","","","","","","",""
"2014.0","12.0","13.0","347.0","13425.0","1.19","0.0","0.0","0.72","1.19","0.86","1.17","0.86","0.0","0.0","0.0","30.6","435.25","217.63","435.25","404.65","0.0","","","","","","","","",""
"2014.0","12.0","14.0","348.0","13425.0","1.19","0.0","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","0.93","30.6","435.25","217.63","434.33","404.65","0.0","","","","","","","","",""
"2014.0","12.0","15.0","349.0","13425.0","1.18","0.0","0.0","0.98","1.18","1.16","12.1","2.09","0.0","0.0","0.0","30.6","435.25","217.63","435.25","404.65","0.0","","","","","","","","",""
"2014.0","12.0","16.0","350.0","13425.0","1.17","0.0","0.0","1.22","1.17","1.43","11.08","1.43","0.0","0.0","0.0","30.6","435.25","217.63","435.25","404.65","0.0","","","","","","","","",""
"2014.0","12.0","17.0","351.0","13425.0","1.18","0.0","0.0","0.95","1.18","1.12","11.26","1.12","0.0","0.0","0.0","30.6","435.25","217.63","435.25","404.65","0.0","","","","","","","","",""
"2014.0","12.0","18.0","352.0","13425.0","1.18","0.0","0.0","0.97","1.18","1.15","3.99","1.15","0.0","0.0","0.0","30.6","435.25","217.63","435.25","404.65","0.0","","","","","","","","",""
"2014.0","12.0","19.0","353.0","13425.0","1.18","0.0","0.0","0.84","1.18","0.99","0.0","0.0","0.0","0.0","0.99","30.6","435.25","217.63","434.26","404.65","0.0","","","","","","","","",""
"2014.0","12.0","20.0","354.0","13425.0","1.19","0.0","0.0","0.68","1.19","0.81","9.13","1.81","0.0","0.0","0.0","30.6","435.25","217.63","435.25","404.65","0.0","","","","","","","","",""
"2014.0","12.0","21.0","355.0","13425.0","1.19","0.0","0.0","0.99","1.19","1.17","0.01","0.01","0.0","0.0","1.16","30.6","435.25","217.63","434.09","404.65","0.0","","","","","","","","",""
"2014.0","12.0","22.0","356.0","13425.0","1.19","0.0","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","2.09","30.6","435.25","217.63","433.16","404.65","0.0","","","","","","","","",""
"2014.0","12.0","23.0","357.0","13425.0","1.19","0.0","0.0","0.75","1.19","0.89","0.0","0.0","0.0","0.0","2.98","30.6","435.25","217.63","432.27","404.65","0.0","","","","","","","","",""
"2014.0","12.0","24.0","358.0","13425.0","1.19","0.0","0.0","0.96","1.19","1.14","0.0","0.0","0.0","0.0","4.12","30.6","435.25","217.63","431.13","404.65","0.0","","","","","","","","",""
"2014.0","12.0","25.0","359.0","13425.0","1.14","0.0","0.0","1.94","1.14","2.22","0.81","0.81","0.0","0.0","5.53","30.6","435.25","217.63","429.73","404.65","0.0","","","","","","","","",""
"2014.0","12.0","26.0","360.0","13425.0","1.01","0.0","0.0","1.7","1.01","1.72","0.0","0.0","0.0","0.0","7.24","30.6","435.25","217.63","428.01","404.65","0.0","","","","","","","","",""
"2014.0","12.0","27.0","361.0","13425.0","0.96","0.0","0.0","0.76","0.96","0.73","0.0","0.0","0.0","0.0","7.98","30.6","435.25","217.63","427.28","404.65","0.0","","","","","","","","",""
"2014.0","12.0","28.0","362.0","13425.0","0.93","0.0","0.0","0.75","0.93","0.69","0.0","0.0","0.0","0.0","8.67","30.6","435.25","217.63","426.58","404.65","0.0","","","","","","","","",""
"2014.0","12.0","29.0","363.0","13425.0","0.9","0.0","0.0","0.55","0.9","0.49","0.0","0.0","0.0","0.0","9.17","30.6","435.25","217.63","426.09","404.65","0.0","","","","","","","","",""
"2014.0","12.0","30.0","364.0","13425.0","0.8","0.0","0.0","2.45","0.8","1.97","0.0","0.0","0.0","0.0","11.13","30.6","435.25","217.63","424.12","404.65","0.0","","","","","","","","",""
"2014.0","12.0","31.0","365.0","13425.0","0.73","0.0","0.0","2.6","0.73","1.89","0.0","0.0","0.0","0.0","13.03","30.6","435.25","217.63","422.23","404.65","0.0","","","","","","","","",""
"2015.0","1.0","1.0","1.0","13425.0","0.71","0.0","0.0","0.96","0.71","0.68","0.0","0.0","0.0","0.0","13.71","30.6","435.25","217.63","421.55","404.65","0.0","","","","","","","","",""
"2015.0","1.0","2.0","2.0","13425.0","0.69","0.0","0.0","0.89","0.69","0.61","0.0","0.0","0.0","0.0","14.32","30.6","435.25","217.63","420.94","404.65","0.0","","","","","","","","",""
"2015.0","1.0","3.0","3.0","13425.0","0.67","0.0","0.0","0.88","0.67","0.59","0.0","0.0","0.0","0.0","14.91","30.6","435.25","217.63","420.35","404.65","0.0","","","","","","","","",""
"2015.0","1.0","4.0","4.0","13425.0","0.65","0.0","0.0","0.99","0.65","0.65","0.0","0.0","0.0","0.0","15.55","30.6","435.25","217.63","419.7","404.65","0.0","","","","","","","","",""
"2015.0","1.0","5.0","5.0","13425.0","0.64","0.0","0.0","0.96","0.64","0.61","0.0","0.0","0.0","0.0","16.17","30.6","435.25","217.63","419.09","404.65","0.0","","","","","","","","",""
"2015.0","1.0","6.0","6.0","13425.0","0.62","0.0","0.0","1.23","0.62","0.76","0.0","0.0","0.0","0.0","16.92","30.6","435.25","217.63","418.33","404.65","0.0","","","","","","","","",""
"2015.0","1.0","7.0","7.0","13425.0","0.6","0.0","0.0","1.21","0.6","0.73","0.0","0.0","0.0","0.0","17.65","30.6","435.25","217.63","417.6","404.65","0.0","","","","","","","","",""
"2015.0","1.0","8.0","8.0","13425.0","0.59","0.0","0.0","1.01","0.59","0.59","0.0","0.0","0.0","0.0","18.24","30.6","435.25","217.63","417.01","404.65","0.0","","","","","","","","",""
"2015.0","1.0","9.0","9.0","13425.0","0.58","0.0","0.0","0.89","0.58","0.51","0.0","0.0","0.0","0.0","18.76","30.6","435.25","217.63","416.5","404.65","0.0","","","","","","","","",""
"2015.0","1.0","10.0","10.0","13425.0","0.56","0.0","0.0","1.01","0.56","0.57","0.0","0.0","0.0","0.0","19.33","30.6","435.25","217.63","415.93","404.65","0.0","","","","","","","","",""
"2015.0","1.0","11.0","11.0","13425.0","0.56","0.0","0.0","0.85","0.56","0.47","0.0","0.0","0.0","0.0","19.8","30.6","435.25","217.63","415.46","404.65","0.0","","","","","","","","",""
"2015.0","1.0","12.0","12.0","13425.0","0.54","0.0","0.0","0.99","0.54","0.54","0.0","0.0","0.0","0.0","20.34","30.6","435.25","217.63","414.92","404.65","0.0","","","","","","","","",""
"2015.0","1.0","13.0","13.0","13425.0","0.53","0.0","0.0","1.06","0.53","0.57","0.0","0.0","0.0","0.0","20.9","30.6","435.25","217.63","414.35","404.65","0.0","","","","","","","","",""
"2015.0","1.0","14.0","14.0","13425.0","0.53","0.0","0.0","0.61","0.53","0.32","0.0","0.0","0.0","0.0","21.23","30.6","435.25","217.63","414.03","404.65","0.0","","","","","","","","",""
"2015.0","1.0","15.0","15.0","13425.0","0.52","0.0","0.0","0.65","0.52","0.34","0.0","0.0","0.0","0.0","21.57","30.6","435.25","217.63","413.69","404.65","0.0","","","","","","","","",""
"2015.0","1.0","16.0","16.0","13425.0","0.52","0.0","0.0","0.57","0.52","0.3","0.0","0.0","0.0","0.0","21.86","30.6","435.25","217.63","413.39","404.65","0.0","","","","","","","","",""
"2015.0","1.0","17.0","17.0","13425.0","0.51","0.0","0.0","0.51","0.51","0.26","0.0","0.0","0.0","0.0","22.12","30.6","435.25","217.63","413.13","404.65","0.0","","","","","","","","",""
"2015.0","1.0","18.0","18.0","13425.0","0.51","0.0","0.0","0.61","0.51","0.31","0.0","0.0","0.0","0.0","22.43","30.6","435.25","217.63","412.82","404.65","0.0","","","","","","","","",""
"2015.0","1.0","19.0","19.0","13425.0","0.5","0.0","0.0","0.58","0.5","0.29","0.17","0.17","0.0","0.0","22.56","30.6","435.25","217.63","412.7","404.65","0.0","","","","","","","","",""
"2015.0","1.0","20.0","20.0","13425.0","0.5","0.0","0.0","0.8","0.5","0.4","0.0","0.0","0.0","0.0","22.95","30.6","435.25","217.63","412.3","404.65","0.0","","","","","","","","",""
"2015.0","1.0","21.0","21.0","13425.0","0.49","0.0","0.0","1.03","0.49","0.5","0.0","0.0","0.0","0.0","23.46","30.6","435.25","217.63","411.8","404.65","0.0","","","","","","","","",""
"2015.0","1.0","22.0","22.0","13425.0","0.49","0.0","0.0","0.69","0.49","0.33","0.0","0.0","0.0","0.0","23.79","30.6","435.25","217.63","411.46","404.65","0.0","","","","","","","","",""
"2015.0","1.0","23.0","23.0","13425.0","0.48","0.0","0.0","0.99","0.48","0.47","0.0","0.0","0.0","0.0","24.27","30.6","435.25","217.63","410.99","404.65","0.0","","","","","","","","",""
"2015.0","1.0","24.0","24.0","13425.0","0.47","0.0","0.0","0.91","0.47","0.43","0.0","0.0","0.0","0.0","24.7","30.6","435.25","217.63","410.56","404.65","0.0","","","","","","","","",""
"2015.0","1.0","25.0","25.0","13425.0","0.47","0.0","0.0","1.02","0.47","0.47","0.0","0.0","0.0","0.0","25.17","30.6","435.25","217.63","410.08","404.65","0.0","","","","","","","","",""
"2015.0","1.0","26.0","26.0","13425.0","0.46","0.0","0.0","1.21","0.46","0.55","0.0","0.0","0.0","0.0","25.73","30.6","435.25","217.63","409.53","404.65","0.0","","","","","","","","",""
"2015.0","1.0","27.0","27.0","13425.0","0.45","0.0","0.0","1.16","0.45","0.52","0.0","0.0","0.0","0.0","26.25","30.6","435.25","217.63","409.01","404.65","0.0","","","","","","","","",""
"2015.0","1.0","28.0","28.0","13425.0","0.44","0.0","0.0","1.45","0.44","0.64","0.0","0.0","0.0","0.0","26.89","30.6","435.25","217.63","408.36","404.65","0.0","","","","","","","","",""
"2015.0","1.0","29.0","29.0","13425.0","0.44","0.0","0.0","1.38","0.44","0.6","0.0","0.0","0.0","0.0","27.49","30.6","435.25","217.63","407.76","404.65","0.0","","","","","","","","",""
"2015.0","1.0","30.0","30.0","13425.0","0.43","0.0","0.0","1.73","0.43","0.74","0.0","0.0","0.0","0.0","28.23","30.6","435.25","217.63","407.02","404.65","0.0","","","","","","","","",""
"2015.0","1.0","31.0","31.0","13425.0","0.41","0.0","0.0","3.06","0.41","1.26","0.0","0.0","0.0","0.0","29.49","30.6","435.25","217.63","405.76","404.65","0.0","","","","","","","","",""
"2015.0","2.0","1.0","32.0","13425.0","0.41","0.0","0.0","1.51","0.41","0.61","0.0","0.0","0.0","0.0","30.1","30.6","435.25","217.63","405.15","404.65","0.0","","","","","","","","",""
"2015.0","2.0","2.0","33.0","13425.0","0.4","0.0","0.0","1.52","0.4","0.61","0.0","0.0","0.0","0.0","30.71","30.6","435.25","217.63","404.54","404.65","0.0","","","","","","","","",""
"2015.0","2.0","3.0","34.0","13425.0","0.39","0.0","0.0","1.6","0.39","0.63","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","","","","","","","",""
"2015.0","2.0","4.0","35.0","13425.0","0.39","0.0","0.0","1.34","0.39","0.52","0.0","0.0","0.0","0.0","31.12","30.6","435.25","217.63","404.13","404.65","0.0","","","","","","","","",""
"2015.0","2.0","5.0","36.0","13425.0","0.38","0.0","0.0","1.02","0.38","0.39","0.0","0.0","0.0","0.0","30.6","30.6","435.25","217.63","404.65","404.65","0.0","","","","","","","","",""
"2015.0","2.0","6.0","37.0","13425.0","1.13","0.0","0.0","2.15","1.13","2.44","6.0","6.0","0.0","0.0","27.04","30.6","435.25","217.63","408.22","404.65","0.0","","","","","","","","",""
"2015.0","2.0","7.0","38.0","13425.0","1.16","0.0","0.0","1.45","1.16","1.68","12.31","12.31","0.0","0.0","16.41","30.6","435.25","217.63","418.84","404.65","0.0","","","","","","","","",""
