" Daily soil water balance output for Other Deciduous in 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015","","","","","","","","","","","","","","","","","","","","","","","Annual and in-season monthly output for Other Deciduous at 185_Alameda DAU_Co within 06_San Joaquin River for WY 2015","","","","","","",""
"2014.0","11.0","6.0","310.0","391.0","0.82","0.0","0.0","1.93","0.82","1.58","0.0","0.0","0.0","0.0","23.18","21.6","307.24","153.62","284.05","285.64","0.0","","","","","","","","",""
"2014.0","11.0","7.0","311.0","391.0","0.76","0.0","0.0","1.95","0.76","1.48","0.0","0.0","0.0","0.0","21.6","21.6","307.24","153.62","285.64","285.64","0.0","","","","","","","","",""
"2014.0","11.0","8.0","312.0","391.0","0.71","0.0","0.0","1.88","0.71","1.34","0.0","0.0","0.0","0.0","22.94","21.6","307.24","153.62","284.3","285.64","0.0","","","","","","","","",""
"2014.0","11.0","9.0","313.0","391.0","0.67","0.0","0.0","1.83","0.67","1.23","0.0","0.0","0.0","0.0","21.6","21.6","307.24","153.62","285.64","285.64","0.0","","","","","","","","",""
"2014.0","11.0","10.0","314.0","391.0","0.64","0.0","0.0","1.78","0.64","1.14","0.0","0.0","0.0","0.0","22.74","21.6","307.24","153.62","284.5","285.64","0.0","","","","","","","","",""
"2014.0","11.0","11.0","315.0","391.0","0.62","0.0","0.0","1.54","0.62","0.95","0.0","0.0","0.0","0.0","21.6","21.6","307.24","153.62","285.64","285.64","0.0","","","","","","","","",""
"2014.0","11.0","12.0","316.0","391.0","0.59","0.0","0.0","1.6","0.59","0.95","0.0","0.0","0.0","0.0","22.55","21.6","307.24","153.62","284.69","285.64","0.0","","","","","","","","",""
"2014.0","11.0","13.0","317.0","391.0","1.18","0.0","0.0","1.12","1.18","1.32","5.87","5.87","0.0","0.0","16.68","21.6","307.24","153.62","290.56","285.64","0.0","","","","","","","","",""
"2014.0","11.0","14.0","318.0","391.0","1.17","0.0","0.0","1.44","1.17","1.68","1.23","1.23","0.0","0.0","17.13","21.6","307.24","153.62","290.11","285.64","0.0","","","","","","","","",""
"2014.0","11.0","15.0","319.0","391.0","1.17","0.0","0.0","1.36","1.17","1.59","0.0","0.0","0.0","0.0","18.72","21.6","307.24","153.62","288.52","285.64","0.0","","","","","","","","",""
"2014.0","11.0","16.0","320.0","391.0","1.16","0.0","0.0","1.9","1.16","2.21","0.0","0.0","0.0","0.0","20.93","21.6","307.24","153.62","286.31","285.64","0.0","","","","","","","","",""
"2014.0","11.0","17.0","321.0","391.0","1.02","0.0","0.0","1.77","1.02","1.8","0.0","0.0","0.0","0.0","22.73","21.6","307.24","153.62","284.51","285.64","0.0","","","","","","","","",""
"2014.0","11.0","18.0","322.0","391.0","0.94","0.0","0.0","1.33","0.94","1.25","0.0","0.0","0.0","0.0","21.6","21.6","307.24","153.62","285.64","285.64","0.0","","","","","","","","",""
"2014.0","11.0","19.0","323.0","391.0","0.88","0.0","0.0","1.19","0.88","1.05","0.0","0.0","0.0","0.0","22.65","21.6","307.24","153.62","284.59","285.64","0.0","","","","","","","","",""
"2014.0","11.0","20.0","324.0","391.0","1.19","0.0","0.0","0.65","1.19","0.78","2.25","2.25","0.0","0.0","20.4","21.6","307.24","153.62","286.84","285.64","0.0","","","","","","","","",""
"2014.0","11.0","21.0","325.0","391.0","1.18","0.0","0.0","0.94","1.18","1.11","4.75","4.75","0.0","0.0","16.76","21.6","307.24","153.62","290.48","285.64","0.0","","","","","","","","",""
"2014.0","11.0","22.0","326.0","391.0","1.18","0.0","0.0","1.28","1.18","1.5","0.01","0.01","0.0","0.0","18.26","21.6","307.24","153.62","288.98","285.64","0.0","","","","","","","","",""
"2014.0","11.0","23.0","327.0","391.0","1.16","0.0","0.0","1.59","1.16","1.84","3.94","3.94","0.0","0.0","16.15","21.6","307.24","153.62","291.08","285.64","0.0","","","","","","","","",""
"2014.0","11.0","24.0","328.0","391.0","1.16","0.0","0.0","1.4","1.16","1.62","0.0","0.0","0.0","0.0","17.78","21.6","307.24","153.62","289.46","285.64","0.0","","","","","","","","",""
"2014.0","11.0","25.0","329.0","391.0","1.16","0.0","0.0","1.29","1.16","1.5","0.0","0.0","0.0","0.0","19.28","21.6","307.24","153.62","287.96","285.64","0.0","","","","","","","","",""
"2014.0","11.0","26.0","330.0","391.0","1.16","0.0","0.0","1.32","1.16","1.54","0.0","0.0","0.0","0.0","20.81","21.6","307.24","153.62","286.42","285.64","0.0","","","","","","","","",""
"2014.0","11.0","27.0","331.0","391.0","1.07","0.0","0.0","1.23","1.07","1.32","0.0","0.0","0.0","0.0","22.14","21.6","307.24","153.62","285.1","285.64","0.0","","","","","","","","",""
"2014.0","11.0","28.0","332.0","391.0","0.99","0.0","0.0","1.19","0.99","1.18","0.0","0.0","0.0","0.0","21.6","21.6","307.24","153.62","285.64","285.64","0.0","","","","","","","","",""
"2014.0","11.0","29.0","333.0","391.0","0.95","0.0","0.0","0.8","0.95","0.76","0.41","0.41","0.0","0.0","21.95","21.6","307.24","153.62","285.29","285.64","0.0","","","","","","","","",""
"2014.0","11.0","30.0","334.0","391.0","1.19","0.0","0.0","0.69","1.19","0.82","2.78","2.78","0.0","0.0","19.17","21.6","307.24","153.62","288.07","285.64","0.0","","","","","","","","",""
"2014.0","12.0","1.0","335.0","391.0","1.18","0.0","0.0","0.96","1.18","1.13","12.37","12.37","0.0","0.0","7.93","21.6","307.24","153.62","299.31","285.64","0.0","","","","","","","","",""
"2014.0","12.0","2.0","336.0","391.0","1.2","0.0","0.0","0.62","1.2","0.74","10.99","8.67","0.0","0.0","0.0","21.6","307.24","153.62","307.24","285.64","0.0","","","","","","","","",""
"2014.0","12.0","3.0","337.0","391.0","1.17","0.0","0.0","1.24","1.17","1.45","28.92","1.45","0.0","0.0","0.0","21.6","307.24","153.62","307.24","285.64","0.0","","","","","","","","",""
"2014.0","12.0","4.0","338.0","391.0","1.17","0.0","0.0","1.13","1.17","1.33","7.13","1.33","0.0","0.0","0.0","21.6","307.24","153.62","307.24","285.64","0.0","","","","","","","","",""
"2014.0","12.0","5.0","339.0","391.0","1.18","0.0","0.0","0.91","1.18","1.07","0.35","0.35","0.0","0.0","0.72","21.6","307.24","153.62","306.52","285.64","0.0","","","","","","","","",""
"2014.0","12.0","6.0","340.0","391.0","1.18","0.0","0.0","1.09","1.18","1.28","2.4","2.01","0.0","0.0","0.0","21.6","307.24","153.62","307.24","285.64","0.0","","","","","","","","",""
"2014.0","12.0","7.0","341.0","391.0","1.18","0.0","0.0","0.72","1.18","0.85","0.32","0.32","0.0","0.0","0.53","21.6","307.24","153.62","306.71","285.64","0.0","","","","","","","","",""
"2014.0","12.0","8.0","342.0","391.0","1.18","0.0","0.0","0.88","1.18","1.04","0.0","0.0","0.0","0.0","1.57","21.6","307.24","153.62","305.66","285.64","0.0","","","","","","","","",""
"2014.0","12.0","9.0","343.0","391.0","1.19","0.0","0.0","0.69","1.19","0.82","0.0","0.0","0.0","0.0","2.39","21.6","307.24","153.62","304.85","285.64","0.0","","","","","","","","",""
"2014.0","12.0","10.0","344.0","391.0","1.19","0.0","0.0","0.9","1.19","1.07","0.0","0.0","0.0","0.0","3.46","21.6","307.24","153.62","303.78","285.64","0.0","","","","","","","","",""
"2014.0","12.0","11.0","345.0","391.0","1.18","0.0","0.0","1.36","1.18","1.61","0.0","0.0","0.0","0.0","5.07","21.6","307.24","153.62","302.17","285.64","0.0","","","","","","","","",""
"2014.0","12.0","12.0","346.0","391.0","1.19","0.0","0.0","0.63","1.19","0.75","65.93","5.82","0.0","0.0","0.0","21.6","307.24","153.62","307.24","285.64","0.0","","","","","","","","",""
"2014.0","12.0","13.0","347.0","391.0","1.19","0.0","0.0","0.74","1.19","0.88","1.66","0.88","0.0","0.0","0.0","21.6","307.24","153.62","307.24","285.64","0.0","","","","","","","","",""
"2014.0","12.0","14.0","348.0","391.0","1.19","0.0","0.0","0.81","1.19","0.96","0.0","0.0","0.0","0.0","0.96","21.6","307.24","153.62","306.28","285.64","0.0","","","","","","","","",""
"2014.0","12.0","15.0","349.0","391.0","1.18","0.0","0.0","1.01","1.18","1.19","10.89","2.15","0.0","0.0","0.0","21.6","307.24","153.62","307.24","285.64","0.0","","","","","","","","",""
"2014.0","12.0","16.0","350.0","391.0","1.17","0.0","0.0","1.24","1.17","1.45","9.78","1.45","0.0","0.0","0.0","21.6","307.24","153.62","307.24","285.64","0.0","","","","","","","","",""
"2014.0","12.0","17.0","351.0","391.0","1.18","0.0","0.0","0.95","1.18","1.12","11.39","1.12","0.0","0.0","0.0","21.6","307.24","153.62","307.24","285.64","0.0","","","","","","","","",""
"2014.0","12.0","18.0","352.0","391.0","1.18","0.0","0.0","1.0","1.18","1.18","5.48","1.18","0.0","0.0","0.0","21.6","307.24","153.62","307.24","285.64","0.0","","","","","","","","",""
"2014.0","12.0","19.0","353.0","391.0","1.18","0.0","0.0","0.85","1.18","1.01","0.0","0.0","0.0","0.0","1.01","21.6","307.24","153.62","306.23","285.64","0.0","","","","","","","","",""
"2014.0","12.0","20.0","354.0","391.0","1.19","0.0","0.0","0.7","1.19","0.83","8.92","1.84","0.0","0.0","0.0","21.6","307.24","153.62","307.24","285.64","0.0","","","","","","","","",""
"2014.0","12.0","21.0","355.0","391.0","1.19","0.0","0.0","1.0","1.19","1.19","0.47","0.47","0.0","0.0","0.72","21.6","307.24","153.62","306.52","285.64","0.0","","","","","","","","",""
"2014.0","12.0","22.0","356.0","391.0","1.19","0.0","0.0","0.78","1.19","0.93","0.0","0.0","0.0","0.0","1.64","21.6","307.24","153.62","305.6","285.64","0.0","","","","","","","","",""
"2014.0","12.0","23.0","357.0","391.0","1.19","0.0","0.0","0.79","1.19","0.94","0.0","0.0","0.0","0.0","2.58","21.6","307.24","153.62","304.66","285.64","0.0","","","","","","","","",""
"2014.0","12.0","24.0","358.0","391.0","1.19","0.0","0.0","0.96","1.19","1.14","0.0","0.0","0.0","0.0","3.72","21.6","307.24","153.62","303.52","285.64","0.0","","","","","","","","",""
"2014.0","12.0","25.0","359.0","391.0","1.13","0.0","0.0","1.97","1.13","2.23","0.72","0.72","0.0","0.0","5.23","21.6","307.24","153.62","302.01","285.64","0.0","","","","","","","","",""
"2014.0","12.0","26.0","360.0","391.0","1.01","0.0","0.0","1.61","1.01","1.62","0.0","0.0","0.0","0.0","6.86","21.6","307.24","153.62","300.38","285.64","0.0","","","","","","","","",""
"2014.0","12.0","27.0","361.0","391.0","0.96","0.0","0.0","0.77","0.96","0.74","0.0","0.0","0.0","0.0","7.6","21.6","307.24","153.62","299.64","285.64","0.0","","","","","","","","",""
"2014.0","12.0","28.0","362.0","391.0","0.92","0.0","0.0","0.77","0.92","0.71","0.0","0.0","0.0","0.0","8.31","21.6","307.24","153.62","298.93","285.64","0.0","","","","","","","","",""
"2014.0","12.0","29.0","363.0","391.0","0.9","0.0","0.0","0.56","0.9","0.5","0.0","0.0","0.0","0.0","8.81","21.6","307.24","153.62","298.43","285.64","0.0","","","","","","","","",""
"2014.0","12.0","30.0","364.0","391.0","0.8","0.0","0.0","2.42","0.8","1.94","0.0","0.0","0.0","0.0","10.75","21.6","307.24","153.62","296.49","285.64","0.0","","","","","","","","",""
"2014.0","12.0","31.0","365.0","391.0","0.73","0.0","0.0","2.55","0.73","1.86","0.0","0.0","0.0","0.0","12.61","21.6","307.24","153.62","294.63","285.64","0.0","","","","","","","","",""
"2015.0","1.0","1.0","1.0","391.0","0.71","0.0","0.0","1.01","0.71","0.71","0.0","0.0","0.0","0.0","13.33","21.6","307.24","153.62","293.91","285.64","0.0","","","","","","","","",""
"2015.0","1.0","2.0","2.0","391.0","0.69","0.0","0.0","0.91","0.69","0.62","0.0","0.0","0.0","0.0","13.95","21.6","307.24","153.62","293.29","285.64","0.0","","","","","","","","",""
"2015.0","1.0","3.0","3.0","391.0","0.67","0.0","0.0","0.92","0.67","0.62","0.0","0.0","0.0","0.0","14.57","21.6","307.24","153.62","292.67","285.64","0.0","","","","","","","","",""
"2015.0","1.0","4.0","4.0","391.0","0.65","0.0","0.0","1.02","0.65","0.66","0.0","0.0","0.0","0.0","15.23","21.6","307.24","153.62","292.01","285.64","0.0","","","","","","","","",""
"2015.0","1.0","5.0","5.0","391.0","0.63","0.0","0.0","1.03","0.63","0.65","0.0","0.0","0.0","0.0","15.88","21.6","307.24","153.62","291.36","285.64","0.0","","","","","","","","",""
"2015.0","1.0","6.0","6.0","391.0","0.61","0.0","0.0","1.27","0.61","0.78","0.0","0.0","0.0","0.0","16.66","21.6","307.24","153.62","290.58","285.64","0.0","","","","","","","","",""
"2015.0","1.0","7.0","7.0","391.0","0.6","0.0","0.0","1.24","0.6","0.74","0.0","0.0","0.0","0.0","17.4","21.6","307.24","153.62","289.84","285.64","0.0","","","","","","","","",""
"2015.0","1.0","8.0","8.0","391.0","0.58","0.0","0.0","1.03","0.58","0.6","0.0","0.0","0.0","0.0","18.0","21.6","307.24","153.62","289.24","285.64","0.0","","","","","","","","",""
"2015.0","1.0","9.0","9.0","391.0","0.57","0.0","0.0","0.9","0.57","0.52","0.0","0.0","0.0","0.0","18.52","21.6","307.24","153.62","288.72","285.64","0.0","","","","","","","","",""
"2015.0","1.0","10.0","10.0","391.0","0.56","0.0","0.0","1.05","0.56","0.59","0.0","0.0","0.0","0.0","19.11","21.6","307.24","153.62","288.13","285.64","0.0","","","","","","","","",""
"2015.0","1.0","11.0","11.0","391.0","0.55","0.0","0.0","0.86","0.55","0.47","0.0","0.0","0.0","0.0","19.58","21.6","307.24","153.62","287.66","285.64","0.0","","","","","","","","",""
"2015.0","1.0","12.0","12.0","391.0","0.54","0.0","0.0","0.97","0.54","0.53","0.0","0.0","0.0","0.0","20.11","21.6","307.24","153.62","287.13","285.64","0.0","","","","","","","","",""
"2015.0","1.0","13.0","13.0","391.0","0.53","0.0","0.0","1.04","0.53","0.55","0.0","0.0","0.0","0.0","20.66","21.6","307.24","153.62","286.58","285.64","0.0","","","","","","","","",""
"2015.0","1.0","14.0","14.0","391.0","0.53","0.0","0.0","0.62","0.53","0.33","0.0","0.0","0.0","0.0","20.98","21.6","307.24","153.62","286.25","285.64","0.0","","","","","","","","",""
"2015.0","1.0","15.0","15.0","391.0","0.52","0.0","0.0","0.66","0.52","0.34","0.0","0.0","0.0","0.0","21.33","21.6","307.24","153.62","285.91","285.64","0.0","","","","","","","","",""
"2015.0","1.0","16.0","16.0","391.0","0.51","0.0","0.0","0.62","0.51","0.32","0.0","0.0","0.0","0.0","21.65","21.6","307.24","153.62","285.59","285.64","0.0","","","","","","","","",""
"2015.0","1.0","17.0","17.0","391.0","0.51","0.0","0.0","0.54","0.51","0.28","0.0","0.0","0.0","0.0","21.6","21.6","307.24","153.62","285.64","285.64","0.0","","","","","","","","",""
"2015.0","1.0","18.0","18.0","391.0","0.51","0.0","0.0","0.66","0.51","0.33","0.0","0.0","0.0","0.0","21.93","21.6","307.24","153.62","285.31","285.64","0.0","","","","","","","","",""
"2015.0","1.0","19.0","19.0","391.0","0.5","0.0","0.0","0.55","0.5","0.28","0.43","0.43","0.0","0.0","21.5","21.6","307.24","153.62","285.74","285.64","0.0","","","","","","","","",""
"2015.0","1.0","20.0","20.0","391.0","0.49","0.0","0.0","0.81","0.49","0.4","0.0","0.0","0.0","0.0","21.9","21.6","307.24","153.62","285.33","285.64","0.0","","","","","","","","",""
"2015.0","1.0","21.0","21.0","391.0","0.49","0.0","0.0","1.08","0.49","0.53","0.0","0.0","0.0","0.0","21.6","21.6","307.24","153.62","285.64","285.64","0.0","","","","","","","","",""
"2015.0","1.0","22.0","22.0","391.0","0.48","0.0","0.0","0.69","0.48","0.33","0.0","0.0","0.0","0.0","21.93","21.6","307.24","153.62","285.31","285.64","0.0","","","","","","","","",""
"2015.0","1.0","23.0","23.0","391.0","0.47","0.0","0.0","1.02","0.47","0.48","0.0","0.0","0.0","0.0","21.6","21.6","307.24","153.62","285.64","285.64","0.0","","","","","","","","",""
"2015.0","1.0","24.0","24.0","391.0","0.47","0.0","0.0","0.96","0.47","0.45","0.0","0.0","0.0","0.0","22.05","21.6","307.24","153.62","285.19","285.64","0.0","","","","","","","","",""
"2015.0","1.0","25.0","25.0","391.0","0.46","0.0","0.0","1.04","0.46","0.48","0.0","0.0","0.0","0.0","21.6","21.6","307.24","153.62","285.64","285.64","0.0","","","","","","","","",""
"2015.0","1.0","26.0","26.0","391.0","0.45","0.0","0.0","1.19","0.45","0.54","0.0","0.0","0.0","0.0","22.14","21.6","307.24","153.62","285.1","285.64","0.0","","","","","","","","",""
"2015.0","1.0","27.0","27.0","391.0","0.45","0.0","0.0","1.14","0.45","0.51","0.0","0.0","0.0","0.0","21.6","21.6","307.24","153.62","285.64","285.64","0.0","","","","","","","","",""
"2015.0","1.0","28.0","28.0","391.0","0.44","0.0","0.0","1.45","0.44","0.64","0.0","0.0","0.0","0.0","22.24","21.6","307.24","153.62","285.0","285.64","0.0","","","","","","","","",""
"2015.0","1.0","29.0","29.0","391.0","0.43","0.0","0.0","1.38","0.43","0.6","0.0","0.0","0.0","0.0","21.6","21.6","307.24","153.62","285.64","285.64","0.0","","","","","","","","",""
"2015.0","1.0","30.0","30.0","391.0","0.42","0.0","0.0","1.66","0.42","0.7","0.0","0.0","0.0","0.0","22.3","21.6","307.24","153.62","284.93","285.64","0.0","","","","","","","","",""
"2015.0","1.0","31.0","31.0","391.0","0.41","0.0","0.0","2.85","0.41","1.17","0.0","0.0","0.0","0.0","21.6","21.6","307.24","153.62","285.64","285.64","0.0","","","","","","","","",""
"2015.0","2.0","1.0","32.0","391.0","0.4","0.0","0.0","1.55","0.4","0.63","0.0","0.0","0.0","0.0","22.23","21.6","307.24","153.62","285.01","285.64","0.0","","","","","","","","",""
"2015.0","2.0","2.0","33.0","391.0","0.4","0.0","0.0","1.57","0.4","0.62","0.0","0.0","0.0","0.0","21.6","21.6","307.24","153.62","285.64","285.64","0.0","","","","","","","","",""
"2015.0","2.0","3.0","34.0","391.0","0.39","0.0","0.0","1.67","0.39","0.65","0.0","0.0","0.0","0.0","22.25","21.6","307.24","153.62","284.98","285.64","0.0","","","","","","","","",""
"2015.0","2.0","4.0","35.0","391.0","0.39","0.0","0.0","1.36","0.39","0.53","0.0","0.0","0.0","0.0","21.6","21.6","307.24","153.62","285.64","285.64","0.0","","","","","","","","",""
"2015.0","2.0","5.0","36.0","391.0","0.38","0.0","0.0","1.01","0.38","0.39","0.0","0.0","0.0","0.0","21.99","21.6","307.24","153.62","285.25","285.64","0.0","","","","","","","","",""
"2015.0","2.0","6.0","37.0","391.0","0.38","0.0","0.0","2.21","0.38","0.83","0.0","0.0","0.0","0.0","21.6","21.6","307.24","153.62","285.64","285.64","0.0","","","","","","","","",""
"2015.0","2.0","7.0","38.0","391.0","1.16","0.0","0.0","1.47","1.16","1.71","13.46","13.46","0.0","0.0","9.85","21.6","307.24","153.62","297.39","285.64","0.0","","","","","","","","",""
"2015.0","2.0","8.0","39.0","391.0","1.16","0.0","0.0","1.61","1.16","1.86","11.21","11.21","0.0","0.0","0.5","21.6","307.24","153.62","306.74","285.64","0.0","","","","","","","","",""
